,Concept_ID,kv,lt
147,Bau::N,нора,ola
148,Tier::N,зверь,gyvūnas
149,Herde::N,гурт,banda
150,Herde::N,гурт,kaimenė
151,Kuh::N,мӧс,karvė
152,Bulle::N,ӧшка,bulius
153,Pferd::N,вӧв,arklys
154,Schaf::N,баля,avis
155,Schwein::N,порсь,kiaulė
156,Hund::N,пон,šuo
157,Katze::N,кань,katė
158,Bär::N,ош,lokys
159,Eichhörnchen::N,ур,voveraitė
160,Elch::N,вӧр мӧс,briedis
161,Fuchs::N,руч,lapė
162,Hase::N,кӧч,kiškas
163,Maus::N,шыр,pelė
164,Wolf::N,кӧин,vilkas
165,Vogel::N,кай,paukštis
166,Schwarm::N,стая,spiečius
167,Schwarm::N,чукӧр,spiečius
168,Huhn::N,курӧг,višta
169,Hahn::N,петух,gaidys
170,Hahn::N,ай курӧг,gaidys
171,Gans::N,дзодзог,žąsis
172,Adler::N,куч,erelis
173,Adler::N,кутш,erelis
174,Ente::N,утка,antis
175,Eule::N,тупка,pelėda
176,Kranich::N,тури,gervė
177,Krähe::N,рака,varna
178,Kuckuck::N,кӧк,gegužė
179,Schwan::N,юсь,gulbė
180,Fisch::N,чери,žuvis
181,Barsch::N,ёкыш,ešerys
182,Hecht::N,сирпинь,lydeka
183,Schlange[Tier]::N,змей,gyvatė
184,Wurm::N,номыр,kirmėlė
185,Spinne::N,черань,voras
186,Ameise::N,кӧдзывкар,skruzdė
187,Laus::N,ляпа той,utėlė
188,Mücke::N,ном,uodas
189,Fliege::N,гут,musė
190,Schmetterling::N,бабыв,drugys
191,Schmetterling::N,бабыв,peteliškė
192,Beere::N,ягӧд,uoga
193,Apfel::N,яблоко,obuolys
194,Pilz::N,тшак,grybas
195,Zwiebel::N,грез,svogūnas
196,Saat::N,кӧдзыс,sėkla
197,Korn::N,сю,grūdai
198,Heu::N,турун,šienas
199,Schale::N,кыш,žievelė
200,Schale::N,киль,žievelė
201,Grube::N,яма,duobė
202,Falle::N,нальк,pinklės
203,Falle::N,нальк,žabangai
204,Falle::N,кляпча,pinklės
205,Falle::N,кляпча,žabangai
206,Schlinge::N,лӧч,kilpa
207,Spur::N,туй,vėžė
208,Spur::N,туй,pėdos
209,Spur::N,туй,pėdsakas
210,Asche::N,пӧим,pelenai
211,Dreck::N,нять,purvas
212,Eisen::N,кӧрт,geležis
213,Gold::N,зарни,auksas
214,Silber::N,язісь,sidabras
215,Kohle::N,шом,anglis
216,Kohle::N,уголь,anglis
217,Glas::N,стекло,stiklas
218,Lehm::N,сёй,molis
219,Sand::N,лыа,smėlis
220,Mensch::N,морт,žmogus
221,Mann::N,мужик,vyras
222,Mann::N,мужик,vyriškis
223,Frau::N,инька,moteris
224,Kind::N,кага,vaikas
225,Junge::N,зонка,vaikinas
226,Junge::N,зонка,berniukas
227,Mädchen::N,нывкаок,mergytė
228,Mädchen::N,нывкаок,mergaitė
229,Familie::N,семья,šeima
230,Großvater::N,дед,senelis
231,Großmutter::N,баб,senelė
232,Eltern::N,ай-мам,tėvai
233,Vater::N,ай,tėvas
234,Mutter::N,мам,motina
235,Sohn::N,зон,sūnus
236,Tochter::N,ныв,duktė
237,Bruder::N,вон,brolis
238,Schwester::N,сой,sesuo
239,Onkel::N,дядь,dėdė
240,Tante::N,айӧлӧн сой,teta
241,Tante::N,ичинь,teta
242,Ehemann::N,жӧник,vyras
243,Ehefrau::N,инь,žmona
244,Freude::N,гаж,džiaugsmas
245,Freude::N,радъялӧм,džiaugsmas
246,Gelächter::N,сералӧм,juokas
247,Glück::N,мичлун,laimė
248,Kummer::N,шог,vargas
249,Kummer::N,шог,rūpestis
250,Wunsch::N,мӧдӧм,troškimas
251,Wunsch::N,мӧдӧм,pageidavimas
252,Wunsch::N,охотитӧм,troškimas
253,Wunsch::N,охотитӧм,pageidavimas
254,Lust::N,охота,noras
255,Lust::N,охота,geidulys
256,Geist::N,лов,dvasia
257,Gedanke::N,дума,mintis
258,Gedächtnis::N,тӧдвыв,atmintis
259,Verstand::N,вежӧр,protas
260,Sinn::N,ылӧс,prasmė
261,Grund::N,мог,priežastis
262,Wahrheit::N,правда,tiesa
263,Wahrheit::N,правда,teisybė
264,Gespräch::N,сёрни,pokalbis
265,Märchen::N,сказка,pasaka
266,Erzählung::N,висьт,apsakymas
267,Erzählung::N,висьт,pasakojimas
268,Nachricht::N,юӧр,žinia
269,Nachricht::N,висьталӧм,žinia
270,Neuigkeit::N,новость,naujiena
271,Name::N,ним,vardas
272,Rätsel::N,загадка,mįslė
273,Rede::N,сёрни,kalba
274,Sprache::N,кыв,kalba
275,Stimme::N,голос,balsas
276,Wort::N,кыв,žodis
277,Zeichen::N,пас,žymė
278,Zeichen::N,пас,ženklas
279,Ruf::N,чуксӧм,šauksmas
280,Ruf::N,чукӧстӧм,šauksmas
281,Lärm::N,шум,triukšmas
282,Laut::N,шы,garsas
283,Ton::N,гор,tonas
284,Ton::N,гор,garsas
285,Lied::N,сьыланкыв,daina
286,Lied::N,сьыланкыв,giesmė
287,Ruhe::N,спокой,ramybė
288,Ruhe::N,спокой,ramumas
289,Leute::N,йӧз,žmonės
290,Volk::N,йӧз,tauta
291,Volk::N,народ,tauta
292,Arbeit::N,удж,darbas
293,Arbeit::N,удж,triūsas
294,Gast::N,гӧсь,svečias
295,Geschenk::N,гӧснеч,dovana
296,Geschenk::N,подарок,dovana
297,Spiel::N,орсӧм,žaismas
298,Spiel::N,орсӧм,žaidimas
299,Gesellschaft::N,компания,draugija
300,Gesellschaft::N,компания,kompanija
301,Hilfe::N,отсӧт,pagalba
302,Freund::N,модз,draugas
303,Freund::N,модз,bičiulis
304,Freund::N,дружок,draugas
305,Freund::N,дружок,bičiulis
306,Kamerad::N,тӧдса,draugas
307,Angelegenheit::N,дело,dalykas
308,Angelegenheit::N,дело,reikalas
309,Anzahl::N,лыд,kiekis
310,Anzahl::N,лыд,skaičius
311,Art::N,пӧлӧс,rūšis
312,Stück::N,тор,gabalas
313,Teil::N,юкӧм,dalis
314,Hälfte::N,джын,pusė
315,Kreis::N,круг,ratas
316,Kreis::N,круг,apskritis
317,Kreis::N,круг,apskritimas
318,Kreuz::N,перна,kryžius
319,Linie::N,визь,linija
320,Strich::N,кырӧв,brėžis
321,Strich::N,кырӧв,brūkšnys
322,Abstand::N,колас,atstumas
323,Entfernung::N,ылына,atstumas
324,Gegend::N,места,vietovė
325,Platz::N,места,vieta
326,Ort::N,места,vieta
327,Ort::N,места,vietovė
328,Seite::N,ладор,pusė
329,Seite::N,ладор,šonas
330,Mitte::N,шӧр,vidurys
331,Gegenstand::N,тор,dalykas
332,Sache::N,тор,daiktas
333,Rand::N,дор,kraštas
334,Rand::N,дор,pakraštys
335,Kante::N,ордлы,kraštas
336,Ecke::N,пельӧс,kertė
337,Ecke::N,пельӧс,kampas
338,Spitze::N,йыв,priekis
339,Spitze::N,йыв,priešakys
340,Ende::N,йыв,galas
341,Loch::N,осьта,skylė
342,Winkel::N,пельӧс,kampas
343,Winkel::N,пельӧс,kampelis
344,Muster::N,сер,raštas
345,Größe::N,ыжда,dydis
346,Größe::N,ыжда,didumas
347,Länge::N,кузя,ilgis
348,Länge::N,кузя,ilgumas
349,Höhe::N,сувда,aukštis
350,Höhe::N,сувда,aukštuma
351,Höhe::N,вылына,aukštis
352,Höhe::N,вылына,aukštuma
353,Gewicht::N,сьӧкта,svoris
354,Gewicht::N,сьӧкта,svarstis
355,Haufen::N,куча,krūva
356,Haufen::N,куча,šūsnis
357,Reihe::N,лёдз,greta
358,Boot::N,пыж,valtis
359,Boot::N,пыж,laivelis
360,Ruder::N,пелыс,irklas
361,Schlitten::N,додь,rogės
362,Schlitten::N,додь,rogutės
363,Ski::N,лямпа,slidė
364,Lagerfeuer::N,бипур,laužas
365,Last::N,тягота,našta
366,Last::N,тягота,nešulys
367,Gang::N,мунӧм,eisena
368,Schritt::N,вожмӧв,žingsnis
369,Norden::N,ой,šiaurė
370,Norden::N,ой,žiemiai
371,Süden::N,лун,pietūs
372,Westen::N,рытвыв,vakarai
373,Osten::N,асыв,rytai
374,Holz::N,пу,mediena
375,Brett::N,пӧв,lenta
376,Platte::N,плита,plokštė
377,Stütze::N,пика,atrama
378,Stütze::N,пика,atspara
379,Stange::N,зор,lazda
380,Stange::N,зор,kartis
381,Stange::N,потш,lazda
382,Stange::N,потш,kartis
383,Stock::N,бедь,lazda
384,Stab::N,шест,kartis
385,Rohr::N,труба,vamzdis
386,Haus::N,керку,namas
387,Heim::N,керку,namai
388,Ofen::N,пӧжавны,krosnis
389,Fußboden::N,джодж,grindys
390,Tisch::N,пызан,stalas
391,Stuhl::N,стул,kėdė
392,Wiege::N,зыбка,lopšys
393,Bett::N,кровать,lova
394,Bett::N,кровать,patalai
395,Regal::N,джадж,lentyna
396,Kiste::N,ящик,dėžė
397,Fenster::N,ӧшын,langas
398,Tür::N,ыбӧс,durys
399,Tor::N,ворота,vartai
400,Zaun::N,забор,tvora
401,Dach::N,крыша,stogas
402,Leiter::N,лиснич,kopėčios
403,Besen::N,рос,šluota
404,Spaten::N,зыр,lopeta
405,Spaten::N,зыр,kastuvas
406,Schaufel::N,зыр,semtuvas
407,Gabel::N,вила,šakutė
408,Löffel::N,пань,šaukštas
409,Messer::N,пурт,peilis
410,Nagel::N,кӧрттув,vinis
411,Netz::N,кыйӧт,tinklas
412,Haken::N,ем,vagis
413,Haken::N,ем,kablys
414,Griff::N,пу,kotas
415,Griff::N,пу,rankena
416,Schloss::N,замок,spyna
417,Schloss::N,замок,užraktas
418,Bild::N,картина,paveikslas
419,Figur::N,мыгӧр,figūra
420,Puppe::N,акань,lėlė
421,Beutel::N,мешӧк,krepšys
422,Beutel::N,мешӧк,maišelis
423,Bündel::N,нин,ryšulys
424,Tasche::N,сумка,krepšelis
425,Eimer::N,ведра,kibiras
426,Deckel::N,вевт,dangtis
427,Geschirr::N,доз,indai
428,Geschirr::N,бекӧрпань,indai
429,Sack::N,мешӧк,maišas
430,Tasse::N,бекӧр,puodukas
431,Topf::N,кастрюля,puodas
432,Kessel::N,пӧрт,katilas
433,Essen::N,сёйӧм,valgis
434,Nahrung::N,вердан,penas
435,Nahrung::N,вердан,maistas
436,Speise::N,сёян,patiekalas
437,Fleisch::N,яй,mėsa
438,Getreide::N,сю,javai
439,Brei::N,каша,košė
440,Brot::N,нянь,duona
441,Scheibe::N,шӧрӧм,riekė
442,Fett::N,гос,taukai
443,Fett::N,гос,riebalai
444,Butter::N,ви,sviestas
445,Öl::N,ви,aliejus
446,Salz::N,сов,druska
447,Suppe::N,шыд,sriuba
448,Honig::N,ма,medus
449,Milch::N,йӧв,pienas
450,Tee::N,чай,arbata
451,Leder::N,кучик,oda
452,Wolle::N,гӧн,vilna
453,Stoff::N,дӧра,audeklas
454,Nadel::N,ем,adata
455,Faden::N,сунис,gija
456,Faden::N,сунис,siūlas
457,Knopf::N,кизь,saga
458,Knoten::N,узӧв,mazgas
459,Knoten::N,гӧрӧд,mazgas
460,Farbe::N,краска,dažai
461,Kleidung::N,паськӧм,rūbai
462,Kleidung::N,паськӧм,drabužiai
463,Hemd::N,йӧрнӧс,marškiniai
464,Kragen::N,воротник,apykaklė
465,Ärmel::N,сос,rankovė
466,Hose::N,вешьян,kelnės
467,Gürtel::N,йи,juosta
468,Gürtel::N,йи,diržas
469,Mütze::N,шапка,kepurė
470,Schuh::N,ботинки,batas
471,Stiefel::N,сапог,auliniai batai
472,Ring::N,чунькытш,žiedas
473,Band::N,ленточка,kaspinas
474,Kamm::N,сынан,šukos
475,Spiegel::N,зеркало,veidrodis
476,Riemen::N,ремень,diržas
477,Schnur::N,гез,virvė
478,Leine::N,повод,pavadėlis
479,Decke::N,одеяло,antklodė
480,Kissen::N,подушка,pagalvė
481,Kissen::N,подушка,priegalvis
482,Tuch::N,чышьян,skarelė
483,Handtuch::N,чышкӧт,rankšluostis
484,Kraft::N,прак,jėga
485,Stärke::N,вын,stiprumas
486,Gesundheit::N,здоровье,sveikata
487,Krankheit::N,шог,liga
488,Schmerz::N,зубыт,skausmas
489,Wunde::N,рана,žaizda
490,Fieber::N,лёк тресся,karštis
491,Fieber::N,кынтан шогӧт,karštis
492,Arznei::N,лекарство,vaistas
493,Brücke::N,пос,tiltas
494,Brunnen::N,колодец ,šulinys
495,Weide::N,пода йирсян,ganykla
496,Weide::N,пода йирсян,gluosnis
497,Pfad::N,туй,takas
498,Weg::N,туй,kelias
499,Straße::N,туй,gatvė
500,Dorf::N,деревня,kaimas
501,Dorf::N,деревня,sodžius
502,Stadt::N,город,miestas
503,Brief::N,гижӧт,laiškas
504,Buch::N,книга,knyga
505,Buchstabe::N,буква,raidė
506,Zeitung::N,газета,laikraštis
507,Leben::N,олан,gyvybė
508,Leben::N,олан,gyvenimas
509,Tod::N,кулӧм,mirtis
510,Grab::N,гу,kapas
511,Kirche::N,вичку,bažnyčia
512,Sünde::N,грек,nuodėmė
513,Sünde::N,грек,nusidėjimas
514,Gott::N,ен,dievas
515,Arbeiter::N,уджалiсь,darbininkas
516,Chef::N,начальник,šefas
517,Chef::N,начальник,vadovas
518,Chef::N,начальник,viršininkas
519,Meister::N,мастер,meistras
520,Arzt::N,врач,gydytojas
521,Lehrer::N,велӧтісь,mokytojas
522,Geld::N,деньга,pinigai
523,Geschäft::N,удж,biznis
524,Laden::N,магазин,krautuvė
525,Laden::N,магазин,parduotuvė
526,Preis::N,дон,kaina
527,Ware::N,товар,prekė
528,Nutzen::N,путь,nauda
529,Nutzen::N,путь,pelnas
530,Reichtum::N,богатство,turtas
531,Welt::N,му,pasaulis
532,Land::N,страна,žemė
533,Land::N,страна,šalis
534,Staat::N,государство,valstija
535,König::N,кан,karalius
536,Macht::N,власть,galia
537,Macht::N,власть,valdžia
538,Grenze::N,граница,riba
539,Grenze::N,граница,siena
540,Krieg::N,война,karas
541,Feind::N,враг,priešas
542,Kampf::N,нярасьӧм,kova
543,Kampf::N,вермасьӧм,kova
544,Bogen[Waffe]::N,лук,lankas
545,Pfeil::N,ньӧв,strėlė
546,Gewehr::N,ружьё,šautuvas
547,Fehler::N,ошибка,klaida
548,Lüge::N,ылӧтӧм,melas
549,Lüge::N,пӧрьялӧм,melas
550,Schaden::N,лёк,nuostolis
551,Schaden::N,лёк,apgadinimas
552,Unglück::N,пик,nelaimė
553,Unglück::N,оказзё,nelaimė
554,Schuld::N,вина,kaltė
555,Schluss::N,ком,pabaiga
556,Zeit::N,кад,laikas
557,Tag::N,лун,diena
558,Morgen::N,асыв,rytas
559,Mittag::N,луншӧр кад,vidurdienis
560,Abend::N,рыт,vakaras
561,Nacht::N,ой,naktis
562,Woche::N,неделя,savaitė
563,Monat::N,тӧлicь,mėnuo
564,Jahr::N,год,metai
565,Frühling::N,тулыс,pavasaris
566,Sommer::N,гожум,vasara
567,Herbst::N,ар,ruduo
568,Winter::N,тӧв,žiema
569,Januar::N,январ,sausis
570,Februar::N,февраль,vasaris
571,März::N,март,kovas
572,April::N,апрель,balandis
573,Mai::N,май,gegužė
574,Juni::N,юнь,birželis
575,Juli::N,юль,liepa
576,August::N,август,rugpjūtis
577,September::N,сентяб,rugsėjis
578,Oktober::N,октяб,spalis
579,November::N,нояб,lapkritis
580,Dezember::N,декаб,gruodis
581,Montag::N,вильлун,pirmadienis
582,Dienstag::N,мӧдӧдзлун,antradienis
583,Mittwoch::N,шӧрлун,trečiadienis
584,Donnerstag::N,нёльӧдзлун,ketvirtadienis
585,Freitag::N,витӧдзлун,penktadienis
586,Samstag::N,пывсянлун,šeštadienis
587,Sonntag::N,кресення,sekmadienis
588,groß::A,ыджыт,didis
589,groß::A,ыджыт,didelis
590,klein::A,учӧтик,mažas
591,lang::A,кузь,ilgas
592,kurz::A,дженыт,trumpas
593,breit::A,ота,platus
594,schmal::A,векнит,smulkus
595,dicht::A,тшӧк,tankus
596,dick[Gegenstand]::A,кыз,storas
597,dünn::A,вӧснит,plonas
598,fein::A,вӧснит,smulkus
599,fest::A,крепыт,kietas
600,fest::A,крепыт,tvirtas
601,flach::A,лапкӧса,lėkštas
602,flach::A,лапкӧса,plokščias
603,glatt::A,волькыт,slidus
604,hart::A,чӧрыт,kietas
605,weich::A,небыт,minkštas
606,rund::A,гӧгрӧса,apvalus
607,rund::A,гӧгрӧса,apskritas
608,spitz::A,ёся,aštrus
609,spitz::A,ёся,smailus
610,scharf::A,лэчыт,aštrus
611,stumpf::A,ныж,bukas
612,stumpf::A,ныж,atšipęs
613,schwer::A,сьӧкыт,sunkus
614,schön::A,басӧк,gražus
615,heiß::A,жар,karštas
616,warm::A,шоныт,šiltas
617,kalt::A,кӧдзыт,šaltas
618,kühl::A,сайкыт,vėsus
619,kühl::A,сайкыт,bejausmis
620,frisch::A,виль,šviežias
621,feucht::A,вакодь,drėgnas
622,nass::A,ва,šlapias
623,trocken::A,кӧс,sausas
624,voll::A,тыра,pilnas
625,leer::A,тыртӧм,tuščias
626,offen::A,оссьӧм,atviras
627,geschlossen::A,игана,uždaras
628,geschlossen::A,игана,uždarytas
629,geschlossen::A,пӧдана,uždaras
630,geschlossen::A,пӧдана,uždarytas
631,sauber::A,сӧдз,švarus
632,sauber::A,сӧстӧм,švarus
633,schmutzig::A,нятьӧсь,nešvarus
634,schmutzig::A,нятьӧсь,purvinas
635,roh::A,путӧм,žalias
636,reif::A,кисьмалӧм,prinokęs
637,reif::A,кисьмалӧм,pribrendęs
638,lecker::A,кӧра ,gardus
639,süß::A,чӧскыт,saldus
640,bitter::A,курыт,kartus
641,sauer::A,шӧма ,gižus
642,sauer::A,шӧма ,rūgštus
643,hell::A,югыт,šviesus
644,hell::A,югыт,skaistus
645,dunkel::A,пемыт,tamsus
646,schwarz::A,сьӧд,juodas
647,weiß::A,чочком,baltas
648,rot::A,гӧрд,raudonas
649,gelb::A,веж,geltonas
650,blau::A,лӧз,mėlynas
651,grün::A,веж,žalias
652,grau::A,руд,pilkas
653,grau::A,бусӧй,pilkas
654,bunt::A,быдрӧма,margas
655,bunt::A,быдрӧма,spalvotas
656,billig::A,донтӧм,pigus
657,teuer::A,дона,brangus
658,wertvoll::A,дона,vertingas
659,blind::A,синтӧм,aklas
660,taub::A,пельтӧм,kurčias
661,kräftig::A,вына,stiprus
662,stark::A,вына,stiprus
663,schwach::A,некодя,silpnas
664,fett::A,госа,riebus
665,schlank::A,статя,laibas
666,schlank::A,статя,lieknas
667,hübsch::A,басӧк,gražus
668,böse::A,лёк,blogas
669,dumm::A,бӧбӧв,paikas
670,dumm::A,бӧбӧв,kvailas
671,dumm::A,вежӧртӧм,paikas
672,dumm::A,вежӧртӧм,kvailas
673,faul::A,дыш,tingus
674,fleißig::A,уджалicь,stropus
675,fleißig::A,уджалicь,kruopštus
676,geizig::A,жикмӧра,šykštus
677,geizig::A,горшаліcь,šykštus
678,klug::A,авья,sumanus
679,klug::A,авья,protingas
680,klug::A,вежӧра,sumanus
681,klug::A,вежӧра,protingas
682,geschickt::A,кипода,apsukrus
683,lieb::A,муса,mielas
684,lieb::A,дзулиньӧй,mielas
685,lustig::A,гажа,smagus
686,lustig::A,гажа,linksmas
687,sanft::A,лебезнӧй,švelnus
688,sanft::A,лебезнӧй,minkštas
689,hungrig::A,тшыг,alkanas
690,krank::A,шогалiсь,ligotas
691,krank::A,шогалiсь,sergantis
692,nackt::A,куш,nuogas
693,traurig::A,жугыль,liūdnas
694,lebendig::A,ловья,gyvas
695,gut::A,бур,geras
696,schlecht::A,умӧль,blogas
697,schlecht::A,умӧль,prastas
698,schlimm::A,нештӧм,blogas
699,schlimm::A,нештӧм,prastas
700,alt::A,важ,senas
701,neu::A,виль,naujas
702,ehemalig::A,вӧвлӧм,buvęs
703,alt[Lebewesen]::A,года,pagyvenęs
704,alt[Lebewesen]::A,годдэза,pagyvenęs
705,jung::A,том,jaunas
706,arm::A,гов,neturtingas
707,arm::A,беднӧй,neturtingas
708,reich::A,эма,turtingas
709,bekannt::A,тӧдса,žinomas
710,bekannt::A,тӧдса,pažįstamas
711,fremd::A,чужӧй,svetimas
712,verschieden::A,быдкодь,įvairus
713,nah::A,матiсь,artimas
714,fern::A,ылicь,tolimas
715,linker::A,шульга,kairys
716,rechter::A,веськытланись,dešinys
717,anderer::A,мукӧд,kitas
718,erster::A,медодзза,pirmas
719,zweiter::A,кыкӧт,antras
720,dritter::A,куимӧт,trečias
721,dritter::A,куимӧдз,trečias
722,letzter::A,бӧрья,paskutinis
723,letzter::A,мёдбӧрья,paskutinis
724,auf einmal::ADV,тшӧтш,iš karto
725,zusammen::ADV,ӧтлаын,kartu
726,zusammen::ADV,ӧтлаын,drauge
727,lange::ADV,дыр,ilgai
728,plötzlich::ADV,друг,staiga
729,sofort::ADV,тшӧтш,tuojau
730,später::ADV,медбӧрын,vėliau
731,später::ADV,медбӧрын,paskiau
732,jetzt::ADV,ӧні,dabãr
733,heute::ADV,талун,šiandien
734,morgen::ADV,ашын,rytoj
735,bald::ADV,чожа,greitai
736,bald::ADV,чожа,netrukus
737,dann::ADV,сыбӧрын,po to
738,gestern::ADV,тӧн,vakar
739,einst::ADV,ӧтпыр,kadaise
740,einst::ADV,ӧтпыр,kitą kartą
741,damals::ADV,сэк,anuomet
742,damals::ADV,сэк,anuokart
743,damals::ADV,сэки,anuomet
744,damals::ADV,сэки,anuokart
745,danach::ADV,сэсся,po to
746,danach::ADV,сэсся,paskui
747,vorher::ADV,одзжык,anksčiau
748,zuerst::ADV,наперво,pirma
749,zuerst::ADV,наперво,iš pradžių̃
750,einmal::ADV,ӧтпыр,kartą
751,einmal::ADV,ӧтпыр,vieną kartą
752,manchmal::ADV,мукӧдпыр,kai kada
753,oft::ADV,-лы-,dažnai
754,immer::ADV,быдпыр,visada
755,immer::ADV,быдпыр,visuomet
756,immer::ADV,быдпырся,visada
757,immer::ADV,быдпырся,visuomet
758,niemals::ADV,некӧр,niekada
759,niemals::ADV,некӧр,niekuomet
760,hier::ADV,татӧн,čia
761,hierhin::ADV,татчӧ,šen
762,hierhin::ADV,татчӧ,čionai
763,von hier::ADV,тасянь,iš čia
764,dort::ADV,сэтӧн,ten
765,dort::ADV,сэтӧн,tenai
766,dorthin::ADV,сэтчин,ten
767,dorthin::ADV,сэтчин,ten link
768,geradeaus::ADV,веськыта,tiesiai
769,vorwärts::ADV,одзӧ,pirmyn
770,rückwärts::ADV,бӧр,atbulai
771,zurück::ADV,бӧр,atgal
772,unten::ADV,увтын,žemai
773,unten::ADV,увтын,apačioje
774,hinab::ADV,увтас,žemyn
775,oben::ADV,вевдӧрас,viršuj
