,Concept_ID,,it
335,Höhe::N,,altezza
336,Gewicht::N,,peso
337,Menge::N,,quantità
338,Haufen::N,,cùmulo
339,Haufen::N,,mucchio
340,Reihe::N,,fila
341,Boot::N,,barca
342,Boot::N,,battello
343,Ruder::N,,remo
344,Schlitten::N,,slitta
345,Ski::N,,sci
346,Lagerfeuer::N,,falò
347,Lagerfeuer::N,,fuoco di bivacco
348,Last::N,,càrico
349,Gang::N,,andata
350,Schritt::N,,passo
351,Norden::N,,nord
352,Norden::N,,settentrione
353,Süden::N,,sud
354,Süden::N,,meridione
355,Westen::N,,òvest
356,Westen::N,,occidente
357,Osten::N,,est
358,Osten::N,,oriente
359,Holz::N,,legno
360,Brett::N,,asse
361,Brett::N,,tàvola
362,Platte::N,,lastra
363,Platte::N,,piastra
364,Stütze::N,,supporto
365,Stange::N,,sbarra
366,Stange::N,,pèrtica
367,Stock::N,,verga
368,Stock::N,,bastone
369,Stock::N,,bacchetta
370,Stab::N,,asta
371,Rohr::N,,tubo
372,Haus::N,,casa
373,Heim::N,,casa
374,Ofen::N,,stufa
375,Fußboden::N,,pavimento
376,Tisch::N,,tàvolo
377,Stuhl::N,,sedia
378,Wiege::N,,culla
379,Bett::N,,letto
380,Regal::N,,scaffale
381,Kiste::N,,cassa
382,Fenster::N,,finestra
383,Tür::N,,porta
384,Tor::N,,portone
385,Zaun::N,,recinto
386,Dach::N,,tetto
387,Leiter::N,,scala
388,Leiter::N,,scala a pioli
389,Besen::N,,scopa
390,Spaten::N,,vanga
391,Schaufel::N,,pala
392,Gabel::N,,forchetta
393,Löffel::N,,cucchiaio
394,Messer::N,,coltello
395,Nagel::N,,chiodo
396,Netz::N,,rete
397,Haken::N,,uncino
398,Griff::N,,mànico
399,Griff::N,,maniglia
400,Schloss::N,,serratura
401,Bild::N,,quadro
402,Bild::N,,immàgine
403,Figur::N,,figura
404,Puppe::N,,bàmbola
405,Beutel::N,,borsa
406,Beutel::N,,sacchetto
407,Bündel::N,,fascio
408,Bündel::N,,fagotto
409,Tasche::N,,borsa
410,Eimer::N,,secchio
411,Deckel::N,,coperchio
412,Geschirr::N,,stoviglie
413,Sack::N,,sacco
414,Tasse::N,,tazza
415,Topf::N,,pèntola
416,Kessel::N,,paiolo
417,Kessel::N,,calderone
418,Essen::N,,pasto
419,Essen::N,,mangiare
420,Nahrung::N,,cibo
421,Nahrung::N,,alimento
422,Speise::N,,piatto
423,Fleisch::N,,carne
424,Getreide::N,,cereali
425,Brei::N,,purè
426,Brei::N,,pappa
427,Brot::N,,pane
428,Scheibe::N,,fetta
429,Scheibe::N,,trancia
430,Fett::N,,grasso
431,Butter::N,,burro
432,Öl::N,,olio
433,Salz::N,,sale
434,Suppe::N,,zuppa
435,Suppe::N,,minestra
436,Honig::N,,miele
437,Milch::N,,latte
438,Tee::N,,tè
439,Leder::N,,pelle
440,Wolle::N,,lana
441,Stoff::N,,panno
442,Stoff::N,,tessuto
443,Nadel::N,,ago
444,Faden::N,,filo
445,Knopf::N,,bottone
446,Knoten::N,,nodo
447,Farbe::N,,pittura
448,Kleidung::N,,vestiti
449,Kleidung::N,,vestiario
450,Hemd::N,,camicia
451,Kragen::N,,bàvero
452,Kragen::N,,colletto
453,Ärmel::N,,mànica
454,Hose::N,,calzoni
455,Gürtel::N,,cintura
456,Mütze::N,,berretto
457,Schuh::N,,scarpa
458,Stiefel::N,,stivale
459,Ring::N,,anello
460,Band::N,,nastro
461,Band::N,,fettuccia
462,Kamm::N,,pèttine
463,Spiegel::N,,specchio
464,Riemen::N,,cinghia
465,Schnur::N,,corda
466,Leine::N,,guinzaglio
467,Decke::N,,coperta
468,Kissen::N,,cuscino
469,Kissen::N,,guanciale
470,Tuch::N,,fazzoletto
471,Handtuch::N,,asciugamano
472,Kraft::N,,forza
473,Stärke::N,,forza
474,Stärke::N,,vigore
475,Stärke::N,,fortezza
476,Gesundheit::N,,salute
477,Krankheit::N,,malattìa
478,Schmerz::N,,dolore
479,Wunde::N,,piaga
480,Wunde::N,,ferita
481,Fieber::N,,febbre
482,Arznei::N,,fàrmaco
483,Arznei::N,,medicina
484,Brücke::N,,ponte
485,Brunnen::N,,pozzo
486,Weide::N,,pàscolo
487,Pfad::N,,sentiero
488,Weg::N,,via
489,Weg::N,,cammino
490,Straße::N,,strada
491,Dorf::N,,paese
492,Dorf::N,,villaggio
493,Stadt::N,,città
494,Brief::N,,lèttera
495,Buch::N,,libro
496,Buchstabe::N,,lèttera
497,Zeitung::N,,giornale
498,Leben::N,,vita
499,Tod::N,,morte
500,Grab::N,,tomba
501,Grab::N,,sepolcro
502,Kirche::N,,chiesa
503,Sünde::N,,peccato
504,Gott::N,,dio
505,Arbeiter::N,,operaio
506,Arbeiter::N,,lavoratore
507,Chef::N,,capo
508,Chef::N,,padrone
509,Meister::N,,mastro
510,Meister::N,,maestro
511,Arzt::N,,mèdico
512,Arzt::N,,dottore
513,Lehrer::N,,professore
514,Geld::N,,soldi
515,Geld::N,,denaro
516,Geschäft::N,,affare
517,Geschäft::N,,negozio
518,Laden::N,,negozio
519,Preis::N,,prezzo
520,Ware::N,,merce
521,Nutzen::N,,ùtile
522,Nutzen::N,,profitto
523,Reichtum::N,,ricchezza
524,Welt::N,,mondo
525,Land::N,,paese
526,Staat::N,,Stato
527,König::N,,re
528,Macht::N,,potere
529,Grenze::N,,confine
530,Grenze::N,,frontiera
531,Krieg::N,,guerra
532,Feind::N,,nemico
533,Gewalt::N,,violenza
534,Kampf::N,,lotta
535,Bogen[Waffe]::N,,arco
536,Pfeil::N,,freccia
537,Gewehr::N,,fucile
538,Fehler::N,,errore
539,Fehler::N,,sbaglio
540,Lüge::N,,bugìa
541,Lüge::N,,menzogna
542,Schaden::N,,danno
543,Unglück::N,,sfortuna
544,Schuld::N,,colpa
545,Alter::N,,età
546,Schluss::N,,fine
547,Zeit::N,,tempo
548,Tag::N,,giorno
549,Tag::N,,giornata
550,Morgen::N,,mattina
551,Mittag::N,,mezzogiorno
552,Abend::N,,sera
553,Abend::N,,serata
554,Nacht::N,,notte
555,Woche::N,,settimana
556,Monat::N,,mese
557,Jahr::N,,anno
558,Frühling::N,,primavera
559,Sommer::N,,estate
560,Herbst::N,,autunno
561,Winter::N,,inverno
562,Januar::N,,gennaio
563,Februar::N,,febbraio
564,März::N,,marzo
565,April::N,,aprile
566,Mai::N,,maggio
567,Juni::N,,giugno
568,Juli::N,,luglio
569,August::N,,agosto
570,September::N,,settembre
571,Oktober::N,,ottobre
572,November::N,,novembre
573,Dezember::N,,dicembre
574,Montag::N,,lunedì
575,Dienstag::N,,martedì
576,Mittwoch::N,,mercoledì
577,Donnerstag::N,,giovedì
578,Freitag::N,,venerdì
579,Samstag::N,,sàbato
580,Sonntag::N,,domenica
581,groß::A,,grande
582,klein::A,,pìccolo
583,lang::A,,lungo
584,kurz::A,,corto
585,breit::A,,largo
586,schmal::A,,stretto
587,dicht::A,,denso
588,dick[Gegenstand]::A,,spesso
589,dünn::A,,sottile
590,fein::A,,fine
591,fein::A,,delicato
592,fest::A,,sodo
593,fest::A,,fisso
594,flach::A,,piano
595,flach::A,,piatto
596,glatt::A,,liscio
597,hart::A,,duro
598,weich::A,,molle
599,rund::A,,rotondo
600,spitz::A,,aguzzo
601,spitz::A,,appuntito
602,scharf::A,,affilato
603,scharf::A,,tagliente
604,stumpf::A,,smussato
605,schwer::A,,pesante
606,schön::A,,bello
607,heiß::A,,caldo
608,heiß::A,,bollente
609,warm::A,,caldo
610,kalt::A,,freddo
611,kühl::A,,fresco
612,frisch::A,,fresco
613,feucht::A,,ùmido
614,nass::A,,bagnato
615,trocken::A,,secco
616,voll::A,,pieno
617,leer::A,,vuoto
618,offen::A,,aperto
619,geschlossen::A,,chiuso
620,sauber::A,,netto
621,sauber::A,,pulito
622,schmutzig::A,,sporco
623,schmutzig::A,,sùdicio
624,roh::A,,crudo
625,reif::A,,maturo
626,lecker::A,,ghiotto
627,lecker::A,,squisito
628,süß::A,,dolce
629,bitter::A,,amaro
630,sauer::A,,aspro
631,sauer::A,,acerbo
632,hell::A,,chiaro
633,dunkel::A,,buio
634,dunkel::A,,oscuro
635,schwarz::A,,nero
636,weiß::A,,bianco
637,rot::A,,rosso
638,gelb::A,,giallo
639,blau::A,,blu
640,blau::A,,azzurro
641,grün::A,,verde
642,grau::A,,grigio
643,bunt::A,,variopinto
644,billig::A,,a buon prezzo
645,billig::A,,a buon mercato
646,teuer::A,,caro
647,wertvoll::A,,prezioso
648,blind::A,,cieco
649,taub::A,,sordo
650,kräftig::A,,forte
651,kräftig::A,,robusto
652,stark::A,,forte
653,stark::A,,vigoroso
654,schwach::A,,dèbole
655,fett::A,,grasso
656,schlank::A,,snello
657,schlank::A,,slanciato
658,hübsch::A,,bello
659,hübsch::A,,carino
660,böse::A,,cattivo
661,dumm::A,,stùpido
662,faul::A,,pigro
663,fleißig::A,,diligente
664,geizig::A,,avaro
665,klug::A,,intelligente
666,geschickt::A,,àbile
667,lieb::A,,caro
668,lustig::A,,gaio
669,lustig::A,,allegro
670,sanft::A,,dolce
671,hungrig::A,,affamato
672,krank::A,,malato
673,krank::A,,infermo
674,nackt::A,,nudo
675,traurig::A,,triste
676,lebendig::A,,vivo
677,gut::A,,buono
678,schlecht::A,,cattivo
679,richtig::A,,giusto
680,schlimm::A,,grave
681,wahr::A,,vero
682,alt::A,,vecchio
