,Concept_ID,az,he
120,Rinde::N,qabıq,קלפת עץ
121,Ast::N,şax,ענף
122,Zweig::N,budaq,ענף
123,Blatt::N,yarpaq,עלה
124,Birke::N,tozağacı,שדר
125,Kiefer[Baum]::N,şam,ארן
126,Weide[Baum]::N,söyüd,ערבה
127,Tanne::N,küknar,אשוח
128,Horn::N,buynuz,קרן
129,Feder::N,tük,נוצה
130,Feder::N,lələk,נוצה
131,Fell::N,xəz,פרוה
132,Flügel::N,qanad,כנף
133,Klaue::N,pəncə,טלף
134,Kralle::N,dırnaq,טפר
135,Schwanz::N,quyruq,זנב
136,Ei::N,yumurta,ביצה
137,Nest::N,yuva,קן
138,Bau::N,yuva,מחלה
139,Tier::N,heyvan,חיה
140,Herde::N,sürü,עדר
141,Kuh::N,inək,פרה
142,Bulle::N,öküz,פר
143,Pferd::N,at,סוס
144,Schaf::N,qoyun,כבשה
145,Schwein::N,donuz,חזיר
146,Hund::N,it,כלב
147,Hund::N,köpək,כלב
148,Katze::N,pişik,חתול
149,Bär::N,ayı,דב
150,Eichhörnchen::N,dələ,סנאי
151,Elch::N,sığın,דישון
152,Fuchs::N,tülkü,שועל
153,Hase::N,dovşan,ארנב
154,Maus::N,siçan,עכבר
155,Wolf::N,qurd,זאב
156,Vogel::N,quş,צפור
157,Schwarm::N,sürü,נחיל
158,Schwarm::N,sürü,להקה
159,Huhn::N,toyuq,תרנגלת
160,Hahn::N,xoruz,תרנגול
161,Gans::N,qaz,אוז
162,Adler::N,qartal,עיט
163,Adler::N,qaraquş,עיט
164,Ente::N,ördək,ברוז
165,Eule::N,bayquş,ינשוף
166,Kranich::N,durna,עגור
167,Kranich::N,durna,כרוכיה
168,Krähe::N,qarğa,עורב
169,Kuckuck::N,ququ,קוקיה
170,Schwan::N,qu quşu,ברבור
171,Fisch::N,balıq,דג
172,Barsch::N,tar,אוקונוס
173,Hecht::N,durnabalığı,זאב הים
174,Schlange[Tier]::N,ilan,נחש
175,Wurm::N,qurd,תולעת
176,Spinne::N,hörümçək,עכביש
177,Ameise::N,qarışqa,נמלה
178,Laus::N,bit,כנה
179,Mücke::N,ağcaqanad,יתוש
180,Fliege::N,milçək,זבוב
181,Schmetterling::N,kəpənək,פרפר
182,Beere::N,gilə,ענבה
183,Apfel::N,alma,תפוח
184,Pilz::N,göbələk,פטריה
185,Zwiebel::N,soğan,בצל
186,Saat::N,əkin,זרעים
187,Korn::N,taxıl,גרעין
188,Heu::N,quru ot,חציר
189,Schale::N,qabıq,קלפה
190,Grube::N,çuxur,בור
191,Grube::N,çuxur,שוחה
192,Falle::N,tələ,מלכדת
193,Falle::N,duzaq,מלכדת
194,Schlinge::N,ilmək,לולאה
195,Spur::N,iz,עקבה
196,Asche::N,kül,אפר
197,Dreck::N,kir,זהמה
198,Eisen::N,dəmir,ברזל
199,Gold::N,altun,זהב
200,Silber::N,gümüş,כסף
201,Kohle::N,kömür,פחם
202,Glas::N,şüşə,זכוכית
203,Lehm::N,gil,חרסית
204,Lehm::N,palçıq,חרסית
205,Sand::N,qum,חול
206,Mensch::N,adam,אדם
207,Mensch::N,insan,אדם
208,Mann::N,kişi,איש
209,Mann::N,kişi,גבר
210,Frau::N,qadın,אשה
211,Frau::N,qadın,גברת
212,Kind::N,uşaq,ילד
213,Junge::N,oğlan,ילד
214,Mädchen::N,qız,נערה
215,Familie::N,ailə,משפחה
216,Großvater::N,baba,סבא
217,Großmutter::N,nənə,סבתא
218,Eltern::N,valideyn,הורים
219,Vater::N,ata,אב
220,Mutter::N,ana,אם
221,Sohn::N,oğul,בן
222,Tochter::N,qız,בת
223,Bruder::N,qardaş,אח
224,Schwester::N,bacı,אחות
225,Onkel::N,əmi,דוד
226,Onkel::N,dayı,דוד
227,Tante::N,bibi,דודה
228,Ehemann::N,ər,איש
229,Ehemann::N,ər,בעל
230,Ehefrau::N,arvad,אשה
231,Freude::N,nəşə,שמחה
232,Freude::N,sevinc,שמחה
233,Gelächter::N,gülüş,צחוק
234,Gelächter::N,qəhqəhə,צחוק
235,Glück::N,səadət,אשר
236,Glück::N,xoşbəxtlik,אשר
237,Kummer::N,qəm,יגון
238,Kummer::N,qəm,עגמה
239,Kummer::N,kədər,יגון
240,Kummer::N,kədər,עגמה
241,Wunsch::N,arzu,אחול
242,Wunsch::N,arzu,משאלה
243,Lust::N,həvəs,חשק
244,Lust::N,həvəs,תשוקה
245,Geist::N,ruh,רוח
246,Gedanke::N,fikir,מחשבה
247,Gedanke::N,düşüncə,מחשבה
248,Gedächtnis::N,xatir,זכרון
249,Gedächtnis::N,hafizə,זכרון
250,Verstand::N,ağıl,שכל
251,Sinn::N,məna,מובן
252,Sinn::N,məna,משמעות
253,Grund::N,səbəb,סבה
254,Wahrheit::N,haqq,אמת
255,Wahrheit::N,doğruluq,אמת
256,Gespräch::N,söhbət,דיון
257,Gespräch::N,qonuşma,דיון
258,Märchen::N,nağıl,אגדה
259,Erzählung::N,hekayə,ספור
260,Nachricht::N,xəbər,ידיעה
261,Neuigkeit::N,xəbər,חדשה
262,Neuigkeit::N,yenilik,חדשה
263,Name::N,ad,שם
264,Rätsel::N,tapmaca,תעלומה
265,Rede::N,nitq,נאום
266,Sprache::N,dil,לשון
267,Stimme::N,səs,קול
268,Wort::N,söz,מלה
269,Wort::N,kəlmə,מלה
270,Zeichen::N,nişan,סימן
271,Ruf::N,çığırtı,קריאה
272,Lärm::N,gurultu,רעש
273,Laut::N,səs,הגה
274,Ton::N,ton,צליל
275,Lied::N,mahnı,שיר
276,Ruhe::N,sakitlik,שלוה
277,Leute::N,xalq,אנשים
278,Volk::N,millət,עם
279,Arbeit::N,iş,עבודה
280,Arbeit::N,əmək,עבודה
281,Gast::N,qonaq,אורח
282,Gast::N,müsafir,אורח
283,Geschenk::N,hədiyyə,מתנה
284,Spiel::N,oyun,משחק
285,Spiel::N,tamaşa,משחק
286,Gesellschaft::N,cəmiyyet,חברה
287,Hilfe::N,kömək,עזרה
288,Hilfe::N,yardım,עזרה
289,Freund::N,dost,חבר
290,Freund::N,dost,ידיד
291,Kamerad::N,yoldaş,רע
292,Angelegenheit::N,iş,ענין
293,Anzahl::N,say,מספר
294,Art::N,çeşid,סוג
295,Stück::N,dənə,חתיכה
296,Stück::N,parça,חתיכה
297,Teil::N,qisim,פרק
298,Hälfte::N,yarım,חצי
299,Kreis::N,dairə,מעגל
300,Kreuz::N,xaç,צלב
301,Linie::N,xətt,קו
302,Strich::N,cızıq,קו קצר
303,Abstand::N,məsafə,מרחק
304,Entfernung::N,məsafə,מרחק
305,Entfernung::N,uzaqlıq,מרחק
306,Gegend::N,bölgə,נוף
307,Platz::N,yer,שטח
308,Ort::N,yer,אתר
309,Ort::N,yer,מקום
310,Seite::N,yan,צד
311,Seite::N,tərəf,צד
312,Mitte::N,orta,אמצע
313,Gegenstand::N,şey,אוביקט
314,Sache::N,şey,דבר
315,Rand::N,kənar,פרור
316,Kante::N,tiyə,קצה
317,Kante::N,kənar,קצה
318,Ecke::N,bucaq,פנה
319,Spitze::N,uc,קצה
320,Ende::N,son,סוף
321,Ende::N,axır,סוף
322,Loch::N,deşik,חר
323,Winkel::N,guşə,פנה
324,Muster::N,ülgü,תבנית
325,Größe::N,böyüklük,גדל
326,Länge::N,uzunluq,ארך
327,Höhe::N,yüksəklik,קומה
328,Höhe::N,yüksəklik,גבה
329,Gewicht::N,çəki,משקל
330,Gewicht::N,ağırlıq,משקל
331,Menge::N,miqdar,כמות
332,Haufen::N,yığın,ערמה
333,Reihe::N,səf,רצף
334,Reihe::N,sıra,רצף
335,Boot::N,qayıq,סירה
336,Ruder::N,kürək,משוט
337,Schlitten::N,kirşə,מזחלת
338,Ski::N,xizək,מגלשים
339,Lagerfeuer::N,düşərgə tonqalı,מדורה
340,Last::N,yük,משא
341,Gang::N,yeriş,הליכה
342,Schritt::N,addım,צעד
343,Norden::N,şimal,צפון
344,Süden::N,cənub,דרום
345,Westen::N,qərb,מערב
346,Osten::N,şərq,מזרח
347,Holz::N,ağac,עץ
348,Holz::N,taxta,עץ
349,Brett::N,taxta,קרש
350,Platte::N,lövhə,לוח
351,Stütze::N,dayaq,משען
352,Stütze::N,dəstək,משען
353,Stange::N,şüvül,מוט
354,Stock::N,dəyənək,מקל
355,Stab::N,əsa,מוט
356,Stab::N,şüvül,מוט
357,Rohr::N,boru,צנור
358,Rohr::N,truba,צנור
359,Haus::N,ev,בית
360,Heim::N,ev,בית
361,Ofen::N,peç,תנור
362,Ofen::N,soba,תנור
363,Fußboden::N,döşəmə,רצפה
364,Tisch::N,masa,שלחן
365,Stuhl::N,stul,כסא
366,Wiege::N,beşik,ערש
367,Bett::N,yataq,מטה
368,Regal::N,rəf,מדף
369,Kiste::N,yeşik,תבה
370,Kiste::N,yeşik,ארגז
371,Kiste::N,sandıq,תבה
372,Kiste::N,sandıq,ארגז
373,Fenster::N,pəncərə,חלון
374,Tür::N,qapı,דלת
375,Tor::N,darvaza,שער
376,Zaun::N,çəpər,גדר
377,Dach::N,dam,גג
378,Leiter::N,nərdivan,סלם
379,Besen::N,süpürgə,מטאטא
380,Spaten::N,kürək,את
381,Schaufel::N,kürək,את
382,Gabel::N,çəngəl,מזלג
383,Löffel::N,qaşıq,כף
384,Messer::N,bıçaq,סכין
385,Nagel::N,mıx,מסמר
386,Netz::N,tor,רשת
387,Haken::N,çəngəl,וו
388,Haken::N,çəngəl,קרס
389,Griff::N,qulp,ידית
390,Griff::N,tutacaq,ידית
391,Schloss::N,qıfıl,מנעול
392,Bild::N,rəsm,תמונה
393,Figur::N,şəkil,פסל
394,Figur::N,heykəl,פסל
395,Puppe::N,kukla,בבה
396,Puppe::N,gəlincik,בבה
397,Beutel::N,kisə,שק
398,Beutel::N,torba,שק
399,Bündel::N,bağlama,צרור
400,Tasche::N,çanta,שקית
401,Eimer::N,vedrə,דלי
402,Eimer::N,çəllək,דלי
403,Deckel::N,qapaq,מכסה
404,Geschirr::N,qab-qazan,כלים
405,Sack::N,çuval,שק
406,Tasse::N,fincan,ספל
407,Topf::N,qazan,סיר
408,Kessel::N,qazan,קנקן
409,Essen::N,yemək,אכל
410,Essen::N,yemək,ארוחה
411,Nahrung::N,qida,הזנה
412,Nahrung::N,qida,תזונה
413,Speise::N,xörək,מאכל
414,Speise::N,xörək,ארוחה
415,Fleisch::N,ət,בשר
416,Getreide::N,taxıl,דגן
417,Brei::N,aş,מחית
418,Brei::N,sıyıq,מחית
419,Brot::N,çörək,לחם
420,Scheibe::N,dilim,עגול
421,Scheibe::N,dilim,פרוסה
422,Fett::N,yağ,שמן
423,Butter::N,kərə yağı,חמאה
424,Öl::N,yağ,שמן
425,Salz::N,duz,מלח
426,Suppe::N,şorba,מרק
427,Honig::N,bal,דבש
428,Milch::N,süd,חלב
429,Tee::N,çay,תה
430,Leder::N,dəri,עור
431,Wolle::N,yun,צמר
432,Stoff::N,qumaş,בד
433,Stoff::N,qumaş,אריג
434,Nadel::N,iynə,מחט
435,Faden::N,sap,חוט
436,Knopf::N,düymə,כפתור
437,Knoten::N,düyün,קשר
438,Farbe::N,boya,צבע
439,Kleidung::N,geyim,בגדים
440,Hemd::N,köynək,חלצה
441,Kragen::N,yaxa,צוארון
442,Ärmel::N,qol,שרוול
443,Hose::N,şalvar,מכנסים
444,Gürtel::N,kəmər,חגורה
445,Mütze::N,şapka,כובע
446,Schuh::N,tufli,נעל
447,Schuh::N,ayaqqabı,נעל
448,Stiefel::N,çəkmə,מגף
449,Ring::N,üzük,טבעת
450,Band::N,lent,סרט
451,Kamm::N,daraq,מסרק
452,Spiegel::N,güzgü,מראה
453,Riemen::N,qayış,רצועה
454,Schnur::N,ip,חבל
455,Leine::N,kəmsik,מושכות
456,Decke::N,ədyal,שמיכה
457,Decke::N,yorğan,שמיכה
458,Kissen::N,yastıq,כרית
459,Tuch::N,şarf,צעיף
460,Tuch::N,kaşne,צעיף
461,Handtuch::N,dəsmal,מגבת
462,Kraft::N,güc,כוח
463,Stärke::N,qüvvət,און
464,Gesundheit::N,sağlamlıq,בריאות
465,Krankheit::N,xəstəlik,מחלה
466,Schmerz::N,ağrı,כאב
467,Schmerz::N,sancı,כאב
468,Wunde::N,yara,פציעה
469,Fieber::N,isitmə,חם
470,Fieber::N,qızdırma,חם
471,Arznei::N,ilaç,תרופה
472,Arznei::N,dərman,תרופה
473,Brücke::N,körpü,גשר
474,Brunnen::N,quyu,באר
475,Weide::N,otlaq,אחו
476,Weide::N,otlaq,מרעה
477,Pfad::N,cığır,שביל
478,Pfad::N,cığır,מדרכה
479,Weg::N,yol,דרך
480,Straße::N,küçə,כביש
481,Dorf::N,kənd,כפר
482,Stadt::N,şəhər,עיר
483,Brief::N,məktub,מכתב
484,Buch::N,kitab,ספר
485,Buchstabe::N,hərf,אות
486,Zeitung::N,qəzet,עתון
487,Leben::N,həyat,חיים
488,Tod::N,ölüm,מות
489,Grab::N,qəbir,קבר
490,Kirche::N,kilsə,כנסיה
491,Sünde::N,günah,חטא
492,Gott::N,tanrı,אל
493,Arbeiter::N,işçi,פועל
494,Chef::N,şef,ראש
495,Chef::N,şef,מנהל
496,Chef::N,rəis,ראש
497,Chef::N,rəis,מנהל
498,Meister::N,usta,ממחה
499,Arzt::N,həkim,רופא
500,Arzt::N,doktor,רופא
501,Lehrer::N,müəllim,מורה
502,Geld::N,pul,כסף
503,Geschäft::N,ticarət,עסקה
504,Laden::N,dükan,חנות
505,Preis::N,qiymət,מחיר
506,Ware::N,mal,סחורה
507,Nutzen::N,fayda,תועלת
508,Reichtum::N,zənginlik,עשר
509,Welt::N,aləm,עולם
510,Welt::N,dünya,עולם
511,Land::N,ölkə,ארץ
512,Staat::N,dövlət,מדינה
513,König::N,kral,מלך
514,König::N,məlik,מלך
515,Macht::N,qüdrət,כוח
516,Grenze::N,hüdud,גבול
517,Grenze::N,sərhət,גבול
518,Krieg::N,hərb,מלחמה
519,Krieg::N,müharibə,מלחמה
520,Feind::N,düşmən,אויב
521,Gewalt::N,cəbr,אלימות
522,Kampf::N,savaş,קרב
523,Kampf::N,savaş,לחימה
524,Bogen[Waffe]::N,yay,קשת
525,Pfeil::N,ox,חץ
526,Gewehr::N,tüfəng,רובה
527,Fehler::N,xəta,טעות
528,Lüge::N,yalan,שקר
529,Schaden::N,ziyan,נזק
530,Unglück::N,bəla,מזל רע
531,Schuld::N,təqsir,אשמה
532,Alter::N,yaş,גיל
533,Schluss::N,son,סיום
534,Zeit::N,vaxt,זמן
535,Zeit::N,zaman,זמן
536,Tag::N,gün,יום
537,Morgen::N,sabah,בקר
538,Mittag::N,günorta,צהרים
539,Abend::N,axşam,ערב
540,Nacht::N,gecə,לילה
541,Woche::N,həftə,שבוע
542,Monat::N,ay,חדש
543,Jahr::N,il,שנה
544,Frühling::N,yaz,אביב
545,Frühling::N,bahar,אביב
546,Sommer::N,yay,קיץ
547,Herbst::N,payız,סתו
548,Winter::N,qış,חרף
549,Januar::N,Janvar,ינואר
550,Februar::N,Fevral,פברואר
551,März::N,Mart,מרץ
552,April::N,Aprel,אפריל
553,Mai::N,May,מאי
554,Juni::N,İyun,יוני
555,Juli::N,İyul,יולי
556,August::N,Avqust,אוגוסט
557,September::N,Sentyabr,ספטמבר
558,Oktober::N,Oktyabr,אוקטובר
559,November::N,Noyabr,נובמבר
560,Dezember::N,Dekabr,דצמבר
561,Montag::N,bazar ertəsi,יום שני
562,Dienstag::N,çərşənbə axşamı,יום שלישי
563,Mittwoch::N,çərşənbə,יום רביעי
564,Donnerstag::N,cüme axşamı,יום חמישי
565,Freitag::N,cüme,יום ששי
566,Samstag::N,şənbə,יום שבת
567,Sonntag::N,bazar,יום ראשון
568,groß::A,böyük,גדול
569,klein::A,kiçik,קטן
570,lang::A,uzun,ארך
571,kurz::A,qısa,קצר
572,breit::A,enli,רחב
573,breit::A,geniş,רחב
574,schmal::A,dar,צר
575,dicht::A,sıx,צפוף
576,dick[Gegenstand]::A,qalın,עבה
577,dünn::A,nazik,דק
578,fein::A,incə,מעדן
579,fest::A,bərk,מוצק
580,fest::A,möhkəm,מוצק
581,flach::A,düz,שטוח
582,glatt::A,hamar,חלק
583,hart::A,sərt,קשיח
584,weich::A,yumşaq,רך
585,rund::A,yuvarlaq,עגל
586,spitz::A,uclu,חד
587,spitz::A,sivri,חד
588,scharf::A,kəskin,חד
589,stumpf::A,küt,קהה
590,schwer::A,ağır,כבד
591,schön::A,gözəl,יפה
592,schön::A,gəşəng,יפה
593,heiß::A,isti,חם
594,warm::A,ilıq,חם
595,kalt::A,soyuq,קר
596,kühl::A,sərin,צונן
597,frisch::A,təzə,טרי
598,feucht::A,nəm,לח
599,nass::A,yaş,רטוב
600,trocken::A,quru,יבש
601,voll::A,dolu,מלא
602,leer::A,boş,ריק
603,offen::A,açıq,פתוח
604,geschlossen::A,qapalı,סגור
605,sauber::A,təmiz,נקי
606,schmutzig::A,kirli,מלכלך
607,roh::A,çiy,חי
608,reif::A,yetişmiş,בשל
609,lecker::A,dadlı,טעים
610,lecker::A,ləzzətli,טעים
611,süß::A,şirin,מתוק
612,bitter::A,acı,מר
613,sauer::A,turş,חמוץ
614,hell::A,aydın,בהיר
615,dunkel::A,qaranlıq,עמום
616,schwarz::A,qara,שחר
617,weiß::A,ağ,לבן
618,rot::A,qırmızı,אדם
619,gelb::A,sarı,צהב
620,blau::A,göy,כחל
621,blau::A,mavi,כחל
622,grün::A,yaşıl,ירק
623,grau::A,boz,אפר
624,bunt::A,əlvan,צבעוני
625,bunt::A,rəngli,צבעוני
626,billig::A,ucuz,זול
627,teuer::A,bahalı,יקר
628,wertvoll::A,qiymətli,יקר ערך
629,blind::A,kor,עור
630,taub::A,kar,חרש
631,kräftig::A,güclü,חסן
632,stark::A,qüvvətli,חזק
633,schwach::A,zəif,חלש
634,schwach::A,gücsüz,חלש
635,fett::A,şişman,שמן
636,schlank::A,zərif,רזה
637,hübsch::A,göyçək,יפה תאר
638,böse::A,fəna,רשע
639,dumm::A,axmaq,טפש
640,faul::A,tənbəl,עצלן
641,fleißig::A,çalışqan,חרוץ
642,geizig::A,xəsis,קמצן
643,klug::A,ağıllı,נבון
644,klug::A,ağıllı,פקח
645,geschickt::A,bacarıqlı,מימן
646,lieb::A,əziz,יקר
647,lieb::A,əziz,אהוב
648,lieb::A,sevimli,יקר
649,lieb::A,sevimli,אהוב
650,lustig::A,məzəli,עליז
651,lustig::A,gülməli,עליז
652,sanft::A,mülayim,עדין
653,hungrig::A,ac,רעב
654,krank::A,xəstə,חולה
655,nackt::A,çılpaq,ערום
656,traurig::A,qəmgin,עצוב
657,traurig::A,kədərli,עצוב
658,lebendig::A,canlı,חי
659,gut::A,yaxşı,טוב
660,schlecht::A,pis,גרוע
661,richtig::A,doğru,נכון
662,schlimm::A,fəna,רע
663,wahr::A,gərçək,אמתי
664,alt::A,əski,ישן
665,alt::A,köhnə,ישן
666,neu::A,yeni,חדש
667,ehemalig::A,əvvəlki,לשעבר
668,alt[Lebewesen]::A,qoca,זקן
669,jung::A,gənc,צעיר
670,arm::A,kasıb,עני
671,arm::A,yoxsul,עני
672,reich::A,zəngin,עשיר
673,bekannt::A,tanış,ידוע
674,berühmt::A,məşhur,מפרסם
675,fremd::A,yad,זר
676,verschieden::A,dürlü,שונה
677,nah::A,yaxın,קרוב
678,fern::A,uzaq,רחוק
679,linker::A,sol,שמאלי
680,rechter::A,sağ,ימין
681,anderer::A,başqa,אחר
682,erster::A,birinci,ראשון
683,zweiter::A,ikinci,שני
684,dritter::A,üçüncü,שלישי
685,letzter::A,sonuncu,אחרון
686,letzter::A,axırıncı,אחרון
687,allein::ADV,tək,לבד
688,allein::ADV,yalqız,לבד
689,auf einmal::ADV,birdən,בו-זמנית
690,zusammen::ADV,birlikdə,ביחד
691,lange::ADV,uzun,הרבה זמן
692,plötzlich::ADV,qəfildən,לפתע
693,plötzlich::ADV,qəfildən,פתאום
694,sofort::ADV,həmən,מיד
695,sofort::ADV,dərhal,מיד
696,später::ADV,sonra,לאחר זמן
697,später::ADV,sonra,יותר מאחר
698,jetzt::ADV,indi,עכשיו
699,heute::ADV,bugün,היום
700,morgen::ADV,sabah,מחר
701,bald::ADV,yaxında,בקרוב
702,bald::ADV,tezliklə,בקרוב
703,dann::ADV,onda,אחר-כך
704,gestern::ADV,dünən,אתמול
705,einst::ADV,əvvəllər,לפנים
706,damals::ADV,o vaxt,אז
707,danach::ADV,sonra,אחר-כך
708,vorher::ADV,qabaqcadan,לפני זה
709,zuerst::ADV,əvvəl,קדם
710,einmal::ADV,bir dəfə,פעם
711,manchmal::ADV,hərdənbir,לפעמים
712,oft::ADV,tez-tez,לעתים קרובות
713,oft::ADV,çox vaxt,לעתים קרובות
714,immer::ADV,daimi,תמיד
715,immer::ADV,həmişə,תמיד
716,niemals::ADV,əsla,אף פעם
717,niemals::ADV,heç bir zaman,אף פעם
718,hier::ADV,bura,כאן
719,hier::ADV,burada,כאן
720,hierhin::ADV,buraya,פה
721,von hier::ADV,buradan,מפה
722,dort::ADV,ora,שם
723,dort::ADV,orada,שם
724,dorthin::ADV,oraya,שם
725,geradeaus::ADV,düz,ישר
726,vorwärts::ADV,irəli,קדימה
727,rückwärts::ADV,geri,לאחור
728,zurück::ADV,geriyə,בחזרה
729,zurück::ADV,geriyə,אחורנית
730,unten::ADV,aşağıda,למטה
731,hinab::ADV,aşağı,למטה
732,oben::ADV,yuxarıda,מעל
733,oben::ADV,yuxarıda,למעלה
734,hinauf::ADV,yuxarı,למעלה
735,überall::ADV,hər yerdə,בכל מקום
736,nicht::ADV,-ma-,לא
737,ein wenig::ADV,bir az,קצת
738,kaum::ADV,güclə,בקשי
739,sehr::ADV,çox,מאוד
740,so::ADV,belə,כך
741,so::ADV,belə,ככה
742,noch::ADV,hələ,עוד
743,noch::ADV,hələ,עדין
744,nur::ADV,yalnız,רק
745,schon::ADV,artıq,כבר
746,wieder::ADV,yenə,שוב
747,vergebens::ADV,boş yerə,לריק
748,vergebens::ADV,boş yerə,לשוא
749,vor::PRP,önündə,מול
750,hinter::PRP,arxasında,מאחורי
751,unter::PRP,altında,מתחת
752,durch::PRP,içindən,דרך
753,neben::PRP,yanında,ליד
754,neben::PRP,yanında,על-יד
755,zwischen::PRP,arasında,בין
756,wegen::PRP,üçün,בשל
757,wegen::PRP,üçün,בגלל
758,wegen::PRP,ötəri,בשל
759,wegen::PRP,ötəri,בגלל
760,dies::PRN,bu,זה
761,das::PRN,o,זה
762,alles::PRN,hər şey,הכל
763,ich::PRN,mən,אני
764,du::PRN,sən,את
765,du::PRN,sən,אתה
766,er::PRN,o,הוא
767,wir::PRN,biz,אנחנו
768,ihr::PRN,siz,לה
769,sie::PRN,onlar,הם
770,was::FPRN,nə,מה
771,wer::FPRN,kim,מי
772,wo::FADV,harada,איפה
773,wohin::FADV,haraya,לאן
774,wie::FADV,necə,איך
775,warum::FADV,niyə,למה
776,warum::FADV,nə üçün,למה
777,wieviel::FNUM,neçə,כמה
778,wieviel::FNUM,nə qədər,כמה
779,eins::NUM,bir,אחד
780,zwei::NUM,iki,שתים
781,drei::NUM,üç,שלושה
782,vier::NUM,dörd,ארבעה
783,fünf::NUM,beş,חמשה
784,sechs::NUM,altı,ששה
785,sieben::NUM,yeddi,שבעה
786,acht::NUM,səkkiz,שמונה
787,neun::NUM,doqquz,תשעה
788,zehn::NUM,on,עשרה
789,elf::NUM,on bir,אחת עשרה
790,zwölf::NUM,on iki,שתים עשרה
791,zwanzig::NUM,iyirmi,עשרים
792,dreißig::NUM,otuz,שלושים
793,vierzig::NUM,qırx,ארבעים
