,Concept_ID,ab,eu
133,Bucht::N,аӡбжьахала,golko
134,Insel::N,адгьылбжьаха,irla
135,Insel::N,адгьылбжьаха,uharte
136,Blume::N,ашəҭ,lili
137,Gras::N,аҳасакьын,belar
138,Wurzel::N,адац,zuztar
139,Wurzel::N,адац,sustrai
140,Baum::N,аҵла,zuhaitz
141,Stamm::N,ашьапы,enbor
142,Rinde::N,ацəа,azal
143,Ast::N,амахə,adar
144,Ast::N,амахəҭа,adar
145,Zweig::N,амахə,abar
146,Zweig::N,амахəҭа,abar
147,Blatt::N,абҕьы,hosto
148,Birke::N,аҵааҵла,urki
149,Kiefer[Baum]::N,амза,ler
150,Weide[Baum]::N,аҧслыш,zume
151,Weide[Baum]::N,аҧслыш,sahats
152,Tanne::N,аҧсаӡ,izei
153,Horn::N,атəыҩа,adar
154,Feder::N,ахӡы,luma
155,Feder::N,ахӡы,hegaki
156,Fell::N,ацəа,ile
157,Fell::N,ацəа,larru
158,Flügel::N,амҵəыжəа,hego
159,Klaue::N,ашьапхыц,atzapar
160,Schwanz::N,аҵыхəа,isats
161,Schwanz::N,аҵыхəа,buztan
162,Ei::N,акəтаӷь,arrautza
163,Nest::N,аҭра,habia
164,Nest::N,аҵысҭра,habia
165,Bau::N,аҭыҩра,ohantze
166,Tier::N,аҧстəы,abere
167,Tier::N,аҧстəы,piztia
168,Tier::N,агыгшəыг,abere
169,Tier::N,агыгшəыг,piztia
170,Herde::N,агəарҭа,saldo
171,Herde::N,агəарҭа,abere talde
172,Kuh::N,ажə,behi
173,Bulle::N,ацə,zezen
174,Pferd::N,аҽы,zaldi
175,Schaf::N,ауаса,ardi
176,Schwein::N,аҳəа,urde
177,Schwein::N,аҳəа,txerri
178,Hund::N,ала,txakur
179,Katze::N,ацгəы,katu
180,Bär::N,амшə,hartz
181,Eichhörnchen::N,аеш,urtxintxa
182,Elch::N,аҽаҩа,altze
183,Fuchs::N,абгахəыҷы,azeri
184,Hase::N,ажьа,erbi
185,Maus::N,аҳəынаҧ,sagu
186,Wolf::N,абгаду,otso
187,Vogel::N,аҧсаатə,txori
188,Vogel::N,аҧсаатə,hegazti
189,Huhn::N,акəты,oilo
190,Hahn::N,арбаҕь,oilar
191,Gans::N,аҟыз,antzara
192,Adler::N,ауарба,arrano
193,Ente::N,акəата,ahate
194,Eule::N,аты,hontza
195,Kranich::N,апҟа,kurrilo
196,Krähe::N,аҟəараан,bele
197,Kuckuck::N,акəыкəу,kuku
198,Schwan::N,агьад,beltxarga
199,Fisch::N,аҧсыӡ,arrain
200,Barsch::N,ацəыбла,perka
201,Hecht::N,ахиаала,lutxo
202,Schlange[Tier]::N,амаҭ,suge
203,Wurm::N,ахəа,har
204,Wurm::N,ахəац,har
205,Spinne::N,абызкаҭаҳа,armiarma
206,Ameise::N,ашышкамс,inurri
207,Laus::N,аҵа,zorri
208,Mücke::N,акəыбры,eltxo
209,Fliege::N,амҵ,euli
210,Schmetterling::N,аҧарҧалыкь,pinpirin
211,Schmetterling::N,аҧарҧалыкь,tximeleta
212,Beere::N,аргуц,baia
213,Apfel::N,аҵəа,sagar
214,Pilz::N,акəкəбаа,onddo
215,Pilz::N,акəкəбаа,perretxiko
216,Zwiebel::N,аџьымшьы,tipula
217,Zwiebel::N,аџьымшьхы,tipula
218,Saat::N,ажəла,haziak
219,Korn::N,арыц,ale
220,Korn::N,арыц,pikor
221,Heu::N,аҭəа,belar ondu
222,Schale::N,ацəа,azal
223,Grube::N,ажра,hobi
224,Grube::N,атыша,hobi
225,Falle::N,арыҧҟьа,harrapagailu
226,Schlinge::N,аҟəараҟəантə,bilur
227,Schlinge::N,аҟəараҟəантə,xedera
228,Spur::N,ашьҭа,lorratz
229,Asche::N,ахəа,errauts
230,Dreck::N,аҳəынҵəа,satsukeria
231,Dreck::N,аҟьамсар,satsukeria
232,Eisen::N,аиха,burdina
233,Gold::N,ахьы,urre
234,Gold::N,ахьы,urregorri
235,Silber::N,аразны,zilar
236,Silber::N,аразны,urrezuri
237,Kohle::N,арацəа,ikatz
238,Glas::N,асаркьа,beira
239,Lehm::N,анышəаҧшь,buztin
240,Sand::N,аҧслымӡ,harea
241,Sand::N,аҧслымӡ,hondar
242,Mensch::N,ауаҩы,gizaki
243,Mann::N,ахаҵа,gizon
244,Frau::N,аҧҳəыс,andere
245,Frau::N,аҧҳəыс,emakume
246,Kind::N,ахəыҷы,haur
247,Junge::N,аҷкəын,mutil
248,Junge::N,ахаҵарҧыс,mutil
249,Mädchen::N,аӡӷаб,neska
250,Familie::N,аҭаацəа,sendi
251,Familie::N,аҭаацəа,familia
252,Großvater::N,абду,aitona
253,Großvater::N,абду,aitatxi
254,Großmutter::N,анду,amona
255,Großmutter::N,анду,amatxi
256,Eltern::N,ани аби,gurasoak
257,Vater::N,аб,aita
258,Mutter::N,ан,ama
259,Sohn::N,аҧа,seme
260,Tochter::N,аҧҳа,alaba
261,Bruder::N,аиашьа,neba
262,Bruder::N,аиашьа,anaia
263,Schwester::N,Аҳəшьа,ahizpa
264,Onkel::N,абиашьа,osaba
265,Onkel::N,аншьа,osaba
266,Tante::N,абиаҳəшьа,izeba
267,Ehemann::N,ахаҵа,senar
268,Ehemann::N,аҧшəма,senar
269,Ehefrau::N,аҧҳəыс,emazte
270,Freude::N,агəырӷьара,poz
271,Freude::N,агəырӷьара,pozkari
272,Gelächter::N,ачча,barre
273,Gelächter::N,ачча,karkara
274,Gelächter::N,аччара,barre
275,Gelächter::N,аччара,karkara
276,Glück::N,аразҟы,zori
277,Kummer::N,агəырҩа,xangrin
278,Kummer::N,агəырҩа,atsekabe
279,Wunsch::N,агəхəтəы,nahi
280,Wunsch::N,агəхəтəы,nahikunde
281,Wunsch::N,аҭахра,nahi
282,Wunsch::N,аҭахра,nahikunde
283,Lust::N,агəазыҳəара,gogo
284,Geist::N,аҧсы,gogo
285,Gedanke::N,ахəыцырҭа,gogoeta
286,Gedächtnis::N,агəынкылара,oroimen
287,Gedächtnis::N,агəынкылара,gogoramen
288,Verstand::N,ахшыҩ,adimen
289,Verstand::N,ахшыҩ,ulermen
290,Sinn::N,аҵакы,zentzu
291,Grund::N,амзыз,zergati
292,Wahrheit::N,аиаша,egia
293,Gespräch::N,аиҿцәажәара,hizketa
294,Gespräch::N,аиҿцәажәара,elkarrizketa
295,Märchen::N,алакə,ipuin
296,Erzählung::N,ажәабжь,edesti
297,Erzählung::N,ажәабжь,kontakizun
298,Nachricht::N,адырраҭара,albiste
299,Neuigkeit::N,ажәабжь ҿыц,berri
300,Name::N,ахьӡ,izen
301,Rätsel::N,ацуфара,asmakizun
302,Rede::N,ажәа,hitzaldi
303,Rede::N,ажәа,mintzaldi
304,Sprache::N,абызшəа,hizkuntza
305,Stimme::N,абжьы,ahots
306,Wort::N,ажәа,hitz
307,Zeichen::N,адырга,agerbide
308,Zeichen::N,адырга,agergarri
309,Ruf::N,аҿҭы,dei
310,Lärm::N,ашьҭыбжь,zarata
311,Lärm::N,ашьҭыбжь,harrabots
312,Laut::N,ашьҭыбжь,hots
313,Ton::N,атон,tonu
314,Ton::N,атон,soinu
315,Lied::N,ашəа,abesti
316,Ruhe::N,аҭынчра,nasaitasun
317,Leute::N,ауаа,jende
318,Volk::N,ажəлар,herri
319,Volk::N,ажəлар,populu
320,Arbeit::N,аусура,lan
321,Gast::N,асас,arrotz
322,Gast::N,асас,apopilo
323,Geschenk::N,аҳамҭа,opari
324,Geschenk::N,аҿанҵа,opari
325,Spiel::N,ахəмарра,jolas
326,Gesellschaft::N,агəыҧ,gizarte
327,Hilfe::N,ацхыраара,helpide
328,Hilfe::N,ацхыраара,laguntza
329,Freund::N,аҩыза,lagun
330,Kamerad::N,Аҧхнагьла,adiskide
331,Kamerad::N,Аҧхнагьла,lagunkide
332,Angelegenheit::N,аус,afera
333,Anzahl::N,ахыҧхьаӡара,kopuru
334,Art::N,ахкы,mota
335,Stück::N,аҽыҭ,puska
336,Teil::N,ахəҭа,atal
337,Hälfte::N,абжа,erdi
338,Kreis::N,агьагьа,biribilki
339,Kreuz::N,аџьар,gurutze
340,Linie::N,аицтәар,linea
341,Strich::N,ацəаҳəа,marra
342,Abstand::N,абжьара,tarte
343,Entfernung::N,абжьара,urrunera
344,Gegend::N,аҭыҧ,alderdi
345,Gegend::N,аҭыҧ,eskualde
346,Platz::N,аҭыҧ,leku
347,Ort::N,аҭыҧ,toki
348,Seite::N,аган,albo
349,Mitte::N,агəҭа,erdi
350,Gegenstand::N,амаҭəар,gauzaki
351,Rand::N,аҵкар,ertz
352,Kante::N,авардым,ertz
353,Ecke::N,акəакь,kantoi
354,Spitze::N,аҧынҵа,punta
355,Ende::N,анаӡара,buru
356,Ende::N,анаӡара,mutur
357,Loch::N,акылҵəара,zulo
358,Winkel::N,агҿаҩра,zoko
359,Winkel::N,агҿаҩра,bazter
360,Winkel::N,акəындхə,zoko
361,Winkel::N,акəындхə,bazter
362,Winkel::N,акəакь,zoko
363,Winkel::N,акəакь,bazter
364,Muster::N,аҟҟа,eredu
365,Muster::N,аҟҟа,marrazki
366,Größe::N,изаҟароу,kaizu
367,Größe::N,изаҟароу,tamaina
368,Länge::N,аура,luzera
369,Höhe::N,агылара,goiera
370,Höhe::N,агылара,garaiera
371,Gewicht::N,акапан,hazta
372,Haufen::N,ачаҟəа,pila
373,Haufen::N,ачаҟəа,mendoi
374,Reihe::N,ацəаҳəа,ilara
375,Reihe::N,ацəаҳəа,errenkada
376,Boot::N,анышь,potin
377,Boot::N,анышь,txalupa
378,Ruder::N,ажəҩа,arraun
379,Schlitten::N,ашəаҩауардын,lera
380,Schlitten::N,ашəаҩауардын,narra
381,Ski::N,ашəаҩа,eski
382,Ski::N,ашьахаха,eski
383,Lagerfeuer::N,еиқуу амца,su
384,Last::N,ахьанҭара,zama
385,Last::N,ахьанҭара,karga
386,Gang::N,аныҟəара,ibilera
387,Schritt::N,ашьаҿа,pauso
388,Schritt::N,ашьаҿа,urrats
389,Norden::N,аҩада,ipar
390,Norden::N,аҩада,iparralde
391,Süden::N,алада,hego
392,Süden::N,алада,hegoalde
393,Westen::N,амраҭашəара,sartalde
394,Westen::N,амраҭашəара,mendebalde
395,Osten::N,амрагылара,ekialde
396,Osten::N,амрагылара,sortalde
397,Holz::N,амҿымаҭəахə,zur
398,Brett::N,аӷəы,ohol
399,Platte::N,ахаҳәцәы,lauza
400,Stütze::N,аҵаргəа,irozgarri
401,Stütze::N,аҵаргəа,bermagailu
402,Stütze::N,агəышьаҟа,irozgarri
403,Stütze::N,агəышьаҟа,bermagailu
404,Stange::N,акьат,haga
405,Stock::N,алаба,makila
406,Stab::N,акьат,makila
407,Rohr::N,абыкь,hodi
408,Haus::N,аҩны,etxe
409,Heim::N,аҭаацəа,etxe
410,Heim::N,аҭаацəа,etxaleku
411,Ofen::N,аҳақə,berogailu
412,Ofen::N,ауаџьаҟ,berogailu
413,Ofen::N,афрына,berogailu
414,Fußboden::N,адашьма,zoru
415,Tisch::N,аишәа,mahai
416,Stuhl::N,аҟəардə,aulki
417,Wiege::N,агара,kuma
418,Wiege::N,агара,sehaska
419,Bett::N,акаруаҭ,ohe
420,Bett::N,акаруаҭ,ohatze
421,Regal::N,акыӷəра,apalategi
422,Kiste::N,аидчаҧала,kutxa
423,Fenster::N,аҧенџьыр,leiho
424,Tür::N,ашə,ate
425,Tor::N,агəашə,atari
426,Zaun::N,аанда,hesi
427,Dach::N,ахыб,teilatu
428,Leiter::N,амардуан,zurubi
429,Besen::N,аҧссага,erratz
430,Spaten::N,ажыга,burdinpala
431,Schaufel::N,аҭəарӷəы,pala
432,Gabel::N,ачқьыҧ,sardexka
433,Löffel::N,амҳаҵə,koilara
434,Messer::N,аҳəызба,aizto
435,Nagel::N,аҵəымӷ,iltze
436,Netz::N,акаҭа,sare
437,Haken::N,аҵəаҳə,mako
438,Griff::N,амаа,eskutoki
439,Schloss::N,асаҧаҭ,sarraila
440,Bild::N,асахьа,irudi
441,Figur::N,афигура,figura
442,Puppe::N,акьанџьа,panpina
443,Puppe::N,акьанџьа,andrakila
444,Beutel::N,асакь,zorro
445,Bündel::N,аҿаҳəара,azao
446,Bündel::N,аҿаҳəара,espal
447,Tasche::N,арҭмаҟ,poltsa
448,Eimer::N,аведра,treska
449,Deckel::N,ахҩа,tapa
450,Deckel::N,ахҩа,estalki
451,Geschirr::N,ачысмаҭəа,baxera
452,Geschirr::N,ачысмаҭəа,ontziteria
453,Sack::N,асакь,zaku
454,Tasse::N,аҵəца,kikara
455,Topf::N,акаструлиа,ontzi
456,Topf::N,акаструлиа,lapiko
457,Kessel::N,ачуан,pazia
458,Nahrung::N,афатə,jan
459,Speise::N,афатə,jaki
460,Fleisch::N,акəац,okela
461,Fleisch::N,акəац,haragi
462,Getreide::N,ачакуа,labore
463,Brei::N,ақашь,ahi
464,Brei::N,ақашь,pure
465,Brot::N,ача,ogi
466,Scheibe::N,аҽыҭ,xerra
467,Scheibe::N,аҽыҭ,pirripita
468,Scheibe::N,аҿаҵа,xerra
469,Scheibe::N,аҿаҵа,pirripita
470,Fett::N,ашша,urin
471,Fett::N,ашша,koipe
472,Butter::N,ахəша,gurin
473,Öl::N,азеҭ,olio
474,Salz::N,аџьыка,gatz
475,Suppe::N,асуҧ,zopa
476,Suppe::N,асуҧ,salda
477,Honig::N,ацха,ezti
478,Milch::N,ахш,esne
479,Tee::N,ачаи,te
480,Leder::N,ацəа,larru
481,Wolle::N,аласа,artile
482,Stoff::N,Аба,ehun
483,Nadel::N,агəыр,orratz
484,Nadel::N,агəыр,jostorratz
485,Faden::N,арахəыц,hari
486,Knopf::N,аҳəынҵəра,botoi
487,Knoten::N,аиқəҳəала,korapilo
488,Farbe::N,ашəыга,pintura
489,Kleidung::N,амаҭəа,arropa
490,Kleidung::N,амаҭəа,jantziak
491,Hemd::N,акьаҿ,atorra
492,Hemd::N,акьаҿ,alkandora
493,Kragen::N,ахəда,idun
494,Ärmel::N,амаӷра,mahuka
495,Hose::N,аиқəа,prakak
496,Hose::N,аиқəа,galtzak
497,Gürtel::N,амаҟа,gerriko
498,Mütze::N,ахылҧа,txano
499,Mütze::N,ахылҧа,txapel
500,Schuh::N,аимаа,oski
501,Schuh::N,аимаа,oinetako
502,Stiefel::N,амагə,bota
503,Ring::N,амацəаз,uztai
504,Band::N,алента,zinta
505,Band::N,алента,xingola
506,Kamm::N,ахҳəа,orrazi
507,Spiegel::N,асаркьа,mirail
508,Riemen::N,аа,uhal
509,Schnur::N,ашаха,lokailu
510,Leine::N,аҕура,lotura
511,Decke::N,ахыза,burusi
512,Kissen::N,ахчы,kuxin
513,Tuch::N,акасы,zapi
514,Tuch::N,акасы,oihal
515,Handtuch::N,ампахьшьы,eskuzapi
516,Handtuch::N,ампахьшьы,eskuoihal
517,Kraft::N,амч,indar
518,Stärke::N,амч,indar
519,Gesundheit::N,агəабзиара,osasun
520,Krankheit::N,ачымазара,eritasun
521,Krankheit::N,ачымазара,gaixotasun
522,Schmerz::N,ахьаа,min
523,Wunde::N,ахəра,zauri
524,Fieber::N,ашоура,sukar
525,Arznei::N,ахəшə,osagai
526,Arznei::N,ахəшə,sendagai
527,Brücke::N,ацҳа,zubi
528,Brunnen::N,аҵыџь,putzu
529,Weide::N,аҳəырҭа,alha
530,Weide::N,аҳəырҭа,bazkaleku
531,Pfad::N,амхəасҭа,zidor
532,Pfad::N,амхəасҭа,bidexka
533,Weg::N,амҩа,bide
534,Straße::N,амҩа,errepide
535,Dorf::N,ақыҭа,herri
536,Stadt::N,ақалақь,hiri
537,Brief::N,ашəҟəы,gutun
538,Brief::N,ашəҟəы,eskutitz
539,Buch::N,ашəҟəы,liburu
540,Buchstabe::N,анбан,hizki
541,Zeitung::N,агазеҭ,egunkari
542,Leben::N,аҧсҭазаара,bizi
543,Leben::N,аҧсҭазаара,bizitza
544,Tod::N,аҧсра,herio
545,Tod::N,аҧсра,heriotza
546,Grab::N,анышəынҭра,hobi
547,Grab::N,анышəынҭра,hilobi
548,Kirche::N,ауахəама,eliza
549,Sünde::N,агəнаҳа,hoben
550,Sünde::N,агəнаҳа,bekatu
551,Gott::N,анцəа,jainko
552,Arbeiter::N,аусуҩ,langile
553,Arbeiter::N,аусуҩ,behargin
554,Chef::N,Аиҳабы,nagusi
555,Meister::N,аҟаза,maisu
556,Arzt::N,аҳақьым,osagile
557,Arzt::N,аҳақьым,sendagile
558,Lehrer::N,арҵаҩы,irakasle
559,Geld::N,аҧара,diru
560,Laden::N,амагазин,denda
561,Laden::N,амагазин,saltegi
562,Preis::N,ахə,prezio
563,Preis::N,ахə,salneurri
564,Ware::N,атауар,salgai
565,Nutzen::N,ақьар,onura
566,Nutzen::N,ақьар,probetxu
567,Reichtum::N,абеиара,aberastasun
568,Welt::N,адунеи,ludi
569,Welt::N,адунеи,mundu
570,Land::N,атəыла,herrialde
571,Staat::N,аҳəынҭқарра,estatu
572,König::N,акрал,errege
573,Macht::N,амчра,botere
574,Grenze::N,аҳəаа,muga
575,Krieg::N,аибашьра,guda
576,Feind::N,Аҕа,etsai
577,Feind::N,Аҕа,arerio
578,Gewalt::N,ақəымчра,bortxa
579,Gewalt::N,ақəымчра,bortizkeria
580,Kampf::N,ақəҧара,gudu
581,Kampf::N,ақəҧара,auska
582,Bogen[Waffe]::N,ахыц,arku
583,Pfeil::N,ахəымпал,gezi
584,Gewehr::N,ашəақь,fusil
585,Fehler::N,агха,huts
586,Fehler::N,агха,hutsegin
587,Lüge::N,амц,gezur
588,Schaden::N,аҧырхага,kalte
589,Unglück::N,арыцҳара,zoritxar
590,Unglück::N,арыцҳара,zorigaitz
591,Schuld::N,ахара,erru
592,Alter::N,ақəра,adin
593,Schluss::N,анҵəамҭа,bukaera
594,Zeit::N,аамта,aldi
595,Zeit::N,аамта,denbora
596,Tag::N,амш,egun
597,Morgen::N,ашара,goiz
598,Morgen::N,ашьыбжь,goiz
599,Mittag::N,шьыбжьон,eguerdi
600,Abend::N,ахəылҧаз,arrats
601,Abend::N,ахəлбыҽха,arrats
602,Nacht::N,аҵх,gau
603,Woche::N,амчыбжь,aste
604,Frühling::N,ааҕын,udalehen
605,Sommer::N,аҧхын,uda
606,Herbst::N,ҭагалан,udazken
607,Herbst::N,ҭагалан,neguantz
608,Herbst::N,хкаарачан,udazken
609,Herbst::N,хкаарачан,neguantz
610,Winter::N,аӡын,negu
611,Januar::N,ианвар,urtarril
612,Februar::N,февраль,otsail
613,März::N,март,martxo
614,April::N,апрель,apiril
615,Mai::N,маи,maiatz
616,Juni::N,иуун,ekain
617,Juli::N,иууль,uztail
618,August::N,август,abuztu
619,September::N,сентиабр,irail
620,Oktober::N,октиабр,urri
621,November::N,ноиабр,azaro
622,Dezember::N,декабр,abendu
623,Montag::N,ашəахьа,astelehen
624,Dienstag::N,аҩаша,astearte
625,Mittwoch::N,ахаша,asteazken
626,Donnerstag::N,аҧшьаша,ostegun
627,Freitag::N,ахəаша,ostiral
628,Samstag::N,асабша,larunbat
629,Sonntag::N,амҽыша,igande
630,groß::A,аду,handi
631,klein::A,амаҷ,txiki
632,lang::A,ахəхəа,luze
633,kurz::A,акьаҿ,labur
634,breit::A,аиужь,zabal
635,breit::A,аиҵых,zabal
636,schmal::A,аҭшəа,mehar
637,dicht::A,аилач,sarri
638,dicht::A,аилач,trinko
639,dick[Gegenstand]::A,ажəпа,lodi
640,fein::A,апа,fin
641,fein::A,аҵаӷа,fin
642,fein::A,аӡа,fin
643,fest::A,аҟаца,tinko
644,fest::A,аӷəӷəаҟаца,tinko
645,flach::A,ақəаҟьа,lau
646,flach::A,ақəаҟьа,ordoki
647,flach::A,аҧаҟьа,lau
648,flach::A,аҧаҟьа,ordoki
649,glatt::A,аимаҩзы,leun
650,hart::A,акьакьа,gogor
651,weich::A,атата,bigun
652,weich::A,атата,beratz
653,rund::A,акəмпыл,biribil
654,spitz::A,аҵар,puntadun
655,scharf::A,аҵар,zorrotz
656,stumpf::A,ацагə,kamuts
657,schwer::A,ахьанҭа,astun
658,schwer::A,ахьанҭа,pisutsu
659,schön::A,аҧшӡа,eder
660,heiß::A,ашы,bero
661,heiß::A,ашы,oso bero
662,warm::A,аҧха,bero
663,kalt::A,ахьшəашəа,hotz
664,kühl::A,ахьшəашəа,hotzil
665,kühl::A,ицәыхьшәашәоу,hotzil
666,frisch::A,цқьа,fresko
667,frisch::A,цқьа,hozkirri
668,feucht::A,ацəаак,heze
669,nass::A,абааӡа,busti
670,trocken::A,Аба,siku
671,trocken::A,Аба,lehor
672,trocken::A,аҩа,siku
673,trocken::A,аҩа,lehor
674,voll::A,азна,bete
675,leer::A,аҭацəы,huts
676,offen::A,аарта,ireki
677,geschlossen::A,ихҩоу,itxita
678,geschlossen::A,иаркыу,itxita
679,sauber::A,ацқьа,xahu
680,sauber::A,ацқьа,garbi
681,schmutzig::A,аҟьашь,lohi
682,schmutzig::A,аҟьашь,zikin
683,reif::A,Арҭ,umo
684,reif::A,Арҭ,heldu
685,reif::A,аҟала,umo
686,reif::A,аҟала,heldu
687,reif::A,иҟалахьоу,umo
688,reif::A,иҟалахьоу,heldu
689,lecker::A,ахаа,goxo
690,süß::A,азла,goxo
691,bitter::A,аша,karmin
692,bitter::A,аша,garratz
693,sauer::A,аҵəҵəы,mingots
694,hell::A,алаша,argi
695,dunkel::A,алашьца,ilun
696,schwarz::A,аиқуаҵәа,beltz
697,weiß::A,ашкəакəа,zuri
698,rot::A,аҟаҧшь,gorri
699,gelb::A,аҩеижь,hori
700,blau::A,аҽҵәа,urdin
701,grün::A,ашьацҧшҭəала,berde
702,grün::A,ашьацҧшҭəала,musker
703,grün::A,аеҵəа,berde
704,grün::A,аеҵəа,musker
705,grau::A,ацəыш,urdin
706,grau::A,ацəыш,urdinabar
707,bunt::A,Аилыҕраа,koloretsu
708,bunt::A,аҕраҷкəын,koloretsu
709,billig::A,амариа,merke
710,teuer::A,амҩан,garesti
711,wertvoll::A,кыр иаҕсоу,baliotsu
712,wertvoll::A,акыр иаҕсоу,baliotsu
713,blind::A,алашə,itsu
714,taub::A,адагəа,gor
715,kräftig::A,аӷəӷəа,kementsu
716,stark::A,абаҟа,bizkor
717,stark::A,абаҟа,indartsu
718,schwach::A,акəада,ahul
719,schwach::A,акəада,indargabe
720,fett::A,аҧсыла,gizen
721,schlank::A,акала,lerden
722,schlank::A,акьалантар,lerden
723,schlank::A,аиҿартə,lerden
724,hübsch::A,аҧшӡа,polit
725,böse::A,абааҧсы,tzar
726,böse::A,абааҧсы,gaizto
727,dumm::A,агаӡа,lelo
728,dumm::A,агаӡа,pello
