,Concept_ID,no,no
97,Regenbogen::N,regnbue,regnbue
98,Donner::N,torden,torden
99,Strömung::N,strømning,strømning
100,Tropfen::N,dråpe,dråpe
101,Schaum::N,skum,skum
102,Schmutz::N,søl,søl
103,Schmutz::N,søl,skitt
104,Schmutz::N,skitt,søl
105,Schmutz::N,skitt,skitt
106,See::N,sjø,sjø
107,Sumpf::N,sump,sump
108,Sumpf::N,sump,myrlende
109,Sumpf::N,myrlende,sump
110,Sumpf::N,myrlende,myrlende
111,Moor::N,myr,myr
112,Moor::N,myr,myrhei
113,Moor::N,myrhei,myr
114,Moor::N,myrhei,myrhei
115,Wiese::N,eng,eng
116,Wald::N,skog,skog
117,Hügel::N,haug,haug
118,Hügel::N,haug,bakke
119,Hügel::N,bakke,haug
120,Hügel::N,bakke,bakke
121,Anhöhe::N,haug,haug
122,Anhöhe::N,haug,bakke
123,Anhöhe::N,bakke,haug
124,Anhöhe::N,bakke,bakke
125,Berg::N,berg,berg
126,Berg::N,berg,fjell
127,Berg::N,fjell,berg
128,Berg::N,fjell,fjell
129,Gipfel::N,topp,topp
130,Höhle::N,hule,hule
131,Abhang::N,li,li
132,Abhang::N,li,skråning
133,Abhang::N,skråning,li
134,Abhang::N,skråning,skråning
135,Quelle::N,kilde,kilde
136,Bach::N,bekk,bekk
137,Fluss::N,elv,elv
138,Ufer::N,bredd,bredd
139,Küste::N,kyst,kyst
140,Festland::N,fastland,fastland
141,Meer::N,hav,hav
142,Bucht::N,bukt,bukt
143,Insel::N,øy,øy
144,Blume::N,blomst,blomst
145,Gras::N,gress,gress
146,Wurzel::N,rot,rot
147,Baum::N,tre,tre
148,Stamm::N,stamme,stamme
149,Rinde::N,bark,bark
150,Ast::N,gren,gren
151,Zweig::N,kvist,kvist
152,Blatt::N,blad,blad
153,Birke::N,bjørk,bjørk
154,Kiefer[Baum]::N,furu,furu
155,Weide[Baum]::N,selje,selje
156,Weide[Baum]::N,selje,piletre
157,Weide[Baum]::N,piletre,selje
158,Weide[Baum]::N,piletre,piletre
159,Tanne::N,gran,gran
160,Horn::N,horn,horn
161,Feder::N,fjær,fjær
162,Fell::N,skinn,skinn
163,Flügel::N,vinge,vinge
164,Klaue::N,klauv,klauv
165,Kralle::N,klo,klo
166,Schwanz::N,hale,hale
167,Ei::N,egg,egg
168,Nest::N,rede,rede
169,Bau::N,hi,hi
170,Tier::N,dyr,dyr
171,Herde::N,flokk,flokk
172,Kuh::N,ku,ku
173,Bulle::N,tyr,tyr
174,Pferd::N,hest,hest
175,Schaf::N,får,får
176,Schwein::N,gris,gris
177,Hund::N,hund,hund
178,Katze::N,katt,katt
179,Bär::N,bjørn,bjørn
180,Eichhörnchen::N,ekorn,ekorn
181,Elch::N,elg,elg
182,Fuchs::N,rev,rev
183,Hase::N,hare,hare
184,Maus::N,mus,mus
185,Wolf::N,ulv,ulv
186,Wolf::N,ulv,varg
187,Wolf::N,varg,ulv
188,Wolf::N,varg,varg
189,Vogel::N,fugl,fugl
190,Schwarm::N,sverm,sverm
191,Huhn::N,høne,høne
192,Hahn::N,hane,hane
193,Gans::N,gås,gås
194,Adler::N,ørn,ørn
195,Ente::N,and,and
196,Eule::N,ugle,ugle
197,Kranich::N,trane,trane
198,Krähe::N,kråke,kråke
199,Kuckuck::N,gjøk,gjøk
200,Schwan::N,svane,svane
201,Fisch::N,fisk,fisk
202,Barsch::N,abbor,abbor
203,Hecht::N,gjedde,gjedde
204,Schlange[Tier]::N,orm,orm
205,Schlange[Tier]::N,orm,slange
206,Schlange[Tier]::N,slange,orm
207,Schlange[Tier]::N,slange,slange
208,Wurm::N,orm,orm
209,Wurm::N,orm,mark
210,Wurm::N,mark,orm
211,Wurm::N,mark,mark
212,Spinne::N,edderkopp,edderkopp
213,Ameise::N,maur,maur
214,Laus::N,lus,lus
215,Mücke::N,mygg,mygg
216,Fliege::N,flue,flue
217,Schmetterling::N,sommerfugl,sommerfugl
218,Beere::N,bær,bær
219,Apfel::N,eple,eple
220,Pilz::N,sopp,sopp
221,Zwiebel::N,løk,løk
222,Saat::N,sæd,sæd
223,Korn::N,korn,korn
224,Heu::N,høy,høy
225,Schale::N,skall,skall
226,Grube::N,grop,grop
227,Falle::N,felle,felle
228,Schlinge::N,snare,snare
229,Spur::N,spor,spor
230,Asche::N,aske,aske
231,Dreck::N,møkk,møkk
232,Dreck::N,møkk,skitt
233,Dreck::N,skitt,møkk
234,Dreck::N,skitt,skitt
235,Eisen::N,jern,jern
236,Gold::N,gull,gull
237,Silber::N,sølv,sølv
238,Kohle::N,kol,kol
239,Kohle::N,kol,kull
240,Kohle::N,kull,kol
241,Kohle::N,kull,kull
242,Glas::N,glass,glass
243,Lehm::N,leire,leire
244,Sand::N,sand,sand
245,Mensch::N,menneske,menneske
246,Mann::N,mann,mann
247,Frau::N,kvinne,kvinne
248,Kind::N,barn,barn
249,Junge::N,gutt,gutt
250,Mädchen::N,pike,pike
251,Mädchen::N,pike,jente
252,Mädchen::N,jente,pike
253,Mädchen::N,jente,jente
254,Familie::N,familie,familie
255,Großvater::N,bestefar,bestefar
256,Großmutter::N,bestemor,bestemor
257,Eltern::N,foreldre,foreldre
258,Vater::N,far,far
259,Mutter::N,mor,mor
260,Sohn::N,sønn,sønn
261,Tochter::N,datter,datter
262,Bruder::N,bror,bror
263,Schwester::N,søster,søster
264,Onkel::N,onkel,onkel
265,Tante::N,tante,tante
266,Ehemann::N,ektemann,ektemann
267,Ehefrau::N,hustru,hustru
268,Freude::N,glede,glede
269,Gelächter::N,latter,latter
270,Glück::N,lykke,lykke
271,Kummer::N,sorg,sorg
272,Wunsch::N,ønske,ønske
273,Lust::N,lyst,lyst
274,Geist::N,ånd,ånd
275,Gedanke::N,tanke,tanke
276,Gedächtnis::N,minne,minne
277,Gedächtnis::N,minne,hukommelse
278,Gedächtnis::N,hukommelse,minne
279,Gedächtnis::N,hukommelse,hukommelse
280,Verstand::N,forstand,forstand
281,Sinn::N,mening,mening
282,Sinn::N,mening,betydning
283,Sinn::N,betydning,mening
284,Sinn::N,betydning,betydning
285,Grund::N,grunn,grunn
286,Wahrheit::N,sannhet,sannhet
287,Gespräch::N,samtale,samtale
288,Märchen::N,eventyr,eventyr
289,Erzählung::N,fortelling,fortelling
290,Nachricht::N,melding,melding
291,Neuigkeit::N,nyhet,nyhet
292,Name::N,navn,navn
293,Rätsel::N,gåte,gåte
294,Rede::N,tale,tale
295,Sprache::N,språk,språk
296,Stimme::N,stemme,stemme
297,Wort::N,ord,ord
298,Zeichen::N,tegn,tegn
299,Ruf::N,rop,rop
300,Lärm::N,bråk,bråk
301,Laut::N,lyd,lyd
302,Ton::N,tone,tone
303,Lied::N,vise,vise
304,Ruhe::N,ro,ro
305,Leute::N,folk,folk
306,Volk::N,folk,folk
307,Arbeit::N,arbeid,arbeid
308,Gast::N,gjest,gjest
309,Geschenk::N,gave,gave
310,Spiel::N,lek,lek
311,Spiel::N,lek,spill
312,Spiel::N,spill,lek
313,Spiel::N,spill,spill
314,Gesellschaft::N,selskap,selskap
315,Hilfe::N,hjelp,hjelp
316,Freund::N,venn,venn
317,Kamerad::N,kamerat,kamerat
318,Angelegenheit::N,sak,sak
319,Angelegenheit::N,sak,anliggende
320,Angelegenheit::N,anliggende,sak
321,Angelegenheit::N,anliggende,anliggende
322,Anzahl::N,antall,antall
323,Art::N,art,art
324,Art::N,art,slag
325,Art::N,slag,art
326,Art::N,slag,slag
327,Stück::N,stykke,stykke
328,Teil::N,del,del
329,Hälfte::N,halvdel,halvdel
330,Kreis::N,ring,ring
331,Kreis::N,ring,sirkel
332,Kreis::N,sirkel,ring
333,Kreis::N,sirkel,sirkel
334,Kreuz::N,kors,kors
335,Kreuz::N,kors,kryss
336,Kreuz::N,kryss,kors
337,Kreuz::N,kryss,kryss
338,Linie::N,linje,linje
339,Strich::N,strek,strek
340,Abstand::N,avstand,avstand
341,Entfernung::N,avstand,avstand
342,Gegend::N,strøk,strøk
343,Platz::N,plass,plass
344,Ort::N,sted,sted
345,Seite::N,side,side
346,Mitte::N,midte,midte
347,Gegenstand::N,gjenstand,gjenstand
348,Sache::N,sak,sak
349,Rand::N,rand,rand
350,Kante::N,kant,kant
351,Ecke::N,hjørne,hjørne
352,Spitze::N,spiss,spiss
353,Ende::N,ende,ende
354,Loch::N,hull,hull
355,Winkel::N,vinkel,vinkel
356,Muster::N,mønster,mønster
357,Größe::N,størrelse,størrelse
358,Länge::N,lengde,lengde
359,Höhe::N,høyde,høyde
360,Gewicht::N,vekt,vekt
361,Menge::N,mengde,mengde
362,Haufen::N,haug,haug
363,Haufen::N,haug,bunke
364,Haufen::N,bunke,haug
365,Haufen::N,bunke,bunke
366,Reihe::N,rekke,rekke
367,Boot::N,båt,båt
368,Ruder::N,åre,åre
369,Schlitten::N,slede,slede
370,Schlitten::N,slede,kjelke
371,Schlitten::N,kjelke,slede
372,Schlitten::N,kjelke,kjelke
373,Ski::N,ski,ski
374,Lagerfeuer::N,leirbål,leirbål
375,Last::N,bør,bør
376,Last::N,bør,last
377,Last::N,last,bør
378,Last::N,last,last
379,Gang::N,gang,gang
380,Schritt::N,steg,steg
381,Schritt::N,steg,skritt
382,Schritt::N,skritt,steg
383,Schritt::N,skritt,skritt
384,Norden::N,nord,nord
385,Süden::N,sør,sør
386,Westen::N,vest,vest
387,Osten::N,øst,øst
388,Holz::N,tre,tre
389,Brett::N,fjøl,fjøl
390,Brett::N,fjøl,brett
391,Brett::N,brett,fjøl
392,Brett::N,brett,brett
393,Platte::N,plate,plate
394,Stütze::N,støtte,støtte
395,Stange::N,stang,stang
396,Stock::N,pinne,pinne
397,Stab::N,stav,stav
398,Stab::N,stav,kjepp
399,Stab::N,kjepp,stav
400,Stab::N,kjepp,kjepp
401,Rohr::N,rør,rør
402,Haus::N,hus,hus
403,Heim::N,hjem,hjem
404,Ofen::N,ovn,ovn
405,Fußboden::N,gulv,gulv
406,Tisch::N,bord,bord
407,Stuhl::N,stol,stol
408,Wiege::N,vogge,vogge
409,Bett::N,seng,seng
410,Regal::N,reol,reol
411,Regal::N,reol,hylle
412,Regal::N,hylle,reol
413,Regal::N,hylle,hylle
414,Kiste::N,kasse,kasse
415,Fenster::N,vindu,vindu
416,Tür::N,dør,dør
417,Tor::N,port,port
418,Zaun::N,gjerde,gjerde
419,Dach::N,tak,tak
420,Leiter::N,stige,stige
421,Besen::N,kost,kost
422,Spaten::N,spade,spade
423,Schaufel::N,skuffe,skuffe
424,Gabel::N,gaffel,gaffel
425,Löffel::N,skje,skje
426,Messer::N,kniv,kniv
427,Nagel::N,spiker,spiker
428,Netz::N,nett,nett
429,Haken::N,krok,krok
430,Griff::N,tak,tak
431,Griff::N,tak,håndtak
432,Griff::N,håndtak,tak
433,Griff::N,håndtak,håndtak
434,Schloss::N,lås,lås
435,Bild::N,bilde,bilde
436,Figur::N,figur,figur
437,Puppe::N,dukke,dukke
438,Beutel::N,pose,pose
439,Bündel::N,bylt,bylt
440,Tasche::N,veske,veske
441,Eimer::N,bøtte,bøtte
442,Deckel::N,lokk,lokk
443,Geschirr::N,kjøkkentøy,kjøkkentøy
444,Sack::N,sekk,sekk
445,Tasse::N,kopp,kopp
446,Topf::N,gryte,gryte
447,Kessel::N,kjele,kjele
448,Essen::N,mål,mål
449,Nahrung::N,mat,mat
450,Nahrung::N,mat,næring
451,Nahrung::N,næring,mat
452,Nahrung::N,næring,næring
453,Speise::N,matrett,matrett
454,Fleisch::N,kjøtt,kjøtt
455,Getreide::N,korn,korn
456,Brei::N,grøt,grøt
457,Brot::N,brød,brød
458,Scheibe::N,skive,skive
459,Fett::N,fett,fett
460,Butter::N,smør,smør
461,Öl::N,olje,olje
462,Salz::N,salt,salt
463,Suppe::N,suppe,suppe
464,Honig::N,honning,honning
465,Milch::N,melk,melk
466,Tee::N,te,te
467,Leder::N,lær,lær
468,Leder::N,lær,skinn
469,Leder::N,skinn,lær
470,Leder::N,skinn,skinn
471,Wolle::N,ull,ull
472,Stoff::N,tøy,tøy
473,Stoff::N,tøy,stoff
474,Stoff::N,stoff,tøy
475,Stoff::N,stoff,stoff
476,Nadel::N,nål,nål
477,Faden::N,tråd,tråd
478,Knopf::N,knapp,knapp
479,Knoten::N,knute,knute
480,Farbe::N,farge,farge
481,Kleidung::N,påkledning,påkledning
482,Hemd::N,skjorte,skjorte
483,Kragen::N,krage,krage
484,Ärmel::N,erme,erme
485,Hose::N,bukse,bukse
486,Gürtel::N,belte,belte
487,Mütze::N,lue,lue
488,Schuh::N,sko,sko
489,Stiefel::N,støvel,støvel
490,Ring::N,ring,ring
491,Band::N,band,band
492,Kamm::N,kam,kam
493,Spiegel::N,speil,speil
494,Riemen::N,rem,rem
495,Schnur::N,snor,snor
496,Leine::N,line,line
497,Decke::N,teppe,teppe
498,Kissen::N,pute,pute
499,Tuch::N,tøy,tøy
500,Handtuch::N,håndkle,håndkle
501,Kraft::N,kraft,kraft
502,Stärke::N,styrke,styrke
503,Gesundheit::N,helse,helse
504,Gesundheit::N,helse,sunnhet
505,Gesundheit::N,sunnhet,helse
506,Gesundheit::N,sunnhet,sunnhet
507,Krankheit::N,syke,syke
508,Krankheit::N,syke,sykdom
509,Krankheit::N,sykdom,syke
510,Krankheit::N,sykdom,sykdom
511,Schmerz::N,smerte,smerte
512,Wunde::N,sår,sår
513,Fieber::N,feber,feber
514,Arznei::N,medisin,medisin
515,Arznei::N,medisin,legemiddel
516,Arznei::N,legemiddel,medisin
517,Arznei::N,legemiddel,legemiddel
518,Brücke::N,bro,bro
519,Brunnen::N,brønn,brønn
520,Weide::N,beite,beite
521,Pfad::N,sti,sti
522,Weg::N,vei,vei
523,Straße::N,gate,gate
524,Dorf::N,landsby,landsby
525,Stadt::N,by,by
526,Brief::N,brev,brev
527,Buch::N,bok,bok
528,Buchstabe::N,bokstav,bokstav
529,Zeitung::N,avis,avis
530,Leben::N,liv,liv
531,Tod::N,død,død
532,Grab::N,grav,grav
533,Kirche::N,kirke,kirke
534,Sünde::N,synd,synd
535,Gott::N,gud,gud
536,Arbeiter::N,arbeider,arbeider
537,Chef::N,sjef,sjef
538,Meister::N,mester,mester
539,Arzt::N,lege,lege
540,Lehrer::N,lærer,lærer
541,Geld::N,penger,penger
542,Geschäft::N,forretning,forretning
543,Laden::N,butikk,butikk
544,Preis::N,pris,pris
545,Ware::N,vare,vare
546,Nutzen::N,nytte,nytte
547,Reichtum::N,rikdom,rikdom
548,Welt::N,verden,verden
549,Land::N,land,land
550,Staat::N,stat,stat
551,König::N,konge,konge
552,Macht::N,makt,makt
553,Grenze::N,grense,grense
554,Krieg::N,krig,krig
555,Feind::N,fiende,fiende
556,Gewalt::N,vold,vold
557,Kampf::N,kamp,kamp
558,Bogen[Waffe]::N,bue,bue
559,Pfeil::N,pil,pil
560,Gewehr::N,gevær,gevær
561,Fehler::N,feil,feil
562,Lüge::N,løgn,løgn
563,Schaden::N,skade,skade
564,Unglück::N,uhell,uhell
565,Schuld::N,skyld,skyld
566,Alter::N,alder,alder
567,Schluss::N,slutt,slutt
568,Zeit::N,tid,tid
569,Tag::N,dag,dag
570,Morgen::N,morgen,morgen
571,Mittag::N,middag,middag
572,Abend::N,aften,aften
573,Nacht::N,natt,natt
574,Woche::N,uke,uke
575,Monat::N,måned,måned
576,Jahr::N,år,år
577,Frühling::N,vår,vår
578,Sommer::N,sommer,sommer
579,Herbst::N,høst,høst
580,Winter::N,vinter,vinter
581,Januar::N,januar,januar
582,Februar::N,februar,februar
583,März::N,mars,mars
584,April::N,april,april
585,Mai::N,mai,mai
586,Juni::N,juni,juni
587,Juli::N,juli,juli
588,August::N,august,august
589,September::N,september,september
590,Oktober::N,oktober,oktober
591,November::N,november,november
592,Dezember::N,desember,desember
593,Montag::N,mandag,mandag
594,Dienstag::N,tirsdag,tirsdag
595,Mittwoch::N,onsdag,onsdag
596,Donnerstag::N,torsdag,torsdag
597,Freitag::N,fredag,fredag
598,Samstag::N,lørdag,lørdag
599,Sonntag::N,søndag,søndag
600,groß::A,stor,stor
601,klein::A,liten,liten
602,lang::A,lang,lang
603,kurz::A,kort,kort
604,breit::A,bred,bred
605,schmal::A,smal,smal
606,dicht::A,tett,tett
607,dick[Gegenstand]::A,tykk,tykk
608,dünn::A,tynn,tynn
609,fein::A,fin,fin
610,fest::A,fast,fast
611,flach::A,flat,flat
612,glatt::A,glatt,glatt
613,hart::A,hard,hard
614,weich::A,myk,myk
615,weich::A,myk,bløt
616,weich::A,bløt,myk
617,weich::A,bløt,bløt
618,rund::A,rund,rund
619,spitz::A,spiss,spiss
620,scharf::A,kvass,kvass
621,stumpf::A,stubb,stubb
622,schwer::A,tung,tung
623,schön::A,pen,pen
624,schön::A,pen,vakker
625,schön::A,vakker,pen
626,schön::A,vakker,vakker
627,heiß::A,het,het
628,warm::A,varm,varm
629,kalt::A,kald,kald
630,kühl::A,kjølig,kjølig
631,frisch::A,fersk,fersk
632,feucht::A,fuktig,fuktig
633,nass::A,våt,våt
634,trocken::A,tørr,tørr
635,voll::A,full,full
636,leer::A,tom,tom
637,offen::A,åpen,åpen
638,geschlossen::A,lukket,lukket
639,sauber::A,ren,ren
640,schmutzig::A,skitten,skitten
641,roh::A,rå,rå
642,reif::A,moden,moden
643,lecker::A,lekker,lekker
644,süß::A,søt,søt
645,bitter::A,besk,besk
646,bitter::A,besk,bitter
647,bitter::A,bitter,besk
648,bitter::A,bitter,bitter
649,sauer::A,sur,sur
650,hell::A,lys,lys
651,dunkel::A,mørk,mørk
652,schwarz::A,svart,svart
653,weiß::A,hvit,hvit
654,rot::A,rød,rød
655,gelb::A,gul,gul
656,blau::A,blå,blå
657,grün::A,grønn,grønn
658,grau::A,grå,grå
659,bunt::A,broket,broket
660,billig::A,billig,billig
661,teuer::A,dyr,dyr
662,wertvoll::A,verdifull,verdifull
663,blind::A,blind,blind
664,taub::A,døv,døv
665,kräftig::A,kraftig,kraftig
666,stark::A,sterk,sterk
667,schwach::A,svak,svak
668,fett::A,fet,fet
669,schlank::A,slank,slank
670,hübsch::A,pen,pen
671,böse::A,slem,slem
672,dumm::A,dum,dum
673,faul::A,lat,lat
674,faul::A,lat,doven
675,faul::A,doven,lat
676,faul::A,doven,doven
677,fleißig::A,flittig,flittig
678,geizig::A,gjerrig,gjerrig
679,klug::A,klok,klok
680,geschickt::A,hendig,hendig
681,geschickt::A,hendig,skikket
682,geschickt::A,skikket,hendig
683,geschickt::A,skikket,skikket
684,lieb::A,kjær,kjær
685,lieb::A,kjær,snill
686,lieb::A,snill,kjær
687,lieb::A,snill,snill
688,lustig::A,morsom,morsom
689,sanft::A,blid,blid
690,hungrig::A,sulten,sulten
691,krank::A,syk,syk
692,nackt::A,naken,naken
693,traurig::A,sørgmodig,sørgmodig
694,lebendig::A,levende,levende
695,gut::A,god,god
696,schlecht::A,dårlig,dårlig
697,richtig::A,riktig,riktig
698,schlimm::A,slem,slem
699,wahr::A,sann,sann
700,alt::A,gammel,gammel
701,neu::A,ny,ny
702,ehemalig::A,forhenværende,forhenværende
703,alt[Lebewesen]::A,gammel,gammel
704,jung::A,ung,ung
705,arm::A,fattig,fattig
706,reich::A,rik,rik
707,bekannt::A,kjent,kjent
708,berühmt::A,berømt,berømt
709,fremd::A,fremmed,fremmed
710,verschieden::A,forskjellig,forskjellig
711,nah::A,nær,nær
712,fern::A,fjern,fjern
713,linker::A,venstre,venstre
714,rechter::A,høyre,høyre
715,anderer::A,annen,annen
716,erster::A,første,første
717,zweiter::A,annen,annen
718,dritter::A,tredje,tredje
719,letzter::A,sist,sist
720,allein::ADV,alene,alene
721,auf einmal::ADV,med ett,med ett
722,zusammen::ADV,sammen,sammen
723,lange::ADV,lenge,lenge
724,plötzlich::ADV,plutselig,plutselig
725,sofort::ADV,straks,straks
726,später::ADV,senere,senere
727,jetzt::ADV,nå,nå
728,heute::ADV,i dag,i dag
729,morgen::ADV,i morgen,i morgen
730,bald::ADV,snart,snart
731,dann::ADV,så,så
732,gestern::ADV,i går,i går
733,einst::ADV,engang,engang
734,damals::ADV,den gang,den gang
735,danach::ADV,deretter,deretter
736,vorher::ADV,før,før
737,vorher::ADV,før,i forveien
738,vorher::ADV,i forveien,før
739,vorher::ADV,i forveien,i forveien
740,zuerst::ADV,først,først
741,einmal::ADV,en gang,en gang
742,manchmal::ADV,somme tider,somme tider
743,oft::ADV,ofte,ofte
744,immer::ADV,alltid,alltid
745,niemals::ADV,aldri,aldri
746,hier::ADV,her,her
747,hierhin::ADV,hit,hit
748,von hier::ADV,herfra,herfra
749,dort::ADV,der,der
750,dorthin::ADV,dit,dit
751,geradeaus::ADV,rett fram,rett fram
752,vorwärts::ADV,fram,fram
753,vorwärts::ADV,fram,framover
754,vorwärts::ADV,framover,fram
755,vorwärts::ADV,framover,framover
756,rückwärts::ADV,baklengs,baklengs
757,zurück::ADV,tilbake,tilbake
758,unten::ADV,nede,nede
759,hinab::ADV,ned,ned
760,hinab::ADV,ned,nedover
761,hinab::ADV,nedover,ned
762,hinab::ADV,nedover,nedover
763,oben::ADV,oppe,oppe
764,oben::ADV,oppe,ovenpå
765,oben::ADV,ovenpå,oppe
766,oben::ADV,ovenpå,ovenpå
767,hinauf::ADV,opp,opp
768,hinauf::ADV,opp,oppover
769,hinauf::ADV,oppover,opp
770,hinauf::ADV,oppover,oppover
771,überall::ADV,overalt,overalt
772,nicht::ADV,ikke,ikke
773,ein wenig::ADV,litt,litt
774,kaum::ADV,neppe,neppe
775,sehr::ADV,svært,svært
776,so::ADV,så,så
777,noch::ADV,enda,enda
778,nur::ADV,bare,bare
779,schon::ADV,alt,alt
780,schon::ADV,alt,allerede
781,schon::ADV,allerede,alt
782,schon::ADV,allerede,allerede
783,wieder::ADV,igjen,igjen
784,vergebens::ADV,forgjeves,forgjeves
785,vor::PRP,foran,foran
786,vor::PRP,foran,utenfor
787,vor::PRP,utenfor,foran
788,vor::PRP,utenfor,utenfor
789,hinter::PRP,bak,bak
790,hinter::PRP,bak,bakom
791,hinter::PRP,bakom,bak
792,hinter::PRP,bakom,bakom
793,unter::PRP,under,under
794,durch::PRP,gjennom,gjennom
795,durch::PRP,gjennom,igjennom
796,durch::PRP,igjennom,gjennom
797,durch::PRP,igjennom,igjennom
798,neben::PRP,ved siden av,ved siden av
799,zwischen::PRP,mellom,mellom
800,wegen::PRP,på grunn av,på grunn av
801,dies::PRN,dette,dette
802,das::PRN,det,det
803,alles::PRN,alt,alt
804,ich::PRN,jeg,jeg
805,du::PRN,du,du
806,er::PRN,han,han
807,wir::PRN,vi,vi
808,ihr::PRN,dere,dere
809,sie::PRN,de,de
810,was::FPRN,hva,hva
811,wer::FPRN,hvem,hvem
812,wo::FADV,hvor,hvor
813,wohin::FADV,hvor ... hen,hvor ... hen
814,wie::FADV,hvordan,hvordan
815,warum::FADV,hvorfor,hvorfor
816,wieviel::FNUM,hvor mye,hvor mye
817,eins::NUM,en,en
818,eins::NUM,en,ett
819,eins::NUM,ett,en
820,eins::NUM,ett,ett
821,zwei::NUM,to,to
822,drei::NUM,tre,tre
823,vier::NUM,fire,fire
824,fünf::NUM,fem,fem
825,sechs::NUM,seks,seks
826,sieben::NUM,sju,sju
827,acht::NUM,åtte,åtte
828,neun::NUM,ni,ni
829,zehn::NUM,ti,ti
830,elf::NUM,elleve,elleve
831,zwölf::NUM,tolv,tolv
832,zwanzig::NUM,tjue,tjue
833,dreißig::NUM,tretti,tretti
834,vierzig::NUM,førti,førti
835,fünfzig::NUM,femti,femti
836,sechzig::NUM,seksti,seksti
837,siebzig::NUM,sytti,sytti
838,achtzig::NUM,åtti,åtti
839,neunzig::NUM,nitti,nitti
840,hundert::NUM,hundre,hundre
841,tausend::NUM,tusen,tusen
842,und::CNJ,og,og
843,oder::CNJ,eller,eller
844,stehen::V,stå,stå
845,sitzen::V,sitte,sitte
846,liegen::V,ligge,ligge
847,hängen::V,henge,henge
848,werden::V,bli,bli
849,passieren::V,skje,skje
850,passieren::V,skje,hende
851,passieren::V,hende,skje
852,passieren::V,hende,hende
853,beginnen::V,begynne,begynne
854,enden::V,ende,ende
855,enden::V,ende,slutte
856,enden::V,slutte,ende
857,enden::V,slutte,slutte
858,wechseln::V,veksle,veksle
859,aufgehen[Sonne]::V,stå opp,stå opp
860,untergehen[Sonne]::V,gå ned,gå ned
861,scheinen[Sonne]::V,skinne,skinne
862,donnern::V,tordne,tordne
863,wehen::V,blåse,blåse
864,strömen::V,strømme,strømme
865,fließen::V,flyte,flyte
866,sich drehen::V,dreie seg,dreie seg
867,schwanken::V,svaie,svaie
868,schwingen::V,svinge,svinge
869,fallen::V,falle,falle
