,Concept_ID,kl,ml
80,Schatten::N,tarraq,തണൽ
81,Wetter::N,sila,കാലാവസ്ഥ
82,Nebel::N,pujoq,മൂടൽമഞ്ഞ്
83,Wolke::N,nuia,മേഘം
84,Regen::N,sialuk,മഴ
85,Schnee::N,aput,മഞ്ഞ്
86,Eis::N,siku,ഐസ്
87,Frost::N,issi,മൂടൽമഞ്ഞ്
88,Frost::N,issik,മൂടൽമഞ്ഞ്
89,Kälte::N,issi,തണുപ്പ്
90,Hitze::N,kianneq,ചൂട്
91,Hitze::N,kiassuseq,ചൂട്
92,Raureif::N,kaneq,കോടമഞ്ഞ്
93,Regenbogen::N,neriusaaq,മഴവില്ല്
94,Donner::N,kalleq,ഇടി
95,Tropfen::N,kuseriarneq,തുള്ളി
96,Schaum::N,qapuk,നുര
97,Schmutz::N,minguk,അഴുക്ക്
98,See::N,taseq,തടാകം
99,Sumpf::N,maqulluk,ചതുപ്പുനിലം
100,Wiese::N,masarsuk,പുൽത്തകിടി
101,Hügel::N,qattuneq,കുന്ന്
102,Hügel::N,majuariaq,കുന്ന്
103,Hügel::N,majorajaaq,കുന്ന്
104,Hügel::N,qaqqannguaq,കുന്ന്
105,Berg::N,qaqqaq,പർവ്വതം
106,Höhle::N,qaarusuk,ഗുഹ
107,Abhang::N,ippik,ചരിവ്
108,Abhang::N,sivinganeq,ചരിവ്
109,Abhang::N,sivingajaaq,ചരിവ്
110,Abhang::N,kussangajaaq,ചരിവ്
111,Bach::N,kuunnguaq,അരുവി
112,Fluss::N,kuuk,നദി
113,Ufer::N,sissap sinaa,തീരം
114,Küste::N,sineriak,കടൽത്തീരം
115,Meer::N,imaq,കടൽ
116,Bucht::N,ikeq,ഉൾക്കടല്
117,Bucht::N,kangerluk,ഉൾക്കടല്
118,Bucht::N,kangerliumaneq,ഉൾക്കടല്
119,Insel::N,qeqertaq,ദ്വീപ്
120,Blume::N,naasoq,പൂവ്
121,Gras::N,ivigaq,പുല്ല്
122,Wurzel::N,niulutaq,വേര്
123,Baum::N,orpik,മരം
124,Stamm::N,kanaartaq,തായ്ത്തടി
125,Rinde::N,ameraq,പട്ട
126,Ast::N,avalequt,ശാഖ
127,Zweig::N,avalequt,ശാഖ
128,Blatt::N,pilutaq,ഇല
129,Birke::N,patitsit,പൂവരശ്
130,Weide[Baum]::N,palleq,വില്ലോ
131,Tanne::N,orsuerneq,ദേവദാരു
132,Horn::N,nassuk,മൃഗത്തിൻറെ കൊമ്പ്
133,Feder::N,suluk,തൂവൽ
134,Fell::N,ameq,മൃദുരോമം
135,Flügel::N,suluk,ചിറക്
136,Flügel::N,isaroq,ചിറക്
137,Klaue::N,kukik,നഖം
138,Kralle::N,kukik,നഖം
139,Schwanz::N,pamioq,വാൽ
140,Schwanz::N,paperuusaq,വാൽ
141,Ei::N,mannik,മുട്ട
142,Nest::N,ullut,കൂട്
143,Bau::N,ini,മാളം
144,Tier::N,uumasoq,മൃഗം
145,Herde::N,unguukkat,കൂട്ടം
146,Kuh::N,ussik,പശു
147,Bulle::N,angukulak,കാള
148,Bulle::N,anguteralak,കാള
149,Bulle::N,angutikulooq,കാള
150,Schaf::N,sava,ആട്
151,Schwein::N,puuluki,പന്നി
152,Hund::N,qimmeq,നായ്
153,Katze::N,puisaaq,പൂച്ച
154,Bär::N,allaq,കരടി
155,Eichhörnchen::N,sissinnguaq,അണ്ണാൻ
156,Fuchs::N,terianniaq,കുറുക്കൻ
157,Hase::N,ukaleq,മുയൽ
158,Maus::N,teriannguaq,ചുണ്ടലി
159,Wolf::N,amaroq,ചെന്നായ
160,Vogel::N,timmiaq,പക്ഷി
161,Huhn::N,kukkukooq,കോഴി
162,Huhn::N,marloraaqaaq,കോഴി
163,Hahn::N,kiasiusaq,പൂവൻകോഴി
164,Gans::N,nerleq,അരയന്നം
165,Adler::N,nattoralik,കഴുകൻ
166,Eule::N,uppik,മൂങ്ങ
167,Kranich::N,qorlorfik,കൊക്ക്
168,Krähe::N,tuluatsiaq,കാക്ക
169,Kuckuck::N,kukkooq,കുയിൽ
170,Schwan::N,qussuk,അരയന്നം
171,Fisch::N,aalisagaq,മത്സ്യം
172,Schlange[Tier]::N,pulateriarsuk,പാമ്പ്
173,Schlange[Tier]::N,pulateriaarsuk,പാമ്പ്
174,Spinne::N,aasiaq,ചിലന്തി
175,Spinne::N,nissavaarsuk,ചിലന്തി
176,Ameise::N,uniaaluk,ഉറുമ്പ്
177,Laus::N,kumak,പേന്
178,Mücke::N,ippernaq,മശകം
179,Fliege::N,ippernaq,ഈച്ച
180,Schmetterling::N,paluaq,ചിത്രശലഭം
181,Schmetterling::N,pakkaluaq,ചിത്രശലഭം
182,Schmetterling::N,utsuppaluaq,ചിത്രശലഭം
183,Schmetterling::N,taqaleqisaaq,ചിത്രശലഭം
184,Beere::N,paarmaq,ബെറി
185,Beere::N,paarngaq,ബെറി
186,Apfel::N,iipili,ആപ്പിൾ
187,Pilz::N,anngiusaq,കൂൺ
188,Zwiebel::N,uanitsoq,സവാള
189,Saat::N,naatsiiassaq,വിത്ത്
190,Korn::N,maannineq,ധാന്യം
191,Schale::N,niutsivik,തൊലി
192,Schale::N,ilulissaq qaartussaq,തൊലി
193,Grube::N,itersaq,കുഴി
194,Falle::N,pualavoq,കെണി
195,Schlinge::N,orseq,കുടുക്ക്
196,Schlinge::N,norloq,കുടുക്ക്
197,Spur::N,tumaa,ചുവട്
198,Asche::N,arsat,ചാരം
199,Dreck::N,minguk,അഴുക്ക്
200,Eisen::N,savimineq,ഇരുമ്പ്
201,Eisen::N,saffiugassaq,ഇരുമ്പ്
202,Gold::N,kuulti,സ്വർണ്ണം
203,Silber::N,siilviuvoq,വെള്ളി
204,Kohle::N,aamarsuit aamaruutissat,കൽക്കരി
205,Glas::N,igalaaq,ഗ്ലാസ്
206,Glas::N,imertarfik,ഗ്ലാസ്
207,Glas::N,igalaamineq,ഗ്ലാസ്
208,Lehm::N,marraq,കളിമണ്ണ്
209,Sand::N,sioqqat,മണൽ
210,Mensch::N,inuk,മനുഷ്യർ
211,Mensch::N,silamiu,മനുഷ്യർ
212,Mann::N,angut,പുരുഷൻ
213,Frau::N,arnaq,സ്ത്രീ
214,Kind::N,meeraq,കുഞ്ഞ്
215,Junge::N,nukappiaraq,ആൺകുട്ടി
216,Mädchen::N,arnannguaq,പെൺകുട്ടി
217,Familie::N,ilaqutakka,കുടുംബം
218,Familie::N,ilaqutariit,കുടുംബം
219,Großvater::N,aatak,അപ്പൂപ്പൻ
220,Großmutter::N,aanaq,അമ്മുമ്മ
221,Eltern::N,angajoqqaat,മാതാപിതാക്കള്
222,Vater::N,ataata,അച്ഛൻ
223,Vater::N,ataataq,അച്ഛൻ
224,Mutter::N,anaana,അമ്മ
225,Sohn::N,erneq,മകൻ
226,Tochter::N,panik,മകൾ
227,Bruder::N,ani,ചേട്ടൻ
228,Bruder::N,ani,അനിയൻ
229,Bruder::N,aqqaluk,ചേട്ടൻ
230,Bruder::N,aqqaluk,അനിയൻ
231,Bruder::N,qatanngut,ചേട്ടൻ
232,Bruder::N,qatanngut,അനിയൻ
233,Schwester::N,naja,ചേച്ചി
234,Schwester::N,naja,അനിയത്തി
235,Schwester::N,aleqa,ചേച്ചി
236,Schwester::N,aleqa,അനിയത്തി
237,Schwester::N,qatanngut,ചേച്ചി
238,Schwester::N,qatanngut,അനിയത്തി
239,Onkel::N,akkak,അമ്മാവൻ
240,Tante::N,aja,മാമി
241,Tante::N,ajak,മാമി
242,Tante::N,atsak,മാമി
243,Ehemann::N,ui,ഭർത്താവ്
244,Ehefrau::N,nuliaq,ഭാര്യ
245,Freude::N,tipaatsussuseq,ആഹ്ലാദം
246,Gelächter::N,illaq,ചിരിയുടെ ശബ്ദം
247,Glück::N,usornaat,സന്തോഷം
248,Glück::N,usornaat,സന്തുഷ്ടി
249,Glück::N,usornarsuseq,സന്തോഷം
250,Glück::N,usornarsuseq,സന്തുഷ്ടി
251,Wunsch::N,kissaat,ആഗ്രഹം
252,Lust::N,illigussuseq,ആഗ്രഹം
253,Lust::N,piummaseq,ആഗ്രഹം
254,Geist::N,anerneq,ചുറുചുറുക്ക്
255,Geist::N,toornaq,ചുറുചുറുക്ക്
256,Gedanke::N,isumassaq,ചിന്ത
257,Gedächtnis::N,eqqaamannissuseq,ഓർമ്മശക്തി
258,Verstand::N,isuma,മനസ്സ്
259,Verstand::N,sianissut,മനസ്സ്
260,Verstand::N,misigissut,മനസ്സ്
261,Verstand::N,sianissuseq,മനസ്സ്
262,Verstand::N,silaqassuseq,മനസ്സ്
263,Sinn::N,isuma,അർത്ഥം
264,Grund::N,patsit,കാരണം
265,Wahrheit::N,sallusuissut,സത്യം
266,Märchen::N,oqalualaarut,യക്ഷിക്കഥ
267,Märchen::N,oqaluasaaq,യക്ഷിക്കഥ
268,Erzählung::N,oqaluttuaq,കഥ
269,Nachricht::N,oqaassut,സന്ദേശം
270,Nachricht::N,oqqersuut,സന്ദേശം
271,Neuigkeit::N,tusarnartaq,വാർത്ത
272,Name::N,ateq,പേര്
273,Rätsel::N,nalorsitsaarut,പ്രഹേളിക
274,Rede::N,oqaluuseq,സംസാരം
275,Sprache::N,oqaatsit,ഭാഷ
276,Stimme::N,erinaq,സ്വരം
277,Stimme::N,qarluuseq,സ്വരം
278,Wort::N,oqaasii,വാക്ക്
279,Zeichen::N,nalunaaqqut,സംജ്ഞ
280,Ruf::N,qaaqqussut,വിളി
281,Lärm::N,perpaluk,ആരവം
282,Laut::N,torsukattak,ശബ്ദം
283,Ton::N,erinaq,സ്വരഭേദം
284,Lied::N,taalliaq,പാട്ട്
285,Lied::N,erinarsuut,പാട്ട്
286,Ruhe::N,qatsunganeq,നിശ്ചലത
287,Leute::N,inuiak,ജനങ്ങൾ
288,Leute::N,inuiaqatigiit,ജനങ്ങൾ
289,Volk::N,inuiaat,രാഷ്ടം
290,Arbeit::N,suliaq,ജോലി
291,Gast::N,qaaqqusaq,അതിലി
292,Geschenk::N,pajugut,സമ്മാനം
293,Hilfe::N,annertoqqut,സഹായം
294,Freund::N,tiliaq,സുഹൃത്ത്
295,Freund::N,ikinngut,സുഹൃത്ത്
296,Kamerad::N,tiliaq,കൂട്ടാളി
297,Kamerad::N,ikinngut,കൂട്ടാളി
298,Art::N,ileqquuseq,തരം
299,Stück::N,nakkaalaniku,കഷണം
300,Teil::N,tassiaasat,ഭാഗം
301,Hälfte::N,affaq,പകുതി
302,Kreis::N,kaajaluinneq or kaajaluitsoq,വൃത്തം
303,Kreuz::N,sanningasulik,കുരിശടയാളം
304,Linie::N,tittaq,വര
305,Linie::N,tittaq,രേഖ
306,Linie::N,titarneq,വര
307,Linie::N,titarneq,രേഖ
308,Abstand::N,aku,വിടവ്
309,Abstand::N,ikiaq,വിടവ്
310,Entfernung::N,asi,അകലം
311,Gegend::N,nuna,പ്രദേശം
312,Platz::N,ini,ഇടം
313,Platz::N,inissaq,ഇടം
314,Ort::N,sumiiffik,സ്ഥലം
315,Seite::N,saneraq,വശം
316,Mitte::N,qiteq,മധ്യസ്ഥാനം
317,Sache::N,pigisaq,വസ്തു
318,Rand::N,sini,തൊങ്ങൽ
319,Rand::N,akerfineq,തൊങ്ങൽ
320,Kante::N,akerfineq,അറ്റം
321,Ecke::N,teqeqqoq,മൂല
322,Ecke::N,tikeqqoq,മൂല
323,Spitze::N,inngik,അഗ്രം
324,Ende::N,isu,അവസാനം
325,Loch::N,putu,ദ്വാരം
326,Winkel::N,teqeqqorissaat,കോൺ
327,Muster::N,ilisserut,ക്രമം
328,Größe::N,angissuseq,വലുപ്പം
329,Länge::N,takissuseq,നീളം
330,Gewicht::N,oqimaalutaq,കട്ടി
331,Menge::N,amerlassuseq,അളവ്
332,Haufen::N,eqimattat,കൂമ്പാരം
333,Reihe::N,allunaasaq,വരി
334,Boot::N,qajaq,ബോട്ട്
335,Boot::N,angallat,ബോട്ട്
336,Boot::N,umiatsiaq,ബോട്ട്
337,Ruder::N,iput,പങ്കായം
338,Schlitten::N,qamutit,ഉരുളില്ലാവണ്ടി
339,Schlitten::N,qimusseq,ഉരുളില്ലാവണ്ടി
340,Ski::N,ataarut,ഹിമപാദുകം
341,Last::N,nammagaq,ഭാരം
342,Schritt::N,allorneq,ചുവട്
343,Norden::N,avannaq,വടക്ക്
344,Süden::N,qava,തെക്ക്
345,Süden::N,kujat,തെക്ക്
346,Süden::N,kujataa,തെക്ക്
347,Westen::N,kitaa,പടിഞ്ഞാറ്
348,Osten::N,kangi,കിഴക്ക്
349,Holz::N,qisuk,തടി
350,Brett::N,salliligaq,ബോർഡ്
351,Platte::N,qaateq,തകിട്
352,Stütze::N,ajagutaq,താങ്ങ്
353,Stütze::N,ajaagutaq,താങ്ങ്
354,Stange::N,kaaviffik,കമ്പ്
355,Stock::N,ajaappissat,വടി
356,Stab::N,ajaappissat,കുറുവടി
357,Rohr::N,sullulik,കുഴൽ
358,Haus::N,illu,വീട്
359,Ofen::N,kissarsuut,സ്റ്റൌ
360,Fußboden::N,nateq,തറ
361,Tisch::N,allattarfik,മേശ
362,Stuhl::N,issiavik,കസേര
363,Stuhl::N,issiaffik,കസേര
364,Wiege::N,uaasoq,തൊട്ടിൽ
365,Bett::N,nallavik,കിടക്ക
366,Regal::N,ilisivik,ഷെൽഫ്
367,Kiste::N,sakissat,പെട്ടി
368,Kiste::N,illerfiusaq,പെട്ടി
369,Fenster::N,aki,ജനൽ
370,Fenster::N,igalaaq,ജനൽ
371,Tür::N,matu,വാതിൽ
372,Tor::N,isaaffik,കവാടം
373,Zaun::N,saputit,വേലി
374,Dach::N,qaliaq,മേൽക്കുര
375,Leiter::N,tummeqqat,ഏണി
376,Leiter::N,majuartarfiit,ഏണി
377,Besen::N,saligutit,ചൂല്
378,Spaten::N,nivaataq,തൂമ്പ
379,Schaufel::N,nivaataq,തൂമ്പ
380,Gabel::N,qilluaq,മുൾക്കത്തി
381,Gabel::N,ajassaatit,മുൾക്കത്തി
382,Löffel::N,alussaat,സ്പൂൺ
383,Messer::N,savik,കത്തി
384,Nagel::N,kukik,ആണി
385,Netz::N,anguffaseq,വല
386,Haken::N,nissik,കൊളുത്ത്
387,Haken::N,qarsorsaq,കൊളുത്ത്
388,Haken::N,qarsorsartoq,കൊളുത്ത്
389,Griff::N,ipi,കൈപ്പിടി
390,Schloss::N,illussaarsuaq,പൂട്ട്
391,Bild::N,assiliaq,ചിത്രം
392,Figur::N,kisitsit,കണക്ക്
393,Puppe::N,inuusaq,പാവ
394,Bündel::N,qilertaq,കെട്ട്
395,Tasche::N,pooqattaq,ബാഗ്
396,Deckel::N,matu,ഉറ
397,Geschirr::N,anut,പിഞ്ഞാണം
398,Tasse::N,tiitorfik,കപ്പ്
399,Tasse::N,tiitorfiup ilorlia,കപ്പ്
400,Topf::N,qoqqoq,പാത്രം
401,Kessel::N,uunnaavik,കെറ്റ്ല്
402,Essen::N,igaaq,ആഹാരസമയം
403,Nahrung::N,neqissaq,ഭക്ഷണം
404,Speise::N,nerisassat,ഡിഷ്
405,Fleisch::N,neqi,മാംസം
406,Getreide::N,maannineq,ചോളം
407,Brot::N,iffit,റോട്ടി
408,Brot::N,iffiaq,റോട്ടി
409,Scheibe::N,igalaassiaq,തുണ്ട്
410,Fett::N,tarnutissaq,കൊഴുപ്പ്
411,Fett::N,tarnutissiaq,കൊഴുപ്പ്
412,Butter::N,punneq,വെണ്ണ
413,Öl::N,uulia,എണ്ണ
414,Salz::N,taratsut,ഉപ്പ്
415,Suppe::N,qajoq,സൂപ്പ്
416,Honig::N,tungusunnitsuut,തേൻ
417,Milch::N,immuk,പാൽ
418,Tee::N,tii,ചായ
419,Tee::N,teeq,ചായ
420,Wolle::N,nuersagassiaq,കമ്പിളി
421,Stoff::N,milliaq,തുണി
422,Stoff::N,qarlissiaq,തുണി
423,Nadel::N,meqqut,സൂചി
424,Faden::N,ujalussiaq,നൂല്
425,Knopf::N,attat,ബട്ടൺ
426,Knoten::N,akeroq,കുരുക്ക്
427,Knoten::N,qilerneq,കുരുക്ക്
428,Farbe::N,qalipaat,പെയിൻറ്
429,Kleidung::N,atisat,വസ്ത്രങ്ങൾ
430,Kleidung::N,annoraaq,വസ്ത്രങ്ങൾ
431,Hemd::N,ilupaaq,ഷർട്ട്
432,Kragen::N,qungasiinnaq,കുപ്പായക്കഴുത്ത്
433,Ärmel::N,aaq,കുപ്പായക്കൈ
434,Hose::N,qarliit,ട്രൌസർ
435,Gürtel::N,qiterut,ബെൽറ്റ്
436,Gürtel::N,unngersaq,ബെൽറ്റ്
437,Mütze::N,nasaq,തൊപ്പി
438,Schuh::N,skuu,ഷൂ
439,Schuh::N,ikernuk,ഷൂ
440,Schuh::N,ateraasaq,ഷൂ
441,Stiefel::N,kamik,ബൂട്ട്
442,Ring::N,assammiu,മോതിരം
443,Band::N,qilerutissiaq,റിബൺ
444,Kamm::N,illaagutit,ചീപ്പ്
445,Kamm::N,illaajaatit pl.,ചീപ്പ്
446,Spiegel::N,tarrarsuut,കണ്ണാടി
447,Riemen::N,allunaaq,സ്ട്രാപ്പ്
448,Schnur::N,kujaaq,ചരട്
449,Schnur::N,allunaasaq,ചരട്
450,Leine::N,aleq,കെട്ടാനുള്ള തോൽവാർ
451,Decke::N,qipik,പുതപ്പ്
452,Kissen::N,akit,തലയിണ
453,Tuch::N,qarlissiaq,സ്കാർഫ്
454,Handtuch::N,allarut,തോർത്ത്
455,Handtuch::N,allarterut,തോർത്ത്
456,Kraft::N,pissak,ശക്തി
457,Stärke::N,qerattarsaat,ശക്തി
458,Gesundheit::N,peqqisusseq,ആരോഗ്യം
459,Krankheit::N,nappaat,അസുഖം
460,Schmerz::N,anniaat,വേദന
461,Wunde::N,iki,മുറിവ്
462,Fieber::N,nappaat qanimanartoq,പനി
463,Arznei::N,imigassaq,മരുന്ന്
464,Brücke::N,ikaartarfik,പാലം
465,Brunnen::N,tissaluttuliaq,കിണർ
466,Weide::N,masarsuk,മേച്ചൽ
467,Pfad::N,aqqut,വഴി
468,Weg::N,aggerfik,വഴി
469,Straße::N,aqqusineq,റോഡ്
470,Dorf::N,nunaqarfik,ഗ്രാമം
471,Stadt::N,illorpaat,നഗരം
472,Stadt::N,illorpalik,നഗരം
473,Brief::N,allagarsiaq,കത്ത്
474,Buch::N,atuakkat,പുസ്തകം
475,Buch::N,mappersagaq,പുസ്തകം
476,Buchstabe::N,naqinneq,അക്ഷരം
477,Zeitung::N,aviisi,വർത്തമാനപത്രം
478,Leben::N,inuussuseq,ജീവൻ
479,Tod::N,toqu,മരണം
480,Tod::N,toquneq,മരണം
481,Grab::N,iliveq,ശവക്കുഴി
482,Grab::N,illissat,ശവക്കുഴി
483,Kirche::N,oqaluffik,പള്ളി
484,Sünde::N,ajorti,പാപം
485,Arbeiter::N,sulisoq,ജോലിക്കാരൻ
486,Chef::N,ittoqut,മേധാവി
487,Meister::N,naalagaq,യജമാനൻ
488,Arzt::N,katsorsaasoq,ഡോക്ടർ
489,Lehrer::N,ilinniartitsisoq,അധ്യാപകൻ
490,Geld::N,aningaasat,പണം
491,Geschäft::N,niuertarfik,ബിസിനസ്
492,Laden::N,niuertarfik,കട
493,Preis::N,aki,വില
494,Ware::N,qaliata pii,ചരക്ക്
495,Ware::N,nioqqutissaq,ചരക്ക്
496,Nutzen::N,iluaqut,ലാഭം
497,Welt::N,nunarsuaq,ലോകം
498,Land::N,nuna,രാജ്യം
499,König::N,kunngi,രാജാവ്
500,Macht::N,pissaassuseq,അധികാരം
501,Grenze::N,killik,അതിർത്തി
502,Krieg::N,sorsunneq,യുദ്ധം
503,Feind::N,akeraq,ശത്രു
504,Feind::N,akerartorti,ശത്രു
505,Feind::N,qinngarsuisoq,ശത്രു
506,Kampf::N,sorsunneq,പോരാട്ടം
507,Pfeil::N,qalugiusaq,അമ്പ്
508,Gewehr::N,aallaat,തോക്ക്
509,Fehler::N,kukkuneq,പിശക്
510,Fehler::N,paarlaappaa,പിശക്
511,Unglück::N,perluut,ദൌർഭാഗ്യം
512,Schuld::N,akiitsugaq,തെറ്റ്
513,Schuld::N,akiligassaq,തെറ്റ്
514,Alter::N,utoqqaq,വയസ്സ്
515,Schluss::N,isu,നിഗമനം
516,Zeit::N,ulloq,സമയം
517,Zeit::N,akuttoqatigiinneq,സമയം
518,Tag::N,ulloq,ദിവസം
519,Morgen::N,ullaaq,പ്രഭാതം
520,Mittag::N,ulloqeqqa,ഉച്ച
521,Abend::N,unnuk,സായാഹ്നം
522,Nacht::N,unnuaq,രാത്രി
523,Woche::N,sapaatip akunnera,ആഴ്ച
524,Monat::N,qaammat,മാസം
525,Jahr::N,ukioq,വർഷം
526,Frühling::N,upernaaq,വസന്തം
527,Sommer::N,aasaq,വേനൽ
528,Herbst::N,ukiaq,ശരത്കാലം
529,Winter::N,ukioq,ശൈത്യം
530,Januar::N,siulleeq,ജനുവരി
531,Januar::N,qaammaliaq,ജനുവരി
532,Februar::N,aarlaat,ഫെബ്രുവരി
533,März::N,marsi,മാർച്ച്
534,März::N,martsi,മാർച്ച്
535,Mai::N,maaji,മെയ് മാസം
536,Juni::N,juuni,ജൂൺ
537,Juli::N,juuli,ജൂലൈ
538,August::N,aggusti,ആഗസ്റ്റ്
539,September::N,septembari,സെപ്തംബർ
540,Oktober::N,oktobari,ഒക്ടോബർ
541,November::N,novembari,നവംബർ
542,Dezember::N,detsembari,ഡിസംബർ
543,Montag::N,ataasinngortoq,തിങ്കളാഴ്ച
544,Dienstag::N,marlunngorneq,ചൊവ്വ
545,Mittwoch::N,pingasunngorneq,ബുധനാഴ്ച
546,Donnerstag::N,sisamanngorneq,വ്യാഴാഴ്ച
547,Freitag::N,tallimanngorneq,വെള്ളിയാഴ്ച
548,Samstag::N,arfininngorneq,ശനിയാഴ്ച
549,Sonntag::N,sapaat,ഞായറാഴ്ച
550,Sonntag::N,sapaati,ഞായറാഴ്ച
551,groß::A,angivoq,വലിയ
552,klein::A,mikivoq,ചെറിയ
553,lang::A,takisooq,നീണ്ട
554,kurz::A,naatsoq,ഹ്രസ്വമായ
555,breit::A,silippoq,വിശാലമായ
556,schmal::A,amitsoq,ഇടുങ്ങിയ
557,dicht::A,torsusooq,നിബിഡമായ
558,dick[Gegenstand]::A,issuvoq,തടിച്ച
559,dick[Gegenstand]::A,issusooq,തടിച്ച
560,dünn::A,amitsoq,മെലിഞ്ഞ
561,fein::A,mamarpoq,നേർത്ത
562,fest::A,tangeqarpoq,ഉറപ്പുള്ള
563,flach::A,nalimmappoq,പരന്ന
564,glatt::A,quasak,മിനുസമുള്ള
565,hart::A,mattusooq,കട്ടിയുള്ള
566,hart::A,manngerpoq,കട്ടിയുള്ള
567,hart::A,titeqquluppoq,കട്ടിയുള്ള
568,weich::A,nerumaarpoq,മൃദുവായ
569,rund::A,ammallorippoq,വട്ടത്തിലുള്ള
570,spitz::A,qummukujooq,മുനയുള്ള
571,scharf::A,ipippoq,മൂർച്ചയുള്ള
572,stumpf::A,anngerpoq,തുറന്നടിക്കുന്ന
573,schwer::A,oqimaappoq,ഭാരമുള്ള
574,schön::A,kusanarpoq,മനോഹരമായ
575,heiß::A,kiappoq,ചൂടുള്ള
576,warm::A,oqorpoq,ചൂടുള്ള
577,kalt::A,issippoq,തണുത്ത
578,kühl::A,pueqqortippoq,തണുപ്പുള്ള
579,feucht::A,isugutavoq,ഈറനുള്ള
580,feucht::A,qaasernarpoq,ഈറനുള്ള
581,nass::A,imerorpoq,നനഞ്ഞ
582,trocken::A,panerpoq,വരണ്ട
583,voll::A,ulikkaarpoq,നിറയെ
584,leer::A,imaattuarpoq,ഒഴിഞ്ഞ
585,offen::A,ammavoq,തുറന്ന
586,geschlossen::A,matuvoq,അടച്ച
587,sauber::A,eqqippoq,വൃത്തിയുള്ള
588,sauber::A,sukuluippoq,വൃത്തിയുള്ള
589,sauber::A,ipeqanngilaq,വൃത്തിയുള്ള
590,schmutzig::A,tapappoq,അഴുക്കുനിറഞ്ഞ
591,schmutzig::A,minguppoq,അഴുക്കുനിറഞ്ഞ
592,roh::A,aapavoq,അസംസ്കൃതമായ
593,reif::A,qaarulerpoq,പഴുത്ത
594,süß::A,tungusunnippoq,മധുരമുള്ള
595,bitter::A,qasilippoq,കടുത്ത
