,Concept_ID,ga,myv
393,Größe::N,méid,сэрь
394,Größe::N,méid,покшолма
395,Größe::N,toise,сэрь
396,Größe::N,toise,покшолма
397,Länge::N,fad,кувалмо
398,Höhe::N,airde,сэрь
399,Höhe::N,airde,пандо
400,Gewicht::N,meáchan,сталмо
401,Menge::N,méid,лововкс
402,Haufen::N,cnap,мар
403,Haufen::N,cnap,валявкс
404,Reihe::N,líne,ряд
405,Reihe::N,sraith,ряд
406,Boot::N,bád,венч
407,Ruder::N,rámh,милё
408,Ruder::N,maide rámha,милё
409,Schlitten::N,carr sleamhnáin,нурдт
410,Ski::N,scí,сокс
411,Lagerfeuer::N,tine champa,толбандя
412,Last::N,ualach,сталмо
413,Last::N,ualach,кандома
414,Gang::N,siúlóid,молема
415,Gang::N,siúlóid,якамо
416,Schritt::N,céim,эскелькс
417,Schritt::N,coiscéim,эскелькс
418,Norden::N,tuaisceart,якшамо ёнкс
419,Süden::N,deisceart,лембе ёнкс
420,Westen::N,iarthar,чивалгома
421,Osten::N,oirthear,чилисема
422,Holz::N,adhmad,чувто
423,Brett::N,clár,лаз
424,Platte::N,leac,плита
425,Stütze::N,taca,неже
426,Stange::N,polla,олга
427,Stange::N,cuaille,олга
428,Stock::N,bata,мандо
429,Stock::N,maide,мандо
430,Stab::N,maide,олога
431,Stab::N,bachall,олога
432,Rohr::N,píopa,турба
433,Haus::N,teach,кудо
434,Heim::N,baile,кудо
435,Ofen::N,sornóg,каштомо
436,Fußboden::N,urlár,киякс
437,Tisch::N,bord,столь
438,Tisch::N,tábla,столь
439,Stuhl::N,cathaoir,стул
440,Wiege::N,cliabhán,лавсь
441,Wiege::N,cliabhán,нурямот
442,Bett::N,leaba,ацамо
443,Regal::N,seilf,лався
444,Regal::N,seilf,лавсяланго
445,Kiste::N,bosca,горобия
446,Kiste::N,bosca,сундук
447,Fenster::N,fuinneoig,вальма
448,Tür::N,doras,кенкш
449,Tor::N,geata,ортат
450,Zaun::N,fál,пирявт
451,Zaun::N,fál,пирвякс
452,Zaun::N,claí,пирявт
453,Zaun::N,claí,пирвякс
454,Dach::N,díon,кудопря
455,Leiter::N,dréimire,кузтема
456,Besen::N,scuab,тенсть
457,Spaten::N,spád,койме
458,Spaten::N,rámhainn,койме
459,Schaufel::N,sluasaid,кече
460,Schaufel::N,sluasaid,келей койме
461,Gabel::N,forc,сянгине
462,Gabel::N,gabhlóg,сянгине
463,Löffel::N,spúnóg,пенч
464,Messer::N,scian,пеель
465,Nagel::N,tairne,эске
466,Netz::N,líon,алтыма
467,Netz::N,eangach,алтыма
468,Haken::N,croch,кечказ
469,Griff::N,cos,кедне
470,Griff::N,hanla,кедне
471,Schloss::N,glas,замок
472,Schloss::N,glas,панжома
473,Bild::N,pictiúr,картина
474,Figur::N,fíor,рунго
475,Puppe::N,bábóg,няка
476,Beutel::N,mála,кескав
477,Beutel::N,mealbhóg,кескав
478,Bündel::N,beart,керькс
479,Tasche::N,mála,юдма
480,Eimer::N,buicéad,ведра
481,Deckel::N,clár,велькс
482,Deckel::N,claibín,велькс
483,Geschirr::N,soithí,кедьге
484,Geschirr::N,gréithe,кедьге
485,Sack::N,sac,кескав
486,Sack::N,mála,кескав
487,Tasse::N,cupán,чакш
488,Topf::N,pota,кастрюля
489,Kessel::N,citeal,котёл
490,Essen::N,béile,ярсамо
491,Nahrung::N,bia,ярсамопель
492,Speise::N,mias,ярсамопель
493,Fleisch::N,feoil,сывель
494,Getreide::N,grán,сюро
495,Getreide::N,arbhar,сюро
496,Brei::N,brúitín,каша
497,Brot::N,arán,кши
498,Scheibe::N,píosa,кочом
499,Scheibe::N,píosa,сускомо
500,Scheibe::N,slisne,кочом
501,Scheibe::N,slisne,сускомо
502,Fett::N,saill,куя
503,Fett::N,méathras,куя
504,Butter::N,im,ой
505,Öl::N,ola,ой
506,Salz::N,salann,сал
507,Suppe::N,sú,ям
508,Suppe::N,anraith,ям
509,Honig::N,mil,медь
510,Milch::N,bainne,ловсо
511,Tee::N,tae,чай
512,Leder::N,leathar,киське
513,Wolle::N,olann,пона
514,Stoff::N,éadach,коцт
515,Nadel::N,snáthaid,салмукс
516,Faden::N,snáth,суре
517,Knopf::N,cnaipe,пов
518,Knoten::N,snaidhm,сюлмо
519,Farbe::N,péint,артомапель
520,Kleidung::N,éadaí,оршамот
521,Hemd::N,léine,панар
522,Kragen::N,bóna,сиве
523,Ärmel::N,muinchille,ожа
524,Hose::N,bríste,понкст
525,Hose::N,treabhsar,понкст
526,Gürtel::N,crios,каркс
527,Mütze::N,caipín,чапка
528,Schuh::N,bróg,туфля
529,Stiefel::N,buatais,кем
530,Ring::N,fáinne,суркс
531,Band::N,ribín,лента
532,Kamm::N,cíor,сурсеме
533,Spiegel::N,scáthán,чавачамо
534,Riemen::N,iall,кшнань каркс
535,Riemen::N,strapa,кшнань каркс
536,Schnur::N,téad,пикс
537,Schnur::N,sreangán,пикс
538,Leine::N,iall,ведьме
539,Decke::N,pluid,вельтямо
540,Decke::N,blaincéad,вельтямо
541,Kissen::N,piliúr,тодов
542,Kissen::N,adhartán,тодов
543,Tuch::N,scaif,паця
544,Handtuch::N,tuáille,нардамо
545,Kraft::N,fórsa,вий
546,Stärke::N,neart,виевчи
547,Gesundheit::N,sláinte,шумбрачи
548,Krankheit::N,tinneas,орма
549,Krankheit::N,tinneas,сэредема
550,Krankheit::N,breoiteacht,орма
551,Krankheit::N,breoiteacht,сэредема
552,Schmerz::N,pian,сэредькс
553,Wunde::N,goin,керявкс
554,Fieber::N,fiabhras,маштыкс
555,Arznei::N,cógas,ормаменькс
556,Brücke::N,droichead,сэдь
557,Brücke::N,droichead,мадамо
558,Brunnen::N,tobar,лисьма
559,Weide::N,féarach,ракшань ванома тарка
560,Pfad::N,cosán,ян
561,Pfad::N,conair,ян
562,Weg::N,slí,ки
