,Concept_ID,mn,ml
254,Schwester::N,эгч,അനിയത്തി
255,Schwester::N,охин дүү,ചേച്ചി
256,Schwester::N,охин дүү,അനിയത്തി
257,Onkel::N,авга ах,അമ്മാവൻ
258,Onkel::N,нагац ах,അമ്മാവൻ
259,Tante::N,авга эгч,മാമി
260,Tante::N,нагац эгч,മാമി
261,Ehemann::N,нөхөр,ഭർത്താവ്
262,Ehefrau::N,эхнэр,ഭാര്യ
263,Ehefrau::N,гэргий,ഭാര്യ
264,Freude::N,баяр,ആഹ്ലാദം
265,Freude::N,баясгалан,ആഹ്ലാദം
266,Gelächter::N,инээдэм,ചിരിയുടെ ശബ്ദം
267,Glück::N,жаргалан,സന്തോഷം
268,Glück::N,жаргалан,സന്തുഷ്ടി
269,Kummer::N,гаслан,ശോകം
270,Wunsch::N,ерөөл,ആഗ്രഹം
271,Lust::N,дур,ആഗ്രഹം
272,Lust::N,хүсэл,ആഗ്രഹം
273,Geist::N,оюун,ചുറുചുറുക്ക്
274,Gedanke::N,сэтгэл,ചിന്ത
275,Gedächtnis::N,ой,ഓർമ്മശക്തി
276,Gedächtnis::N,цээж,ഓർമ്മശക്തി
277,Verstand::N,ухаан,മനസ്സ്
278,Sinn::N,утга,അർത്ഥം
279,Grund::N,учир,കാരണം
280,Wahrheit::N,үнэн,സത്യം
281,Gespräch::N,яриа,സല്ലാപം
282,Märchen::N,явган үлгэр,യക്ഷിക്കഥ
283,Erzählung::N,тууж,കഥ
284,Nachricht::N,мэдээ,സന്ദേശം
285,Neuigkeit::N,сонин,വാർത്ത
286,Name::N,нэр,പേര്
287,Rätsel::N,оньсого,പ്രഹേളിക
288,Rede::N,хэлсэн үг,സംസാരം
289,Sprache::N,хэл,ഭാഷ
290,Stimme::N,дуу,സ്വരം
291,Wort::N,үг,വാക്ക്
292,Zeichen::N,тамга,സംജ്ഞ
293,Zeichen::N,тэмдэг,സംജ്ഞ
294,Ruf::N,дуудлага,വിളി
295,Lärm::N,шуугиан,ആരവം
296,Lärm::N,чимээ,ആരവം
297,Laut::N,анир,ശബ്ദം
298,Laut::N,дуу,ശബ്ദം
299,Ton::N,авиа,സ്വരഭേദം
300,Ton::N,аялгуу,സ്വരഭേദം
301,Lied::N,дуу,പാട്ട്
302,Ruhe::N,энх,നിശ്ചലത
303,Ruhe::N,тайван,നിശ്ചലത
304,Leute::N,хүмүүс,ജനങ്ങൾ
305,Volk::N,улс,രാഷ്ടം
306,Arbeit::N,ажил,ജോലി
307,Arbeit::N,хөдөлмөр,ജോലി
308,Gast::N,зочин,അതിലി
309,Gast::N,айлчин,അതിലി
310,Geschenk::N,бэлэг,സമ്മാനം
311,Spiel::N,наадам,കളി
312,Spiel::N,тоглоом,കളി
313,Gesellschaft::N,хамт байх,കൂട്ടായ്മ
314,Hilfe::N,тусламж,സഹായം
315,Freund::N,найз,സുഹൃത്ത്
316,Freund::N,нөхөр,സുഹൃത്ത്
317,Kamerad::N,хань,കൂട്ടാളി
318,Kamerad::N,нөхөр,കൂട്ടാളി
319,Angelegenheit::N,хэрэг,കാര്യം
320,Anzahl::N,тоо,എണ്ണം
321,Art::N,төрөл,തരം
322,Art::N,янз,തരം
323,Stück::N,хэсэг,കഷണം
324,Teil::N,хувь,ഭാഗം
325,Teil::N,хэсэг,ഭാഗം
326,Hälfte::N,хагас,പകുതി
327,Kreis::N,тойрог,വൃത്തം
328,Kreis::N,хүрээ,വൃത്തം
329,Kreuz::N,загалмай,കുരിശടയാളം
330,Linie::N,шугам,വര
