,Concept_ID,et,myv
107,Schaum::N,vaht,чов
108,Schmutz::N,pori,рудаз
109,Schmutz::N,mustus,рудаз
110,See::N,järv,эрьке
111,Sumpf::N,soo,чей
112,Moor::N,raba,чей
113,Wiese::N,aas,луга
114,Wiese::N,nurm,луга
115,Wald::N,mets,вирь
116,Hügel::N,küngas,губорь
117,Hügel::N,küngas,пандыне
118,Anhöhe::N,küngas,губорь
119,Anhöhe::N,küngas,пандыне
120,Berg::N,mägi,пандо
121,Gipfel::N,mäetipp,пря
122,Höhle::N,koobas,пещера
123,Abhang::N,nõlvak,пандочама
124,Quelle::N,allikas,ушодкс
125,Bach::N,oja,чудикерькс
126,Fluss::N,jõgi,лей
127,Ufer::N,kallas,чире
128,Küste::N,rannik,лейчире
129,Festland::N,mander,мода
130,Festland::N,maismaa,мода
131,Meer::N,meri,моря
132,Bucht::N,laht,усия
133,Insel::N,saar,усия
134,Blume::N,lill,цеця
135,Gras::N,rohi,тикше
136,Wurzel::N,juur,юр
137,Wurzel::N,juur,ундокс
138,Baum::N,puu,чувто
139,Stamm::N,tüvi,рунго
140,Rinde::N,koor,суд
141,Rinde::N,koor,керь
142,Ast::N,oks,морго
143,Zweig::N,oks,тарад
144,Blatt::N,leht,лопа
145,Birke::N,kask,килей
146,Kiefer[Baum]::N,mänd,пиче
147,Weide[Baum]::N,paju,каль
148,Tanne::N,nulg,куз
149,Horn::N,sarv,сюро
150,Feder::N,sulg,толга
151,Fell::N,karvkate,пона
152,Fell::N,karusnahk,пона
153,Flügel::N,tiib,сёлмо
154,Flügel::N,tiivik,сёлмо
155,Klaue::N,küüs,кенже
156,Kralle::N,küünis,кенже
157,Schwanz::N,saba,пуло
158,Ei::N,muna,ал
159,Nest::N,pesa,пизэ
160,Bau::N,urg,варя
161,Bau::N,urg,пизе
162,Tier::N,loom,ракша
163,Herde::N,kari,стада
164,Kuh::N,lehm,скал
165,Bulle::N,pull,бука
166,Pferd::N,hobune,лишме
167,Schaf::N,lammas,реве
168,Schwein::N,siga,туво
169,Hund::N,koer,пине
170,Hund::N,koer,киска
171,Katze::N,kass,псака
172,Bär::N,karu,овто
173,Eichhörnchen::N,orav,ур
174,Elch::N,põder,сярдо
175,Fuchs::N,rebane,ривезь
176,Hase::N,jänes,нумоло
177,Maus::N,hiir,чеерь
178,Wolf::N,hunt,верьгиз
179,Vogel::N,lind,нармунь
180,Schwarm::N,parv,полк
181,Schwarm::N,parv,стада
182,Huhn::N,kana,сараз
183,Hahn::N,kukk,атякш
184,Gans::N,hani,гала
185,Gans::N,hani,мацей
186,Adler::N,kotkas,куцькан
187,Adler::N,kotkas,тумоатякш
188,Ente::N,part,яксярго
189,Eule::N,kakk,корж
190,Eule::N,öökull,корж
191,Kranich::N,kurg,карго
192,Krähe::N,vares,варака
193,Kuckuck::N,kägu,куко
194,Schwan::N,luik,локсей
195,Fisch::N,kala,кал
196,Barsch::N,ahven,окунь
197,Hecht::N,haug,щука
198,Schlange[Tier]::N,uss,гуй
199,Wurm::N,uss,сукс
200,Wurm::N,vagel,сукс
201,Spinne::N,ämblik,шанжав
202,Ameise::N,sipelgas,коткудав
203,Laus::N,täi,сий
204,Mücke::N,sääsk,сеське
205,Fliege::N,kärbes,карво
206,Schmetterling::N,liblikas,нимиляв
207,Beere::N,mari,умарь
208,Apfel::N,õun,умарь
209,Pilz::N,seen,панго
210,Zwiebel::N,sibul,чурька
211,Saat::N,seeme,видьметь
212,Korn::N,iva,сюро
213,Korn::N,tera,сюро
214,Heu::N,hein,тикше
215,Schale::N,koor,кедь
216,Schale::N,koor,ваткавкс
217,Grube::N,kaevand,латко
218,Falle::N,lõks,тувор
219,Falle::N,lõks,кундамка
220,Falle::N,püünis,тувор
221,Falle::N,püünis,кундамка
222,Schlinge::N,aas,килькш
223,Spur::N,jälg,челькс
224,Spur::N,jälg,пильгеки
225,Asche::N,tuhk,кулов
226,Dreck::N,saast,рудаз
227,Dreck::N,mustus,рудаз
228,Eisen::N,raud,кшни
229,Gold::N,kuld,сырне
230,Silber::N,hõbe,сия
231,Kohle::N,süsi,сэдь
232,Kohle::N,süsi,уголия
233,Glas::N,klaas,сулика
234,Lehm::N,savi,сёвонь
235,Sand::N,liiv,човар
236,Mensch::N,inimene,ломань
237,Mann::N,mees,аля
238,Mann::N,mees,цёраломань
239,Frau::N,naine,ава
240,Kind::N,laps,эйкакш
241,Junge::N,poiss,цёрыне
242,Mädchen::N,tüdruk,тейтерне
243,Familie::N,perekond,семия
244,Großvater::N,vanaisa,покштя
245,Großmutter::N,vanaema,баба
246,Eltern::N,vanemad,тетят-ават
247,Vater::N,isa,тетя
248,Mutter::N,ema,ава
249,Sohn::N,poeg,цёра
250,Tochter::N,tütar,тейтерь
251,Bruder::N,vend,леля
252,Bruder::N,vend,ялакс
253,Schwester::N,õde,сазор
254,Onkel::N,onu,леля
255,Tante::N,tädi,патя
256,Ehemann::N,mees,мирде
257,Ehemann::N,abikaasa,мирде
258,Ehefrau::N,naine,ни
259,Ehefrau::N,abikaasa,ни
260,Freude::N,rõõm,кеняркс
261,Gelächter::N,naer,ракамо
262,Gelächter::N,naer,пейдема
263,Glück::N,õnn,уцяска
264,Kummer::N,mure,рискс
265,Kummer::N,mure,мелявкс
266,Kummer::N,kurbus,рискс
267,Kummer::N,kurbus,мелявкс
268,Wunsch::N,soov,мель
269,Wunsch::N,soov,бажамо
270,Lust::N,himu,бажамо
271,Geist::N,vaim,ойме
272,Gedanke::N,mõte,мель
273,Gedächtnis::N,mälu,мель
274,Verstand::N,aru,прев
275,Verstand::N,mõistus,прев
276,Sinn::N,tähendus,толк
277,Sinn::N,tähendus,смысла
278,Grund::N,põhjus,тувтал
279,Wahrheit::N,tõde,видечи
280,Gespräch::N,kõne,кортнема
281,Gespräch::N,vestlus,кортнема
282,Märchen::N,muinasjutt,ёвкс
283,Erzählung::N,jutustus,ёвтнема
284,Nachricht::N,teade,куля
285,Neuigkeit::N,uudis,куля
286,Name::N,nimi,лем
287,Rätsel::N,mõistatus,содамоёвкс
288,Rede::N,kõne,кортамо
289,Sprache::N,keel,кель
290,Stimme::N,hääl,ваигель
291,Wort::N,sõna,вал
292,Zeichen::N,märk,теште
293,Ruf::N,hüüe,тердема
294,Lärm::N,müra,шалнома
295,Laut::N,hääl,вайгель
296,Ton::N,toon,гайнема
297,Lied::N,laul,моро
298,Ruhe::N,rahu,оймамо
299,Ruhe::N,vaikus,оймамо
300,Leute::N,inimesed,ломанть
301,Volk::N,rahvas,народ
302,Arbeit::N,töö,тев
303,Gast::N,külaline,инже
304,Geschenk::N,kingitus,казне
305,Spiel::N,mäng,налксема
306,Gesellschaft::N,selts,община
307,Hilfe::N,abi,лездамо
308,Freund::N,sõber,оя
309,Freund::N,sõber,ялга
310,Kamerad::N,sõber,оя
311,Kamerad::N,sõber,ялга
312,Angelegenheit::N,asi,тев
313,Anzahl::N,arv,ламоксчи
314,Anzahl::N,hulk,ламоксчи
315,Art::N,liik,вид
316,Stück::N,tükk,пакш
317,Stück::N,tükk,пелькс
318,Teil::N,osa,часть
319,Teil::N,osa,пелькс
320,Hälfte::N,pool,пель
321,Hälfte::N,pool,пелькс
322,Kreis::N,ring,кирькс
323,Kreuz::N,rist,крёст
324,Linie::N,joon,кикс
325,Strich::N,joon,межа
326,Abstand::N,vahe,ютко
327,Entfernung::N,kaugus,ютко
328,Entfernung::N,vahemaa,ютко
329,Gegend::N,ümbrus,тарка
330,Gegend::N,ümbrus,пертьпелькс
331,Platz::N,ruum,васолкс
332,Ort::N,paik,тарка
333,Seite::N,pool,ён
334,Seite::N,pool,чире
335,Mitte::N,keskpaik,куншка
336,Gegenstand::N,ese,предмет
337,Sache::N,ese,тев
338,Sache::N,ese,веща
339,Rand::N,äär,пе
340,Rand::N,äär,чире
341,Rand::N,serv,пе
342,Rand::N,serv,чире
343,Kante::N,kant,ирдез
344,Ecke::N,nurk,ужо
345,Spitze::N,teravik,пряне
346,Spitze::N,teravik,пе
347,Ende::N,ots,пе
348,Ende::N,jupp,пе
349,Loch::N,auk,варя
350,Winkel::N,nurk,ужо
351,Muster::N,muster,сёрма
352,Größe::N,suurus,сэрь
353,Größe::N,suurus,покшолма
354,Länge::N,pikkus,кувалмо
355,Höhe::N,kõrgus,сэрь
356,Höhe::N,kõrgus,пандо
357,Gewicht::N,kaal,сталмо
358,Gewicht::N,raskus,сталмо
359,Menge::N,arv,лововкс
360,Menge::N,hulk,лововкс
361,Haufen::N,hunnik,мар
362,Haufen::N,hunnik,валявкс
363,Reihe::N,rivi,ряд
364,Boot::N,paat,венч
365,Ruder::N,aer,милё
366,Schlitten::N,saan,нурдт
367,Ski::N,suusk,сокс
368,Lagerfeuer::N,lõke,толбандя
369,Last::N,koorem,сталмо
370,Last::N,koorem,кандома
371,Gang::N,käik,молема
372,Gang::N,käik,якамо
373,Schritt::N,samm,эскелькс
374,Norden::N,põhi,якшамо ёнкс
375,Süden::N,lõuna,лембе ёнкс
376,Westen::N,lääs,чивалгома
377,Osten::N,ida,чилисема
378,Holz::N,puu,чувто
379,Brett::N,saelaud,лаз
380,Platte::N,plaat,плита
381,Stütze::N,tugi,неже
382,Stange::N,latt,олга
383,Stange::N,teivas,олга
384,Stock::N,kepp,мандо
385,Stab::N,varras,олога
386,Rohr::N,toru,турба
387,Haus::N,maja,кудо
388,Heim::N,kodu,кудо
389,Ofen::N,ahi,каштомо
390,Fußboden::N,põrand,киякс
391,Tisch::N,laud,столь
392,Stuhl::N,tool,стул
393,Wiege::N,häll,лавсь
394,Wiege::N,häll,нурямот
395,Wiege::N,kätki,лавсь
396,Wiege::N,kätki,нурямот
397,Bett::N,voodi,ацамо
398,Regal::N,riiul,лався
399,Regal::N,riiul,лавсяланго
400,Kiste::N,kast,горобия
401,Kiste::N,kast,сундук
402,Fenster::N,aken,вальма
403,Tür::N,uks,кенкш
404,Tor::N,värav,ортат
405,Zaun::N,aed,пирявт
406,Zaun::N,aed,пирвякс
407,Zaun::N,tara,пирявт
408,Zaun::N,tara,пирвякс
409,Dach::N,katus,кудопря
410,Leiter::N,redel,кузтема
411,Besen::N,luud,тенсть
412,Spaten::N,labidas,койме
413,Schaufel::N,kühvel,кече
414,Schaufel::N,kühvel,келей койме
415,Gabel::N,kahvel,сянгине
416,Löffel::N,lusikas,пенч
417,Messer::N,nuga,пеель
418,Nagel::N,nael,эске
419,Netz::N,võrk,алтыма
420,Haken::N,haak,кечказ
421,Haken::N,konks,кечказ
422,Griff::N,sang,кедне
423,Griff::N,käepide,кедне
424,Schloss::N,lukk,замок
425,Schloss::N,lukk,панжома
426,Bild::N,pilt,картина
427,Figur::N,kuju,рунго
428,Figur::N,kujund,рунго
429,Puppe::N,nukk,няка
430,Beutel::N,paun,кескав
431,Bündel::N,kimp,керькс
432,Tasche::N,kott,юдма
433,Eimer::N,pang,ведра
434,Eimer::N,ämber,ведра
435,Deckel::N,kaas,велькс
436,Geschirr::N,nõud,кедьге
437,Sack::N,kott,кескав
438,Tasse::N,tass,чакш
439,Topf::N,pada,кастрюля
440,Kessel::N,pada,котёл
441,Essen::N,söök,ярсамо
442,Nahrung::N,toit,ярсамопель
443,Speise::N,roog,ярсамопель
444,Fleisch::N,liha,сывель
445,Getreide::N,teravili,сюро
446,Brei::N,puder,каша
447,Brot::N,sai,кши
448,Brot::N,leib,кши
449,Scheibe::N,viil,кочом
450,Scheibe::N,viil,сускомо
451,Scheibe::N,viilukas,кочом
452,Scheibe::N,viilukas,сускомо
453,Fett::N,rasv,куя
454,Butter::N,või,ой
455,Öl::N,õli,ой
456,Salz::N,sool,сал
457,Suppe::N,supp,ям
458,Honig::N,mesi,медь
459,Milch::N,piim,ловсо
460,Tee::N,tee,чай
461,Leder::N,nahk,киське
462,Wolle::N,vill,пона
463,Stoff::N,kangas,коцт
464,Nadel::N,nõel,салмукс
465,Faden::N,niit,суре
466,Knopf::N,nööp,пов
467,Knoten::N,sõlm,сюлмо
468,Farbe::N,värv,артомапель
469,Kleidung::N,riided,оршамот
470,Kleidung::N,riietus,оршамот
471,Hemd::N,särk,панар
472,Kragen::N,krae,сиве
473,Ärmel::N,varrukas,ожа
474,Hose::N,püksid,понкст
475,Gürtel::N,vöö,каркс
476,Mütze::N,müts,чапка
477,Schuh::N,king,туфля
478,Stiefel::N,saabas,кем
479,Ring::N,sõrmus,суркс
480,Band::N,lint,лента
481,Kamm::N,kamm,сурсеме
482,Spiegel::N,peegel,чавачамо
483,Riemen::N,rihm,кшнань каркс
484,Schnur::N,nöör,пикс
485,Leine::N,jalutusrihm,ведьме
486,Decke::N,tekk,вельтямо
487,Kissen::N,padi,тодов
488,Tuch::N,kalev,паця
489,Handtuch::N,käterätik,нардамо
490,Kraft::N,jõud,вий
491,Stärke::N,tugevus,виевчи
492,Gesundheit::N,tervis,шумбрачи
493,Krankheit::N,haigus,орма
494,Krankheit::N,haigus,сэредема
495,Schmerz::N,valu,сэредькс
496,Wunde::N,haav,керявкс
497,Fieber::N,palavik,маштыкс
498,Arznei::N,ravim,ормаменькс
499,Brücke::N,sild,сэдь
500,Brücke::N,sild,мадамо
501,Brunnen::N,kaev,лисьма
502,Weide::N,karjamaa,ракшань ванома тарка
503,Pfad::N,rada,ян
504,Weg::N,tee,ки
505,Straße::N,tee,ки
506,Dorf::N,küla,веле
507,Stadt::N,linn,ош
508,Brief::N,kiri,сёрма
509,Buch::N,raamat,книга
510,Buchstabe::N,täht,буква
511,Zeitung::N,ajaleht,газета
512,Leben::N,elu,эрямо
513,Tod::N,surm,кулома
514,Grab::N,haud,калмо
515,Kirche::N,kirik,церькова
516,Sünde::N,patt,чумочи
517,Gott::N,jumal,паз
518,Arbeiter::N,tööline,робочей
519,Chef::N,ülemus,прявт
520,Chef::N,juhataja,прявт
521,Meister::N,meister,кол тевень тенця
522,Arzt::N,arst,врач
523,Lehrer::N,õpetaja,учитель
524,Lehrer::N,õpetaja,тонавтыця
525,Geld::N,raha,ярмак
526,Geschäft::N,äri,ладязь тев
527,Laden::N,pood,лавка
528,Laden::N,kauplus,лавка
529,Preis::N,hind,питне
530,Ware::N,kaup,миевкс
531,Ware::N,kaup,рамавкс
532,Nutzen::N,tulu,паро
533,Nutzen::N,tulu,лезэ
534,Nutzen::N,kasulikkus,паро
535,Nutzen::N,kasulikkus,лезэ
536,Reichtum::N,rikkus,сюпавчи
537,Welt::N,maailm,мир
538,Welt::N,maailm,мастор ланго
539,Land::N,maa,мастор
540,Staat::N,riik,государства
541,König::N,kuningas,король
542,Macht::N,võim,азорксчи
543,Grenze::N,piir,буен тешкс
544,Krieg::N,sõda,война
545,Feind::N,vaenlane,душман
546,Gewalt::N,väevõim,нарьгамо
547,Kampf::N,võitlus,тюрема
548,Bogen[Waffe]::N,vibu,нал
549,Pfeil::N,nool,нал
550,Gewehr::N,püss,ружия
551,Gewehr::N,püss,винтовка
552,Fehler::N,viga,ильведькс
553,Fehler::N,viga,ильведевкс
554,Lüge::N,vale,манчема
555,Lüge::N,vale,кенгелема
556,Schaden::N,kahju,зыян
557,Unglück::N,häda,зыян
558,Unglück::N,õnnetus,зыян
559,Schuld::N,süü,чумочи
560,Alter::N,iga,шка
561,Schluss::N,lõpp,пе
562,Zeit::N,aeg,шка
563,Zeit::N,aeg,пинге
564,Tag::N,päev,чи
565,Morgen::N,hommik,валске
566,Mittag::N,lõuna,чикуншка
567,Mittag::N,keskpäev,чикуншка
568,Abend::N,õhtu,чокшнэ
569,Nacht::N,öö,ве
570,Woche::N,nädal,недля
571,Monat::N,kuu,ков
572,Jahr::N,aasta,ие
573,Frühling::N,kevad,тундо
574,Sommer::N,suvi,кизэ
575,Herbst::N,sügis,сёксь
576,Winter::N,talv,теле
577,Januar::N,jaanuar,якшамков
578,Februar::N,veebruar,февраль
579,März::N,märts,март
580,April::N,aprill,апрель
581,Mai::N,mai,май
582,Juni::N,juuni,июнь
583,Juli::N,juuli,июль
584,August::N,august,август
585,September::N,september,сентября
586,Oktober::N,oktoober,октября
587,November::N,november,ноября
588,Dezember::N,detsember,декабря
589,Montag::N,esmaspäev,пондельник
590,Dienstag::N,teisipäev,овторник
591,Mittwoch::N,kesknädal,серёда
592,Donnerstag::N,neljapäev,цетьверьг
593,Freitag::N,reede,пеця
594,Samstag::N,laupäev,субута
595,Samstag::N,laupäev,шлямочи
596,Sonntag::N,pühapäev,недлячи
597,groß::A,suur,ине
598,groß::A,suur,покш
599,klein::A,väike,вишка
600,klein::A,pisike,вишка
601,lang::A,pikk,кувака
602,kurz::A,lühike,нурькине
603,breit::A,lai,келей
604,schmal::A,kitsas,теине
605,dicht::A,tihe,тусто
606,dick[Gegenstand]::A,jäme,эчке
607,dünn::A,õhuke,човине
608,dünn::A,peenike,човине
609,fein::A,peen,човине
610,fein::A,õhuke,човине
611,fest::A,püsiv,кеме
612,fest::A,kindel,кеме
613,flach::A,lame,лапужа
614,flach::A,tasane,лапужа
615,glatt::A,sile,валаня
616,hart::A,kõva,калгодо
617,weich::A,pehme,чевте
618,rund::A,ümar,кеверь
619,spitz::A,torkav,пшти
620,scharf::A,terav,пшти
621,stumpf::A,nüri,ношка
622,schwer::A,raske,стака
623,schön::A,kena,мазый
624,heiß::A,kuum,пси
625,heiß::A,palav,пси
626,warm::A,soe,лембе
627,kalt::A,külm,якшамо
628,kühl::A,jahe,экше
629,frisch::A,värske,свежа
630,feucht::A,niiske,летьке
631,nass::A,märg,начко
632,trocken::A,kuiv,коське
633,voll::A,täis,пешксе
634,leer::A,tühi,чаво
635,offen::A,avatud,панжадо
636,offen::A,avatud,виде
637,offen::A,lahtine,панжадо
638,offen::A,lahtine,виде
639,geschlossen::A,suletud,пекстазь
640,geschlossen::A,suletud,сёлгозь
641,sauber::A,puhas,ванькс
642,schmutzig::A,räpane,ливезев
643,schmutzig::A,määrdunud,ливезев
644,roh::A,toores,верек
645,reif::A,küps,кенерезь
646,lecker::A,hõrk,тантей
647,lecker::A,maitsev,тантей
648,süß::A,magus,ламбамо
649,bitter::A,mõru,сэпей
650,sauer::A,hapu,чапамо
651,hell::A,hele,валдо
652,dunkel::A,pime,чопода
653,schwarz::A,must,раужо
654,weiß::A,valge,ашо
655,rot::A,punane,якстере
656,gelb::A,kollane,ожо
657,blau::A,sinine,сэнь
658,grün::A,roheline,пиже
659,grau::A,hall,шержев
660,bunt::A,kirju,сёрмав
661,bunt::A,värviline,сёрмав
662,billig::A,odav,аволь питней
663,teuer::A,kallis,питней
664,wertvoll::A,väärtuslik,питней
665,blind::A,pime,сокор
666,taub::A,kurt,амариця
667,kräftig::A,jõuline,пек виев
668,stark::A,tugev,виев
669,schwach::A,nõrk,лавшо
670,schwach::A,jõuetu,лавшо
671,fett::A,rasvane,куя
672,schlank::A,sale,виде ронга
673,hübsch::A,kena,мазый
674,böse::A,tige,кежей
675,dumm::A,juhm,чавола
676,dumm::A,juhm,превтеме
677,dumm::A,rumal,чавола
678,dumm::A,rumal,превтеме
679,faul::A,laisk,нузякс
680,fleißig::A,virk,мелень путыця
681,fleißig::A,hoolas,мелень путыця
682,geizig::A,ihne,скупой
683,klug::A,tark,превей
684,klug::A,arukas,превей
685,klug::A,mõistlik,превей
686,geschickt::A,osav,маштозь теезь
687,lieb::A,armas,вадря
688,lustig::A,lõbus,весёла
689,sanft::A,õrn,сэтьме
690,hungrig::A,näljane,вачо
691,krank::A,haige,сэредиця
692,nackt::A,alasti,штапо
693,traurig::A,kurb,нусманя
694,lebendig::A,elus,эриця
695,gut::A,hea,паро
696,schlecht::A,halb,берянь
697,richtig::A,õige,виде
698,schlimm::A,paha,берянь
699,wahr::A,tõene,алкуксонь
700,alt::A,vana,ташто
701,neu::A,uus,од
702,ehemalig::A,endine,икелень
703,alt[Lebewesen]::A,vana,сыре
704,jung::A,noor,од
705,arm::A,vaene,кажов
706,reich::A,rikas,сюпав
707,bekannt::A,teada,содавикс
708,bekannt::A,tuttav,содавикс
709,berühmt::A,tuntud,содавикс
710,fremd::A,võõras,лия
711,fremd::A,võõras,асодавикс
712,verschieden::A,erinev,эрьва
713,nah::A,lähedane,а васолонь
714,fern::A,kauge,умонь
715,fern::A,kauge,кезэрень
716,linker::A,vasak,керш
717,rechter::A,parem,вить
718,anderer::A,muu,лия
719,anderer::A,teine,лия
720,erster::A,esimene,васень
721,erster::A,esimene,васенце
722,zweiter::A,teine,омбоце
723,dritter::A,kolmas,колмоце
724,letzter::A,viimane,меельце
725,allein::ADV,üksi,башка
726,allein::ADV,üksi,ськамонзо
727,auf einmal::ADV,korraga,вейсэ
728,auf einmal::ADV,ühekorraga,вейсэ
729,zusammen::ADV,koos,вейс
730,zusammen::ADV,koos,вейсэ
731,zusammen::ADV,üheskoos,вейс
732,zusammen::ADV,üheskoos,вейсэ
733,lange::ADV,kaua,кувать
734,plötzlich::ADV,äkki,апак учо
735,plötzlich::ADV,järsku,апак учо
736,sofort::ADV,kohe,курок
737,sofort::ADV,kohe,нейке
738,später::ADV,hiljem,мейле
739,jetzt::ADV,nüüd,ней
740,heute::ADV,täna,течи
741,morgen::ADV,homme,ванды
742,bald::ADV,pea,курок
743,bald::ADV,varsti,курок
744,dann::ADV,siis,мейле
745,dann::ADV,siis,седе мейле
746,gestern::ADV,eile,исяк
747,einst::ADV,vanasti,весть
748,einst::ADV,vanasti,зярдо-бути
749,damals::ADV,tookord,сестэ
750,danach::ADV,seejärel,мейле
751,danach::ADV,seejärel,седе мейле
752,vorher::ADV,enne,васняяк
753,zuerst::ADV,enne,васня
754,zuerst::ADV,esmalt,васня
755,einmal::ADV,kord,весть
756,einmal::ADV,üks kord,весть
757,manchmal::ADV,mõnikord,лиясто
758,oft::ADV,tihti,сеетьстэ
759,oft::ADV,sageli,сеетьстэ
760,immer::ADV,ikka,свал
761,immer::ADV,alati,свал
762,niemals::ADV,mitte kunagi,а зярдояк
763,hier::ADV,siin,тесэ
764,hierhin::ADV,siia,тей
765,von hier::ADV,siit,тестэ
766,dort::ADV,seal,тосо
767,dorthin::ADV,sinna,тов
768,geradeaus::ADV,otse edasi,витьстэ
769,vorwärts::ADV,edasi,икелев
770,rückwärts::ADV,tagurpidi,мекев
771,zurück::ADV,tagasi,мекев
772,unten::ADV,all,ало
773,unten::ADV,allpool,ало
774,hinab::ADV,alla,алов
775,oben::ADV,ülal,вере
776,hinauf::ADV,üles,верев
777,überall::ADV,kõikjal,эрьва косо
778,nicht::ADV,ei,а
779,nicht::ADV,mitte,а
780,ein wenig::ADV,veidi,аламошка
781,ein wenig::ADV,natuke,аламошка
782,kaum::ADV,vaevalt,ансяк
783,sehr::ADV,väga,пек
784,sehr::ADV,väga,вельть
785,so::ADV,nii,истя
786,noch::ADV,veel,таго
787,nur::ADV,ainult,ансяк
788,schon::ADV,juba,уш
789,wieder::ADV,jälle,таго
790,vergebens::ADV,asjata,стяко
791,vor::PRP,ees,икеле
792,hinter::PRP,taha,вельде
793,unter::PRP,all,ало
794,durch::PRP,läbi,пачк
795,durch::PRP,kaudu,пачк
796,neben::PRP,kõrval,вакссо
797,zwischen::PRP,vahel,ютксо
798,wegen::PRP,tõttu,кис
799,wegen::PRP,tõttu,коряс
800,wegen::PRP,tõttu,кувалт
801,wegen::PRP,pärast,кис
802,wegen::PRP,pärast,коряс
803,wegen::PRP,pärast,кувалт
804,dies::PRN,see,те
805,das::PRN,see,те
806,das::PRN,see,тона
807,alles::PRN,kõik,весе
808,alles::PRN,kõik,весемесь
809,ich::PRN,mina,мон
810,du::PRN,sina,тон
811,er::PRN,tema,сон
812,wir::PRN,me,минь
813,ihr::PRN,te,тынь
814,sie::PRN,nad,сынь
815,was::FPRN,mis,мезе
816,wer::FPRN,kes,ки
817,wo::FADV,kus,косо
818,wohin::FADV,kuhu,ков
819,wohin::FADV,kuhu,козо
820,wie::FADV,kuidas,кода
821,warum::FADV,miks,мекс
822,wieviel::FNUM,mitu,зяро
823,wieviel::FNUM,kui palju,зяро
824,eins::NUM,üks,вейке
825,zwei::NUM,kaks,кавто
826,drei::NUM,kolm,колмо
