,Concept_ID,udm,hi
264,Bär::N,гондыр,भालू
265,Eichhörnchen::N,коньы,गिलहरी
266,Elch::N,койык,एल्क
267,Fuchs::N,ӟичы,लोमड़ी
268,Hase::N,кеч,खरहा
269,Hase::N,кеч,ख़रगोश
270,Maus::N,шыр,मूष
271,Maus::N,шыр,चूहा
272,Wolf::N,кион,वृक
273,Wolf::N,кион,भेड़िया
274,Vogel::N,тылобурдо,पक्षी
275,Vogel::N,тылобурдо,चिड़िया
276,Schwarm::N,уллё,झुंड
277,Huhn::N,курег,मुर्ग़ी
278,Hahn::N,атас,मुर्ग़ा
279,Gans::N,ӟазег,हंस
280,Gans::N,ӟазег,हंसिनी
281,Adler::N,ӧрзи,उक़ाब
282,Ente::N,ӵӧж,बतख़
283,Ente::N,ӵӧж,बत्तक
284,Eule::N,кучыран,उल्लू
285,Kranich::N,тури,सारस
286,Kranich::N,тури,क्रौंंच
287,Krähe::N,куака,काक
288,Kuckuck::N,кикы,कोयल
289,Kuckuck::N,кикы,कोकिल
290,Schwan::N,юсь,हंस
291,Schwan::N,юсь,मराल
292,Fisch::N,чорыг,मछली
293,Fisch::N,чорыг,मत्स्य
294,Barsch::N,юш,पर्च
295,Hecht::N,чипей,पाइक
296,Schlange[Tier]::N,кый,सर्प
297,Wurm::N,нумыр,कृमि
298,Wurm::N,нумыр,कीड़ा
299,Spinne::N,чонари,लूता
300,Spinne::N,чонари,मकड़ी
301,Ameise::N,кузьыли,चींटी
302,Laus::N,тэй,जूँ
303,Mücke::N,нымы,डाँस
304,Mücke::N,чибинь,डाँस
305,Fliege::N,кут,मक्खी
306,Fliege::N,кут,मक्षिका
307,Schmetterling::N,бубыли,तितली
308,Beere::N,узы-боры,बेरी
309,Apfel::N,яблок,सेब
310,Pilz::N,губи,खुंबी
311,Zwiebel::N,сугон,प्याज़
312,Saat::N,кидыс,बीज
313,Korn::N,тысь,दाना
314,Heu::N,турын,मूखी घास
315,Schale::N,кыд,बकला
316,Schale::N,кыд,छिलका
317,Grube::N,гу,गड्ढा
318,Grube::N,гоп,गड्ढा
319,Falle::N,налик,जाल
320,Falle::N,налик,फँदा
321,Schlinge::N,гиӟ,फँदा
322,Schlinge::N,герд,फँदा
323,Spur::N,пытьы,सुराग़
324,Spur::N,пытьы,पद-चिह्न
325,Spur::N,бервыл,सुराग़
326,Spur::N,бервыл,पद-चिह्न
327,Asche::N,пень,राख
328,Dreck::N,дэри,मैल
329,Dreck::N,дэри,गंदगी
330,Eisen::N,корт,लोहा
331,Gold::N,зарни,सोना
332,Gold::N,зарни,स्वर्ण
333,Silber::N,азвесь,रजत
334,Silber::N,азвесь,चाँदी
335,Kohle::N,эгыр,कोयला
336,Glas::N,стекло,काँच
337,Glas::N,пияла,काँच
338,Lehm::N,сюй,चिकनी मिट्टी
339,Sand::N,луо,रेत
340,Sand::N,луо,बालू
341,Mensch::N,мурт,मानव
342,Mensch::N,мурт,इनसान
343,Mensch::N,мурт,मनुष्य
344,Mensch::N,адями,मानव
345,Mensch::N,адями,इनसान
346,Mensch::N,адями,मनुष्य
347,Mann::N,воргорон,आदमी
348,Mann::N,воргорон,पुरुष
349,Frau::N,кышномурт,औरत
350,Frau::N,кышномурт,महिला
351,Frau::N,кышномурт,स्त्री
352,Kind::N,нуны,बाल
