,Concept_ID,lbe,bg
317,Linie::N,щва,черта
318,Strich::N,щва,щрих
319,Strich::N,щва,черта
320,Abstand::N,манзил,дистанция
321,Abstand::N,манзил,разстояние
322,Entfernung::N,манзил,разстояние
323,Gegend::N,кӏану,местност
324,Ort::N,кӏану,място
325,Seite::N,чул,страна
326,Seite::N,чулухалу,страна
327,Mitte::N,дя,среда
328,Gegenstand::N,зат,предмет
329,Sache::N,зат,вещ
330,Rand::N,зума,ръб
331,Ecke::N,мурцӏу,ъгъл
332,Spitze::N,мицӏ,връх
333,Spitze::N,мицӏ,острие
334,Ende::N,зума,край
335,Loch::N,ккутӏ,дупка
336,Winkel::N,мурцӏу,кът
337,Winkel::N,мурцӏу,ъгъл
338,Muster::N,накьич,десен
339,Muster::N,накьич,образец
340,Länge::N,лахъишиву,дължина
341,Höhe::N,лахъшиву,висота
342,Höhe::N,лахъшиву,височина
343,Gewicht::N,дуццин,тегло
344,Gewicht::N,дуццин,тежест
345,Gewicht::N,кӏушиву,тегло
346,Gewicht::N,кӏушиву,тежест
347,Haufen::N,бакӏу,куп
348,Haufen::N,бакӏу,грамада
349,Reihe::N,кьюкьа,ред
350,Reihe::N,кьюкьа,редица
351,Boot::N,луткка,лодка
352,Ruder::N,весло,весло
353,Ruder::N,весло,гребло
354,Ruder::N,чӏатӏа,весло
355,Ruder::N,чӏатӏа,гребло
356,Schlitten::N,чана,шейна
357,Schlitten::N,санкка,шейна
358,Ski::N,лижарду,ски
359,Lagerfeuer::N,къавтӏн,огнище
360,Last::N,гьиву,товар
361,Gang::N,нанаву,ход
362,Gang::N,нанаву,вървеж
363,Schritt::N,ша,стъпка
364,Norden::N,ухссав,север
365,Norden::N,ухссавнил чулухалу,север
366,Süden::N,кьилва,юг
367,Westen::N,баргълагавал,запад
368,Westen::N,баргълагавал чул,запад
369,Osten::N,баргъбуккай чулухалу,изток
370,Holz::N,тӏама,дърво
371,Brett::N,тахта,дъска
372,Platte::N,гъуни,
373,Stütze::N,гьалакӏу,
374,Stange::N,къазихъ,прът
375,Stange::N,къазихъ,върлина
376,Stock::N,ттархь,прът
377,Stock::N,ттархь,тояга
378,Stab::N,ччантӏакъу,прът
379,Rohr::N,бургъу,цев
380,Rohr::N,бургъу,тръба
381,Haus::N,къатта,къща
382,Heim::N,къатта,дом
383,Ofen::N,пач,печка
384,Fußboden::N,чӏанкъатта,под
385,Tisch::N,усттул,маса
386,Stuhl::N,кӏану,стол
387,Wiege::N,оьрчӏал кӏану,люлка
388,Bett::N,тах,легло
389,Bett::N,тах,креват
390,Regal::N,чӏаму,рафт
