,Concept_ID,hu,sv
1422,zählen::V,megszámol,räkna
1423,rechnen::V,számít,räkna
1424,lesen::V,olvas,läsa
1425,malen::V,fest,måla
1426,zeichnen::V,rajzol,teckna
1427,schreiben::V,ír,skriva
1428,besitzen::V,birtokol,äga
1429,besitzen::V,birtokol,besitta
1430,kaufen::V,vesz,köpa
1431,kaufen::V,megvesz,köpa
1432,verkaufen::V,elad,sälja
1433,bezahlen::V,fizet,betala
1434,bezahlen::V,kifizet,betala
1435,zahlen::V,fizet,betala
1436,zahlen::V,megfizet,betala
1437,beherrschen::V,ural,behärska
1438,ertragen::V,elbír,tåla
1439,ertragen::V,elbír,uthärda
1440,ertragen::V,elvisel,tåla
1441,ertragen::V,elvisel,uthärda
