,Concept_ID,os,kn
64,Luft::N,уӕлдӕф,ವಾಯು
65,Wind::N,дымгӕ,ಗಾಳಿ
66,Welle::N,уылӕн,ಅಲೆ
67,Wasser::N,дон,ನೀರು
68,Stein::N,дур,ಕಲ್ಲು
69,Boden::N,зӕхх,ನೆಲ
70,Erde::N,сыджыт,ಭೂಮಿ
71,Staub::N,рыг,ದೂಳು
72,Rauch::N,фӕздӕг,ಹೊಗೆ
73,Funke::N,цӕхӕр,ಕಿಡಿ
74,Feuer::N,зынг,ಬೆಂಕಿ
75,Licht::N,рухс,ಬೆಳಕು
76,Schatten::N,аууон,ನೆರಳು
77,Wetter::N,боныхъӕд,ಹವ
78,Nebel::N,мигъ,ಮಂಜು
79,Wolke::N,ӕврагъ,ಮೋಡ
80,Regen::N,уарын,ಮಳೆ
81,Schnee::N,мит,ಹಿಮ
82,Eis::N,их,ಮಂಜುಗಡ್ಡೆ
83,Frost::N,ихæн,ಮಂಜು
84,Kälte::N,уазал,ಹಿಮ
85,Hitze::N,ӕнтӕф,ಉಷ್ಣ
86,Raureif::N,халас,ಇಬ್ಬನಿ
87,Regenbogen::N,арвырон,ಇಂದ್ರಚಾಪ
88,Regenbogen::N,арвырдын,ಇಂದ್ರಚಾಪ
89,Donner::N,æрвнæрын,ಗುಡುಗು
90,Strömung::N,цыд,ಪ್ರವಾಹ
91,Tropfen::N,æртах,ತೊಟ್ಟು
92,Schaum::N,фынк,ನೊರೆ
93,Schmutz::N,цъыф,ಕಸ
94,See::N,цад,ಸರೋವರ
95,Sumpf::N,цъыфдзаст,ಜೌಗುಸ್ಥಳ
96,Moor::N,цъыфдзаст,ಬಂಜರು ಭೂಮಿ
97,Wiese::N,уыгӕрдӕн,ಹುಲ್ಲುಗಾವಲು
98,Wald::N,хъӕд,ಕಾಡು
99,Hügel::N,обау,ಗುಡ್ಡೆ
100,Hügel::N,къуыбыр,ಗುಡ್ಡೆ
101,Anhöhe::N,уæлвæз,ದಿಬ್ಬ
102,Anhöhe::N,уæлхох,ದಿಬ್ಬ
103,Berg::N,хох,ಮಲೆ
104,Berg::N,хох,ಪರ್ವತ
105,Gipfel::N,цъупп,ಶೃಂಗ
106,Höhle::N,лӕгӕт,ಗುಹೆ
107,Abhang::N,къул,ಇಳಿಜಾರು
108,Quelle::N,суадон,ಮೂಲ
109,Bach::N,мӕсчъыдон,ತೊರೆ
110,Fluss::N,дон,ನದಿ
111,Fluss::N,цӕугӕдон,ನದಿ
112,Ufer::N,был,ತೀರ
113,Küste::N,донбыл,ದಂಡೆ
114,Festland::N,сурзæхх,ಭೂಮಿ
115,Meer::N,денджыз,ಕಡಲು
116,Bucht::N,донбакæлæн,ಖಾರಿ
117,Insel::N,сакъадах,ದ್ವೀಪ
118,Blume::N,дидинӕг,ಸುಮ
119,Gras::N,кӕрдӕг,ಹುಲ್ಲು
120,Wurzel::N,уидаг,ಬೇರು
121,Baum::N,бӕлас,ಮರ
122,Stamm::N,хӕтӕл,ಕಾಂಡ
123,Rinde::N,цъар,ತೂಗಟಿ
124,Ast::N,арх,ಶಾಖೆ
125,Zweig::N,къалиу,ರೆಂಬೆ
126,Blatt::N,сыф,ಎಲೆ
127,Birke::N,бæрз,ಬರ್ಚ್ ಮರ
128,Kiefer[Baum]::N,нӕзы,ದೇವದಾರು ಮರ
129,Weide[Baum]::N,хӕрис,ವಿಲೋಮರ
130,Tanne::N,наз,ಭದ್ರದಾರು
131,Horn::N,сыкъа,ಕೊಂಬು
132,Feder::N,сис,ಪುಕ್ಕ
133,Fell::N,царм,ರೋಮ
134,Flügel::N,базыр,ರೆಕ್ಕೆ
135,Klaue::N,ных,ಪಂಜ
136,Kralle::N,дзӕмбы,ಉಗುರು
137,Schwanz::N,къӕдзил,ಬಾಲ
138,Ei::N,айк,ಮೊಟ್ಟೆ
139,Nest::N,ахстон,ಗೂಡು
140,Bau::N,хуынкъ,ಅಡಗುದಾಣ
141,Tier::N,сырд,ಪ್ರಾಣಿ
142,Tier::N,цӕрӕгой,ಪ್ರಾಣಿ
143,Herde::N,дзуг,ಗುಂಪು
144,Herde::N,рӕгъау,ಗುಂಪು
145,Kuh::N,хъуг,ಹಸು
146,Bulle::N,гал,ಗೂಳಿ
147,Pferd::N,бӕх,ಕುದುರೆ
148,Schaf::N,фыс,ಕುರಿ
149,Schwein::N,хуы,ಹಂದಿ
150,Hund::N,куыдз,ನಾಯಿ
151,Katze::N,гӕды,ಬೆಕ್ಕು
152,Bär::N,арс,ಕರಡಿ
153,Eichhörnchen::N,æхсæрæг,ಉಡುತೆ
154,Elch::N,цæгатаг саг,ಕಡವೆ
155,Fuchs::N,рувас,ನರಿ
156,Hase::N,тæрхъус,ಮೊಲ
157,Maus::N,мыст,ಇಲಿ
158,Wolf::N,бирӕгъ,ತೋಳ
159,Vogel::N,цъиу,ಪಕ್ಷಿ
160,Vogel::N,маргъ,ಪಕ್ಷಿ
161,Schwarm::N,бал,ಗುಂಪು
162,Huhn::N,карк,ಚಿಕ್
163,Hahn::N,уасӕг,ಹುಂಜ
164,Gans::N,хъаз,ವರಟೆ
165,Adler::N,цӕргӕс,ಗರುಡ
166,Ente::N,ацц,ಬಾತು
167,Eule::N, уыг,ಗೂಬೆ
168,Eule::N,сидахъ,ಗೂಬೆ
169,Kranich::N,зырнæг,ಕೊಕ್ಕರ
170,Kranich::N,хърихъупп,ಕೊಕ್ಕರ
171,Krähe::N,халон,ಕಾಗೆ
172,Kuckuck::N,гаккук,ಕೋಗಿಲೆ
173,Schwan::N,доныхъаз,ಹಂಸಪಕ್ಷಿ
174,Fisch::N,кӕсаг,ಮೀನು
175,Barsch::N,окунь,ಪರ್ಚ್ ಮೀನು
176,Hecht::N,хихор кӕсаг,ಪೈಕ್ ಮೀನು
177,Schlange[Tier]::N,калм,ಹಾವು
178,Wurm::N,зулкъ,ಹುಳು
179,Wurm::N,къуыдыргалм,ಹುಳು
180,Spinne::N,хӕлуарӕг,ಊರ್ಣನಾಭ
181,Ameise::N,мæлдзыг,ಇರುವೆ
182,Laus::N,сыст,ಹೇನು
183,Mücke::N,къогъо,ಸೊಳ್ಳೆ
184,Fliege::N,бындз,ನೊಣ
185,Schmetterling::N,гæлæбу,ಪತಂಗ
186,Beere::N,гагадыргъ,ನಯವಣ್ಣು
187,Apfel::N,фӕткъуы,ಸೇಬು
188,Pilz::N,зокъо,ಅಣಬೆ
189,Pilz::N,къозо,ಅಣಬೆ
190,Zwiebel::N,хъӕдындз,ನೀರುಳ್ಳಿ
191,Saat::N,тауинаг,ಬಿತ್ತ
192,Saat::N,мыггаг,ಬಿತ್ತ
193,Korn::N,мыггаг,ಬೀಜ
194,Korn::N,тауинаг,ಬೀಜ
195,Heu::N,хос,ಕರಡ
196,Schale::N,цъар,ಹೊಟ್ಟು
197,Grube::N,урм,ಗುಂಡಿ
198,Grube::N,къахт,ಗುಂಡಿ
199,Grube::N,дзыхъхъ,ಗುಂಡಿ
200,Falle::N,цъысым,ಬೋನು
201,Falle::N,къӕппӕг,ಬೋನು
202,Schlinge::N,цасм,ಉರುಲು
203,Spur::N,фæд,ಜಾಡು
204,Asche::N,фӕнык,ಬೂದಿ
205,Asche::N,ӕртхутӕг,ಬೂದಿ
206,Dreck::N,цъыф,ಹೊಲಸು
207,Eisen::N,ӕфсӕйнаг,ಕಬ್ಬಿಣ
208,Gold::N,сыгъзӕрин,ಚಿನ್ನ
209,Silber::N,ӕвзист,ಬೆಳ್ಳಿ
210,Kohle::N,ӕвзалы,ಕಲ್ಲಿದ್ದಲು
211,Glas::N,авг,ಗಾಜು
212,Lehm::N,ӕлыг,ಜೇಡಿಮಣ್ಣು
213,Sand::N,змис,ಮರಳು
214,Mensch::N,лӕг,ಪುರುಷ
215,Mensch::N,адӕймаг,ಪುರುಷ
216,Mensch::N,удгоймаг,ಪುರುಷ
217,Mann::N,лӕг,ಆಳು
218,Mann::N,нӕлгоймаг,ಆಳು
219,Frau::N,сылгоймаг,ಹೆಣ್ಣು
220,Kind::N,сывӕллон,ಮಗು
221,Junge::N,лӕппу,ಹುಡುಗ
222,Mädchen::N,чызг,ಹುಡುಗಿ
223,Familie::N,бинонтæ,ಕುಟುಂಬ
224,Großvater::N,фыдыфыд,ಅಜ್ಜ
225,Großvater::N,мадыфыд,ಅಜ್ಜ
226,Großmutter::N,фыды мад,ಅಮ್ಮ
227,Großmutter::N,мады мад,ಅಮ್ಮ
228,Eltern::N,ныййарджытæ,ಹೆತ್ತವರು
229,Vater::N,фыд,ತಂದೆ
230,Mutter::N,мад,ಅಮ್ಮ
231,Sohn::N,фырт,ಮಗ 
232,Tochter::N,чызг,ಮಗಳು
233,Bruder::N,ӕфсымӕр,ತಮ್ಮ
234,Schwester::N,хо,ತಂಗಿ
235,Onkel::N,фыдыфсымӕр,ಸೋದರಮಾವ
236,Onkel::N,фыдыфсымӕр,ದೊಡ್ಡಪ್ಪ
237,Tante::N,мадыхо,ಚಿಕ್ಕಮ್ಮ
238,Ehemann::N,мой,ಗಂಡ
239,Ehefrau::N,ус,ಹೆಂಡತಿ
240,Freude::N,цин,ನಲಿವು
241,Freude::N,циндзинад,ನಲಿವು
242,Gelächter::N,худын,ನಗೆ
243,Gelächter::N,худт,ನಗೆ
244,Gelächter::N,худæг,ನಗೆ
245,Glück::N,амонд,ಆನಂದ
246,Kummer::N,хъыг,ದುಃಖ
247,Wunsch::N,бӕллиц,ಬಯಕೆ
248,Lust::N,монц,ಇಷ್ಟ
249,Geist::N,уд,ಆತ್ಮ
250,Gedanke::N,хъуыды,ಯೋಚನೆ
251,Gedächtnis::N,мысæн,ಸ್ಮರಣೆ
252,Gedächtnis::N,мысын,ಸ್ಮರಣೆ
253,Gedächtnis::N,зæрдылдарын,ಸ್ಮರಣೆ
254,Verstand::N,зонд,ಮನಸ್ಸು
255,Sinn::N,нысаниуæг,ಅರ್ಥ
256,Grund::N,ӕфсон,ಕಾರಣ
257,Wahrheit::N,æцæг,ಸತ್ಯ
258,Gespräch::N,ныхас,ಸಂಭಾಷಣೆ
259,Märchen::N,аргъау,ಸುಳ್ಳು ಕಥೆ
260,Erzählung::N,радзырд,ಕಥೆ
261,Nachricht::N,уац,ಸಂದೇಶ
262,Neuigkeit::N,хабар,ಸುದ್ದಿ
263,Name::N,ном,ಹೆಸರು
264,Rätsel::N,уыци-уыци,ಒಗಟು
265,Rätsel::N,базон-базон,ಒಗಟು
266,Rede::N,раныхас,ಮಾತು
267,Sprache::N,ӕвзаг,ಭಾಷೆ
268,Stimme::N,хъӕлӕс,ಧ್ವನಿ
269,Wort::N,дзырд,ಮಾತು
270,Zeichen::N,нысан,ಗುರುತು
271,Ruf::N,сидт,ಕೂಗು
272,Lärm::N,уынæр,ಸದ್ದು
273,Laut::N,зӕл,ಶಬ್ದ
274,Laut::N,мыр,ಶಬ್ದ
275,Ton::N,мыр,ನಾದ
276,Lied::N,зарӕг,ಗಾನ
277,Ruhe::N,æнцой,ಶಾಂತಿ
278,Leute::N,адӕм,ಮಂದಿ
279,Volk::N,адӕм,ಜನಾಂಗ
280,Arbeit::N,фӕллой,ಕೆಲಸ
281,Gast::N,уазӕг,ಅತಿಥಿ
282,Geschenk::N,хуын,ಕಾಣಿಕೆ
283,Spiel::N,хъазт,ಆಟ
284,Gesellschaft::N,дзыллæ,ಸಂಗ
285,Gesellschaft::N,æхсæнад,ಸಂಗ
286,Hilfe::N,æххуыс,ಸಹಾಯ
287,Hilfe::N,ахъаз,ಸಹಾಯ
288,Freund::N,лымӕн,ಸ್ನೇಹಿತ
289,Kamerad::N,ӕмбал,ಜೊತೆಗಾರ
290,Angelegenheit::N,хъуыддаг,ವಿಚಾರ
291,Anzahl::N,бӕрц,ಎಣಿಕೆ
292,Art::N,хуыз,ತರ
293,Art::N,хуызад,ತರ
294,Stück::N,кæрдих,ತುಂಡು
295,Stück::N,комдзаг,ತುಂಡು
296,Teil::N,хай,ಭಾಗ
297,Hälfte::N,æрдæг,ಅರ್ಧ
298,Hälfte::N,æмбис,ಅರ್ಧ
299,Kreis::N,зиллакк,ವೃತ್ತ
300,Kreuz::N,дзуар,ಶಿಲುಬೆ
301,Linie::N,хахх,ರೀಖೆ
302,Strich::N,хахх,ಗೀಟು
303,Abstand::N,æхсæнуат,ಅಂತರ
304,Entfernung::N,дæрддзæг,ದೂರ
305,Entfernung::N,дардцæг,ದೂರ
306,Gegend::N,ран,ವಿಸ್ತೀರ್ಣ
307,Platz::N,бууат,ಅಂತರ
308,Ort::N,ран,ಸ್ಥಳ
309,Ort::N,бынат,ಸ್ಥಳ
310,Seite::N,фахс,ಪಕ್ಷ
311,Mitte::N,астӕу,ನಡು
312,Gegenstand::N,дзаума,ವಸ್ತು
313,Sache::N,дзаума,ವಸ್ತು
314,Rand::N,кӕрон,ಅಂಚು
315,Kante::N,фӕрск,ಅಂಚು
316,Ecke::N,тигъ,ಮೂಲೆ
317,Ecke::N,фисын,ಮೂಲೆ
318,Spitze::N,бырынкъ,ತುದಿ
319,Ende::N,кӕрон,ಕೊನೆ
320,Loch::N,хуынкъ,ತೂತು
321,Winkel::N,къуым,ಕೋನ
322,Muster::N,нывæфтыд,ನಮೂನೆ
323,Muster::N,кæдзист,ನಮೂನೆ
324,Größe::N,ас,ಪ್ರಮಾಣ
325,Länge::N,дӕргъ,ಉದ್ದ
326,Höhe::N,бæрзонд,ಎತ್ತರ
327,Höhe::N,бæрзæнд,ಎತ್ತರ
328,Höhe::N,бæрзонддзинад,ಎತ್ತರ
329,Gewicht::N,уӕз,ತೂಕ
330,Menge::N,бӕрц,ಮೊತ್ತ
331,Haufen::N,кӕри,ರಾಶಿ
332,Reihe::N,рӕнхъ,ಸಾಲು
333,Boot::N,чема,ದೋಣಿ
334,Ruder::N,къохар,ಹುಟ್ಟು
335,Schlitten::N,дзоныгъ,ಚಕ್ರವಿಲ್ಲದ ಜಾರುಬಮ್ಡಿ
336,Ski::N,къахдзоныгътæ,ಜಾರುಪಟ್ಟಿ
337,Ski::N,лыжæтæ,ಜಾರುಪಟ್ಟಿ
338,Lagerfeuer::N,арт,ಶಿಬಿರಾಗ್ನಿ
339,Last::N,уаргъ,ಹೊರೆ
340,Gang::N,цыд,ತಿರುಗಾಟ
341,Schritt::N,санчъех,ಹೆಜ್ಜೆ
342,Schritt::N,къахдзӕф,ಹೆಜ್ಜೆ
343,Norden::N,цæгат,ಉತ್ತರ
344,Süden::N,хуссар,ದಕ್ಷಿಣ
345,Westen::N,ныгуылæн,ಪಶ್ಚಿಮ
346,Osten::N,скæсæн,ಮೂಡಲು
347,Holz::N,хъӕдӕрмӕг,ಚೌಬೀನೆ
348,Brett::N,фæйнæг,ಹಲಗೆ
349,Platte::N,къӕй,ಹಲಗೆ
350,Stütze::N,быцæу,ಆಸರೆ
351,Stange::N,хъил,ಕಂಬ
352,Stock::N,лӕдзӕг,ಕೋಲು
353,Stab::N,хъил,ದೊಣ್ಣೆ
354,Rohr::N,хӕтӕл,ನಳಿಕೆ
355,Haus::N,хӕдзар,ಮನೆ
356,Heim::N,къона,ಗೃಹ
357,Ofen::N,пец,ಒಲೆ
358,Fußboden::N,астӕрд,ನೆಲ
359,Tisch::N,стъол,ಮೇಜು
360,Stuhl::N,бандон,ಕುರ್ಚಿ
361,Wiege::N,авдæн,ತೊಟ್ಟಿಲು
362,Bett::N,сынтӕг,ಹಾಸಿಗೆ
363,Regal::N,тӕрхӕг,ಬೀರು
364,Regal::N,уӕлвӕйнӕг,ಬೀರು
365,Kiste::N,асыкк,ಪಟ್ಟಿಗೆ
366,Fenster::N,рудзынг,ಕಿಟಕಿ
367,Fenster::N,фæрссаг,ಕಿಟಕಿ
368,Tür::N,дуар,ಬಾಗಿಲು
369,Tor::N,кулдуар,ಹೆಬ್ಬಾಗಿಲು
370,Zaun::N,æмбонд,ಬೇಲಿ
371,Zaun::N,быру,ಬೇಲಿ
372,Zaun::N,гæрæн,ಬೇಲಿ
373,Dach::N,уӕлхӕдзар,ಮಾಳಿಗೆ
374,Leiter::N,асин,ಏಣಿ
375,Besen::N,уисой,ಪೊರಕೆ
376,Spaten::N,бел,ಗುದ್ದಲಿ
377,Schaufel::N,æвгæнæн,ಸನಿಕೆ
378,Schaufel::N,кæфой,ಸನಿಕೆ
379,Gabel::N,вилкæ,ಕವಲು
380,Löffel::N,уидыг,ಚಮಚ
381,Messer::N,кард,ಚಾಕು
382,Nagel::N,зӕгӕл,ಆಣಿ
383,Netz::N,хыз,ಬಲೆ
384,Haken::N,хæдз,ಕೊಂಡಿ
385,Haken::N,хæбырæгъ,ಕೊಂಡಿ
386,Griff::N,фистон,ಹಿಡಿ
387,Schloss::N,гуыдыр,ವೀಗ
388,Bild::N,ныв,ಚಿತ್ರ
389,Figur::N,кæрдгæныв,ಆಕಾರ
390,Puppe::N,чындз,ಗೊಂಬೆ
391,Beutel::N,дзӕкъул,ಸಂಚಿ
392,Bündel::N,баст,ಕಟ್ಟು
393,Tasche::N,хызын,ಚೀಲ
394,Tasche::N,дзæкъул,ಚೀಲ
395,Eimer::N,къæрта,ಬಾನೆ
396,Eimer::N,чъыбыла,ಬಾನೆ
397,Eimer::N,ведра,ಬಾನೆ
398,Deckel::N,сæр,ಮುಚ್ಚಳ
399,Deckel::N,æмбæрзæн,ಮುಚ್ಚಳ
400,Geschirr::N,мигæнæн,ಭಕ್ಷ್ಯಗಳು
401,Geschirr::N,мигæнæнтæ,ಭಕ್ಷ್ಯಗಳು
402,Sack::N,голлаг,ಮೂಟೆ
403,Tasse::N,пиала,ಬಟ್ಟಲು
404,Tasse::N,къус,ಬಟ್ಟಲು
405,Topf::N,аг,ಮಡಕೆ
406,Topf::N,чысыл аг,ಮಡಕೆ
407,Kessel::N,аг,ಕೆಟಲ್
408,Essen::N,хӕрд,ಊಟ
409,Nahrung::N,хойраг,ಆಹಾರ
410,Speise::N,хӕринаг,ಊಟ
411,Fleisch::N,дзидза,ಮಾಂಸ
412,Fleisch::N,фыдызгъӕл,ಮಾಂಸ
413,Getreide::N,халсар,ಧಾನ್ಯ
414,Brei::N,кас,ಗಂಜಿ
415,Brot::N,дзул,ರೊಟ್ಟಿ
416,Scheibe::N,къӕбӕр,ಹೋಳು
417,Fett::N,сой,ಕೊಬ್ಬು
418,Butter::N,нӕлхӕ,ಬೆಣ್ಣೆ
419,Öl::N,зети,ಎಣ್ಣೆ
420,Salz::N,цӕхх,ಉಪ್ಪು
421,Suppe::N,бас,ಎಸರು
422,Honig::N,мыд,ಮಧು
423,Milch::N,ӕхсыр,ಹಾಲು
424,Tee::N,цай,ಚಹ
425,Leder::N,мæскуы,ಚಕ್ಕಳ
426,Wolle::N,фӕсмын,ಉಣ್ಣೆ
427,Stoff::N,хъуымац,ಬಟ್ಟೆ
428,Nadel::N,судзин,ಸೂಜಿ
429,Faden::N,ӕндах,ದಾರ
430,Knopf::N,цӕппӕр,ಗುಂಡು
431,Knoten::N,ӕлхынцъ,ಗಂಟು
432,Farbe::N,ахорæн,ಬಣ್ಣ
433,Kleidung::N,дарӕс,ಅರಿವೆ
434,Hemd::N,хӕдон,ಅಂಗಿ
435,Kragen::N,æфцæггот,ಕುತ್ತಿಗೆಪಟ್ಟಿ
436,Ärmel::N,дыс,ತೋಳು
437,Hose::N,хæлаф,ಇಜಾರ
438,Hose::N,æддаг хæлаф,ಇಜಾರ
439,Hose::N,салбар,ಇಜಾರ
440,Gürtel::N,рон,ಬೆಲ್ಟು
441,Mütze::N,худ,ಟೋಪಿ
442,Schuh::N,басмахъ,ಪಾದರಕ್ಷೆ
443,Stiefel::N,цырыхъхъ,ಬೂಟು
444,Ring::N,къухдарӕн,ಉಂಗುರ
445,Band::N,лент,ರಿಬ್ಬನ್
446,Kamm::N,сӕрвасӕн,ಹಣಿಗೆ
447,Spiegel::N,айдæн,ಕನ್ನಡಿ
448,Spiegel::N,кæсæн,ಕನ್ನಡಿ
449,Riemen::N,гӕрз,ಬಾರು
450,Schnur::N,бӕндӕн,ಹುರಿ
451,Decke::N,хъӕццул,ಕಂಬಳಿ
452,Kissen::N,баз,ದಿಂಬು
453,Tuch::N,кæлмæрзæн,ಕೊರಳ ಬಟ್ಟೆ
454,Tuch::N,кæрдæн,ಕೊರಳ ಬಟ್ಟೆ
455,Handtuch::N,хисæрфæн,ಚೌಕ
456,Kraft::N,тых,ಬಲ
457,Kraft::N,хъомыс,ಬಲ
458,Stärke::N,тых,ಶಕ್ತಿ
459,Stärke::N,æхсар,ಶಕ್ತಿ
460,Gesundheit::N,æнæниздзинад,ಆರೋಗ್ಯ
461,Krankheit::N,низ,ರೋಗ
462,Krankheit::N,рын,ರೋಗ
463,Schmerz::N,рис,ನೋವು
464,Wunde::N,цӕф,ಗಾಯ
465,Fieber::N,ризӕг,ಜ್ವರ
466,Fieber::N,тӕфсӕг,ಜ್ವರ
467,Arznei::N,хос,ಔಷಧ
468,Brücke::N,хид,ಸೇತುವೆ
469,Brunnen::N,цъай,ಬಾವಿ
470,Weide::N,хизæн,ಗೋಮಾಳ
471,Weide::N,хизæнуат,ಗೋಮಾಳ
472,Weide::N,сæрвæт,ಗೋಮಾಳ
473,Pfad::N,къахвæндаг,ದಾರಿ
474,Pfad::N,къахвæд,ದಾರಿ
475,Weg::N,фӕндаг,ಹಾದಿ
476,Straße::N,фӕндаг,ರಸ್ತೆ
477,Dorf::N,хъӕу,ಹಳ್ಳಿ
478,Stadt::N,сахар,ಪಟ್ಟಣ
479,Brief::N,фыстӕг,ಕಾಗದ
480,Buch::N,чиныг,ಪುಸ್ತಕ
481,Buchstabe::N,дамгъӕ,ಅಕ್ಷರ
482,Zeitung::N,газет,ವಾರ್ತಾಪತ್ರಿಕೆ
483,Leben::N,цард,ಜೀವನ
484,Leben::N,цӕрӕнбон,ಜೀವನ
485,Tod::N,мæлæт,ಮರಣ
486,Tod::N,адзал,ಮರಣ
487,Grab::N,ингӕн,ಗೋರಿ
488,Kirche::N,аргъуан,ಚರ್ಚು
489,Sünde::N,тæригъæд,ಪಾಪ
490,Gott::N,хуыцау,ದೇವರು
491,Arbeiter::N,кусæг,ಕೆಲಸಗಾರ
492,Chef::N,ӕмцег,ದಣಿ
493,Meister::N,мастер,ಶಿಕ್ಷಕ
494,Meister::N,дæсны,ಶಿಕ್ಷಕ
495,Arzt::N,хосгæнæг,ವೈದ್ಯ
496,Arzt::N,дохтыр,ವೈದ್ಯ
497,Lehrer::N,ахуыргæнæг,ಉಪಾಧ್ಯಾಯ
498,Geld::N,ӕхца,ಹಣ
499,Geschäft::N,бизнес,ವಾಣಿಜ್ಯ
500,Geschäft::N,хъуыддаг,ವಾಣಿಜ್ಯ
501,Laden::N,дукани,ಅಂಗಡಿ
502,Preis::N,аргъ,ಬೆಲೆ
503,Ware::N,базайраг,ಸರಕು
504,Nutzen::N,пайда,ಲಾಭ
505,Reichtum::N,хъæздыгдзинад,ಸಂಪತ್ತು
506,Reichtum::N,исбон,ಸಂಪತ್ತು
507,Reichtum::N,мулк,ಸಂಪತ್ತು
508,Welt::N,дуне,ಭೂಲೋಕ
509,Land::N,бӕстӕ,ದೇಶ
510,Staat::N,паддзахад,ರಾಜ್ಯ
511,König::N,къарол,ರಾಜ
512,Macht::N,хицаудзинад,ಅಧಿಕಾರ
513,Grenze::N,арӕн,ಗಡಿ
514,Krieg::N,хӕст,ಯುದ್ಧ
515,Feind::N,знаг,ಶತ್ರು
516,Feind::N,фыдгул,ಶತ್ರು
517,Feind::N,фыдзæрдæ,ಶತ್ರು
518,Feind::N,сон,ಶತ್ರು
519,Gewalt::N,тыхми,ಹಿಂಸೆ
520,Gewalt::N,тыхдзинад,ಹಿಂಸೆ
521,Kampf::N,хæст,ಹೋರಾಟ
522,Kampf::N,хъæбысæйхæст,ಹೋರಾಟ
523,Kampf::N,тох,ಹೋರಾಟ
524,Bogen[Waffe]::N,ӕрдын,ಬಿಲ್ಲು
525,Pfeil::N,фат,ಅಂಬು
526,Gewehr::N,топп,ಬಂದೂಕು
527,Fehler::N,рӕдыд,ತಪ್ಪು
528,Lüge::N,мӕнг,ಸುಳ್ಳು
529,Lüge::N,гӕдыдзинад,ಸುಳ್ಳು
530,Schaden::N,зиан,ಹಾನಿ
531,Unglück::N,бæллæх,ಅಪಾಯ
532,Schuld::N,азым,ದೋಷ
533,Alter::N,кар,ಮುಪ್ಪು
534,Schluss::N,кæрон,ಮುಕ್ತಾಯ
535,Zeit::N,рӕстӕг,ಕಾಲ
536,Tag::N,бон,ದಿನ
537,Morgen::N,райсом,ಮುಂಜಾನೆ
