,Concept_ID,ja,cs
214,Mann::N,男,muž
215,Mann::N,男性,muž
216,Frau::N,女,žena
217,Frau::N,女性,žena
218,Kind::N,子,dítě
219,Kind::N,子供,dítě
220,Junge::N,男の子,hoch
221,Junge::N,男の子,chlapec
222,Mädchen::N,女の子,děvče
223,Familie::N,家族,rodina
224,Großvater::N,祖父,děd
225,Großvater::N,祖父,dědeček
226,Großvater::N,おじいさん,děd
227,Großvater::N,おじいさん,dědeček
228,Großmutter::N,祖母,babička
229,Großmutter::N,おばあさん,babička
230,Eltern::N,親,rodiče
231,Eltern::N,両親,rodiče
232,Vater::N,父,otec
233,Vater::N,お父さん,otec
234,Mutter::N,母,matka
235,Mutter::N,お母さん,matka
236,Sohn::N,息子,syn
237,Sohn::N,息子さん,syn
238,Tochter::N,娘,dcera
239,Tochter::N,お嬢さん,dcera
240,Bruder::N,弟,bratr
241,Schwester::N,妹,sestra
242,Onkel::N,伯父,strýc
243,Onkel::N,伯父さん,strýc
244,Tante::N,叔母,teta
245,Tante::N,叔母さん,teta
246,Ehemann::N,夫,choť
247,Ehemann::N,夫,manžel
248,Ehemann::N,主人,choť
249,Ehemann::N,主人,manžel
250,Ehefrau::N,妻,choť
251,Ehefrau::N,妻,manželka
252,Ehefrau::N,奥さん,choť
253,Ehefrau::N,奥さん,manželka
254,Freude::N,喜び,radost
255,Gelächter::N,笑い,smích
256,Glück::N,幸せ,štěstí
257,Kummer::N,悩み,žal
258,Kummer::N,悩み,trápení
259,Wunsch::N,希望,přání
260,Lust::N,気,chuť
261,Geist::N,精神,duch
262,Gedanke::N,考え,myšlenka
263,Gedächtnis::N,記憶,paměť
264,Verstand::N,理解力,rozum
265,Sinn::N,意味,smysl
266,Grund::N,理由,důvod
267,Wahrheit::N,真実,pravda
268,Gespräch::N,会話,rozhovor
269,Märchen::N,童話,pohádka
270,Erzählung::N,物語,povídka
271,Nachricht::N,報告,zpráva
272,Neuigkeit::N,ニュース,novina
273,Neuigkeit::N,ニュース,novinka
274,Name::N,名前,jméno
275,Rätsel::N,謎,hádanka
276,Rede::N,演説,řeč
277,Rede::N,演説,proslov
278,Sprache::N,言語,řeč
279,Sprache::N,言語,jazyk
280,Stimme::N,声,hlas
281,Wort::N,言葉,slovo
282,Zeichen::N,記号,znamení
283,Ruf::N,呼び声,zavolání
284,Lärm::N,騒音,hluk
285,Laut::N,音,zvuk
286,Ton::N,音,tón
287,Lied::N,歌,píseň
288,Ruhe::N,静けさ,klid
289,Ruhe::N,静けさ,pokoj
290,Leute::N,人々,lidé
291,Volk::N,民族,národ
292,Arbeit::N,仕事,práce
293,Gast::N,客,host
294,Geschenk::N,贈り物,dar
295,Spiel::N,遊び,hra
296,Gesellschaft::N,社会,společnost
297,Hilfe::N,援助,pomoc
298,Freund::N,友達,přítel
299,Kamerad::N,同志,kamarád
