,Concept_ID,myv,ml
81,Schatten::N,сулей,തണൽ
82,Schatten::N,сулейкс,തണൽ
83,Wetter::N,ушо,കാലാവസ്ഥ
84,Nebel::N,сув,മൂടൽമഞ്ഞ്
85,Wolke::N,пель,മേഘം
86,Regen::N,пиземс,മഴ
87,Schnee::N,лов,മഞ്ഞ്
88,Eis::N,эй,ഐസ്
89,Frost::N,кельме,മൂടൽമഞ്ഞ്
90,Kälte::N,якшамо,തണുപ്പ്
91,Hitze::N,пси,ചൂട്
92,Raureif::N,лекш,കോടമഞ്ഞ്
93,Regenbogen::N,пурьгинечирьке,മഴവില്ല്
94,Regenbogen::N,пурьгинеёнкс,മഴവില്ല്
95,Donner::N,пурьгине,ഇടി
96,Strömung::N,чудема,പ്രവാഹം
97,Strömung::N,чудевкс,പ്രവാഹം
98,Tropfen::N,петнявкс,തുള്ളി
99,Schaum::N,чов,നുര
100,Schmutz::N,рудаз,അഴുക്ക്
101,See::N,эрьке,തടാകം
102,Sumpf::N,чей,ചതുപ്പുനിലം
103,Moor::N,чей,പാഴ്നിലം
104,Wiese::N,луга,പുൽത്തകിടി
105,Wald::N,вирь,വനം
106,Wald::N,вирь,കാട്
107,Hügel::N,губорь,കുന്ന്
108,Hügel::N,пандыне,കുന്ന്
109,Anhöhe::N,губорь,ഉയർന്ന ഭൂമി
110,Anhöhe::N,пандыне,ഉയർന്ന ഭൂമി
111,Berg::N,пандо,പർവ്വതം
112,Gipfel::N,пря,ഉച്ചകോടി
113,Höhle::N,пещера,ഗുഹ
114,Abhang::N,пандочама,ചരിവ്
115,Quelle::N,ушодкс,ഉറവിടം
116,Bach::N,чудикерькс,അരുവി
117,Fluss::N,лей,നദി
118,Ufer::N,чире,തീരം
119,Küste::N,лейчире,കടൽത്തീരം
120,Festland::N,мода,കര
121,Meer::N,моря,കടൽ
122,Bucht::N,усия,ഉൾക്കടല്
123,Insel::N,усия,ദ്വീപ്
124,Blume::N,цеця,പൂവ്
125,Gras::N,тикше,പുല്ല്
126,Wurzel::N,юр,വേര്
127,Wurzel::N,ундокс,വേര്
128,Baum::N,чувто,മരം
129,Stamm::N,рунго,തായ്ത്തടി
130,Rinde::N,суд,പട്ട
131,Rinde::N,керь,പട്ട
132,Ast::N,морго,ശാഖ
133,Zweig::N,тарад,ശാഖ
134,Blatt::N,лопа,ഇല
135,Birke::N,килей,പൂവരശ്
136,Kiefer[Baum]::N,пиче,പൈൻമരം
137,Weide[Baum]::N,каль,വില്ലോ
138,Tanne::N,куз,ദേവദാരു
139,Horn::N,сюро,മൃഗത്തിൻറെ കൊമ്പ്
140,Feder::N,толга,തൂവൽ
141,Fell::N,пона,മൃദുരോമം
142,Flügel::N,сёлмо,ചിറക്
143,Klaue::N,кенже,നഖം
144,Kralle::N,кенже,നഖം
145,Schwanz::N,пуло,വാൽ
146,Ei::N,ал,മുട്ട
147,Nest::N,пизэ,കൂട്
148,Bau::N,варя,മാളം
149,Bau::N,пизе,മാളം
150,Tier::N,ракша,മൃഗം
151,Herde::N,стада,കൂട്ടം
152,Kuh::N,скал,പശു
153,Bulle::N,бука,കാള
154,Pferd::N,лишме,കുതിര
155,Schaf::N,реве,ആട്
156,Schwein::N,туво,പന്നി
157,Hund::N,пине,നായ്
158,Hund::N,киска,നായ്
159,Katze::N,псака,പൂച്ച
160,Bär::N,овто,കരടി
161,Eichhörnchen::N,ур,അണ്ണാൻ
162,Elch::N,сярдо,കടമാന്
163,Fuchs::N,ривезь,കുറുക്കൻ
164,Hase::N,нумоло,മുയൽ
165,Maus::N,чеерь,ചുണ്ടലി
166,Wolf::N,верьгиз,ചെന്നായ
167,Vogel::N,нармунь,പക്ഷി
168,Schwarm::N,полк,കൂട്ടം
169,Schwarm::N,стада,കൂട്ടം
170,Huhn::N,сараз,കോഴി
171,Hahn::N,атякш,പൂവൻകോഴി
172,Gans::N,гала,അരയന്നം
173,Gans::N,мацей,അരയന്നം
174,Adler::N,куцькан,കഴുകൻ
175,Adler::N,тумоатякш,കഴുകൻ
176,Ente::N,яксярго,താറാവ്
177,Eule::N,корж,മൂങ്ങ
178,Kranich::N,карго,കൊക്ക്
179,Krähe::N,варака,കാക്ക
180,Kuckuck::N,куко,കുയിൽ
181,Schwan::N,локсей,അരയന്നം
182,Fisch::N,кал,മത്സ്യം
183,Barsch::N,окунь,ഒരിനം മത്സ്യം
184,Hecht::N,щука,ഒരു മത്സ്യം
185,Schlange[Tier]::N,гуй,പാമ്പ്
186,Wurm::N,сукс,വിര
187,Spinne::N,шанжав,ചിലന്തി
188,Ameise::N,коткудав,ഉറുമ്പ്
189,Laus::N,сий,പേന്
190,Mücke::N,сеське,മശകം
191,Fliege::N,карво,ഈച്ച
192,Schmetterling::N,нимиляв,ചിത്രശലഭം
193,Beere::N,умарь,ബെറി
194,Apfel::N,умарь,ആപ്പിൾ
195,Pilz::N,панго,കൂൺ
196,Zwiebel::N,чурька,സവാള
197,Saat::N,видьметь,വിത്ത്
198,Korn::N,сюро,ധാന്യം
199,Heu::N,тикше,വയ്ക്കോൽ
200,Schale::N,кедь,തൊലി
201,Schale::N,ваткавкс,തൊലി
202,Grube::N,латко,കുഴി
203,Falle::N,тувор,കെണി
204,Falle::N,кундамка,കെണി
205,Schlinge::N,килькш,കുടുക്ക്
206,Spur::N,челькс,ചുവട്
207,Spur::N,пильгеки,ചുവട്
208,Asche::N,кулов,ചാരം
209,Dreck::N,рудаз,അഴുക്ക്
210,Eisen::N,кшни,ഇരുമ്പ്
211,Gold::N,сырне,സ്വർണ്ണം
212,Silber::N,сия,വെള്ളി
213,Kohle::N,сэдь,കൽക്കരി
214,Kohle::N,уголия,കൽക്കരി
215,Glas::N,сулика,ഗ്ലാസ്
216,Lehm::N,сёвонь,കളിമണ്ണ്
217,Sand::N,човар,മണൽ
218,Mensch::N,ломань,മനുഷ്യർ
219,Mann::N,аля,പുരുഷൻ
220,Mann::N,цёраломань,പുരുഷൻ
221,Frau::N,ава,സ്ത്രീ
222,Kind::N,эйкакш,കുഞ്ഞ്
223,Junge::N,цёрыне,ആൺകുട്ടി
224,Mädchen::N,тейтерне,പെൺകുട്ടി
225,Familie::N,семия,കുടുംബം
226,Großvater::N,покштя,അപ്പൂപ്പൻ
227,Großmutter::N,баба,അമ്മുമ്മ
228,Eltern::N,тетят-ават,മാതാപിതാക്കള്
229,Vater::N,тетя,അച്ഛൻ
230,Mutter::N,ава,അമ്മ
231,Sohn::N,цёра,മകൻ
232,Tochter::N,тейтерь,മകൾ
233,Bruder::N,леля,ചേട്ടൻ
234,Bruder::N,леля,അനിയൻ
235,Bruder::N,ялакс,ചേട്ടൻ
236,Bruder::N,ялакс,അനിയൻ
237,Schwester::N,сазор,ചേച്ചി
238,Schwester::N,сазор,അനിയത്തി
239,Onkel::N,леля,അമ്മാവൻ
240,Tante::N,патя,മാമി
241,Ehemann::N,мирде,ഭർത്താവ്
242,Ehefrau::N,ни,ഭാര്യ
243,Freude::N,кеняркс,ആഹ്ലാദം
244,Gelächter::N,ракамо,ചിരിയുടെ ശബ്ദം
245,Gelächter::N,пейдема,ചിരിയുടെ ശബ്ദം
246,Glück::N,уцяска,സന്തോഷം
247,Glück::N,уцяска,സന്തുഷ്ടി
248,Kummer::N,рискс,ശോകം
249,Kummer::N,мелявкс,ശോകം
250,Wunsch::N,мель,ആഗ്രഹം
251,Wunsch::N,бажамо,ആഗ്രഹം
252,Lust::N,бажамо,ആഗ്രഹം
253,Geist::N,ойме,ചുറുചുറുക്ക്
254,Gedanke::N,мель,ചിന്ത
255,Gedächtnis::N,мель,ഓർമ്മശക്തി
256,Verstand::N,прев,മനസ്സ്
257,Sinn::N,толк,അർത്ഥം
258,Sinn::N,смысла,അർത്ഥം
259,Grund::N,тувтал,കാരണം
260,Wahrheit::N,видечи,സത്യം
261,Gespräch::N,кортнема,സല്ലാപം
262,Märchen::N,ёвкс,യക്ഷിക്കഥ
263,Erzählung::N,ёвтнема,കഥ
264,Nachricht::N,куля,സന്ദേശം
265,Neuigkeit::N,куля,വാർത്ത
266,Name::N,лем,പേര്
267,Rätsel::N,содамоёвкс,പ്രഹേളിക
268,Rede::N,кортамо,സംസാരം
269,Sprache::N,кель,ഭാഷ
270,Stimme::N,ваигель,സ്വരം
271,Wort::N,вал,വാക്ക്
272,Zeichen::N,теште,സംജ്ഞ
273,Ruf::N,тердема,വിളി
274,Lärm::N,шалнома,ആരവം
275,Laut::N,вайгель,ശബ്ദം
276,Ton::N,гайнема,സ്വരഭേദം
277,Lied::N,моро,പാട്ട്
278,Ruhe::N,оймамо,നിശ്ചലത
279,Leute::N,ломанть,ജനങ്ങൾ
280,Volk::N,народ,രാഷ്ടം
281,Arbeit::N,тев,ജോലി
282,Gast::N,инже,അതിലി
283,Geschenk::N,казне,സമ്മാനം
284,Spiel::N,налксема,കളി
285,Gesellschaft::N,община,കൂട്ടായ്മ
286,Hilfe::N,лездамо,സഹായം
287,Freund::N,оя,സുഹൃത്ത്
288,Freund::N,ялга,സുഹൃത്ത്
289,Kamerad::N,оя,കൂട്ടാളി
290,Kamerad::N,ялга,കൂട്ടാളി
291,Angelegenheit::N,тев,കാര്യം
292,Anzahl::N,ламоксчи,എണ്ണം
293,Art::N,вид,തരം
294,Stück::N,пакш,കഷണം
295,Stück::N,пелькс,കഷണം
296,Teil::N,часть,ഭാഗം
297,Teil::N,пелькс,ഭാഗം
298,Hälfte::N,пель,പകുതി
299,Hälfte::N,пелькс,പകുതി
300,Kreis::N,кирькс,വൃത്തം
301,Kreuz::N,крёст,കുരിശടയാളം
302,Linie::N,кикс,വര
303,Linie::N,кикс,രേഖ
304,Strich::N,межа,പക്ഷാഘാതം
305,Abstand::N,ютко,വിടവ്
306,Entfernung::N,ютко,അകലം
307,Gegend::N,тарка,പ്രദേശം
308,Gegend::N,пертьпелькс,പ്രദേശം
309,Platz::N,васолкс,ഇടം
310,Ort::N,тарка,സ്ഥലം
311,Seite::N,ён,വശം
312,Seite::N,чире,വശം
313,Mitte::N,куншка,മധ്യസ്ഥാനം
314,Gegenstand::N,предмет,സാധനം
315,Sache::N,тев,വസ്തു
316,Sache::N,веща,വസ്തു
317,Rand::N,пе,തൊങ്ങൽ
318,Rand::N,чире,തൊങ്ങൽ
319,Kante::N,ирдез,അറ്റം
320,Ecke::N,ужо,മൂല
321,Spitze::N,пряне,അഗ്രം
322,Spitze::N,пе,അഗ്രം
323,Ende::N,пе,അവസാനം
324,Loch::N,варя,ദ്വാരം
325,Winkel::N,ужо,കോൺ
326,Muster::N,сёрма,ക്രമം
327,Größe::N,сэрь,വലുപ്പം
328,Größe::N,покшолма,വലുപ്പം
329,Länge::N,кувалмо,നീളം
330,Höhe::N,сэрь,ഉയരം
331,Höhe::N,пандо,ഉയരം
332,Gewicht::N,сталмо,കട്ടി
333,Menge::N,лововкс,അളവ്
334,Haufen::N,мар,കൂമ്പാരം
335,Haufen::N,валявкс,കൂമ്പാരം
336,Reihe::N,ряд,വരി
337,Boot::N,венч,ബോട്ട്
338,Ruder::N,милё,പങ്കായം
339,Schlitten::N,нурдт,ഉരുളില്ലാവണ്ടി
340,Ski::N,сокс,ഹിമപാദുകം
341,Lagerfeuer::N,толбандя,തീ
342,Last::N,сталмо,ഭാരം
343,Last::N,кандома,ഭാരം
344,Gang::N,молема,നടത്തം
345,Gang::N,якамо,നടത്തം
346,Schritt::N,эскелькс,ചുവട്
347,Norden::N,якшамо ёнкс,വടക്ക്
348,Süden::N,лембе ёнкс,തെക്ക്
349,Westen::N,чивалгома,പടിഞ്ഞാറ്
350,Osten::N,чилисема,കിഴക്ക്
351,Holz::N,чувто,തടി
352,Brett::N,лаз,ബോർഡ്
353,Platte::N,плита,തകിട്
354,Stütze::N,неже,താങ്ങ്
355,Stange::N,олга,കമ്പ്
356,Stock::N,мандо,വടി
357,Stab::N,олога,കുറുവടി
358,Rohr::N,турба,കുഴൽ
359,Haus::N,кудо,വീട്
360,Heim::N,кудо,വീട്
361,Ofen::N,каштомо,സ്റ്റൌ
362,Fußboden::N,киякс,തറ
363,Tisch::N,столь,മേശ
364,Stuhl::N,стул,കസേര
365,Wiege::N,лавсь,തൊട്ടിൽ
366,Wiege::N,нурямот,തൊട്ടിൽ
367,Bett::N,ацамо,കിടക്ക
368,Regal::N,лався,ഷെൽഫ്
369,Regal::N,лавсяланго,ഷെൽഫ്
370,Kiste::N,горобия,പെട്ടി
371,Kiste::N,сундук,പെട്ടി
372,Fenster::N,вальма,ജനൽ
373,Tür::N,кенкш,വാതിൽ
374,Tor::N,ортат,കവാടം
375,Zaun::N,пирявт,വേലി
376,Zaun::N,пирвякс,വേലി
377,Dach::N,кудопря,മേൽക്കുര
378,Leiter::N,кузтема,ഏണി
379,Besen::N,тенсть,ചൂല്
380,Spaten::N,койме,തൂമ്പ
381,Schaufel::N,кече,തൂമ്പ
382,Schaufel::N,келей койме,തൂമ്പ
383,Gabel::N,сянгине,മുൾക്കത്തി
384,Löffel::N,пенч,സ്പൂൺ
385,Messer::N,пеель,കത്തി
386,Nagel::N,эске,ആണി
387,Netz::N,алтыма,വല
388,Haken::N,кечказ,കൊളുത്ത്
389,Griff::N,кедне,കൈപ്പിടി
390,Schloss::N,замок,പൂട്ട്
391,Schloss::N,панжома,പൂട്ട്
392,Bild::N,картина,ചിത്രം
393,Figur::N,рунго,കണക്ക്
394,Puppe::N,няка,പാവ
395,Beutel::N,кескав,ബാഗ്
396,Bündel::N,керькс,കെട്ട്
397,Tasche::N,юдма,ബാഗ്
398,Eimer::N,ведра,ബക്കറ്റ്
399,Deckel::N,велькс,ഉറ
400,Geschirr::N,кедьге,പിഞ്ഞാണം
401,Sack::N,кескав,ചാക്ക്
402,Tasse::N,чакш,കപ്പ്
403,Topf::N,кастрюля,പാത്രം
404,Kessel::N,котёл,കെറ്റ്ല്
405,Essen::N,ярсамо,ആഹാരസമയം
406,Nahrung::N,ярсамопель,ഭക്ഷണം
407,Speise::N,ярсамопель,ഡിഷ്
408,Fleisch::N,сывель,മാംസം
409,Getreide::N,сюро,ചോളം
410,Brei::N,каша,കഞ്ഞി
411,Brot::N,кши,റോട്ടി
412,Scheibe::N,кочом,തുണ്ട്
413,Scheibe::N,сускомо,തുണ്ട്
414,Fett::N,куя,കൊഴുപ്പ്
415,Butter::N,ой,വെണ്ണ
416,Öl::N,ой,എണ്ണ
417,Salz::N,сал,ഉപ്പ്
418,Suppe::N,ям,സൂപ്പ്
419,Honig::N,медь,തേൻ
420,Milch::N,ловсо,പാൽ
421,Tee::N,чай,ചായ
422,Leder::N,киське,തുകൽ
423,Wolle::N,пона,കമ്പിളി
424,Stoff::N,коцт,തുണി
425,Nadel::N,салмукс,സൂചി
426,Faden::N,суре,നൂല്
427,Knopf::N,пов,ബട്ടൺ
428,Knoten::N,сюлмо,കുരുക്ക്
429,Farbe::N,артомапель,പെയിൻറ്
430,Kleidung::N,оршамот,വസ്ത്രങ്ങൾ
431,Hemd::N,панар,ഷർട്ട്
432,Kragen::N,сиве,കുപ്പായക്കഴുത്ത്
433,Ärmel::N,ожа,കുപ്പായക്കൈ
434,Hose::N,понкст,ട്രൌസർ
435,Gürtel::N,каркс,ബെൽറ്റ്
436,Mütze::N,чапка,തൊപ്പി
437,Schuh::N,туфля,ഷൂ
438,Stiefel::N,кем,ബൂട്ട്
439,Ring::N,суркс,മോതിരം
440,Band::N,лента,റിബൺ
441,Kamm::N,сурсеме,ചീപ്പ്
442,Spiegel::N,чавачамо,കണ്ണാടി
443,Riemen::N,кшнань каркс,സ്ട്രാപ്പ്
444,Schnur::N,пикс,ചരട്
445,Leine::N,ведьме,കെട്ടാനുള്ള തോൽവാർ
446,Decke::N,вельтямо,പുതപ്പ്
447,Kissen::N,тодов,തലയിണ
448,Tuch::N,паця,സ്കാർഫ്
449,Handtuch::N,нардамо,തോർത്ത്
450,Kraft::N,вий,ശക്തി
451,Stärke::N,виевчи,ശക്തി
452,Gesundheit::N,шумбрачи,ആരോഗ്യം
453,Krankheit::N,орма,അസുഖം
454,Krankheit::N,сэредема,അസുഖം
455,Schmerz::N,сэредькс,വേദന
456,Wunde::N,керявкс,മുറിവ്
457,Fieber::N,маштыкс,പനി
458,Arznei::N,ормаменькс,മരുന്ന്
459,Brücke::N,сэдь,പാലം
460,Brücke::N,мадамо,പാലം
461,Brunnen::N,лисьма,കിണർ
462,Weide::N,ракшань ванома тарка,മേച്ചൽ
463,Pfad::N,ян,വഴി
464,Weg::N,ки,വഴി
465,Straße::N,ки,റോഡ്
466,Dorf::N,веле,ഗ്രാമം
467,Stadt::N,ош,നഗരം
468,Brief::N,сёрма,കത്ത്
469,Buch::N,книга,പുസ്തകം
470,Buchstabe::N,буква,അക്ഷരം
471,Zeitung::N,газета,വർത്തമാനപത്രം
472,Leben::N,эрямо,ജീവൻ
473,Tod::N,кулома,മരണം
474,Grab::N,калмо,ശവക്കുഴി
475,Kirche::N,церькова,പള്ളി
476,Sünde::N,чумочи,പാപം
477,Gott::N,паз,ദൈവം
478,Arbeiter::N,робочей,ജോലിക്കാരൻ
479,Chef::N,прявт,മേധാവി
480,Meister::N,кол тевень тенця,യജമാനൻ
481,Arzt::N,врач,ഡോക്ടർ
482,Lehrer::N,учитель,അധ്യാപകൻ
483,Lehrer::N,тонавтыця,അധ്യാപകൻ
484,Geld::N,ярмак,പണം
485,Geschäft::N,ладязь тев,ബിസിനസ്
486,Laden::N,лавка,കട
487,Preis::N,питне,വില
488,Ware::N,миевкс,ചരക്ക്
489,Ware::N,рамавкс,ചരക്ക്
490,Nutzen::N,паро,ലാഭം
491,Nutzen::N,лезэ,ലാഭം
492,Reichtum::N,сюпавчи,ധനം
493,Welt::N,мир,ലോകം
494,Welt::N,мастор ланго,ലോകം
495,Land::N,мастор,രാജ്യം
496,Staat::N,государства,രാജ്യം
497,König::N,король,രാജാവ്
498,Macht::N,азорксчи,അധികാരം
499,Grenze::N,буен тешкс,അതിർത്തി
500,Krieg::N,война,യുദ്ധം
501,Feind::N,душман,ശത്രു
502,Gewalt::N,нарьгамо,അക്രമം
503,Kampf::N,тюрема,പോരാട്ടം
504,Bogen[Waffe]::N,нал,വില്ല്
505,Pfeil::N,нал,അമ്പ്
506,Gewehr::N,ружия,തോക്ക്
507,Gewehr::N,винтовка,തോക്ക്
508,Fehler::N,ильведькс,പിശക്
509,Fehler::N,ильведевкс,പിശക്
510,Lüge::N,манчема,കള്ളം
511,Lüge::N,кенгелема,കള്ളം
512,Schaden::N,зыян,കേടുപാട്
513,Unglück::N,зыян,ദൌർഭാഗ്യം
514,Schuld::N,чумочи,തെറ്റ്
515,Alter::N,шка,വയസ്സ്
516,Schluss::N,пе,നിഗമനം
517,Zeit::N,шка,സമയം
518,Zeit::N,пинге,സമയം
519,Tag::N,чи,ദിവസം
520,Morgen::N,валске,പ്രഭാതം
521,Mittag::N,чикуншка,ഉച്ച
522,Abend::N,чокшнэ,സായാഹ്നം
523,Nacht::N,ве,രാത്രി
524,Woche::N,недля,ആഴ്ച
525,Monat::N,ков,മാസം
526,Jahr::N,ие,വർഷം
527,Frühling::N,тундо,വസന്തം
528,Sommer::N,кизэ,വേനൽ
529,Herbst::N,сёксь,ശരത്കാലം
530,Winter::N,теле,ശൈത്യം
531,Januar::N,якшамков,ജനുവരി
532,Februar::N,февраль,ഫെബ്രുവരി
533,März::N,март,മാർച്ച്
534,April::N,апрель,ഏപ്രിൾ മാസം
535,Mai::N,май,മെയ് മാസം
536,Juni::N,июнь,ജൂൺ
537,Juli::N,июль,ജൂലൈ
538,August::N,август,ആഗസ്റ്റ്
539,September::N,сентября,സെപ്തംബർ
540,Oktober::N,октября,ഒക്ടോബർ
541,November::N,ноября,നവംബർ
542,Dezember::N,декабря,ഡിസംബർ
543,Montag::N,пондельник,തിങ്കളാഴ്ച
544,Dienstag::N,овторник,ചൊവ്വ
545,Mittwoch::N,серёда,ബുധനാഴ്ച
546,Donnerstag::N,цетьверьг,വ്യാഴാഴ്ച
547,Freitag::N,пеця,വെള്ളിയാഴ്ച
548,Samstag::N,субута,ശനിയാഴ്ച
549,Samstag::N,шлямочи,ശനിയാഴ്ച
550,Sonntag::N,недлячи,ഞായറാഴ്ച
551,groß::A,ине,വലിയ
552,groß::A,покш,വലിയ
553,klein::A,вишка,ചെറിയ
554,lang::A,кувака,നീണ്ട
555,kurz::A,нурькине,ഹ്രസ്വമായ
556,breit::A,келей,വിശാലമായ
557,schmal::A,теине,ഇടുങ്ങിയ
558,dicht::A,тусто,നിബിഡമായ
559,dick[Gegenstand]::A,эчке,തടിച്ച
560,dünn::A,човине,മെലിഞ്ഞ
561,fein::A,човине,നേർത്ത
562,fest::A,кеме,ഉറപ്പുള്ള
563,flach::A,лапужа,പരന്ന
564,glatt::A,валаня,മിനുസമുള്ള
565,hart::A,калгодо,കട്ടിയുള്ള
566,weich::A,чевте,മൃദുവായ
567,rund::A,кеверь,വട്ടത്തിലുള്ള
568,spitz::A,пшти,മുനയുള്ള
569,scharf::A,пшти,മൂർച്ചയുള്ള
570,stumpf::A,ношка,തുറന്നടിക്കുന്ന
571,schwer::A,стака,ഭാരമുള്ള
572,schön::A,мазый,മനോഹരമായ
573,heiß::A,пси,ചൂടുള്ള
574,warm::A,лембе,ചൂടുള്ള
575,kalt::A,якшамо,തണുത്ത
576,kühl::A,экше,തണുപ്പുള്ള
577,frisch::A,свежа,ശുദ്ധമായ
578,feucht::A,летьке,ഈറനുള്ള
579,nass::A,начко,നനഞ്ഞ
580,trocken::A,коське,വരണ്ട
581,voll::A,пешксе,നിറയെ
582,leer::A,чаво,ഒഴിഞ്ഞ
583,offen::A,панжадо,തുറന്ന
584,offen::A,виде,തുറന്ന
585,geschlossen::A,пекстазь,അടച്ച
586,geschlossen::A,сёлгозь,അടച്ച
587,sauber::A,ванькс,വൃത്തിയുള്ള
588,schmutzig::A,ливезев,അഴുക്കുനിറഞ്ഞ
589,roh::A,верек,അസംസ്കൃതമായ
590,reif::A,кенерезь,പഴുത്ത
591,lecker::A,тантей,രുചികരമായ
592,süß::A,ламбамо,മധുരമുള്ള
593,bitter::A,сэпей,കടുത്ത
594,sauer::A,чапамо,പുളിപ്പുള്ള
595,hell::A,валдо,ജ്വലിക്കുന്ന
596,dunkel::A,чопода,ഇരുണ്ട
597,schwarz::A,раужо,കറുത്ത
598,weiß::A,ашо,വെളുത്ത
599,rot::A,якстере,ചുവന്ന
600,gelb::A,ожо,മഞ്ഞനിറമായ
601,blau::A,сэнь,നീലനിറമുള്ള
602,grün::A,пиже,പച്ചനിറമുള്ള
603,grau::A,шержев,ചാരനിറത്തിലുള്ള
604,bunt::A,сёрмав,വർണ്ണശബളമായ
605,billig::A,аволь питней,വിലകുറഞ്ഞ
606,teuer::A,питней,ചെലവേറിയ
607,wertvoll::A,питней,വിലപിടിപ്പുള്ള
608,blind::A,сокор,അന്ധനായ
609,taub::A,амариця,കേൾവിക്കുറവുള്ള
610,kräftig::A,пек виев,ശക്തിയുള്ള
611,stark::A,виев,ബലമുള്ള
612,schwach::A,лавшо,ക്ഷീണിച്ച
613,fett::A,куя,കൊഴുപ്പുള്ള
614,schlank::A,виде ронга,മെലിഞ്ഞ
615,hübsch::A,мазый,മനോഹരമായ
616,böse::A,кежей,പാപിയായ
617,dumm::A,чавола,വിവരംകെട്ട
618,dumm::A,превтеме,വിവരംകെട്ട
619,faul::A,нузякс,അലസനായ
620,fleißig::A,мелень путыця,അദ്ധ്വാനശീലമുള്ള
621,geizig::A,скупой,പിശുക്കനായ
622,klug::A,превей,ബുദ്ധിസാമർഥ്യമുള്ള
623,geschickt::A,маштозь теезь,പ്രതിഭാശാലി
624,lieb::A,вадря,പ്രിയപ്പെട്ട
625,lustig::A,весёла,ആനന്ദകരമായ
626,sanft::A,сэтьме,സൌമ്യമായ
627,hungrig::A,вачо,വിശപ്പുള്ള
628,krank::A,сэредиця,അസുഖമുള്ള
629,nackt::A,штапо,നഡമായ
630,traurig::A,нусманя,വിഷമമുള്ള
631,lebendig::A,эриця,ഉപജീവനം
632,gut::A,паро,നല്ല
633,schlecht::A,берянь,മോശമായ
634,richtig::A,виде,ശരിയായ
635,schlimm::A,берянь,വൃത്തികെട്ട
636,wahr::A,алкуксонь,ശരിയായ
637,alt::A,ташто,പഴയ
638,neu::A,од,പുതിയ
