,Concept_ID,it,et
176,Hund::N,cane,koer
177,Katze::N,gatta,kass
178,Bär::N,orso,karu
179,Eichhörnchen::N,scoiàttolo,orav
180,Elch::N,alce,põder
181,Fuchs::N,volpe,rebane
182,Hase::N,lepre,jänes
183,Maus::N,topo,hiir
184,Maus::N,sorcio,hiir
185,Wolf::N,lupo,hunt
186,Vogel::N,uccello,lind
187,Schwarm::N,stormo,parv
188,Huhn::N,gallina,kana
189,Hahn::N,gallo,kukk
190,Gans::N,oca,hani
191,Adler::N,àquila,kotkas
192,Ente::N,ànatra,part
193,Eule::N,gufo,kakk
194,Eule::N,gufo,öökull
195,Eule::N,civetta,kakk
196,Eule::N,civetta,öökull
197,Kranich::N,gru,kurg
198,Krähe::N,cornacchia,vares
199,Kuckuck::N,cuccù,kägu
200,Kuckuck::N,cùculo,kägu
201,Schwan::N,cigno,luik
202,Fisch::N,pesce,kala
203,Barsch::N,pèrsico,ahven
204,Hecht::N,luccio,haug
205,Schlange[Tier]::N,serpente,uss
206,Wurm::N,baco,uss
207,Wurm::N,baco,vagel
208,Wurm::N,verme,uss
209,Wurm::N,verme,vagel
210,Spinne::N,ragno,ämblik
211,Ameise::N,formica,sipelgas
212,Laus::N,pidocchio,täi
213,Mücke::N,zanzara,sääsk
214,Fliege::N,mosca,kärbes
215,Schmetterling::N,farfalla,liblikas
216,Beere::N,bacca,mari
217,Apfel::N,mela,õun
218,Pilz::N,fungo,seen
219,Zwiebel::N,cipolla,sibul
220,Saat::N,semente,seeme
221,Korn::N,grano,iva
222,Korn::N,grano,tera
223,Heu::N,fieno,hein
224,Schale::N,buccia,koor
225,Grube::N,cava,kaevand
226,Grube::N,fossa,kaevand
227,Falle::N,tràppola,lõks
228,Falle::N,tràppola,püünis
229,Schlinge::N,laccio,aas
230,Spur::N,traccia,jälg
231,Asche::N,cenere,tuhk
232,Dreck::N,fango,saast
233,Dreck::N,fango,mustus
234,Eisen::N,ferro,raud
235,Gold::N,oro,kuld
236,Silber::N,argento,hõbe
237,Kohle::N,carbone,süsi
238,Glas::N,vetro,klaas
239,Lehm::N,argilla,savi
240,Sand::N,arena,liiv
241,Sand::N,sabbia,liiv
242,Mensch::N,uomo,inimene
243,Mensch::N,èssere umano,inimene
244,Mann::N,uomo,mees
245,Frau::N,donna,naine
246,Kind::N,bambino,laps
247,Junge::N,ragazzo,poiss
248,Mädchen::N,ragazza,tüdruk
249,Familie::N,famiglia,perekond
250,Großvater::N,nonno,vanaisa
251,Großmutter::N,nonna,vanaema
252,Eltern::N,genitori,vanemad
253,Vater::N,padre,isa
254,Mutter::N,madre,ema
255,Sohn::N,figlio,poeg
256,Tochter::N,figlia,tütar
257,Bruder::N,fratello,vend
258,Schwester::N,sorella,õde
259,Onkel::N,zio,onu
260,Tante::N,zia,tädi
261,Ehemann::N,marito,mees
262,Ehemann::N,marito,abikaasa
263,Ehefrau::N,moglie,naine
264,Ehefrau::N,moglie,abikaasa
265,Freude::N,gioia,rõõm
266,Freude::N,piacere,rõõm
267,Gelächter::N,risata,naer
268,Glück::N,felicità,õnn
269,Kummer::N,afflizione,mure
270,Kummer::N,afflizione,kurbus
271,Wunsch::N,desiderio,soov
272,Lust::N,voglia,himu
273,Geist::N,mente,vaim
274,Geist::N,spìrito,vaim
275,Gedanke::N,idea,mõte
276,Gedanke::N,pensiero,mõte
277,Gedächtnis::N,memoria,mälu
278,Verstand::N,intelletto,aru
279,Verstand::N,intelletto,mõistus
280,Sinn::N,senso,tähendus
281,Sinn::N,significato,tähendus
282,Grund::N,causa,põhjus
283,Grund::N,motivo,põhjus
284,Grund::N,ragione,põhjus
285,Wahrheit::N,verità,tõde
286,Gespräch::N,discorso,kõne
287,Gespräch::N,discorso,vestlus
288,Gespräch::N,conversazione,kõne
289,Gespräch::N,conversazione,vestlus
290,Märchen::N,fiaba,muinasjutt
291,Märchen::N,fàvola,muinasjutt
292,Erzählung::N,racconto,jutustus
293,Erzählung::N,narrazione,jutustus
294,Nachricht::N,messaggio,teade
295,Neuigkeit::N,notizia,uudis
296,Name::N,nome,nimi
297,Rätsel::N,indovinello,mõistatus
298,Rede::N,discorso,kõne
299,Sprache::N,lingua,keel
300,Sprache::N,linguaggio,keel
301,Stimme::N,voce,hääl
302,Wort::N,parola,sõna
303,Zeichen::N,segno,märk
304,Zeichen::N,segnale,märk
305,Ruf::N,chiamata,hüüe
306,Lärm::N,chiasso,müra
307,Lärm::N,strèpito,müra
308,Laut::N,suono,hääl
309,Ton::N,tono,toon
310,Lied::N,canto,laul
311,Lied::N,canzone,laul
312,Ruhe::N,calma,rahu
313,Ruhe::N,calma,vaikus
314,Ruhe::N,tranquillità,rahu
315,Ruhe::N,tranquillità,vaikus
316,Leute::N,gente,inimesed
317,Volk::N,pòpolo,rahvas
318,Arbeit::N,lavoro,töö
319,Gast::N,òspite,külaline
320,Gast::N,invitato,külaline
321,Geschenk::N,regalo,kingitus
322,Spiel::N,gioco,mäng
323,Gesellschaft::N,compagnìa,selts
324,Hilfe::N,aiuto,abi
325,Hilfe::N,soccorso,abi
326,Freund::N,amico,sõber
327,Kamerad::N,camerata,sõber
328,Angelegenheit::N,affare,asi
329,Angelegenheit::N,faccenda,asi
330,Anzahl::N,nùmero,arv
331,Anzahl::N,nùmero,hulk
332,Anzahl::N,quantità,arv
333,Anzahl::N,quantità,hulk
334,Art::N,tipo,liik
335,Art::N,specie,liik
336,Stück::N,pezzo,tükk
337,Teil::N,parte,osa
338,Hälfte::N,metà,pool
339,Kreis::N,cìrcolo,ring
340,Kreuz::N,croce,rist
341,Linie::N,lìnea,joon
342,Strich::N,tratto,joon
343,Abstand::N,distanza,vahe
344,Entfernung::N,distanza,kaugus
345,Entfernung::N,distanza,vahemaa
346,Entfernung::N,lontananza,kaugus
347,Entfernung::N,lontananza,vahemaa
348,Gegend::N,regione,ümbrus
349,Platz::N,posto,ruum
350,Platz::N,spazio,ruum
351,Ort::N,luogo,paik
352,Ort::N,località,paik
353,Seite::N,lato,pool
354,Seite::N,parte,pool
355,Mitte::N,mezzo,keskpaik
356,Mitte::N,centro,keskpaik
357,Gegenstand::N,oggetto,ese
358,Sache::N,cosa,ese
359,Rand::N,orlo,äär
360,Rand::N,orlo,serv
361,Rand::N,bordo,äär
362,Rand::N,bordo,serv
363,Kante::N,spìgolo,kant
364,Ecke::N,canto,nurk
365,Spitze::N,punta,teravik
366,Ende::N,capo,ots
367,Ende::N,capo,jupp
368,Ende::N,estremità,ots
369,Ende::N,estremità,jupp
370,Loch::N,buco,auk
371,Winkel::N,àngolo,nurk
372,Muster::N,disegno,muster
373,Größe::N,taglia,suurus
374,Größe::N,grandezza,suurus
375,Länge::N,lunghezza,pikkus
376,Höhe::N,altezza,kõrgus
377,Gewicht::N,peso,kaal
378,Gewicht::N,peso,raskus
379,Menge::N,quantità,arv
380,Menge::N,quantità,hulk
381,Haufen::N,cùmulo,hunnik
382,Haufen::N,mucchio,hunnik
383,Reihe::N,fila,rivi
384,Boot::N,barca,paat
385,Boot::N,battello,paat
386,Ruder::N,remo,aer
387,Schlitten::N,slitta,saan
388,Ski::N,sci,suusk
389,Lagerfeuer::N,falò,lõke
390,Lagerfeuer::N,fuoco di bivacco,lõke
391,Last::N,càrico,koorem
392,Gang::N,andata,käik
393,Schritt::N,passo,samm
394,Norden::N,nord,põhi
395,Norden::N,settentrione,põhi
396,Süden::N,sud,lõuna
397,Süden::N,meridione,lõuna
398,Westen::N,òvest,lääs
399,Westen::N,occidente,lääs
400,Osten::N,est,ida
401,Osten::N,oriente,ida
402,Holz::N,legno,puu
403,Brett::N,asse,saelaud
404,Brett::N,tàvola,saelaud
405,Platte::N,lastra,plaat
406,Platte::N,piastra,plaat
407,Stütze::N,supporto,tugi
408,Stange::N,sbarra,latt
409,Stange::N,sbarra,teivas
410,Stange::N,pèrtica,latt
411,Stange::N,pèrtica,teivas
412,Stock::N,verga,kepp
413,Stock::N,bastone,kepp
414,Stock::N,bacchetta,kepp
415,Stab::N,asta,varras
416,Rohr::N,tubo,toru
417,Haus::N,casa,maja
418,Heim::N,casa,kodu
419,Ofen::N,stufa,ahi
420,Fußboden::N,pavimento,põrand
421,Tisch::N,tàvolo,laud
422,Stuhl::N,sedia,tool
423,Wiege::N,culla,häll
424,Wiege::N,culla,kätki
425,Bett::N,letto,voodi
426,Regal::N,scaffale,riiul
427,Kiste::N,cassa,kast
428,Fenster::N,finestra,aken
429,Tür::N,porta,uks
430,Tor::N,portone,värav
431,Zaun::N,recinto,aed
432,Zaun::N,recinto,tara
433,Dach::N,tetto,katus
434,Leiter::N,scala,redel
435,Leiter::N,scala a pioli,redel
436,Besen::N,scopa,luud
437,Spaten::N,vanga,labidas
438,Schaufel::N,pala,kühvel
439,Gabel::N,forchetta,kahvel
440,Löffel::N,cucchiaio,lusikas
441,Messer::N,coltello,nuga
442,Nagel::N,chiodo,nael
443,Netz::N,rete,võrk
444,Haken::N,uncino,haak
445,Haken::N,uncino,konks
446,Griff::N,mànico,sang
447,Griff::N,mànico,käepide
448,Griff::N,maniglia,sang
449,Griff::N,maniglia,käepide
450,Schloss::N,serratura,lukk
451,Bild::N,quadro,pilt
452,Bild::N,immàgine,pilt
453,Figur::N,figura,kuju
454,Figur::N,figura,kujund
455,Puppe::N,bàmbola,nukk
456,Beutel::N,borsa,paun
457,Beutel::N,sacchetto,paun
458,Bündel::N,fascio,kimp
459,Bündel::N,fagotto,kimp
460,Tasche::N,borsa,kott
461,Eimer::N,secchio,pang
462,Eimer::N,secchio,ämber
463,Deckel::N,coperchio,kaas
464,Geschirr::N,stoviglie,nõud
465,Sack::N,sacco,kott
466,Tasse::N,tazza,tass
467,Topf::N,pèntola,pada
468,Kessel::N,paiolo,pada
469,Kessel::N,calderone,pada
470,Essen::N,pasto,söök
471,Essen::N,mangiare,söök
472,Nahrung::N,cibo,toit
473,Nahrung::N,alimento,toit
474,Speise::N,piatto,roog
475,Fleisch::N,carne,liha
476,Getreide::N,cereali,teravili
477,Brei::N,purè,puder
478,Brei::N,pappa,puder
479,Brot::N,pane,sai
480,Brot::N,pane,leib
481,Scheibe::N,fetta,viil
482,Scheibe::N,fetta,viilukas
483,Scheibe::N,trancia,viil
484,Scheibe::N,trancia,viilukas
485,Fett::N,grasso,rasv
486,Butter::N,burro,või
487,Öl::N,olio,õli
488,Salz::N,sale,sool
489,Suppe::N,zuppa,supp
490,Suppe::N,minestra,supp
491,Honig::N,miele,mesi
492,Milch::N,latte,piim
493,Tee::N,tè,tee
494,Leder::N,pelle,nahk
495,Wolle::N,lana,vill
496,Stoff::N,panno,kangas
497,Stoff::N,tessuto,kangas
498,Nadel::N,ago,nõel
499,Faden::N,filo,niit
500,Knopf::N,bottone,nööp
501,Knoten::N,nodo,sõlm
502,Farbe::N,pittura,värv
503,Kleidung::N,vestiti,riided
504,Kleidung::N,vestiti,riietus
505,Kleidung::N,vestiario,riided
506,Kleidung::N,vestiario,riietus
507,Hemd::N,camicia,särk
508,Kragen::N,bàvero,krae
509,Kragen::N,colletto,krae
510,Ärmel::N,mànica,varrukas
511,Hose::N,calzoni,püksid
512,Gürtel::N,cintura,vöö
513,Mütze::N,berretto,müts
514,Schuh::N,scarpa,king
515,Stiefel::N,stivale,saabas
516,Ring::N,anello,sõrmus
517,Band::N,nastro,lint
518,Band::N,fettuccia,lint
519,Kamm::N,pèttine,kamm
520,Spiegel::N,specchio,peegel
521,Riemen::N,cinghia,rihm
522,Schnur::N,corda,nöör
523,Leine::N,guinzaglio,jalutusrihm
524,Decke::N,coperta,tekk
525,Kissen::N,cuscino,padi
526,Kissen::N,guanciale,padi
527,Tuch::N,fazzoletto,kalev
528,Handtuch::N,asciugamano,käterätik
529,Kraft::N,forza,jõud
530,Stärke::N,forza,tugevus
531,Stärke::N,vigore,tugevus
532,Stärke::N,fortezza,tugevus
533,Gesundheit::N,salute,tervis
534,Krankheit::N,malattìa,haigus
535,Schmerz::N,dolore,valu
536,Wunde::N,piaga,haav
537,Wunde::N,ferita,haav
538,Fieber::N,febbre,palavik
539,Arznei::N,fàrmaco,ravim
540,Arznei::N,medicina,ravim
541,Brücke::N,ponte,sild
542,Brunnen::N,pozzo,kaev
543,Weide::N,pàscolo,karjamaa
544,Pfad::N,sentiero,rada
545,Weg::N,via,tee
546,Weg::N,cammino,tee
547,Straße::N,strada,tee
548,Dorf::N,paese,küla
549,Dorf::N,villaggio,küla
550,Stadt::N,città,linn
551,Brief::N,lèttera,kiri
552,Buch::N,libro,raamat
553,Buchstabe::N,lèttera,täht
554,Zeitung::N,giornale,ajaleht
555,Leben::N,vita,elu
556,Tod::N,morte,surm
557,Grab::N,tomba,haud
558,Grab::N,sepolcro,haud
559,Kirche::N,chiesa,kirik
560,Sünde::N,peccato,patt
561,Gott::N,dio,jumal
562,Arbeiter::N,operaio,tööline
563,Arbeiter::N,lavoratore,tööline
564,Chef::N,capo,ülemus
565,Chef::N,capo,juhataja
566,Chef::N,padrone,ülemus
567,Chef::N,padrone,juhataja
568,Meister::N,mastro,meister
569,Meister::N,maestro,meister
570,Arzt::N,mèdico,arst
571,Arzt::N,dottore,arst
572,Lehrer::N,professore,õpetaja
573,Geld::N,soldi,raha
574,Geld::N,denaro,raha
575,Geschäft::N,affare,äri
576,Geschäft::N,negozio,äri
577,Laden::N,negozio,pood
578,Laden::N,negozio,kauplus
579,Preis::N,prezzo,hind
580,Ware::N,merce,kaup
581,Nutzen::N,ùtile,tulu
582,Nutzen::N,ùtile,kasulikkus
583,Nutzen::N,profitto,tulu
584,Nutzen::N,profitto,kasulikkus
585,Reichtum::N,ricchezza,rikkus
586,Welt::N,mondo,maailm
587,Land::N,paese,maa
588,Staat::N,Stato,riik
589,König::N,re,kuningas
590,Macht::N,potere,võim
591,Grenze::N,confine,piir
592,Grenze::N,frontiera,piir
593,Krieg::N,guerra,sõda
594,Feind::N,nemico,vaenlane
595,Gewalt::N,violenza,väevõim
596,Kampf::N,lotta,võitlus
597,Bogen[Waffe]::N,arco,vibu
598,Pfeil::N,freccia,nool
599,Gewehr::N,fucile,püss
600,Fehler::N,errore,viga
601,Fehler::N,sbaglio,viga
602,Lüge::N,bugìa,vale
603,Lüge::N,menzogna,vale
604,Schaden::N,danno,kahju
605,Unglück::N,sfortuna,häda
606,Unglück::N,sfortuna,õnnetus
607,Schuld::N,colpa,süü
608,Alter::N,età,iga
609,Schluss::N,fine,lõpp
610,Zeit::N,tempo,aeg
611,Tag::N,giorno,päev
612,Tag::N,giornata,päev
613,Morgen::N,mattina,hommik
614,Mittag::N,mezzogiorno,lõuna
615,Mittag::N,mezzogiorno,keskpäev
616,Abend::N,sera,õhtu
617,Abend::N,serata,õhtu
618,Nacht::N,notte,öö
619,Woche::N,settimana,nädal
620,Monat::N,mese,kuu
621,Jahr::N,anno,aasta
622,Frühling::N,primavera,kevad
623,Sommer::N,estate,suvi
624,Herbst::N,autunno,sügis
625,Winter::N,inverno,talv
626,Januar::N,gennaio,jaanuar
627,Februar::N,febbraio,veebruar
628,März::N,marzo,märts
629,April::N,aprile,aprill
630,Mai::N,maggio,mai
631,Juni::N,giugno,juuni
632,Juli::N,luglio,juuli
633,August::N,agosto,august
634,September::N,settembre,september
635,Oktober::N,ottobre,oktoober
636,November::N,novembre,november
637,Dezember::N,dicembre,detsember
638,Montag::N,lunedì,esmaspäev
639,Dienstag::N,martedì,teisipäev
640,Mittwoch::N,mercoledì,kesknädal
641,Donnerstag::N,giovedì,neljapäev
642,Freitag::N,venerdì,reede
643,Samstag::N,sàbato,laupäev
644,Sonntag::N,domenica,pühapäev
645,groß::A,grande,suur
646,klein::A,pìccolo,väike
647,klein::A,pìccolo,pisike
648,lang::A,lungo,pikk
649,kurz::A,corto,lühike
650,breit::A,largo,lai
651,schmal::A,stretto,kitsas
652,dicht::A,denso,tihe
653,dick[Gegenstand]::A,spesso,jäme
654,dünn::A,sottile,õhuke
655,dünn::A,sottile,peenike
656,fein::A,fine,peen
657,fein::A,fine,õhuke
658,fein::A,delicato,peen
659,fein::A,delicato,õhuke
660,fest::A,sodo,püsiv
661,fest::A,sodo,kindel
662,fest::A,fisso,püsiv
663,fest::A,fisso,kindel
664,flach::A,piano,lame
665,flach::A,piano,tasane
666,flach::A,piatto,lame
667,flach::A,piatto,tasane
668,glatt::A,liscio,sile
669,hart::A,duro,kõva
670,weich::A,molle,pehme
671,rund::A,rotondo,ümar
672,spitz::A,aguzzo,torkav
673,spitz::A,appuntito,torkav
674,scharf::A,affilato,terav
675,scharf::A,tagliente,terav
676,stumpf::A,smussato,nüri
677,schwer::A,pesante,raske
678,schön::A,bello,kena
679,heiß::A,caldo,kuum
680,heiß::A,caldo,palav
681,heiß::A,bollente,kuum
682,heiß::A,bollente,palav
683,warm::A,caldo,soe
684,kalt::A,freddo,külm
685,kühl::A,fresco,jahe
686,frisch::A,fresco,värske
687,feucht::A,ùmido,niiske
688,nass::A,bagnato,märg
689,trocken::A,secco,kuiv
690,voll::A,pieno,täis
691,leer::A,vuoto,tühi
692,offen::A,aperto,avatud
693,offen::A,aperto,lahtine
694,geschlossen::A,chiuso,suletud
695,sauber::A,netto,puhas
696,sauber::A,pulito,puhas
697,schmutzig::A,sporco,räpane
698,schmutzig::A,sporco,määrdunud
699,schmutzig::A,sùdicio,räpane
700,schmutzig::A,sùdicio,määrdunud
701,roh::A,crudo,toores
702,reif::A,maturo,küps
703,lecker::A,ghiotto,hõrk
704,lecker::A,ghiotto,maitsev
705,lecker::A,squisito,hõrk
706,lecker::A,squisito,maitsev
707,süß::A,dolce,magus
708,bitter::A,amaro,mõru
709,sauer::A,aspro,hapu
710,sauer::A,acerbo,hapu
711,hell::A,chiaro,hele
712,dunkel::A,buio,pime
713,dunkel::A,oscuro,pime
714,schwarz::A,nero,must
715,weiß::A,bianco,valge
716,rot::A,rosso,punane
717,gelb::A,giallo,kollane
718,blau::A,blu,sinine
719,blau::A,azzurro,sinine
720,grün::A,verde,roheline
721,grau::A,grigio,hall
722,bunt::A,variopinto,kirju
723,bunt::A,variopinto,värviline
724,billig::A,a buon prezzo,odav
725,billig::A,a buon mercato,odav
726,teuer::A,caro,kallis
727,wertvoll::A,prezioso,väärtuslik
728,blind::A,cieco,pime
729,taub::A,sordo,kurt
730,kräftig::A,forte,jõuline
731,kräftig::A,robusto,jõuline
732,stark::A,forte,tugev
733,stark::A,vigoroso,tugev
734,schwach::A,dèbole,nõrk
735,schwach::A,dèbole,jõuetu
736,fett::A,grasso,rasvane
737,schlank::A,snello,sale
738,schlank::A,slanciato,sale
739,hübsch::A,bello,kena
740,hübsch::A,carino,kena
741,böse::A,cattivo,tige
742,dumm::A,stùpido,juhm
743,dumm::A,stùpido,rumal
744,faul::A,pigro,laisk
745,fleißig::A,diligente,virk
746,fleißig::A,diligente,hoolas
747,geizig::A,avaro,ihne
748,klug::A,intelligente,tark
749,klug::A,intelligente,arukas
750,klug::A,intelligente,mõistlik
751,geschickt::A,àbile,osav
752,lieb::A,caro,armas
753,lustig::A,gaio,lõbus
754,lustig::A,allegro,lõbus
755,sanft::A,dolce,õrn
756,hungrig::A,affamato,näljane
757,krank::A,malato,haige
758,krank::A,infermo,haige
759,nackt::A,nudo,alasti
760,traurig::A,triste,kurb
761,lebendig::A,vivo,elus
762,gut::A,buono,hea
763,schlecht::A,cattivo,halb
764,richtig::A,giusto,õige
765,schlimm::A,grave,paha
766,wahr::A,vero,tõene
767,alt::A,vecchio,vana
768,neu::A,nuovo,uus
769,ehemalig::A,vecchio,endine
770,ehemalig::A,d'una_volta,endine
771,alt[Lebewesen]::A,anziano,vana
772,jung::A,giovane,noor
773,arm::A,pòvero,vaene
774,reich::A,ricco,rikas
775,bekannt::A,noto,teada
776,bekannt::A,noto,tuttav
777,bekannt::A,conosciuto,teada
778,bekannt::A,conosciuto,tuttav
779,berühmt::A,famoso,tuntud
780,berühmt::A,cèlebre,tuntud
781,fremd::A,estràneo,võõras
782,fremd::A,straniero,võõras
783,verschieden::A,diverso,erinev
784,verschieden::A,differente,erinev
785,nah::A,vicino,lähedane
786,nah::A,propinquo,lähedane
787,fern::A,lontano,kauge
788,linker::A,sinistro,vasak
789,rechter::A,destro,parem
790,anderer::A,altro,muu
791,anderer::A,altro,teine
792,erster::A,primo,esimene
793,zweiter::A,secondo,teine
794,dritter::A,terzo,kolmas
795,letzter::A,ùltimo,viimane
796,allein::ADV,solo,üksi
797,allein::ADV,da solo,üksi
798,auf einmal::ADV,insieme,korraga
799,auf einmal::ADV,insieme,ühekorraga
800,zusammen::ADV,insieme,koos
801,zusammen::ADV,insieme,üheskoos
802,lange::ADV,a lungo,kaua
803,plötzlich::ADV,all'improvviso,äkki
804,plötzlich::ADV,all'improvviso,järsku
805,sofort::ADV,sùbito,kohe
806,sofort::ADV,all'istante,kohe
807,später::ADV,più tardi,hiljem
808,jetzt::ADV,ora,nüüd
809,jetzt::ADV,adesso,nüüd
810,heute::ADV,oggi,täna
811,morgen::ADV,domani,homme
812,bald::ADV,presto,pea
813,bald::ADV,presto,varsti
814,bald::ADV,tra poco,pea
815,bald::ADV,tra poco,varsti
816,dann::ADV,allora,siis
817,gestern::ADV,ieri,eile
818,einst::ADV,prima,vanasti
819,einst::ADV,un tempo,vanasti
820,damals::ADV,allora,tookord
821,danach::ADV,poi,seejärel
822,danach::ADV,dopo,seejärel
823,vorher::ADV,prima,enne
824,zuerst::ADV,prima,enne
825,zuerst::ADV,prima,esmalt
826,zuerst::ADV,dapprima,enne
827,zuerst::ADV,dapprima,esmalt
828,einmal::ADV,una volta,kord
829,einmal::ADV,una volta,üks kord
830,manchmal::ADV,talvolta,mõnikord
831,manchmal::ADV,qualche volta,mõnikord
832,oft::ADV,spesso,tihti
833,oft::ADV,spesso,sageli
834,immer::ADV,sempre,ikka
835,immer::ADV,sempre,alati
836,niemals::ADV,non mai,mitte kunagi
