,Concept_ID,te,es
131,Tanne::N,దేవదారుచెట్టు,abeto
132,Horn::N,కొమ్ము,asta
133,Horn::N,కొమ్ము,cuerno
134,Feder::N,ఈక,pluma
135,Fell::N,తోలు,piel
136,Flügel::N,ఱెక్క,ala
137,Klaue::N,వంకరగోరు,garra
138,Kralle::N,వంకరగోరు,uña
139,Kralle::N,వంకరగోరు,garra
140,Schwanz::N,తోక,cola
141,Ei::N,గ్రుడ్డు,huevo
142,Nest::N,పక్షిగూడు,nido
143,Bau::N,గుహ,madriguera
144,Tier::N,జంతువు,animal
145,Herde::N,మంద,rebaño
146,Kuh::N,ఆవు,vaca
147,Bulle::N,గిత్త,toro
148,Pferd::N,గుఱ్ఱము,caballo
149,Schaf::N,గొఱ్ఱె,oveja
150,Schwein::N,పంది,cerdo
151,Hund::N,కుక్క,perro
152,Katze::N,పిల్లి,gato
153,Bär::N,ఎలుగుబంటి,oso
154,Eichhörnchen::N,ఉడుత,ardilla
155,Elch::N,కణంజు,alce
156,Fuchs::N,గుంటనక్క,zorro
157,Hase::N,కుందేలు,liebre
158,Maus::N,చిట్టెలుక,ratón
159,Wolf::N,తోడేలు,lobo
160,Vogel::N,పక్షి,ave
161,Vogel::N,పక్షి,pájaro
162,Schwarm::N,గుంపు,bandada
163,Huhn::N,కోడిపిల్ల,gallina
164,Hahn::N,కోడివుంజు,gallo
165,Gans::N,ఆడుబాతు,oca
166,Gans::N,ఆడుబాతు,ganso
167,Adler::N,గ్రద్ద,águila
168,Ente::N,పాట్టిబాతు,pato
169,Eule::N,గ్రుడ్లగూబ,lechuza
170,Kranich::N,కొంగ,grulla
171,Krähe::N,కాకి,corneja
172,Kuckuck::N,కోయల,cuco
173,Schwan::N,హంస,cisne
174,Fisch::N,చేప,pez
175,Barsch::N,ఒకచేఁప,perca
176,Hecht::N,గండుమీను,lucio
177,Schlange[Tier]::N,పాము,serpiente
178,Wurm::N,పురుగు,gusano
179,Spinne::N,సాలె పురుగు,araña
180,Ameise::N,చీమ,hormiga
181,Laus::N,పేను,piojo
182,Mücke::N,చీకటీగ,mosquito
183,Fliege::N,ఈగ,mosca
184,Schmetterling::N,సీతాకోకచిలుక,mariposa
185,Beere::N,కాయ,baya
186,Apfel::N,ఆపిల్ పండు,manzana
187,Pilz::N,కుక్కగొడుగు,seta
188,Pilz::N,కుక్కగొడుగు,hongo
189,Zwiebel::N,నీరుల్లి,cebolla
190,Saat::N,విత్తనము,siembra
191,Korn::N,గింజ,grano
192,Heu::N,ఎండుగడ్డి,heno
193,Schale::N,పొట్టు,cáscara
194,Grube::N,గొయ్యి,foso
195,Falle::N,బోను,trampa
196,Schlinge::N,ఉరి,lazo
197,Spur::N,జాడ,huella
198,Asche::N,బూడిద,ceniza
199,Dreck::N,ముఱికి,suciedad
200,Eisen::N,ఇనుము,hierro
201,Gold::N,బంగారము,oro
202,Silber::N,వెండి,plata
203,Kohle::N,నేలబొగ్గు,carbón
204,Glas::N,గాజు,vidrio
205,Glas::N,గాజు,cristal
206,Lehm::N,బంకమన్ను,barro
207,Sand::N,ఇసుక,arena
208,Mensch::N,నరుడు,hombre
209,Mensch::N,నరుడు,ser humano
210,Mann::N,పురుమడు,hombre
211,Frau::N,ఆడుది,mujer
212,Kind::N,బిడ్డ,niño
213,Junge::N,బాలుడు,chico
214,Junge::N,బాలుడు,muchacho
215,Mädchen::N,బాలిక,chica
216,Mädchen::N,బాలిక,muchacha
217,Familie::N,కుటుంబము,familia
218,Großvater::N,తాత,abuelo
219,Großmutter::N,అయ్యమ్మ,abuela
220,Eltern::N,తల్లితండ్రులు,padres
221,Vater::N,తండ్రి,padre
222,Mutter::N,తల్లి,madre
223,Sohn::N,కొడుకు,hijo
224,Tochter::N,కూతురు,hija
225,Bruder::N,పోదరుడు,hermano
226,Schwester::N,సోదరి,hermana
227,Onkel::N,మేనమామ,tío
228,Tante::N,మేనత్త,tía
229,Tante::N,పినతల్లి,tía
230,Ehemann::N,భర్త,esposo
231,Ehefrau::N,భార్య,esposa
232,Freude::N,సంతోషము,placer
233,Freude::N,సంతోషము,alegría
234,Gelächter::N,నవ్వు,risa
235,Gelächter::N,నవ్వు,carcajada
236,Glück::N,సంతోషము,felicidad
237,Kummer::N,దుఃఖము,pena
238,Wunsch::N,కోరిక,deseo
239,Lust::N,కోరిక,ganas
240,Geist::N,ఆత్మ,mente
241,Geist::N,ఆత్మ,espíritu
242,Gedanke::N,ఆలోచన,idea
243,Gedanke::N,ఆలోచన,pensamiento
244,Gedächtnis::N,జ్ఞాపకము,memoria
245,Verstand::N,మనస్సు,razón
246,Verstand::N,మనస్సు,entendimiento
247,Sinn::N,అర్థము,sentido
248,Sinn::N,అర్థము,significado
249,Grund::N,కారణము,causa
250,Wahrheit::N,సత్యము,verdad
251,Gespräch::N,పంభాషణ,conversación
252,Märchen::N,అద్భుతకథ,cuento
253,Erzählung::N,కథ,cuento
254,Erzählung::N,కథ,narración
255,Nachricht::N,వార్త,mensaje
256,Neuigkeit::N,వార్త,noticia
257,Name::N,పేరు,nombre
258,Rätsel::N,చిక్కు,acertijo
259,Rätsel::N,చిక్కు,adivinanza
260,Rede::N,ఉపన్యాసము,discurso
261,Sprache::N,భాష,lengua
262,Stimme::N,కంరథ్సని,voz
263,Wort::N,మాట,palabra
264,Zeichen::N,గుర్తు,señal
265,Ruf::N,పిలువు,llamada
266,Lärm::N,సందడి,ruido
267,Lärm::N,సందడి,barullo
268,Laut::N,ధ్వని,sonido
269,Ton::N,స్వరము,tono
270,Lied::N,పాట,canción
271,Ruhe::N,గాలిలేమి,calma
272,Ruhe::N,గాలిలేమి,silencio
273,Leute::N,జనులు,gente
274,Volk::N,జాతి,pueblo
275,Arbeit::N,పని,trabajo
276,Gast::N,అతిధి,huésped
277,Gast::N,అతిధి,invitado
278,Geschenk::N,దానము,regalo
279,Spiel::N,ఆట,juego
280,Gesellschaft::N,జట్టు,compañía
281,Hilfe::N,సాహాయ్యము,ayuda
282,Hilfe::N,సాహాయ్యము,socorro
283,Freund::N,స్నేహితుడు,amigo
284,Kamerad::N,చెలికాడు,camarada
285,Kamerad::N,చెలికాడు,compañero
286,Angelegenheit::N,విషయము,asunto
287,Anzahl::N,లెక్క,cantidad
288,Art::N,జాతి,tipo
289,Art::N,జాతి,clase
290,Stück::N,తునుక,pieza
291,Teil::N,భాగము,parte
292,Hälfte::N,సగము,mitad
293,Kreis::N,వృత్తము,círculo
294,Kreuz::N,సిలువ,cruz
295,Linie::N,గీత,línea
296,Strich::N,గీత,raya
297,Strich::N,గీత,trazo
298,Abstand::N,సందు,distancia
299,Entfernung::N,దూరము,distancia
300,Gegend::N,విస్తీర్ణము,región
301,Gegend::N,విస్తీర్ణము,comarca
302,Platz::N,ఎడము,espacio
303,Ort::N,స్థలము,sitio
304,Seite::N,ప్రక్క,lado
305,Seite::N,ప్రక్క,costado
306,Mitte::N,నడిమి,medio
307,Mitte::N,నడిమి,centro
308,Gegenstand::N,పద్దు,objeto
309,Sache::N,వస్తువు,cosa
310,Rand::N,అంచు,borde
311,Kante::N,అంచు,borde
312,Ecke::N,మూల,esquina
313,Spitze::N,మొన,punta
314,Ende::N,కొన,cabo
315,Ende::N,కొన,extremo
316,Loch::N,రంధ్రము,agujero
317,Loch::N,రంధ్రము,abertura
318,Winkel::N,కోణము,ángulo
319,Muster::N,మాదిరి,dibujo
320,Größe::N,పరిమాణము,tamaño
321,Länge::N,పొడుగు,longitud
322,Höhe::N,పొడుగు,altura
323,Höhe::N,పొడుగు,altitud
324,Gewicht::N,భారము,peso
325,Menge::N,మొత్తము,cantidad
326,Haufen::N,రాశి,montón
327,Reihe::N,వరుస,fila
328,Boot::N,పడవ,bote
329,Boot::N,పడవ,barca
330,Ruder::N,అడక,remo
331,Schlitten::N,సరవండ్లు,trineo
332,Ski::N,స్కీ,esquí
333,Lagerfeuer::N,నెగడు,hoguera
334,Last::N,బరువు,carga
335,Gang::N,నడక,marcha
336,Schritt::N,అడుగు,paso
337,Norden::N,ఉత్తరదిక్కు,norte
338,Süden::N,దక్షిణము,sur
339,Westen::N,పడమర,oeste
340,Osten::N,తూర్పు,este
341,Holz::N,కొయ్య,madera
342,Brett::N,పలక,tabla
343,Platte::N,పలక,placa
344,Platte::N,పలక,plancha
345,Stütze::N,వాల్సేడ్లు,sostén
346,Stütze::N,వాల్సేడ్లు,soporte
347,Stange::N,స్తంభము,vara
348,Stange::N,స్తంభము,percha
349,Stock::N,కఱ్ఱ,palo
350,Stock::N,కఱ్ఱ,bastón
351,Stab::N,కఱ్ఱ,vara
352,Stab::N,కఱ్ఱ,bastón
353,Rohr::N,గొట్టము,tubo
354,Haus::N,ఇల్లు,casa
355,Heim::N,స్వగృహము,hogar
356,Ofen::N,పొయ్యి,estufa
357,Fußboden::N,నేల,suelo
358,Tisch::N,మేజా,mesa
359,Stuhl::N,కుర్చీ,silla
360,Wiege::N,ఉయ్యాల,cuna
361,Bett::N,పడక,cama
362,Bett::N,మంచం,cama
363,Regal::N,అటక,estantería
364,Kiste::N,వెట్టె,caja
365,Fenster::N,కిటికి,ventana
366,Tür::N,ద్వారము,puerta
367,Tor::N,ద్వారము,puerta
368,Zaun::N,కంచె,valla
369,Zaun::N,కంచె,cercado
370,Dach::N,ఇంటివైకప్పు,techo
371,Dach::N,ఇంటివైకప్పు,tejado
372,Leiter::N,నిచ్చెన,escalera
373,Besen::N,చీపురుకట్ట,escoba
374,Spaten::N,పాఱ,pala
375,Schaufel::N,పాఱ,pala
376,Schaufel::N,పాఱ,paleta
377,Gabel::N,ముండ్లగరిటె,tenedor
378,Löffel::N,గరిటె,cuchara
379,Messer::N,కత్తి,cuchillo
380,Nagel::N,మేకు,clavo
381,Netz::N,వల,red
382,Haken::N,కొక్కెము,gancho
383,Haken::N,కొక్కెము,corchete
384,Griff::N,పిడి,asa
385,Griff::N,పిడి,mango
386,Schloss::N,తాళము,cerradura
387,Bild::N,చిత్రము,imagen
388,Figur::N,రూపము,figura
389,Puppe::N,బొమ్మ,muñeca
390,Beutel::N,సంచి,bolsa
391,Bündel::N,మూట,haz
392,Tasche::N,సంచి,bolso
393,Eimer::N,చేద,cubo
394,Deckel::N,మూత,tapa
395,Deckel::N,మూత,tapadera
396,Geschirr::N,వంటకాలు,vajilla
397,Sack::N,గోనెసంచి,saco
398,Tasse::N,గిన్నె,taza
399,Topf::N,కుండ,olla
400,Topf::N,కుండ,marmita
401,Kessel::N,నీరుకాచుపాత్ర,caldera
402,Essen::N,ఆహారము,comida
403,Nahrung::N,ఆహారము,alimento
404,Speise::N,ఆహారము,plato
405,Fleisch::N,మాంసము,carne
406,Getreide::N,ధాన్యము,cereales
407,Brei::N,గుజ్జు,puré
408,Brei::N,గుజ్జు,papilla
409,Brot::N,రొట్టె,pan
410,Scheibe::N,బద్ద,lonja
411,Scheibe::N,బద్ద,rebanada
412,Fett::N,క్రొవ్వు,grasa
413,Butter::N,వెన్న,mantequilla
414,Öl::N,నూనె,aceite
415,Salz::N,ఉప్పు,sal
416,Suppe::N,చారు,sopa
417,Honig::N,తెనె,miel
418,Milch::N,పాలు,leche
419,Tee::N,తేనీరు,té
420,Leder::N,బాగుచేసివతోలు,cuero
421,Wolle::N,ఉన్ని,lana
422,Stoff::N,బట్ట,tela
423,Stoff::N,బట్ట,tejido
424,Nadel::N,సూది,aguja
425,Faden::N,దారము,hilo
426,Knopf::N,బొత్తాము,botón
427,Knoten::N,ముడి,nudo
428,Farbe::N,రంగు,pintura
429,Kleidung::N,బట్టలు,ropa
430,Kleidung::N,బట్టలు,vestidos
431,Hemd::N,చొక్కాయ,camisa
432,Kragen::N,మాల,cuello
433,Ärmel::N,చొక్కాయచెయ్యి,manga
434,Hose::N,ఇజారు,pantalón
435,Gürtel::N,పటకా,cinturón
436,Mütze::N,టోపి,gorro
437,Schuh::N,పాదరక్ష,zapato
438,Stiefel::N,బూటు,bota
439,Ring::N,ఉంగరము,anillo
440,Band::N,నాడా,cinta
441,Kamm::N,దువ్వెన,peine
442,Spiegel::N,అద్దము,espejo
443,Riemen::N,వాడా,correa
444,Schnur::N,దారము,cuerda
445,Leine::N,వారు,correa
446,Decke::N,కంబళి,manta
447,Kissen::N,తలగడ,almohada
448,Tuch::N,బట్ట,pañuelo
449,Handtuch::N,తువాలు,toalla
450,Kraft::N,బలము,fuerza
451,Stärke::N,శక్తి,fuerza
452,Gesundheit::N,ఆరోగ్యము,salud
453,Krankheit::N,రోగము,enfermedad
454,Schmerz::N,నొప్పి,dolor
455,Wunde::N,గాయము,llaga
456,Wunde::N,గాయము,herida
457,Fieber::N,జ్వరము,fiebre
458,Arznei::N,మందు,medicina
459,Arznei::N,మందు,medicamento
460,Brücke::N,వంతెన,puente
461,Brunnen::N,బావి,pozo
462,Brunnen::N,కూపము,pozo
463,Brunnen::N,నుయ్యి,pozo
464,Weide::N,పచ్చికబయలు,pasto
465,Pfad::N,కాలిత్రోవ,sendero
466,Weg::N,మార్గము,camino
467,Straße::N,బాట,vía
468,Straße::N,బాట,carretera
469,Dorf::N,గ్రామము,aldea
470,Dorf::N,గ్రామము,pueblo
471,Stadt::N,పట్టణము,ciudad
472,Brief::N,జాబు,carta
473,Buch::N,పుస్తకము,libro
474,Buchstabe::N,అక్షరము,letra
475,Buchstabe::N,అక్షరము,carácter
476,Zeitung::N,వార్తాపత్రిక,diario
477,Zeitung::N,వార్తాపత్రిక,periódico
478,Leben::N,ప్రాణము,vida
479,Tod::N,మరణము,muerte
480,Grab::N,సమాధి,tumba
481,Grab::N,సమాధి,sepulcro
482,Kirche::N,క్రెస్తవులగుడి,iglesia
483,Sünde::N,పాపము,pecado
484,Gott::N,దేవుడు,dios
485,Arbeiter::N,పనిపాటుచేశేవాడు,obrero
486,Arbeiter::N,పనిపాటుచేశేవాడు,trabajador
487,Chef::N,యజమానుడు,jefe
488,Meister::N,కళాకారుడు,maestro
489,Arzt::N,వైద్యుడు,médico
490,Lehrer::N,ఉపాధ్యాయుడు,profesor
491,Geld::N,ద్రవ్యము,dinero
492,Geschäft::N,వ్యాపారము,negocio
493,Laden::N,అంగడి,tienda
494,Preis::N,వెల,precio
495,Ware::N,సరకులు,mercancía
496,Nutzen::N,ప్రయోజనము,provecho
497,Reichtum::N,ధనము,riqueza
498,Welt::N,ప్రపంచము,mundo
499,Land::N,దేశము,país
500,Staat::N,రాజ్యము,Estado
501,König::N,రాజు,rey
502,Macht::N,అధికారము,poder
503,Macht::N,అధికారము,potencia
504,Grenze::N,సరిహద్దు,frontera
505,Krieg::N,యుద్ధము,guerra
506,Feind::N,శత్రువు,enemigo
507,Gewalt::N,దౌర్జన్యము,violencia
508,Kampf::N,పోట్లాట,lucha
509,Kampf::N,పోట్లాట,combate
510,Bogen[Waffe]::N,విల్లు,arco
511,Pfeil::N,బాణము,flecha
512,Gewehr::N,తుపాకి,fusil
513,Gewehr::N,తుపాకి,escopeta
514,Fehler::N,తప్ప,error
515,Lüge::N,అసత్యము,mentira
516,Schaden::N,నష్టము,daño
517,Unglück::N,దురదృష్టము,desgracia
518,Schuld::N,తప్పు,culpa
519,Alter::N,వయస్సు,edad
520,Schluss::N,ముగింపు,fin
521,Schluss::N,ముగింపు,final
522,Zeit::N,కాలము,tiempo
523,Tag::N,దినము,día
524,Morgen::N,ఉదయము,mañana
525,Mittag::N,మధ్యాహ్నము,mediodía
526,Abend::N,సాయంకాలము,noche
527,Nacht::N,రత్రి,noche
528,Woche::N,వారము,semana
529,Monat::N,నెల,mes
530,Jahr::N,సంవత్సరము,año
531,Frühling::N,వసంతకాలము,primavera
532,Sommer::N,వేసవికాము,verano
533,Herbst::N,ఆకురాలుకాలము,otoño
534,Winter::N,శీతకాలము,invierno
535,Januar::N,జనవరి,enero
536,Februar::N,ఫిబ్రవరి,febrero
537,März::N,మార్చి,marzo
538,April::N,ఏప్రిలు,abril
539,Mai::N,మే,mayo
540,Juni::N,జూన్,junio
541,Juli::N,జూలై,julio
542,August::N,ఆగస్టు,agosto
543,September::N,సెప్ఠెంబరు,septiembre
544,Oktober::N,అక్టోబరు,octubre
545,November::N,నవంబరు,noviembre
546,Dezember::N,డిసెంబర్,diciembre
547,Montag::N,సోమవారము,lunes
548,Dienstag::N,మంగళవారము,martes
549,Mittwoch::N,బుధవారము,miércoles
550,Donnerstag::N,గురువారము,jueves
551,Freitag::N,శుక్రవారము,viernes
552,Samstag::N,శనివారము,sábado
553,Sonntag::N,ఆదివారము,domingo
554,groß::A,గొప్పైన,grande
555,klein::A,చిన్న,pequeño
556,lang::A,పొడుగాటి,largo
557,kurz::A,పొట్టి,corto
558,breit::A,వెడల్పైన,ancho
559,schmal::A,ఇఱుకైన,estrecho
560,dicht::A,దట్టమైన,denso
561,dick[Gegenstand]::A,దట్టమైన,grueso
562,dünn::A,పలుచని,fino
563,dünn::A,పలుచని,delgado
564,fein::A,నాజాకైన,fino
565,fein::A,నాజాకైన,delicado
566,fest::A,దృడమైవ,firme
567,fest::A,దృడమైవ,sólido
568,flach::A,చదువైన,plano
569,glatt::A,నున్నని,liso
570,hart::A,కఠినమైన,duro
571,weich::A,మృదువైన,muelle
572,rund::A,గుండ్రని,redondo
573,spitz::A,మొనగల,agudo
574,spitz::A,మొనగల,apuntado
575,scharf::A,పదనైన,agudo
576,scharf::A,పదనైన,afilado
577,stumpf::A,వాడిలేని,sin filo
578,schwer::A,బరువ్తెన,pesado
579,schön::A,సుందరమైన,bello
580,schön::A,సుందరమైన,hermoso
581,heiß::A,వేడియైన,caluroso
582,warm::A,వెచ్చని,cálido
583,warm::A,వెచ్చని,caliente
584,kalt::A,చల్లని,frío
585,kühl::A,చల్లని,fresco
586,frisch::A,తాజాయైన,fresco
587,feucht::A,చెమ్మగానున్న,húmedo
588,nass::A,తడిగామన్న,mojado
589,trocken::A,ఎండిన,seco
590,voll::A,నిండు,lleno
591,leer::A,శూన్యమైన,vacío
592,offen::A,తెఱచియున్న,abierto
593,geschlossen::A,మూసిన,cerrado
594,sauber::A,పరిశుద్ధమైన,limpio
595,schmutzig::A,ముఱికియైన,sucio
596,roh::A,పచ్చి,crudo
597,reif::A,పండివ,maduro
598,lecker::A,రుచి గల,rico
599,lecker::A,రుచి గల,sabroso
600,süß::A,తియ్యని,dulce
601,bitter::A,చేదైన,amargo
602,sauer::A,పుల్లని,agrio
603,hell::A,కాంతిగల,claro
604,dunkel::A,చీకటియైన,oscuro
605,schwarz::A,నల్లని,negro
606,weiß::A,తెలుపు,blanco
607,rot::A,ఎఱ్ఱని,rojo
608,gelb::A,పసుపు పచ్చ,amarillo
609,blau::A,నీలవర్ణము,azul
610,grün::A,ఆకుపచ్చని,verde
611,grau::A,నెరిసిన,gris
612,bunt::A,రంగేలీ,multicolor
613,billig::A,చౌకయైన,barato
614,teuer::A,వెలపొడుగైన,caro
615,wertvoll::A,విలుప్తెన,valioso
616,wertvoll::A,విలుప్తెన,precioso
617,blind::A,గ్రుడ్డి,ciego
618,taub::A,చెవిటి,sordo
619,kräftig::A,శక్తి గల,fuerte
620,stark::A,బలమైన,fuerte
621,stark::A,బలమైన,vigoroso
622,schwach::A,బలహీనమైన,débil
623,fett::A,క్రొవ్విన,obeso
624,schlank::A,సన్నని,esbelto
625,hübsch::A,సాగప్తెన,mono
626,hübsch::A,సాగప్తెన,guapo
627,böse::A,చెడ్డ,malo
628,dumm::A,తెలివిలేని,tonto
629,dumm::A,తెలివిలేని,estúpido
630,faul::A,సోమరియైన,vago
631,faul::A,సోమరియైన,perezoso
632,fleißig::A,శ్రద్దగల,aplicado
633,fleißig::A,శ్రద్దగల,diligente
634,geizig::A,పిసినారియైన,avaro
635,klug::A,తెలివిగల,sensato
636,klug::A,తెలివిగల,inteligente
637,geschickt::A,నిపుణతగల,hábil
638,lieb::A,ప్రియమైన,querido
639,lustig::A,ఉల్లాసము గల,alegre
640,sanft::A,సాధువైన,suave
641,hungrig::A,ఆకలిగొనిన,hambriento
642,krank::A,వ్యాధిగల,enfermo
643,nackt::A,దిగంబరమైన,desnudo
644,traurig::A,విచారముగల,triste
645,lebendig::A,ప్రాణముతో నున్న,vivo
646,lebendig::A,ప్రాణముతో నున్న,viviente
647,gut::A,మంచి,bueno
648,schlecht::A,చెడ్డ,malo
649,richtig::A,సరియైన,justo
650,richtig::A,సరియైన,correcto
651,schlimm::A,అసహ్యమైన,malo
652,schlimm::A,అసహ్యమైన,grave
653,wahr::A,నిజమైన,verídico
654,wahr::A,నిజమైన,verdadero
655,alt::A,ముసలి,viejo
656,neu::A,క్రొత్త,nuevo
657,ehemalig::A,పూర్వపు,antiguo
658,alt[Lebewesen]::A,ముసలి,viejo
659,jung::A,పసి,joven
660,arm::A,బీద,pobre
661,reich::A,ధనవంతుడైన,rico
662,bekannt::A,తెలిసిన,conocido
663,berühmt::A,ప్రపిద్దికెక్కివ,famoso
664,berühmt::A,ప్రపిద్దికెక్కివ,célebre
665,fremd::A,అన్యమైన,extraño
666,verschieden::A,భేదమైన,diverso
667,verschieden::A,భేదమైన,distinto
668,verschieden::A,భేదమైన,diferente
669,nah::A,దగ్గఱనున్న,cercano
670,fern::A,దూరమందున్న,lejano
671,linker::A,ఎడమప్రక్కగ,izquierdo
672,rechter::A,కుడి,derecho
673,anderer::A,వేఱ్తెన,otro
674,erster::A,మొదటి,primero
675,zweiter::A,రెండన,segundo
676,dritter::A,మూడో,tercero
677,letzter::A,కడపటి,último
678,allein::ADV,ఒంటిగా,a solo
679,auf einmal::ADV,హరాత్తుగ,de una vez
680,zusammen::ADV,కలిసి,juntos
681,lange::ADV,బహుకాలము,mucho tiempo
682,plötzlich::ADV,హరాత్తుగ,de repente
683,sofort::ADV,తక్షణము,en seguida
684,später::ADV,ఇటీవలి,más tarde
685,jetzt::ADV,ఇప్పుడు,ahora
686,heute::ADV,నేడు,hoy
687,morgen::ADV,ఱేపు,mañana
688,bald::ADV,శీఘ్రముగ,pronto
689,bald::ADV,శీఘ్రముగ,en breve
690,dann::ADV,అప్పుడు,luego
691,dann::ADV,అప్పుడు,entonces
692,gestern::ADV,నిన్నటి దినము,ayer
693,einst::ADV,పూర్వమొకప్పుడు,antaño
694,damals::ADV,అప్పుడు,entonces
695,danach::ADV,అప్పుడు,después
696,vorher::ADV,ఎదుట,antes
697,zuerst::ADV,మొదటిలో,primero
698,einmal::ADV,ఒకసారి,una vez
699,manchmal::ADV,అప్పటప్పటికి,a veces
700,oft::ADV,తఱచుగా,a menudo
701,oft::ADV,తఱచుగా,con frecuencia
702,immer::ADV,ఎల్లప్పుడు,siempre
703,niemals::ADV,ఎప్పుడునులేదు,jamás
