,Concept_ID,ta,ab
101,Höhle::N,குகை,аҳаҧы
102,Abhang::N,சரிவு,анаара
103,Quelle::N,மூலம்,аҵҵырҭа
104,Bach::N,ஓடை,акəараҷҷа
105,Fluss::N,ஆறு,аӡиас
106,Ufer::N,நீர்க்கரை,ахықə
107,Küste::N,கடற்கரை,ахықə
108,Festland::N,நிலம்,абарра
109,Meer::N,கடல்,амшын
110,Bucht::N,சிறுகுடா,аӡбжьахала
111,Insel::N,தீவு,адгьылбжьаха
112,Blume::N,பூ,ашəҭ
113,Gras::N,புல்தரை,аҳасакьын
114,Wurzel::N,வேர்,адац
115,Baum::N,மரம்,аҵла
116,Stamm::N,அடிமரம்,ашьапы
117,Rinde::N,பட்டை,ацəа
118,Rinde::N,மரப்பட்டை,ацəа
119,Ast::N,கினை,амахə
120,Ast::N,கினை,амахəҭа
121,Zweig::N,குச்சி,амахə
122,Zweig::N,குச்சி,амахəҭа
123,Blatt::N,இலை,абҕьы
124,Birke::N,பிர்ச் மரம்,аҵааҵла
125,Kiefer[Baum]::N,தேவதாரு மரம்,амза
126,Weide[Baum]::N,மர வகைகளுள் ஒன்று,аҧслыш
127,Tanne::N,சாதிக்கய்,аҧсаӡ
128,Horn::N,கொம்பு,атəыҩа
129,Feder::N,இறகு,ахӡы
130,Fell::N,மென்முடி,ацəа
131,Flügel::N,இறக்கை,амҵəыжəа
132,Klaue::N,நகம்,ашьапхыц
133,Kralle::N,நகம்,
134,Schwanz::N,வால்,аҵыхəа
135,Ei::N,முட்டை,акəтаӷь
136,Nest::N,கூடு,аҭра
137,Nest::N,கூடு,аҵысҭра
138,Bau::N,குகை,аҭыҩра
139,Tier::N,விலங்கு,аҧстəы
140,Tier::N,விலங்கு,агыгшəыг
141,Herde::N,கூட்டம்,агəарҭа
142,Kuh::N,பசு,ажə
143,Bulle::N,காளை,ацə
144,Pferd::N,குதிரை,аҽы
145,Schaf::N,செம்மறிஆடு,ауаса
146,Schwein::N,பன்றி,аҳəа
147,Hund::N,நாய்,ала
148,Katze::N,பூனை,ацгəы
149,Bär::N,கரடி,амшə
150,Eichhörnchen::N,அணில்,аеш
151,Elch::N,கடம்பை,аҽаҩа
152,Fuchs::N,நரி,абгахəыҷы
153,Hase::N,முயல்,ажьа
154,Maus::N,எலி,аҳəынаҧ
155,Wolf::N,ஓநாய்,абгаду
156,Vogel::N,பறவை,аҧсаатə
157,Schwarm::N,தொகுதி,
158,Huhn::N,கோழிக்குஞசு,акəты
159,Hahn::N,சேவல்,арбаҕь
160,Gans::N,பெண் வாத்து,аҟыз
161,Adler::N,பருநது,ауарба
162,Ente::N,வாத்து,акəата
163,Eule::N,ஆந்தை,аты
164,Kranich::N,நாரை,апҟа
165,Krähe::N,காகம்,аҟəараан
166,Kuckuck::N,குயில்,акəыкəу
167,Schwan::N,அன்னம்,агьад
168,Fisch::N,மீன்,аҧсыӡ
169,Barsch::N,பேர்ச்,ацəыбла
170,Hecht::N,கோலாச்சி மீன்,ахиаала
171,Schlange[Tier]::N,பாம்பு,амаҭ
172,Wurm::N,புழு,ахəа
173,Wurm::N,புழு,ахəац
174,Spinne::N,சிலந்தி,абызкаҭаҳа
175,Ameise::N,எறும்பு,ашышкамс
176,Laus::N,பேன்,аҵа
177,Mücke::N,கொசுவினப்பூச்சி,акəыбры
178,Fliege::N,ஈ,амҵ
179,Schmetterling::N,வண்ணத்துப்பூச்சி,аҧарҧалыкь
180,Beere::N,சதைப்பழம்,аргуц
181,Apfel::N,ஆப்பிள பழம்,аҵəа
182,Pilz::N,காளான்,акəкəбаа
183,Zwiebel::N,வெங்காயம்,аџьымшьы
184,Zwiebel::N,வெங்காயம்,аџьымшьхы
185,Saat::N,விதை,ажəла
186,Korn::N,தானியம்,арыц
187,Heu::N,வைக்கோல்,аҭəа
188,Schale::N,தோல்,ацəа
189,Grube::N,குழி,ажра
190,Grube::N,குழி,атыша
191,Falle::N,பொறி,арыҧҟьа
192,Schlinge::N,கண்ணி,аҟəараҟəантə
193,Spur::N,சுவடு,ашьҭа
194,Asche::N,சாம்பல்,ахəа
195,Dreck::N,அழுக்கு,аҳəынҵəа
196,Dreck::N,அழுக்கு,аҟьамсар
197,Eisen::N,இரும்பு,аиха
198,Gold::N,தங்கம்,ахьы
199,Silber::N,வெள்ளி,аразны
200,Kohle::N,நிலக்கரி,арацəа
201,Glas::N,கண்ணாடி,асаркьа
202,Lehm::N,களிமண்,анышəаҧшь
203,Sand::N,மணல்,аҧслымӡ
204,Mensch::N,மனிதர்கள்,ауаҩы
205,Mann::N,மனிதன்,ахаҵа
206,Frau::N,பெண்,аҧҳəыс
207,Kind::N,குழந்தை,ахəыҷы
208,Junge::N,பையன்,аҷкəын
209,Junge::N,பையன்,ахаҵарҧыс
210,Mädchen::N,சிறுமி,аӡӷаб
211,Familie::N,குடும்பம்,аҭаацəа
212,Großvater::N,தாத்தா,абду
213,Großmutter::N,பாட்டி,анду
214,Eltern::N,பெற்றோர்,ани аби
215,Vater::N,தந்தை,аб
216,Mutter::N,தாய்,ан
217,Sohn::N,மகன்,аҧа
218,Tochter::N,மகள்,аҧҳа
219,Bruder::N,சகோதரன்,аиашьа
220,Schwester::N,அக்கா,Аҳəшьа
221,Onkel::N,தாய் மாமன்,абиашьа
222,Onkel::N,தாய் மாமன்,аншьа
223,Tante::N,அத்தை,абиаҳəшьа
224,Ehemann::N,கணவன்,ахаҵа
225,Ehemann::N,கணவன்,аҧшəма
226,Ehefrau::N,மனைவி,аҧҳəыс
227,Freude::N,கொண்டாட்டம்,агəырӷьара
228,Gelächter::N,சிரிப்பு,ачча
229,Gelächter::N,சிரிப்பு,аччара
230,Glück::N,மகிழ்ச்சி,аразҟы
231,Kummer::N,துயரம்,агəырҩа
232,Wunsch::N,விருப்பம்,агəхəтəы
233,Wunsch::N,விருப்பம்,аҭахра
234,Lust::N,விருப்பம்,агəазыҳəара
235,Geist::N,ஆன்மா,аҧсы
236,Gedanke::N,எண்ணம்,ахəыцырҭа
237,Gedächtnis::N,ஞாபகம்,агəынкылара
238,Verstand::N,மனம்,ахшыҩ
239,Sinn::N,அர்த்தம்,аҵакы
240,Grund::N,காரணம்,амзыз
241,Wahrheit::N,உண்நை,аиаша
242,Gespräch::N,பெசு,аиҿцәажәара
243,Märchen::N,நம்பத்தகாத கதை,алакə
244,Erzählung::N,கதை,ажәабжь
245,Nachricht::N,செய்தி,адырраҭара
246,Neuigkeit::N,செய்தி,ажәабжь ҿыц
247,Name::N,பெயர்,ахьӡ
248,Rätsel::N,புதிர்,ацуфара
249,Rede::N,பேச்சு,ажәа
250,Sprache::N,மொழி,абызшəа
251,Stimme::N,குரல்,абжьы
252,Wort::N,வார்த்தை,ажәа
253,Zeichen::N,குறி,адырга
254,Ruf::N,அழைப்பு,аҿҭы
255,Lärm::N,சத்தம்,ашьҭыбжь
256,Laut::N,ஒலி,ашьҭыбжь
257,Ton::N,குரல்,атон
258,Lied::N,பாட்டு,ашəа
259,Ruhe::N,அமைதி,аҭынчра
260,Leute::N,மக்கள்,ауаа
261,Volk::N,மக்கள்,ажəлар
262,Arbeit::N,வேலை,аусура
263,Gast::N,விருந்தாளி,асас
264,Geschenk::N,பரிசுப் பொருள்,аҳамҭа
265,Geschenk::N,பரிசுப் பொருள்,аҿанҵа
266,Spiel::N,விளையாட்டு,ахəмарра
267,Gesellschaft::N,சமுதாயம்,агəыҧ
268,Hilfe::N,உதவி,ацхыраара
269,Freund::N,நண்பன்,аҩыза
270,Kamerad::N,உடனிருப்பவன்,Аҧхнагьла
271,Angelegenheit::N,செய்தி,аус
272,Anzahl::N,எண்ணிக்கை,ахыҧхьаӡара
273,Art::N,வகை,ахкы
274,Stück::N,துண்டம்,аҽыҭ
275,Teil::N,பகுதி,ахəҭа
276,Hälfte::N,பாதி,абжа
277,Kreis::N,வட்டம்,агьагьа
278,Kreuz::N,சிலுவை,аџьар
279,Linie::N,கோடு,аицтәар
280,Strich::N,வாத நோய்,ацəаҳəа
281,Abstand::N,இடைவெளி,абжьара
282,Entfernung::N,தூரம்,абжьара
283,Gegend::N,வட்டாரம்,аҭыҧ
284,Platz::N,வெற்றிடம்,аҭыҧ
285,Ort::N,இடம்,аҭыҧ
286,Seite::N,பக்கம்,аган
287,Mitte::N,இடைப்பகுதி,агəҭа
288,Gegenstand::N,உருப்படி,амаҭəар
289,Sache::N,பொருள்,
290,Rand::N,தொங்கு,аҵкар
291,Kante::N,விளிம்பு,авардым
292,Ecke::N,மூலை,акəакь
293,Spitze::N,முனை,аҧынҵа
294,Ende::N,முடிவு,анаӡара
295,Loch::N,துளை,акылҵəара
296,Winkel::N,கோணம்,агҿаҩра
297,Winkel::N,கோணம்,акəындхə
298,Winkel::N,கோணம்,акəакь
299,Muster::N,பாங்கு,аҟҟа
300,Größe::N,அளவு,изаҟароу
301,Länge::N,நீளம்,аура
302,Höhe::N,உயரம்,агылара
303,Gewicht::N,எடை,акапан
304,Menge::N,தொகை,
305,Haufen::N,குவியல்,ачаҟəа
306,Reihe::N,வரிசை,ацəаҳəа
307,Boot::N,படகு,анышь
308,Ruder::N,துடுப்பு,ажəҩа
309,Schlitten::N,சகடையிலா வண்டி,ашəаҩауардын
310,Ski::N,பனிச் சறுக்கல்,ашəаҩа
311,Ski::N,பனிச் சறுக்கல்,ашьахаха
312,Lagerfeuer::N,மூட்டம்,еиқуу амца
313,Last::N,பாரம்,ахьанҭара
314,Gang::N,நடை,аныҟəара
315,Schritt::N,காலடி,ашьаҿа
316,Norden::N,வடக்கு,аҩада
317,Süden::N,தெற்கு,алада
318,Westen::N,மேற்கு திசை,амраҭашəара
319,Osten::N,கிழக்கு,амрагылара
320,Holz::N,மரக்கட்டை,амҿымаҭəахə
321,Brett::N,பலகை,аӷəы
322,Platte::N,பலகம்,ахаҳәцәы
323,Stütze::N,அடைப்புகன்,аҵаргəа
324,Stütze::N,அடைப்புகன்,агəышьаҟа
325,Stange::N,கம்பம்,акьат
326,Stock::N,குச்சி,алаба
327,Stab::N,கம்பு,акьат
328,Rohr::N,குழாய்,абыкь
329,Haus::N,வீடு,аҩны
330,Heim::N,வீடு,аҭаацəа
331,Ofen::N,அடுப்பு,аҳақə
332,Ofen::N,அடுப்பு,ауаџьаҟ
333,Ofen::N,அடுப்பு,афрына
334,Fußboden::N,தரை,адашьма
335,Tisch::N,மேசை,аишәа
336,Stuhl::N,நாற்காலி,аҟəардə
337,Wiege::N,தொட்டில்,агара
338,Bett::N,படுக்கை,акаруаҭ
339,Regal::N,அலமாரி,акыӷəра
340,Kiste::N,பெட்டி,аидчаҧала
341,Fenster::N,சாளரம்,аҧенџьыр
342,Tür::N,கதவு,ашə
343,Tor::N,வாசற்கதவு,агəашə
344,Zaun::N,வேலி,аанда
345,Dach::N,கூரை,ахыб
346,Leiter::N,ஏணி,амардуан
347,Besen::N,விளக்குமாறு,аҧссага
348,Spaten::N,மண்வெட்டி,ажыга
349,Schaufel::N,அடிதண்டா,аҭəарӷəы
350,Gabel::N,முட்கரண்டி,ачқьыҧ
351,Löffel::N,கரண்டி,амҳаҵə
352,Messer::N,கத்தி,аҳəызба
353,Nagel::N,ஆணி,аҵəымӷ
354,Netz::N,வலை,акаҭа
355,Haken::N,கொக்கி,аҵəаҳə
356,Griff::N,கைப்பிடி,амаа
357,Schloss::N,பூட்டு,асаҧаҭ
358,Bild::N,படம்,асахьа
359,Figur::N,எண்ணிக்கை,афигура
360,Puppe::N,பொம்மை,акьанџьа
361,Beutel::N,பை,асакь
362,Bündel::N,பொதி,аҿаҳəара
363,Tasche::N,பை,арҭмаҟ
364,Eimer::N,வாளி,аведра
365,Deckel::N,உறை,ахҩа
366,Geschirr::N,பாத்திரம்,ачысмаҭəа
367,Sack::N,பை,асакь
368,Tasse::N,கிண்ணம்,аҵəца
369,Topf::N,பானை,акаструлиа
370,Kessel::N,கெண்டி,ачуан
371,Essen::N,உணவருந்துதல்,
372,Nahrung::N,உணவு,афатə
373,Speise::N,உணவு வகை,афатə
374,Fleisch::N,இறைச்சி,акəац
375,Getreide::N,மக்காச்சோளம்,ачакуа
376,Brei::N,கஞ்சி,ақашь
377,Brot::N,ரொட்டி,ача
378,Scheibe::N,துண்டு,аҽыҭ
379,Scheibe::N,துண்டு,аҿаҵа
380,Fett::N,கொழுப்பு,ашша
381,Butter::N,வெண்ணெய்,ахəша
382,Öl::N,எண்ணெய்,азеҭ
383,Salz::N,உப்பு,аџьыка
384,Suppe::N,ரசம்,асуҧ
385,Honig::N,தேன்,ацха
386,Milch::N,பால்,ахш
387,Tee::N,தெனீர்,ачаи
388,Leder::N,பதம் செய்யப்பட்ட தோல்,ацəа
389,Wolle::N,கம்பளி,аласа
390,Stoff::N,துணி,Аба
391,Nadel::N,ஊசி,агəыр
392,Faden::N,நூல்,арахəыц
393,Knopf::N,பொத்தான்,аҳəынҵəра
394,Knoten::N,முடிச்சு,аиқəҳəала
395,Farbe::N,வண்ணக் குழம்பு,ашəыга
396,Kleidung::N,ஆடைகள்,амаҭəа
397,Hemd::N,சட்டை,акьаҿ
398,Kragen::N,கழுத்துப் பட்டை,ахəда
399,Ärmel::N,சட்டைக்கை,амаӷра
400,Hose::N,கால்சட்டை,аиқəа
401,Gürtel::N,பெல்ட்,амаҟа
402,Mütze::N,தொப்பி,ахылҧа
403,Schuh::N,காலணி,аимаа
404,Stiefel::N,காலணி,амагə
405,Ring::N,மோதிரம்,амацəаз
406,Band::N,நாடா,алента
407,Kamm::N,கீப்பு,ахҳəа
408,Spiegel::N,ஆடி,асаркьа
409,Spiegel::N,கண்ணாடி,асаркьа
410,Riemen::N,வார்,аа
411,Schnur::N,கயிறு,ашаха
412,Leine::N,தோல்வார்,аҕура
413,Decke::N,போர்வை,ахыза
414,Kissen::N,தலையணை,ахчы
415,Tuch::N,துணி,акасы
416,Handtuch::N,தண்டு,ампахьшьы
417,Kraft::N,நிர்பந்தம்,амч
418,Stärke::N,பலம்,амч
419,Gesundheit::N,ஆரோக்கியம்,агəабзиара
420,Krankheit::N,நோய்,ачымазара
421,Schmerz::N,வலி,ахьаа
422,Wunde::N,காயம்,ахəра
423,Fieber::N,காய்ச்சல்,ашоура
424,Arznei::N,மருந்து,ахəшə
425,Brücke::N,பாலம்,ацҳа
426,Brunnen::N,கேணி,аҵыџь
427,Weide::N,மேய்ச்சல் நிலம்,аҳəырҭа
428,Pfad::N,நடை வழி,амхəасҭа
429,Weg::N,வழி,амҩа
430,Straße::N,சாலை,амҩа
431,Dorf::N,கிராமம்,ақыҭа
432,Stadt::N,நகரம்,ақалақь
433,Brief::N,கடிதம்,ашəҟəы
434,Buch::N,புத்தகம்,ашəҟəы
435,Buchstabe::N,எழத்து,анбан
436,Zeitung::N,செய்தித்தாள்,агазеҭ
437,Leben::N,வாழ்க்கை,аҧсҭазаара
438,Tod::N,மரணம்,аҧсра
439,Grab::N,சமாதி,анышəынҭра
440,Kirche::N,தேவாலயம்,ауахəама
441,Sünde::N,பாவம்,агəнаҳа
442,Gott::N,கடவுள்,анцəа
443,Arbeiter::N,தொழிலாளி,аусуҩ
444,Chef::N,மேலாளர்,Аиҳабы
445,Meister::N,தலைவன்,аҟаза
446,Arzt::N,மருத்துவர்,аҳақьым
447,Lehrer::N,ஆசிரியர்,арҵаҩы
448,Geld::N,பணம்,аҧара
449,Geschäft::N,வாணிபம்,
450,Laden::N,கடை,амагазин
451,Preis::N,விலை,ахə
452,Ware::N,சாமன்கள்,атауар
453,Nutzen::N,இலாபம்,ақьар
454,Reichtum::N,சொத்து,абеиара
455,Welt::N,உலகம்,адунеи
456,Land::N,நாடு,атəыла
457,Staat::N,நாடு,аҳəынҭқарра
458,König::N,அரசன்,акрал
459,Macht::N,அதிகாரம்,амчра
460,Grenze::N,எல்லை,аҳəаа
461,Krieg::N,போர்,аибашьра
462,Feind::N,எதிரி,Аҕа
463,Gewalt::N,வன்முறை,ақəымчра
464,Kampf::N,போராட்டம்,ақəҧара
465,Bogen[Waffe]::N,வில்,ахыц
466,Pfeil::N,அம்பு,ахəымпал
467,Gewehr::N,துப்பாக்கி,ашəақь
468,Fehler::N,தவறு,агха
469,Lüge::N,பொய்,амц
470,Schaden::N,சேதாரம்,аҧырхага
471,Unglück::N,இடையூறு,арыцҳара
472,Schuld::N,குற்றம்,ахара
473,Alter::N,வயது,ақəра
474,Schluss::N,முடிவு,анҵəамҭа
475,Zeit::N,காலம்,аамта
476,Tag::N,நாள்,амш
477,Morgen::N,காலை நேரம்,ашара
478,Morgen::N,காலை நேரம்,ашьыбжь
479,Mittag::N,மதியம்,шьыбжьон
480,Abend::N,மாலைப் பொழுது,ахəылҧаз
481,Abend::N,மாலைப் பொழுது,ахəлбыҽха
482,Nacht::N,இரவு,аҵх
483,Woche::N,வாரம்,амчыбжь
484,Monat::N,மாதம்,
485,Jahr::N,வருடம்,
486,Frühling::N,வசந்தம்,ааҕын
487,Sommer::N,கோடை,аҧхын
488,Herbst::N,இலையுதிர் காலம்,ҭагалан
489,Herbst::N,இலையுதிர் காலம்,хкаарачан
490,Winter::N,குளிர்காலம்,аӡын
491,Januar::N,ஜனவரி,ианвар
492,Februar::N,பிபரவரி மாதம்,февраль
493,März::N,மார்ச் மாதம்,март
494,April::N,ஏப்ரல் மாதம்,апрель
495,Mai::N,மே மாதம்,маи
496,Juni::N,ஜூன் மாதம்,иуун
497,Juli::N,ஜூலை மாதம்,иууль
498,August::N,ஆகஸ்ட் மாதம்,август
499,September::N,செப்டம்பர் மாதம்,сентиабр
500,Oktober::N,அக்டோபர் மாதம்,октиабр
501,November::N,நவம்பர் மாதம்,ноиабр
502,Dezember::N,டிசம்பர்,декабр
503,Montag::N,திங்கட் கிழமை,ашəахьа
504,Dienstag::N,செவ்வாய்க்கிழமை,аҩаша
505,Mittwoch::N,புதன் கிழமை,ахаша
506,Donnerstag::N,வியாழக் கிழமை,аҧшьаша
507,Freitag::N,வெள்ளிக்கிழமை,ахəаша
508,Samstag::N,சனிக்கிழமை,асабша
509,Sonntag::N,ஞாயிறுக் கிழமை,амҽыша
510,groß::A,பெரிய,аду
511,klein::A,சிறிய,амаҷ
512,lang::A,நீண்ட,ахəхəа
513,kurz::A,குட்டையான,акьаҿ
514,breit::A,அகலமான,аиужь
515,breit::A,அகலமான,аиҵых
516,schmal::A,குறுகலான,аҭшəа
517,dicht::A,அடர்த்தியான,аилач
518,dick[Gegenstand]::A,தடித்த,ажəпа
519,dünn::A,சன்னமான,
520,fein::A,மெல்லிய,апа
521,fein::A,மெல்லிய,аҵаӷа
522,fein::A,மெல்லிய,аӡа
523,fest::A,உறுதியாள,аҟаца
524,fest::A,உறுதியாள,аӷəӷəаҟаца
525,flach::A,தட்டையான,ақəаҟьа
526,flach::A,தட்டையான,аҧаҟьа
527,glatt::A,வழுவழுப்பான,аимаҩзы
528,hart::A,கடினமான,акьакьа
529,weich::A,மென்மையான,атата
530,rund::A,உருண்டையான,акəмпыл
531,spitz::A,திகந்தமாக,аҵар
532,scharf::A,கூரான,аҵар
533,stumpf::A,உளம் திறந்த,ацагə
534,schwer::A,கனமான,ахьанҭа
535,schön::A,அழகான,аҧшӡа
536,heiß::A,சூடான,ашы
537,warm::A,இதமான,аҧха
538,kalt::A,குளிர்ச்சியான,ахьшəашəа
539,kühl::A,குளிர்ச்சியான,ахьшəашəа
540,kühl::A,குளிர்ச்சியான,ицәыхьшәашәоу
541,frisch::A,சுத்தமான,цқьа
542,feucht::A,ஈரமான,ацəаак
543,nass::A,ஈரமான,абааӡа
544,trocken::A,உலர்ந்த,Аба
545,trocken::A,உலர்ந்த,аҩа
546,voll::A,நிரம்பிய,азна
547,leer::A,காலியான,аҭацəы
548,offen::A,திறந்த,аарта
549,geschlossen::A,மூடப்பட்ட,ихҩоу
550,geschlossen::A,மூடப்பட்ட,иаркыу
551,sauber::A,சுத்தமான,ацқьа
552,schmutzig::A,அழக்கான,аҟьашь
553,roh::A,கச்சா,
554,reif::A,பழுத்த,Арҭ
555,reif::A,பழுத்த,аҟала
556,reif::A,பழுத்த,иҟалахьоу
557,lecker::A,சுவைமிக்க,ахаа
558,süß::A,இனிப்பான,азла
559,bitter::A,கசப்பான,аша
560,sauer::A,புளிப்பாக,аҵəҵəы
561,hell::A,பளபளப்பான,алаша
562,dunkel::A,கருமையான,алашьца
563,schwarz::A,கருப்பு வண்ண,аиқуаҵәа
564,weiß::A,வெண்மையன,ашкəакəа
565,rot::A,சிவப்பு,аҟаҧшь
566,gelb::A,மஞ்சள் வண்ணம்,аҩеижь
567,blau::A,நீல வண்ண,аҽҵәа
568,grün::A,பச்சை வண்ண,ашьацҧшҭəала
569,grün::A,பச்சை வண்ண,аеҵəа
570,grau::A,சாம்பல் நிற,ацəыш
571,bunt::A,வண்ண மயமான,Аилыҕраа
572,bunt::A,வண்ண மயமான,аҕраҷкəын
573,billig::A,மலிவான,амариа
574,teuer::A,விலை அதிகமான,амҩан
575,wertvoll::A,மதிப்புள்ள,кыр иаҕсоу
576,wertvoll::A,மதிப்புள்ள,акыр иаҕсоу
577,blind::A,பார்வையற்ற,алашə
578,taub::A,செவிடான,адагəа
579,kräftig::A,வலிமையான,аӷəӷəа
580,stark::A,பலமான,абаҟа
581,schwach::A,பலவீனமான,акəада
582,fett::A,பருமனாக,аҧсыла
583,schlank::A,ஒல்லியான,акала
584,schlank::A,ஒல்லியான,акьалантар
585,schlank::A,ஒல்லியான,аиҿартə
586,hübsch::A,அழகிய,аҧшӡа
587,böse::A,கேடு விளைவிக்கும்,абааҧсы
588,dumm::A,முட்டாள்தனமான,агаӡа
589,faul::A,சோம்பலான,аашьа
590,fleißig::A,ஊக்கந்தளராத,иҟубҷоу
591,geizig::A,கஞேசத்தனமான,акы
592,geizig::A,கஞேசத்தனமான,акаҷбеи
593,geizig::A,கஞேசத்தனமான,аҟəџьыр
594,klug::A,சாதுரியமான,аҟəыш
595,klug::A,சாதுரியமான,аҟəыӷа
596,geschickt::A,திறமையள்ள,напҟазала
597,lieb::A,அன்புக்குரிய,алашара
598,lustig::A,களிப்புமிக்க,алах-ҿых
599,lustig::A,களிப்புமிக்க,игурҕьаччо
600,lustig::A,களிப்புமிக்க,агурҕьа
601,lustig::A,களிப்புமிக்க,агурҿыхага
602,sanft::A,சாதுவான,атата
603,sanft::A,சாதுவான,аҟəымшəышə
604,sanft::A,சாதுவான,ақьыҧш
605,hungrig::A,பசியுடன்,амлашь
606,krank::A,நோயுற்று,ачымазаҩ
607,nackt::A,ஆடையற்ற,аҟьантаз
608,traurig::A,சோகமான,алахьеиқəҵага
609,lebendig::A,பிழைப்பு,абза
610,gut::A,நல்ல,абзиа
611,schlecht::A,கெட்ட,-хəарҭам
612,richtig::A,சரியான,иашоу
613,schlimm::A,அருவருப்பான,абааҧсы
614,wahr::A,உண்மையான,агəҭылса
615,wahr::A,உண்மையான,абзиаҵəҟьа
616,alt::A,பழைய,Ажə
617,neu::A,புதிய,аҿыц
618,ehemalig::A,முன்நாள்,анкьатәи
619,alt[Lebewesen]::A,வயதான,абырг
620,alt[Lebewesen]::A,வயதான,ақабада
621,alt[Lebewesen]::A,வயதான,Ажə
622,jung::A,இளமையான,аҟата
623,arm::A,ஏழ்மையான,ананамга
624,reich::A,செல்வம் படைத்த,абеиа
625,bekannt::A,பழக்கப்பட்ட,адыр
