,Concept_ID,sl,os
76,Rauch::N,dìm,фӕздӕг
77,Funke::N,ískra,цӕхӕр
78,Feuer::N,ôgenj,зынг
79,Licht::N,lúč,рухс
80,Schatten::N,sénca,аууон
81,Wetter::N,vrême,боныхъӕд
82,Nebel::N,meglà,мигъ
83,Wolke::N,oblák,ӕврагъ
84,Regen::N,dèž,уарын
85,Schnee::N,snég,мит
86,Eis::N,léd,их
87,Frost::N,zmrzál,ихæн
88,Kälte::N,mràz,уазал
89,Hitze::N,pripéka,ӕнтӕф
90,Raureif::N,ívje,халас
91,Raureif::N,slána,халас
92,Regenbogen::N,mávrica,арвырон
93,Regenbogen::N,mávrica,арвырдын
94,Donner::N,gròm,æрвнæрын
95,Strömung::N,strúja,цыд
96,Tropfen::N,káplja,æртах
97,Schaum::N,péna,фынк
98,Schmutz::N,nesnága,цъыф
99,See::N,jézero,цад
100,Sumpf::N,močvírje,цъыфдзаст
101,Moor::N,bárje,цъыфдзаст
102,Wiese::N,trávnik,уыгӕрдӕн
103,Wald::N,lés,хъӕд
104,Wald::N,gòzd,хъӕд
105,Hügel::N,brég,обау
106,Hügel::N,brég,къуыбыр
107,Hügel::N,goríca,обау
108,Hügel::N,goríca,къуыбыр
109,Anhöhe::N,gríč,уæлвæз
110,Anhöhe::N,gríč,уæлхох
111,Anhöhe::N,višína,уæлвæз
112,Anhöhe::N,višína,уæлхох
113,Berg::N,gôra,хох
114,Berg::N,planína,хох
115,Gipfel::N,vŕh,цъупп
116,Höhle::N,jáma,лӕгӕт
117,Höhle::N,votlína,лӕгӕт
118,Abhang::N,pobóčje,къул
119,Quelle::N,izvír,суадон
120,Bach::N,pôtok,мӕсчъыдон
121,Fluss::N,réka,дон
122,Fluss::N,réka,цӕугӕдон
123,Ufer::N,brég,был
124,Küste::N,obála,донбыл
125,Küste::N,obréžje,донбыл
126,Festland::N,celína,сурзæхх
127,Festland::N,kopnína,сурзæхх
128,Meer::N,mórje,денджыз
129,Bucht::N,zalív,донбакæлæн
130,Insel::N,ôtok,сакъадах
131,Blume::N,cvetlíca,дидинӕг
132,Gras::N,tráva,кӕрдӕг
133,Wurzel::N,korenína,уидаг
134,Baum::N,drevó,бӕлас
135,Stamm::N,dêblo,хӕтӕл
136,Rinde::N,lúbje,цъар
137,Rinde::N,skórja,цъар
138,Ast::N,véja,арх
139,Zweig::N,véja,къалиу
140,Blatt::N,líst,сыф
141,Birke::N,bréza,бæрз
142,Kiefer[Baum]::N,bòr,нӕзы
143,Weide[Baum]::N,vŕba,хӕрис
144,Tanne::N,hója,наз
145,Horn::N,róg,сыкъа
146,Feder::N,peró,сис
147,Fell::N,kŕzno,царм
148,Flügel::N,krílo,базыр
149,Klaue::N,párkelj,ных
150,Kralle::N,krémpelj,дзӕмбы
151,Schwanz::N,rèp,къӕдзил
152,Ei::N,jájce,айк
153,Nest::N,gnézdo,ахстон
154,Bau::N,brlòg,хуынкъ
155,Tier::N,živál,сырд
156,Tier::N,živál,цӕрӕгой
157,Herde::N,čréda,дзуг
158,Herde::N,čréda,рӕгъау
159,Kuh::N,kráva,хъуг
160,Bulle::N,bìk,гал
161,Pferd::N,kònj,бӕх
162,Schaf::N,ôvca,фыс
163,Schwein::N,svínja,хуы
164,Hund::N,pès,куыдз
165,Katze::N,máčka,гӕды
166,Bär::N,mêdved,арс
167,Eichhörnchen::N,véverica,æхсæрæг
168,Elch::N,lós,цæгатаг саг
169,Fuchs::N,lisíca,рувас
170,Hase::N,zájec,тæрхъус
171,Maus::N,mìš,мыст
172,Wolf::N,vólk,бирӕгъ
173,Vogel::N,ptìč,цъиу
174,Vogel::N,ptìč,маргъ
175,Vogel::N,ptíca,цъиу
176,Vogel::N,ptíca,маргъ
177,Schwarm::N,játa,бал
178,Huhn::N,kokóš,карк
179,Hahn::N,petêlin,уасӕг
180,Gans::N,gós,хъаз
181,Adler::N,ôrel,цӕргӕс
182,Ente::N,ráca,ацц
183,Eule::N,sôva, уыг
184,Eule::N,sôva,сидахъ
185,Kranich::N,žerjàv,зырнæг
186,Kranich::N,žerjàv,хърихъупп
187,Krähe::N,vrána,халон
188,Kuckuck::N,kúkavica,гаккук
189,Schwan::N,labód,доныхъаз
190,Fisch::N,ríba,кӕсаг
191,Barsch::N,ostríž,окунь
192,Hecht::N,ščúka,хихор кӕсаг
193,Schlange[Tier]::N,káča,калм
194,Wurm::N,čr̀v,зулкъ
195,Wurm::N,čr̀v,къуыдыргалм
196,Wurm::N,glísta,зулкъ
197,Wurm::N,glísta,къуыдыргалм
198,Spinne::N,pájek,хӕлуарӕг
199,Ameise::N,mrávlja,мæлдзыг
200,Laus::N,úš,сыст
201,Mücke::N,komár,къогъо
202,Fliege::N,múha,бындз
203,Schmetterling::N,metúlj,гæлæбу
204,Beere::N,jágoda,гагадыргъ
205,Apfel::N,jábolko,фӕткъуы
206,Pilz::N,góba,зокъо
207,Pilz::N,góba,къозо
208,Zwiebel::N,čebúla,хъӕдындз
209,Saat::N,séme,тауинаг
210,Saat::N,séme,мыггаг
211,Korn::N,zŕno,мыггаг
212,Korn::N,zŕno,тауинаг
213,Heu::N,senó,хос
214,Schale::N,lupína,цъар
215,Grube::N,jáma,урм
216,Grube::N,jáma,къахт
217,Grube::N,jáma,дзыхъхъ
218,Falle::N,pást,цъысым
219,Falle::N,pást,къӕппӕг
220,Schlinge::N,zánka,цасм
221,Schlinge::N,pêtlja,цасм
222,Spur::N,sléd,фæд
223,Asche::N,pepél,фӕнык
224,Asche::N,pepél,ӕртхутӕг
225,Dreck::N,bláto,цъыф
226,Eisen::N,želézo,ӕфсӕйнаг
227,Gold::N,zlató,сыгъзӕрин
228,Silber::N,srebró,ӕвзист
229,Kohle::N,ógel,ӕвзалы
230,Glas::N,stêklo,авг
231,Lehm::N,ílo,ӕлыг
232,Sand::N,pések,змис
233,Mensch::N,člôvek,лӕг
234,Mensch::N,člôvek,адӕймаг
235,Mensch::N,člôvek,удгоймаг
236,Mann::N,móž,лӕг
237,Mann::N,móž,нӕлгоймаг
238,Mann::N,môški,лӕг
239,Mann::N,môški,нӕлгоймаг
240,Frau::N,gospá,сылгоймаг
241,Frau::N,žénska,сылгоймаг
242,Kind::N,déte,сывӕллон
243,Kind::N,otròk,сывӕллон
244,Junge::N,fànt,лӕппу
245,Junge::N,déček,лӕппу
246,Mädchen::N,deklè,чызг
247,Mädchen::N,déklica,чызг
248,Familie::N,družína,бинонтæ
249,Großvater::N,dèd,фыдыфыд
250,Großvater::N,dèd,мадыфыд
251,Großvater::N,dédek,фыдыфыд
252,Großvater::N,dédek,мадыфыд
253,Großmutter::N,bábica,фыды мад
254,Großmutter::N,bábica,мады мад
255,Eltern::N,stárši,ныййарджытæ
256,Vater::N,ôče,фыд
257,Mutter::N,máma,мад
258,Sohn::N,sín,фырт
259,Tochter::N,hčí,чызг
260,Tochter::N,hčérka,чызг
261,Bruder::N,bràt,ӕфсымӕр
262,Schwester::N,sêstra,хо
263,Onkel::N,újec,фыдыфсымӕр
264,Onkel::N,stríc,фыдыфсымӕр
265,Tante::N,têta,мадыхо
266,Tante::N,strína,мадыхо
267,Ehemann::N,móž,мой
268,Ehemann::N,sopróg,мой
269,Ehefrau::N,žêna,ус
270,Ehefrau::N,sopróga,ус
271,Freude::N,rádost,цин
272,Freude::N,rádost,циндзинад
273,Freude::N,vesêlje,цин
274,Freude::N,vesêlje,циндзинад
275,Gelächter::N,sméh,худын
276,Gelächter::N,sméh,худт
277,Gelächter::N,sméh,худæг
278,Gelächter::N,grohòt,худын
279,Gelächter::N,grohòt,худт
280,Gelächter::N,grohòt,худæг
281,Glück::N,sréča,амонд
282,Kummer::N,gorjé,хъыг
283,Wunsch::N,žêlja,бӕллиц
284,Lust::N,poželênje,монц
285,Geist::N,dúša,уд
286,Gedanke::N,mísel,хъуыды
287,Gedächtnis::N,pámet,мысæн
288,Gedächtnis::N,pámet,мысын
289,Gedächtnis::N,pámet,зæрдылдарын
290,Sinn::N,pomèn,нысаниуæг
291,Sinn::N,smísel,нысаниуæг
292,Grund::N,vzròk,ӕфсон
293,Wahrheit::N,resníca,æцæг
294,Gespräch::N,pogóvor,ныхас
295,Märchen::N,právljica,аргъау
296,Erzählung::N,povést,радзырд
297,Nachricht::N,sporočílo,уац
298,Neuigkeit::N,novóst,хабар
299,Name::N,imé,ном
300,Rätsel::N,ugánka,уыци-уыци
301,Rätsel::N,ugánka,базон-базон
302,Rede::N,góvor,раныхас
303,Sprache::N,jêzik,ӕвзаг
304,Stimme::N,glás,хъӕлӕс
305,Wort::N,beséda,дзырд
306,Zeichen::N,znák,нысан
307,Ruf::N,klíc,сидт
308,Lärm::N,hrúp,уынæр
309,Lärm::N,trúšč,уынæр
310,Laut::N,glás,зӕл
311,Laut::N,glás,мыр
312,Ton::N,tón,мыр
313,Lied::N,pésem,зарӕг
314,Ruhe::N,pokòj,æнцой
315,Leute::N,ljudjé,адӕм
316,Volk::N,národ,адӕм
317,Arbeit::N,délo,фӕллой
318,Gast::N,gòst,уазӕг
319,Geschenk::N,darílo,хуын
320,Spiel::N,ígra,хъазт
321,Gesellschaft::N,drúžba,дзыллæ
322,Gesellschaft::N,drúžba,æхсæнад
323,Hilfe::N,pomóč,æххуыс
324,Hilfe::N,pomóč,ахъаз
325,Freund::N,prijátelj,лымӕн
326,Kamerad::N,továriš,ӕмбал
327,Angelegenheit::N,zadéva,хъуыддаг
328,Anzahl::N,števílo,бӕрц
329,Art::N,vŕsta,хуыз
330,Art::N,vŕsta,хуызад
331,Stück::N,kós,кæрдих
332,Stück::N,kós,комдзаг
333,Teil::N,dél,хай
334,Hälfte::N,polovíca,æрдæг
335,Hälfte::N,polovíca,æмбис
336,Kreis::N,króg,зиллакк
337,Kreis::N,kolobár,зиллакк
338,Kreuz::N,kríž,дзуар
339,Linie::N,próga,хахх
340,Strich::N,čŕta,хахх
341,Abstand::N,preslédek,æхсæнуат
342,Entfernung::N,oddáljenost,дæрддзæг
343,Entfernung::N,oddáljenost,дардцæг
344,Gegend::N,kràj,ран
345,Gegend::N,dežêla,ран
346,Platz::N,prôstor,бууат
347,Ort::N,mésto,ран
348,Ort::N,mésto,бынат
349,Seite::N,bòk,фахс
350,Seite::N,strán,фахс
351,Mitte::N,sredína,астӕу
352,Gegenstand::N,prédmet,дзаума
353,Sache::N,réč,дзаума
354,Sache::N,stvár,дзаума
355,Rand::N,kràj,кӕрон
356,Kante::N,rób,фӕрск
357,Ecke::N,vogál,тигъ
358,Ecke::N,vogál,фисын
359,Spitze::N,óst,бырынкъ
360,Ende::N,kônec,кӕрон
361,Loch::N,lúknja,хуынкъ
362,Winkel::N,kót,къуым
363,Muster::N,vzórec,нывæфтыд
364,Muster::N,vzórec,кæдзист
365,Größe::N,veličína,ас
366,Länge::N,dolžína,дӕргъ
367,Höhe::N,vršína,бæрзонд
368,Höhe::N,vršína,бæрзæнд
369,Höhe::N,vršína,бæрзонддзинад
370,Gewicht::N,téža,уӕз
371,Menge::N,količína,бӕрц
372,Haufen::N,kùp,кӕри
373,Haufen::N,kopíca,кӕри
374,Reihe::N,níz,рӕнхъ
375,Reihe::N,vŕsta,рӕнхъ
376,Boot::N,čóln,чема
377,Ruder::N,vêslo,къохар
378,Schlitten::N,saní,дзоныгъ
379,Ski::N,smučí,къахдзоныгътæ
380,Ski::N,smučí,лыжæтæ
381,Lagerfeuer::N,táborni ôgenj,арт
382,Last::N,tôvor,уаргъ
383,Gang::N,hòd,цыд
384,Schritt::N,korák,санчъех
385,Schritt::N,korák,къахдзӕф
386,Norden::N,séver,цæгат
387,Süden::N,júg,хуссар
388,Westen::N,zapàd,ныгуылæн
389,Osten::N,vzhòd,скæсæн
390,Holz::N,lés,хъӕдӕрмӕг
391,Brett::N,deskà,фæйнæг
392,Platte::N,plôča,къӕй
393,Stütze::N,opóra,быцæу
394,Stütze::N,zaslómba,быцæу
395,Stange::N,gréd,хъил
396,Stock::N,pálica,лӕдзӕг
397,Stab::N,pálica,хъил
398,Rohr::N,cév,хӕтӕл
399,Haus::N,híša,хӕдзар
400,Heim::N,dóm,къона
401,Ofen::N,péč,пец
402,Fußboden::N,pòd,астӕрд
403,Tisch::N,míza,стъол
404,Stuhl::N,stòl,бандон
405,Wiege::N,zíbel,авдæн
406,Bett::N,póstelja,сынтӕг
407,Regal::N,políca,тӕрхӕг
408,Regal::N,políca,уӕлвӕйнӕг
409,Kiste::N,zabòj,асыкк
410,Fenster::N,ôkno,рудзынг
411,Fenster::N,ôkno,фæрссаг
412,Tür::N,vráta,дуар
413,Tor::N,velíka vráta,кулдуар
414,Zaun::N,ográja,æмбонд
415,Zaun::N,ográja,быру
416,Zaun::N,ográja,гæрæн
417,Dach::N,stréha,уӕлхӕдзар
418,Leiter::N,léstev,асин
419,Besen::N,mêtla,уисой
420,Spaten::N,lopáta,бел
421,Schaufel::N,lopáta,æвгæнæн
422,Schaufel::N,lopáta,кæфой
423,Gabel::N,vílice,вилкæ
424,Löffel::N,žlíca,уидыг
425,Messer::N,nòž,кард
426,Nagel::N,žebèlj,зӕгӕл
427,Netz::N,mréža,хыз
428,Haken::N,kljúka,хæдз
429,Haken::N,kljúka,хæбырæгъ
430,Griff::N,ročáj,фистон
431,Griff::N,oprijèm,фистон
432,Schloss::N,ključávnica,гуыдыр
433,Bild::N,slíka,ныв
434,Figur::N,figúra,кæрдгæныв
435,Figur::N,postáva,кæрдгæныв
436,Puppe::N,lútka,чындз
437,Beutel::N,môšnja,дзӕкъул
438,Bündel::N,cúla,баст
439,Bündel::N,svéženj,баст
440,Tasche::N,tórba,хызын
441,Tasche::N,tórba,дзæкъул
442,Tasche::N,tobôlec,хызын
443,Tasche::N,tobôlec,дзæкъул
444,Eimer::N,vêdro,къæрта
445,Eimer::N,vêdro,чъыбыла
446,Eimer::N,vêdro,ведра
447,Deckel::N,pokròv,сæр
448,Deckel::N,pokròv,æмбæрзæн
449,Deckel::N,poklópec,сæр
450,Deckel::N,poklópec,æмбæрзæн
451,Geschirr::N,posóda,мигæнæн
452,Geschirr::N,posóda,мигæнæнтæ
453,Sack::N,vréča,голлаг
454,Tasse::N,skodélica,пиала
455,Tasse::N,skodélica,къус
456,Topf::N,lônec,аг
457,Topf::N,lônec,чысыл аг
458,Kessel::N,kôtel,аг
459,Essen::N,hrána,хӕрд
460,Nahrung::N,živílo,хойраг
461,Speise::N,jéd,хӕринаг
462,Fleisch::N,mesó,дзидза
463,Fleisch::N,mesó,фыдызгъӕл
464,Getreide::N,žíto,халсар
465,Brei::N,káša,кас
466,Brot::N,krùh,дзул
467,Scheibe::N,réženj,къӕбӕр
468,Fett::N,mást,сой
469,Fett::N,maščôba,сой
470,Butter::N,máslo,нӕлхӕ
471,Öl::N,ólje,зети
472,Salz::N,sól,цӕхх
473,Suppe::N,júha,бас
474,Honig::N,méd,мыд
475,Milch::N,mléko,ӕхсыр
476,Tee::N,čáj,цай
477,Leder::N,úsnje,мæскуы
478,Wolle::N,vólna,фӕсмын
479,Stoff::N,blagó,хъуымац
480,Nadel::N,ígla,судзин
481,Faden::N,nít,ӕндах
482,Knopf::N,gúmb,цӕппӕр
483,Knoten::N,vôzel,ӕлхынцъ
484,Farbe::N,bárva,ахорæн
485,Kleidung::N,obléka,дарӕс
486,Hemd::N,srájca,хӕдон
487,Kragen::N,ovrátnik,æфцæггот
488,Ärmel::N,rokáv,дыс
489,Hose::N,hláče,хæлаф
490,Hose::N,hláče,æддаг хæлаф
491,Hose::N,hláče,салбар
492,Gürtel::N,pás,рон
493,Mütze::N,kápa,худ
494,Mütze::N,čépica,худ
495,Schuh::N,čévelj,басмахъ
496,Stiefel::N,škórenj,цырыхъхъ
497,Ring::N,pŕstan,къухдарӕн
498,Band::N,trák,лент
499,Kamm::N,glavník,сӕрвасӕн
500,Spiegel::N,zrcálo,айдæн
501,Spiegel::N,zrcálo,кæсæн
502,Spiegel::N,ogledálo,айдæн
503,Spiegel::N,ogledálo,кæсæн
504,Riemen::N,jêrmen,гӕрз
505,Schnur::N,vŕvca,бӕндӕн
506,Leine::N,konôpec,
507,Decke::N,odéja,хъӕццул
508,Kissen::N,blazína,баз
509,Tuch::N,pŕt,кæлмæрзæн
510,Tuch::N,pŕt,кæрдæн
511,Tuch::N,rúta,кæлмæрзæн
512,Tuch::N,rúta,кæрдæн
513,Handtuch::N,brisáča,хисæрфæн
514,Kraft::N,síla,тых
515,Kraft::N,síla,хъомыс
516,Stärke::N,jákost,тых
517,Stärke::N,jákost,æхсар
518,Gesundheit::N,zdrávje,æнæниздзинад
519,Krankheit::N,bolézen,низ
520,Krankheit::N,bolézen,рын
521,Schmerz::N,ból,рис
522,Schmerz::N,bolečína,рис
523,Wunde::N,rána,цӕф
524,Fieber::N,vročína,ризӕг
525,Fieber::N,vročína,тӕфсӕг
526,Arznei::N,lék,хос
527,Arznei::N,zdravílo,хос
528,Brücke::N,móst,хид
529,Brunnen::N,vodnják,цъай
530,Weide::N,páša,хизæн
531,Weide::N,páša,хизæнуат
532,Weide::N,páša,сæрвæт
533,Pfad::N,stezà,къахвæндаг
534,Pfad::N,stezà,къахвæд
535,Weg::N,pót,фӕндаг
536,Straße::N,césta,фӕндаг
537,Dorf::N,vás,хъӕу
538,Stadt::N,mésto,сахар
539,Brief::N,písmo,фыстӕг
540,Buch::N,knjíga,чиныг
541,Buchstabe::N,čŕka,дамгъӕ
542,Zeitung::N,čásnik,газет
543,Leben::N,življênje,цард
544,Leben::N,življênje,цӕрӕнбон
545,Tod::N,smŕt,мæлæт
546,Tod::N,smŕt,адзал
547,Grab::N,gròb,ингӕн
548,Kirche::N,cérkev,аргъуан
549,Sünde::N,gréh,тæригъæд
550,Gott::N,bóg,хуыцау
551,Arbeiter::N,délavec,кусæг
552,Chef::N,šéf,ӕмцег
553,Meister::N,mójster,мастер
554,Meister::N,mójster,дæсны
555,Arzt::N,zdravník,хосгæнæг
556,Arzt::N,zdravník,дохтыр
557,Lehrer::N,učítelj,ахуыргæнæг
558,Geld::N,denár,ӕхца
559,Geschäft::N,kupčíja,бизнес
560,Geschäft::N,kupčíja,хъуыддаг
561,Laden::N,trgovína,дукани
562,Preis::N,céna,аргъ
563,Ware::N,róba,базайраг
564,Nutzen::N,príd,пайда
565,Reichtum::N,bogástvo,хъæздыгдзинад
566,Reichtum::N,bogástvo,исбон
567,Reichtum::N,bogástvo,мулк
568,Welt::N,svét,дуне
569,Land::N,dežêla,бӕстӕ
570,Staat::N,držáva,паддзахад
571,König::N,králj,къарол
572,Macht::N,oblást,хицаудзинад
573,Grenze::N,mêja,арӕн
574,Krieg::N,vôjna,хӕст
575,Feind::N,sovrážnik,знаг
576,Feind::N,sovrážnik,фыдгул
577,Feind::N,sovrážnik,фыдзæрдæ
578,Feind::N,sovrážnik,сон
579,Gewalt::N,nasílje,тыхми
580,Gewalt::N,nasílje,тыхдзинад
581,Kampf::N,bòj,хæст
582,Kampf::N,bòj,хъæбысæйхæст
583,Kampf::N,bòj,тох
584,Kampf::N,bórba,хæст
585,Kampf::N,bórba,хъæбысæйхæст
586,Kampf::N,bórba,тох
587,Bogen[Waffe]::N,lók,ӕрдын
588,Pfeil::N,puščíca,фат
589,Gewehr::N,púška,топп
590,Fehler::N,zmóta,рӕдыд
591,Lüge::N,láž,мӕнг
592,Lüge::N,láž,гӕдыдзинад
593,Schaden::N,okvára,зиан
594,Unglück::N,nesréča,бæллæх
595,Schuld::N,krívda,азым
596,Alter::N,dôba,кар
597,Schluss::N,kônec,кæрон
598,Zeit::N,čàs,рӕстӕг
599,Tag::N,dán,бон
600,Morgen::N,jútro,райсом
601,Mittag::N,póldan,æмбисбон
602,Abend::N,večér,изӕр
603,Nacht::N,nóč,ӕхсӕв
604,Woche::N,téden,къуыри
605,Monat::N,mésec,мӕй
606,Jahr::N,léto,аз
607,Jahr::N,léto,афӕдз
608,Frühling::N,pomlád,уалдзæг
609,Sommer::N,polétje,сӕрд
610,Herbst::N,jesén,фæззæг
611,Winter::N,zíma,зымӕг
612,Januar::N,jánuar,январь
613,Februar::N,fébruar,февраль
614,März::N,márec,мартъи
615,April::N,apríl,апрель
616,Mai::N,máj,май
617,Juni::N,júnij,июнь
618,Juli::N,júlij,июль
619,August::N,avgúst,август
620,September::N,septêmber,сентябрь
621,Oktober::N,október,октябрь
622,November::N,novêmber,ноябрь
623,Dezember::N,decémber,декабрь
624,Montag::N,ponedéljek,къуырисæр
625,Dienstag::N,tôrek,дыццæг
626,Mittwoch::N,sréda,æртыццæг
627,Donnerstag::N,četŕtek,цыппæрæм
628,Freitag::N,pétek,майрæмбон
629,Samstag::N,sobóta,сабат
630,Sonntag::N,nedélja,хуыцаубон
631,groß::A,vêlik,дынджыр
632,klein::A,májhen,гыццыл
633,lang::A,dólg,даргъ
634,kurz::A,krátek,цыбыр
635,breit::A,širòk,фӕтӕн
636,schmal::A,ózek,нарӕг
637,schmal::A,ózek,уынгӕг
638,dicht::A,góst,бæзджын
639,dicht::A,góst,тар
640,dick[Gegenstand]::A,dêbel,сӕвджын
641,dünn::A,tánek,тæнæг
642,fein::A,drôben,лыстӕг
643,fest::A,tŕden,фидар
644,fest::A,tŕden,хъӕддых
645,flach::A,plán,тъӕпӕн
646,flach::A,plòsk,тъӕпӕн
647,glatt::A,gládek,лӕгъз
648,hart::A,tŕd,хъӕбӕр
649,weich::A,mehák,фӕлмӕн
650,rund::A,okrógel,тымбыл
651,spitz::A,šílast,цыргъбырынкъ
652,spitz::A,šílast,цыргъфындз
653,scharf::A,óster,цыргъ
654,stumpf::A,tóp,къуымых
655,stumpf::A,skŕhan,къуымых
656,schwer::A,têžek,уӕззау
657,schön::A,lép,аив
658,schön::A,lép,рӕсугъд
659,schön::A,krásen,аив
660,schön::A,krásen,рӕсугъд
661,heiß::A,vròč,тӕвд
662,warm::A,tôpel,хъарм
663,kalt::A,mŕzel,уазал
664,kalt::A,hláden,уазал
665,kühl::A,hláden,сатæг
666,kühl::A,hláden,уазалгомау
667,frisch::A,svéž,сатæг
668,feucht::A,vlážen,уымӕл
669,nass::A,móker,хуылыдз
670,trocken::A,súh,хус
671,voll::A,póln,дзаг
672,voll::A,póln,йедзаг 
673,leer::A,prázen,афтид
674,offen::A,odpŕt,гом
675,geschlossen::A,zapŕt,æхгæд
676,sauber::A,číst,сыгъдæг
677,sauber::A,líčen,сыгъдæг
678,schmutzig::A,umázan,чъиллон
679,roh::A,suròv,хом
680,reif::A,zrèl,рӕгъӕд
681,lecker::A,okúsen,хӕрзад
682,süß::A,sládek,адджын
683,bitter::A,grenák,судзаг
684,sauer::A,kísel,туаг
685,hell::A,svetèl,рухс
686,dunkel::A,temèn,талынг
687,schwarz::A,čŕn,сау
688,weiß::A,bél,урс
689,rot::A,rdèč,сырх
690,gelb::A,žólt,бур
691,gelb::A,rumèn,бур
692,blau::A,móder,цъӕх
693,grün::A,zelèn,цъӕх
694,grün::A,zelèn,кӕрдӕгхуыз
695,grau::A,sív,цъӕх
696,grau::A,sív,фӕныкхуыз
697,bunt::A,písan,хъулон
698,bunt::A,písan,гæрæм
699,billig::A,pocéni,аслам
700,teuer::A,drág,зынаргъ
701,wertvoll::A,dragocén,зынаргъ
702,blind::A,slép,куырм
703,taub::A,glúh,къуырма
704,kräftig::A,močán,домбай
705,kräftig::A,močán,тыхджын
706,stark::A,ják,тыхджын
707,schwach::A,šíbek,ӕнӕбон
708,fett::A,dêbel,нард
709,schlank::A,vítek,гуырвидыц
710,schlank::A,vítek,хæрзконд
711,schlank::A,vítek,рæхснæг
712,schlank::A,vítek,сагамад
713,hübsch::A,lép,аив
714,hübsch::A,lép,рӕсугъд
715,böse::A,zèl,фыдзӕрдӕ
716,böse::A,hudôben,фыдзӕрдӕ
717,dumm::A,glúp,ӕдылы
718,dumm::A,bédast,ӕдылы
719,faul::A,lén,зивӕг
720,faul::A,lén,зивӕггӕнаг
721,fleißig::A,marljív,æнæзивæг
722,fleißig::A,marljív,æнувыд
723,geizig::A,škŕt,чъынды
724,geizig::A,škŕt,æлгъин
725,geizig::A,škŕt,мæрддзæст
726,klug::A,pámeten,зондджын
727,geschickt::A,spréten,хӕрзарӕхст
728,lieb::A,míl,уарзон
729,lieb::A,ljúb,уарзон
730,lustig::A,vesél,хъӕлдзӕг
731,sanft::A,láhek,мынчын
732,hungrig::A,láčen,ӕххормаг
733,krank::A,bolán,нӕфӕразгӕ
734,nackt::A,nág,бӕгънӕг
735,traurig::A,túžen,ӕрхӕндӕг
736,lebendig::A,žív,цардӕгас
737,gut::A,dóber,хорз
738,schlecht::A,malopríden,цауд
739,richtig::A,pravílen,раст
740,schlimm::A,húd,ӕвзӕр
741,wahr::A,resníčen,ӕцӕг
742,alt::A,stàr,зӕронд
743,neu::A,nòv,ног
744,ehemalig::A,nekdánji,раздӕры
745,alt[Lebewesen]::A,stàr,ацӕргӕ
746,jung::A,mlád,ӕрыгон
747,arm::A,ubóg,мӕгуыр
