,Concept_ID,cv,uk
255,Verstand::N,ӑс-хакӑл,розум
256,Sinn::N,тупсӑм,зміст
257,Sinn::N,тупсӑм,значення
258,Sinn::N,пӗлтерӗш,зміст
259,Sinn::N,пӗлтерӗш,значення
260,Grund::N,сӑлтав,причина
261,Wahrheit::N,чӑнлӑх,правда
262,Gespräch::N,калаҫу,розмова
263,Märchen::N,юмах,байка
264,Erzählung::N,акалав,повість
265,Erzählung::N,акалав,оповідання
266,Erzählung::N,каласа пани,повість
267,Erzählung::N,каласа пани,оповідання
268,Nachricht::N,хыпар,повідомлення
269,Neuigkeit::N,ҫӗнӗ хыпар,новина
270,Name::N,ят,ім’я
271,Rätsel::N,сутмалли юмах,загадка
272,Rede::N,сӑмах,промова
273,Sprache::N,чӗлхе,мова
274,Stimme::N,сасӑ,голос
275,Wort::N,сӑмах,слово
276,Zeichen::N,паллӑ,знак
277,Ruf::N,йыхрав,оклик
278,Ruf::N,чӗнӳ,оклик
279,Lärm::N,шав,шум
280,Laut::N,сасӑ,звук
281,Ton::N,сасӑ,тон
282,Lied::N,юрӑ,пісня
283,Ruhe::N,канӑҫлӑх,спокій
284,Ruhe::N,лӑпкӑлӑх,спокій
285,Leute::N,ҫамрӑксем,люди
286,Leute::N,ҫамрӑк ҫынсем,люди
287,Volk::N,халӑх,народ
288,Arbeit::N,ӗҫхӗл,робота
289,Arbeit::N,ӗҫлев,робота
290,Gast::N,хӑна,гість
291,Geschenk::N,парне,подарунок
292,Geschenk::N,кучченеҫ,подарунок
293,Spiel::N,вӑйӑ,гра
294,Gesellschaft::N,общество,товариство
295,Hilfe::N,пулӑшу,допомога
296,Freund::N,тус,друг
297,Freund::N,тус,приятель
298,Kamerad::N,юлташ,товариш
299,Kamerad::N,тус,товариш
300,Angelegenheit::N,ӗҫ,справа
301,Anzahl::N,йыш,число
302,Anzahl::N,хисеп,число
303,Art::N,тӗс,рід
304,Stück::N,татӑк,кусок
305,Teil::N,пай,частина
306,Hälfte::N,ҫурӑ,половина
307,Kreis::N,ункӑ,круг
308,Kreis::N,ункӑ,коло
309,Kreis::N,ҫавракӑш,круг
310,Kreis::N,ҫавракӑш,коло
311,Kreuz::N,хӗрес,хрест
312,Linie::N,йӗр,лінія
313,Strich::N,йӗр,штрих
314,Abstand::N,хушӑ,проміжок
315,Entfernung::N,хушӑ,відстань
316,Gegend::N,вырӑн,місцевість
317,Platz::N,хутлӑх,площа
318,Ort::N,вырӑн,місце
319,Seite::N,ен,сторона
320,Seite::N,аяк,сторона
321,Seite::N,айӑк,сторона
322,Mitte::N,варӑ,середина
323,Gegenstand::N,япала,предмет
324,Sache::N,япала,річ
325,Rand::N,вӗҫ,край
326,Rand::N,хӗрӗ,край
327,Rand::N,хӗрри,край
328,Kante::N,хайкача,ребро
329,Kante::N,хысак,ребро
330,Ecke::N,кӗтес,ріг
331,Spitze::N,вӗҫ,кінчик
332,Ende::N,вӗҫ,кінець
333,Loch::N,шӑтӑк,діра
334,Winkel::N,кӗтес,куток
335,Muster::N,эреш,узор
336,Größe::N,пысӑкӑш,розмір
337,Länge::N,вӑрӑмӑш,довжина
338,Höhe::N,ҫӳллӗш,висота
339,Gewicht::N,виҫе,вага
340,Gewicht::N,йывӑрӑш,вага
341,Menge::N,йыш,кількість
342,Haufen::N,купа,купа
343,Reihe::N,рет,ряд
344,Boot::N,кимӗ,човен
345,Ruder::N,кӗсмен,весло
346,Schlitten::N,ҫуна,сани
347,Ski::N,йӗлтӗр,лижа
348,Lagerfeuer::N,вут,вогнище
349,Lagerfeuer::N,кӑвайт,вогнище
350,Last::N,сулмаклӑх,тягар
351,Last::N,сулмаклӑх,вантаж
352,Last::N,йывӑр япала,тягар
353,Last::N,йывӑр япала,вантаж
354,Gang::N,куҫӑм,хід
355,Schritt::N,утӑм,крок
356,Schritt::N,пусӑм,крок
357,Norden::N,ҫурҫӗр,північ
358,Süden::N,кӑнтӑр,південь
359,Westen::N,анӑҫ,захід
360,Westen::N,хӗвел анӑҫ,захід
361,Osten::N,хӗвел тухӑҫ,схід
362,Holz::N,йывӑҫ,дрова
363,Brett::N,хӑма,дошка
364,Platte::N,плита,плита
365,Stütze::N,ура,підпірка
366,Stange::N,шерте,жердина
367,Stock::N,патак,палиця
368,Stab::N,шӑчӑ,палиця
369,Rohr::N,пӑрӑх,труба
370,Haus::N,ҫурт,дім
371,Haus::N,ҫурт,хата
372,Heim::N,кил,житло
373,Ofen::N,кӑмака,піч
374,Fußboden::N,урай,підлога
375,Tisch::N,сӗтел,стіл
376,Stuhl::N,пукан,стілець
377,Wiege::N,сӑпка,колиска
378,Bett::N,кравать,ліжко
379,Bett::N,кравать,постіль
380,Regal::N,ҫӳлӗк,полиця
381,Regal::N,сентре,полиця
382,Kiste::N,ещӗк,ящик
383,Kiste::N,сунтӑх,ящик
384,Fenster::N,чӳрече,вікно
385,Tür::N,алӑк,двері
386,Tor::N,хапха,ворота
387,Zaun::N,хӳме,паркан
388,Zaun::N,хӳме,огорожа
389,Dach::N,тӑрӑ,дах
390,Leiter::N,пусма,драбина
391,Besen::N,шӑпӑр,мітла
392,Spaten::N,кӗреҫе,заступ
393,Schaufel::N,кӗреҫе,совок
394,Schaufel::N,кӗреҫе,лопата
395,Gabel::N,вилка,виделка
396,Löffel::N,кашӑк,ложка
397,Messer::N,ҫӗҫӗ,ніж
398,Nagel::N,пӑта,цвях
399,Netz::N,тетел,сіть
400,Haken::N,йӑрхах,крюк
401,Haken::N,ҫекӗл,крюк
402,Griff::N,хӑлӑп,ручка
403,Griff::N,хӑлӑп,держак
404,Schloss::N,ҫӑра,замок
405,Bild::N,сӑн,картина
406,Bild::N,сӑнлӑх,картина
407,Bild::N,картина,картина
408,Figur::N,кӗлетке,фігура
409,Puppe::N,пукане,лялька
410,Beutel::N,михӗ,мішечок
411,Beutel::N,михӗ,торбинка
412,Bündel::N,ҫыхӑ,в’язка
413,Bündel::N,тӗрке,в’язка
414,Tasche::N,сумка,сумка
415,Eimer::N,витре,відро
416,Deckel::N,хупӑ,кришка
417,Geschirr::N,савӑт-сапа,посуд
418,Sack::N,михӗ,мішок
419,Tasse::N,курка,чашка
420,Topf::N,кастрюль,горщик
421,Kessel::N,хуран,котел
422,Essen::N,апат,їжа
423,Nahrung::N,апат-ҫимӗс,харч
424,Speise::N,апат,страва
425,Speise::N,ҫимӗҫ,страва
426,Fleisch::N,аш,м’ясо
427,Fleisch::N,какай,м’ясо
428,Getreide::N,тырӑ,хліб
429,Getreide::N,тырӑ,збіжжя
430,Brei::N,пӑтӑ,каша
431,Brot::N,ҫӑкӑр,хліб
432,Scheibe::N,чӗлӗ,скибочка
433,Scheibe::N,касӑк,скибочка
434,Fett::N,ҫу,жир
435,Butter::N,ҫу,масло
436,Öl::N,ҫу,олія
437,Salz::N,тӑвар,сіль
438,Suppe::N,яшка,суп
439,Honig::N,пыл,мед
440,Milch::N,сӗт,молоко
441,Tee::N,чей,чай
442,Leder::N,сӑран,шкіра
443,Wolle::N,ҫӑм,шерсть
444,Stoff::N,тӗртӗм,тканина
445,Nadel::N,йӗп,голка
446,Faden::N,ҫип,нитка
447,Knopf::N,тӳме,ґудзик
448,Knoten::N,йӑлӑ,вузол
449,Farbe::N,сӑрӑ,фарба
450,Kleidung::N,тум,одяг
451,Kleidung::N,тум,убрання
452,Kleidung::N,ҫипуҫ,одяг
453,Kleidung::N,ҫипуҫ,убрання
454,Kleidung::N,тум-тир,одяг
455,Kleidung::N,тум-тир,убрання
456,Hemd::N,кӗпе,сорочка
457,Kragen::N,ҫуха,комір
458,Ärmel::N,ҫанӑ,рукав
459,Hose::N,шӑлавар,брюки
460,Gürtel::N,пиҫиххи,пояс
461,Mütze::N,ҫӗлӗк,шапка
462,Schuh::N,пушмак,ботинок
463,Schuh::N,ботинок,ботинок
464,Stiefel::N,атӑ,чобіт
465,Ring::N,ҫӗрӗ,кільце
466,Band::N,хаю,стрічка
467,Band::N,йӗсме,стрічка
468,Kamm::N,тура,гребінець
469,Spiegel::N,тӗкӗр,дзеркало
470,Spiegel::N,куҫ кӗски,дзеркало
471,Riemen::N,чӗн,ремінь
472,Schnur::N,кантра,вірьовка
473,Leine::N,касмӑк,шворка
474,Decke::N,утиял,ковдра
475,Kissen::N,ҫытар,подушка
476,Kissen::N,минтер,подушка
477,Tuch::N,тутӑр,хустка
478,Handtuch::N,ал шӑлли,рушник
479,Kraft::N,вӑй,сила
480,Kraft::N,хӑват,сила
481,Stärke::N,хал,сила
482,Stärke::N,хӑват,сила
483,Gesundheit::N,хал,здоров’я
484,Gesundheit::N,сывлӑх,здоров’я
485,Krankheit::N,чир,хвороба
486,Schmerz::N,ырату,біль
487,Wunde::N,суран,рана
488,Fieber::N,сив чир,гарячка
489,Arznei::N,эмел,ліки
490,Brücke::N,кӗпер,міст
491,Brunnen::N,ҫӑл,колодязь
492,Brunnen::N,пусӑ,колодязь
493,Weide::N,ҫаран,пасовище
494,Pfad::N,йӗр,стежка
495,Pfad::N,сукмак,стежка
496,Weg::N,ҫул,шлях
497,Weg::N,ҫул,дорога
498,Weg::N,ҫул-йӗр,шлях
499,Weg::N,ҫул-йӗр,дорога
500,Straße::N,ҫӳрев,вулиця
501,Straße::N,ҫул ҫӳрени,вулиця
502,Dorf::N,ял,село
503,Stadt::N,хула,місто
504,Brief::N,ҫыру,лист
505,Buch::N,кӗнеке,книга
506,Buch::N,кӗнеке,книжка
507,Buchstabe::N,сас палли,буква
508,Buchstabe::N,сас палли,літера
509,Zeitung::N,хаҫат,газета
510,Leben::N,пурнӑҫ,життя
511,Tod::N,вилӗм,смерть
512,Grab::N,масар шӑтӑкӗ,могила
513,Kirche::N,чиркӳ,церква
514,Sünde::N,ҫылӑх,гріх
515,Gott::N,турӑ,бог
516,Arbeiter::N,рабочи,робітник
517,Chef::N,пуҫлӑх,хазяїн
518,Meister::N,ӑста,умілець
519,Meister::N,мастер,умілець
520,Arzt::N,врач,лікар
521,Arzt::N,тухтӑр,лікар
522,Lehrer::N,учитель,вчитель
523,Lehrer::N,вӗрентекен,вчитель
524,Geld::N,укҫа,гроші
525,Geschäft::N,бизнес,заняття
526,Laden::N,магазин,магазин
527,Laden::N,магазин,крамниця
528,Preis::N,хак,ціна
529,Ware::N,тавар,товар
530,Nutzen::N,пайта,вигода
531,Nutzen::N,пайта,користь
532,Reichtum::N,мул,багатство
533,Welt::N,тӗнче,світ
534,Land::N,ҫӗр-шыв,країна
535,Staat::N,патшàлӑх,держава
536,König::N,король,король
537,Macht::N,власть,влада
538,Grenze::N,чикӗ,кордон
539,Krieg::N,вӑрҫӑ,війна
540,Feind::N,тӑшман,ворог
541,Gewalt::N,ирӗксӗрлӳ,насильство
542,Kampf::N,кӗрешӳ,бій
543,Kampf::N,кӗрешӳ,боротьба
544,Bogen[Waffe]::N,ухӑ,лук
545,Pfeil::N,ҫӗмрен,стріла
546,Pfeil::N,ухӑ йӗппи,стріла
547,Gewehr::N,пӑшал,рушниця
548,Gewehr::N,пӑшал,гвинтівка
549,Fehler::N,йӑнӑш,помилка
550,Lüge::N,суя,брехня
551,Lüge::N,ултав,брехня
552,Schaden::N,сиен,шкода
553,Schaden::N,сиен,збиток
554,Unglück::N,шар,нещастя
555,Unglück::N,инкек,нещастя
556,Schuld::N,айӑп,провина
557,Alter::N,ҫул шучӗ,вік
558,Alter::N,ҫул шучӗ,літа
559,Schluss::N,пӗтни,кінець
560,Schluss::N,пӗтмӗш,кінець
561,Zeit::N,вӑхӑт,час
562,Tag::N,кун,день
563,Morgen::N,ир,ранок
564,Mittag::N,кӑнтӑрла,південь
565,Abend::N,каҫ,вечір
566,Nacht::N,каҫ,ніч
567,Woche::N,эрне,тиждень
568,Monat::N,уйӑх,місяць
569,Jahr::N,ҫулталӑк,рік
570,Frühling::N,ҫур,весна
571,Frühling::N,ҫуркунне,весна
572,Sommer::N,ҫу,літо
573,Sommer::N,ҫулла,літо
574,Herbst::N,кӗр,осінь
575,Herbst::N,кӗркунне,осінь
576,Winter::N,хӗл,зима
577,Winter::N,хӗлле,зима
578,Januar::N,январь,січень
579,Februar::N,февраль,лютий
580,Februar::N,кӗҫӗн кӑрлач,лютий
581,März::N,март,березень
582,März::N,пуш уйӑхӗ,березень
583,April::N,апрель,квітень
584,Mai::N,май,травень
585,Juni::N,июнь,червень
586,Juli::N,июль,липень
587,August::N,август,серпень
588,September::N,сентябрь,вересень
589,September::N,авӑн уйӑхӗ,вересень
590,Oktober::N,октябрь,жовтень
591,November::N,ноябрь,листопад
592,Dezember::N,раштав,грудень
593,Dezember::N,декабрь,грудень
594,Montag::N,тунти кун,понеділок
595,Dienstag::N,ытлари кун,вівторок
596,Mittwoch::N,юн кун,середа
597,Donnerstag::N,кӗҫнерни кун,четвер
598,Freitag::N,эрне кун,п’ятниця
599,Samstag::N,шӑмат кун,субота
600,Sonntag::N,вырсарни кун,неділя
601,groß::A,пысӑк,великий
602,klein::A,пӗчӗк,малий
603,klein::A,пӗчӗк,маленький
604,lang::A,вӑрӑм,довгий
605,kurz::A,кӗске,короткий
606,breit::A,сарлака,широкий
607,schmal::A,ансӑр,вузький
608,dicht::A,йӑвӑ,густий
609,dick[Gegenstand]::A,хулӑн,товстий
610,dünn::A,ҫинҫе,тонкий
611,dünn::A,ҫӳхе,тонкий
612,fein::A,тарай,дрібний
613,fein::A,вӗлтӗрти,дрібний
614,fest::A,тӗреклӗ,міцний
615,flach::A,лаптак,плоский
616,glatt::A,такӑр,рівний
617,glatt::A,такӑр,гладенький
618,hart::A,хытӑ,твердий
619,weich::A,ҫемҫе,м’який
620,rund::A,ҫавра,круглий
621,spitz::A,шӗвӗр,гострокінцевий
622,scharf::A,ҫивӗч,гострий
623,stumpf::A,мӑка,тупий
624,stumpf::A,пуклак,тупий
625,stumpf::A,тӗрӗнчӗк,тупий
626,stumpf::A,ӑнкарусӑр,тупий
627,schwer::A,йывӑр,важкий
628,schön::A,илемлӗ,вродливий
629,heiß::A,вӗри,жаркий
630,heiß::A,вӗри,гарячий
631,warm::A,ӑшӑ,теплий
632,kalt::A,сивӗ,холодний
633,kühl::A,уҫӑ,прохолодний
634,frisch::A,уҫӑ,свіжий
635,feucht::A,йӗпе,вогкий
636,nass::A,нӳрӗ,мокрий
637,trocken::A,типӗ,сухий
638,voll::A,тулли,повний
639,leer::A,пушӑ,пустий
640,offen::A,уҫӑ,відкритий
641,geschlossen::A,хупӑ,закритий
642,geschlossen::A,хупӑ,зачинений
643,sauber::A,таса,чистий
644,sauber::A,таса,охайний
645,schmutzig::A,пылчӑклӑ,брудний
646,schmutzig::A,вараланчӑк,брудний
647,roh::A,чӗрӗ,сирий
648,reif::A,пулнӑ,зрілий
649,reif::A,пиҫӗхнӗ,зрілий
650,reif::A,аталаннӑ,зрілий
651,reif::A,пиҫсе ҫитнӗ,зрілий
652,lecker::A,тутлӑ,смачний
653,lecker::A,техӗмлӗ,смачний
654,süß::A,пылак,солодкий
655,bitter::A,йӳҫӗ,гіркий
656,sauer::A,йӳҫӗ,кислий
657,sauer::A,йӳҫек,кислий
658,sauer::A,кӑвасак,кислий
659,hell::A,ҫутӑ,світлий
660,dunkel::A,тӗттӗм,темний
661,schwarz::A,хура,чорний
662,weiß::A,шурӑ,сивий
663,rot::A,хӗрлӗ,червоний
664,gelb::A,сарӑ,жовтий
665,blau::A,кӑвак,синій
666,grün::A,симӗс,зелений
667,grün::A,пиҫмен,зелений
668,grün::A,ӑс пухман,зелений
669,grau::A,кӑвак,сірий
670,bunt::A,чӑпар,барвистий
671,billig::A,йӳнӗ,дешевий
672,teuer::A,хаклӑ,дорогий
673,wertvoll::A,паха,цінний
674,blind::A,суккӑр,сліпий
675,taub::A,хӑлхасӑр,глухий
676,kräftig::A,хӑватлӑ,могутній
677,stark::A,вирлӗ,сильний
678,schwach::A,халсӑр,слабкий
679,fett::A,самӑр,жирний
680,fett::A,самӑр,товстий
681,fett::A,мӑнтӑр,жирний
682,fett::A,мӑнтӑр,товстий
683,schlank::A,йӑрӑс,тонкий
684,schlank::A,йӑрӑс,стрункий
685,schlank::A,яштака,тонкий
686,schlank::A,яштака,стрункий
687,hübsch::A,хитре,чарівний
688,böse::A,усал,злий
689,böse::A,усал,лихий
690,dumm::A,ухмах,дурний
691,faul::A,наян,ледачий
692,faul::A,юлхав,ледачий
693,faul::A,ӳркенчӗк,ледачий
694,fleißig::A,хастар,старанний
695,geizig::A,хытӑ,скупий
696,klug::A,ӑслӑ,мудрий
697,klug::A,ӑслӑ,розумний
698,geschickt::A,ӑста,умілий
699,lieb::A,савнӑ,милий
700,lustig::A,хаваслӑ,веселий
701,sanft::A,ачаш,лагідний
702,hungrig::A,выҫӑ,голодний
703,krank::A,чирлӗ,слабий
704,nackt::A,ҫара,голий
705,traurig::A,салхуллӑ,сумний
706,lebendig::A,чӗрӗ,живий
707,gut::A,аван,добрий
708,gut::A,лайӑх,добрий
709,schlecht::A,япӑх,поганий
710,schlecht::A,япӑх,кепський
711,schlecht::A,начар,поганий
712,schlecht::A,начар,кепський
713,richtig::A,тӗрӗс,правильний
714,schlimm::A,йӗрӗнчӗк,бридкий
715,wahr::A,чӑн,справжній
716,alt::A,кивӗ,старий
717,neu::A,ҫӗнӗ,новий
718,ehemalig::A,пулнӑ,колишній
719,alt[Lebewesen]::A,ватӑ,старий
720,jung::A,яш,молодий
721,jung::A,ҫамрӑк,молодий
722,arm::A,чухӑн,бідний
723,reich::A,пуян,багатий
724,bekannt::A,пӗлӗш,знайомий
725,berühmt::A,чаплӑ,славетний
726,fremd::A,ют,чужий
727,verschieden::A,расна,різний
728,nah::A,ҫывӑх,близький
729,nah::A,ҫывӑхри,близький
730,fern::A,инҫе,далекий
731,fern::A,аякри,далекий
732,linker::A,сулахай,лівий
733,rechter::A,сылтӑм,правий
734,anderer::A,урӑх,інакший
735,erster::A,пӗрремӗш,перший
736,zweiter::A,иккӗмӗш,другий
737,dritter::A,виҫҫӗмӗш,третій
738,letzter::A,юлашки,останній
739,allein::ADV,пӗччен,сам
740,allein::ADV,пӗччен,один
