,Concept_ID,cs,da
205,Asche::N,popel,aske
206,Dreck::N,špína,snavs
207,Eisen::N,železo,jern
208,Gold::N,zlato,guld
209,Silber::N,stříbro,sølv
210,Kohle::N,uhlí,kul
211,Glas::N,sklo,glas
212,Lehm::N,jíl,ler
213,Lehm::N,hlína,ler
214,Sand::N,písek,sand
215,Mensch::N,člověk,mennesge
216,Mann::N,muž,mand
217,Frau::N,žena,kvinde
218,Kind::N,dítě,barn
219,Junge::N,hoch,dreng
220,Junge::N,chlapec,dreng
221,Mädchen::N,děvče,pige
222,Familie::N,rodina,familie
223,Großvater::N,děd,bedstefar
224,Großvater::N,dědeček,bedstefar
225,Großmutter::N,babička,bedstemor
226,Eltern::N,rodiče,forældre
227,Vater::N,otec,far
228,Mutter::N,matka,mor
229,Sohn::N,syn,søn
230,Tochter::N,dcera,datter
231,Bruder::N,bratr,bror
232,Schwester::N,sestra,søster
233,Onkel::N,strýc,onkel
234,Tante::N,teta,tante
235,Ehemann::N,choť,ægtemand
236,Ehemann::N,manžel,ægtemand
237,Ehefrau::N,choť,hustru
238,Ehefrau::N,manželka,hustru
239,Freude::N,radost,glæde
240,Gelächter::N,smích,latter
241,Glück::N,štěstí,lykke
242,Kummer::N,žal,sorg
243,Kummer::N,trápení,sorg
244,Wunsch::N,přání,ønske
245,Lust::N,chuť,lyst
246,Geist::N,duch,ånd
247,Gedanke::N,myšlenka,tanke
248,Gedächtnis::N,paměť,hukommelse
249,Verstand::N,rozum,forstand
250,Sinn::N,smysl,mening
251,Sinn::N,smysl,betydning
252,Grund::N,důvod,grund
253,Wahrheit::N,pravda,sandhed
254,Gespräch::N,rozhovor,samtale
255,Märchen::N,pohádka,eventyr
256,Erzählung::N,povídka,fortælling
257,Nachricht::N,zpráva,efterretning
258,Neuigkeit::N,novina,nyhed
259,Neuigkeit::N,novinka,nyhed
260,Name::N,jméno,navn
261,Rätsel::N,hádanka,gåde
262,Rede::N,řeč,tale
263,Rede::N,proslov,tale
264,Sprache::N,řeč,sprog
265,Sprache::N,jazyk,sprog
266,Stimme::N,hlas,stemme
267,Wort::N,slovo,ord
268,Zeichen::N,znamení,tegn
269,Ruf::N,zavolání,råb
270,Lärm::N,hluk,larm
271,Laut::N,zvuk,lyd
272,Ton::N,tón,tone
273,Lied::N,píseň,sang
274,Ruhe::N,klid,ro
275,Ruhe::N,klid,hvile
276,Ruhe::N,pokoj,ro
277,Ruhe::N,pokoj,hvile
278,Leute::N,lidé,folk
279,Leute::N,lidé,mennesker
280,Volk::N,národ,folk
281,Arbeit::N,práce,arbejde
282,Gast::N,host,gæst
283,Geschenk::N,dar,gave
284,Spiel::N,hra,leg
285,Gesellschaft::N,společnost,selskab
286,Hilfe::N,pomoc,hjælp
287,Freund::N,přítel,ven
288,Kamerad::N,kamarád,kammerat
289,Angelegenheit::N,záležitost,sag
290,Angelegenheit::N,záležitost,anliggende
291,Anzahl::N,počet,antal
292,Art::N,druh,art
293,Stück::N,kus,stykke
294,Stück::N,kousek,stykke
295,Teil::N,díl,del
296,Teil::N,část,del
297,Hälfte::N,půl,halvdel
298,Kreis::N,kruh,cirkel
299,Kreuz::N,kříž,kors
300,Kreuz::N,kříž,kryds
301,Linie::N,linka,linie
302,Strich::N,čára,streg
303,Strich::N,čárka,streg
304,Abstand::N,vzdálenost,afstand
305,Entfernung::N,vzdálenost,afstand
306,Gegend::N,krajina,egn
307,Platz::N,prostor,plads
308,Ort::N,místo,sted
309,Seite::N,strana,side
310,Mitte::N,střed,midte
311,Mitte::N,prostředek,midte
312,Gegenstand::N,předmět,genstand
313,Sache::N,věc,sag
314,Rand::N,kraj,rand
315,Rand::N,okraj,rand
316,Kante::N,hrana,kant
317,Ecke::N,roh,hjørne
318,Spitze::N,hrot,spids
319,Spitze::N,špička,spids
320,Ende::N,konec,ende
321,Loch::N,díra,hul
322,Winkel::N,kout,vinkel
323,Muster::N,vzor,mønster
324,Größe::N,velikost,størrelse
325,Länge::N,délka,længde
326,Höhe::N,výška,højde
327,Gewicht::N,váha,vægt
328,Menge::N,množství,mængde
329,Haufen::N,kupa,bunke
330,Haufen::N,hromada,bunke
331,Reihe::N,řada,række
332,Reihe::N,řádek,række
333,Boot::N,člun,båd
334,Ruder::N,veslo,åre
335,Schlitten::N,sáně,kælk
336,Schlitten::N,sáně,slæde
337,Ski::N,lyže,ski
338,Lagerfeuer::N,táborák,lejrbål
339,Last::N,náklad,last
340,Last::N,náklad,byrde
341,Last::N,břemeno,last
342,Last::N,břemeno,byrde
343,Gang::N,chůze,gang
344,Gang::N,chodba,gang
345,Schritt::N,krok,skridt
346,Norden::N,sever,nord
347,Süden::N,jih,syd
348,Westen::N,západ,vest
349,Osten::N,východ,øst
350,Holz::N,dřevo,træ
351,Brett::N,prkno,bræt
352,Platte::N,deska,plade
353,Stütze::N,opěra,støtte
354,Stange::N,tyč,stang
355,Stange::N,tyčka,stang
356,Stock::N,hůlka,stok
357,Stab::N,hůl,stav
358,Rohr::N,trubka,rør
359,Haus::N,dům,hus
360,Heim::N,domov,hjem
361,Ofen::N,kamna,ovn
362,Fußboden::N,podlaha,gulv
363,Tisch::N,stůl,bord
364,Stuhl::N,židle,stol
365,Wiege::N,kolébka,vugge
366,Bett::N,postel,seng
367,Regal::N,regál,reol
368,Regal::N,police,reol
369,Kiste::N,bedna,kasse
370,Fenster::N,okno,vindue
371,Tür::N,dveře,dør
372,Tor::N,vrata,port
373,Zaun::N,plot,stakit
374,Dach::N,střecha,tag
375,Leiter::N,žebřík,stige
376,Besen::N,koště,kost
377,Besen::N,smeták,kost
378,Spaten::N,rýč,spade
379,Schaufel::N,lopata,skovl
380,Gabel::N,vidlička,gaffel
381,Löffel::N,lžíce,ske
382,Messer::N,nůž,kniv
383,Nagel::N,hřebík,søm
384,Netz::N,síť,net
385,Haken::N,hák,krog
386,Griff::N,držadlo,tag
387,Griff::N,držadlo,håndtag
388,Schloss::N,zámek,lås
389,Bild::N,obraz,billede
390,Figur::N,figura,figur
391,Puppe::N,panenka,dukke
392,Beutel::N,pytlík,pose
393,Bündel::N,svazek,bylt
394,Bündel::N,svazek,bundt
395,Tasche::N,taška,taske
396,Tasche::N,brašna,taske
397,Eimer::N,kýbl,spand
398,Eimer::N,vědro,spand
399,Deckel::N,víko,låg
400,Deckel::N,příklop,låg
401,Geschirr::N,nádobí,husgeråd
402,Sack::N,pytel,sæk
403,Tasse::N,šálek,kop
404,Topf::N,hrnec,gryde
405,Kessel::N,kotel,kedel
406,Essen::N,jídlo,måltid
407,Nahrung::N,strava,mad
408,Nahrung::N,strava,næring
409,Nahrung::N,potrava,mad
410,Nahrung::N,potrava,næring
411,Speise::N,jídlo,ret
412,Fleisch::N,maso,kød
413,Getreide::N,obilí,korn
414,Brei::N,kaše,grød
415,Brot::N,chléb,brød
416,Scheibe::N,krajíc,skive
417,Fett::N,tuk,fedt
418,Fett::N,omastek,fedt
419,Butter::N,máslo,smør
420,Öl::N,olej,olie
421,Salz::N,sůl,salt
422,Suppe::N,polévka,suppe
423,Honig::N,med,honning
424,Milch::N,mléko,mælk
425,Tee::N,čaj,te
426,Leder::N,kůže,skind
427,Wolle::N,vlna,uld
428,Stoff::N,látka,stof
429,Nadel::N,jehla,nål
430,Faden::N,nit,tråd
431,Knopf::N,knoflík,knap
432,Knoten::N,uzel,knude
433,Farbe::N,barva,farve
434,Kleidung::N,šaty,påklædning
435,Kleidung::N,šatstvo,påklædning
436,Hemd::N,košile,skjorte
437,Kragen::N,límec,krave
438,Ärmel::N,rukáv,ærme
439,Hose::N,kalhoty,bukser
440,Gürtel::N,pás,bælte
441,Gürtel::N,opasek,bælte
442,Mütze::N,čepice,hue
443,Schuh::N,bota,sko
444,Stiefel::N,holínka,støvle
445,Ring::N,prsten,ring
446,Band::N,pásek,bånd
447,Kamm::N,hřeben,kam
448,Spiegel::N,zrcadlo,spejl
449,Riemen::N,řemen,rem
450,Schnur::N,šňůra,snor
451,Leine::N,vodítko,snor
452,Decke::N,pokrývka,tæppe
453,Decke::N,přikrývka,tæppe
454,Kissen::N,polštář,pude
455,Tuch::N,šátek,sjaltørklæde
456,Handtuch::N,ručník,håndklæde
457,Kraft::N,síla,kraft
458,Stärke::N,síla,styrke
459,Gesundheit::N,zdraví,sundhed
460,Krankheit::N,nemoc,sygdom
461,Krankheit::N,choroba,sygdom
462,Schmerz::N,bolest,smerte
463,Wunde::N,rána,sår
464,Fieber::N,horečka,feber
465,Arznei::N,lék,medicin
466,Arznei::N,lék,lægemiddel
467,Brücke::N,most,bro
468,Brunnen::N,studna,brønd
469,Weide::N,pastva,græsgang
470,Weide::N,pastvina,græsgang
471,Pfad::N,pěšina,sti
472,Weg::N,cesta,vej
473,Straße::N,silnice,gade
474,Dorf::N,vesnice,landsby
475,Stadt::N,město,by
476,Brief::N,dopis,brev
477,Buch::N,kniha,bog
478,Buchstabe::N,písmeno,bogstav
479,Zeitung::N,noviny,avis
480,Leben::N,život,liv
481,Tod::N,smrt,død
482,Grab::N,hrob,grav
483,Kirche::N,kostel,kirke
484,Sünde::N,hřích,synd
485,Gott::N,bůh,gud
486,Arbeiter::N,dělník,arbejder
487,Arbeiter::N,pracovník,arbejder
488,Chef::N,šéf,chef
489,Chef::N,vedoucí,chef
490,Meister::N,mistr,mester
491,Arzt::N,lékař,læge
492,Lehrer::N,učitel,lærer
493,Geld::N,peníze,penge
494,Geschäft::N,obchod,forretning
495,Laden::N,krám,butik
496,Laden::N,krám,forretning
497,Preis::N,cena,pris
498,Ware::N,zboží,vare
499,Nutzen::N,užitek,nytte
500,Reichtum::N,bohatství,rigdom
501,Welt::N,svět,verden
502,Land::N,země,land
503,Staat::N,stát,stat
504,König::N,král,konge
505,Macht::N,moc,magt
506,Macht::N,mocnost,magt
507,Grenze::N,hranice,grænse
508,Krieg::N,válka,krig
509,Feind::N,nepřítel,fjende
510,Gewalt::N,násilí,vold
511,Kampf::N,boj,kamp
512,Bogen[Waffe]::N,luk,bue
513,Pfeil::N,šíp,pil
514,Gewehr::N,puška,gevær
515,Gewehr::N,ručnice,gevær
516,Fehler::N,chyba,fejl
517,Lüge::N,lež,løgn
518,Schaden::N,škoda,skade
519,Unglück::N,neštěstí,uheld
520,Unglück::N,neštěstí,ulykke
521,Schuld::N,vina,skyld
522,Alter::N,věk,alder
523,Schluss::N,konec,slut
524,Schluss::N,konec,slutning
525,Zeit::N,čas,tid
526,Tag::N,den,dag
527,Morgen::N,ráno,morgen
528,Morgen::N,jitro,morgen
529,Mittag::N,poledne,middag
530,Abend::N,večer,aften
531,Nacht::N,noc,nat
532,Woche::N,týden,uge
533,Monat::N,měsíc,måned
534,Jahr::N,rok,år
535,Frühling::N,jaro,forår
536,Sommer::N,léto,sommer
537,Herbst::N,podzim,efterår
538,Winter::N,zima,vinter
539,Januar::N,leden,januar
540,Februar::N,únor,februar
541,März::N,březen,marts
542,April::N,duben,april
543,Mai::N,květen,maj
544,Juni::N,červen,juni
545,Juli::N,červenec,juli
546,August::N,srpen,august
547,September::N,září,september
548,Oktober::N,říjen,oktober
549,November::N,listopad,november
550,Dezember::N,prosinec,december
551,Montag::N,pondělí,mandag
552,Montag::N,pondělek,mandag
553,Dienstag::N,úterý,tirsdag
554,Mittwoch::N,středa,onsdag
555,Donnerstag::N,čtvrtek,torsdag
556,Freitag::N,pátek,fredag
557,Samstag::N,sobota,lørdag
558,Sonntag::N,neděle,søndag
559,groß::A,velký,stor
560,klein::A,malý,lille
561,lang::A,dlouhý,lang
562,kurz::A,krátký,kort
563,breit::A,široký,bred
564,schmal::A,úzký,smal
565,dicht::A,hustý,tæt
566,dick[Gegenstand]::A,tlustý,tyk
567,dünn::A,tenký,tynd
568,fein::A,jemný,fin
569,fest::A,pevný,fast
570,flach::A,plochý,flad
571,flach::A,placatý,flad
572,glatt::A,hladký,glat
573,hart::A,tvrdý,hård
574,weich::A,měkký,blød
575,rund::A,kulatý,rund
576,rund::A,okrouhlý,rund
577,spitz::A,špičatý,spids
578,scharf::A,ostrý,skarp
579,stumpf::A,tupý,sløv
580,stumpf::A,tupý,stump
581,schwer::A,těžký,tung
582,schön::A,pěkný,skøn
583,schön::A,krásný,skøn
584,heiß::A,horký,hed
585,warm::A,teplý,varm
586,kalt::A,studený,kold
587,kühl::A,chladný,kølig
588,frisch::A,svěží,frisk
589,feucht::A,vlhký,fugtig
590,nass::A,mokrý,våd
591,trocken::A,suchý,tør
592,voll::A,plný,fuld
593,leer::A,prázdný,tom
594,offen::A,otevřený,åben
595,geschlossen::A,zavřený,lukket
596,sauber::A,čistý,ren
597,schmutzig::A,špinavý,snavset
598,roh::A,syrový,rå
599,reif::A,zralý,moden
600,lecker::A,chutný,lækker
601,süß::A,sladký,sød
602,bitter::A,hořký,bitter
603,sauer::A,kyselý,sur
604,hell::A,světlý,lys
605,dunkel::A,temný,mørk
606,schwarz::A,černý,sort
607,weiß::A,bílý,hvid
608,rot::A,rudý,rød
609,rot::A,červený,rød
610,gelb::A,žlutý,gul
611,blau::A,modrý,blå
612,grün::A,zelený,grøn
613,grau::A,šedý,grå
614,grau::A,šedivý,grå
615,bunt::A,pestrý,broget
616,billig::A,levný,billig
617,billig::A,laciný,billig
618,teuer::A,drahý,dyr
619,wertvoll::A,cenný,værdifuld
620,blind::A,slepý,blind
621,taub::A,hluchý,døv
622,kräftig::A,silný,kraftig
623,stark::A,silný,stærk
624,schwach::A,slabý,svag
625,fett::A,tučný,fed
626,fett::A,tlustý,fed
627,schlank::A,štíhlý,slank
628,hübsch::A,hezký,køn
629,böse::A,zlý,ond
630,böse::A,zlý,slem
631,dumm::A,hloupý,dum
632,faul::A,líný,doven
633,fleißig::A,pilný,flittig
634,geizig::A,lakomý,gerrig
635,klug::A,chytrý,klog
636,geschickt::A,šikovný,dygtig
637,geschickt::A,šikovný,behændig
638,lieb::A,milý,rar
639,lustig::A,veselý,lystig
640,sanft::A,mírný,blid
641,hungrig::A,hladový,sulten
642,krank::A,nemocný,syg
643,nackt::A,nahý,nøgen
644,traurig::A,smutný,bedrøvet
645,traurig::A,truchlivý,bedrøvet
646,lebendig::A,živý,levende
647,gut::A,dobrý,god
648,schlecht::A,špatný,dårlig
649,richtig::A,pravý,rigtig
650,richtig::A,správný,rigtig
651,schlimm::A,zlý,slem
652,wahr::A,pravdivý,sand
653,alt::A,starý,gammel
654,neu::A,nový,ny
655,ehemalig::A,bývalý,forhenværende
656,alt[Lebewesen]::A,starý,gammel
657,jung::A,mladý,ung
658,arm::A,chudý,fattig
659,reich::A,bohatý,rig
660,bekannt::A,známý,kendt
661,berühmt::A,slavný,berømt
662,fremd::A,cizí,fremmed
663,verschieden::A,různý,forskellig
664,verschieden::A,rozličný,forskellig
665,nah::A,blízký,nær
666,fern::A,daleký,fjern
667,linker::A,levý,venstre
668,rechter::A,pravý,højre
669,anderer::A,jiný,anden
670,erster::A,první,første
671,zweiter::A,druhý,anden
672,dritter::A,třetí,tredje
673,letzter::A,poslední,sidste
674,allein::ADV,sám,alene
675,auf einmal::ADV,najednou,på én gang
676,zusammen::ADV,spolu,sammen
677,zusammen::ADV,dohromady,sammen
678,lange::ADV,dlouho,længe
679,plötzlich::ADV,vtom,pludselig
680,plötzlich::ADV,náhle,pludselig
681,sofort::ADV,hned,straks
682,sofort::ADV,ihned,straks
683,später::ADV,později,senere
684,jetzt::ADV,teď,nu
685,jetzt::ADV,nyní,nu
686,heute::ADV,dnes,i dag
687,heute::ADV,dneska,i dag
688,morgen::ADV,zítra,i morgen
689,bald::ADV,brzo,snart
690,dann::ADV,pak,så
691,dann::ADV,potom,så
692,gestern::ADV,včera,i går
693,einst::ADV,kdysi,engang
694,damals::ADV,tehdy,dengang
695,damals::ADV,tenkrát,dengang
696,danach::ADV,podle toho,derefter
697,vorher::ADV,dříve,før
698,vorher::ADV,dříve,forud
699,vorher::ADV,napřed,før
700,vorher::ADV,napřed,forud
701,zuerst::ADV,nejprve,først
702,zuerst::ADV,nejdříve,først
703,einmal::ADV,jednou,en gang
704,manchmal::ADV,někdy,sommetider
705,oft::ADV,často,ofte
706,immer::ADV,vždy,altid
707,immer::ADV,stále,altid
708,niemals::ADV,nikdy,aldrig
709,hier::ADV,zde,her
710,hier::ADV,tady,her
711,hierhin::ADV,sem,hid
712,hierhin::ADV,sem,herhen
713,von hier::ADV,odtud,herfra
714,dort::ADV,tam,der
715,dorthin::ADV,tam,derhen
716,geradeaus::ADV,rovně,lige ud
717,vorwärts::ADV,kupředu,fremad
718,rückwärts::ADV,zpět,baglæns
719,zurück::ADV,zpět,tilbage
720,zurück::ADV,nazpět,tilbage
721,unten::ADV,dole,nede
722,unten::ADV,dole,forneden
723,hinab::ADV,dolů,ned
724,hinab::ADV,dolů,nedad
725,oben::ADV,nahoře,oppe
726,oben::ADV,nahoře,ovenpå
727,oben::ADV,navrchu,oppe
728,oben::ADV,navrchu,ovenpå
729,hinauf::ADV,nahoru,op
730,hinauf::ADV,nahoru,opad
731,überall::ADV,všude,overalt
732,nicht::ADV,ne,ikke
733,ein wenig::ADV,trochu,lidt
734,kaum::ADV,sotva,knap
735,kaum::ADV,sotva,næppe
736,sehr::ADV,velmi,meget
737,sehr::ADV,velice,meget
738,so::ADV,tak,så
739,so::ADV,takto,så
740,noch::ADV,ještě,endnu
741,nur::ADV,jen,kun
742,nur::ADV,jen,bare
743,nur::ADV,jenom,kun
744,nur::ADV,jenom,bare
745,schon::ADV,už,alt
746,schon::ADV,už,allerede
747,schon::ADV,již,alt
748,schon::ADV,již,allerede
749,wieder::ADV,zase,igen
750,vergebens::ADV,marně,forgæves
751,vor::PRP,před,foran
752,vor::PRP,před,uden for
753,hinter::PRP,za,bag
754,hinter::PRP,za,bagved
755,unter::PRP,pod,under
756,durch::PRP,skrz,gennem
757,durch::PRP,skrz,igennem
758,neben::PRP,vedle,ved siden af
759,zwischen::PRP,mezi,mellem
760,wegen::PRP,pro,på grund af
761,dies::PRN,toto,dette
762,dies::PRN,tohle,dette
763,das::PRN,to,det
764,alles::PRN,všechno,alt
765,ich::PRN,já,jeg
766,du::PRN,ty,du
767,er::PRN,on,han
768,wir::PRN,my,vi
769,ihr::PRN,vy,I
770,sie::PRN,oni,de
771,was::FPRN,co,hvad
772,wer::FPRN,kdo,hvem
773,wo::FADV,kde,hvor
774,wohin::FADV,kam,hvorhen
775,wie::FADV,jak,hvordan
776,warum::FADV,proč,hvorfor
777,wieviel::FNUM,kolik,hvor meget
778,eins::NUM,jeden,én
779,zwei::NUM,dva,to
780,drei::NUM,tři,tre
781,vier::NUM,čtyři,fire
782,fünf::NUM,pět,fem
783,sechs::NUM,šest,seks
784,sieben::NUM,sedm,syv
785,acht::NUM,osm,otte
786,neun::NUM,devět,ni
787,zehn::NUM,deset,ti
788,elf::NUM,jedenáct,elleve
789,zwölf::NUM,dvanáct,tolv
790,zwanzig::NUM,dvacet,tyve
791,dreißig::NUM,třicet,tredive
792,vierzig::NUM,čtyřicet,fyrre
793,vierzig::NUM,čtyřicet,fyrretyve
794,fünfzig::NUM,padesát,halvtreds
795,sechzig::NUM,šedesát,tres
796,siebzig::NUM,sedmdesát,halvfjerds
797,achtzig::NUM,osmdesát,firs
798,neunzig::NUM,devadesát,halvfems
799,hundert::NUM,sto,hundrede
800,tausend::NUM,tisíc,tusind
801,und::CNJ,a,og
802,oder::CNJ,nebo,eller
803,stehen::V,stát,stå
804,sitzen::V,sedět,sidde
805,liegen::V,ležet,ligge
806,hängen::V,viset,hænge
807,werden::V,stát se,blive
808,passieren::V,stát se,ske
809,passieren::V,stát se,hænde
810,beginnen::V,počít,begynde
811,enden::V,končit,ende
812,enden::V,skončit,ende
813,wechseln::V,měnit se,veksle
814,aufgehen[Sonne]::V,vyjít,gå op
815,aufgehen[Sonne]::V,vyjít,stå op
816,untergehen[Sonne]::V,zapadnout,gå ned
817,scheinen[Sonne]::V,svítit,skinne
818,donnern::V,hřmět,tordne
819,wehen::V,vát,blæse
820,wehen::V,vanout,blæse
821,strömen::V,proudit,strømme
822,fließen::V,téct,flyde
823,sich drehen::V,točit se,dreje sig
824,schwanken::V,kolísat,vakle
825,schwanken::V,houpat se,vakle
826,schwingen::V,kývat se,svinge
827,fallen::V,padat,falde
828,brennen::V,hořet,brænde
829,rauchen::V,kouřit,ryge
830,regnen::V,pršet,regne
831,gefrieren::V,zamrznout,fryse
832,tauen::V,tát,tø
833,schmelzen::V,tavit,smelte
834,trocknen::V,schnout,tørre
835,sieden::V,vřít,koge
836,faulen::V,hnít,rådne
837,verfaulen::V,shnít,rådne
838,reißen::V,roztrhat se,briste
839,versinken::V,topit se,synke
840,versinken::V,topit se,synke ned
841,versinken::V,ponořit se,synke
842,versinken::V,ponořit se,synke ned
843,vergehen::V,plynout,forløbe
844,erscheinen::V,objevit se,vise sig
845,verschwinden::V,zmizet,forsvinde
846,sinken::V,klesat,synke
847,abnehmen::V,ubýt,aftage
848,zunehmen::V,přibýt,tiltage
849,steigen::V,stoupat,stige
850,wachsen::V,růst,gro
851,wachsen::V,růst,vokse
