,Concept_ID,sl,lez
56,Geschmack::N,okús,тӏям
57,Geruch::N,vónj,ни
58,Schlaf::N,sèn,ахвар
59,Schlaf::N,spánec,ахвар
60,Traum::N,sánje,ахвар
61,Himmel::N,nebó,цав
62,Sonne::N,sónce,рагъ
63,Mond::N,lúna,варз
64,Mond::N,mésec,варз
65,Stern::N,zvézda,гъед
66,Luft::N,zràk,гьава
67,Wind::N,véter,гар
68,Welle::N,vál,лепе
69,Wasser::N,vôda,яд
70,Stein::N,kámen,къван
71,Boden::N,tlà,накьв
72,Erde::N,pŕst,ччил
73,Erde::N,zêmlja,ччил
74,Staub::N,práh,руг
75,Rauch::N,dìm,гум
76,Funke::N,ískra,цӏелхем
77,Feuer::N,ôgenj,цӏай
78,Licht::N,lúč,экв
79,Schatten::N,sénca,серин
80,Wetter::N,vrême,гьава
81,Nebel::N,meglà,ччилин циф
82,Wolke::N,oblák,циф
83,Regen::N,dèž,марф
84,Schnee::N,snég,жив
85,Eis::N,léd,мурк
86,Frost::N,zmrzál,аяз
87,Kälte::N,mràz,мекь
88,Kälte::N,mràz,мекьивал
89,Hitze::N,pripéka,зегьем
90,Raureif::N,ívje,къирав
91,Raureif::N,slána,къирав
92,Regenbogen::N,mávrica,яргъируш
93,Donner::N,gròm,цавун ван
94,Strömung::N,strúja,
95,Tropfen::N,káplja,стӏал
96,Schaum::N,péna,каф
97,Schmutz::N,nesnága,чирк
98,Schmutz::N,nesnága,кьуруш
99,See::N,jézero,вир
100,Sumpf::N,močvírje,уьлен
101,Moor::N,bárje,
102,Wiese::N,trávnik,векь
103,Wald::N,lés,там
104,Wald::N,gòzd,там
105,Hügel::N,brég,кӏунтӏ
106,Hügel::N,goríca,кӏунтӏ
107,Anhöhe::N,gríč,тепе
108,Anhöhe::N,gríč,гьуьндуьрвал
109,Anhöhe::N,višína,тепе
110,Anhöhe::N,višína,гьуьндуьрвал
111,Berg::N,gôra,дагъ
112,Berg::N,planína,дагъ
113,Gipfel::N,vŕh,кӏукӏ
114,Höhle::N,jáma,кьветӏ
115,Höhle::N,votlína,кьветӏ
116,Abhang::N,pobóčje,гуьне
117,Quelle::N,izvír,чешме
118,Bach::N,pôtok,булах
119,Fluss::N,réka,вацӏ
120,Ufer::N,brég,къерех
121,Küste::N,obála,къерех
122,Küste::N,obréžje,къерех
123,Festland::N,celína,кьурамат
124,Festland::N,kopnína,кьурамат
125,Meer::N,mórje,гьуьл
126,Bucht::N,zalív,бухта
127,Insel::N,ôtok,остров
128,Blume::N,cvetlíca,цуьк
129,Gras::N,tráva,хъач
130,Wurzel::N,korenína,дувул
131,Baum::N,drevó,ттар
132,Stamm::N,dêblo,тан
133,Rinde::N,lúbje,чкал
134,Rinde::N,skórja,чкал
135,Ast::N,véja,тӏур
136,Zweig::N,véja,хел
137,Blatt::N,líst,пеш
138,Birke::N,bréza,верх
139,Kiefer[Baum]::N,bòr,шамагъаж
140,Weide[Baum]::N,vŕba,цӏвелин ттар
141,Tanne::N,hója,ель
142,Horn::N,róg,карч
143,Feder::N,peró,цӏакул
144,Fell::N,kŕzno,хам
145,Flügel::N,krílo,лув
146,Klaue::N,párkelj,къармах
147,Kralle::N,krémpelj,пац
148,Kralle::N,krémpelj,тапас
149,Schwanz::N,rèp,ттум
150,Ei::N,jájce,кака
151,Nest::N,gnézdo,муг
152,Bau::N,brlòg,тӏеквен
153,Tier::N,živál,гьайван
154,Herde::N,čréda,суьруь
155,Kuh::N,kráva,ккал
156,Bulle::N,bìk,яц
157,Bulle::N,bìk,бугъа
158,Pferd::N,kònj,балкӏан
159,Schaf::N,ôvca,хеб
160,Schwein::N,svínja,вак
161,Hund::N,pès,кицӏ
162,Katze::N,máčka,кац
163,Bär::N,mêdved,сев
164,Eichhörnchen::N,véverica,белка
165,Elch::N,lós,лось
166,Fuchs::N,lisíca,сикӏ
167,Hase::N,zájec,къуьр
168,Maus::N,mìš,кьиф
169,Wolf::N,vólk,жанавур
170,Vogel::N,ptìč,луван ничхир
171,Vogel::N,ptíca,луван ничхир
172,Schwarm::N,játa,луж
173,Huhn::N,kokóš,верч
174,Hahn::N,petêlin,кӏек
175,Gans::N,gós,къаз
176,Adler::N,ôrel,лекь
177,Ente::N,ráca,пӏатӏ
178,Eule::N,sôva,тӏиб
179,Kranich::N,žerjàv,дурна
180,Krähe::N,vrána,къаргъа
181,Kuckuck::N,kúkavica,кукупӏ
182,Schwan::N,labód,къугь
183,Fisch::N,ríba,гъед
184,Barsch::N,ostríž,окунь
185,Hecht::N,ščúka,щука
186,Schlange[Tier]::N,káča,илан
187,Schlange[Tier]::N,káča,гъуьлягъ
188,Wurm::N,čr̀v,квак
189,Wurm::N,glísta,квак
190,Spinne::N,pájek,хуьшрекан
191,Ameise::N,mrávlja,цегв
192,Laus::N,úš,нет
193,Mücke::N,komár,ветӏ
194,Fliege::N,múha,тӏветӏ
195,Schmetterling::N,metúlj,чепелукь
196,Beere::N,jágoda,куьлуь емиш
197,Apfel::N,jábolko,ич
198,Pilz::N,góba,къарникъуз
199,Zwiebel::N,čebúla,чичӏек
200,Saat::N,séme,тумар
201,Korn::N,zŕno,твар
202,Heu::N,senó,векь
203,Heu::N,senó,векьер
204,Schale::N,lupína,пириш
205,Schale::N,lupína,хъуьруьш
206,Grube::N,jáma,фур
207,Falle::N,pást,ракьар
208,Schlinge::N,zánka,гьалкъа
209,Schlinge::N,pêtlja,гьалкъа
210,Spur::N,sléd,гел
211,Asche::N,pepél,руьхъ
212,Dreck::N,bláto,чирк
213,Dreck::N,bláto,кьуруш
214,Eisen::N,želézo,ракь
215,Gold::N,zlató,алтун
216,Silber::N,srebró,гимиш
217,Kohle::N,ógel,цӏивин
218,Glas::N,stêklo,шуьше
219,Lehm::N,ílo,ччеб
220,Sand::N,pések,къум
221,Mensch::N,člôvek,инсан
222,Mann::N,móž,итим
223,Mann::N,môški,итим
224,Frau::N,gospá,паб
225,Frau::N,gospá,дишегьли
226,Frau::N,žénska,паб
227,Frau::N,žénska,дишегьли
228,Kind::N,déte,аял
229,Kind::N,otròk,аял
230,Junge::N,fànt,гада
231,Junge::N,déček,гада
232,Mädchen::N,deklè,руш
233,Mädchen::N,déklica,руш
234,Familie::N,družína,хзан
235,Familie::N,družína,килфет
236,Großvater::N,dèd,чӏехи буба
237,Großvater::N,dédek,чӏехи буба
238,Großmutter::N,bábica,чӏехи диде
239,Eltern::N,stárši,диде-буба
240,Vater::N,ôče,буба
241,Mutter::N,máma,диде
242,Sohn::N,sín,хва
243,Tochter::N,hčí,руш
244,Tochter::N,hčérka,руш
245,Bruder::N,bràt,стха
246,Schwester::N,sêstra,вах
247,Onkel::N,újec,ими
248,Onkel::N,újec,халу
249,Onkel::N,stríc,ими
250,Onkel::N,stríc,халу
251,Tante::N,têta,эме
252,Tante::N,têta,хала
253,Tante::N,strína,эме
254,Tante::N,strína,хала
255,Ehemann::N,móž,гъуьл
256,Ehemann::N,sopróg,гъуьл
257,Ehefrau::N,žêna,паб
258,Ehefrau::N,sopróga,паб
259,Freude::N,rádost,шадвал
260,Freude::N,vesêlje,шадвал
261,Gelächter::N,sméh,хъвер
262,Gelächter::N,grohòt,хъвер
263,Glück::N,sréča,бахт
264,Kummer::N,gorjé,дерт
265,Kummer::N,gorjé,хажалат
266,Wunsch::N,žêlja,мурад
267,Lust::N,poželênje,гьевес
268,Geist::N,dúša,руьгь
269,Gedanke::N,mísel,фикир
270,Gedächtnis::N,pámet,
271,Sinn::N,pomèn,мана
272,Sinn::N,smísel,мана
273,Grund::N,vzròk,себеб
274,Wahrheit::N,resníca,керчек
275,Wahrheit::N,resníca,гьакъикъат
276,Gespräch::N,pogóvor,ихтилат
277,Märchen::N,právljica,мах
278,Erzählung::N,povést,кьиса
279,Nachricht::N,sporočílo,хабар
280,Neuigkeit::N,novóst,цӏийи хабар
281,Name::N,imé,тӏвар
282,Rätsel::N,ugánka,мискӏал
283,Rede::N,góvor,рахун
284,Sprache::N,jêzik,чӏал
285,Stimme::N,glás,ван
286,Wort::N,beséda,гаф
287,Zeichen::N,znák,ишара
288,Ruf::N,klíc,эвер
289,Lärm::N,hrúp,ван-сес
290,Lärm::N,trúšč,ван-сес
291,Laut::N,glás,ван
292,Laut::N,glás,сес
293,Ton::N,tón,ван-сес
294,Lied::N,pésem,мани
295,Ruhe::N,pokòj,ласвал
296,Ruhe::N,pokòj,фаракъат
297,Ruhe::N,pokòj,асайиш
298,Leute::N,ljudjé,инсанар
299,Volk::N,národ,халкь
300,Arbeit::N,délo,кӏвалах
301,Gast::N,gòst,мугьман
302,Geschenk::N,darílo,савкьат
303,Spiel::N,ígra,къугъун
304,Gesellschaft::N,drúžba,жемят
305,Gesellschaft::N,drúžba,общество
306,Hilfe::N,pomóč,куьмек
307,Freund::N,prijátelj,дуст
308,Kamerad::N,továriš,яр-дуст
309,Angelegenheit::N,zadéva,кар
310,Anzahl::N,števílo,сан
311,Anzahl::N,števílo,кьадар
312,Art::N,vŕsta,жуьре
313,Stück::N,kós,кӏус
314,Teil::N,dél,пай
315,Hälfte::N,polovíca,зур
316,Hälfte::N,polovíca,зур пай
317,Kreis::N,króg,круг
318,Kreis::N,króg,чкаяр
319,Kreis::N,króg,элкъвей цӏар
320,Kreis::N,kolobár,круг
321,Kreis::N,kolobár,чкаяр
322,Kreis::N,kolobár,элкъвей цӏар
323,Kreuz::N,kríž,хаш
324,Linie::N,próga,цӏар
325,Strich::N,čŕta,цӏар
326,Abstand::N,preslédek,ара
327,Entfernung::N,oddáljenost,мензил
328,Gegend::N,kràj,чка
329,Gegend::N,dežêla,чка
330,Platz::N,prôstor,ара
331,Ort::N,mésto,чка
332,Seite::N,bòk,пад
333,Seite::N,strán,пад
334,Mitte::N,sredína,юкь
335,Gegenstand::N,prédmet,затӏ
336,Sache::N,réč,шей
337,Sache::N,réč,затӏ
338,Sache::N,stvár,шей
339,Sache::N,stvár,затӏ
340,Rand::N,kràj,къерех
341,Kante::N,rób,син
342,Ecke::N,vogál,пӏипӏ
343,Spitze::N,óst,кӏвенкӏв
344,Ende::N,kônec,кьил
345,Loch::N,lúknja,тӏеквен
346,Winkel::N,kót,пӏипӏ
347,Muster::N,vzórec,гишир
348,Größe::N,veličína,кьадар
349,Länge::N,dolžína,яргъивал
350,Höhe::N,vršína,кьакьанвал
351,Gewicht::N,téža,заланвал
352,Menge::N,količína,кьадар
353,Haufen::N,kùp,хара
354,Haufen::N,kopíca,хара
355,Reihe::N,níz,жерге
356,Reihe::N,vŕsta,жерге
357,Boot::N,čóln,луьткве
358,Ruder::N,vêslo,кьусу
359,Schlitten::N,saní,гъелерар
360,Ski::N,smučí,
361,Lagerfeuer::N,táborni ôgenj,цӏай
362,Last::N,tôvor,заланвал
363,Gang::N,hòd,ериш
364,Schritt::N,korák,къадам
365,Norden::N,séver,кефер
366,Norden::N,séver,кефер пад
367,Süden::N,júg,кьибле
368,Westen::N,zapàd,рагъакӏидай пад
369,Osten::N,vzhòd,рагъэкъечӏдай пад
370,Holz::N,lés,кӏарас
371,Brett::N,deskà,кьул
372,Brett::N,deskà,тахта
373,Platte::N,plôča,
374,Stütze::N,opóra,даях
375,Stütze::N,zaslómba,даях
376,Stange::N,gréd,юрк
377,Stock::N,pálica,лаш
378,Stab::N,pálica,юрк
379,Rohr::N,cév,турба
380,Haus::N,híša,ужагъ
381,Heim::N,dóm,кӏвал
382,Ofen::N,péč,пич
383,Fußboden::N,pòd,кӏвалин ччил
384,Tisch::N,míza,стол
385,Stuhl::N,stòl,стул
386,Wiege::N,zíbel,кьеб
387,Bett::N,póstelja,тахт
388,Regal::N,políca,кьацӏ
389,Kiste::N,zabòj,ящик
390,Fenster::N,ôkno,дакӏар
391,Tür::N,vráta,рак
392,Tor::N,velíka vráta,варар
393,Zaun::N,ográja,пару
394,Dach::N,stréha,къав
395,Leiter::N,léstev,гурар
396,Besen::N,mêtla,таран кул
397,Spaten::N,lopáta,ппер
398,Schaufel::N,lopáta,хекендаз
399,Gabel::N,vílice,шиш
400,Löffel::N,žlíca,тӏур
401,Messer::N,nòž,чукӏул
402,Nagel::N,žebèlj,мих
403,Netz::N,mréža,чил
404,Haken::N,kljúka,къармах
405,Griff::N,ročáj,ттум
406,Griff::N,oprijèm,ттум
407,Schloss::N,ključávnica,куьлег
408,Bild::N,slíka,шикил
409,Bild::N,slíka,суьрет
410,Figur::N,figúra,фигура
411,Figur::N,postáva,фигура
412,Puppe::N,lútka,нини
413,Beutel::N,môšnja,тагъар
414,Bündel::N,cúla,галгам
415,Bündel::N,svéženj,галгам
416,Tasche::N,tórba,чанта
417,Tasche::N,tobôlec,чанта
418,Eimer::N,vêdro,ведре
419,Deckel::N,pokròv,кьил
420,Deckel::N,pokròv,къалпагъ
421,Deckel::N,poklópec,кьил
422,Deckel::N,poklópec,къалпагъ
423,Geschirr::N,posóda,къаб-къажах
424,Sack::N,vréča,чувал
425,Tasse::N,skodélica,сукӏра
426,Topf::N,lônec,къажгъан
427,Kessel::N,kôtel,къажгъан
428,Essen::N,hrána,тӏуьн
429,Nahrung::N,živílo,тӏуьн
430,Speise::N,jéd,хуьрек
431,Fleisch::N,mesó,як
432,Getreide::N,žíto,техил
433,Brei::N,káša,хапӏа
434,Brei::N,káša,хешил
435,Brot::N,krùh,фу
436,Scheibe::N,réženj,чӏук
437,Fett::N,mást,ягълу
438,Fett::N,maščôba,ягълу
439,Butter::N,máslo,гъери
440,Öl::N,ólje,ягълу
441,Salz::N,sól,кьел
442,Suppe::N,júha,суп
443,Suppe::N,júha,шурпа
444,Honig::N,méd,вирт
445,Milch::N,mléko,нек
446,Tee::N,čáj,чай
447,Leder::N,úsnje,тумаж
448,Wolle::N,vólna,йис
449,Stoff::N,blagó,парча
450,Nadel::N,ígla,раб
451,Faden::N,nít,гъал
452,Knopf::N,gúmb,дуьгме
453,Knoten::N,vôzel,тӏвал
454,Farbe::N,bárva,ранг
455,Kleidung::N,obléka,партал
456,Hemd::N,srájca,перем
457,Kragen::N,ovrátnik,хев
458,Ärmel::N,rokáv,хел
459,Hose::N,hláče,шалвар
460,Gürtel::N,pás,чӏул
461,Mütze::N,kápa,бармак
462,Mütze::N,kápa,бапӏах
463,Mütze::N,čépica,бармак
464,Mütze::N,čépica,бапӏах
465,Schuh::N,čévelj,ботинка
466,Stiefel::N,škórenj,чекме
467,Ring::N,pŕstan,тупӏал
468,Band::N,trák,тасма
469,Kamm::N,glavník,регъ
470,Spiegel::N,zrcálo,гуьзгуь
471,Spiegel::N,ogledálo,гуьзгуь
472,Riemen::N,jêrmen,къайиш
473,Schnur::N,vŕvca,еб
474,Leine::N,konôpec,
475,Decke::N,odéja,яргъан
476,Kissen::N,blazína,хъуьцуьган
477,Tuch::N,pŕt,шал
478,Tuch::N,rúta,шал
479,Handtuch::N,brisáča,дасмал
480,Kraft::N,síla,гуж
481,Stärke::N,jákost,къуват
482,Gesundheit::N,zdrávje,сагъвал
483,Krankheit::N,bolézen,тӏал
484,Schmerz::N,ból,тӏал
485,Schmerz::N,ból,тӏарвал
486,Schmerz::N,bolečína,тӏал
487,Schmerz::N,bolečína,тӏарвал
488,Wunde::N,rána,хер
489,Fieber::N,vročína,ифин
490,Arznei::N,lék,дарман
491,Arznei::N,zdravílo,дарман
492,Brücke::N,móst,муьгъ
493,Brunnen::N,vodnják,къуй
494,Weide::N,páša,уьруьш
495,Pfad::N,stezà,рехъ
496,Weg::N,pót,рехъ
497,Straße::N,césta,рехъ
498,Dorf::N,vás,хуьр
499,Stadt::N,mésto,шегьер
500,Brief::N,písmo,кагъаз
501,Buch::N,knjíga,улуб
502,Buchstabe::N,čŕka,гьарф
503,Zeitung::N,čásnik,газета
504,Leben::N,življênje,уьмуьр
505,Tod::N,smŕt,кьиникь
506,Grab::N,gròb,сур
507,Kirche::N,cérkev,килиса
508,Sünde::N,gréh,гунагь
509,Gott::N,bóg,аллагь
510,Arbeiter::N,délavec,фяле
511,Chef::N,šéf,гьаким
512,Meister::N,mójster,устӏар
513,Arzt::N,zdravník,доктор
514,Lehrer::N,učítelj,муаллим
515,Geld::N,denár,пул
516,Geschäft::N,kupčíja,
517,Laden::N,trgovína,магазин
518,Preis::N,céna,къимет
519,Ware::N,róba,мал
520,Ware::N,róba,товар
521,Nutzen::N,príd,хийир
522,Nutzen::N,príd,менфят
523,Reichtum::N,bogástvo,девлет
524,Welt::N,svét,дуьнья
525,Land::N,dežêla,уьлкве
526,Staat::N,držáva,пачагьлугъ
527,Staat::N,držáva,государство
528,König::N,králj,пачагь
529,Macht::N,oblást,власть
530,Grenze::N,mêja,сергьят
531,Krieg::N,vôjna,дяве
532,Feind::N,sovrážnik,душман
533,Gewalt::N,nasílje,гуж
534,Kampf::N,bòj,женг
535,Kampf::N,bórba,женг
536,Bogen[Waffe]::N,lók,чӏемерук
537,Pfeil::N,puščíca,хьел
538,Gewehr::N,púška,тфенг
539,Fehler::N,zmóta,гъалатӏ
540,Lüge::N,láž,ттаб
541,Schaden::N,okvára,зиян
542,Schaden::N,okvára,зарар
543,Unglück::N,nesréča,бала
544,Unglück::N,nesréča,бедбахтвал
545,Schuld::N,krívda,тахсир
546,Alter::N,dôba,яш
547,Schluss::N,kônec,эхир
548,Zeit::N,čàs,вяде
549,Tag::N,dán,югъ
550,Morgen::N,jútro,пакама
551,Mittag::N,póldan,нисин
552,Abend::N,večér,няни
553,Nacht::N,nóč,йиф
554,Woche::N,téden,гьафте
555,Monat::N,mésec,варз
556,Jahr::N,léto,йис
557,Frühling::N,pomlád,гатфар
558,Sommer::N,polétje,гад
559,Herbst::N,jesén,зул
560,Winter::N,zíma,кьуьд
561,Januar::N,jánuar,январь
562,Februar::N,fébruar,февраль
563,März::N,márec,март
564,April::N,apríl,апрель
565,Mai::N,máj,май
566,Juni::N,júnij,июнь
567,Juli::N,júlij,июль
568,August::N,avgúst,август
569,September::N,septêmber,сентябрь
570,Oktober::N,október,октябрь
571,November::N,novêmber,ноябрь
572,Dezember::N,decémber,декабрь
573,Montag::N,ponedéljek,ислен
574,Dienstag::N,tôrek,саласа
575,Mittwoch::N,sréda,арбе
576,Donnerstag::N,četŕtek,хемис югъ
577,Freitag::N,pétek,жуьмя
578,Freitag::N,pétek,жуьмя югъ
579,Samstag::N,sobóta,киш
580,Sonntag::N,nedélja,гьяд
581,groß::A,vêlik,еке
582,groß::A,vêlik,чӏехи
583,klein::A,májhen,гъвечӏи
584,lang::A,dólg,яргъи
585,kurz::A,krátek,куьруь
586,breit::A,širòk,гьяркьуь
587,schmal::A,ózek,гуьтӏуь
588,dicht::A,góst,къалин
589,dick[Gegenstand]::A,dêbel,
590,dünn::A,tánek,кьелечӏ
591,fein::A,drôben,шуькӏуь
592,fest::A,tŕden,кӏеви
593,flach::A,plán,кьулу
594,flach::A,plòsk,кьулу
595,glatt::A,gládek,цӏалцӏам
596,hart::A,tŕd,кӏеви
597,weich::A,mehák,хъуьтуьл
598,rund::A,okrógel,элкъвей
599,spitz::A,šílast,хци
600,scharf::A,óster,хци
601,stumpf::A,tóp,къуьруь
602,stumpf::A,skŕhan,къуьруь
603,schwer::A,têžek,залан
604,schön::A,lép,иер
605,schön::A,krásen,иер
606,heiß::A,vròč,кудай
607,warm::A,tôpel,чими
608,kalt::A,mŕzel,мекьи
609,kalt::A,hláden,мекьи
610,kühl::A,hláden,къайи
611,frisch::A,svéž,таза
612,frisch::A,svéž,михьи
613,feucht::A,vlážen,ламу
614,nass::A,móker,кьежей
615,trocken::A,súh,кьуру
616,voll::A,póln,ацӏай
617,leer::A,prázen,буш
618,leer::A,prázen,ичӏи
619,offen::A,odpŕt,ахъа
620,geschlossen::A,zapŕt,кӏеви
621,sauber::A,číst,михьи
622,sauber::A,líčen,михьи
623,schmutzig::A,umázan,чиркин
624,schmutzig::A,umázan,кьацӏай
625,roh::A,suròv,чиг
626,roh::A,suròv,ицӏи
627,reif::A,zrèl,дигмиш хьайи
628,lecker::A,okúsen,дадлу
629,süß::A,sládek,ширин
630,bitter::A,grenák,туькьуьл
631,sauer::A,kísel,цуру
632,hell::A,svetèl,экуь
633,dunkel::A,temèn,мичӏи
634,schwarz::A,čŕn,чӏулав
635,weiß::A,bél,лацу
636,rot::A,rdèč,яру
637,gelb::A,žólt,хъипи
638,gelb::A,rumèn,хъипи
639,blau::A,móder,вили
640,grün::A,zelèn,къацу
641,grau::A,sív,рехи
642,bunt::A,písan,цӏару
643,bunt::A,písan,яру-цӏару
644,billig::A,pocéni,ужуз
645,teuer::A,drág,багьа
646,wertvoll::A,dragocén,масан
647,blind::A,slép,буьркьуь
648,taub::A,glúh,биши
649,kräftig::A,močán,гужлу
650,stark::A,ják,къуватлу
651,schwach::A,šíbek,такьатсуз
652,fett::A,dêbel,куьк
653,schlank::A,vítek,шумал
654,hübsch::A,lép,гуьрчег
655,böse::A,zèl,пис
656,böse::A,hudôben,пис
657,dumm::A,glúp,ахмакь
658,dumm::A,bédast,ахмакь
659,faul::A,lén,тенпел
660,fleißig::A,marljív,сяй ийидай
661,fleißig::A,marljív,сяйи ийидай
662,geizig::A,škŕt,мискьи
663,klug::A,pámeten,акьуллу
664,geschickt::A,spréten,магьир
665,lieb::A,míl,играми
666,lieb::A,ljúb,играми
667,lustig::A,vesél,шад
668,sanft::A,láhek,назик
669,sanft::A,láhek,милайим
670,hungrig::A,láčen,гишин
671,krank::A,bolán,кефсуз
672,nackt::A,nág,кьецӏил
673,traurig::A,túžen,пашман
674,lebendig::A,žív,ччан алай
675,gut::A,dóber,хъсан
676,gut::A,dóber,вижевай
677,schlecht::A,malopríden,пис
678,richtig::A,pravílen,дуьз
679,schlimm::A,húd,нифретлу
680,wahr::A,resníčen,гьакъикъи
681,alt::A,stàr,эски
682,alt::A,stàr,куьгьне
683,neu::A,nòv,цӏийи
684,ehemalig::A,nekdánji,виликан
685,alt[Lebewesen]::A,stàr,кьуьзуь
686,jung::A,mlád,жегьил
687,arm::A,ubóg,кесиб
688,arm::A,réven,кесиб
689,reich::A,bogàt,девлетлу
690,bekannt::A,znán,чидай
691,berühmt::A,sláven,машгьур
692,berühmt::A,znamenít,машгьур
693,fremd::A,túj,ччара
694,verschieden::A,razlíčen,жуьреба-жуьре
695,nah::A,blížnji,мукьвал
696,fern::A,dáleč,яргъал
697,linker::A,lévi,чапла
698,rechter::A,désni,эрчӏи
699,anderer::A,drúgi,маса
700,anderer::A,drúgi,муькуь
701,erster::A,pŕvi,сад лагьай
702,zweiter::A,drúgi,кьвед лагьай
703,dritter::A,trétji,пуд лагьай
704,letzter::A,poslédnji,эхиримжи
705,allein::ADV,sám,кьилди
706,auf einmal::ADV,obênem,
707,zusammen::ADV,skúpaj,санал
708,lange::ADV,dólgo,яргъалди
709,plötzlich::ADV,náglo,садлагьана
710,plötzlich::ADV,nenádoma,садлагьана
711,sofort::ADV,prècej,гьасятда
712,später::ADV,poznêje,гуьгъуьнлай
713,jetzt::ADV,zdàj,гила
714,heute::ADV,dánes,къе
715,morgen::ADV,jútri,пака
716,bald::ADV,kmálu,мукьва
717,bald::ADV,kmálu,мукьвара
718,dann::ADV,nató,ахпа
719,gestern::ADV,včéraj,накь
720,einst::ADV,nékdaj,садра
721,damals::ADV,tedàj,а чӏавуз
722,damals::ADV,takràt,а чӏавуз
723,danach::ADV,potèm,ахпа
724,vorher::ADV,poprèj,вилик
725,zuerst::ADV,spŕva,сифте
726,einmal::ADV,ênkrat,садра
727,manchmal::ADV,včásih,гагь-гагь
728,oft::ADV,pogósto,гзаф вахтара
729,immer::ADV,védno,гьамиша
730,immer::ADV,zméraj,гьамиша
731,niemals::ADV,nikdàr,са чӏавузни
732,niemals::ADV,nikdàr,са вахтундани
733,hier::ADV,tù,ина
734,hier::ADV,túkaj,ина
735,hierhin::ADV,sèmkaj,иниз
736,von hier::ADV,od tú,инай
737,dort::ADV,tàm,ана
738,dorthin::ADV,tjà,аниз
739,geradeaus::ADV,rávno napréj,дуьз
740,vorwärts::ADV,napréj,вилик
741,vorwärts::ADV,napréj,виликди
742,rückwärts::ADV,zádaj,кьулухъ
743,zurück::ADV,nazáj,
744,unten::ADV,dôli,агъада
745,unten::ADV,spôdaj,агъада
746,hinab::ADV,dôl,агъуз
747,oben::ADV,gôri,винел
748,oben::ADV,zgôraj,винел
749,hinauf::ADV,gôr,виниз
750,überall::ADV,povsód,вирина
751,nicht::ADV,ne,ваъ
752,ein wenig::ADV,málo,са тӏимил
753,kaum::ADV,kómaj,жизви
754,sehr::ADV,zeló,лап
755,so::ADV,takó,икӏ
756,noch::ADV,še,гьеле
757,nur::ADV,samó,анжах
758,schon::ADV,žè,хъувуна
759,schon::ADV,žè,мадни дардиз
760,schon::ADV,žè,мадни гуьтӏуьз
761,schon::ADV,žè,мадни гуьтӏуь я
762,wieder::ADV,spét,
763,vergebens::ADV,zamàn,нагьакь
764,vergebens::ADV,zamàn,нагьакьа
765,vergebens::ADV,zastónj,нагьакь
766,vergebens::ADV,zastónj,нагьакьа
767,vor::PRP,pred,вилик
768,hinter::PRP,za,кьулухъ
769,unter::PRP,pod,кӏаник
770,durch::PRP,skózi,арадай
771,durch::PRP,skózi,-кай хкатна
772,neben::PRP,kràj,патав
773,neben::PRP,kràj,мукьув
774,neben::PRP,póleg,патав
775,neben::PRP,póleg,мукьув
776,zwischen::PRP,med,ара
777,zwischen::PRP,med,арада
778,zwischen::PRP,izmed,ара
779,zwischen::PRP,izmed,арада
780,wegen::PRP,zarádi,гъиляй
781,dies::PRN,tó,и
782,dies::PRN,tó,им
783,das::PRN,tó,а
784,das::PRN,tó,ам
785,alles::PRN,vsè,вири
786,alles::PRN,vsè,михьиз
787,ich::PRN,jàz,за
788,ich::PRN,jàz,зун
789,du::PRN,tí,вун
790,er::PRN,òn,ам
