,Concept_ID,ru,uk
115,Bucht::N,бухта,бухта
116,Bucht::N,бухта,затока
117,Insel::N,остров,острів
118,Blume::N,цветок,квітка
119,Gras::N,трава,трава
120,Wurzel::N,корень,корінь
121,Baum::N,дерево,дерево
122,Stamm::N,ствол,стовбур
123,Rinde::N,кора,кора
124,Ast::N,сук,гілка
125,Zweig::N,ветвь,галузь
126,Blatt::N,лист,лист
127,Birke::N,береза,береза
128,Kiefer[Baum]::N,сосна,сосна
129,Weide[Baum]::N,ива,верба
130,Tanne::N,ель,ялиця
131,Horn::N,рог,ріг
132,Feder::N,перо,перо
133,Fell::N,шкура,хутро
134,Flügel::N,крыло,крило
135,Klaue::N,коготь,кіготь
136,Kralle::N,лапа,лапа
137,Schwanz::N,хвост,хвіст
138,Ei::N,яйцо,яйце
139,Nest::N,гнездо,гніздо
140,Bau::N,нора,лігво
141,Tier::N,животное,тварина
142,Herde::N,стадо,стадо
143,Kuh::N,корова,корова
144,Bulle::N,бык,бик
145,Bulle::N,бык,бугай
146,Pferd::N,лошадь,кінь
147,Schaf::N,овца,вівця
148,Schwein::N,свинья,свиня
149,Hund::N,собака,собака
150,Katze::N,кошка,кішка
151,Bär::N,медведь,ведмідь
152,Eichhörnchen::N,белка,білка
153,Elch::N,лось,лось
154,Fuchs::N,лиса,лисиця
155,Hase::N,заяц,заєць
156,Maus::N,мышь,миша
157,Wolf::N,волк,вовк
158,Vogel::N,птица,птах
159,Schwarm::N,стая,зграя
160,Huhn::N,курица,курка
161,Hahn::N,петух,півень
162,Gans::N,гусь,гуска
163,Adler::N,орел,орел
164,Ente::N,утка,качка
165,Eule::N,сова,сова
166,Kranich::N,журавль,журавель
167,Krähe::N,ворона,ворона
168,Kuckuck::N,кукушка,зозуля
169,Schwan::N,лебедь,лебідь
170,Fisch::N,рыба,риба
171,Barsch::N,окунь,окунь
172,Hecht::N,щука,щука
173,Schlange[Tier]::N,змея,змія
174,Wurm::N,червяк,черв’як
175,Spinne::N,паук,павук
176,Ameise::N,муравей,мурашка
177,Laus::N,вошь,воша
178,Mücke::N,комар,комар
179,Fliege::N,муха,муха
180,Schmetterling::N,бабочка,метелик
181,Beere::N,ягода,ягода
182,Apfel::N,яблоко,яблуко
183,Pilz::N,гриб,гриб
184,Zwiebel::N,луковица,цибуля
185,Saat::N,семя,сім’я
186,Korn::N,зерно,зерно
187,Heu::N,сено,сіно
188,Schale::N,шелуха,шкірка
189,Grube::N,яма,яма
190,Falle::N,ловушка,пастка
191,Schlinge::N,силок,петля
192,Spur::N,след,слід
193,Asche::N,зола,зола
194,Asche::N,зола,попіл
195,Asche::N,пепел,зола
196,Asche::N,пепел,попіл
197,Dreck::N,грязь,бруд
198,Eisen::N,железо,залізо
199,Gold::N,золото,золото
200,Silber::N,серебро,срібло
201,Kohle::N,уголь,вугілля
202,Glas::N,стекло,скло
203,Lehm::N,глина,глина
204,Sand::N,песок,пісок
205,Mensch::N,человек,людина
206,Mann::N,мужчина,чоловік
207,Frau::N,женщина,жінка
208,Kind::N,ребенок,дитина
209,Junge::N,мальчик,хлопець
210,Mädchen::N,девочка,дівчина
211,Familie::N,семья,сім’я
212,Familie::N,семья,родина
213,Großvater::N,дедушка,дідусь
214,Großmutter::N,бабушка,бабуся
215,Eltern::N,родители,батьки
216,Vater::N,отец,батько
217,Mutter::N,мать,мати
218,Sohn::N,сын,син
219,Tochter::N,дочь,дочка
220,Bruder::N,брат,брат
221,Schwester::N,сестра,сестра
222,Onkel::N,дядя,дядько
223,Tante::N,тетя,тітка
224,Ehemann::N,муж,чоловік
225,Ehefrau::N,жена,жінка
226,Ehefrau::N,жена,дружина
227,Freude::N,радость,радощі
228,Gelächter::N,смех,сміх
229,Glück::N,счастье,щастя
230,Kummer::N,горе,горе
231,Wunsch::N,желание,бажання
232,Lust::N,влечение,бажання
233,Geist::N,дух,дух
234,Gedanke::N,мысль,думка
235,Gedächtnis::N,память,пам’ять
236,Verstand::N,ум,розум
237,Sinn::N,смысл,зміст
238,Sinn::N,смысл,значення
239,Grund::N,повод,причина
240,Wahrheit::N,правда,правда
241,Gespräch::N,беседа,розмова
242,Märchen::N,сказка,байка
243,Erzählung::N,рассказ,повість
244,Erzählung::N,рассказ,оповідання
245,Nachricht::N,сообщение,повідомлення
246,Neuigkeit::N,новость,новина
247,Name::N,имя,ім’я
248,Rätsel::N,загадка,загадка
249,Rede::N,речь,промова
250,Sprache::N,язык,мова
251,Stimme::N,голос,голос
252,Wort::N,слово,слово
253,Zeichen::N,знак,знак
254,Ruf::N,зов,оклик
255,Lärm::N,шум,шум
256,Laut::N,звук,звук
257,Ton::N,звучание,тон
258,Lied::N,песня,пісня
259,Ruhe::N,покой,спокій
260,Leute::N,люди,люди
261,Volk::N,народ,народ
262,Arbeit::N,работа,робота
263,Gast::N,гость,гість
264,Geschenk::N,подарок,подарунок
265,Spiel::N,игра,гра
266,Gesellschaft::N,общество,товариство
267,Hilfe::N,помощь,допомога
268,Freund::N,друг,друг
269,Freund::N,друг,приятель
270,Kamerad::N,приятель,товариш
271,Angelegenheit::N,дело,справа
272,Anzahl::N,количество,число
273,Art::N,вид,рід
274,Stück::N,кусок,кусок
275,Teil::N,часть,частина
276,Hälfte::N,половина,половина
277,Kreis::N,круг,круг
278,Kreis::N,круг,коло
279,Kreuz::N,крест,хрест
280,Linie::N,линия,лінія
281,Strich::N,черта,штрих
282,Abstand::N,промежуток,проміжок
283,Entfernung::N,расстояние,відстань
284,Gegend::N,местность,місцевість
285,Platz::N,пространство,площа
286,Ort::N,место,місце
287,Seite::N,сторона,сторона
288,Mitte::N,середина,середина
289,Gegenstand::N,предмет,предмет
290,Sache::N,вещь,річ
291,Rand::N,край,край
292,Kante::N,ребро,ребро
293,Ecke::N,угол,ріг
294,Spitze::N,кончик,кінчик
295,Ende::N,конец,кінець
296,Loch::N,дыра,діра
297,Winkel::N,угол,куток
298,Muster::N,узор,узор
299,Größe::N,размер,розмір
300,Länge::N,длина,довжина
301,Höhe::N,высота,висота
302,Gewicht::N,вес,вага
303,Menge::N,количество,кількість
304,Haufen::N,куча,купа
305,Reihe::N,ряд,ряд
306,Boot::N,лодка,човен
307,Ruder::N,весло,весло
308,Schlitten::N,сани,сани
309,Ski::N,лыжа,лижа
310,Lagerfeuer::N,костер,вогнище
311,Last::N,тяжесть,тягар
312,Last::N,тяжесть,вантаж
313,Gang::N,ход,хід
314,Schritt::N,шаг,крок
315,Norden::N,север,північ
316,Süden::N,юг,південь
317,Westen::N,запад,захід
318,Osten::N,восток,схід
319,Holz::N,древесина,дрова
320,Brett::N,доска,дошка
321,Platte::N,плита,плита
322,Stütze::N,подпорка,підпірка
323,Stange::N,жердь,жердина
324,Stock::N,палка,палиця
325,Stab::N,шест,палиця
326,Rohr::N,труба,труба
327,Haus::N,дом,дім
328,Haus::N,дом,хата
329,Heim::N,дом,житло
330,Ofen::N,печь,піч
331,Fußboden::N,пол,підлога
332,Tisch::N,стол,стіл
333,Stuhl::N,стул,стілець
334,Wiege::N,колыбель,колиска
335,Bett::N,постель,ліжко
336,Bett::N,постель,постіль
337,Regal::N,полка,полиця
338,Kiste::N,ящик,ящик
339,Fenster::N,окно,вікно
340,Tür::N,дверь,двері
341,Tor::N,ворота,ворота
342,Zaun::N,забор,паркан
343,Zaun::N,забор,огорожа
344,Dach::N,крыша,дах
345,Leiter::N,лестница,драбина
346,Besen::N,метла,мітла
347,Spaten::N,лопата,заступ
348,Schaufel::N,совок,совок
349,Schaufel::N,совок,лопата
350,Gabel::N,вилка,виделка
351,Löffel::N,ложка,ложка
352,Messer::N,нож,ніж
353,Nagel::N,гвоздь,цвях
354,Netz::N,сеть,сіть
355,Haken::N,крюк,крюк
356,Griff::N,ручка,ручка
357,Griff::N,ручка,держак
358,Schloss::N,замок,замок
359,Bild::N,картина,картина
360,Figur::N,фигура,фігура
361,Puppe::N,кукла,лялька
362,Beutel::N,мешок,мішечок
363,Beutel::N,мешок,торбинка
364,Bündel::N,связка,в’язка
365,Tasche::N,сумка,сумка
366,Eimer::N,ведро,відро
367,Deckel::N,крышка,кришка
368,Geschirr::N,посуда,посуд
369,Sack::N,мешок,мішок
370,Tasse::N,чашка,чашка
371,Topf::N,кастрюля,горщик
372,Kessel::N,котел,котел
373,Essen::N,еда,їжа
374,Nahrung::N,пища,харч
375,Speise::N,блюдо,страва
376,Speise::N,кушанье,страва
377,Fleisch::N,мясо,м’ясо
378,Getreide::N,хлеб,хліб
379,Getreide::N,хлеб,збіжжя
380,Brei::N,каша,каша
381,Brot::N,хлеб,хліб
382,Scheibe::N,ломоть,скибочка
383,Fett::N,жир,жир
384,Butter::N,масло,масло
385,Öl::N,масло,олія
386,Salz::N,соль,сіль
387,Suppe::N,суп,суп
388,Honig::N,мед,мед
389,Milch::N,молоко,молоко
390,Tee::N,чай,чай
391,Leder::N,кожа,шкіра
392,Wolle::N,шерсть,шерсть
393,Stoff::N,ткань,тканина
394,Nadel::N,игла,голка
395,Faden::N,нитка,нитка
396,Knopf::N,пуговица,ґудзик
397,Knoten::N,узел,вузол
398,Farbe::N,краска,фарба
399,Kleidung::N,одежда,одяг
400,Kleidung::N,одежда,убрання
401,Hemd::N,рубашка,сорочка
402,Kragen::N,воротник,комір
403,Ärmel::N,рукав,рукав
404,Hose::N,брюки,брюки
405,Gürtel::N,пояс,пояс
406,Mütze::N,шапка,шапка
407,Schuh::N,ботинок,ботинок
408,Stiefel::N,сапог,чобіт
409,Ring::N,кольцо,кільце
410,Band::N,лента,стрічка
411,Kamm::N,расческа,гребінець
412,Spiegel::N,зеркало,дзеркало
413,Riemen::N,ремень,ремінь
414,Schnur::N,веревка,вірьовка
415,Leine::N,поводок,шворка
416,Decke::N,одеяло,ковдра
417,Kissen::N,подушка,подушка
418,Tuch::N,платок,хустка
419,Handtuch::N,полотенце,рушник
420,Kraft::N,сила,сила
421,Stärke::N,крепость,сила
422,Gesundheit::N,здоровье,здоров’я
423,Krankheit::N,болезнь,хвороба
424,Schmerz::N,боль,біль
425,Wunde::N,рана,рана
426,Fieber::N,лихорадка,гарячка
427,Fieber::N,температура,гарячка
428,Arznei::N,лекарство,ліки
429,Brücke::N,мост,міст
430,Brunnen::N,колодец,колодязь
431,Weide::N,пастбище,пасовище
432,Pfad::N,тропа,стежка
433,Weg::N,путь,шлях
434,Weg::N,путь,дорога
435,Weg::N,дорога,шлях
436,Weg::N,дорога,дорога
437,Straße::N,улица,вулиця
438,Straße::N,дорога,вулиця
439,Dorf::N,деревня,село
440,Stadt::N,город,місто
441,Brief::N,письмо,лист
442,Buch::N,книга,книга
443,Buch::N,книга,книжка
444,Buchstabe::N,буква,буква
445,Buchstabe::N,буква,літера
446,Zeitung::N,газета,газета
447,Leben::N,жизнь,життя
448,Tod::N,смерть,смерть
449,Grab::N,могила,могила
450,Kirche::N,церковь,церква
451,Sünde::N,грех,гріх
452,Gott::N,бог,бог
453,Arbeiter::N,рабочий,робітник
454,Chef::N,начальник,хазяїн
455,Meister::N,мастер,умілець
456,Arzt::N,врач,лікар
457,Lehrer::N,учитель,вчитель
458,Geld::N,деньги,гроші
459,Geschäft::N,занятие,заняття
460,Laden::N,магазин,магазин
461,Laden::N,магазин,крамниця
462,Preis::N,цена,ціна
463,Ware::N,товар,товар
464,Nutzen::N,выгода,вигода
465,Nutzen::N,выгода,користь
466,Reichtum::N,богатство,багатство
467,Welt::N,мир,світ
468,Land::N,страна,країна
469,Staat::N,государство,держава
470,König::N,король,король
471,Macht::N,власть,влада
472,Grenze::N,граница,кордон
473,Krieg::N,война,війна
474,Feind::N,враг,ворог
475,Gewalt::N,насилие,насильство
476,Kampf::N,борьба,бій
477,Kampf::N,борьба,боротьба
478,Bogen[Waffe]::N,лук,лук
479,Pfeil::N,стрела,стріла
480,Gewehr::N,ружье,рушниця
481,Gewehr::N,ружье,гвинтівка
482,Fehler::N,ошибка,помилка
483,Lüge::N,ложь,брехня
484,Schaden::N,вред,шкода
485,Schaden::N,вред,збиток
486,Unglück::N,беда,нещастя
487,Schuld::N,вина,провина
488,Alter::N,возраст,вік
489,Alter::N,возраст,літа
490,Schluss::N,окончание,кінець
491,Zeit::N,время,час
492,Tag::N,день,день
493,Morgen::N,утро,ранок
494,Mittag::N,полдень,південь
495,Abend::N,вечер,вечір
496,Nacht::N,ночь,ніч
497,Woche::N,неделя,тиждень
498,Monat::N,месяц,місяць
499,Jahr::N,год,рік
500,Frühling::N,весна,весна
501,Sommer::N,лето,літо
502,Herbst::N,осень,осінь
503,Winter::N,зима,зима
504,Januar::N,январь,січень
505,Februar::N,февраль,лютий
506,März::N,март,березень
507,April::N,апрель,квітень
508,Mai::N,май,травень
509,Juni::N,июнь,червень
510,Juli::N,июль,липень
511,August::N,август,серпень
512,September::N,сентябрь,вересень
513,Oktober::N,октябрь,жовтень
514,November::N,ноябрь,листопад
515,Dezember::N,декабрь,грудень
516,Montag::N,понедельник,понеділок
517,Dienstag::N,вторник,вівторок
518,Mittwoch::N,среда,середа
519,Donnerstag::N,четверг,четвер
520,Freitag::N,пятница,п’ятниця
521,Samstag::N,суббота,субота
522,Sonntag::N,воскресенье,неділя
523,groß::A,большой,великий
524,klein::A,маленький,малий
525,klein::A,маленький,маленький
526,lang::A,длинный,довгий
527,kurz::A,короткий,короткий
528,breit::A,широкий,широкий
529,schmal::A,узкий,вузький
530,dicht::A,густой,густий
531,dick[Gegenstand]::A,толстый,товстий
532,dünn::A,тонкий,тонкий
533,fein::A,тонкий,дрібний
534,fest::A,крепкий,міцний
535,flach::A,плоский,плоский
536,glatt::A,гладкий,рівний
537,glatt::A,гладкий,гладенький
538,hart::A,твердый,твердий
539,weich::A,мягкий,м’який
540,rund::A,круглый,круглий
541,spitz::A,остроконечный,гострокінцевий
542,scharf::A,острый,гострий
543,stumpf::A,тупой,тупий
544,schwer::A,тяжелый,важкий
545,schön::A,красивый,вродливий
546,heiß::A,жаркий,жаркий
547,heiß::A,жаркий,гарячий
548,warm::A,теплый,теплий
549,kalt::A,холодный,холодний
550,kühl::A,прохладный,прохолодний
551,frisch::A,свежий,свіжий
552,feucht::A,влажный,вогкий
553,nass::A,мокрый,мокрий
554,trocken::A,сухой,сухий
555,voll::A,полный,повний
556,voll::A,наполненный,повний
557,leer::A,пустой,пустий
558,offen::A,открытый,відкритий
559,geschlossen::A,закрытый,закритий
560,geschlossen::A,закрытый,зачинений
561,sauber::A,чистый,чистий
562,sauber::A,чистый,охайний
563,schmutzig::A,грязный,брудний
564,roh::A,сырой,сирий
565,reif::A,зрелый,зрілий
566,lecker::A,вкусный,смачний
567,süß::A,сладкий,солодкий
568,bitter::A,горький,гіркий
569,sauer::A,кислый,кислий
570,hell::A,светлый,світлий
571,dunkel::A,темный,темний
572,schwarz::A,черный,чорний
573,weiß::A,белый,сивий
574,rot::A,красный,червоний
575,gelb::A,желтый,жовтий
576,blau::A,синий,синій
577,grün::A,зеленый,зелений
578,grau::A,серый,сірий
579,bunt::A,пестрый,барвистий
580,billig::A,дешевый,дешевий
581,teuer::A,дорогой,дорогий
582,wertvoll::A,ценный,цінний
583,blind::A,слепой,сліпий
584,taub::A,глухой,глухий
585,kräftig::A,могучий,могутній
586,stark::A,сильный,сильний
587,schwach::A,слабый,слабкий
588,fett::A,жирный,жирний
589,fett::A,жирный,товстий
590,schlank::A,стройный,тонкий
591,schlank::A,стройный,стрункий
592,hübsch::A,прелестный,чарівний
593,böse::A,злой,злий
594,böse::A,злой,лихий
595,dumm::A,глупый,дурний
596,faul::A,ленивый,ледачий
597,fleißig::A,прилежный,старанний
598,geizig::A,жадный,скупий
599,klug::A,умный,мудрий
600,klug::A,умный,розумний
601,geschickt::A,искусный,умілий
602,lieb::A,милый,милий
603,lustig::A,веселый,веселий
604,sanft::A,нежный,лагідний
605,hungrig::A,голодный,голодний
606,krank::A,больной,слабий
607,nackt::A,голый,голий
608,traurig::A,грустный,сумний
609,lebendig::A,живой,живий
610,gut::A,хороший,добрий
611,schlecht::A,плохой,поганий
612,schlecht::A,плохой,кепський
613,richtig::A,правильный,правильний
614,schlimm::A,отвратительный,бридкий
615,schlimm::A,мерзкий,бридкий
616,wahr::A,настоящий,справжній
617,alt::A,старый,старий
618,neu::A,новый,новий
619,ehemalig::A,бывший,колишній
620,alt[Lebewesen]::A,пожилой,старий
621,jung::A,молодой,молодий
622,arm::A,бедный,бідний
623,reich::A,богатый,багатий
624,bekannt::A,знакомый,знайомий
625,berühmt::A,знаменитый,славетний
626,fremd::A,чужой,чужий
627,verschieden::A,разный,різний
628,nah::A,близкий,близький
629,fern::A,далекий,далекий
630,linker::A,левый,лівий
631,rechter::A,правый,правий
632,anderer::A,другой,інакший
633,erster::A,первый,перший
634,zweiter::A,второй,другий
635,dritter::A,третий,третій
636,letzter::A,последний,останній
637,allein::ADV,один,сам
638,allein::ADV,один,один
639,auf einmal::ADV,сразу,відразу
640,zusammen::ADV,вместе,разом
641,zusammen::ADV,вместе,спільно
642,lange::ADV,долго,довго
643,plötzlich::ADV,вдруг,раптом
644,sofort::ADV,тотчас,зараз
645,später::ADV,позже,пізніше
646,jetzt::ADV,сейчас,тепер
647,heute::ADV,сегодня,сьогодні
648,morgen::ADV,завтра,завтра
649,bald::ADV,скоро,незабаром
650,dann::ADV,потом,потім
651,gestern::ADV,вчера,вчора
652,einst::ADV,однажды,колись
653,damals::ADV,тогда,тоді
654,danach::ADV,затем,згодом
655,vorher::ADV,раньше,раніше
656,zuerst::ADV,сперва,спершу
657,zuerst::ADV,сперва,спочатку
658,einmal::ADV,раз,один раз
659,manchmal::ADV,иногда,іноді
660,manchmal::ADV,иногда,інколи
661,oft::ADV,часто,часто
662,immer::ADV,всегда,завжди
663,niemals::ADV,никогда,ніколи
664,hier::ADV,здесь,тут
665,hierhin::ADV,сюда,сюди
666,von hier::ADV,отсюда,звідси
667,dort::ADV,там,там
668,dorthin::ADV,туда,туди
669,geradeaus::ADV,прямо,прямо
670,vorwärts::ADV,вперед,вперед
671,rückwärts::ADV,назад,назад
672,zurück::ADV,обратно,назад
673,unten::ADV,внизу,внизу
674,hinab::ADV,вниз,вниз
675,oben::ADV,наверху,вгорі
676,hinauf::ADV,вверх,вгору
677,überall::ADV,везде,скрізь
678,nicht::ADV,не,не
679,ein wenig::ADV,немного,трохи
680,ein wenig::ADV,немного,небагато
681,kaum::ADV,едва,ледве
682,sehr::ADV,очень,дуже
683,so::ADV,так,так
684,noch::ADV,еще,ще
685,nur::ADV,только,лише
686,nur::ADV,только,тільки
687,schon::ADV,уже,вже
688,wieder::ADV,опять,знову
689,vergebens::ADV,напрасно,дарма
690,vor::PRP,перед,перед
691,hinter::PRP,за,ззаду
692,hinter::PRP,за,позаду
693,hinter::PRP,позади,ззаду
694,hinter::PRP,позади,позаду
695,unter::PRP,под,під
696,durch::PRP,сквозь,крізь
697,neben::PRP,возле,біля
698,zwischen::PRP,между,між
699,wegen::PRP,из-за,з-за
700,wegen::PRP,из-за,через
701,dies::PRN,это,це
702,das::PRN,то,то
703,alles::PRN,все,все
704,ich::PRN,я,я
705,du::PRN,ты,ти
706,er::PRN,он,він
707,wir::PRN,мы,ми
708,ihr::PRN,вы,ви
709,sie::PRN,они,вони
710,was::FPRN,что,що
711,wer::FPRN,кто,хто
712,wo::FADV,где,де
713,wohin::FADV,куда,куди
714,wie::FADV,как,як
715,warum::FADV,почему,чому
716,wieviel::FNUM,сколько,скільки
717,eins::NUM,один,один
718,zwei::NUM,два,два
719,drei::NUM,три,три
720,vier::NUM,четыре,чотири
721,fünf::NUM,пять,п’ять
722,sechs::NUM,шесть,шість
723,sieben::NUM,семь,сім
724,acht::NUM,восемь,вісім
725,neun::NUM,девять,дев’ять
726,zehn::NUM,десять,десять
727,elf::NUM,одиннадцать,одинадцять
728,zwölf::NUM,двенадцать,дванадцять
729,zwanzig::NUM,двадцать,двадцять
730,dreißig::NUM,тридцать,тридцять
731,vierzig::NUM,сорок,сорок
732,fünfzig::NUM,пятьдесят,п’ятдесят
733,sechzig::NUM,шестьдесят,шістдесят
734,siebzig::NUM,семьдесят,сімдесят
735,achtzig::NUM,восемьдесят,вісімдесят
736,neunzig::NUM,девяносто,дев’яносто
737,hundert::NUM,сто,сто
738,tausend::NUM,тысяча,тисяча
739,und::CNJ,и,і
740,oder::CNJ,или,або
741,oder::CNJ,либо,або
742,stehen::V,стоять,стояти
743,sitzen::V,сидеть,сидіти
744,liegen::V,лежать,лежати
745,hängen::V,висеть,висіти
746,werden::V,стать,стати
747,werden::V,стать,робитися
748,passieren::V,случиться,трапитися
749,beginnen::V,начаться,початися
750,enden::V,кончиться,кінчитися
751,wechseln::V,меняться,мінятися
752,aufgehen[Sonne]::V,взойти,зійти
753,untergehen[Sonne]::V,зайти,зайти
754,scheinen[Sonne]::V,светить,світити
755,donnern::V,греметь,гриміти
756,wehen::V,дуть,віяти
757,strömen::V,литься,литися
758,fließen::V,течь,текти
759,sich drehen::V,вращаться,обертатися
760,schwanken::V,колебаться,коливатися
761,schwingen::V,качаться,хитатися
762,schwingen::V,качаться,гойдатися
763,fallen::V,падать,падати
764,brennen::V,гореть,горіти
765,rauchen::V,дымить,диміти
766,regnen::V,дождить,дощити
767,gefrieren::V,замерзнуть,змерзнути
768,tauen::V,таять,танути
769,schmelzen::V,плавиться,плавитися
770,trocknen::V,сохнуть,сохнути
771,sieden::V,кипеть,кипіти
772,faulen::V,гнить,гнити
773,verfaulen::V,сгнить,згнити
774,reißen::V,рваться,рватися
775,versinken::V,тонуть,тонути
776,vergehen::V,проходить,проходити
777,erscheinen::V,появиться,з’явитися
778,verschwinden::V,исчезнуть,щезнути
779,verschwinden::V,исчезнуть,зникнути
780,sinken::V,спадать,спадати
781,abnehmen::V,уменьшиться,поменшитися
782,zunehmen::V,увеличиваться,збільшуватися
783,steigen::V,подниматься,підніматися
784,wachsen::V,расти,рости
785,glänzen::V,блестеть,блищати
786,funkeln::V,сверкать,блискати
787,lärmen::V,шуметь,шуміти
788,läuten::V,звонить,дзвонити
789,klingeln::V,звонить,дзвонити
790,klirren::V,звякать,дзвякати
791,brausen::V,бушевать,бушувати
792,rauschen::V,шелестеть,шелестіти
793,klingen::V,звучать,лунати
794,klingen::V,звучать,звучати
795,bellen::V,лаять,гавкати
796,heulen::V,выть,вити
797,blasen::V,дунуть,дунути
798,pfeifen::V,свистеть,свистіти
799,schreien::V,кричать,кричати
800,stöhnen::V,стонать,стогнати
801,zittern::V,дрожать,тремтіти
802,leben::V,жить,жити
803,geboren werden::V,родиться,народитися
804,atmen::V,дышать,дихати
805,trinken::V,пить,пити
806,essen::V,есть,їсти
807,essen::V,кушать,їсти
808,schlucken::V,глотать,ковтати
809,müde werden::V,устать,втомитися
810,einschlafen::V,заснуть,заснути
811,schlafen::V,спать,спати
812,aufwachen::V,проснуться,прокинутися
813,aufstehen::V,встать,встати
814,sich erholen::V,отдыхать,відпочивати
815,krank werden::V,заболеть,захворіти
816,krank sein::V,болеть,хворіти
817,schmerzen::V,болеть,боліти
818,husten::V,кашлять,кашляти
819,genesen::V,поправиться,одужати
820,genesen::V,поправиться,видужати
821,sterben::V,умереть,померти
822,umkommen::V,погибнуть,згинути
823,sich bewegen::V,двигаться,рухатися
824,sich rühren::V,шевельнуться,ворушитися
825,sich erheben::V,встать,встати
826,sich setzen::V,сесть,сісти
827,hinfallen::V,упасть,упасти
828,laufen::V,ходить,ходити
829,schreiten::V,шагать,крокувати
830,spazierengehen::V,гулять,гуляти
831,eilen::V,спешить,спішити
832,sich beeilen::V,торопиться,поспішати
833,sausen::V,мчаться,мчатися
834,rennen::V,бегать,бігати
835,springen::V,прыгать,скакати
836,springen::V,прыгать,стрибати
837,klettern::V,лазать,лазити
838,schaukeln::V,раскачиваться,гойдатися
839,kriechen::V,ползать,повзати
840,schwimmen::V,плавать,пливти
841,schwimmen::V,плавать,плавати
842,tauchen::V,нырять,пірнати
843,rudern::V,грести,гребти
844,rudern::V,грести,веслувати
845,fahren::V,ехать,їхати
