,Concept_ID,it,cv
53,Gehirn::N,cervello,миме
54,Herz::N,cuore,чӗре
55,Magen::N,stòmaco,хырӑмлӑх
56,Leber::N,fegato,пӗвер
57,Atem::N,fiato,сывлав
58,Atem::N,respiro,сывлав
59,Hunger::N,fame,выҫлӑх
60,Träne::N,làcrima,куҫҫуль
61,Geschmack::N,gusto,техӗм
62,Geschmack::N,sapore,техӗм
63,Geruch::N,odore,шӑршӑ
64,Schlaf::N,sonno,ыйхӑ
65,Traum::N,sogno,тӗлӗк
66,Himmel::N,cielo,пӗлӗт
67,Sonne::N,sole,хӗвел
68,Mond::N,luna,уйӑх
69,Stern::N,stella,ҫӑлтӑр
70,Luft::N,aria,сывлӑш
71,Wind::N,vento,ҫил
72,Welle::N,onda,хум
73,Wasser::N,acqua,шыв
74,Wasser::N,acqua,шыв-шур
75,Stein::N,sasso,чул
76,Stein::N,pietra,чул
77,Boden::N,suolo,тӑпра
78,Boden::N,terreno,тӑпра
79,Erde::N,terra,ҫӗр
80,Staub::N,polvere,тусан
81,Rauch::N,fumo,тӗтӗм
82,Funke::N,scintilla,хӗм
83,Feuer::N,fuoco,вут
84,Feuer::N,fuoco,ҫулӑм
85,Licht::N,luce,ҫутӑ
86,Schatten::N,ombra,сулхӑн
87,Wetter::N,tempo,ҫанталӑк
88,Nebel::N,nebbia,тӗтре
89,Wolke::N,nube,пӗлӗт
90,Wolke::N,nùvola,пӗлӗт
91,Regen::N,pioggia,ҫумӑр
92,Schnee::N,neve,юр
93,Eis::N,ghiaccio,пӑр
94,Frost::N,gelo,сивӗ
95,Kälte::N,freddo,сивӗ
96,Hitze::N,caldo,вӗри
97,Hitze::N,caldo,шӑрӑх
98,Hitze::N,calura,вӗри
99,Hitze::N,calura,шӑрӑх
100,Raureif::N,brina,пас
101,Regenbogen::N,arcobaleno,асамат кӗперӗ
102,Donner::N,tuono,аслати
103,Strömung::N,corrente,юхӑ
104,Tropfen::N,goccia,тумлам
105,Schaum::N,spuma,кӑпӑк
106,Schaum::N,schiuma,кӑпӑк
107,Schmutz::N,sudiciume,пылчӑк
108,See::N,lago,кӳлӗ
109,Sumpf::N,palude,шур
110,Sumpf::N,palude,шурлӑх
111,Moor::N,torbiera,торфлӑ шурлӑх
112,Wiese::N,prato,улӑх
113,Wiese::N,prato,ҫаран
114,Wald::N,bosco,вӑрман
115,Wald::N,foresta,вӑрман
116,Hügel::N,colle,сӑрт
117,Hügel::N,colle,тӗмеске
118,Hügel::N,collina,сӑрт
119,Hügel::N,collina,тӗмеске
120,Anhöhe::N,altura,сӑрт
121,Berg::N,monte,ту
122,Berg::N,montagna,ту
123,Gipfel::N,cima,тӳпе
124,Höhle::N,grotta,ҫӗр хӑвӑлӗ
125,Höhle::N,caverna,ҫӗр хӑвӑлӗ
126,Abhang::N,pendìo,тӑвайкки
127,Quelle::N,sorgente,ҫӑл куҫ
128,Bach::N,ruscello,пӗчӗк шыв
129,Fluss::N,fiume,юхан шыв
130,Ufer::N,riva,ҫыран
131,Küste::N,costa,тинӗс ҫыранӗ
132,Festland::N,terraferma,тип ҫӗр
133,Meer::N,mare,тинӗс
134,Bucht::N,cala,тинӗс кукӑрӗ
135,Insel::N,ìsola,утрав
136,Blume::N,fiore,чечек
137,Gras::N,erba,курӑк
138,Wurzel::N,radice,тымар
139,Baum::N,àlbero,йывӑҫ
140,Stamm::N,tronco,вулӑ
141,Rinde::N,corteccia,хуйӑр
142,Ast::N,ramo,турат
143,Zweig::N,ramo,турат
144,Blatt::N,foglia,ҫулҫӑ
145,Birke::N,betulla,хурӑн
146,Kiefer[Baum]::N,pino,хыр
147,Weide[Baum]::N,sàlice,хӑва
148,Tanne::N,abete,чӑрӑш
149,Horn::N,corno,мӑйрака
150,Feder::N,penna,тӗк
151,Fell::N,manto,ҫӑм
152,Fell::N,pelame,ҫӑм
153,Flügel::N,ala,ҫунат
154,Klaue::N,grinfia,чӗрне
155,Kralle::N,unghia,ура
156,Kralle::N,artiglio,ура
157,Schwanz::N,coda,хӳре
158,Ei::N,uovo,ҫӑмарта
159,Nest::N,nido,йӑва
160,Bau::N,covo,йӗнӗ
161,Tier::N,bestia,выльӑх
162,Tier::N,animale,выльӑх
163,Herde::N,gregge,кӗтӳ
164,Kuh::N,vacca,ӗне
165,Bulle::N,toro,вӑкӑр
166,Pferd::N,cavallo,лаша
167,Schaf::N,pècora,сурӑх
168,Schwein::N,porco,сысна
169,Schwein::N,maiale,сысна
170,Hund::N,cane,йытӑ
171,Katze::N,gatta,кушак
172,Bär::N,orso,упа
173,Eichhörnchen::N,scoiàttolo,пакша
174,Elch::N,alce,пӑши
175,Fuchs::N,volpe,тилӗ
176,Hase::N,lepre,куян
177,Hase::N,lepre,мулкач
178,Maus::N,topo,шӑши
179,Maus::N,sorcio,шӑши
180,Wolf::N,lupo,кашкӑр
181,Vogel::N,uccello,кайӑк
182,Vogel::N,uccello,вӗҫен кайӑк
183,Schwarm::N,stormo,ушкӑн
184,Huhn::N,gallina,чӑх
185,Huhn::N,gallina,чӑхӑ
186,Hahn::N,gallo,автан
187,Gans::N,oca,хур
188,Adler::N,àquila,ӑмӑрт кайӑк
189,Ente::N,ànatra,кӑвакал
190,Eule::N,gufo,тӑмана
191,Eule::N,civetta,тӑмана
192,Kranich::N,gru,тӑрна
193,Krähe::N,cornacchia,ула курак
194,Kuckuck::N,cuccù,куккук
195,Kuckuck::N,cùculo,куккук
196,Schwan::N,cigno,акӑш
197,Fisch::N,pesce,пулӑ
198,Barsch::N,pèrsico,уланкӑ
199,Hecht::N,luccio,ҫӑрттан
200,Schlange[Tier]::N,serpente,ҫӗлен
201,Wurm::N,baco,ӑман
202,Wurm::N,verme,ӑман
203,Spinne::N,ragno,эрешмен
204,Ameise::N,formica,кӑткӑ
205,Laus::N,pidocchio,пыйтӑ
206,Mücke::N,zanzara,вӑрӑм туна
207,Fliege::N,mosca,шӑна
208,Schmetterling::N,farfalla,лӗпӗш
209,Beere::N,bacca,ҫырла
210,Apfel::N,mela,улма
211,Apfel::N,mela,пан улми
212,Pilz::N,fungo,кӑмпа
213,Zwiebel::N,cipolla,сухан
214,Saat::N,semente,вӑрӑ
215,Korn::N,grano,тӗшӗ
216,Korn::N,grano,пӗрчӗ
217,Heu::N,fieno,утӑ
218,Schale::N,buccia,хупӑ
219,Grube::N,cava,шӑтӑк
220,Grube::N,fossa,шӑтӑк
221,Falle::N,tràppola,тапӑ
222,Falle::N,tràppola,капкӑн
223,Schlinge::N,laccio,йӑлӑ
224,Spur::N,traccia,йӗр
225,Asche::N,cenere,кӗл
226,Dreck::N,fango,пылчӑк
227,Eisen::N,ferro,тимӗр
228,Gold::N,oro,ылтӑн
229,Silber::N,argento,кӗмӗл
230,Kohle::N,carbone,кӑмрӑк
231,Glas::N,vetro,кӗленче
232,Lehm::N,argilla,тӑм
233,Sand::N,arena,хӑйӑр
234,Sand::N,sabbia,хӑйӑр
235,Mensch::N,uomo,ҫын
236,Mensch::N,uomo,этем
237,Mensch::N,èssere umano,ҫын
238,Mensch::N,èssere umano,этем
239,Mann::N,uomo,ар
240,Frau::N,donna,хӗрарӑм
241,Kind::N,bambino,ача
242,Junge::N,ragazzo,ача
243,Junge::N,ragazzo,ар ҫын ача
244,Mädchen::N,ragazza,хӗр ача
245,Familie::N,famiglia,ҫемье
246,Familie::N,famiglia,кил-йыш
247,Großvater::N,nonno,кукаҫи
248,Großmutter::N,nonna,кукамай
249,Eltern::N,genitori,аҫа-ама
250,Vater::N,padre,атте
251,Mutter::N,madre,анне
252,Sohn::N,figlio,ывӑл
253,Tochter::N,figlia,хӗр
254,Bruder::N,fratello,ар тӑван
255,Schwester::N,sorella,аппа
256,Schwester::N,sorella,йӑмӑк
257,Onkel::N,zio,мучи
258,Onkel::N,zio,пичче
259,Tante::N,zia,аппа
260,Ehemann::N,marito,упӑшка
261,Ehefrau::N,moglie,арӑм
262,Freude::N,gioia,савӑнӑҫ
263,Freude::N,gioia,хаваслӑх
264,Freude::N,piacere,савӑнӑҫ
265,Freude::N,piacere,хаваслӑх
266,Gelächter::N,risata,кулӑ
267,Glück::N,felicità,телей
268,Glück::N,felicità,ӑраскал
269,Kummer::N,afflizione,хурлӑх
270,Wunsch::N,desiderio,ӗмӗт
271,Wunsch::N,desiderio,кӑмӑл
272,Lust::N,voglia,кӑмӑл
273,Geist::N,mente,чун-чӗм
274,Geist::N,mente,ыр-усал
275,Geist::N,mente,чун хавалӗ
276,Geist::N,spìrito,чун-чӗм
277,Geist::N,spìrito,ыр-усал
278,Geist::N,spìrito,чун хавалӗ
279,Gedanke::N,idea,шухӑш
280,Gedanke::N,pensiero,шухӑш
281,Gedächtnis::N,memoria,ас
282,Verstand::N,intelletto,ӑс
283,Verstand::N,intelletto,ӑс-тӑн
284,Verstand::N,intelletto,ӑс-хакӑл
285,Sinn::N,senso,тупсӑм
286,Sinn::N,senso,пӗлтерӗш
287,Sinn::N,significato,тупсӑм
288,Sinn::N,significato,пӗлтерӗш
289,Grund::N,causa,сӑлтав
290,Grund::N,motivo,сӑлтав
291,Grund::N,ragione,сӑлтав
292,Wahrheit::N,verità,чӑнлӑх
293,Gespräch::N,discorso,калаҫу
294,Gespräch::N,conversazione,калаҫу
295,Märchen::N,fiaba,юмах
296,Märchen::N,fàvola,юмах
297,Erzählung::N,racconto,акалав
298,Erzählung::N,racconto,каласа пани
299,Erzählung::N,narrazione,акалав
300,Erzählung::N,narrazione,каласа пани
301,Nachricht::N,messaggio,хыпар
302,Neuigkeit::N,notizia,ҫӗнӗ хыпар
303,Name::N,nome,ят
304,Rätsel::N,indovinello,сутмалли юмах
305,Rede::N,discorso,сӑмах
306,Sprache::N,lingua,чӗлхе
307,Sprache::N,linguaggio,чӗлхе
308,Stimme::N,voce,сасӑ
309,Wort::N,parola,сӑмах
310,Zeichen::N,segno,паллӑ
311,Zeichen::N,segnale,паллӑ
312,Ruf::N,chiamata,йыхрав
313,Ruf::N,chiamata,чӗнӳ
314,Lärm::N,chiasso,шав
315,Lärm::N,strèpito,шав
316,Laut::N,suono,сасӑ
317,Ton::N,tono,сасӑ
318,Lied::N,canto,юрӑ
319,Lied::N,canzone,юрӑ
320,Ruhe::N,calma,канӑҫлӑх
321,Ruhe::N,calma,лӑпкӑлӑх
322,Ruhe::N,tranquillità,канӑҫлӑх
323,Ruhe::N,tranquillità,лӑпкӑлӑх
324,Leute::N,gente,ҫамрӑксем
325,Leute::N,gente,ҫамрӑк ҫынсем
326,Volk::N,pòpolo,халӑх
327,Arbeit::N,lavoro,ӗҫхӗл
328,Arbeit::N,lavoro,ӗҫлев
329,Gast::N,òspite,хӑна
330,Gast::N,invitato,хӑна
331,Geschenk::N,regalo,парне
332,Geschenk::N,regalo,кучченеҫ
333,Spiel::N,gioco,вӑйӑ
334,Gesellschaft::N,compagnìa,общество
335,Hilfe::N,aiuto,пулӑшу
336,Hilfe::N,soccorso,пулӑшу
337,Freund::N,amico,тус
338,Kamerad::N,camerata,юлташ
339,Kamerad::N,camerata,тус
340,Angelegenheit::N,affare,ӗҫ
341,Angelegenheit::N,faccenda,ӗҫ
342,Anzahl::N,nùmero,йыш
343,Anzahl::N,nùmero,хисеп
344,Anzahl::N,quantità,йыш
345,Anzahl::N,quantità,хисеп
346,Art::N,tipo,тӗс
347,Art::N,specie,тӗс
348,Stück::N,pezzo,татӑк
349,Teil::N,parte,пай
350,Hälfte::N,metà,ҫурӑ
351,Kreis::N,cìrcolo,ункӑ
352,Kreis::N,cìrcolo,ҫавракӑш
353,Kreuz::N,croce,хӗрес
354,Linie::N,lìnea,йӗр
355,Strich::N,tratto,йӗр
356,Abstand::N,distanza,хушӑ
357,Entfernung::N,distanza,хушӑ
358,Entfernung::N,lontananza,хушӑ
359,Gegend::N,regione,вырӑн
360,Platz::N,posto,хутлӑх
361,Platz::N,spazio,хутлӑх
362,Ort::N,luogo,вырӑн
363,Ort::N,località,вырӑн
364,Seite::N,lato,ен
365,Seite::N,lato,аяк
366,Seite::N,lato,айӑк
367,Seite::N,parte,ен
368,Seite::N,parte,аяк
369,Seite::N,parte,айӑк
370,Mitte::N,mezzo,варӑ
371,Mitte::N,centro,варӑ
372,Gegenstand::N,oggetto,япала
373,Sache::N,cosa,япала
374,Rand::N,orlo,вӗҫ
375,Rand::N,orlo,хӗрӗ
376,Rand::N,orlo,хӗрри
377,Rand::N,bordo,вӗҫ
378,Rand::N,bordo,хӗрӗ
379,Rand::N,bordo,хӗрри
380,Kante::N,spìgolo,хайкача
381,Kante::N,spìgolo,хысак
382,Ecke::N,canto,кӗтес
383,Spitze::N,punta,вӗҫ
384,Ende::N,capo,вӗҫ
385,Ende::N,estremità,вӗҫ
386,Loch::N,buco,шӑтӑк
387,Winkel::N,àngolo,кӗтес
388,Muster::N,disegno,эреш
389,Größe::N,taglia,пысӑкӑш
390,Größe::N,grandezza,пысӑкӑш
391,Länge::N,lunghezza,вӑрӑмӑш
392,Höhe::N,altezza,ҫӳллӗш
393,Gewicht::N,peso,виҫе
394,Gewicht::N,peso,йывӑрӑш
395,Menge::N,quantità,йыш
396,Haufen::N,cùmulo,купа
397,Haufen::N,mucchio,купа
398,Reihe::N,fila,рет
399,Boot::N,barca,кимӗ
400,Boot::N,battello,кимӗ
401,Ruder::N,remo,кӗсмен
402,Schlitten::N,slitta,ҫуна
403,Ski::N,sci,йӗлтӗр
404,Lagerfeuer::N,falò,вут
405,Lagerfeuer::N,falò,кӑвайт
406,Lagerfeuer::N,fuoco di bivacco,вут
407,Lagerfeuer::N,fuoco di bivacco,кӑвайт
408,Last::N,càrico,сулмаклӑх
409,Last::N,càrico,йывӑр япала
410,Gang::N,andata,куҫӑм
411,Schritt::N,passo,утӑм
412,Schritt::N,passo,пусӑм
413,Norden::N,nord,ҫурҫӗр
414,Norden::N,settentrione,ҫурҫӗр
415,Süden::N,sud,кӑнтӑр
416,Süden::N,meridione,кӑнтӑр
417,Westen::N,òvest,анӑҫ
418,Westen::N,òvest,хӗвел анӑҫ
419,Westen::N,occidente,анӑҫ
420,Westen::N,occidente,хӗвел анӑҫ
421,Osten::N,est,хӗвел тухӑҫ
422,Osten::N,oriente,хӗвел тухӑҫ
423,Holz::N,legno,йывӑҫ
424,Brett::N,asse,хӑма
425,Brett::N,tàvola,хӑма
426,Platte::N,lastra,плита
427,Platte::N,piastra,плита
428,Stütze::N,supporto,ура
429,Stange::N,sbarra,шерте
430,Stange::N,pèrtica,шерте
431,Stock::N,verga,патак
432,Stock::N,bastone,патак
433,Stock::N,bacchetta,патак
434,Stab::N,asta,шӑчӑ
435,Rohr::N,tubo,пӑрӑх
436,Haus::N,casa,ҫурт
437,Heim::N,casa,кил
438,Ofen::N,stufa,кӑмака
439,Fußboden::N,pavimento,урай
440,Tisch::N,tàvolo,сӗтел
441,Stuhl::N,sedia,пукан
442,Wiege::N,culla,сӑпка
443,Bett::N,letto,кравать
444,Regal::N,scaffale,ҫӳлӗк
445,Regal::N,scaffale,сентре
446,Kiste::N,cassa,ещӗк
447,Kiste::N,cassa,сунтӑх
448,Fenster::N,finestra,чӳрече
449,Tür::N,porta,алӑк
450,Tor::N,portone,хапха
451,Zaun::N,recinto,хӳме
452,Dach::N,tetto,тӑрӑ
453,Leiter::N,scala,пусма
454,Leiter::N,scala a pioli,пусма
455,Besen::N,scopa,шӑпӑр
456,Spaten::N,vanga,кӗреҫе
457,Schaufel::N,pala,кӗреҫе
458,Gabel::N,forchetta,вилка
459,Löffel::N,cucchiaio,кашӑк
460,Messer::N,coltello,ҫӗҫӗ
461,Nagel::N,chiodo,пӑта
462,Netz::N,rete,тетел
463,Haken::N,uncino,йӑрхах
464,Haken::N,uncino,ҫекӗл
465,Griff::N,mànico,хӑлӑп
466,Griff::N,maniglia,хӑлӑп
467,Schloss::N,serratura,ҫӑра
468,Bild::N,quadro,сӑн
469,Bild::N,quadro,сӑнлӑх
470,Bild::N,quadro,картина
471,Bild::N,immàgine,сӑн
472,Bild::N,immàgine,сӑнлӑх
473,Bild::N,immàgine,картина
474,Figur::N,figura,кӗлетке
475,Puppe::N,bàmbola,пукане
476,Beutel::N,borsa,михӗ
477,Beutel::N,sacchetto,михӗ
478,Bündel::N,fascio,ҫыхӑ
479,Bündel::N,fascio,тӗрке
480,Bündel::N,fagotto,ҫыхӑ
481,Bündel::N,fagotto,тӗрке
482,Tasche::N,borsa,сумка
483,Eimer::N,secchio,витре
484,Deckel::N,coperchio,хупӑ
485,Geschirr::N,stoviglie,савӑт-сапа
486,Sack::N,sacco,михӗ
487,Tasse::N,tazza,курка
488,Topf::N,pèntola,кастрюль
489,Kessel::N,paiolo,хуран
490,Kessel::N,calderone,хуран
491,Essen::N,pasto,апат
492,Essen::N,mangiare,апат
493,Nahrung::N,cibo,апат-ҫимӗс
494,Nahrung::N,alimento,апат-ҫимӗс
495,Speise::N,piatto,апат
496,Speise::N,piatto,ҫимӗҫ
497,Fleisch::N,carne,аш
498,Fleisch::N,carne,какай
499,Getreide::N,cereali,тырӑ
500,Brei::N,purè,пӑтӑ
501,Brei::N,pappa,пӑтӑ
502,Brot::N,pane,ҫӑкӑр
503,Scheibe::N,fetta,чӗлӗ
504,Scheibe::N,fetta,касӑк
505,Scheibe::N,trancia,чӗлӗ
506,Scheibe::N,trancia,касӑк
507,Fett::N,grasso,ҫу
508,Butter::N,burro,ҫу
509,Öl::N,olio,ҫу
510,Salz::N,sale,тӑвар
511,Suppe::N,zuppa,яшка
512,Suppe::N,minestra,яшка
513,Honig::N,miele,пыл
514,Milch::N,latte,сӗт
515,Tee::N,tè,чей
516,Leder::N,pelle,сӑран
517,Wolle::N,lana,ҫӑм
518,Stoff::N,panno,тӗртӗм
519,Stoff::N,tessuto,тӗртӗм
520,Nadel::N,ago,йӗп
521,Faden::N,filo,ҫип
522,Knopf::N,bottone,тӳме
523,Knoten::N,nodo,йӑлӑ
524,Farbe::N,pittura,сӑрӑ
525,Kleidung::N,vestiti,тум
526,Kleidung::N,vestiti,ҫипуҫ
527,Kleidung::N,vestiti,тум-тир
528,Kleidung::N,vestiario,тум
529,Kleidung::N,vestiario,ҫипуҫ
530,Kleidung::N,vestiario,тум-тир
531,Hemd::N,camicia,кӗпе
532,Kragen::N,bàvero,ҫуха
533,Kragen::N,colletto,ҫуха
534,Ärmel::N,mànica,ҫанӑ
535,Hose::N,calzoni,шӑлавар
536,Gürtel::N,cintura,пиҫиххи
537,Mütze::N,berretto,ҫӗлӗк
538,Schuh::N,scarpa,пушмак
539,Schuh::N,scarpa,ботинок
540,Stiefel::N,stivale,атӑ
541,Ring::N,anello,ҫӗрӗ
542,Band::N,nastro,хаю
543,Band::N,nastro,йӗсме
544,Band::N,fettuccia,хаю
545,Band::N,fettuccia,йӗсме
546,Kamm::N,pèttine,тура
547,Spiegel::N,specchio,тӗкӗр
548,Spiegel::N,specchio,куҫ кӗски
549,Riemen::N,cinghia,чӗн
550,Schnur::N,corda,кантра
551,Leine::N,guinzaglio,касмӑк
552,Decke::N,coperta,утиял
553,Kissen::N,cuscino,ҫытар
554,Kissen::N,cuscino,минтер
555,Kissen::N,guanciale,ҫытар
556,Kissen::N,guanciale,минтер
557,Tuch::N,fazzoletto,тутӑр
558,Handtuch::N,asciugamano,ал шӑлли
559,Kraft::N,forza,вӑй
560,Kraft::N,forza,хӑват
561,Stärke::N,forza,хал
562,Stärke::N,forza,хӑват
563,Stärke::N,vigore,хал
564,Stärke::N,vigore,хӑват
565,Stärke::N,fortezza,хал
566,Stärke::N,fortezza,хӑват
567,Gesundheit::N,salute,хал
568,Gesundheit::N,salute,сывлӑх
569,Krankheit::N,malattìa,чир
570,Schmerz::N,dolore,ырату
571,Wunde::N,piaga,суран
572,Wunde::N,ferita,суран
573,Fieber::N,febbre,сив чир
574,Arznei::N,fàrmaco,эмел
575,Arznei::N,medicina,эмел
576,Brücke::N,ponte,кӗпер
577,Brunnen::N,pozzo,ҫӑл
578,Brunnen::N,pozzo,пусӑ
579,Weide::N,pàscolo,ҫаран
580,Pfad::N,sentiero,йӗр
581,Pfad::N,sentiero,сукмак
582,Weg::N,via,ҫул
583,Weg::N,via,ҫул-йӗр
584,Weg::N,cammino,ҫул
585,Weg::N,cammino,ҫул-йӗр
586,Straße::N,strada,ҫӳрев
587,Straße::N,strada,ҫул ҫӳрени
588,Dorf::N,paese,ял
589,Dorf::N,villaggio,ял
590,Stadt::N,città,хула
591,Brief::N,lèttera,ҫыру
592,Buch::N,libro,кӗнеке
593,Buchstabe::N,lèttera,сас палли
594,Zeitung::N,giornale,хаҫат
595,Leben::N,vita,пурнӑҫ
596,Tod::N,morte,вилӗм
597,Grab::N,tomba,масар шӑтӑкӗ
598,Grab::N,sepolcro,масар шӑтӑкӗ
599,Kirche::N,chiesa,чиркӳ
600,Sünde::N,peccato,ҫылӑх
601,Gott::N,dio,турӑ
602,Arbeiter::N,operaio,рабочи
603,Arbeiter::N,lavoratore,рабочи
604,Chef::N,capo,пуҫлӑх
605,Chef::N,padrone,пуҫлӑх
606,Meister::N,mastro,ӑста
607,Meister::N,mastro,мастер
608,Meister::N,maestro,ӑста
609,Meister::N,maestro,мастер
610,Arzt::N,mèdico,врач
611,Arzt::N,mèdico,тухтӑр
612,Arzt::N,dottore,врач
613,Arzt::N,dottore,тухтӑр
614,Lehrer::N,professore,учитель
615,Lehrer::N,professore,вӗрентекен
616,Geld::N,soldi,укҫа
617,Geld::N,denaro,укҫа
618,Geschäft::N,affare,бизнес
619,Geschäft::N,negozio,бизнес
620,Laden::N,negozio,магазин
621,Preis::N,prezzo,хак
622,Ware::N,merce,тавар
623,Nutzen::N,ùtile,пайта
624,Nutzen::N,profitto,пайта
625,Reichtum::N,ricchezza,мул
626,Welt::N,mondo,тӗнче
627,Land::N,paese,ҫӗр-шыв
628,Staat::N,Stato,патшàлӑх
629,König::N,re,король
630,Macht::N,potere,власть
631,Grenze::N,confine,чикӗ
632,Grenze::N,frontiera,чикӗ
633,Krieg::N,guerra,вӑрҫӑ
634,Feind::N,nemico,тӑшман
635,Gewalt::N,violenza,ирӗксӗрлӳ
636,Kampf::N,lotta,кӗрешӳ
637,Bogen[Waffe]::N,arco,ухӑ
638,Pfeil::N,freccia,ҫӗмрен
639,Pfeil::N,freccia,ухӑ йӗппи
640,Gewehr::N,fucile,пӑшал
641,Fehler::N,errore,йӑнӑш
642,Fehler::N,sbaglio,йӑнӑш
643,Lüge::N,bugìa,суя
644,Lüge::N,bugìa,ултав
645,Lüge::N,menzogna,суя
646,Lüge::N,menzogna,ултав
647,Schaden::N,danno,сиен
648,Unglück::N,sfortuna,шар
649,Unglück::N,sfortuna,инкек
650,Schuld::N,colpa,айӑп
651,Alter::N,età,ҫул шучӗ
652,Schluss::N,fine,пӗтни
653,Schluss::N,fine,пӗтмӗш
654,Zeit::N,tempo,вӑхӑт
655,Tag::N,giorno,кун
656,Tag::N,giornata,кун
657,Morgen::N,mattina,ир
658,Mittag::N,mezzogiorno,кӑнтӑрла
659,Abend::N,sera,каҫ
660,Abend::N,serata,каҫ
661,Nacht::N,notte,каҫ
662,Woche::N,settimana,эрне
663,Monat::N,mese,уйӑх
664,Jahr::N,anno,ҫулталӑк
665,Frühling::N,primavera,ҫур
666,Frühling::N,primavera,ҫуркунне
667,Sommer::N,estate,ҫу
668,Sommer::N,estate,ҫулла
669,Herbst::N,autunno,кӗр
670,Herbst::N,autunno,кӗркунне
671,Winter::N,inverno,хӗл
672,Winter::N,inverno,хӗлле
673,Januar::N,gennaio,январь
674,Februar::N,febbraio,февраль
675,Februar::N,febbraio,кӗҫӗн кӑрлач
676,März::N,marzo,март
677,März::N,marzo,пуш уйӑхӗ
678,April::N,aprile,апрель
679,Mai::N,maggio,май
680,Juni::N,giugno,июнь
681,Juli::N,luglio,июль
682,August::N,agosto,август
683,September::N,settembre,сентябрь
684,September::N,settembre,авӑн уйӑхӗ
685,Oktober::N,ottobre,октябрь
686,November::N,novembre,ноябрь
687,Dezember::N,dicembre,раштав
688,Dezember::N,dicembre,декабрь
689,Montag::N,lunedì,тунти кун
690,Dienstag::N,martedì,ытлари кун
691,Mittwoch::N,mercoledì,юн кун
692,Donnerstag::N,giovedì,кӗҫнерни кун
693,Freitag::N,venerdì,эрне кун
694,Samstag::N,sàbato,шӑмат кун
695,Sonntag::N,domenica,вырсарни кун
696,groß::A,grande,пысӑк
697,klein::A,pìccolo,пӗчӗк
698,lang::A,lungo,вӑрӑм
699,kurz::A,corto,кӗске
700,breit::A,largo,сарлака
701,schmal::A,stretto,ансӑр
702,dicht::A,denso,йӑвӑ
703,dick[Gegenstand]::A,spesso,хулӑн
704,dünn::A,sottile,ҫинҫе
705,dünn::A,sottile,ҫӳхе
706,fein::A,fine,тарай
707,fein::A,fine,вӗлтӗрти
708,fein::A,delicato,тарай
709,fein::A,delicato,вӗлтӗрти
710,fest::A,sodo,тӗреклӗ
711,fest::A,fisso,тӗреклӗ
712,flach::A,piano,лаптак
713,flach::A,piatto,лаптак
714,glatt::A,liscio,такӑр
715,hart::A,duro,хытӑ
716,weich::A,molle,ҫемҫе
717,rund::A,rotondo,ҫавра
718,spitz::A,aguzzo,шӗвӗр
719,spitz::A,appuntito,шӗвӗр
720,scharf::A,affilato,ҫивӗч
721,scharf::A,tagliente,ҫивӗч
722,stumpf::A,smussato,мӑка
723,stumpf::A,smussato,пуклак
724,stumpf::A,smussato,тӗрӗнчӗк
725,stumpf::A,smussato,ӑнкарусӑр
726,schwer::A,pesante,йывӑр
727,schön::A,bello,илемлӗ
728,heiß::A,caldo,вӗри
729,heiß::A,bollente,вӗри
730,warm::A,caldo,ӑшӑ
731,kalt::A,freddo,сивӗ
732,kühl::A,fresco,уҫӑ
