,Concept_ID,nl,ba
86,Frost::N,vorst,һалҡын
87,Kälte::N,kou,һыуыҡ
88,Kälte::N,koude,һыуыҡ
89,Hitze::N,hitte,томра
90,Hitze::N,hitte,эҫелек
91,Raureif::N,rijp,ҡырау
92,Regenbogen::N,regenboog,йәйғор
93,Donner::N,donder,күк күкрәү
94,Strömung::N,stroming,ағым
95,Tropfen::N,druppel,тамсы
96,Schaum::N,schuim,күбек
97,Schmutz::N,vuil,батҡаҡ
98,See::N,meer,күл
99,Sumpf::N,moeras,һаҙлык
100,Moor::N,veen,һаҙ
101,Wiese::N,wei,болон
102,Wiese::N,weide,болон
103,Wald::N,bos,урман
104,Hügel::N,heuvel,түбә
105,Anhöhe::N,hoogte,түбә
106,Anhöhe::N,hoogte,ҡалҡыулыҡ
107,Berg::N,berg,тау
108,Gipfel::N,top,түбә
109,Höhle::N,hol,мәмерйә
110,Abhang::N,helling,ипкен
111,Quelle::N,bron,шишмә
112,Bach::N,beek,шишмә
113,Fluss::N,stroom,йылға
114,Ufer::N,wal,яр
115,Ufer::N,oever,яр
116,Küste::N,kust,яр буйы
117,Festland::N,vasteland,ҡоро ер
118,Meer::N,zee,диңгез
119,Bucht::N,baai,бухта
120,Bucht::N,inham,бухта
121,Insel::N,eiland,үтрау
122,Blume::N,bloem,сәскә
123,Gras::N,gras,үлән
124,Wurzel::N,wortel,тамыр
125,Baum::N,boom,ағас
126,Stamm::N,stam,олон
127,Stamm::N,stam,көбәк
128,Rinde::N,schors,ҡабыҡ
129,Ast::N,tak,ботаҡ
130,Zweig::N,twijg,ботаҡ
131,Zweig::N,twijg,тармаҡ
132,Blatt::N,blad,япраҡ
133,Birke::N,berk,ҡайын
134,Kiefer[Baum]::N,den,ҡарғай
135,Weide[Baum]::N,wilg,тал
136,Tanne::N,spar,шыршы
137,Horn::N,hoorn,мөғөҙ
138,Feder::N,veer,ҡауырһын
139,Feder::N,pluim,ҡауырһын
140,Fell::N,vel,тире
141,Flügel::N,vleugel,ҡанат
142,Klaue::N,klauw,тырнаҡ
143,Kralle::N,klauw,аяҡ
144,Schwanz::N,staart,ҡойроҡ
145,Ei::N,ei,йомортҡа
146,Nest::N,nest,оя
147,Bau::N,hol,оң
148,Tier::N,dier,жайуан
149,Tier::N,dier,йыртҡыс
150,Herde::N,kudde,көтөү
151,Kuh::N,koe,һыйыр
152,Bulle::N,stier,үгеҙ
153,Pferd::N,paard,ат
154,Schaf::N,schaap,һарыҡ
155,Schwein::N,varken,сусҡа
156,Hund::N,hond,эт
157,Katze::N,kat,бесәй
158,Bär::N,beer,айыу
159,Eichhörnchen::N,eekhoorntje,тейен
160,Elch::N,eland,мышы
161,Fuchs::N,vos,төлкө
162,Hase::N,haas,ҡуян
163,Maus::N,muis,сысҡан
164,Wolf::N,wolf,бүре
165,Vogel::N,vogel,ҡош
166,Schwarm::N,zwerm,көтөү
167,Huhn::N,kip,тауыҡ
168,Huhn::N,hoen,тауыҡ
169,Hahn::N,haan,әтәс
170,Gans::N,gans,ҡаҙ
171,Adler::N,arend,бөркөт
172,Ente::N,eend,өйрәк
173,Eule::N,uil,өкө
174,Eule::N,uil,ябалаҡ
175,Kranich::N,kraanvogel,торна
176,Krähe::N,kraai,ҡарға
177,Kuckuck::N,koekoek,кәкүк
178,Schwan::N,zwaan,аҡҡош
179,Fisch::N,vis,балыҡ
180,Barsch::N,baars,алабуға
181,Hecht::N,snoek,суртан
182,Schlange[Tier]::N,slang,йылан
183,Wurm::N,worm,селяүсен
184,Spinne::N,spin,үрмәксе
185,Ameise::N,mier,ҡырмыҫҡа
186,Laus::N,luis,бет
187,Mücke::N,mug,серәкәй
188,Fliege::N,vlieg,себен
189,Schmetterling::N,vlinder,күбәләк
190,Beere::N,bes,еләк
191,Apfel::N,appel,алма
192,Pilz::N,paddestoel,бәшмәк
193,Zwiebel::N,ui,һуган
194,Saat::N,zaad,орлоҡ
195,Korn::N,graan,иген
196,Korn::N,korrel,иген
197,Heu::N,hooi,бесән
198,Schale::N,schil,ҡабыҡ
199,Grube::N,kuil,соҡор
200,Falle::N,val,тоҙак
201,Falle::N,val,ҡапҡан
202,Schlinge::N,strop,тоҙак
203,Spur::N,spoor,әҫер
204,Asche::N,as,көл
205,Dreck::N,drek,батҡаҡ
206,Eisen::N,ijzer,тимер
207,Gold::N,goud,алтын
208,Silber::N,zilver,көмөш
209,Kohle::N,kool,күмер
210,Glas::N,glas,быяла
211,Lehm::N,klei,балсыҡ
212,Sand::N,zand,ҡом
213,Mensch::N,mens,кеше
214,Mann::N,man,ир
215,Frau::N,vrouw,ҡатын
216,Kind::N,kind,бала
217,Junge::N,jongen,малай
218,Mädchen::N,meisje,ҡыҙ
219,Mädchen::N,meisje,ҡыҙыҡай
220,Familie::N,gezin,ғаилә
221,Familie::N,familie,ғаилә
222,Großvater::N,grootvader,олатай
223,Großmutter::N,grootmoeder,әбәй
224,Eltern::N,ouders,ата-әсә
225,Vater::N,vader,атай
226,Mutter::N,moeder,әсә
227,Sohn::N,zoon,ул
228,Tochter::N,dochter,ҡыҙ
229,Bruder::N,broer,агай
230,Bruder::N,broeder,агай
231,Schwester::N,zus,алай
232,Schwester::N,zus,һеңле
233,Schwester::N,zuster,алай
234,Schwester::N,zuster,һеңле
235,Onkel::N,oom,ағай
236,Tante::N,tante,апай
237,Ehemann::N,echtgenoot,ир
238,Ehefrau::N,echtgenote,ҡатын
239,Freude::N,vreugde,шатлыҡ
240,Freude::N,vreugde,ҡыуаныс
241,Gelächter::N,gelach,көлөү
242,Glück::N,geluk,бәхет
243,Kummer::N,verdriet,ҡайғы
244,Wunsch::N,wens,теләк
245,Wunsch::N,verlangen,теләк
246,Lust::N,zin,әүәҫлек
247,Lust::N,lust,әүәҫлек
248,Geist::N,geest,аң
249,Geist::N,geest,рух
250,Gedanke::N,gedachte,уй
251,Gedanke::N,gedachte,фекер
252,Gedächtnis::N,geheugen,хәтер
253,Verstand::N,verstand,аҡыл
254,Sinn::N,betekenis,мәғәня
255,Grund::N,reden,сәбәп
256,Wahrheit::N,waarheid,дөрөҫлөк
257,Gespräch::N,gesprek,әңгәмә
258,Märchen::N,sprookje,әкиәт
259,Erzählung::N,verhaal,хикәйә
260,Nachricht::N,tijding,хәбәр
261,Neuigkeit::N,nieuws,яңылыҡ
262,Neuigkeit::N,nieuwtje,яңылыҡ
263,Name::N,naam,исем
264,Rätsel::N,raadsel,йомаҡ
265,Rede::N,rede,телмәр
266,Sprache::N,taal,тел
267,Sprache::N,taal,телмәр
268,Stimme::N,stem,тауыш
269,Wort::N,woord,һүҙ
270,Zeichen::N,teken,билдә
271,Ruf::N,roep,саҡырыу
272,Lärm::N,lawaai,шаулау
273,Laut::N,klank,тауыш
274,Laut::N,geluid,тауыш
275,Ton::N,toon,яңғырау
276,Ton::N,klank,яңғырау
277,Lied::N,lied,йыр
278,Ruhe::N,rust,ял
279,Ruhe::N,rust,тыныслыҡ
280,Ruhe::N,stilte,ял
281,Ruhe::N,stilte,тыныслыҡ
282,Leute::N,lui,кешеләр
283,Leute::N,mensen,кешеләр
284,Volk::N,volk,халҡ
285,Arbeit::N,werk,эш
286,Arbeit::N,arbeid,эш
287,Gast::N,gast,ҡунаҡ
288,Geschenk::N,cadeau,бүләк
289,Geschenk::N,geschenk,бүләк
290,Spiel::N,spel,уйын
291,Gesellschaft::N,gezelschap,йәмғиәт
292,Hilfe::N,hulp,ярҙам
293,Freund::N,vriend,дуҫ
294,Kamerad::N,maat,иптәш
295,Kamerad::N,metgezel,иптәш
296,Angelegenheit::N,zaak,әш
297,Angelegenheit::N,aangelegenheid,әш
298,Anzahl::N,tal,һан
299,Anzahl::N,aantal,һан
300,Art::N,slag,төр
301,Art::N,soort,төр
302,Stück::N,stuk,киҫәк
303,Teil::N,deel,өлөш
304,Hälfte::N,helft,ярты
305,Kreis::N,kring,түңәрәк
306,Kreis::N,cirkel,түңәрәк
307,Kreuz::N,kruis,тәре
308,Linie::N,lijn,һыҙыҡ
309,Strich::N,haal,һыҙат
310,Strich::N,streep,һыҙат
311,Abstand::N,afstand,ара
312,Entfernung::N,afstand,алыҫлыҡ
313,Gegend::N,streek,урын
314,Platz::N,ruimte,арауыҡ
315,Ort::N,oord,ерҙәр
316,Ort::N,oord,урындар
317,Ort::N,oord,эш урыны
318,Ort::N,plaats,ерҙәр
319,Ort::N,plaats,урындар
320,Ort::N,plaats,эш урыны
321,Seite::N,zij,яҡ
322,Seite::N,kant,яҡ
323,Seite::N,zijde,яҡ
324,Mitte::N,midden,урталыҡ
325,Gegenstand::N,voorwerp,нәмә
326,Sache::N,zaak,нәмә
327,Sache::N,zaak,әйбер
328,Rand::N,rand,сит
329,Rand::N,boord,сит
330,Kante::N,kant,ҡабырға
331,Kante::N,kant,ян
332,Ecke::N,hoek,мөйөш
333,Spitze::N,punt,ос
334,Spitze::N,spits,ос
335,Ende::N,einde,аҙаҡ
336,Ende::N,uiteinde,аҙаҡ
337,Loch::N,gat,тишек
338,Winkel::N,hoek,мөйөш
339,Muster::N,dessin,биҙәк
340,Muster::N,patroon,биҙәк
341,Größe::N,grootte,ҙурлыҡ
342,Länge::N,lengte,оҙонлоҡ
343,Höhe::N,hoogte,бейеклек
344,Gewicht::N,gewicht,үлсәү
345,Menge::N,hoeveelheid,һан
346,Haufen::N,hoop,өйөм
347,Reihe::N,rij,рәт
348,Reihe::N,reeks,рәт
349,Boot::N,boot,кәмә
350,Ruder::N,roeiriem,ишкәк
351,Schlitten::N,slee,сана
352,Schlitten::N,slede,сана
353,Ski::N,ski,саңгы
354,Lagerfeuer::N,kampvuur,костер
355,Last::N,last,ауырлыҡ
356,Last::N,vracht,ауырлыҡ
357,Gang::N,wandeling,барыу
358,Schritt::N,stap,аҙым
359,Schritt::N,schrede,аҙым
360,Norden::N,noorden,төньяҡ
361,Süden::N,zuiden,көньяҡ
362,Westen::N,westen,көнбайыш
363,Osten::N,oosten,көнсығыш
364,Holz::N,hout,үағас
365,Brett::N,plank,таҡта
366,Platte::N,plaat,плита
367,Stütze::N,stut,терәк
368,Stütze::N,steun,терәк
369,Stange::N,stang,кәртә
370,Stock::N,stok,таяҡ
371,Stab::N,staf,ҡолға
372,Rohr::N,pijp,торба
373,Haus::N,huis,өй
374,Haus::N,huis,йорт
375,Heim::N,tehuis,өй
376,Ofen::N,kachel,мейес
377,Fußboden::N,vloer,енес
378,Tisch::N,tafel,өҫтәл
379,Stuhl::N,stoel,ултырғыс
380,Wiege::N,wieg,бишек
381,Bett::N,bed,карауат
382,Regal::N,rek,кәштә
383,Kiste::N,kist,йәшинк
384,Fenster::N,raam,тәҙрә
385,Fenster::N,venster,тәҙрә
386,Tür::N,deur,ишек
387,Tor::N,poort,ҡапҡа
388,Zaun::N,omheining,ҡойма
389,Dach::N,dak,түбә
390,Dach::N,dak,ҡыйыҡ
391,Leiter::N,ladder,баҫҡыс
392,Besen::N,bezem,һепертке
393,Spaten::N,schop,көрәк
394,Schaufel::N,schep,көрәк
395,Gabel::N,vork,сәнске
396,Löffel::N,lepel,ҡалаҡ
397,Messer::N,mes,бысаҡ
398,Nagel::N,spijker,сөй
399,Netz::N,net,ау
400,Haken::N,haak,ыргаҡ
401,Griff::N,handvat,тотҡа
402,Schloss::N,slot,йоҙаҡ
403,Bild::N,beeld,картина
404,Figur::N,figuur,һын
405,Puppe::N,pop,ҡурсаҡ
406,Beutel::N,zak,тоҡ
407,Beutel::N,buidel,тоҡ
408,Bündel::N,pak,төргәк
409,Bündel::N,bundel,төргәк
410,Tasche::N,tas,сумка
411,Eimer::N,emmer,биҙрә
412,Deckel::N,deksel,ҡапҡас
413,Geschirr::N,vaatwerk,һауыт-һаба
414,Sack::N,zak,тоҡ
415,Tasse::N,kop,сынаяҡ
416,Topf::N,pan,кәстрүл
417,Kessel::N,ketel,ҡаҙан
418,Essen::N,eten,ашау
419,Nahrung::N,voedsel,аҙыҡ
420,Speise::N,spijs,аш
421,Fleisch::N,vlees,ит
422,Getreide::N,graan,иген
423,Getreide::N,graan,ашлыҡ
424,Brei::N,pap,бутҡа
425,Brei::N,brij,бутҡа
426,Brot::N,brood,икмәк
427,Scheibe::N,plak,телем
428,Scheibe::N,snede,телем
429,Fett::N,vet,май
430,Butter::N,boter,май
431,Öl::N,olie,май буяуы
432,Salz::N,zout,тоҙ
433,Suppe::N,soep,һурпа
434,Honig::N,honing,бал
435,Milch::N,melk,һөт
436,Tee::N,thee,сәй
437,Leder::N,leer,күн
438,Leder::N,leder,күн
439,Wolle::N,wol,йөн
440,Stoff::N,stof,туҡыма
441,Nadel::N,naald,энә
442,Faden::N,draad,еп
443,Knopf::N,knoop,төймә
444,Knoten::N,knoop,төйөн
445,Farbe::N,verf,буяу
446,Kleidung::N,kledij,кейем
447,Kleidung::N,kleding,кейем
448,Hemd::N,hemd,күлдәк
449,Kragen::N,kraag,яға
450,Ärmel::N,mouw,ең
451,Hose::N,broek,салбар
452,Hose::N,pantalon,салбар
453,Gürtel::N,riem,ҡайыш
454,Gürtel::N,gordel,ҡайыш
455,Mütze::N,muts,бүрк
456,Schuh::N,schoen,туфли
457,Stiefel::N,laars,итек
458,Ring::N,ring,йөҙөк
459,Ring::N,ring,балдаҡ
460,Band::N,lint,таҫма
461,Kamm::N,kam,тараҡ
462,Spiegel::N,spiegel,көзгө
463,Riemen::N,riem,ҡайыш
464,Schnur::N,koord,бау
465,Leine::N,lijn,бау
466,Decke::N,deken,одеяд
467,Kissen::N,kussen,мендәр
468,Tuch::N,doek,яулыҡ
469,Handtuch::N,handdoek,таҫтамал
470,Kraft::N,kracht,көс
471,Stärke::N,sterkte,көс
472,Gesundheit::N,gezondheid,һаулыҡ
473,Krankheit::N,ziekte,сир
474,Krankheit::N,ziekte,ауырыу
475,Schmerz::N,pijn,һыҙлау
476,Schmerz::N,pijn,әрнеү
477,Wunde::N,wond,йәрәхәт
478,Fieber::N,koorts,тапма
479,Fieber::N,koorts,биҙгәк
480,Arznei::N,medicament,дарыу
481,Arznei::N,geneesmiddel,дарыу
482,Brücke::N,brug,күпер
483,Brunnen::N,put,ҡоҙоҡ
484,Brunnen::N,bron,ҡоҙоҡ
485,Weide::N,wei,көтөүлек
486,Weide::N,weide,көтөүлек
487,Pfad::N,pad,һуҡмаҡ
488,Weg::N,weg,юл
489,Straße::N,baan,урам
490,Straße::N,straat,урам
491,Dorf::N,dorp,ауыл
492,Stadt::N,stad,ҡала
493,Brief::N,brief,хат
494,Buch::N,boek,китап
495,Buch::N,boek,кенәгә
496,Buchstabe::N,letter,хәреф
497,Zeitung::N,krant,гәзит
498,Zeitung::N,dagblad,гәзит
499,Leben::N,leven,йәшәү
500,Tod::N,dood,үлем
501,Grab::N,graf,ҡәбер
502,Kirche::N,kerk,сиркәү
503,Sünde::N,zonde,гөнаһ
504,Gott::N,god,алла
505,Gott::N,god,хоҙай
506,Arbeiter::N,arbeider,эшсе
507,Chef::N,chef,башлыҡ
508,Meister::N,meester,оҫта
509,Arzt::N,arts,врач
510,Arzt::N,dokter,врач
511,Lehrer::N,leraar,уҡытыусы
512,Lehrer::N,onderwijzer,уҡытыусы
513,Geld::N,geld,аҡса
514,Geschäft::N,zaak,эш
515,Laden::N,winkel,магазин
516,Preis::N,prijs,хаҡ
517,Ware::N,waar,тауар
518,Nutzen::N,nut,файҙа
519,Nutzen::N,voordeel,файҙа
520,Reichtum::N,rijkdom,байлыҡ
521,Welt::N,wereld,донъя
522,Land::N,land,ил
523,Staat::N,staat,дәүләт
524,König::N,koning,король
525,Macht::N,macht,власть
526,Grenze::N,grens,сик
527,Krieg::N,oorlog,һуғыш
528,Feind::N,vijand,йылан
529,Gewalt::N,geweld,көслөк
530,Kampf::N,strijd,көрәш
531,Kampf::N,gevecht,көрәш
532,Bogen[Waffe]::N,boog,йәйә
533,Pfeil::N,pijl,уҡ
534,Gewehr::N,geweer,мылтыҡ
535,Fehler::N,fout,хата
536,Lüge::N,leugen,ялған
537,Schaden::N,schade,зыян
538,Schaden::N,schade,зарар
539,Unglück::N,tegenspoed,ҡаза
540,Schuld::N,schuld,ғәйеп
541,Alter::N,leeftijd,йәш
542,Schluss::N,slot,һуң
543,Schluss::N,slot,аҙаҡ
544,Zeit::N,tijd,мәл
545,Zeit::N,tijd,заман
546,Tag::N,dag,көн
547,Morgen::N,morgen,иртә
548,Morgen::N,morgen,иртәнсәк
549,Morgen::N,ochtend,иртә
550,Morgen::N,ochtend,иртәнсәк
551,Mittag::N,middag,төш
552,Abend::N,avond,кис
553,Nacht::N,nacht,төн
554,Woche::N,week,аҙна
555,Monat::N,maand,ай
556,Jahr::N,jaar,йыл
557,Frühling::N,lente,яҙ
558,Frühling::N,voorjaar,яҙ
559,Sommer::N,zomer,йәй
560,Herbst::N,herfst,көз
561,Winter::N,winter,ҡыш
562,Januar::N,januari,ғинуар
563,Februar::N,februari,февраль
564,März::N,maart,март
565,April::N,april,апрель
566,Mai::N,mei,май
567,Juni::N,juni,июнь
568,Juli::N,juli,июль
569,August::N,augustus,август
570,September::N,september,сентябрь
571,Oktober::N,oktober,октябрь
572,November::N,november,ноябрь
573,Dezember::N,december,декабрь
574,Montag::N,maandag,дүшәмбе
575,Dienstag::N,dinsdag,шишәмбе
576,Mittwoch::N,woensdag,шаршамбы
577,Donnerstag::N,donderdag,кесаҙна
578,Freitag::N,vrijdag,йома
579,Samstag::N,zaterdag,шәмбе
580,Sonntag::N,zondag,йәкшәмбе
581,groß::A,groot,ҙур
582,klein::A,klein,бәләкәс
583,lang::A,lang,оҙон
584,kurz::A,kort,ҡыҫҡа
585,breit::A,breed,киң
586,schmal::A,smal,тар
587,dicht::A,dicht,йыш
588,dicht::A,dicht,ҡуйы
589,dick[Gegenstand]::A,dik,ҡалын
590,dünn::A,dun,йоҡа
591,dünn::A,dun,нәҙек
592,fein::A,fijn,нескә
593,fest::A,vast,ныҡ
594,flach::A,plat,яҫы
595,flach::A,plat,ялпаҡ
596,glatt::A,glad,шыма
597,hart::A,hard,ҡаты
598,weich::A,week,йомшаҡ
599,rund::A,rond,түңәрәк
600,spitz::A,spits,осло түбәле
601,spitz::A,puntig,осло түбәле
602,scharf::A,scherp,үткер
603,stumpf::A,stomp,утмәҫ
604,schwer::A,zwaar,ауыр
605,schön::A,mooi,матур
606,schön::A,fraai,матур
607,heiß::A,heet,эҫе
608,warm::A,warm,йылы
609,kalt::A,koud,һыуыҡ
610,kühl::A,koel,һалҡынса
611,frisch::A,fris,һалҡынса
612,feucht::A,vochtig,еүеш
613,feucht::A,vochtig,дымлы
614,nass::A,nat,еүеш
615,trocken::A,droog,кипкән
616,voll::A,vol,тулы
617,leer::A,leeg,буш
618,offen::A,open,асыҡ
619,geschlossen::A,gesloten,ябыҡ
620,sauber::A,net,таҙа
621,sauber::A,schoon,таҙа
622,schmutzig::A,vuil,бысраҡ
623,roh::A,rauw,сей
624,reif::A,rijp,өлгөрғән
625,lecker::A,lekker,тәмле
626,süß::A,zoet,тямле
627,süß::A,zoet,тәм-том
628,bitter::A,bitter,әсе
629,sauer::A,zuur,әсе
630,hell::A,licht,яҡты
631,hell::A,helder,яҡты
632,dunkel::A,donker,ҡараңғы
633,schwarz::A,zwart,ҡара
634,weiß::A,wit,аҡ
635,rot::A,rood,матур
636,rot::A,rood,һылыу
637,rot::A,rood,сибәр
638,gelb::A,geel,һары
639,blau::A,blauw,күк
640,grün::A,groen,йәшел
641,grau::A,grijs,буҙ
642,bunt::A,bont,сыбар
643,bunt::A,bont,ала-ҡола
644,billig::A,goedkoop,арзан
645,teuer::A,duur,ҡыйбатлы
646,wertvoll::A,kostbaar,ҡиммәтле
647,wertvoll::A,waardevol,ҡиммәтле
648,blind::A,blind,һуҡыр
649,taub::A,doof,һаңғырау
650,kräftig::A,krachtig,көслө
651,kräftig::A,krachtig,ҡеүәтле
652,stark::A,sterk,көслө
653,stark::A,sterk,ҡеүәтле
654,schwach::A,zwak,көсһөҙ
655,fett::A,vet,һимеҙ
656,schlank::A,slank,зифа
657,hübsch::A,leuk,матур
658,böse::A,kwaad,асыулы
659,dumm::A,dom,иҫәр
660,faul::A,lui,иренсәк
661,fleißig::A,vlijtig,тырыш
662,geizig::A,gierig,һаран
663,klug::A,slim,аҡыллы
664,klug::A,schrander,аҡыллы
665,klug::A,verstandig,аҡыллы
666,geschickt::A,handig,оҫта
667,geschickt::A,vaardig,оҫта
668,lieb::A,lief,яғымлы
669,lustig::A,vrolijk,күңелле
670,sanft::A,zacht,йыуаш
671,hungrig::A,hongerig,ас
672,krank::A,ziek,сирле
673,krank::A,ziek,ауырыу
674,nackt::A,naakt,яланғас
675,traurig::A,treurig,яманһыу
676,traurig::A,bedroefd,яманһыу
677,lebendig::A,levend,тере
678,lebendig::A,levend,йәнле
679,gut::A,goed,яҡшы
680,schlecht::A,slecht,хөрт
681,schlecht::A,slecht,алама
682,richtig::A,juist,дөрөҫ
683,schlimm::A,erg,хөрт
684,schlimm::A,erg,алама
685,schlimm::A,kwaad,хөрт
686,schlimm::A,kwaad,алама
687,wahr::A,waar,дөрөҫ
688,alt::A,oud,иҫке
689,alt::A,oud,боронғо
690,neu::A,nieuw,яңы
691,ehemalig::A,voormalig,элекке
692,alt[Lebewesen]::A,oud,ҡарт
693,jung::A,jong,йәш
694,arm::A,arm,фәҡир
695,reich::A,rijk,бай
696,bekannt::A,bekend,таныш
697,berühmt::A,beroemd,атаҡлы
698,berühmt::A,beroemd,данлыҡлы
699,fremd::A,vreemd,ят
700,fremd::A,vreemd,сит
701,verschieden::A,verscheiden,төрлө
702,verschieden::A,verschillend,төрлө
703,nah::A,nabij,яҡын
704,nah::A,nabijgelegen,яҡын
705,fern::A,ver,алыҫ
706,fern::A,ver,йыраҡ
707,linker::A,linker,һул
708,rechter::A,rechter,уң
709,anderer::A,andere,бутән
710,erster::A,eerste,тәүге
711,zweiter::A,tweede,икенсе
712,dritter::A,derde,өсөнсө
713,letzter::A,laatste,һуңғы
714,allein::ADV,alleen,бер үҙе
715,allein::ADV,alleen,яңғыҙ
716,auf einmal::ADV,ineens,бер юлы
717,auf einmal::ADV,tegelijk,бер юлы
718,zusammen::ADV,samen,бергә
719,zusammen::ADV,bijeen,бергә
720,lange::ADV,lang,оҙаҡ
721,plötzlich::ADV,eensklaps,ҡапыл
722,plötzlich::ADV,plotsklaps,ҡапыл
723,sofort::ADV,terstond,шунда уҡ
724,sofort::ADV,aanstonds,шунда уҡ
725,sofort::ADV,onmiddelijk,шунда уҡ
726,später::ADV,later,һуңыраҡ
727,jetzt::ADV,nu,хәҙер
728,jetzt::ADV,nou,хәҙер
729,jetzt::ADV,thans,хәҙер
730,heute::ADV,heden,бөгөн
731,heute::ADV,vandaag,бөгөн
732,morgen::ADV,morgen,иртәгә
733,bald::ADV,gauw,тиҙҙән
734,bald::ADV,weldra,тиҙҙән
735,dann::ADV,dan,һуңынан
736,dann::ADV,toen,һуңынан
737,gestern::ADV,gisteren,кисә
738,einst::ADV,eens,ҡасандыр
739,einst::ADV,eens,бер баҡыт
740,damals::ADV,toen,ул саҡта
741,damals::ADV,destijds,ул саҡта
742,danach::ADV,daarna,һуңынан
743,vorher::ADV,vooraf,элек
744,vorher::ADV,van tevoren,элек
745,zuerst::ADV,eerst,башта
746,zuerst::ADV,het eerst,башта
747,einmal::ADV,eens,бер
748,einmal::ADV,eenmaal,бер
749,manchmal::ADV,soms,ҡайһы берҙә
750,oft::ADV,vaak,йыш
751,oft::ADV,dikwijls,йыш
752,immer::ADV,altijd,һәр ҡасан
753,niemals::ADV,nooit,бер ҡасан да
754,niemals::ADV,nooit,бер ваҡытта ла
755,hier::ADV,hier,бында
756,hierhin::ADV,hierheen,бында
757,von hier::ADV,van hier,бынан
758,von hier::ADV,van hier,ошонан
759,von hier::ADV,hiervandaan,бынан
760,von hier::ADV,hiervandaan,ошонан
761,dort::ADV,daar,шунда
762,dort::ADV,daar,тегендә
763,dort::ADV,ginds,шунда
764,dort::ADV,ginds,тегендә
765,dorthin::ADV,daarheen,шунда
766,dorthin::ADV,daarheen,тегеләй
767,geradeaus::ADV,rechtuit,тура
768,geradeaus::ADV,rechtdoor,тура
769,vorwärts::ADV,vooruit,алға
770,vorwärts::ADV,voorwaarts,алға
771,rückwärts::ADV,achteruit,кирегә
772,rückwärts::ADV,achterwaarts,кирегә
773,zurück::ADV,terug,кирегә
774,unten::ADV,beneden,түбәндә
775,unten::ADV,onderaan,түбәндә
776,hinab::ADV,omlaag,түбәнгә
777,hinab::ADV,naar beneden,түбәнгә
778,oben::ADV,boven,юғарыла
779,hinauf::ADV,omhoog,юғарыға
780,hinauf::ADV,naar boven,юғарыға
781,überall::ADV,alom,бөтә урында
