,Concept_ID,eu,ml
91,Eis::N,horma,ഐസ്
92,Frost::N,izotzaldi,മൂടൽമഞ്ഞ്
93,Kälte::N,hotz,തണുപ്പ്
94,Hitze::N,bero,ചൂട്
95,Raureif::N,antzigar,കോടമഞ്ഞ്
96,Regenbogen::N,ostadar,മഴവില്ല്
97,Regenbogen::N,ortzadar,മഴവില്ല്
98,Donner::N,ostots,ഇടി
99,Donner::N,ihurtzuri,ഇടി
100,Strömung::N,laster,പ്രവാഹം
101,Tropfen::N,xorta,തുള്ളി
102,Schaum::N,bits,നുര
103,Schmutz::N,lohi,അഴുക്ക്
104,Schmutz::N,zikin,അഴുക്ക്
105,See::N,laku,തടാകം
106,See::N,aintzira,തടാകം
107,Sumpf::N,zingira,ചതുപ്പുനിലം
108,Moor::N,zohikaztegi,പാഴ്നിലം
109,Wiese::N,larre,പുൽത്തകിടി
110,Wiese::N,belardi,പുൽത്തകിടി
111,Wald::N,baso,വനം
112,Wald::N,baso,കാട്
113,Wald::N,oihan,വനം
114,Wald::N,oihan,കാട്
115,Hügel::N,muino,കുന്ന്
116,Hügel::N,pentoka,കുന്ന്
117,Anhöhe::N,garai,ഉയർന്ന ഭൂമി
118,Anhöhe::N,goragune,ഉയർന്ന ഭൂമി
119,Berg::N,mendi,പർവ്വതം
120,Gipfel::N,gain,ഉച്ചകോടി
121,Gipfel::N,tontor,ഉച്ചകോടി
122,Höhle::N,kobazulo,ഗുഹ
123,Abhang::N,aldapa,ചരിവ്
124,Quelle::N,iturri,ഉറവിടം
125,Quelle::N,iturbegi,ഉറവിടം
126,Bach::N,lats,അരുവി
127,Bach::N,erreka,അരുവി
128,Fluss::N,ibai,നദി
129,Fluss::N,uhaitz,നദി
130,Ufer::N,bazter,തീരം
131,Küste::N,itsasalde,കടൽത്തീരം
132,Festland::N,lehor,കര
133,Meer::N,itsaso,കടൽ
134,Bucht::N,golko,ഉൾക്കടല്
135,Insel::N,irla,ദ്വീപ്
136,Insel::N,uharte,ദ്വീപ്
137,Blume::N,lili,പൂവ്
138,Gras::N,belar,പുല്ല്
139,Wurzel::N,zuztar,വേര്
140,Wurzel::N,sustrai,വേര്
141,Baum::N,zuhaitz,മരം
142,Stamm::N,enbor,തായ്ത്തടി
143,Rinde::N,azal,പട്ട
144,Ast::N,adar,ശാഖ
145,Zweig::N,abar,ശാഖ
146,Blatt::N,hosto,ഇല
147,Birke::N,urki,പൂവരശ്
148,Kiefer[Baum]::N,ler,പൈൻമരം
149,Weide[Baum]::N,zume,വില്ലോ
150,Weide[Baum]::N,sahats,വില്ലോ
151,Tanne::N,izei,ദേവദാരു
152,Horn::N,adar,മൃഗത്തിൻറെ കൊമ്പ്
153,Feder::N,luma,തൂവൽ
154,Feder::N,hegaki,തൂവൽ
155,Fell::N,ile,മൃദുരോമം
156,Fell::N,larru,മൃദുരോമം
157,Flügel::N,hego,ചിറക്
158,Klaue::N,atzapar,നഖം
159,Kralle::N,erpe,നഖം
160,Kralle::N,atzapar,നഖം
161,Schwanz::N,isats,വാൽ
162,Schwanz::N,buztan,വാൽ
163,Ei::N,arrautza,മുട്ട
164,Nest::N,habia,കൂട്
165,Bau::N,ohantze,മാളം
166,Tier::N,abere,മൃഗം
167,Tier::N,piztia,മൃഗം
168,Herde::N,saldo,കൂട്ടം
169,Herde::N,abere talde,കൂട്ടം
170,Kuh::N,behi,പശു
171,Bulle::N,zezen,കാള
172,Pferd::N,zaldi,കുതിര
173,Schaf::N,ardi,ആട്
174,Schwein::N,urde,പന്നി
175,Schwein::N,txerri,പന്നി
176,Hund::N,txakur,നായ്
177,Katze::N,katu,പൂച്ച
178,Bär::N,hartz,കരടി
179,Eichhörnchen::N,urtxintxa,അണ്ണാൻ
180,Elch::N,altze,കടമാന്
181,Fuchs::N,azeri,കുറുക്കൻ
182,Hase::N,erbi,മുയൽ
183,Maus::N,sagu,ചുണ്ടലി
184,Wolf::N,otso,ചെന്നായ
185,Vogel::N,txori,പക്ഷി
186,Vogel::N,hegazti,പക്ഷി
187,Schwarm::N,aldra,കൂട്ടം
188,Huhn::N,oilo,കോഴി
189,Hahn::N,oilar,പൂവൻകോഴി
190,Gans::N,antzara,അരയന്നം
191,Adler::N,arrano,കഴുകൻ
192,Ente::N,ahate,താറാവ്
193,Eule::N,hontza,മൂങ്ങ
194,Kranich::N,kurrilo,കൊക്ക്
195,Krähe::N,bele,കാക്ക
196,Kuckuck::N,kuku,കുയിൽ
197,Schwan::N,beltxarga,അരയന്നം
198,Fisch::N,arrain,മത്സ്യം
199,Barsch::N,perka,ഒരിനം മത്സ്യം
200,Hecht::N,lutxo,ഒരു മത്സ്യം
201,Schlange[Tier]::N,suge,പാമ്പ്
202,Wurm::N,har,വിര
203,Spinne::N,armiarma,ചിലന്തി
204,Ameise::N,inurri,ഉറുമ്പ്
205,Laus::N,zorri,പേന്
206,Mücke::N,eltxo,മശകം
207,Fliege::N,euli,ഈച്ച
208,Schmetterling::N,pinpirin,ചിത്രശലഭം
209,Schmetterling::N,tximeleta,ചിത്രശലഭം
210,Beere::N,baia,ബെറി
211,Apfel::N,sagar,ആപ്പിൾ
212,Pilz::N,onddo,കൂൺ
213,Pilz::N,perretxiko,കൂൺ
214,Zwiebel::N,tipula,സവാള
215,Saat::N,haziak,വിത്ത്
216,Korn::N,ale,ധാന്യം
217,Korn::N,pikor,ധാന്യം
218,Heu::N,belar ondu,വയ്ക്കോൽ
219,Schale::N,azal,തൊലി
220,Grube::N,hobi,കുഴി
221,Falle::N,harrapagailu,കെണി
222,Schlinge::N,bilur,കുടുക്ക്
223,Schlinge::N,xedera,കുടുക്ക്
224,Spur::N,lorratz,ചുവട്
225,Asche::N,errauts,ചാരം
226,Dreck::N,satsukeria,അഴുക്ക്
227,Eisen::N,burdina,ഇരുമ്പ്
228,Gold::N,urre,സ്വർണ്ണം
229,Gold::N,urregorri,സ്വർണ്ണം
230,Silber::N,zilar,വെള്ളി
231,Silber::N,urrezuri,വെള്ളി
232,Kohle::N,ikatz,കൽക്കരി
233,Glas::N,beira,ഗ്ലാസ്
234,Lehm::N,buztin,കളിമണ്ണ്
235,Sand::N,harea,മണൽ
236,Sand::N,hondar,മണൽ
237,Mensch::N,gizaki,മനുഷ്യർ
238,Mann::N,gizon,പുരുഷൻ
239,Frau::N,andere,സ്ത്രീ
240,Frau::N,emakume,സ്ത്രീ
241,Kind::N,haur,കുഞ്ഞ്
242,Junge::N,mutil,ആൺകുട്ടി
243,Mädchen::N,neska,പെൺകുട്ടി
244,Familie::N,sendi,കുടുംബം
245,Familie::N,familia,കുടുംബം
246,Großvater::N,aitona,അപ്പൂപ്പൻ
247,Großvater::N,aitatxi,അപ്പൂപ്പൻ
248,Großmutter::N,amona,അമ്മുമ്മ
249,Großmutter::N,amatxi,അമ്മുമ്മ
250,Eltern::N,gurasoak,മാതാപിതാക്കള്
251,Vater::N,aita,അച്ഛൻ
252,Mutter::N,ama,അമ്മ
253,Sohn::N,seme,മകൻ
254,Tochter::N,alaba,മകൾ
255,Bruder::N,neba,ചേട്ടൻ
256,Bruder::N,neba,അനിയൻ
257,Bruder::N,anaia,ചേട്ടൻ
258,Bruder::N,anaia,അനിയൻ
259,Schwester::N,ahizpa,ചേച്ചി
260,Schwester::N,ahizpa,അനിയത്തി
261,Onkel::N,osaba,അമ്മാവൻ
262,Tante::N,izeba,മാമി
263,Ehemann::N,senar,ഭർത്താവ്
264,Ehefrau::N,emazte,ഭാര്യ
265,Freude::N,poz,ആഹ്ലാദം
266,Freude::N,pozkari,ആഹ്ലാദം
267,Gelächter::N,barre,ചിരിയുടെ ശബ്ദം
268,Gelächter::N,karkara,ചിരിയുടെ ശബ്ദം
269,Glück::N,zori,സന്തോഷം
270,Glück::N,zori,സന്തുഷ്ടി
271,Kummer::N,xangrin,ശോകം
272,Kummer::N,atsekabe,ശോകം
273,Wunsch::N,nahi,ആഗ്രഹം
274,Wunsch::N,nahikunde,ആഗ്രഹം
275,Lust::N,gogo,ആഗ്രഹം
276,Geist::N,gogo,ചുറുചുറുക്ക്
277,Gedanke::N,gogoeta,ചിന്ത
278,Gedächtnis::N,oroimen,ഓർമ്മശക്തി
279,Gedächtnis::N,gogoramen,ഓർമ്മശക്തി
280,Verstand::N,adimen,മനസ്സ്
281,Verstand::N,ulermen,മനസ്സ്
282,Sinn::N,zentzu,അർത്ഥം
283,Grund::N,zergati,കാരണം
284,Wahrheit::N,egia,സത്യം
285,Gespräch::N,hizketa,സല്ലാപം
286,Gespräch::N,elkarrizketa,സല്ലാപം
287,Märchen::N,ipuin,യക്ഷിക്കഥ
288,Erzählung::N,edesti,കഥ
289,Erzählung::N,kontakizun,കഥ
290,Nachricht::N,albiste,സന്ദേശം
291,Neuigkeit::N,berri,വാർത്ത
292,Name::N,izen,പേര്
293,Rätsel::N,asmakizun,പ്രഹേളിക
294,Rede::N,hitzaldi,സംസാരം
295,Rede::N,mintzaldi,സംസാരം
296,Sprache::N,hizkuntza,ഭാഷ
297,Stimme::N,ahots,സ്വരം
298,Wort::N,hitz,വാക്ക്
299,Zeichen::N,agerbide,സംജ്ഞ
300,Zeichen::N,agergarri,സംജ്ഞ
301,Ruf::N,dei,വിളി
302,Lärm::N,zarata,ആരവം
303,Lärm::N,harrabots,ആരവം
304,Laut::N,hots,ശബ്ദം
305,Ton::N,tonu,സ്വരഭേദം
306,Ton::N,soinu,സ്വരഭേദം
307,Lied::N,abesti,പാട്ട്
308,Ruhe::N,nasaitasun,നിശ്ചലത
309,Leute::N,jende,ജനങ്ങൾ
310,Volk::N,herri,രാഷ്ടം
311,Volk::N,populu,രാഷ്ടം
312,Arbeit::N,lan,ജോലി
313,Gast::N,arrotz,അതിലി
314,Gast::N,apopilo,അതിലി
315,Geschenk::N,opari,സമ്മാനം
316,Spiel::N,jolas,കളി
317,Gesellschaft::N,gizarte,കൂട്ടായ്മ
318,Hilfe::N,helpide,സഹായം
319,Hilfe::N,laguntza,സഹായം
320,Freund::N,lagun,സുഹൃത്ത്
321,Kamerad::N,adiskide,കൂട്ടാളി
322,Kamerad::N,lagunkide,കൂട്ടാളി
323,Angelegenheit::N,afera,കാര്യം
324,Anzahl::N,kopuru,എണ്ണം
325,Art::N,mota,തരം
326,Stück::N,puska,കഷണം
327,Teil::N,atal,ഭാഗം
328,Hälfte::N,erdi,പകുതി
329,Kreis::N,biribilki,വൃത്തം
330,Kreuz::N,gurutze,കുരിശടയാളം
331,Linie::N,linea,വര
332,Linie::N,linea,രേഖ
333,Strich::N,marra,പക്ഷാഘാതം
334,Abstand::N,tarte,വിടവ്
335,Entfernung::N,urrunera,അകലം
336,Gegend::N,alderdi,പ്രദേശം
337,Gegend::N,eskualde,പ്രദേശം
338,Platz::N,leku,ഇടം
339,Ort::N,toki,സ്ഥലം
340,Seite::N,albo,വശം
341,Mitte::N,erdi,മധ്യസ്ഥാനം
342,Gegenstand::N,gauzaki,സാധനം
343,Sache::N,gauza,വസ്തു
344,Rand::N,ertz,തൊങ്ങൽ
345,Kante::N,ertz,അറ്റം
346,Ecke::N,kantoi,മൂല
347,Spitze::N,punta,അഗ്രം
348,Ende::N,buru,അവസാനം
349,Ende::N,mutur,അവസാനം
350,Loch::N,zulo,ദ്വാരം
351,Winkel::N,zoko,കോൺ
352,Winkel::N,bazter,കോൺ
353,Muster::N,eredu,ക്രമം
354,Muster::N,marrazki,ക്രമം
355,Größe::N,kaizu,വലുപ്പം
356,Größe::N,tamaina,വലുപ്പം
357,Länge::N,luzera,നീളം
358,Höhe::N,goiera,ഉയരം
359,Höhe::N,garaiera,ഉയരം
360,Gewicht::N,hazta,കട്ടി
361,Menge::N,kopuru,അളവ്
362,Haufen::N,pila,കൂമ്പാരം
363,Haufen::N,mendoi,കൂമ്പാരം
364,Reihe::N,ilara,വരി
365,Reihe::N,errenkada,വരി
366,Boot::N,potin,ബോട്ട്
367,Boot::N,txalupa,ബോട്ട്
368,Ruder::N,arraun,പങ്കായം
369,Schlitten::N,lera,ഉരുളില്ലാവണ്ടി
370,Schlitten::N,narra,ഉരുളില്ലാവണ്ടി
371,Ski::N,eski,ഹിമപാദുകം
372,Lagerfeuer::N,su,തീ
373,Last::N,zama,ഭാരം
374,Last::N,karga,ഭാരം
375,Gang::N,ibilera,നടത്തം
376,Schritt::N,pauso,ചുവട്
377,Schritt::N,urrats,ചുവട്
378,Norden::N,ipar,വടക്ക്
379,Norden::N,iparralde,വടക്ക്
380,Süden::N,hego,തെക്ക്
381,Süden::N,hegoalde,തെക്ക്
382,Westen::N,sartalde,പടിഞ്ഞാറ്
383,Westen::N,mendebalde,പടിഞ്ഞാറ്
384,Osten::N,ekialde,കിഴക്ക്
385,Osten::N,sortalde,കിഴക്ക്
386,Holz::N,zur,തടി
387,Brett::N,ohol,ബോർഡ്
388,Platte::N,lauza,തകിട്
389,Stütze::N,irozgarri,താങ്ങ്
390,Stütze::N,bermagailu,താങ്ങ്
391,Stange::N,haga,കമ്പ്
392,Stock::N,makila,വടി
393,Stab::N,makila,കുറുവടി
394,Rohr::N,hodi,കുഴൽ
395,Haus::N,etxe,വീട്
396,Heim::N,etxe,വീട്
397,Heim::N,etxaleku,വീട്
398,Ofen::N,berogailu,സ്റ്റൌ
399,Fußboden::N,zoru,തറ
400,Tisch::N,mahai,മേശ
401,Stuhl::N,aulki,കസേര
402,Wiege::N,kuma,തൊട്ടിൽ
403,Wiege::N,sehaska,തൊട്ടിൽ
404,Bett::N,ohe,കിടക്ക
405,Bett::N,ohatze,കിടക്ക
406,Regal::N,apalategi,ഷെൽഫ്
407,Kiste::N,kutxa,പെട്ടി
408,Fenster::N,leiho,ജനൽ
409,Tür::N,ate,വാതിൽ
410,Tor::N,atari,കവാടം
411,Zaun::N,hesi,വേലി
412,Dach::N,teilatu,മേൽക്കുര
413,Leiter::N,zurubi,ഏണി
414,Besen::N,erratz,ചൂല്
415,Spaten::N,burdinpala,തൂമ്പ
416,Schaufel::N,pala,തൂമ്പ
417,Gabel::N,sardexka,മുൾക്കത്തി
418,Löffel::N,koilara,സ്പൂൺ
419,Messer::N,aizto,കത്തി
420,Nagel::N,iltze,ആണി
421,Netz::N,sare,വല
422,Haken::N,mako,കൊളുത്ത്
423,Griff::N,eskutoki,കൈപ്പിടി
424,Schloss::N,sarraila,പൂട്ട്
425,Bild::N,irudi,ചിത്രം
426,Figur::N,figura,കണക്ക്
427,Puppe::N,panpina,പാവ
428,Puppe::N,andrakila,പാവ
429,Beutel::N,zorro,ബാഗ്
430,Bündel::N,azao,കെട്ട്
431,Bündel::N,espal,കെട്ട്
432,Tasche::N,poltsa,ബാഗ്
433,Eimer::N,treska,ബക്കറ്റ്
434,Deckel::N,tapa,ഉറ
435,Deckel::N,estalki,ഉറ
436,Geschirr::N,baxera,പിഞ്ഞാണം
437,Geschirr::N,ontziteria,പിഞ്ഞാണം
438,Sack::N,zaku,ചാക്ക്
439,Tasse::N,kikara,കപ്പ്
440,Topf::N,ontzi,പാത്രം
441,Topf::N,lapiko,പാത്രം
442,Kessel::N,pazia,കെറ്റ്ല്
443,Essen::N,janaldi,ആഹാരസമയം
444,Nahrung::N,jan,ഭക്ഷണം
445,Speise::N,jaki,ഡിഷ്
446,Fleisch::N,okela,മാംസം
447,Fleisch::N,haragi,മാംസം
448,Getreide::N,labore,ചോളം
449,Brei::N,ahi,കഞ്ഞി
450,Brei::N,pure,കഞ്ഞി
451,Brot::N,ogi,റോട്ടി
452,Scheibe::N,xerra,തുണ്ട്
453,Scheibe::N,pirripita,തുണ്ട്
454,Fett::N,urin,കൊഴുപ്പ്
455,Fett::N,koipe,കൊഴുപ്പ്
456,Butter::N,gurin,വെണ്ണ
457,Öl::N,olio,എണ്ണ
458,Salz::N,gatz,ഉപ്പ്
459,Suppe::N,zopa,സൂപ്പ്
460,Suppe::N,salda,സൂപ്പ്
461,Honig::N,ezti,തേൻ
462,Milch::N,esne,പാൽ
463,Tee::N,te,ചായ
464,Leder::N,larru,തുകൽ
465,Wolle::N,artile,കമ്പിളി
466,Stoff::N,ehun,തുണി
467,Nadel::N,orratz,സൂചി
468,Nadel::N,jostorratz,സൂചി
469,Faden::N,hari,നൂല്
470,Knopf::N,botoi,ബട്ടൺ
471,Knoten::N,korapilo,കുരുക്ക്
472,Farbe::N,pintura,പെയിൻറ്
473,Kleidung::N,arropa,വസ്ത്രങ്ങൾ
474,Kleidung::N,jantziak,വസ്ത്രങ്ങൾ
475,Hemd::N,atorra,ഷർട്ട്
476,Hemd::N,alkandora,ഷർട്ട്
477,Kragen::N,idun,കുപ്പായക്കഴുത്ത്
478,Ärmel::N,mahuka,കുപ്പായക്കൈ
479,Hose::N,prakak,ട്രൌസർ
480,Hose::N,galtzak,ട്രൌസർ
481,Gürtel::N,gerriko,ബെൽറ്റ്
482,Mütze::N,txano,തൊപ്പി
483,Mütze::N,txapel,തൊപ്പി
484,Schuh::N,oski,ഷൂ
485,Schuh::N,oinetako,ഷൂ
486,Stiefel::N,bota,ബൂട്ട്
487,Ring::N,uztai,മോതിരം
488,Band::N,zinta,റിബൺ
489,Band::N,xingola,റിബൺ
490,Kamm::N,orrazi,ചീപ്പ്
491,Spiegel::N,mirail,കണ്ണാടി
492,Riemen::N,uhal,സ്ട്രാപ്പ്
493,Schnur::N,lokailu,ചരട്
494,Leine::N,lotura,കെട്ടാനുള്ള തോൽവാർ
495,Decke::N,burusi,പുതപ്പ്
496,Kissen::N,kuxin,തലയിണ
497,Tuch::N,zapi,സ്കാർഫ്
498,Tuch::N,oihal,സ്കാർഫ്
499,Handtuch::N,eskuzapi,തോർത്ത്
500,Handtuch::N,eskuoihal,തോർത്ത്
501,Kraft::N,indar,ശക്തി
502,Stärke::N,indar,ശക്തി
503,Gesundheit::N,osasun,ആരോഗ്യം
504,Krankheit::N,eritasun,അസുഖം
505,Krankheit::N,gaixotasun,അസുഖം
506,Schmerz::N,min,വേദന
507,Wunde::N,zauri,മുറിവ്
508,Fieber::N,sukar,പനി
509,Arznei::N,osagai,മരുന്ന്
510,Arznei::N,sendagai,മരുന്ന്
511,Brücke::N,zubi,പാലം
512,Brunnen::N,putzu,കിണർ
513,Weide::N,alha,മേച്ചൽ
514,Weide::N,bazkaleku,മേച്ചൽ
515,Pfad::N,zidor,വഴി
516,Pfad::N,bidexka,വഴി
517,Weg::N,bide,വഴി
518,Straße::N,errepide,റോഡ്
519,Dorf::N,herri,ഗ്രാമം
520,Stadt::N,hiri,നഗരം
521,Brief::N,gutun,കത്ത്
522,Brief::N,eskutitz,കത്ത്
523,Buch::N,liburu,പുസ്തകം
524,Buchstabe::N,hizki,അക്ഷരം
525,Zeitung::N,egunkari,വർത്തമാനപത്രം
526,Leben::N,bizi,ജീവൻ
527,Leben::N,bizitza,ജീവൻ
528,Tod::N,herio,മരണം
529,Tod::N,heriotza,മരണം
530,Grab::N,hobi,ശവക്കുഴി
531,Grab::N,hilobi,ശവക്കുഴി
532,Kirche::N,eliza,പള്ളി
533,Sünde::N,hoben,പാപം
534,Sünde::N,bekatu,പാപം
535,Gott::N,jainko,ദൈവം
536,Arbeiter::N,langile,ജോലിക്കാരൻ
537,Arbeiter::N,behargin,ജോലിക്കാരൻ
538,Chef::N,nagusi,മേധാവി
539,Meister::N,maisu,യജമാനൻ
540,Arzt::N,osagile,ഡോക്ടർ
541,Arzt::N,sendagile,ഡോക്ടർ
542,Lehrer::N,irakasle,അധ്യാപകൻ
543,Geld::N,diru,പണം
544,Geschäft::N,negozio,ബിസിനസ്
545,Laden::N,denda,കട
546,Laden::N,saltegi,കട
547,Preis::N,prezio,വില
548,Preis::N,salneurri,വില
549,Ware::N,salgai,ചരക്ക്
550,Nutzen::N,onura,ലാഭം
551,Nutzen::N,probetxu,ലാഭം
552,Reichtum::N,aberastasun,ധനം
553,Welt::N,ludi,ലോകം
554,Welt::N,mundu,ലോകം
555,Land::N,herrialde,രാജ്യം
556,Staat::N,estatu,രാജ്യം
557,König::N,errege,രാജാവ്
558,Macht::N,botere,അധികാരം
559,Grenze::N,muga,അതിർത്തി
560,Krieg::N,guda,യുദ്ധം
561,Feind::N,etsai,ശത്രു
562,Feind::N,arerio,ശത്രു
563,Gewalt::N,bortxa,അക്രമം
564,Gewalt::N,bortizkeria,അക്രമം
565,Kampf::N,gudu,പോരാട്ടം
566,Kampf::N,auska,പോരാട്ടം
567,Bogen[Waffe]::N,arku,വില്ല്
568,Pfeil::N,gezi,അമ്പ്
569,Gewehr::N,fusil,തോക്ക്
570,Fehler::N,huts,പിശക്
571,Fehler::N,hutsegin,പിശക്
572,Lüge::N,gezur,കള്ളം
573,Schaden::N,kalte,കേടുപാട്
574,Unglück::N,zoritxar,ദൌർഭാഗ്യം
575,Unglück::N,zorigaitz,ദൌർഭാഗ്യം
576,Schuld::N,erru,തെറ്റ്
577,Alter::N,adin,വയസ്സ്
578,Schluss::N,bukaera,നിഗമനം
579,Zeit::N,aldi,സമയം
580,Zeit::N,denbora,സമയം
581,Tag::N,egun,ദിവസം
582,Morgen::N,goiz,പ്രഭാതം
583,Mittag::N,eguerdi,ഉച്ച
584,Abend::N,arrats,സായാഹ്നം
585,Nacht::N,gau,രാത്രി
586,Woche::N,aste,ആഴ്ച
587,Monat::N,hil,മാസം
588,Jahr::N,urte,വർഷം
589,Frühling::N,udalehen,വസന്തം
590,Sommer::N,uda,വേനൽ
591,Herbst::N,udazken,ശരത്കാലം
592,Herbst::N,neguantz,ശരത്കാലം
593,Winter::N,negu,ശൈത്യം
594,Januar::N,urtarril,ജനുവരി
595,Februar::N,otsail,ഫെബ്രുവരി
596,März::N,martxo,മാർച്ച്
597,April::N,apiril,ഏപ്രിൾ മാസം
598,Mai::N,maiatz,മെയ് മാസം
599,Juni::N,ekain,ജൂൺ
600,Juli::N,uztail,ജൂലൈ
601,August::N,abuztu,ആഗസ്റ്റ്
602,September::N,irail,സെപ്തംബർ
603,Oktober::N,urri,ഒക്ടോബർ
604,November::N,azaro,നവംബർ
605,Dezember::N,abendu,ഡിസംബർ
606,Montag::N,astelehen,തിങ്കളാഴ്ച
607,Dienstag::N,astearte,ചൊവ്വ
608,Mittwoch::N,asteazken,ബുധനാഴ്ച
609,Donnerstag::N,ostegun,വ്യാഴാഴ്ച
610,Freitag::N,ostiral,വെള്ളിയാഴ്ച
611,Samstag::N,larunbat,ശനിയാഴ്ച
612,Sonntag::N,igande,ഞായറാഴ്ച
613,groß::A,handi,വലിയ
614,klein::A,txiki,ചെറിയ
615,lang::A,luze,നീണ്ട
616,kurz::A,labur,ഹ്രസ്വമായ
617,breit::A,zabal,വിശാലമായ
618,schmal::A,mehar,ഇടുങ്ങിയ
619,dicht::A,sarri,നിബിഡമായ
620,dicht::A,trinko,നിബിഡമായ
621,dick[Gegenstand]::A,lodi,തടിച്ച
622,dünn::A,mehe,മെലിഞ്ഞ
623,fein::A,fin,നേർത്ത
624,fest::A,tinko,ഉറപ്പുള്ള
625,flach::A,lau,പരന്ന
626,flach::A,ordoki,പരന്ന
627,glatt::A,leun,മിനുസമുള്ള
628,hart::A,gogor,കട്ടിയുള്ള
629,weich::A,bigun,മൃദുവായ
630,weich::A,beratz,മൃദുവായ
631,rund::A,biribil,വട്ടത്തിലുള്ള
632,spitz::A,puntadun,മുനയുള്ള
633,scharf::A,zorrotz,മൂർച്ചയുള്ള
634,stumpf::A,kamuts,തുറന്നടിക്കുന്ന
635,schwer::A,astun,ഭാരമുള്ള
636,schwer::A,pisutsu,ഭാരമുള്ള
637,schön::A,eder,മനോഹരമായ
638,heiß::A,bero,ചൂടുള്ള
639,heiß::A,oso bero,ചൂടുള്ള
640,warm::A,bero,ചൂടുള്ള
641,kalt::A,hotz,തണുത്ത
642,kühl::A,hotzil,തണുപ്പുള്ള
643,frisch::A,fresko,ശുദ്ധമായ
644,frisch::A,hozkirri,ശുദ്ധമായ
645,feucht::A,heze,ഈറനുള്ള
646,nass::A,busti,നനഞ്ഞ
647,trocken::A,siku,വരണ്ട
