,Concept_ID,kv,br
88,Schmutz::N,нять,fank
89,See::N,ты,lenn
90,Sumpf::N,арай,gwern
91,Moor::N,нюр,taouarc'heg
92,Wiese::N,видз,prad
93,Wald::N,вӧр,koad
94,Hügel::N,мыльк,torgenn
95,Anhöhe::N,вывтас,run
96,Anhöhe::N,вылынін,run
97,Berg::N,керӧс,menez
98,Gipfel::N,йыв,barr
99,Höhle::N,нора,kav
100,Abhang::N,покат,naou
101,Quelle::N,больган,feunteun
102,Bach::N,шор,gwazh
103,Fluss::N,ю,stêr
104,Ufer::N,берег,ribl
105,Küste::N,берег,aod
106,Festland::N,му,douar
107,Meer::N,море,mor
108,Bucht::N,курья,mor-bihan
109,Blume::N,цветок,bleunienn
110,Gras::N,турун,geot
111,Wurzel::N,вуж,gwrizienn
112,Baum::N,пу,gwezenn
113,Stamm::N,мыр,kef
114,Stamm::N,кер,kef
115,Rinde::N,кач,rusk
116,Ast::N,ув,barr
117,Zweig::N,ув,bod
118,Blatt::N,лист,delienn
119,Birke::N,кыдз,bezvenn
120,Kiefer[Baum]::N,пожум,pinenn
121,Weide[Baum]::N,бадь,halegenn
122,Tanne::N,кӧз,sapenn
123,Horn::N,сюр,korn
124,Feder::N,гӧн,pluñv
125,Fell::N,кучик,kreoñ
126,Flügel::N,борд,askell
127,Klaue::N,гыж,skilf
128,Kralle::N,кабыр,skilf
129,Schwanz::N,бӧж,lost
130,Ei::N,кольть,vi
131,Nest::N,поз,neizh
132,Bau::N,осьта,douarenn
133,Bau::N,нора,douarenn
134,Tier::N,зверь,loen
135,Herde::N,гурт,tropell
136,Kuh::N,мӧс,buoc'h
137,Bulle::N,ӧшка,tarv
138,Pferd::N,вӧв,marc'h
139,Schaf::N,баля,dañvad
140,Schwein::N,порсь,pemoc'h
141,Hund::N,пон,ki
142,Katze::N,кань,kazh
143,Bär::N,ош,arzh
144,Eichhörnchen::N,ур,gwiñver
145,Elch::N,вӧр мӧс,karv-dour
146,Fuchs::N,руч,louarn
147,Hase::N,кӧч,gad
148,Maus::N,шыр,logodenn
149,Wolf::N,кӧин,bleiz
150,Vogel::N,кай,labous
151,Schwarm::N,стая,nijad
152,Schwarm::N,чукӧр,nijad
153,Huhn::N,курӧг,yar
154,Hahn::N,петух,kilhog
155,Hahn::N,ай курӧг,kilhog
156,Gans::N,дзодзог,gwazenn
157,Adler::N,куч,erer
158,Adler::N,кутш,erer
159,Ente::N,утка,houad
160,Eule::N,тупка,toud
161,Kranich::N,тури,garan
162,Krähe::N,рака,bran
163,Kuckuck::N,кӧк,koukoug
164,Schwan::N,юсь,alarc'h
165,Fisch::N,чери,pesk
166,Barsch::N,ёкыш,brell
167,Hecht::N,сирпинь,beked
168,Schlange[Tier]::N,змей,naer
169,Wurm::N,номыр,preñv
170,Spinne::N,черань,kevnidenn
171,Ameise::N,кӧдзывкар,merion
172,Laus::N,ляпа той,laouenn
173,Mücke::N,ном,moustik
174,Fliege::N,гут,kelienenn
175,Schmetterling::N,бабыв,balafenn
176,Beere::N,ягӧд,hog
177,Apfel::N,яблоко,aval
178,Pilz::N,тшак,kabell-touseg
179,Zwiebel::N,грез,ognonenn
180,Saat::N,кӧдзыс,had
181,Korn::N,сю,ed
182,Heu::N,турун,foenn
183,Schale::N,кыш,peliadur
184,Schale::N,киль,peliadur
185,Grube::N,яма,
186,Falle::N,нальк,pech
187,Falle::N,кляпча,pech
188,Schlinge::N,лӧч,krouglas
189,Spur::N,туй,
190,Asche::N,пӧим,ludu
191,Dreck::N,нять,fank
192,Eisen::N,кӧрт,houarn
193,Gold::N,зарни,aour
194,Silber::N,язісь,arc'hant
195,Kohle::N,шом,glaou
196,Kohle::N,уголь,glaou
197,Glas::N,стекло,gwer
198,Lehm::N,сёй,
199,Sand::N,лыа,traezh
200,Mensch::N,морт,den
201,Mann::N,мужик,den
202,Frau::N,инька,maouez
203,Kind::N,кага,bugel
204,Junge::N,зонка,paotr
205,Mädchen::N,нывкаок,plac'h
206,Familie::N,семья,familh
207,Großvater::N,дед,tad-kozh
208,Großmutter::N,баб,mamm-gozh
209,Eltern::N,ай-мам,kerent
210,Vater::N,ай,tad
211,Mutter::N,мам,mamm
212,Sohn::N,зон,mab
213,Tochter::N,ныв,merc'h
214,Bruder::N,вон,breur
215,Schwester::N,сой,c'hoar
216,Onkel::N,дядь,eontr
217,Tante::N,айӧлӧн сой,moereb
218,Tante::N,ичинь,moereb
219,Ehemann::N,жӧник,gwaz
220,Ehefrau::N,инь,gwreg
221,Freude::N,гаж,levenez
222,Freude::N,радъялӧм,levenez
223,Gelächter::N,сералӧм,c'hoarzherezh
224,Glück::N,мичлун,chañs
225,Kummer::N,шог,doan
226,Wunsch::N,мӧдӧм,c'hoant
227,Wunsch::N,охотитӧм,c'hoant
228,Lust::N,охота,c'hoant
229,Geist::N,лов,spered
230,Gedanke::N,дума,soñj
231,Gedächtnis::N,тӧдвыв,eñvor
232,Verstand::N,вежӧр,skiant
233,Sinn::N,ылӧс,ster
234,Grund::N,мог,kaoz
235,Wahrheit::N,правда,gwirionez
236,Gespräch::N,сёрни,kaozeadenn
237,Märchen::N,сказка,kaoz korriganez
238,Erzählung::N,висьт,kontadenn
239,Nachricht::N,юӧр,keloù
240,Nachricht::N,висьталӧм,keloù
241,Neuigkeit::N,новость,kelaouenn
242,Name::N,ним,anv
243,Rätsel::N,загадка,divinatez
244,Rede::N,сёрни,diskour
245,Sprache::N,кыв,yezh
246,Stimme::N,голос,mouezh
247,Wort::N,кыв,ger
248,Zeichen::N,пас,sin
249,Ruf::N,чуксӧм,galv
250,Ruf::N,чукӧстӧм,galv
251,Lärm::N,шум,trouz
252,Laut::N,шы,
253,Ton::N,гор,ton
254,Lied::N,сьыланкыв,kanaouenn
255,Ruhe::N,спокой,sioulded
256,Leute::N,йӧз,tud
257,Volk::N,йӧз,pobl
258,Volk::N,народ,pobl
259,Arbeit::N,удж,labour
260,Gast::N,гӧсь,kouviad
261,Geschenk::N,гӧснеч,prof
262,Geschenk::N,подарок,prof
263,Spiel::N,орсӧм,c'hoari
264,Gesellschaft::N,компания,kompagnunezh
265,Gesellschaft::N,компания,kavandad
266,Hilfe::N,отсӧт,sikour
267,Freund::N,модз,mignon
268,Freund::N,дружок,mignon
269,Kamerad::N,тӧдса,kamarad
270,Angelegenheit::N,дело,afer
271,Anzahl::N,лыд,niver
272,Art::N,пӧлӧс,sort
273,Stück::N,тор,tamm
274,Teil::N,юкӧм,pezh
275,Hälfte::N,джын,hanterenn
276,Kreis::N,круг,kelc'h
277,Kreuz::N,перна,kroaz
278,Linie::N,визь,linenn
279,Strich::N,кырӧв,tenn
280,Abstand::N,колас,distok
281,Entfernung::N,ылына,keid
282,Entfernung::N,ылына,kehid
283,Gegend::N,места,korn-bro
284,Platz::N,места,plasenn
285,Ort::N,места,lec'h
286,Seite::N,ладор,tu
287,Mitte::N,шӧр,kreiz
288,Gegenstand::N,тор,tra
289,Sache::N,тор,tra
290,Rand::N,дор,kantenn
291,Kante::N,ордлы,kantenn
292,Ecke::N,пельӧс,korn
293,Spitze::N,йыв,begell
294,Ende::N,йыв,dibenn
295,Loch::N,осьта,toull
296,Winkel::N,пельӧс,
297,Muster::N,сер,tresadenn
298,Größe::N,ыжда,ment
299,Länge::N,кузя,hirder
300,Höhe::N,сувда,uhelder
301,Höhe::N,вылына,uhelder
302,Gewicht::N,сьӧкта,pouez
303,Haufen::N,куча,bern
304,Reihe::N,лёдз,steud
305,Boot::N,пыж,bag
306,Ruder::N,пелыс,roeñv
307,Schlitten::N,додь,trainell
308,Ski::N,лямпа,ski
309,Lagerfeuer::N,бипур,
310,Last::N,тягота,karg
311,Gang::N,мунӧм,kerzh
312,Schritt::N,вожмӧв,paz
313,Norden::N,ой,norzh
314,Norden::N,ой,hanternoz
315,Süden::N,лун,su
316,Süden::N,лун,kreisteiz
317,Westen::N,рытвыв,kuzh-heol
318,Osten::N,асыв,reter
319,Osten::N,асыв,sav-heol
320,Holz::N,пу,koad
321,Brett::N,пӧв,plankenn
322,Platte::N,плита,plakenn
323,Stütze::N,пика,harp
324,Stange::N,зор,sparl
325,Stange::N,потш,sparl
326,Stock::N,бедь,bazh
327,Stab::N,шест,bazh
328,Rohr::N,труба,tub
329,Rohr::N,труба,korz
330,Haus::N,керку,ti
331,Heim::N,керку,kêr
332,Ofen::N,пӧжавны,forn
333,Fußboden::N,джодж,plañchod
334,Tisch::N,пызан,taol
335,Stuhl::N,стул,kador
336,Wiege::N,зыбка,kavell
337,Bett::N,кровать,gwele
338,Regal::N,джадж,estajerenn
339,Kiste::N,ящик,kased
340,Fenster::N,ӧшын,prenestr
341,Tür::N,ыбӧс,dor
342,Tor::N,ворота,portal
343,Zaun::N,забор,sklotur
344,Dach::N,крыша,toenn
345,Leiter::N,лиснич,skeul
346,Besen::N,рос,skubell
347,Spaten::N,зыр,pal
348,Schaufel::N,зыр,pal
349,Gabel::N,вила,fourchetez
350,Löffel::N,пань,loa
351,Messer::N,пурт,kontell
352,Nagel::N,кӧрттув,tach
353,Netz::N,кыйӧт,roued
354,Haken::N,ем,krog
355,Griff::N,пу,kemer
356,Schloss::N,замок,potenn
357,Bild::N,картина,skeudenn
358,Figur::N,мыгӧр,skeud
359,Figur::N,мыгӧр,figur
360,Puppe::N,акань,merc'hodenn
361,Beutel::N,мешӧк,sac'h
362,Bündel::N,нин,feskenn
363,Tasche::N,сумка,sac'h
364,Eimer::N,ведра,sailh
365,Deckel::N,вевт,pallenn
366,Geschirr::N,доз,listriaj
367,Geschirr::N,бекӧрпань,listriaj
368,Sack::N,мешӧк,sac'h
369,Tasse::N,бекӧр,tas
370,Topf::N,кастрюля,pod
371,Kessel::N,пӧрт,chaodouron
372,Essen::N,сёйӧм,pred
373,Nahrung::N,вердан,boued
374,Speise::N,сёян,meuz
375,Fleisch::N,яй,kig
376,Getreide::N,сю,ed
377,Brei::N,каша,yod
378,Brot::N,нянь,bara
379,Scheibe::N,шӧрӧм,tailhenn
380,Fett::N,гос,lard
381,Butter::N,ви,amann
382,Öl::N,ви,eoul
383,Salz::N,сов,holen
384,Suppe::N,шыд,soubenn
385,Honig::N,ма,mel
386,Milch::N,йӧв,laezh
387,Tee::N,чай,te
388,Leder::N,кучик,lêr
389,Wolle::N,гӧн,gloan
390,Stoff::N,дӧра,danvez
391,Nadel::N,ем,nadoz
392,Faden::N,сунис,neudenn
393,Knopf::N,кизь,bouton
394,Knoten::N,узӧв,skoulm
395,Knoten::N,гӧрӧд,skoulm
396,Farbe::N,краска,liv
397,Kleidung::N,паськӧм,dilhad
398,Hemd::N,йӧрнӧс,roc'hed
399,Kragen::N,воротник,gouzoug
400,Ärmel::N,сос,milgin
401,Hose::N,вешьян,bragoù
402,Gürtel::N,йи,gouriz
403,Mütze::N,шапка,boned
404,Schuh::N,ботинки,botez
405,Stiefel::N,сапог,botez
406,Ring::N,чунькытш,gwalenn
407,Band::N,ленточка,bagad
408,Kamm::N,сынан,krib
409,Spiegel::N,зеркало,melezour
410,Riemen::N,ремень,lerenn
411,Schnur::N,гез,kordenn
412,Leine::N,повод,roll
413,Decke::N,одеяло,golo
414,Kissen::N,подушка,goubenner
415,Tuch::N,чышьян,mezher
416,Handtuch::N,чышкӧт,toailhon
417,Kraft::N,прак,nerzh
418,Stärke::N,вын,nerzhder
419,Gesundheit::N,здоровье,yec'hed
420,Krankheit::N,шог,klañved
421,Schmerz::N,зубыт,poan
422,Schmerz::N,зубыт,droug
423,Wunde::N,рана,gloazadenn
424,Fieber::N,лёк тресся,terzhienn
425,Fieber::N,кынтан шогӧт,terzhienn
426,Arznei::N,лекарство,louzoù
427,Brücke::N,пос,pont
428,Brunnen::N,колодец ,puñs
429,Weide::N,пода йирсян,prad
430,Pfad::N,туй,gwenodenn
431,Weg::N,туй,hent
432,Straße::N,туй,ru
433,Straße::N,туй,hent
434,Dorf::N,деревня,kêr
435,Dorf::N,деревня,kêriadenn
436,Stadt::N,город,kêr
437,Brief::N,гижӧт,lizher
438,Buch::N,книга,levr
439,Buchstabe::N,буква,lizherenn
440,Zeitung::N,газета,kazetenn
441,Leben::N,олан,buhez
442,Tod::N,кулӧм,marv
443,Grab::N,гу,bez
444,Kirche::N,вичку,iliz
445,Sünde::N,грек,pec'hed
446,Gott::N,ен,doue
447,Arbeiter::N,уджалiсь,labourer
448,Arbeiter::N,уджалiсь,micherour
449,Chef::N,начальник,penn
450,Meister::N,мастер,mestr
451,Arzt::N,врач,mezeg
452,Arzt::N,врач,medisin
453,Lehrer::N,велӧтісь,skolaer
454,Lehrer::N,велӧтісь,kelenner
455,Geld::N,деньга,arc'hant
456,Geschäft::N,удж,stal
457,Laden::N,магазин,stal
458,Preis::N,дон,priz
459,Ware::N,товар,marc'hadourezh
460,Nutzen::N,путь,gounidegezh
461,Nutzen::N,путь,lañs
462,Nutzen::N,путь,profit
463,Nutzen::N,путь,spleit
464,Reichtum::N,богатство,pinvidigezh
465,Welt::N,му,douar
466,Land::N,страна,bro
467,Staat::N,государство,stad
468,König::N,кан,roue
469,Macht::N,власть,galloud
470,Grenze::N,граница,harzoù
471,Krieg::N,война,brezel
472,Feind::N,враг,eneber
473,Kampf::N,нярасьӧм,kann
474,Kampf::N,вермасьӧм,kann
475,Bogen[Waffe]::N,лук,gwareg
476,Pfeil::N,ньӧв,saezh
477,Gewehr::N,ружьё,fuzuilh
478,Fehler::N,ошибка,fazi
479,Lüge::N,ылӧтӧм,gaou
480,Lüge::N,пӧрьялӧм,gaou
481,Schaden::N,лёк,gwall
482,Unglück::N,пик,gwalleur
483,Unglück::N,оказзё,gwalleur
484,Schuld::N,вина,kablusted
485,Schuld::N,вина,pec'hedigezh
486,Schluss::N,ком,diwezh
487,Zeit::N,кад,amzer
488,Tag::N,лун,deizh
489,Morgen::N,асыв,beure
490,Morgen::N,асыв,mintin
491,Mittag::N,луншӧр кад,kreisteiz
492,Abend::N,рыт,abardaez
493,Nacht::N,ой,noz
494,Woche::N,неделя,sizhun
495,Monat::N,тӧлicь,miz
496,Jahr::N,год,bloaz
497,Frühling::N,тулыс,nevezamzer
498,Sommer::N,гожум,hañv
499,Herbst::N,ар,diskaramzer
500,Winter::N,тӧв,goañv
501,Januar::N,январ,Genver
502,Februar::N,февраль,C'hwevrer
503,März::N,март,Meurzh
504,April::N,апрель,Ebrel
505,Mai::N,май,Mae
506,Juni::N,юнь,Mezheven
507,Juli::N,юль,Gouhere
508,August::N,август,Eost
509,September::N,сентяб,Gwengolo
510,Oktober::N,октяб,Here
511,November::N,нояб,Du
512,Dezember::N,декаб,Kerzu
513,Montag::N,вильлун,Lun
514,Dienstag::N,мӧдӧдзлун,Meurzh
515,Mittwoch::N,шӧрлун,Merc'her
516,Donnerstag::N,нёльӧдзлун,Yaou
517,Freitag::N,витӧдзлун,Gwener
518,Samstag::N,пывсянлун,Sadorn
519,Sonntag::N,кресення,Sul
520,groß::A,ыджыт,bras
521,klein::A,учӧтик,bihan
522,lang::A,кузь,hir
523,kurz::A,дженыт,berr
524,breit::A,ота,ledan
525,schmal::A,векнит,strizh
526,dicht::A,тшӧк,stank
527,dick[Gegenstand]::A,кыз,tev
528,dünn::A,вӧснит,moan
529,fein::A,вӧснит,munut
530,fest::A,крепыт,start
531,flach::A,лапкӧса,plaen
532,glatt::A,волькыт,lintr
533,glatt::A,волькыт,levn
534,hart::A,чӧрыт,kalet
535,weich::A,небыт,blot
536,rund::A,гӧгрӧса,ront
537,spitz::A,ёся,poentet
538,scharf::A,лэчыт,dremm
539,stumpf::A,ныж,talsoc'h
540,schwer::A,сьӧкыт,pounner
541,schön::A,басӧк,kaer
542,heiß::A,жар,tomm
543,warm::A,шоныт,tomm
544,kalt::A,кӧдзыт,yen
545,kühl::A,сайкыт,yen
546,frisch::A,виль,fresk
547,feucht::A,вакодь,gleb
548,nass::A,ва,gleb
549,trocken::A,кӧс,sec'h
550,voll::A,тыра,leun
551,leer::A,тыртӧм,goullo
552,offen::A,оссьӧм,digor
553,geschlossen::A,игана,serr
554,geschlossen::A,пӧдана,serr
555,sauber::A,сӧдз,naet
556,sauber::A,сӧстӧм,naet
557,schmutzig::A,нятьӧсь,lous
558,roh::A,путӧм,kriz
559,reif::A,кисьмалӧм,darev
560,lecker::A,кӧра ,lipous
561,lecker::A,кӧра ,saourus
562,süß::A,чӧскыт,dous
563,bitter::A,курыт,c'hwerv
564,sauer::A,шӧма ,trenk
565,hell::A,югыт,sklaer
566,dunkel::A,пемыт,teñval
567,schwarz::A,сьӧд,du
568,weiß::A,чочком,gwenn
569,rot::A,гӧрд,ruz
570,gelb::A,веж,melen
571,blau::A,лӧз,glas
572,grün::A,веж,gwer
573,grau::A,руд,louet
574,grau::A,бусӧй,louet
575,bunt::A,быдрӧма,liesliv
576,billig::A,донтӧм,marc'had-mat
577,teuer::A,дона,ker
578,wertvoll::A,дона,prizius
579,blind::A,синтӧм,dall
580,taub::A,пельтӧм,bouzar
581,kräftig::A,вына,start
582,stark::A,вына,kreñv
583,schwach::A,некодя,gwan
584,fett::A,госа,lard
585,schlank::A,статя,sinkl
586,hübsch::A,басӧк,koant
587,böse::A,лёк,gwall
588,dumm::A,бӧбӧв,glep
589,dumm::A,вежӧртӧм,glep
590,faul::A,дыш,lezirek
591,fleißig::A,уджалicь,studius
592,geizig::A,жикмӧра,tost
593,geizig::A,горшаліcь,tost
594,klug::A,авья,speredek
595,klug::A,вежӧра,speredek
596,geschickt::A,кипода,dornet
597,lieb::A,муса,koant
598,lieb::A,дзулиньӧй,koant
599,lustig::A,гажа,laouen
600,sanft::A,лебезнӧй,flour
601,hungrig::A,тшыг,marnaon
602,krank::A,шогалiсь,klañv
603,nackt::A,куш,noazh
604,traurig::A,жугыль,trist
605,lebendig::A,ловья,bev
606,gut::A,бур,mad
607,schlecht::A,умӧль,fall
608,schlecht::A,умӧль,gwall
609,schlimm::A,нештӧм,gwall
610,alt::A,важ,kozh
611,neu::A,виль,nevez
612,ehemalig::A,вӧвлӧм,kozh
613,alt[Lebewesen]::A,года,kozh
614,alt[Lebewesen]::A,годдэза,kozh
615,jung::A,том,yaouank
616,arm::A,гов,paour
617,arm::A,беднӧй,paour
618,reich::A,эма,pinvidik
619,bekannt::A,тӧдса,anavezet
620,fremd::A,чужӧй,dizanav
621,verschieden::A,быдкодь,disheñel
622,nah::A,матiсь,nes
623,fern::A,ылicь,diabell
624,linker::A,шульга,kleiz
625,rechter::A,веськытланись,dehoù
626,anderer::A,мукӧд,all
627,erster::A,медодзза,kentañ
628,zweiter::A,кыкӧт,eil
629,dritter::A,куимӧт,trede
630,dritter::A,куимӧдз,trede
631,letzter::A,бӧрья,diwezhañ
632,letzter::A,мёдбӧрья,diwezhañ
633,auf einmal::ADV,тшӧтш,ar un dro
634,zusammen::ADV,ӧтлаын,asambles
635,lange::ADV,дыр,pell
636,plötzlich::ADV,друг,en un taol
637,sofort::ADV,тшӧтш,diouzhtu
638,später::ADV,медбӧрын,diwezhatoc'h
639,jetzt::ADV,ӧні,bremañ
640,heute::ADV,талун,hiziv
641,morgen::ADV,ашын,arc'hoazh
642,bald::ADV,чожа,hepdale
643,dann::ADV,сыбӧрын,a-c'houde
644,gestern::ADV,тӧн,dec'h
645,einst::ADV,ӧтпыр,gwechall
646,damals::ADV,сэк,neuze
647,damals::ADV,сэки,neuze
648,danach::ADV,сэсся,goude
649,vorher::ADV,одзжык,diagent
650,zuerst::ADV,наперво,da gentañ
651,einmal::ADV,ӧтпыр,ur wech
652,manchmal::ADV,мукӧдпыр,a-wechoù
653,oft::ADV,-лы-,alies
654,immer::ADV,быдпыр,atav
655,immer::ADV,быдпыр,bepred
656,immer::ADV,быдпырся,atav
657,immer::ADV,быдпырся,bepred
658,niemals::ADV,некӧр,gwech ebet
659,hier::ADV,татӧн,amañ
660,hierhin::ADV,татчӧ,dre amañ
661,von hier::ADV,тасянь,alemañ
662,dort::ADV,сэтӧн,aze
663,dort::ADV,сэтӧн,ahont
664,dorthin::ADV,сэтчин,di
665,dorthin::ADV,сэтчин,aze
666,dorthin::ADV,сэтчин,ahont
667,geradeaus::ADV,веськыта,war-eeun
668,vorwärts::ADV,одзӧ,war-raok
669,rückwärts::ADV,бӧр,war-lerc'h
670,zurück::ADV,бӧр,war-dreñv
671,unten::ADV,увтын,en traoñ
672,hinab::ADV,увтас,a-izel
673,oben::ADV,вевдӧрас,en nec'h
674,hinauf::ADV,вывлань,e-krec'h
675,hinauf::ADV,вывланьӧ,e-krec'h
676,überall::ADV,быдлан,dre-holl
677,nicht::ADV,ог,ne ... ket
678,ein wenig::ADV,-ышт,un tammig
679,ein wenig::ADV,невна,un tammig
680,kaum::ADV,ӧдва,a-boan
681,sehr::ADV,вывтi,-tre
682,sehr::ADV,вывтi,-kenañ
683,so::ADV,сiдз,evel-se
684,noch::ADV,эшӧ,c'hoazh
685,nur::ADV,только,hepken
686,schon::ADV,ни,dija
687,wieder::ADV,бӧра,adarre
688,vergebens::ADV,весись,
689,vor::PRP,одзас,dirak
690,hinter::PRP,бӧрӧ,a-drek
691,hinter::PRP,бӧрӧ,a-dreñv
692,unter::PRP,увтын,dindan
693,durch::PRP,пыр,dre
694,neben::PRP,бокам,e-kichen
695,neben::PRP,боксиным,e-kichen
696,zwischen::PRP,коласас,etre
697,wegen::PRP,понда,abalamour da
698,dies::PRN,эта,hemañ
699,das::PRN,сiя,se
700,das::PRN,сiя,hennezh
701,alles::PRN,быдӧс,pep tra
702,ich::PRN,ме,me
703,du::PRN,тэ,te
704,er::PRN,сiя,eñ
705,wir::PRN,мийӧ,ni
706,ihr::PRN,ті,c'hwi
707,sie::PRN,нія,int
708,was::FPRN,мый,petra
709,wer::FPRN,кин,piv
710,wo::FADV,кытӧн,pelec'h
711,wohin::FADV,кытчӧ,da belec'h
712,wie::FADV,дзик,penaos
713,warum::FADV,мыля,perak
714,warum::FADV,мыйсянь,perak
715,wieviel::FNUM,мымда,pet
716,eins::NUM,ӧт,unan
717,zwei::NUM,кык,daou
718,drei::NUM,куим,tri
719,vier::NUM,нёль,pevar
720,fünf::NUM,вит,pemp
721,sechs::NUM,квать,c'hwec'h
722,sieben::NUM,сизим,seizh
723,acht::NUM,кыкьямыс,eizh
724,neun::NUM,ӧкмыс,nav
725,zehn::NUM,дас,dek
726,elf::NUM,дасотік,unnek
727,zwölf::NUM,даскык,daouzek
728,zwanzig::NUM,кыкдас,ugent
729,dreißig::NUM,куимдас,tregont
730,vierzig::NUM,нёльдас,daou-ugent
731,fünfzig::NUM,витдас,hanter-kant
732,sechzig::NUM,кватьдас,tri-ugent
733,siebzig::NUM,сизимдас,dek ha tri-ugent
734,achtzig::NUM,кыкьямысдас,pevar-ugent
735,neunzig::NUM,ӧкмысдас,dek ha pevar-ugent
736,hundert::NUM,сто,kant
737,tausend::NUM,тысяча,mil
738,und::CNJ,и,ha
739,und::CNJ,да,ha
740,oder::CNJ,или,pe
741,stehen::V,сулавны,bezañ a-sav
742,sitzen::V,пукавны,azezañ
743,sitzen::V,пукавны,bezañ en e goazez
744,liegen::V,куйлыны,bezañ en e c'hourvez
745,hängen::V,ӧшавны,krougañ
746,werden::V,лоны,dazonet
747,passieren::V,аркмыны,c'hoarvezout
748,beginnen::V,петны,stagañ
749,enden::V,-сь,achuiñ
750,enden::V,бырны,achuiñ
751,wechseln::V,вежсьыны,cheñch
752,aufgehen[Sonne]::V,петавны,dirouzañ
753,untergehen[Sonne]::V,пуксьыны,
754,scheinen[Sonne]::V,югьявны,lugernañ
755,donnern::V,гымавны,taranal
756,wehen::V,пӧлявны,c'hwezhañ
757,strömen::V,киссьыны,deredek
758,fließen::V,визывтны,redek
759,sich drehen::V,бергавны,troiñ
760,schwanken::V,кӧвьясьны,trantellat
761,schwingen::V,дюттясьны,froumal
762,fallen::V,усьны,kouezhañ
763,brennen::V,сотчыны,deviñ
764,rauchen::V,тшынасьны,divogedañ
765,regnen::V,зэрны,glavañ
766,gefrieren::V,гегдыны,reviñ
767,tauen::V,сывны,diskornañ
768,schmelzen::V,сывны,teuziñ
769,trocknen::V,косьмыны,sec'hañ
770,sieden::V,пизьны,berviñ
771,faulen::V,нёльзьыны,breinañ
772,verfaulen::V,тӧрмыны,breinañ
773,verfaulen::V,сiсьмыны,breinañ
774,reißen::V,косясьны,darnaouiñ
775,versinken::V,вӧйны,sodellañ
776,vergehen::V,мунны,tremen
777,erscheinen::V,мыччисьны,donet war-wel
778,verschwinden::V,ӧшны,monet diwar wel
779,sinken::V,ямны,en em izelat
780,abnehmen::V,ямны,nebeutaat
781,zunehmen::V,паськавны,kreskiñ
782,steigen::V,лэбтiсьны,sevel
783,wachsen::V,быдмыны,kreskiñ
