,Concept_ID,it,no
172,Schwein::N,porco,gris
173,Schwein::N,maiale,gris
174,Hund::N,cane,hund
175,Katze::N,gatta,katt
176,Bär::N,orso,bjørn
177,Eichhörnchen::N,scoiàttolo,ekorn
178,Elch::N,alce,elg
179,Fuchs::N,volpe,rev
180,Hase::N,lepre,hare
181,Maus::N,topo,mus
182,Maus::N,sorcio,mus
183,Wolf::N,lupo,ulv
184,Wolf::N,lupo,varg
185,Vogel::N,uccello,fugl
186,Schwarm::N,stormo,sverm
187,Huhn::N,gallina,høne
188,Hahn::N,gallo,hane
189,Gans::N,oca,gås
190,Adler::N,àquila,ørn
191,Ente::N,ànatra,and
192,Eule::N,gufo,ugle
193,Eule::N,civetta,ugle
194,Kranich::N,gru,trane
195,Krähe::N,cornacchia,kråke
196,Kuckuck::N,cuccù,gjøk
197,Kuckuck::N,cùculo,gjøk
198,Schwan::N,cigno,svane
199,Fisch::N,pesce,fisk
200,Barsch::N,pèrsico,abbor
201,Hecht::N,luccio,gjedde
202,Schlange[Tier]::N,serpente,orm
203,Schlange[Tier]::N,serpente,slange
204,Wurm::N,baco,orm
205,Wurm::N,baco,mark
206,Wurm::N,verme,orm
207,Wurm::N,verme,mark
208,Spinne::N,ragno,edderkopp
209,Ameise::N,formica,maur
210,Laus::N,pidocchio,lus
211,Mücke::N,zanzara,mygg
212,Fliege::N,mosca,flue
213,Schmetterling::N,farfalla,sommerfugl
214,Beere::N,bacca,bær
215,Apfel::N,mela,eple
216,Pilz::N,fungo,sopp
217,Zwiebel::N,cipolla,løk
218,Saat::N,semente,sæd
219,Korn::N,grano,korn
220,Heu::N,fieno,høy
221,Schale::N,buccia,skall
222,Grube::N,cava,grop
223,Grube::N,fossa,grop
224,Falle::N,tràppola,felle
225,Schlinge::N,laccio,snare
226,Spur::N,traccia,spor
227,Asche::N,cenere,aske
228,Dreck::N,fango,møkk
229,Dreck::N,fango,skitt
230,Eisen::N,ferro,jern
231,Gold::N,oro,gull
232,Silber::N,argento,sølv
233,Kohle::N,carbone,kol
234,Kohle::N,carbone,kull
235,Glas::N,vetro,glass
236,Lehm::N,argilla,leire
237,Sand::N,arena,sand
238,Sand::N,sabbia,sand
239,Mensch::N,uomo,menneske
240,Mensch::N,èssere umano,menneske
241,Mann::N,uomo,mann
242,Frau::N,donna,kvinne
243,Kind::N,bambino,barn
244,Junge::N,ragazzo,gutt
245,Mädchen::N,ragazza,pike
246,Mädchen::N,ragazza,jente
247,Familie::N,famiglia,familie
248,Großvater::N,nonno,bestefar
249,Großmutter::N,nonna,bestemor
250,Eltern::N,genitori,foreldre
251,Vater::N,padre,far
252,Mutter::N,madre,mor
253,Sohn::N,figlio,sønn
254,Tochter::N,figlia,datter
255,Bruder::N,fratello,bror
256,Schwester::N,sorella,søster
257,Onkel::N,zio,onkel
258,Tante::N,zia,tante
259,Ehemann::N,marito,ektemann
260,Ehefrau::N,moglie,hustru
261,Freude::N,gioia,glede
262,Freude::N,piacere,glede
263,Gelächter::N,risata,latter
264,Glück::N,felicità,lykke
265,Kummer::N,afflizione,sorg
266,Wunsch::N,desiderio,ønske
267,Lust::N,voglia,lyst
268,Geist::N,mente,ånd
269,Geist::N,spìrito,ånd
270,Gedanke::N,idea,tanke
271,Gedanke::N,pensiero,tanke
272,Gedächtnis::N,memoria,minne
273,Gedächtnis::N,memoria,hukommelse
274,Verstand::N,intelletto,forstand
275,Sinn::N,senso,mening
276,Sinn::N,senso,betydning
277,Sinn::N,significato,mening
278,Sinn::N,significato,betydning
279,Grund::N,causa,grunn
280,Grund::N,motivo,grunn
281,Grund::N,ragione,grunn
282,Wahrheit::N,verità,sannhet
283,Gespräch::N,discorso,samtale
284,Gespräch::N,conversazione,samtale
285,Märchen::N,fiaba,eventyr
286,Märchen::N,fàvola,eventyr
287,Erzählung::N,racconto,fortelling
288,Erzählung::N,narrazione,fortelling
289,Nachricht::N,messaggio,melding
290,Neuigkeit::N,notizia,nyhet
291,Name::N,nome,navn
292,Rätsel::N,indovinello,gåte
293,Rede::N,discorso,tale
294,Sprache::N,lingua,språk
295,Sprache::N,linguaggio,språk
296,Stimme::N,voce,stemme
297,Wort::N,parola,ord
298,Zeichen::N,segno,tegn
299,Zeichen::N,segnale,tegn
300,Ruf::N,chiamata,rop
301,Lärm::N,chiasso,bråk
302,Lärm::N,strèpito,bråk
303,Laut::N,suono,lyd
304,Ton::N,tono,tone
305,Lied::N,canto,vise
306,Lied::N,canzone,vise
307,Ruhe::N,calma,ro
308,Ruhe::N,tranquillità,ro
309,Leute::N,gente,folk
310,Volk::N,pòpolo,folk
311,Arbeit::N,lavoro,arbeid
312,Gast::N,òspite,gjest
313,Gast::N,invitato,gjest
314,Geschenk::N,regalo,gave
315,Spiel::N,gioco,lek
316,Spiel::N,gioco,spill
317,Gesellschaft::N,compagnìa,selskap
318,Hilfe::N,aiuto,hjelp
319,Hilfe::N,soccorso,hjelp
320,Freund::N,amico,venn
321,Kamerad::N,camerata,kamerat
322,Angelegenheit::N,affare,sak
323,Angelegenheit::N,affare,anliggende
324,Angelegenheit::N,faccenda,sak
325,Angelegenheit::N,faccenda,anliggende
326,Anzahl::N,nùmero,antall
327,Anzahl::N,quantità,antall
328,Art::N,tipo,art
329,Art::N,tipo,slag
330,Art::N,specie,art
331,Art::N,specie,slag
332,Stück::N,pezzo,stykke
333,Teil::N,parte,del
334,Hälfte::N,metà,halvdel
335,Kreis::N,cìrcolo,ring
336,Kreis::N,cìrcolo,sirkel
337,Kreuz::N,croce,kors
338,Kreuz::N,croce,kryss
339,Linie::N,lìnea,linje
340,Strich::N,tratto,strek
341,Abstand::N,distanza,avstand
342,Entfernung::N,distanza,avstand
343,Entfernung::N,lontananza,avstand
344,Gegend::N,regione,strøk
345,Platz::N,posto,plass
346,Platz::N,spazio,plass
347,Ort::N,luogo,sted
348,Ort::N,località,sted
349,Seite::N,lato,side
350,Seite::N,parte,side
351,Mitte::N,mezzo,midte
352,Mitte::N,centro,midte
353,Gegenstand::N,oggetto,gjenstand
354,Sache::N,cosa,sak
355,Rand::N,orlo,rand
356,Rand::N,bordo,rand
357,Kante::N,spìgolo,kant
358,Ecke::N,canto,hjørne
359,Spitze::N,punta,spiss
360,Ende::N,capo,ende
361,Ende::N,estremità,ende
362,Loch::N,buco,hull
363,Winkel::N,àngolo,vinkel
364,Muster::N,disegno,mønster
365,Größe::N,taglia,størrelse
366,Größe::N,grandezza,størrelse
367,Länge::N,lunghezza,lengde
368,Höhe::N,altezza,høyde
369,Gewicht::N,peso,vekt
370,Menge::N,quantità,mengde
371,Haufen::N,cùmulo,haug
372,Haufen::N,cùmulo,bunke
373,Haufen::N,mucchio,haug
374,Haufen::N,mucchio,bunke
375,Reihe::N,fila,rekke
376,Boot::N,barca,båt
377,Boot::N,battello,båt
378,Ruder::N,remo,åre
379,Schlitten::N,slitta,slede
380,Schlitten::N,slitta,kjelke
381,Ski::N,sci,ski
382,Lagerfeuer::N,falò,leirbål
383,Lagerfeuer::N,fuoco di bivacco,leirbål
384,Last::N,càrico,bør
385,Last::N,càrico,last
386,Gang::N,andata,gang
387,Schritt::N,passo,steg
388,Schritt::N,passo,skritt
389,Norden::N,nord,nord
390,Norden::N,settentrione,nord
391,Süden::N,sud,sør
392,Süden::N,meridione,sør
393,Westen::N,òvest,vest
394,Westen::N,occidente,vest
395,Osten::N,est,øst
396,Osten::N,oriente,øst
397,Holz::N,legno,tre
398,Brett::N,asse,fjøl
399,Brett::N,asse,brett
400,Brett::N,tàvola,fjøl
401,Brett::N,tàvola,brett
402,Platte::N,lastra,plate
403,Platte::N,piastra,plate
404,Stütze::N,supporto,støtte
405,Stange::N,sbarra,stang
406,Stange::N,pèrtica,stang
407,Stock::N,verga,pinne
408,Stock::N,bastone,pinne
409,Stock::N,bacchetta,pinne
410,Stab::N,asta,stav
411,Stab::N,asta,kjepp
412,Rohr::N,tubo,rør
413,Haus::N,casa,hus
414,Heim::N,casa,hjem
415,Ofen::N,stufa,ovn
416,Fußboden::N,pavimento,gulv
417,Tisch::N,tàvolo,bord
418,Stuhl::N,sedia,stol
419,Wiege::N,culla,vogge
420,Bett::N,letto,seng
421,Regal::N,scaffale,reol
422,Regal::N,scaffale,hylle
423,Kiste::N,cassa,kasse
424,Fenster::N,finestra,vindu
425,Tür::N,porta,dør
426,Tor::N,portone,port
427,Zaun::N,recinto,gjerde
428,Dach::N,tetto,tak
429,Leiter::N,scala,stige
430,Leiter::N,scala a pioli,stige
431,Besen::N,scopa,kost
432,Spaten::N,vanga,spade
433,Schaufel::N,pala,skuffe
434,Gabel::N,forchetta,gaffel
435,Löffel::N,cucchiaio,skje
436,Messer::N,coltello,kniv
437,Nagel::N,chiodo,spiker
438,Netz::N,rete,nett
439,Haken::N,uncino,krok
440,Griff::N,mànico,tak
441,Griff::N,mànico,håndtak
442,Griff::N,maniglia,tak
443,Griff::N,maniglia,håndtak
444,Schloss::N,serratura,lås
445,Bild::N,quadro,bilde
446,Bild::N,immàgine,bilde
447,Figur::N,figura,figur
448,Puppe::N,bàmbola,dukke
449,Beutel::N,borsa,pose
450,Beutel::N,sacchetto,pose
451,Bündel::N,fascio,bylt
452,Bündel::N,fagotto,bylt
453,Tasche::N,borsa,veske
454,Eimer::N,secchio,bøtte
455,Deckel::N,coperchio,lokk
456,Geschirr::N,stoviglie,kjøkkentøy
457,Sack::N,sacco,sekk
458,Tasse::N,tazza,kopp
459,Topf::N,pèntola,gryte
460,Kessel::N,paiolo,kjele
461,Kessel::N,calderone,kjele
462,Essen::N,pasto,mål
463,Essen::N,mangiare,mål
464,Nahrung::N,cibo,mat
465,Nahrung::N,cibo,næring
466,Nahrung::N,alimento,mat
467,Nahrung::N,alimento,næring
468,Speise::N,piatto,matrett
469,Fleisch::N,carne,kjøtt
470,Getreide::N,cereali,korn
471,Brei::N,purè,grøt
472,Brei::N,pappa,grøt
473,Brot::N,pane,brød
474,Scheibe::N,fetta,skive
475,Scheibe::N,trancia,skive
476,Fett::N,grasso,fett
477,Butter::N,burro,smør
478,Öl::N,olio,olje
479,Salz::N,sale,salt
480,Suppe::N,zuppa,suppe
481,Suppe::N,minestra,suppe
482,Honig::N,miele,honning
483,Milch::N,latte,melk
484,Tee::N,tè,te
485,Leder::N,pelle,lær
486,Leder::N,pelle,skinn
487,Wolle::N,lana,ull
488,Stoff::N,panno,tøy
489,Stoff::N,panno,stoff
490,Stoff::N,tessuto,tøy
491,Stoff::N,tessuto,stoff
492,Nadel::N,ago,nål
493,Faden::N,filo,tråd
494,Knopf::N,bottone,knapp
495,Knoten::N,nodo,knute
496,Farbe::N,pittura,farge
497,Kleidung::N,vestiti,påkledning
498,Kleidung::N,vestiario,påkledning
499,Hemd::N,camicia,skjorte
500,Kragen::N,bàvero,krage
501,Kragen::N,colletto,krage
502,Ärmel::N,mànica,erme
503,Hose::N,calzoni,bukse
504,Gürtel::N,cintura,belte
505,Mütze::N,berretto,lue
506,Schuh::N,scarpa,sko
507,Stiefel::N,stivale,støvel
508,Ring::N,anello,ring
509,Band::N,nastro,band
510,Band::N,fettuccia,band
511,Kamm::N,pèttine,kam
512,Spiegel::N,specchio,speil
513,Riemen::N,cinghia,rem
514,Schnur::N,corda,snor
515,Leine::N,guinzaglio,line
516,Decke::N,coperta,teppe
517,Kissen::N,cuscino,pute
518,Kissen::N,guanciale,pute
519,Tuch::N,fazzoletto,tøy
520,Handtuch::N,asciugamano,håndkle
521,Kraft::N,forza,kraft
522,Stärke::N,forza,styrke
523,Stärke::N,vigore,styrke
524,Stärke::N,fortezza,styrke
525,Gesundheit::N,salute,helse
526,Gesundheit::N,salute,sunnhet
527,Krankheit::N,malattìa,syke
528,Krankheit::N,malattìa,sykdom
529,Schmerz::N,dolore,smerte
530,Wunde::N,piaga,sår
531,Wunde::N,ferita,sår
532,Fieber::N,febbre,feber
533,Arznei::N,fàrmaco,medisin
534,Arznei::N,fàrmaco,legemiddel
535,Arznei::N,medicina,medisin
536,Arznei::N,medicina,legemiddel
537,Brücke::N,ponte,bro
538,Brunnen::N,pozzo,brønn
539,Weide::N,pàscolo,beite
540,Pfad::N,sentiero,sti
541,Weg::N,via,vei
542,Weg::N,cammino,vei
543,Straße::N,strada,gate
544,Dorf::N,paese,landsby
545,Dorf::N,villaggio,landsby
546,Stadt::N,città,by
547,Brief::N,lèttera,brev
548,Buch::N,libro,bok
549,Buchstabe::N,lèttera,bokstav
550,Zeitung::N,giornale,avis
551,Leben::N,vita,liv
552,Tod::N,morte,død
553,Grab::N,tomba,grav
554,Grab::N,sepolcro,grav
555,Kirche::N,chiesa,kirke
556,Sünde::N,peccato,synd
557,Gott::N,dio,gud
558,Arbeiter::N,operaio,arbeider
559,Arbeiter::N,lavoratore,arbeider
560,Chef::N,capo,sjef
561,Chef::N,padrone,sjef
562,Meister::N,mastro,mester
563,Meister::N,maestro,mester
564,Arzt::N,mèdico,lege
565,Arzt::N,dottore,lege
566,Lehrer::N,professore,lærer
567,Geld::N,soldi,penger
568,Geld::N,denaro,penger
569,Geschäft::N,affare,forretning
570,Geschäft::N,negozio,forretning
571,Laden::N,negozio,butikk
572,Preis::N,prezzo,pris
573,Ware::N,merce,vare
574,Nutzen::N,ùtile,nytte
575,Nutzen::N,profitto,nytte
576,Reichtum::N,ricchezza,rikdom
577,Welt::N,mondo,verden
578,Land::N,paese,land
579,Staat::N,Stato,stat
580,König::N,re,konge
581,Macht::N,potere,makt
582,Grenze::N,confine,grense
583,Grenze::N,frontiera,grense
584,Krieg::N,guerra,krig
585,Feind::N,nemico,fiende
586,Gewalt::N,violenza,vold
587,Kampf::N,lotta,kamp
588,Bogen[Waffe]::N,arco,bue
589,Pfeil::N,freccia,pil
590,Gewehr::N,fucile,gevær
591,Fehler::N,errore,feil
592,Fehler::N,sbaglio,feil
593,Lüge::N,bugìa,løgn
594,Lüge::N,menzogna,løgn
595,Schaden::N,danno,skade
596,Unglück::N,sfortuna,uhell
597,Schuld::N,colpa,skyld
598,Alter::N,età,alder
599,Schluss::N,fine,slutt
600,Zeit::N,tempo,tid
601,Tag::N,giorno,dag
602,Tag::N,giornata,dag
603,Morgen::N,mattina,morgen
604,Mittag::N,mezzogiorno,middag
605,Abend::N,sera,aften
606,Abend::N,serata,aften
607,Nacht::N,notte,natt
608,Woche::N,settimana,uke
609,Monat::N,mese,måned
610,Jahr::N,anno,år
611,Frühling::N,primavera,vår
612,Sommer::N,estate,sommer
613,Herbst::N,autunno,høst
614,Winter::N,inverno,vinter
615,Januar::N,gennaio,januar
616,Februar::N,febbraio,februar
617,März::N,marzo,mars
618,April::N,aprile,april
619,Mai::N,maggio,mai
620,Juni::N,giugno,juni
621,Juli::N,luglio,juli
622,August::N,agosto,august
623,September::N,settembre,september
624,Oktober::N,ottobre,oktober
625,November::N,novembre,november
626,Dezember::N,dicembre,desember
627,Montag::N,lunedì,mandag
628,Dienstag::N,martedì,tirsdag
629,Mittwoch::N,mercoledì,onsdag
630,Donnerstag::N,giovedì,torsdag
631,Freitag::N,venerdì,fredag
632,Samstag::N,sàbato,lørdag
633,Sonntag::N,domenica,søndag
634,groß::A,grande,stor
635,klein::A,pìccolo,liten
636,lang::A,lungo,lang
637,kurz::A,corto,kort
638,breit::A,largo,bred
639,schmal::A,stretto,smal
640,dicht::A,denso,tett
641,dick[Gegenstand]::A,spesso,tykk
642,dünn::A,sottile,tynn
643,fein::A,fine,fin
644,fein::A,delicato,fin
645,fest::A,sodo,fast
646,fest::A,fisso,fast
647,flach::A,piano,flat
648,flach::A,piatto,flat
649,glatt::A,liscio,glatt
650,hart::A,duro,hard
651,weich::A,molle,myk
652,weich::A,molle,bløt
653,rund::A,rotondo,rund
654,spitz::A,aguzzo,spiss
655,spitz::A,appuntito,spiss
656,scharf::A,affilato,kvass
657,scharf::A,tagliente,kvass
658,stumpf::A,smussato,stubb
659,schwer::A,pesante,tung
660,schön::A,bello,pen
661,schön::A,bello,vakker
662,heiß::A,caldo,het
663,heiß::A,bollente,het
664,warm::A,caldo,varm
665,kalt::A,freddo,kald
666,kühl::A,fresco,kjølig
667,frisch::A,fresco,fersk
668,feucht::A,ùmido,fuktig
669,nass::A,bagnato,våt
670,trocken::A,secco,tørr
671,voll::A,pieno,full
672,leer::A,vuoto,tom
673,offen::A,aperto,åpen
674,geschlossen::A,chiuso,lukket
675,sauber::A,netto,ren
676,sauber::A,pulito,ren
677,schmutzig::A,sporco,skitten
678,schmutzig::A,sùdicio,skitten
679,roh::A,crudo,rå
680,reif::A,maturo,moden
681,lecker::A,ghiotto,lekker
682,lecker::A,squisito,lekker
683,süß::A,dolce,søt
684,bitter::A,amaro,besk
685,bitter::A,amaro,bitter
686,sauer::A,aspro,sur
687,sauer::A,acerbo,sur
688,hell::A,chiaro,lys
689,dunkel::A,buio,mørk
690,dunkel::A,oscuro,mørk
691,schwarz::A,nero,svart
692,weiß::A,bianco,hvit
693,rot::A,rosso,rød
694,gelb::A,giallo,gul
695,blau::A,blu,blå
696,blau::A,azzurro,blå
697,grün::A,verde,grønn
698,grau::A,grigio,grå
699,bunt::A,variopinto,broket
700,billig::A,a buon prezzo,billig
701,billig::A,a buon mercato,billig
702,teuer::A,caro,dyr
703,wertvoll::A,prezioso,verdifull
704,blind::A,cieco,blind
705,taub::A,sordo,døv
706,kräftig::A,forte,kraftig
707,kräftig::A,robusto,kraftig
708,stark::A,forte,sterk
709,stark::A,vigoroso,sterk
710,schwach::A,dèbole,svak
711,fett::A,grasso,fet
712,schlank::A,snello,slank
713,schlank::A,slanciato,slank
714,hübsch::A,bello,pen
715,hübsch::A,carino,pen
716,böse::A,cattivo,slem
717,dumm::A,stùpido,dum
718,faul::A,pigro,lat
719,faul::A,pigro,doven
720,fleißig::A,diligente,flittig
721,geizig::A,avaro,gjerrig
722,klug::A,intelligente,klok
723,geschickt::A,àbile,hendig
724,geschickt::A,àbile,skikket
725,lieb::A,caro,kjær
726,lieb::A,caro,snill
727,lustig::A,gaio,morsom
728,lustig::A,allegro,morsom
729,sanft::A,dolce,blid
730,hungrig::A,affamato,sulten
731,krank::A,malato,syk
732,krank::A,infermo,syk
733,nackt::A,nudo,naken
734,traurig::A,triste,sørgmodig
735,lebendig::A,vivo,levende
736,gut::A,buono,god
737,schlecht::A,cattivo,dårlig
738,richtig::A,giusto,riktig
739,schlimm::A,grave,slem
740,wahr::A,vero,sann
741,alt::A,vecchio,gammel
742,neu::A,nuovo,ny
743,ehemalig::A,vecchio,forhenværende
744,ehemalig::A,d'una_volta,forhenværende
745,alt[Lebewesen]::A,anziano,gammel
746,jung::A,giovane,ung
747,arm::A,pòvero,fattig
748,reich::A,ricco,rik
749,bekannt::A,noto,kjent
750,bekannt::A,conosciuto,kjent
751,berühmt::A,famoso,berømt
752,berühmt::A,cèlebre,berømt
753,fremd::A,estràneo,fremmed
754,fremd::A,straniero,fremmed
755,verschieden::A,diverso,forskjellig
756,verschieden::A,differente,forskjellig
757,nah::A,vicino,nær
758,nah::A,propinquo,nær
759,fern::A,lontano,fjern
760,linker::A,sinistro,venstre
761,rechter::A,destro,høyre
762,anderer::A,altro,annen
763,erster::A,primo,første
764,zweiter::A,secondo,annen
765,dritter::A,terzo,tredje
766,letzter::A,ùltimo,sist
767,allein::ADV,solo,alene
768,allein::ADV,da solo,alene
769,auf einmal::ADV,insieme,med ett
770,zusammen::ADV,insieme,sammen
771,lange::ADV,a lungo,lenge
772,plötzlich::ADV,all'improvviso,plutselig
773,sofort::ADV,sùbito,straks
774,sofort::ADV,all'istante,straks
775,später::ADV,più tardi,senere
776,jetzt::ADV,ora,nå
777,jetzt::ADV,adesso,nå
778,heute::ADV,oggi,i dag
779,morgen::ADV,domani,i morgen
780,bald::ADV,presto,snart
781,bald::ADV,tra poco,snart
782,dann::ADV,allora,så
783,gestern::ADV,ieri,i går
784,einst::ADV,prima,engang
785,einst::ADV,un tempo,engang
786,damals::ADV,allora,den gang
787,danach::ADV,poi,deretter
788,danach::ADV,dopo,deretter
789,vorher::ADV,prima,før
790,vorher::ADV,prima,i forveien
791,zuerst::ADV,prima,først
792,zuerst::ADV,dapprima,først
793,einmal::ADV,una volta,en gang
794,manchmal::ADV,talvolta,somme tider
795,manchmal::ADV,qualche volta,somme tider
796,oft::ADV,spesso,ofte
797,immer::ADV,sempre,alltid
798,niemals::ADV,non mai,aldri
799,hier::ADV,qua,her
800,hierhin::ADV,qua,hit
801,von hier::ADV,ne,herfra
802,von hier::ADV,da qui,herfra
803,dort::ADV,lì,der
804,dorthin::ADV,là,dit
805,geradeaus::ADV,diritto,rett fram
806,vorwärts::ADV,avanti,fram
807,vorwärts::ADV,avanti,framover
808,rückwärts::ADV,all'indietro,baklengs
809,zurück::ADV,di indietro,tilbake
810,unten::ADV,giù,nede
811,unten::ADV,sotto,nede
812,hinab::ADV,giù,ned
813,hinab::ADV,giù,nedover
814,hinab::ADV,in giù,ned
815,hinab::ADV,in giù,nedover
816,oben::ADV,su,oppe
817,oben::ADV,su,ovenpå
818,oben::ADV,sopra,oppe
819,oben::ADV,sopra,ovenpå
820,hinauf::ADV,in sù,opp
821,hinauf::ADV,in sù,oppover
822,hinauf::ADV,in alto,opp
823,hinauf::ADV,in alto,oppover
824,überall::ADV,dappertutto,overalt
825,nicht::ADV,non,ikke
826,ein wenig::ADV,un po',litt
827,ein wenig::ADV,un poco,litt
828,kaum::ADV,a appena,neppe
829,sehr::ADV,molto,svært
830,so::ADV,così,så
831,so::ADV,tanto,så
832,noch::ADV,ancora,enda
833,nur::ADV,solo,bare
834,nur::ADV,soltanto,bare
835,schon::ADV,già,alt
836,schon::ADV,già,allerede
837,wieder::ADV,di nuovo,igjen
838,vergebens::ADV,invano,forgjeves
839,vor::PRP,davanti a,foran
840,vor::PRP,davanti a,utenfor
841,hinter::PRP,dietro,bak
842,hinter::PRP,dietro,bakom
843,unter::PRP,sotto,under
844,durch::PRP,per,gjennom
845,durch::PRP,per,igjennom
846,durch::PRP,attraverso,gjennom
847,durch::PRP,attraverso,igjennom
848,neben::PRP,a accanto a,ved siden av
849,zwischen::PRP,fra,mellom
850,wegen::PRP,a causa di,på grunn av
