,Concept_ID,fa,kv
340,Rand::N,کنار,дор
341,Rand::N,حاشیه,дор
342,Kante::N,لبه,ордлы
343,Ecke::N,گوشه,пельӧс
344,Spitze::N,سر,йыв
345,Spitze::N,نوک,йыв
346,Ende::N,ته,йыв
347,Ende::N,آخر,йыв
348,Loch::N,سوراخ,осьта
349,Winkel::N,کنج,пельӧс
350,Muster::N,نقش,сер
351,Größe::N,قد,ыжда
352,Größe::N,بزرگی,ыжда
353,Länge::N,طول,кузя
354,Höhe::N,بلندی,сувда
355,Höhe::N,بلندی,вылына
356,Gewicht::N,وزن,сьӧкта
357,Menge::N,مقدار,
358,Menge::N,اندازه,
359,Haufen::N,توده,куча
360,Reihe::N,ردیف,лёдз
361,Boot::N,قایق,пыж
362,Ruder::N,پارو,пелыс
363,Schlitten::N,سورتمه,додь
364,Ski::N,اسکی,лямпа
365,Lagerfeuer::N,آتش,бипур
366,Last::N,بار,тягота
367,Last::N,سنگینی,тягота
368,Gang::N,راه رفتن,мунӧм
369,Schritt::N,قدم,вожмӧв
370,Norden::N,شمال,ой
371,Süden::N,جنوب,лун
372,Westen::N,غرب,рытвыв
373,Osten::N,شرق,асыв
374,Holz::N,چوب,пу
375,Brett::N,تخته,пӧв
376,Platte::N,صفحه,плита
377,Stütze::N,تکیه,пика
378,Stange::N,میله,зор
379,Stange::N,میله,потш
380,Stock::N,چوب,бедь
381,Stab::N,عصا,шест
382,Rohr::N,لوله,труба
383,Haus::N,منزل,керку
384,Heim::N,خانه,керку
385,Heim::N,کاشانه,керку
386,Ofen::N,بخاری,пӧжавны
387,Fußboden::N,کف اتاق,джодж
388,Tisch::N,میز,пызан
389,Stuhl::N,صندلی,стул
390,Wiege::N,گهواره,зыбка
391,Bett::N,تختخواب,кровать
392,Regal::N,قفسه,джадж
393,Kiste::N,صندوق,ящик
394,Fenster::N,پنجره,ӧшын
395,Tür::N,در,ыбӧс
396,Tür::N,درب,ыбӧс
397,Tor::N,دروازه,ворота
398,Zaun::N,حصار,забор
399,Dach::N,بام,крыша
400,Leiter::N,نردبان,лиснич
401,Besen::N,جارو,рос
402,Spaten::N,بیل,зыр
403,Schaufel::N,بیل,зыр
404,Schaufel::N,پارو,зыр
405,Gabel::N,چنگال,вила
406,Löffel::N,قاشق,пань
407,Messer::N,کارد,пурт
408,Nagel::N,میخ,кӧрттув
409,Netz::N,تور,кыйӧт
410,Netz::N,شبکه,кыйӧт
411,Haken::N,قلاب,ем
412,Griff::N,دسته,пу
413,Schloss::N,قفل,замок
414,Bild::N,عکس,картина
415,Bild::N,تصویر,картина
416,Figur::N,تندیس,мыгӧр
417,Puppe::N,عروسک,акань
418,Beutel::N,کیسه,мешӧк
419,Bündel::N,بسته,нин
420,Tasche::N,کیف,сумка
421,Eimer::N,سطل,ведра
422,Deckel::N,در,вевт
423,Geschirr::N,ظرف,доз
424,Geschirr::N,ظرف,бекӧрпань
425,Sack::N,گونی,мешӧк
426,Tasse::N,فنجان,бекӧр
427,Topf::N,دیگ,кастрюля
428,Topf::N,قابلمه,кастрюля
429,Kessel::N,دیگ,пӧрт
430,Essen::N,خوراک,сёйӧм
431,Nahrung::N,غذا,вердан
432,Speise::N,خوراک,сёян
433,Fleisch::N,گوشت,яй
434,Getreide::N,غله,сю
435,Brei::N,فرنی,каша
436,Brei::N,حریره,каша
437,Brot::N,نان,нянь
438,Scheibe::N,قاچ,шӧрӧм
439,Scheibe::N,لزگه,шӧрӧм
440,Fett::N,چربی,гос
441,Butter::N,کره,ви
442,Öl::N,روغن,ви
443,Salz::N,نمک,сов
444,Suppe::N,آش,шыд
445,Suppe::N,سوپ,шыд
446,Honig::N,عسل,ма
447,Milch::N,شیر,йӧв
448,Tee::N,چای,чай
449,Leder::N,چرم,кучик
450,Wolle::N,پشم,гӧн
451,Stoff::N,پارچه,дӧра
452,Nadel::N,سوزن,ем
453,Faden::N,نخ,сунис
454,Knopf::N,دکمه,кизь
455,Knoten::N,گره,узӧв
456,Knoten::N,گره,гӧрӧд
457,Farbe::N,رنگ,краска
458,Kleidung::N,لباس,паськӧм
459,Kleidung::N,پوشاک,паськӧм
460,Hemd::N,پیراهن,йӧрнӧс
461,Kragen::N,یقه,воротник
462,Ärmel::N,آستین,сос
463,Hose::N,شلوار,вешьян
464,Gürtel::N,کمر‌بند,йи
465,Mütze::N,کلاه,шапка
466,Schuh::N,کفش,ботинки
467,Stiefel::N,چکمه,сапог
468,Ring::N,حلقه,чунькытш
469,Ring::N,انگشتر,чунькытш
470,Band::N,نوار,ленточка
471,Band::N,روبان,ленточка
472,Kamm::N,شانه,сынан
473,Spiegel::N,آینه,зеркало
474,Riemen::N,تسمه,ремень
475,Schnur::N,ریسمان,гез
476,Leine::N,قلاده,повод
477,Decke::N,پتو,одеяло
478,Kissen::N,بالش,подушка
479,Tuch::N,شال,чышьян
480,Handtuch::N,حوله,чышкӧт
481,Kraft::N,نیرو,прак
482,Stärke::N,زور,вын
483,Gesundheit::N,سلامتی,здоровье
484,Gesundheit::N,تندرستی,здоровье
485,Krankheit::N,بیماری,шог
486,Schmerz::N,درد,зубыт
487,Wunde::N,زخم,рана
488,Fieber::N,تب,лёк тресся
489,Fieber::N,تب,кынтан шогӧт
490,Arznei::N,دارو,лекарство
491,Brücke::N,پل,пос
492,Brunnen::N,چاه,колодец 
493,Weide::N,چراگاه,пода йирсян
494,Pfad::N,راه,туй
495,Weg::N,راه,туй
496,Weg::N,طریق,туй
497,Straße::N,راه,туй
498,Straße::N,جاده,туй
499,Dorf::N,ده,деревня
500,Dorf::N,روستا,деревня
501,Stadt::N,شهر,город
502,Brief::N,نامه,гижӧт
503,Buch::N,کتاب,книга
504,Buchstabe::N,حرف,буква
505,Zeitung::N,روزنامه,газета
506,Leben::N,عمر,олан
507,Leben::N,زندگی,олан
508,Tod::N,مرگ,кулӧм
509,Grab::N,گور,гу
510,Grab::N,مزار,гу
511,Kirche::N,کلیسا,вичку
512,Sünde::N,بزه,грек
513,Sünde::N,گناه,грек
514,Gott::N,خدا,ен
515,Arbeiter::N,کارگر,уджалiсь
516,Chef::N,رئیس,начальник
517,Meister::N,استاد,мастер
518,Arzt::N,پزشک,врач
519,Lehrer::N,معلم,велӧтісь
520,Lehrer::N,آموزگار,велӧтісь
521,Geld::N,پول,деньга
522,Geschäft::N,کار,удж
523,Geschäft::N,بیزنس,удж
524,Laden::N,دکان,магазин
525,Laden::N,مغازه,магазин
526,Preis::N,بها,дон
527,Preis::N,قیمت,дон
528,Ware::N,جنس,товар
529,Ware::N,کالا,товар
530,Nutzen::N,مزیت,путь
531,Nutzen::N,امتیاز,путь
532,Reichtum::N,مال,богатство
533,Reichtum::N,ثروت,богатство
534,Welt::N,دنیا,му
535,Land::N,کشور,страна
536,Land::N,مملکت,страна
537,Staat::N,دولت,государство
538,König::N,شاه,кан
539,König::N,پادشاه,кан
