,Concept_ID,ro,no
84,Rauch::N,fum,røyk
85,Funke::N,scânteie,gnist
86,Feuer::N,foc,ild
87,Licht::N,lumină,lys
88,Schatten::N,umbră,skygge
89,Wetter::N,timp,vær
90,Wetter::N,vreme,vær
91,Nebel::N,ceață,tåke
92,Nebel::N,negură,tåke
93,Wolke::N,nor,sky
94,Regen::N,ploaie,regn
95,Schnee::N,zăpadă,snø
96,Eis::N,gheață,is
97,Frost::N,ger,frost
98,Kälte::N,frig,kulde
99,Hitze::N,arșiță,hete
100,Hitze::N,căldură,hete
101,Raureif::N,chiciură,rimfrost
102,Regenbogen::N,curcubeu,regnbue
103,Donner::N,tunet,torden
104,Strömung::N,curent,strømning
105,Tropfen::N,picătură,dråpe
106,Schaum::N,spumă,skum
107,Schmutz::N,murdărie,søl
108,Schmutz::N,murdărie,skitt
109,See::N,lac,sjø
110,Sumpf::N,mlaștină,sump
111,Sumpf::N,mlaștină,myrlende
112,Moor::N,bărăgan,myr
113,Moor::N,bărăgan,myrhei
114,Wiese::N,fânaț,eng
115,Wiese::N,livadă,eng
116,Wald::N,codru,skog
117,Wald::N,pădure,skog
118,Hügel::N,deal,haug
119,Hügel::N,deal,bakke
120,Hügel::N,movilă,haug
121,Hügel::N,movilă,bakke
122,Anhöhe::N,deal,haug
123,Anhöhe::N,deal,bakke
124,Anhöhe::N,ridicătură,haug
125,Anhöhe::N,ridicătură,bakke
126,Berg::N,munte,berg
127,Berg::N,munte,fjell
128,Gipfel::N,pisc,topp
129,Höhle::N,peșteră,hule
130,Abhang::N,pantă,li
131,Abhang::N,pantă,skråning
132,Abhang::N,versant,li
133,Abhang::N,versant,skråning
134,Quelle::N,izvor,kilde
135,Bach::N,gârlă,bekk
136,Fluss::N,râu,elv
137,Fluss::N,fluviu,elv
138,Ufer::N,mal,bredd
139,Ufer::N,țărm,bredd
140,Küste::N,coastă,kyst
141,Festland::N,uscat,fastland
142,Meer::N,mare,hav
143,Bucht::N,golf,bukt
144,Insel::N,insulă,øy
145,Blume::N,floare,blomst
146,Gras::N,iarbă,gress
147,Wurzel::N,rădăcină,rot
148,Baum::N,copac,tre
149,Baum::N,arbore,tre
150,Stamm::N,tulpină,stamme
151,Rinde::N,scoarță,bark
152,Ast::N,cracă,gren
153,Ast::N,creangă,gren
154,Zweig::N,ramură,kvist
155,Zweig::N,creangă,kvist
156,Blatt::N,frunză,blad
157,Birke::N,mesteacăn,bjørk
158,Kiefer[Baum]::N,pin,furu
159,Weide[Baum]::N,salcie,selje
160,Weide[Baum]::N,salcie,piletre
161,Weide[Baum]::N,răchită,selje
162,Weide[Baum]::N,răchită,piletre
163,Tanne::N,brad,gran
164,Horn::N,corn,horn
165,Feder::N,pană,fjær
166,Fell::N,piele,skinn
167,Flügel::N,aripă,vinge
168,Klaue::N,gheară,klauv
169,Kralle::N,labă,klo
170,Kralle::N,gheară,klo
171,Schwanz::N,coadă,hale
172,Ei::N,ou,egg
173,Nest::N,cuib,rede
174,Bau::N,bârlog,hi
175,Bau::N,vizuină,hi
176,Tier::N,animal,dyr
177,Herde::N,turmă,flokk
178,Herde::N,cireadă,flokk
179,Kuh::N,vacă,ku
180,Bulle::N,taur,tyr
181,Pferd::N,cal,hest
182,Schaf::N,oaie,får
183,Schwein::N,porc,gris
184,Hund::N,câine,hund
185,Katze::N,pisică,katt
186,Bär::N,urs,bjørn
187,Eichhörnchen::N,veveriță,ekorn
188,Elch::N,elan,elg
189,Fuchs::N,vulpe,rev
190,Hase::N,iepure,hare
191,Maus::N,șoarece,mus
192,Wolf::N,lup,ulv
193,Wolf::N,lup,varg
194,Vogel::N,pasăre,fugl
195,Schwarm::N,cârd,sverm
196,Huhn::N,găină,høne
197,Hahn::N,cocoș,hane
198,Gans::N,gâscă,gås
199,Adler::N,vultur,ørn
200,Ente::N,rață,and
201,Eule::N,bufniță,ugle
202,Kranich::N,cocor,trane
203,Krähe::N,cioară,kråke
204,Kuckuck::N,cuc,gjøk
205,Schwan::N,lebădă,svane
206,Fisch::N,pește,fisk
207,Barsch::N,biban,abbor
208,Hecht::N,știucă,gjedde
209,Schlange[Tier]::N,șarpe,orm
210,Schlange[Tier]::N,șarpe,slange
211,Wurm::N,vierme,orm
212,Wurm::N,vierme,mark
213,Spinne::N,păianjen,edderkopp
214,Ameise::N,furnică,maur
215,Laus::N,păduche,lus
216,Mücke::N,țânțar,mygg
217,Fliege::N,muscă,flue
218,Schmetterling::N,fluture,sommerfugl
219,Beere::N,boabă,bær
220,Apfel::N,măr,eple
221,Pilz::N,burete,sopp
222,Pilz::N,ciupercă,sopp
223,Zwiebel::N,ceapă,løk
224,Saat::N,semănătură,sæd
225,Korn::N,grâu,korn
226,Heu::N,fân,høy
227,Schale::N,coajă,skall
228,Grube::N,groapă,grop
229,Falle::N,cursă,felle
230,Falle::N,capcană,felle
231,Schlinge::N,laț,snare
232,Spur::N,dâră,spor
233,Asche::N,cenușă,aske
234,Dreck::N,noroi,møkk
235,Dreck::N,noroi,skitt
236,Dreck::N,murdărie,møkk
237,Dreck::N,murdărie,skitt
238,Eisen::N,fier,jern
239,Gold::N,aur,gull
240,Silber::N,argint,sølv
241,Kohle::N,cărbune,kol
242,Kohle::N,cărbune,kull
243,Glas::N,sticlă,glass
244,Lehm::N,lut,leire
245,Lehm::N,humă,leire
246,Sand::N,nisip,sand
247,Mensch::N,om,menneske
248,Mensch::N,persoană,menneske
249,Mann::N,om,mann
250,Mann::N,bărbat,mann
251,Frau::N,femeie,kvinne
252,Kind::N,copil,barn
253,Junge::N,băiat,gutt
254,Junge::N,flăcău,gutt
255,Mädchen::N,fată,pike
256,Mädchen::N,fată,jente
257,Familie::N,familie,familie
258,Großvater::N,bunic,bestefar
259,Großvater::N,tată mare,bestefar
260,Großmutter::N,bunică,bestemor
261,Großmutter::N,mamă mare,bestemor
262,Eltern::N,părinți,foreldre
263,Vater::N,tată,far
264,Vater::N,părinte,far
265,Mutter::N,mamă,mor
266,Sohn::N,fiu,sønn
267,Sohn::N,fecior,sønn
268,Tochter::N,fiică,datter
269,Bruder::N,frate,bror
270,Schwester::N,soră,søster
271,Onkel::N,unchi,onkel
272,Tante::N,mătușă,tante
273,Ehemann::N,soț,ektemann
274,Ehemann::N,bărbat,ektemann
275,Ehefrau::N,soție,hustru
276,Freude::N,bucurie,glede
277,Gelächter::N,râset,latter
278,Glück::N,fericire,lykke
279,Kummer::N,mâhnire,sorg
280,Wunsch::N,dorință,ønske
281,Wunsch::N,deziderat,ønske
282,Lust::N,poftă,lyst
283,Lust::N,înclinare,lyst
284,Geist::N,duh,ånd
285,Geist::N,minte,ånd
286,Geist::N,suflet,ånd
287,Gedanke::N,gând,tanke
288,Gedanke::N,cuget,tanke
289,Gedächtnis::N,memorie,minne
290,Gedächtnis::N,memorie,hukommelse
291,Verstand::N,minte,forstand
292,Verstand::N,intelect,forstand
293,Sinn::N,sens,mening
294,Sinn::N,sens,betydning
295,Sinn::N,înțeles,mening
296,Sinn::N,înțeles,betydning
297,Grund::N,cauză,grunn
298,Grund::N,pricină,grunn
299,Wahrheit::N,adevăr,sannhet
300,Gespräch::N,convorbire,samtale
301,Gespräch::N,conversație,samtale
302,Märchen::N,basm,eventyr
303,Märchen::N,poveste,eventyr
304,Erzählung::N,poveste,fortelling
305,Nachricht::N,veste,melding
306,Neuigkeit::N,noutate,nyhet
307,Neuigkeit::N,actualitate,nyhet
308,Name::N,nume,navn
309,Rätsel::N,ghicitoare,gåte
310,Rede::N,discurs,tale
311,Sprache::N,limbă,språk
312,Sprache::N,limbaj,språk
313,Stimme::N,glas,stemme
314,Wort::N,cuvânt,ord
315,Zeichen::N,semn,tegn
316,Zeichen::N,semnal,tegn
317,Ruf::N,chemare,rop
318,Lärm::N,zgomot,bråk
319,Lärm::N,tărăboi,bråk
320,Laut::N,sunet,lyd
321,Ton::N,ton,tone
322,Lied::N,cântec,vise
323,Ruhe::N,odihnă,ro
324,Ruhe::N,liniște,ro
325,Leute::N,lume,folk
326,Leute::N,oameni,folk
327,Volk::N,popor,folk
328,Volk::N,națiune,folk
329,Arbeit::N,lucru,arbeid
330,Gast::N,musafir,gjest
331,Geschenk::N,dar,gave
332,Geschenk::N,cadou,gave
333,Spiel::N,joc,lek
334,Spiel::N,joc,spill
335,Gesellschaft::N,societate,selskap
336,Hilfe::N,ajutor,hjelp
337,Freund::N,amic,venn
338,Freund::N,prieten,venn
339,Kamerad::N,tovarăș,kamerat
340,Angelegenheit::N,afacere,sak
341,Angelegenheit::N,afacere,anliggende
342,Anzahl::N,număr,antall
343,Anzahl::N,cantitate,antall
344,Art::N,fel,art
345,Art::N,fel,slag
346,Art::N,specie,art
347,Art::N,specie,slag
348,Stück::N,bucată,stykke
349,Teil::N,parte,del
350,Teil::N,porție,del
351,Hälfte::N,jumătate,halvdel
352,Kreis::N,cerc,ring
353,Kreis::N,cerc,sirkel
354,Kreuz::N,cruce,kors
355,Kreuz::N,cruce,kryss
356,Linie::N,linie,linje
357,Strich::N,linie,strek
358,Strich::N,trăsătură,strek
359,Abstand::N,distanță,avstand
360,Abstand::N,depărtare,avstand
361,Entfernung::N,distanță,avstand
362,Entfernung::N,depărtare,avstand
363,Gegend::N,regiune,strøk
364,Platz::N,loc,plass
365,Ort::N,loc,sted
366,Seite::N,latură,side
367,Mitte::N,centru,midte
368,Gegenstand::N,obiect,gjenstand
369,Sache::N,lucru,sak
370,Sache::N,chestie,sak
371,Rand::N,bordură,rand
372,Kante::N,muchie,kant
373,Kante::N,bordură,kant
374,Ecke::N,colț,hjørne
375,Spitze::N,vârf,spiss
376,Spitze::N,creștet,spiss
377,Ende::N,capăt,ende
378,Loch::N,gaură,hull
379,Winkel::N,colț,vinkel
380,Muster::N,desen,mønster
381,Größe::N,mărime,størrelse
382,Länge::N,lungime,lengde
383,Höhe::N,înălțime,høyde
384,Gewicht::N,greutate,vekt
385,Menge::N,cantitate,mengde
386,Haufen::N,grămadă,haug
387,Haufen::N,grămadă,bunke
388,Reihe::N,șir,rekke
389,Reihe::N,rând,rekke
390,Boot::N,barcă,båt
391,Boot::N,luntre,båt
392,Ruder::N,vâslă,åre
393,Ruder::N,lopată,åre
394,Schlitten::N,sanie,slede
395,Schlitten::N,sanie,kjelke
396,Ski::N,schi,ski
397,Lagerfeuer::N,foc de tabără,leirbål
398,Last::N,povară,bør
399,Last::N,povară,last
400,Last::N,sarcină,bør
401,Last::N,sarcină,last
402,Gang::N,mers,gang
403,Gang::N,umblet,gang
404,Schritt::N,pas,steg
405,Schritt::N,pas,skritt
406,Norden::N,nord,nord
407,Norden::N,miazănoapte,nord
408,Süden::N,sud,sør
409,Süden::N,miazăzi,sør
410,Westen::N,apus,vest
411,Osten::N,est,øst
412,Osten::N,răsărit,øst
413,Holz::N,lemn,tre
414,Brett::N,scândură,fjøl
415,Brett::N,scândură,brett
416,Platte::N,placă,plate
417,Stütze::N,proptea,støtte
418,Stange::N,bară,stang
419,Stange::N,prăjină,stang
420,Stock::N,băț,pinne
421,Stock::N,baston,pinne
422,Stab::N,baston,stav
423,Stab::N,baston,kjepp
424,Stab::N,prăjină,stav
425,Stab::N,prăjină,kjepp
426,Rohr::N,tub,rør
427,Rohr::N,țeavă,rør
428,Haus::N,casă,hus
429,Heim::N,casă,hjem
430,Heim::N,cămin,hjem
431,Ofen::N,sobă,ovn
432,Fußboden::N,podea,gulv
433,Fußboden::N,dușumea,gulv
434,Tisch::N,masă,bord
435,Stuhl::N,scaun,stol
436,Wiege::N,leagăn,vogge
437,Bett::N,pat,seng
438,Regal::N,rafturi,reol
439,Regal::N,rafturi,hylle
440,Kiste::N,ladă,kasse
441,Kiste::N,cutie,kasse
442,Fenster::N,fereastră,vindu
443,Tür::N,ușă,dør
444,Tor::N,poartă,port
445,Zaun::N,gard,gjerde
446,Dach::N,acoperiș,tak
447,Leiter::N,scară,stige
448,Besen::N,mătură,kost
449,Spaten::N,cazma,spade
450,Spaten::N,hârleț,spade
451,Schaufel::N,lopată,skuffe
452,Gabel::N,furculiță,gaffel
453,Löffel::N,lingură,skje
454,Messer::N,cuțit,kniv
455,Nagel::N,cui,spiker
456,Netz::N,plasă,nett
457,Haken::N,cârlig,krok
458,Griff::N,mâner,tak
459,Griff::N,mâner,håndtak
460,Schloss::N,lacăt,lås
461,Bild::N,tablou,bilde
462,Bild::N,imagine,bilde
463,Figur::N,chip,figur
464,Figur::N,figură,figur
465,Puppe::N,păpușă,dukke
466,Beutel::N,pungă,pose
467,Beutel::N,săculeț,pose
468,Bündel::N,mănunchi,bylt
469,Tasche::N,geantă,veske
470,Eimer::N,găleată,bøtte
471,Deckel::N,capac,lokk
472,Geschirr::N,vase,kjøkkentøy
473,Geschirr::N,tacâmuri,kjøkkentøy
474,Sack::N,sac,sekk
475,Tasse::N,ceașcă,kopp
476,Topf::N,oală,gryte
477,Kessel::N,cazan,kjele
478,Kessel::N,căldare,kjele
479,Essen::N,mâncare,mål
480,Nahrung::N,hrană,mat
481,Nahrung::N,hrană,næring
482,Nahrung::N,aliment,mat
483,Nahrung::N,aliment,næring
484,Speise::N,bucate,matrett
485,Speise::N,fel de bucate,matrett
486,Fleisch::N,carne,kjøtt
487,Getreide::N,cereale,korn
488,Brei::N,pireu,grøt
489,Brot::N,pâine,brød
490,Scheibe::N,felie,skive
491,Scheibe::N,bucată,skive
492,Fett::N,untură,fett
493,Fett::N,grăsime,fett
494,Butter::N,unt,smør
495,Öl::N,ulei,olje
496,Salz::N,sare,salt
497,Suppe::N,supă,suppe
498,Suppe::N,ciorbă,suppe
499,Honig::N,miere,honning
500,Milch::N,lapte,melk
501,Tee::N,ceai,te
502,Leder::N,piele,lær
503,Leder::N,piele,skinn
504,Wolle::N,lână,ull
505,Stoff::N,stofă,tøy
506,Stoff::N,stofă,stoff
507,Nadel::N,ac,nål
508,Faden::N,ață,tråd
509,Knopf::N,buton,knapp
510,Knoten::N,nod,knute
511,Farbe::N,vopsea,farge
512,Kleidung::N,haine,påkledning
513,Kleidung::N,îmbrăcăminte,påkledning
514,Hemd::N,cămașă,skjorte
515,Kragen::N,guler,krage
516,Ärmel::N,mânecă,erme
517,Hose::N,pantaloni,bukse
518,Gürtel::N,cordon,belte
519,Mütze::N,șapcă,lue
520,Schuh::N,gheată,sko
521,Stiefel::N,cizmă,støvel
522,Ring::N,inel,ring
523,Ring::N,verigă,ring
524,Band::N,panglică,band
525,Band::N,șiret,band
526,Kamm::N,pieptene,kam
527,Spiegel::N,oglindă,speil
528,Riemen::N,curea,rem
529,Schnur::N,funie,snor
530,Schnur::N,sfoară,snor
531,Leine::N,lesă,line
532,Leine::N,curea,line
533,Decke::N,pătură,teppe
534,Kissen::N,pernă,pute
535,Tuch::N,batic,tøy
536,Handtuch::N,prosop,håndkle
537,Handtuch::N,ștergar,håndkle
538,Kraft::N,forță,kraft
539,Kraft::N,putere,kraft
540,Stärke::N,tărie,styrke
541,Stärke::N,vigoare,styrke
542,Gesundheit::N,sănătate,helse
543,Gesundheit::N,sănătate,sunnhet
544,Krankheit::N,boală,syke
545,Krankheit::N,boală,sykdom
546,Krankheit::N,maladie,syke
547,Krankheit::N,maladie,sykdom
548,Schmerz::N,durere,smerte
549,Wunde::N,rană,sår
550,Fieber::N,febră,feber
551,Arznei::N,leac,medisin
552,Arznei::N,leac,legemiddel
553,Arznei::N,medicament,medisin
554,Arznei::N,medicament,legemiddel
555,Brücke::N,pod,bro
556,Brücke::N,punte,bro
557,Brunnen::N,puț,brønn
558,Weide::N,izlaz,beite
559,Weide::N,pășune,beite
560,Pfad::N,cărare,sti
561,Weg::N,drum,vei
562,Straße::N,cale,gate
563,Straße::N,stradă,gate
564,Dorf::N,sat,landsby
565,Stadt::N,oraș,by
566,Brief::N,scrisoare,brev
567,Buch::N,carte,bok
568,Buchstabe::N,literă,bokstav
569,Buchstabe::N,caracter,bokstav
570,Zeitung::N,ziar,avis
571,Zeitung::N,gazetă,avis
572,Leben::N,viață,liv
573,Tod::N,moarte,død
574,Grab::N,groapă,grav
575,Grab::N,mormânt,grav
576,Kirche::N,biserică,kirke
577,Sünde::N,păcat,synd
578,Gott::N,zeu,gud
579,Arbeiter::N,muncitor,arbeider
580,Chef::N,șef,sjef
581,Meister::N,meșter,mester
582,Meister::N,maestru,mester
583,Arzt::N,medic,lege
584,Arzt::N,doctor,lege
585,Lehrer::N,profesor,lærer
586,Lehrer::N,învățător,lærer
587,Geld::N,bani,penger
588,Geld::N,parale,penger
589,Geschäft::N,treabă,forretning
590,Geschäft::N,afacere,forretning
591,Laden::N,magazin,butikk
592,Laden::N,prăvălie,butikk
593,Preis::N,preț,pris
594,Ware::N,marfă,vare
595,Nutzen::N,folos,nytte
596,Nutzen::N,profit,nytte
597,Reichtum::N,avuție,rikdom
598,Reichtum::N,bogăție,rikdom
599,Welt::N,lume,verden
600,Land::N,țară,land
601,Staat::N,stat,stat
602,König::N,rege,konge
603,Macht::N,putere,makt
604,Macht::N,putință,makt
605,Grenze::N,hotar,grense
606,Grenze::N,graniță,grense
607,Grenze::N,frontieră,grense
608,Krieg::N,război,krig
609,Feind::N,dușman,fiende
610,Gewalt::N,violență,vold
611,Kampf::N,luptă,kamp
612,Bogen[Waffe]::N,arc,bue
613,Pfeil::N,săgeată,pil
614,Gewehr::N,armă,gevær
615,Gewehr::N,pușcă,gevær
616,Fehler::N,eroare,feil
617,Fehler::N,greșeală,feil
618,Lüge::N,minciună,løgn
619,Schaden::N,daună,skade
620,Schaden::N,pagubă,skade
621,Unglück::N,nenorocire,uhell
622,Schuld::N,vină,skyld
623,Alter::N,etate,alder
624,Alter::N,vârstă,alder
625,Schluss::N,sfârșit,slutt
626,Zeit::N,timp,tid
627,Zeit::N,vreme,tid
628,Tag::N,zi,dag
629,Morgen::N,dimineață,morgen
630,Mittag::N,prânz,middag
631,Mittag::N,amiază,middag
632,Abend::N,seară,aften
633,Nacht::N,noapte,natt
634,Woche::N,săptămână,uke
635,Monat::N,lună,måned
636,Jahr::N,an,år
637,Frühling::N,primăvară,vår
638,Sommer::N,vară,sommer
639,Herbst::N,toamnă,høst
640,Winter::N,iarnă,vinter
641,Januar::N,ianuarie,januar
642,Februar::N,februarie,februar
643,März::N,martie,mars
644,April::N,aprilie,april
645,Mai::N,mai,mai
646,Juni::N,iunie,juni
647,Juli::N,iulie,juli
648,August::N,august,august
649,September::N,septembrie,september
650,Oktober::N,octombrie,oktober
651,November::N,noiembrie,november
652,Dezember::N,decembrie,desember
653,Montag::N,luni,mandag
654,Dienstag::N,marți,tirsdag
655,Mittwoch::N,miercuri,onsdag
656,Donnerstag::N,joi,torsdag
657,Freitag::N,vineri,fredag
658,Samstag::N,sâmbătă,lørdag
659,Sonntag::N,duminică,søndag
660,groß::A,mare,stor
661,klein::A,mic,liten
662,lang::A,lung,lang
663,kurz::A,scurt,kort
664,breit::A,lat,bred
665,breit::A,larg,bred
666,schmal::A,strâmt,smal
667,dicht::A,des,tett
668,dick[Gegenstand]::A,gros,tykk
669,dünn::A,subțire,tynn
670,fein::A,fin,fin
671,fein::A,subțire,fin
672,fest::A,tare,fast
673,fest::A,solid,fast
674,flach::A,șes,flat
675,flach::A,plan,flat
676,glatt::A,lins,glatt
677,hart::A,dur,hard
678,weich::A,moale,myk
679,weich::A,moale,bløt
680,rund::A,rotund,rund
681,rund::A,circular,rund
682,spitz::A,ascuțit,spiss
683,scharf::A,tăios,kvass
684,scharf::A,ascuțit,kvass
685,stumpf::A,tocit,stubb
686,schwer::A,greu,tung
687,schön::A,frumos,pen
688,schön::A,frumos,vakker
689,heiß::A,cald,het
690,heiß::A,fierbinte,het
691,warm::A,cald,varm
692,warm::A,fierbinte,varm
693,kalt::A,rece,kald
694,kühl::A,rece,kjølig
695,kühl::A,răcoros,kjølig
696,frisch::A,răcoros,fersk
697,frisch::A,proaspăt,fersk
698,feucht::A,umed,fuktig
699,feucht::A,jilav,fuktig
700,nass::A,ud,våt
701,trocken::A,sec,tørr
702,trocken::A,uscat,tørr
703,voll::A,plin,full
704,leer::A,gol,tom
705,offen::A,deschis,åpen
706,geschlossen::A,închis,lukket
707,sauber::A,curat,ren
708,schmutzig::A,murdar,skitten
709,roh::A,crud,rå
710,reif::A,copt,moden
711,lecker::A,gustos,lekker
712,süß::A,dulce,søt
713,bitter::A,amar,besk
714,bitter::A,amar,bitter
715,sauer::A,acru,sur
716,hell::A,clar,lys
717,hell::A,luminos,lys
718,dunkel::A,obscur,mørk
719,dunkel::A,întunecos,mørk
720,schwarz::A,negru,svart
721,weiß::A,alb,hvit
722,rot::A,roșu,rød
723,gelb::A,galben,gul
724,blau::A,albastru,blå
725,grün::A,verde,grønn
726,grau::A,gri,grå
727,grau::A,cenușiu,grå
728,bunt::A,colorat,broket
729,billig::A,ieftin,billig
730,teuer::A,scump,dyr
731,wertvoll::A,prețios,verdifull
732,blind::A,orb,blind
733,taub::A,surd,døv
734,kräftig::A,tare,kraftig
735,kräftig::A,forte,kraftig
736,kräftig::A,robust,kraftig
737,stark::A,viguros,sterk
738,stark::A,puternic,sterk
739,schwach::A,slab,svak
740,schwach::A,debil,svak
741,fett::A,gras,fet
742,schlank::A,zvelt,slank
743,hübsch::A,drăguț,pen
744,böse::A,rău,slem
745,böse::A,răutăcios,slem
746,dumm::A,nerod,dum
747,dumm::A,tâmpit,dum
748,faul::A,leneș,lat
749,faul::A,leneș,doven
750,fleißig::A,harnic,flittig
751,fleißig::A,sârguincios,flittig
752,geizig::A,calic,gjerrig
753,geizig::A,zgârcit,gjerrig
754,klug::A,isteț,klok
755,klug::A,deștept,klok
756,geschickt::A,dibaci,hendig
757,geschickt::A,dibaci,skikket
758,lieb::A,drag,kjær
759,lieb::A,drag,snill
760,lieb::A,iubit,kjær
761,lieb::A,iubit,snill
762,lustig::A,vesel,morsom
763,sanft::A,blând,blid
764,sanft::A,blajin,blid
765,hungrig::A,flămând,sulten
766,krank::A,bolnav,syk
767,nackt::A,gol,naken
768,traurig::A,trist,sørgmodig
769,traurig::A,mâhnit,sørgmodig
770,lebendig::A,viu,levende
771,gut::A,bun,god
772,schlecht::A,rău,dårlig
773,schlecht::A,prost,dårlig
774,richtig::A,drept,riktig
775,richtig::A,corect,riktig
776,schlimm::A,rău,slem
777,wahr::A,adevărat,sann
778,alt::A,uzat,gammel
779,alt::A,vechi,gammel
780,neu::A,nou,ny
781,ehemalig::A,fost,forhenværende
782,ehemalig::A,anterior,forhenværende
783,alt[Lebewesen]::A,bătrîn,gammel
784,jung::A,tânăr,ung
785,arm::A,sărac,fattig
786,arm::A,sărman,fattig
787,reich::A,avut,rik
788,reich::A,bogat,rik
789,bekannt::A,cunoscut,kjent
790,berühmt::A,renumit,berømt
791,fremd::A,străin,fremmed
792,verschieden::A,diferit,forskjellig
793,verschieden::A,deosebit,forskjellig
794,nah::A,apropiat,nær
795,fern::A,departe,fjern
796,linker::A,stâng,venstre
797,rechter::A,drept,høyre
798,anderer::A,alt,annen
799,erster::A,prim,første
800,zweiter::A,al doilea,annen
801,dritter::A,treilea,tredje
802,letzter::A,final,sist
803,allein::ADV,singur,alene
804,auf einmal::ADV,dintrodată,med ett
805,zusammen::ADV,împreună,sammen
806,lange::ADV,îndelung,lenge
807,lange::ADV,mult timp,lenge
808,plötzlich::ADV,deodată,plutselig
809,plötzlich::ADV,pe neașteptate,plutselig
810,sofort::ADV,imediat,straks
811,sofort::ADV,numaidecît,straks
812,später::ADV,mai apoi,senere
813,später::ADV,mai târziu,senere
814,jetzt::ADV,acum,nå
815,heute::ADV,azi,i dag
816,heute::ADV,astăzi,i dag
817,morgen::ADV,mâine,i morgen
818,bald::ADV,curând,snart
819,dann::ADV,apoi,så
820,gestern::ADV,ieri,i går
821,einst::ADV,odată,engang
822,einst::ADV,odinioară,engang
823,damals::ADV,atunci,den gang
824,damals::ADV,pe atunci,den gang
825,danach::ADV,după aceasta,deretter
826,vorher::ADV,mai întâi,før
827,vorher::ADV,mai întâi,i forveien
828,vorher::ADV,în prealabil,før
829,vorher::ADV,în prealabil,i forveien
830,zuerst::ADV,întâi,først
831,zuerst::ADV,în primul rând,først
832,einmal::ADV,odată,en gang
833,manchmal::ADV,uneori,somme tider
834,manchmal::ADV,câteodată,somme tider
835,oft::ADV,des,ofte
836,oft::ADV,deseori,ofte
837,immer::ADV,mereu,alltid
838,immer::ADV,întotdeauna,alltid
839,niemals::ADV,niciodată,aldri
840,hier::ADV,aci,her
841,hier::ADV,aici,her
842,hierhin::ADV,încoace,hit
843,von hier::ADV,de aici,herfra
844,dort::ADV,acolo,der
845,dorthin::ADV,dincolo,dit
846,geradeaus::ADV,drept înainte,rett fram
847,vorwärts::ADV,înainte,fram
848,vorwärts::ADV,înainte,framover
849,rückwärts::ADV,îndărăt,baklengs
850,zurück::ADV,înapoi,tilbake
851,unten::ADV,jos,nede
852,unten::ADV,dedesubt,nede
853,hinab::ADV,în jos,ned
854,hinab::ADV,în jos,nedover
855,hinab::ADV,de vale,ned
856,hinab::ADV,de vale,nedover
857,oben::ADV,sus,oppe
