,Concept_ID,he,cy
74,Schatten::N,צל,cysgod
75,Wetter::N,מזג אויר,tywydd
76,Nebel::N,ערפל,niwl
77,Wolke::N,ענן,cwmwl
78,Regen::N,גשם,glaw
79,Schnee::N,שלג,ôd
80,Schnee::N,שלג,eira
81,Eis::N,קרח,iâ
82,Frost::N,צנה,rhew
83,Kälte::N,קר,oerni
84,Kälte::N,קר,annwyd
85,Hitze::N,חם,gwres
86,Raureif::N,כפור,barrug
87,Regenbogen::N,קשת,enfys
88,Donner::N,רעם,tyrfau
89,Strömung::N,זרימה,cerrynt
90,Tropfen::N,טפה,dafn
91,Tropfen::N,טפה,diferyn
92,Schaum::N,קצף,ewyn
93,Schmutz::N,לכלוך,baw
94,Schmutz::N,לכלוך,budreddi
95,See::N,אגם,llyn
96,Sumpf::N,בצה,cors
97,Moor::N,בצה,rhos
98,Wiese::N,מרעה,dôl
99,Wald::N,יער,coedwig
100,Hügel::N,תל,bryn
101,Anhöhe::N,מעלה,bryn
102,Berg::N,הר,mynydd
103,Gipfel::N,פסגה,copa
104,Höhle::N,מערה,ogof
105,Abhang::N,מדרון,llethr
106,Abhang::N,שפוע,llethr
107,Quelle::N,מעין,tarddiad
108,Quelle::N,מעין,ffynhonnell
109,Bach::N,נחל,nant
110,Bach::N,נחל,afonig
111,Bach::N,נחל,cornant
112,Fluss::N,נהר,afon
113,Ufer::N,גדה,glan
114,Küste::N,חוף,traeth
115,Küste::N,חוף,arfordir
116,Festland::N,יבשה,tir
117,Meer::N,ים,môr
118,Bucht::N,מפרץ,bae
119,Insel::N,אי,ynys
120,Blume::N,פרח,blodyn
121,Gras::N,דשא,glaswellt
122,Wurzel::N,שרש,gwreiddyn
123,Baum::N,עץ,coeden
124,Stamm::N,גזע,colfen
125,Stamm::N,גזע,boncyff
126,Rinde::N,קלפת עץ,rhisgl
127,Ast::N,ענף,cangen
128,Zweig::N,ענף,cainc
129,Zweig::N,ענף,cangen
130,Blatt::N,עלה,deilen
131,Birke::N,שדר,bedwen
132,Kiefer[Baum]::N,ארן,pinwydden
133,Weide[Baum]::N,ערבה,helygen
134,Tanne::N,אשוח,ffynidwydden
135,Horn::N,קרן,corn
136,Feder::N,נוצה,plufyn
137,Fell::N,פרוה,ffwr
138,Flügel::N,כנף,adain
139,Klaue::N,טלף,crafanc
140,Kralle::N,טפר,ewin
141,Schwanz::N,זנב,cwt
142,Schwanz::N,זנב,cynffon
143,Ei::N,ביצה,wy
144,Nest::N,קן,nyth
145,Bau::N,מחלה,ffau
146,Tier::N,חיה,anifail
147,Herde::N,עדר,praidd
148,Herde::N,עדר,diadell
149,Kuh::N,פרה,buwch
150,Bulle::N,פר,tarw
151,Pferd::N,סוס,ceffyl
152,Schaf::N,כבשה,dafad
153,Schwein::N,חזיר,mochyn
154,Hund::N,כלב,ci
155,Katze::N,חתול,cath
156,Bär::N,דב,arth
157,Eichhörnchen::N,סנאי,gwiwer
158,Elch::N,דישון,elc
159,Fuchs::N,שועל,cadno
160,Hase::N,ארנב,ysgyfarnog
161,Maus::N,עכבר,llygoden
162,Wolf::N,זאב,blaidd
163,Vogel::N,צפור,aderyn
164,Schwarm::N,נחיל,haid
165,Schwarm::N,להקה,haid
166,Huhn::N,תרנגלת,cyw
167,Hahn::N,תרנגול,ceiliog
168,Gans::N,אוז,gŵydd
169,Adler::N,עיט,eryr
170,Ente::N,ברוז,hwyad
171,Eule::N,ינשוף,tylluan
172,Kranich::N,עגור,garan
173,Kranich::N,עגור,crychydd
174,Kranich::N,כרוכיה,garan
175,Kranich::N,כרוכיה,crychydd
176,Krähe::N,עורב,brân
177,Kuckuck::N,קוקיה,cog
178,Kuckuck::N,קוקיה,cwcw
179,Schwan::N,ברבור,alarch
180,Fisch::N,דג,pysgod
181,Barsch::N,אוקונוס,draenog
182,Hecht::N,זאב הים,penhwyad
183,Schlange[Tier]::N,נחש,neidr
184,Wurm::N,תולעת,abwydyn
185,Wurm::N,תולעת,pryf genwair
186,Spinne::N,עכביש,cor
187,Spinne::N,עכביש,pryf copyn
188,Ameise::N,נמלה,morgrugyn
189,Laus::N,כנה,lleuen
190,Mücke::N,יתוש,gwybedyn
191,Fliege::N,זבוב,cleren
192,Schmetterling::N,פרפר,glöyn byw
193,Schmetterling::N,פרפר,iâr fach yr haf
194,Beere::N,ענבה,aeronen
195,Apfel::N,תפוח,afal
196,Pilz::N,פטריה,madarch
197,Zwiebel::N,בצל,nionyn
198,Zwiebel::N,בצל,winwnsyn
199,Saat::N,זרעים,had
200,Korn::N,גרעין,grawn
201,Heu::N,חציר,gwair
202,Schale::N,קלפה,croen
203,Schale::N,קלפה,plisgyn
204,Grube::N,בור,pwll
205,Grube::N,בור,pydew
206,Grube::N,שוחה,pwll
207,Grube::N,שוחה,pydew
208,Falle::N,מלכדת,magl
209,Schlinge::N,לולאה,cwlwm rhedeg
210,Spur::N,עקבה,ôl
211,Asche::N,אפר,lludw
212,Dreck::N,זהמה,baw
213,Dreck::N,זהמה,budreddi
214,Eisen::N,ברזל,haearn
215,Gold::N,זהב,aur
216,Silber::N,כסף,arian
217,Kohle::N,פחם,glo
218,Glas::N,זכוכית,gwydr
219,Lehm::N,חרסית,clai
220,Sand::N,חול,tywod
221,Mensch::N,אדם,dyn
222,Mann::N,איש,dyn
223,Mann::N,גבר,dyn
224,Frau::N,אשה,merch
225,Frau::N,אשה,gwraig
226,Frau::N,גברת,merch
227,Frau::N,גברת,gwraig
228,Kind::N,ילד,plentyn
229,Junge::N,ילד,hogyn
230,Junge::N,ילד,bachgen
231,Mädchen::N,נערה,merch
232,Mädchen::N,נערה,geneth
233,Familie::N,משפחה,teulu
234,Familie::N,משפחה,tylwyth
235,Großvater::N,סבא,taid
236,Großvater::N,סבא,tad-cu
237,Großmutter::N,סבתא,nain
238,Großmutter::N,סבתא,mam-gu
239,Eltern::N,הורים,rhieni
240,Vater::N,אב,tad
241,Mutter::N,אם,mam
242,Sohn::N,בן,mab
243,Tochter::N,בת,merch
244,Bruder::N,אח,brawd
245,Schwester::N,אחות,chwaer
246,Onkel::N,דוד,ewythr
247,Tante::N,דודה,modryb
248,Ehemann::N,איש,gŵr
249,Ehemann::N,בעל,gŵr
250,Ehefrau::N,אשה,gwraig
251,Freude::N,שמחה,gorfoledd
252,Gelächter::N,צחוק,chwerthin
253,Glück::N,אשר,hapusrwydd
254,Kummer::N,יגון,galar
255,Kummer::N,עגמה,galar
256,Wunsch::N,אחול,dymuniad
257,Wunsch::N,משאלה,dymuniad
258,Lust::N,חשק,chwant
259,Lust::N,תשוקה,chwant
260,Geist::N,רוח,ysbryd
261,Gedanke::N,מחשבה,meddwl
262,Gedächtnis::N,זכרון,cof
263,Verstand::N,שכל,meddwl
264,Sinn::N,מובן,ystyr
265,Sinn::N,משמעות,ystyr
266,Grund::N,סבה,achos
267,Grund::N,סבה,rheswm
268,Wahrheit::N,אמת,gwir
269,Wahrheit::N,אמת,gwirionedd
270,Gespräch::N,דיון,sgwrs
271,Märchen::N,אגדה,chwedl werin
272,Erzählung::N,ספור,stori
273,Nachricht::N,ידיעה,neges
274,Neuigkeit::N,חדשה,newydd
275,Name::N,שם,enw
276,Rätsel::N,תעלומה,pos
277,Rede::N,נאום,araith
278,Sprache::N,לשון,iaith
279,Stimme::N,קול,llais
280,Wort::N,מלה,gair
281,Zeichen::N,סימן,arwydd
282,Ruf::N,קריאה,galwad
283,Lärm::N,רעש,trwst
284,Laut::N,הגה,sain
285,Ton::N,צליל,tôn
286,Lied::N,שיר,cân
287,Ruhe::N,שלוה,tawelwch
288,Leute::N,אנשים,pobl
289,Volk::N,עם,pobl
290,Arbeit::N,עבודה,gwaith
291,Gast::N,אורח,gwestai
292,Geschenk::N,מתנה,rhodd
293,Geschenk::N,מתנה,anrheg
294,Spiel::N,משחק,chwarae
295,Gesellschaft::N,חברה,cwmni
296,Hilfe::N,עזרה,cymorth
297,Freund::N,חבר,cyfaill
298,Freund::N,ידיד,cyfaill
299,Kamerad::N,רע,cydymaith
300,Angelegenheit::N,ענין,pwnc
301,Anzahl::N,מספר,cyfrif
302,Art::N,סוג,bath
303,Stück::N,חתיכה,darn
304,Teil::N,פרק,rhan
305,Hälfte::N,חצי,hanner
306,Kreis::N,מעגל,cylch
307,Kreuz::N,צלב,croes
308,Linie::N,קו,llinell
309,Strich::N,קו קצר,strôc
310,Strich::N,קו קצר,trawiad
311,Abstand::N,מרחק,bwlch
312,Abstand::N,מרחק,pellter
313,Entfernung::N,מרחק,pellter
314,Gegend::N,נוף,cylch
315,Platz::N,שטח,lle
316,Ort::N,אתר,lle
317,Ort::N,מקום,lle
318,Seite::N,צד,ochr
319,Mitte::N,אמצע,canol
320,Gegenstand::N,אוביקט,eitem
321,Sache::N,דבר,peth
322,Rand::N,פרור,cwr
323,Rand::N,פרור,ymyl
324,Kante::N,קצה,min
325,Kante::N,קצה,ymyl
326,Ecke::N,פנה,cornel
327,Spitze::N,קצה,blaen
328,Ende::N,סוף,pen
329,Loch::N,חר,twll
330,Winkel::N,פנה,congl
331,Muster::N,תבנית,patrwm
332,Größe::N,גדל,maint
333,Größe::N,גדל,maintioli
334,Länge::N,ארך,hyd
335,Höhe::N,קומה,uchder
336,Höhe::N,גבה,uchder
337,Gewicht::N,משקל,pwysau
338,Menge::N,כמות,swm
339,Menge::N,כמות,maint
340,Haufen::N,ערמה,pentwr
341,Reihe::N,רצף,rhes
342,Boot::N,סירה,cwch
343,Ruder::N,משוט,rhwyf
344,Schlitten::N,מזחלת,sled
345,Schlitten::N,מזחלת,car llusg
346,Ski::N,מגלשים,sgi
347,Lagerfeuer::N,מדורה,coelcerth
348,Last::N,משא,llwyth
349,Gang::N,הליכה,tro
350,Schritt::N,צעד,cam
351,Norden::N,צפון,gogledd
352,Süden::N,דרום,de
353,Westen::N,מערב,gorllewin
354,Osten::N,מזרח,dwyrain
355,Holz::N,עץ,pren
356,Brett::N,קרש,bwrdd
357,Brett::N,קרש,astell
358,Platte::N,לוח,llech
359,Stütze::N,משען,ateg
360,Stütze::N,משען,cynhalydd
361,Stange::N,מוט,polyn
362,Stock::N,מקל,ffon
363,Stock::N,מקל,brigyn
364,Stab::N,מוט,ffon
365,Rohr::N,צנור,pibell
366,Haus::N,בית,tŷ
367,Heim::N,בית,cartref
368,Ofen::N,תנור,stof
369,Fußboden::N,רצפה,llawr
370,Tisch::N,שלחן,bwrdd
371,Stuhl::N,כסא,cadair
372,Wiege::N,ערש,crud
373,Bett::N,מטה,gwely
374,Regal::N,מדף,silff
375,Kiste::N,תבה,bocs
376,Kiste::N,תבה,blwch
377,Kiste::N,ארגז,bocs
378,Kiste::N,ארגז,blwch
379,Fenster::N,חלון,ffenestr
380,Tür::N,דלת,drws
381,Tor::N,שער,porth
382,Zaun::N,גדר,ffens
383,Dach::N,גג,to
384,Leiter::N,סלם,ysgol
385,Besen::N,מטאטא,ysgub
386,Spaten::N,את,rhaw
387,Schaufel::N,את,rhaw
388,Gabel::N,מזלג,fforc
389,Löffel::N,כף,llwy
390,Messer::N,סכין,cyllell
391,Nagel::N,מסמר,hoel
392,Netz::N,רשת,gwe
393,Netz::N,רשת,rhwyd
394,Haken::N,וו,bach
395,Haken::N,קרס,bach
396,Griff::N,ידית,carn
397,Schloss::N,מנעול,clo
398,Bild::N,תמונה,llun
399,Bild::N,תמונה,pictiwr
400,Figur::N,פסל,ffigur
401,Puppe::N,בבה,dol
402,Beutel::N,שק,cwd
403,Bündel::N,צרור,bwndel
404,Bündel::N,צרור,coflaid
405,Tasche::N,שקית,cod
406,Eimer::N,דלי,bwced
407,Eimer::N,דלי,cunnog
408,Deckel::N,מכסה,caead
409,Geschirr::N,כלים,llestri
410,Sack::N,שק,sach
411,Tasse::N,ספל,cwpan
412,Topf::N,סיר,pot
413,Topf::N,סיר,crochan
414,Kessel::N,קנקן,tegell
415,Essen::N,אכל,pryd o fwyd
416,Essen::N,ארוחה,pryd o fwyd
417,Nahrung::N,הזנה,bwyd
418,Nahrung::N,תזונה,bwyd
419,Speise::N,מאכל,saig
420,Speise::N,ארוחה,saig
421,Fleisch::N,בשר,cig
422,Getreide::N,דגן,ŷd
423,Getreide::N,דגן,llafur
424,Brei::N,מחית,uwd
425,Brot::N,לחם,bara
426,Scheibe::N,עגול,tafell
427,Scheibe::N,פרוסה,tafell
428,Fett::N,שמן,saim
429,Fett::N,שמן,braster
430,Butter::N,חמאה,ymenyn
431,Öl::N,שמן,olew
432,Salz::N,מלח,halen
433,Suppe::N,מרק,cawl
434,Honig::N,דבש,mêl
435,Milch::N,חלב,llaeth
436,Milch::N,חלב,llefrith
437,Tee::N,תה,te
438,Leder::N,עור,lledr
439,Wolle::N,צמר,gwlân
440,Stoff::N,בד,lliain
441,Stoff::N,בד,brethyn
442,Stoff::N,אריג,lliain
443,Stoff::N,אריג,brethyn
444,Nadel::N,מחט,nodwydd
445,Faden::N,חוט,edau
446,Faden::N,חוט,edefyn
447,Knopf::N,כפתור,botwm
448,Knoten::N,קשר,cwlwm
449,Farbe::N,צבע,paent
450,Kleidung::N,בגדים,dillad
451,Kleidung::N,בגדים,gwisgoedd
452,Hemd::N,חלצה,crys
453,Kragen::N,צוארון,coler
454,Ärmel::N,שרוול,llawes
455,Hose::N,מכנסים,trowsus
456,Gürtel::N,חגורה,gwregys
457,Mütze::N,כובע,cap
458,Schuh::N,נעל,esgid
459,Stiefel::N,מגף,botasen
460,Ring::N,טבעת,modrwy
461,Band::N,סרט,rhuban
462,Kamm::N,מסרק,crib
463,Spiegel::N,מראה,drych
464,Riemen::N,רצועה,strap
465,Schnur::N,חבל,llinyn
466,Leine::N,מושכות,tennyn
467,Decke::N,שמיכה,blanced
468,Decke::N,שמיכה,gwrthban
469,Kissen::N,כרית,clustog
470,Kissen::N,כרית,gobennydd
471,Tuch::N,צעיף,sgarff
472,Handtuch::N,מגבת,tywel
473,Handtuch::N,מגבת,lliain sychu
474,Kraft::N,כוח,grym
475,Stärke::N,און,nerth
476,Stärke::N,און,cryfder
477,Gesundheit::N,בריאות,iechyd
478,Krankheit::N,מחלה,afiechyd
479,Krankheit::N,מחלה,anhwylder
480,Schmerz::N,כאב,poen
481,Schmerz::N,כאב,gwayw
482,Wunde::N,פציעה,clwyf
483,Fieber::N,חם,twymyn
484,Arznei::N,תרופה,meddyginiaeth
485,Brücke::N,גשר,pont
486,Brunnen::N,באר,ffynnon
487,Weide::N,אחו,porfa
488,Weide::N,מרעה,porfa
489,Pfad::N,שביל,llwybr
490,Pfad::N,מדרכה,llwybr
491,Weg::N,דרך,ffordd
492,Straße::N,כביש,heol
493,Straße::N,כביש,ffordd
494,Dorf::N,כפר,pentref
495,Stadt::N,עיר,tref
496,Brief::N,מכתב,llythyr
497,Buch::N,ספר,llyfr
498,Buchstabe::N,אות,llythyren
499,Zeitung::N,עתון,papur newydd
500,Leben::N,חיים,bywyd
501,Tod::N,מות,marwolaeth
502,Grab::N,קבר,bedd
503,Kirche::N,כנסיה,eglwys
504,Sünde::N,חטא,pechod
505,Gott::N,אל,duw
506,Arbeiter::N,פועל,gweithiwr
507,Chef::N,ראש,pennaeth
508,Chef::N,מנהל,pennaeth
509,Meister::N,ממחה,meistr
510,Arzt::N,רופא,meddyg
511,Lehrer::N,מורה,athro
512,Geld::N,כסף,pres
513,Geld::N,כסף,arian
514,Geschäft::N,עסקה,busnes
515,Laden::N,חנות,siop
516,Preis::N,מחיר,pris
517,Ware::N,סחורה,nwydd
518,Nutzen::N,תועלת,elw
519,Nutzen::N,תועלת,budd
520,Reichtum::N,עשר,cyfoeth
521,Welt::N,עולם,byd
522,Land::N,ארץ,gwlad
523,Staat::N,מדינה,gwladwriaeth
524,König::N,מלך,brenin
525,Macht::N,כוח,grym
526,Macht::N,כוח,awdurdod
527,Grenze::N,גבול,ffin
528,Grenze::N,גבול,goror
529,Krieg::N,מלחמה,rhyfel
530,Feind::N,אויב,gelyn
531,Gewalt::N,אלימות,ffyrnigrwydd
532,Kampf::N,קרב,brwydr
533,Kampf::N,לחימה,brwydr
534,Bogen[Waffe]::N,קשת,bwa
535,Pfeil::N,חץ,saeth
536,Gewehr::N,רובה,dryll
537,Fehler::N,טעות,gwall
538,Fehler::N,טעות,camgymeriad
539,Lüge::N,שקר,celwydd
540,Lüge::N,שקר,anwiredd
541,Schaden::N,נזק,niwed
542,Schaden::N,נזק,difrod
543,Unglück::N,מזל רע,anffawd
544,Schuld::N,אשמה,bai
545,Alter::N,גיל,oed
546,Schluss::N,סיום,diwedd
547,Zeit::N,זמן,amser
548,Tag::N,יום,dydd
549,Tag::N,יום,diwrnod
550,Morgen::N,בקר,bore
551,Mittag::N,צהרים,nawn
552,Abend::N,ערב,noswaith
553,Nacht::N,לילה,nos
554,Woche::N,שבוע,wythnos
555,Monat::N,חדש,mis
556,Jahr::N,שנה,blwyddyn
557,Frühling::N,אביב,gwanwyn
558,Sommer::N,קיץ,haf
559,Herbst::N,סתו,hydref
560,Winter::N,חרף,gaeaf
561,Januar::N,ינואר,Ionawr
562,Februar::N,פברואר,Chwefror
563,März::N,מרץ,Mawrth
564,April::N,אפריל,Ebrill
565,Mai::N,מאי,Mai
566,Juni::N,יוני,Mehefin
567,Juli::N,יולי,Gorffennaf
568,August::N,אוגוסט,Awst
569,September::N,ספטמבר,Medi
570,Oktober::N,אוקטובר,Hydref
571,November::N,נובמבר,Tachwedd
572,Dezember::N,דצמבר,Rhagfyr
573,Montag::N,יום שני,dydd Llun
574,Dienstag::N,יום שלישי,dydd Mawrth
575,Mittwoch::N,יום רביעי,dydd Mercher
576,Donnerstag::N,יום חמישי,dydd Iau
577,Freitag::N,יום ששי,dydd Gwener
578,Samstag::N,יום שבת,dydd Sadwrn
579,Sonntag::N,יום ראשון,dydd Sul
580,groß::A,גדול,mawr
581,klein::A,קטן,bach
582,lang::A,ארך,hir
583,kurz::A,קצר,byr
584,kurz::A,קצר,cwta
585,breit::A,רחב,llydan
586,schmal::A,צר,cul
587,dicht::A,צפוף,dwys
588,dick[Gegenstand]::A,עבה,trwchus
589,dünn::A,דק,tenau
590,fein::A,מעדן,main
591,fest::A,מוצק,cadarn
592,flach::A,שטוח,gwastad
593,glatt::A,חלק,llyfn
594,hart::A,קשיח,caled
595,weich::A,רך,meddal
596,rund::A,עגל,crwn
597,spitz::A,חד,pigfain
598,scharf::A,חד,miniog
599,stumpf::A,קהה,pŵl
600,schwer::A,כבד,trwm
601,schön::A,יפה,teg
602,schön::A,יפה,hardd
603,schön::A,יפה,prydferth
604,heiß::A,חם,poeth
605,warm::A,חם,twym
606,warm::A,חם,cynnes
607,kalt::A,קר,oer
608,kühl::A,צונן,oeraidd
609,frisch::A,טרי,iach
610,feucht::A,לח,llaith
611,nass::A,רטוב,gwlyb
612,trocken::A,יבש,sych
613,voll::A,מלא,llawn
614,leer::A,ריק,gwag
615,offen::A,פתוח,agored
616,geschlossen::A,סגור,caead
617,geschlossen::A,סגור,caeëdig
618,sauber::A,נקי,glân
619,schmutzig::A,מלכלך,budr
620,schmutzig::A,מלכלך,brwnt
621,roh::A,חי,amrwd
622,reif::A,בשל,aeddfed
623,lecker::A,טעים,blasus
624,lecker::A,טעים,danteithiol
625,süß::A,מתוק,melys
626,bitter::A,מר,chwerw
627,sauer::A,חמוץ,sur
628,hell::A,בהיר,disglair
629,dunkel::A,עמום,tywyll
630,schwarz::A,שחר,du
631,weiß::A,לבן,gwyn
632,rot::A,אדם,coch
633,gelb::A,צהב,melyn
634,blau::A,כחל,glas
635,grün::A,ירק,gwyrdd
636,grau::A,אפר,llwyd
637,bunt::A,צבעוני,lliwgar
638,billig::A,זול,rhad
639,teuer::A,יקר,drud
640,wertvoll::A,יקר ערך,gwerthfawr
641,blind::A,עור,dall
642,taub::A,חרש,byddar
643,kräftig::A,חסן,nerthol
644,kräftig::A,חסן,grymus
645,stark::A,חזק,cryf
646,stark::A,חזק,cadarn
647,schwach::A,חלש,gwan
648,fett::A,שמן,tew
649,schlank::A,רזה,main
650,hübsch::A,יפה תאר,tlws
651,böse::A,רשע,drwg
652,dumm::A,טפש,twp
653,faul::A,עצלן,diog
654,fleißig::A,חרוץ,dyfal
655,geizig::A,קמצן,crintach
656,geizig::A,קמצן,cybyddlyd
657,klug::A,נבון,deallus
658,klug::A,פקח,deallus
659,geschickt::A,מימן,medrus
660,geschickt::A,מימן,deheuig
661,lieb::A,יקר,hoff
662,lieb::A,יקר,annwyl
663,lieb::A,אהוב,hoff
664,lieb::A,אהוב,annwyl
665,lustig::A,עליז,llon
666,sanft::A,עדין,mwyn
667,hungrig::A,רעב,newynog
668,krank::A,חולה,sâl
669,krank::A,חולה,gwael
670,nackt::A,ערום,noeth
671,traurig::A,עצוב,trist
672,lebendig::A,חי,yn fyw
673,gut::A,טוב,da
674,schlecht::A,גרוע,drwg
675,schlecht::A,גרוע,gwael
676,richtig::A,נכון,cywir
677,schlimm::A,רע,enbyd
678,wahr::A,אמתי,gwir
679,alt::A,ישן,hen
680,neu::A,חדש,newydd
681,ehemalig::A,לשעבר,blaenorol
682,alt[Lebewesen]::A,זקן,oedrannus
683,jung::A,צעיר,ifanc
684,arm::A,עני,tlawd
685,reich::A,עשיר,cyfoethog
686,bekannt::A,ידוע,cynefin
687,bekannt::A,ידוע,cyfarwydd
688,berühmt::A,מפרסם,enwog
689,fremd::A,זר,estron
690,verschieden::A,שונה,gwahanol
691,nah::A,קרוב,agos
692,fern::A,רחוק,pell
693,linker::A,שמאלי,aswy
694,linker::A,שמאלי,chwith
695,rechter::A,ימין,de
696,rechter::A,ימין,deau
697,anderer::A,אחר,arall
698,erster::A,ראשון,cyntaf
699,zweiter::A,שני,ail
700,dritter::A,שלישי,trydydd
701,letzter::A,אחרון,olaf
702,allein::ADV,לבד,unig
703,allein::ADV,לבד,ar ei ben ei hun
704,auf einmal::ADV,בו-זמנית,ar yr un pryd
705,zusammen::ADV,ביחד,ynghyd
706,zusammen::ADV,ביחד,gyda'i gilydd
707,lange::ADV,הרבה זמן,amser hir
708,plötzlich::ADV,לפתע,yn sydyn
709,plötzlich::ADV,פתאום,yn sydyn
710,sofort::ADV,מיד,ar unwaith
711,später::ADV,לאחר זמן,yn ddiweddarach
712,später::ADV,יותר מאחר,yn ddiweddarach
713,jetzt::ADV,עכשיו,yn awr
714,heute::ADV,היום,heddiw
715,morgen::ADV,מחר,yfory
716,bald::ADV,בקרוב,yn fuan
717,bald::ADV,בקרוב,gyda hyn
718,dann::ADV,אחר-כך,yna
719,dann::ADV,אחר-כך,y pryd hwnnw
720,gestern::ADV,אתמול,ddoe
721,einst::ADV,לפנים,gynt
722,damals::ADV,אז,ar y pryd
723,damals::ADV,אז,bryd hynny
724,danach::ADV,אחר-כך,wedyn
725,vorher::ADV,לפני זה,o'r blaen
726,zuerst::ADV,קדם,yn gyntaf
727,einmal::ADV,פעם,unwaith
728,manchmal::ADV,לפעמים,weithiau
729,manchmal::ADV,לפעמים,ar brydiau
730,oft::ADV,לעתים קרובות,yn aml
731,oft::ADV,לעתים קרובות,yn fynych
732,immer::ADV,תמיד,bob amser
733,niemals::ADV,אף פעם,ni ... byth
734,niemals::ADV,אף פעם,ni ... erioed
735,hier::ADV,כאן,yma
736,hierhin::ADV,פה,hyd yma
737,von hier::ADV,מפה,oddi yma
738,dort::ADV,שם,acw
739,dorthin::ADV,שם,tuag yno
740,geradeaus::ADV,ישר,syth ymlaen
741,vorwärts::ADV,קדימה,ymlaen
742,rückwärts::ADV,לאחור,yn ôl
743,zurück::ADV,בחזרה,yn ôl
744,zurück::ADV,אחורנית,yn ôl
745,unten::ADV,למטה,isod
746,unten::ADV,למטה,oddi tanodd
747,hinab::ADV,למטה,i lawr
748,hinab::ADV,למטה,i waered
749,oben::ADV,מעל,fry
750,oben::ADV,למעלה,fry
751,hinauf::ADV,למעלה,i fyny
752,hinauf::ADV,למעלה,i'r lan
753,überall::ADV,בכל מקום,ym mhobman
754,nicht::ADV,לא,ni
755,nicht::ADV,לא,nid
756,ein wenig::ADV,קצת,tipyn
757,ein wenig::ADV,קצת,ychydig
758,kaum::ADV,בקשי,prin
759,sehr::ADV,מאוד,iawn
760,so::ADV,כך,fel
761,so::ADV,כך,felly
762,so::ADV,ככה,fel
763,so::ADV,ככה,felly
764,noch::ADV,עוד,eto
765,noch::ADV,עדין,eto
766,nur::ADV,רק,yn unig
767,schon::ADV,כבר,eisoes
768,schon::ADV,כבר,yn barod
769,wieder::ADV,שוב,drachefn
770,vergebens::ADV,לריק,yn ofer
771,vergebens::ADV,לשוא,yn ofer
772,vor::PRP,מול,o flaen
773,hinter::PRP,מאחורי,ar ôl
774,unter::PRP,מתחת,islaw
775,durch::PRP,דרך,trwy
776,neben::PRP,ליד,ar bwys
777,neben::PRP,על-יד,ar bwys
778,zwischen::PRP,בין,rhwng
779,zwischen::PRP,בין,cydrhwng
780,wegen::PRP,בשל,o achos
781,wegen::PRP,בשל,oherwydd
782,wegen::PRP,בגלל,o achos
783,wegen::PRP,בגלל,oherwydd
784,dies::PRN,זה,hyn
785,das::PRN,זה,hynny
786,alles::PRN,הכל,popeth
787,ich::PRN,אני,fi
788,du::PRN,את,ti
789,du::PRN,אתה,ti
790,er::PRN,הוא,fe
