,Concept_ID,be,kk
166,Hund::N,сабака,ит
167,Katze::N,кошка,мысық
168,Bär::N,мядзведзь,аю
169,Eichhörnchen::N,вавёрка,тиін
170,Elch::N,лось,бұғы
171,Fuchs::N,ліса,түлкі
172,Hase::N,заяц,қоян
173,Maus::N,мыш,қаптесер
174,Wolf::N,воўк,бөрі
175,Wolf::N,воўк,қасқыр
176,Vogel::N,птах,құс
177,Vogel::N,птушка,құс
178,Schwarm::N,чарада,топ
179,Schwarm::N,чарада,үйір
180,Huhn::N,курыца,тауық
181,Huhn::N,курыца,мекиен
182,Hahn::N,певень,әтеш
183,Hahn::N,певень,қораз
184,Gans::N,гусь,қаз
185,Adler::N,арол,бүркіт
186,Ente::N,качка,үйрек
187,Eule::N,сава,жапалақ
188,Kranich::N,жораў,тырна
189,Kranich::N,журавель,тырна
190,Krähe::N,варона,қарға
191,Kuckuck::N,зязюля,көкек
192,Schwan::N,лебедзь,аққу
193,Fisch::N,рыба,балық
194,Barsch::N,акунь,алабұға
195,Hecht::N,шчупак,шортан
196,Schlange[Tier]::N,змяя,жылан
197,Wurm::N,чарвяк,шұбалшаң
198,Spinne::N,павук,өрмекші
199,Ameise::N,мурашка,қүмырска
200,Laus::N,вош,бит
201,Mücke::N,камар,маса
202,Fliege::N,муха,шыбын
203,Schmetterling::N,матыль,көбелек
204,Beere::N,ягада,жидек
205,Apfel::N,яблык,алма
206,Pilz::N,грыб,қозықұйрық
207,Pilz::N,грыб,саңыраукулақ
208,Zwiebel::N,цыбуля,жуа
209,Saat::N,семя,тұқым
210,Korn::N,зерне,дән
211,Heu::N,сена,шөп
212,Schale::N,шалупінне,қабық
213,Schale::N,шалупінне,қабығы
214,Grube::N,яма,ор
215,Falle::N,пастка,дұзақ
216,Falle::N,пастка,қақпан
217,Schlinge::N,сіло,ілмек
218,Spur::N,след,із
219,Asche::N,попел,күл
220,Dreck::N,бруд,былғаныш
221,Eisen::N,жалеза,темір
222,Gold::N,золата,алтын
223,Silber::N,сребра,күміс
224,Kohle::N,вугаль,көмір
225,Glas::N,шкло,шыны
226,Lehm::N,гліна,балшық
227,Sand::N,пясок,құм
228,Mensch::N,чалавек,адам
229,Mann::N,мужчына,еркек
230,Mann::N,мужчына,ер адам
231,Frau::N,жанчына,бике
232,Frau::N,жанчына,қатын
233,Kind::N,дзіця,бала
234,Kind::N,дзіця,перзент
235,Junge::N,хлопчык,бала
236,Junge::N,хлопчык,ер бала
237,Mädchen::N,дзяўчынка,қыз
238,Familie::N,сямʼя,жанұя
239,Großvater::N,дзядуля,ата
240,Großmutter::N,бабуля,әже
241,Großmutter::N,бабуля,әжей
242,Eltern::N,бацькі,ата-аналар
243,Vater::N,бацька,әке
244,Mutter::N,маці,ана
245,Sohn::N,сын,ұл
246,Tochter::N,дачка,қызым
247,Bruder::N,брат,бауырым
248,Schwester::N,сястра,әпке
249,Onkel::N,дзядзька,көке
250,Tante::N,цётка,тәте
251,Ehemann::N,муж,ер
252,Ehefrau::N,жонка,зайып
253,Freude::N,радасць,қуаныш
254,Freude::N,радасць,сүйініш
255,Freude::N,радасць,шат-думан
256,Freude::N,радасць,қуаныштылық
257,Gelächter::N,смех,күлу
258,Glück::N,шчасце,бақыт
259,Glück::N,шчасце,бақыттылық
260,Kummer::N,гора,аза
261,Kummer::N,гора,қайғы
262,Kummer::N,гора,қасырет
263,Wunsch::N,жаданне,мүдде
264,Lust::N,цяга,тәбет
265,Lust::N,цяга,ынтызар
266,Lust::N,цяга,құштарлық
267,Geist::N,дух,рух
268,Gedanke::N,думка,ой
269,Gedächtnis::N,памяць,ес
270,Gedächtnis::N,памяць,жады
271,Gedächtnis::N,памяць,ақыл-ес
272,Verstand::N,розум,ақыл
273,Verstand::N,розум,парасат
274,Sinn::N,сэнс,мән
275,Sinn::N,сэнс,маныз
276,Sinn::N,сэнс,мағына
277,Sinn::N,сэнс,мән-мағына
278,Grund::N,зачэпка,себеп
279,Wahrheit::N,праўда,рас
280,Gespräch::N,размова,әңгіме
281,Märchen::N,казка,ертеп
282,Märchen::N,казка,ертек
283,Erzählung::N,расказ,әңгіме
284,Erzählung::N,апавяданне,әңгіме
285,Nachricht::N,вестка,хабар
286,Nachricht::N,паведамленне,хабар
