,Concept_ID,en,no
250,Gespräch::N,talk,samtale
251,Märchen::N,fairy tale,eventyr
252,Erzählung::N,story,fortelling
253,Nachricht::N,message,melding
254,Neuigkeit::N,news,nyhet
255,Name::N,name,navn
256,Rätsel::N,puzzle,gåte
257,Rede::N,speech,tale
258,Sprache::N,language,språk
259,Stimme::N,voice,stemme
260,Wort::N,word,ord
261,Zeichen::N,sign,tegn
262,Ruf::N,call,rop
263,Lärm::N,noise,bråk
264,Laut::N,sound,lyd
265,Ton::N,tone,tone
266,Lied::N,song,vise
267,Ruhe::N,calm,ro
268,Leute::N,people,folk
269,Volk::N,nation,folk
270,Arbeit::N,work,arbeid
271,Gast::N,guest,gjest
272,Geschenk::N,gift,gave
273,Spiel::N,game,lek
274,Spiel::N,game,spill
275,Gesellschaft::N,company,selskap
276,Hilfe::N,help,hjelp
277,Freund::N,friend,venn
278,Kamerad::N,companion,kamerat
279,Angelegenheit::N,matter,sak
280,Angelegenheit::N,matter,anliggende
281,Anzahl::N,count,antall
282,Art::N,sort,art
283,Art::N,sort,slag
284,Stück::N,piece,stykke
285,Teil::N,part,del
286,Hälfte::N,half,halvdel
287,Kreis::N,circle,ring
288,Kreis::N,circle,sirkel
289,Kreuz::N,cross,kors
290,Kreuz::N,cross,kryss
291,Linie::N,line,linje
292,Strich::N,stroke,strek
293,Abstand::N,gap,avstand
294,Entfernung::N,distance,avstand
295,Gegend::N,area,strøk
296,Platz::N,space,plass
297,Ort::N,place,sted
298,Seite::N,side,side
299,Mitte::N,middle,midte
300,Gegenstand::N,item,gjenstand
301,Sache::N,thing,sak
302,Rand::N,fringe,rand
303,Kante::N,edge,kant
304,Ecke::N,corner,hjørne
305,Spitze::N,tip,spiss
306,Ende::N,end,ende
307,Loch::N,hole,hull
308,Winkel::N,angle,vinkel
309,Muster::N,pattern,mønster
310,Größe::N,size,størrelse
311,Länge::N,length,lengde
312,Höhe::N,height,høyde
313,Gewicht::N,weight,vekt
314,Menge::N,amount,mengde
315,Haufen::N,heap,haug
316,Haufen::N,heap,bunke
317,Reihe::N,row,rekke
318,Boot::N,boat,båt
319,Ruder::N,oar,åre
320,Schlitten::N,sleigh,slede
321,Schlitten::N,sleigh,kjelke
322,Ski::N,ski,ski
323,Lagerfeuer::N,campfire,leirbål
324,Last::N,load,bør
325,Last::N,load,last
326,Gang::N,walk,gang
327,Schritt::N,step,steg
328,Schritt::N,step,skritt
329,Norden::N,north,nord
330,Süden::N,south,sør
331,Westen::N,west,vest
332,Osten::N,east,øst
333,Holz::N,wood,tre
334,Brett::N,board,fjøl
335,Brett::N,board,brett
336,Platte::N,slab,plate
337,Stütze::N,bracket,støtte
338,Stange::N,pole,stang
339,Stock::N,stick,pinne
340,Stab::N,staff,stav
341,Stab::N,staff,kjepp
342,Rohr::N,pipe,rør
343,Haus::N,house,hus
344,Heim::N,home,hjem
345,Ofen::N,stove,ovn
346,Fußboden::N,floor,gulv
347,Tisch::N,table,bord
348,Stuhl::N,chair,stol
349,Wiege::N,cradle,vogge
350,Bett::N,bed,seng
351,Regal::N,shelf,reol
352,Regal::N,shelf,hylle
353,Kiste::N,box,kasse
354,Fenster::N,window,vindu
355,Tür::N,door,dør
356,Tor::N,gate,port
357,Zaun::N,fence,gjerde
358,Dach::N,roof,tak
359,Leiter::N,ladder,stige
360,Besen::N,broom,kost
361,Spaten::N,spade,spade
362,Schaufel::N,shovel,skuffe
363,Gabel::N,fork,gaffel
364,Löffel::N,spoon,skje
365,Messer::N,knife,kniv
366,Nagel::N,nail,spiker
367,Netz::N,net,nett
368,Haken::N,hook,krok
369,Griff::N,handle,tak
370,Griff::N,handle,håndtak
371,Schloss::N,lock,lås
372,Bild::N,picture,bilde
373,Figur::N,figure,figur
374,Puppe::N,doll,dukke
375,Beutel::N,pouch,pose
376,Bündel::N,bundle,bylt
377,Tasche::N,bag,veske
378,Eimer::N,bucket,bøtte
379,Deckel::N,cover,lokk
380,Geschirr::N,dishes,kjøkkentøy
381,Sack::N,sack,sekk
382,Tasse::N,cup,kopp
383,Topf::N,pot,gryte
384,Kessel::N,kettle,kjele
385,Essen::N,meal,mål
386,Nahrung::N,food,mat
387,Nahrung::N,food,næring
388,Speise::N,dish,matrett
389,Fleisch::N,meat,kjøtt
390,Getreide::N,corn,korn
391,Brei::N,mush,grøt
392,Brot::N,bread,brød
393,Scheibe::N,slice,skive
394,Fett::N,fat,fett
395,Butter::N,butter,smør
396,Öl::N,oil,olje
397,Salz::N,salt,salt
398,Suppe::N,soup,suppe
399,Honig::N,honey,honning
400,Milch::N,milk,melk
401,Tee::N,tea,te
402,Leder::N,leather,lær
403,Leder::N,leather,skinn
404,Wolle::N,wool,ull
405,Stoff::N,cloth,tøy
406,Stoff::N,cloth,stoff
407,Nadel::N,needle,nål
408,Faden::N,thread,tråd
409,Knopf::N,button,knapp
410,Knoten::N,knot,knute
411,Farbe::N,paint,farge
412,Kleidung::N,clothes,påkledning
413,Hemd::N,shirt,skjorte
414,Kragen::N,collar,krage
415,Ärmel::N,sleeve,erme
416,Hose::N,trousers,bukse
417,Gürtel::N,belt,belte
418,Mütze::N,cap,lue
419,Schuh::N,shoe,sko
420,Stiefel::N,boot,støvel
421,Ring::N,ring,ring
422,Band::N,ribbon,band
423,Kamm::N,comb,kam
424,Spiegel::N,mirror,speil
425,Riemen::N,strap,rem
426,Schnur::N,string,snor
427,Leine::N,leash,line
428,Decke::N,blanket,teppe
429,Kissen::N,pillow,pute
430,Tuch::N,scarf,tøy
431,Handtuch::N,towel,håndkle
432,Kraft::N,force,kraft
433,Stärke::N,strength,styrke
434,Gesundheit::N,health,helse
435,Gesundheit::N,health,sunnhet
436,Krankheit::N,illness,syke
437,Krankheit::N,illness,sykdom
438,Schmerz::N,pain,smerte
439,Wunde::N,wound,sår
440,Fieber::N,fever,feber
441,Arznei::N,medicine,medisin
442,Arznei::N,medicine,legemiddel
443,Brücke::N,bridge,bro
444,Brunnen::N,well,brønn
445,Weide::N,pasture,beite
446,Pfad::N,path,sti
447,Weg::N,way,vei
448,Straße::N,road,gate
449,Dorf::N,village,landsby
450,Stadt::N,town,by
451,Brief::N,letter,brev
452,Buch::N,book,bok
453,Buchstabe::N,character,bokstav
454,Zeitung::N,newspaper,avis
455,Leben::N,life,liv
456,Tod::N,death,død
457,Grab::N,grave,grav
458,Kirche::N,church,kirke
459,Sünde::N,sin,synd
460,Gott::N,god,gud
461,Arbeiter::N,worker,arbeider
462,Chef::N,boss,sjef
463,Meister::N,master,mester
464,Arzt::N,doctor,lege
465,Lehrer::N,teacher,lærer
466,Geld::N,money,penger
467,Geschäft::N,business,forretning
468,Laden::N,shop,butikk
469,Preis::N,price,pris
470,Ware::N,ware,vare
471,Nutzen::N,profit,nytte
472,Reichtum::N,wealth,rikdom
473,Welt::N,world,verden
474,Land::N,country,land
475,Staat::N,state,stat
476,König::N,king,konge
477,Macht::N,power,makt
478,Grenze::N,border,grense
479,Krieg::N,war,krig
480,Feind::N,enemy,fiende
481,Gewalt::N,violence,vold
482,Kampf::N,fight,kamp
483,Bogen[Waffe]::N,bow,bue
484,Pfeil::N,arrow,pil
485,Gewehr::N,gun,gevær
486,Fehler::N,mistake,feil
487,Lüge::N,lie,løgn
488,Schaden::N,damage,skade
489,Unglück::N,misfortune,uhell
490,Schuld::N,fault,skyld
491,Alter::N,age,alder
492,Schluss::N,conclusion,slutt
493,Zeit::N,time,tid
494,Tag::N,day,dag
495,Morgen::N,morning,morgen
496,Mittag::N,noon,middag
497,Abend::N,evening,aften
498,Nacht::N,night,natt
499,Woche::N,week,uke
500,Monat::N,month,måned
501,Jahr::N,year,år
502,Frühling::N,spring,vår
503,Sommer::N,summer,sommer
504,Herbst::N,autumn,høst
505,Winter::N,winter,vinter
506,Januar::N,January,januar
507,Februar::N,February,februar
508,März::N,March,mars
509,April::N,April,april
510,Mai::N,May,mai
511,Juni::N,June,juni
512,Juli::N,July,juli
513,August::N,August,august
514,September::N,September,september
515,Oktober::N,October,oktober
516,November::N,November,november
517,Dezember::N,December,desember
518,Montag::N,Monday,mandag
519,Dienstag::N,Tuesday,tirsdag
520,Mittwoch::N,Wednesday,onsdag
521,Donnerstag::N,Thursday,torsdag
522,Freitag::N,Friday,fredag
523,Samstag::N,Saturday,lørdag
524,Sonntag::N,Sunday,søndag
525,groß::A,big,stor
526,klein::A,little,liten
527,lang::A,long,lang
528,kurz::A,short,kort
529,breit::A,wide,bred
530,schmal::A,narrow,smal
531,dicht::A,dense,tett
532,dick[Gegenstand]::A,thick,tykk
533,dünn::A,thin,tynn
534,fein::A,delicate,fin
535,fest::A,firm,fast
536,flach::A,flat,flat
537,glatt::A,smooth,glatt
538,hart::A,hard,hard
539,weich::A,soft,myk
540,weich::A,soft,bløt
541,rund::A,round,rund
542,spitz::A,pointed,spiss
543,scharf::A,sharp,kvass
544,stumpf::A,blunt,stubb
545,schwer::A,heavy,tung
546,schön::A,beautiful,pen
547,schön::A,beautiful,vakker
548,heiß::A,hot,het
549,warm::A,warm,varm
550,kalt::A,cold,kald
551,kühl::A,cool,kjølig
552,frisch::A,fresh,fersk
553,feucht::A,damp,fuktig
554,nass::A,wet,våt
555,trocken::A,dry,tørr
556,voll::A,full,full
557,leer::A,empty,tom
558,offen::A,open,åpen
559,geschlossen::A,closed,lukket
560,sauber::A,clean,ren
561,schmutzig::A,dirty,skitten
562,roh::A,raw,rå
563,reif::A,ripe,moden
564,lecker::A,delicious,lekker
565,süß::A,sweet,søt
566,bitter::A,bitter,besk
567,bitter::A,bitter,bitter
568,sauer::A,sour,sur
569,hell::A,bright,lys
570,dunkel::A,dark,mørk
571,schwarz::A,black,svart
572,weiß::A,white,hvit
573,rot::A,red,rød
574,gelb::A,yellow,gul
575,blau::A,blue,blå
576,grün::A,green,grønn
577,grau::A,grey,grå
578,bunt::A,colourful,broket
579,bunt::A,colorful,broket
580,billig::A,cheap,billig
581,teuer::A,dear,dyr
582,wertvoll::A,precious,verdifull
583,blind::A,blind,blind
584,taub::A,deaf,døv
585,kräftig::A,powerful,kraftig
586,stark::A,strong,sterk
587,schwach::A,weak,svak
588,fett::A,fat,fet
589,schlank::A,slim,slank
590,hübsch::A,pretty,pen
591,böse::A,evil,slem
592,dumm::A,stupid,dum
593,faul::A,lazy,lat
594,faul::A,lazy,doven
595,fleißig::A,diligent,flittig
596,geizig::A,stingy,gjerrig
597,klug::A,clever,klok
598,geschickt::A,skilful,hendig
599,geschickt::A,skilful,skikket
600,geschickt::A,skillful,hendig
601,geschickt::A,skillful,skikket
602,lieb::A,dear,kjær
603,lieb::A,dear,snill
604,lustig::A,merry,morsom
605,sanft::A,gentle,blid
606,hungrig::A,hungry,sulten
607,krank::A,sick,syk
608,nackt::A,naked,naken
609,traurig::A,sad,sørgmodig
610,lebendig::A,living,levende
611,gut::A,good,god
612,schlecht::A,bad,dårlig
613,richtig::A,correct,riktig
614,schlimm::A,nasty,slem
615,wahr::A,true,sann
616,alt::A,old,gammel
617,neu::A,new,ny
618,ehemalig::A,former,forhenværende
619,alt[Lebewesen]::A,aged,gammel
620,jung::A,young,ung
621,arm::A,poor,fattig
622,reich::A,rich,rik
623,bekannt::A,familiar,kjent
624,berühmt::A,famous,berømt
625,fremd::A,foreign,fremmed
626,verschieden::A,different,forskjellig
627,nah::A,near,nær
628,fern::A,far,fjern
629,linker::A,left,venstre
630,rechter::A,right,høyre
631,anderer::A,other,annen
632,erster::A,first,første
633,zweiter::A,second,annen
634,dritter::A,third,tredje
635,letzter::A,last,sist
636,allein::ADV,alone,alene
637,auf einmal::ADV,at once,med ett
638,zusammen::ADV,together,sammen
639,lange::ADV,long,lenge
640,plötzlich::ADV,suddenly,plutselig
641,sofort::ADV,instantly,straks
642,später::ADV,later,senere
643,jetzt::ADV,now,nå
644,heute::ADV,today,i dag
645,morgen::ADV,tomorrow,i morgen
646,bald::ADV,soon,snart
647,dann::ADV,then,så
648,gestern::ADV,yesterday,i går
649,einst::ADV,once,engang
650,damals::ADV,at that time,den gang
651,danach::ADV,afterwards,deretter
652,vorher::ADV,before,før
653,vorher::ADV,before,i forveien
654,zuerst::ADV,at first,først
655,einmal::ADV,once,en gang
656,manchmal::ADV,sometimes,somme tider
657,oft::ADV,often,ofte
658,immer::ADV,always,alltid
659,niemals::ADV,never,aldri
660,hier::ADV,here,her
661,hierhin::ADV,hither,hit
662,hierhin::ADV,to here,hit
663,hierhin::ADV,here,hit
664,von hier::ADV,hence,herfra
665,dort::ADV,there,der
666,dorthin::ADV,thither,dit
667,dorthin::ADV,there,dit
668,dorthin::ADV,to there,dit
669,geradeaus::ADV,ahead,rett fram
670,vorwärts::ADV,forward,fram
671,vorwärts::ADV,forward,framover
672,rückwärts::ADV,backward,baklengs
673,zurück::ADV,back,tilbake
674,unten::ADV,below,nede
675,hinab::ADV,down,ned
676,hinab::ADV,down,nedover
677,oben::ADV,above,oppe
678,oben::ADV,above,ovenpå
679,hinauf::ADV,up,opp
680,hinauf::ADV,up,oppover
681,überall::ADV,everywhere,overalt
682,nicht::ADV,not,ikke
683,ein wenig::ADV,a little,litt
684,kaum::ADV,hardly,neppe
685,sehr::ADV,very,svært
686,so::ADV,so,så
687,noch::ADV,still,enda
688,nur::ADV,only,bare
689,schon::ADV,already,alt
690,schon::ADV,already,allerede
691,wieder::ADV,again,igjen
692,vergebens::ADV,in vain,forgjeves
693,vor::PRP,in front of,foran
694,vor::PRP,in front of,utenfor
695,hinter::PRP,behind,bak
696,hinter::PRP,behind,bakom
697,unter::PRP,under,under
698,durch::PRP,through,gjennom
699,durch::PRP,through,igjennom
700,neben::PRP,next to,ved siden av
701,zwischen::PRP,between,mellom
702,wegen::PRP,because of,på grunn av
703,dies::PRN,this,dette
704,das::PRN,that,det
705,alles::PRN,everything,alt
706,ich::PRN,I,jeg
707,du::PRN,you,du
708,du::PRN,thou,du
709,er::PRN,he,han
710,wir::PRN,we,vi
711,ihr::PRN,you,dere
712,sie::PRN,they,de
713,was::FPRN,what,hva
714,wer::FPRN,who,hvem
715,wo::FADV,where,hvor
716,wohin::FADV,where ... to,hvor ... hen
717,wohin::FADV,where to,hvor ... hen
718,wohin::FADV,where,hvor ... hen
719,wie::FADV,how,hvordan
720,warum::FADV,why,hvorfor
721,wieviel::FNUM,how much,hvor mye
722,eins::NUM,one,en
723,eins::NUM,one,ett
724,zwei::NUM,two,to
725,drei::NUM,three,tre
726,vier::NUM,four,fire
727,fünf::NUM,five,fem
728,sechs::NUM,six,seks
729,sieben::NUM,seven,sju
730,acht::NUM,eight,åtte
731,neun::NUM,nine,ni
732,zehn::NUM,ten,ti
733,elf::NUM,eleven,elleve
734,zwölf::NUM,twelve,tolv
735,zwanzig::NUM,twenty,tjue
736,dreißig::NUM,thirty,tretti
737,vierzig::NUM,forty,førti
738,fünfzig::NUM,fifty,femti
739,sechzig::NUM,sixty,seksti
740,siebzig::NUM,seventy,sytti
741,achtzig::NUM,eighty,åtti
742,neunzig::NUM,ninety,nitti
743,hundert::NUM,a hundred,hundre
744,tausend::NUM,a thousand,tusen
745,und::CNJ,and,og
746,oder::CNJ,or,eller
747,stehen::V,stand,stå
748,sitzen::V,sit,sitte
749,liegen::V,lie,ligge
750,hängen::V,hang,henge
751,werden::V,become,bli
752,passieren::V,happen,skje
753,passieren::V,happen,hende
754,beginnen::V,begin,begynne
755,enden::V,end,ende
756,enden::V,end,slutte
757,wechseln::V,change,veksle
758,aufgehen[Sonne]::V,rise,stå opp
759,untergehen[Sonne]::V,set,gå ned
760,scheinen[Sonne]::V,shine,skinne
761,donnern::V,thunder,tordne
762,wehen::V,blow,blåse
763,strömen::V,stream,strømme
764,fließen::V,flow,flyte
765,sich drehen::V,revolve,dreie seg
766,schwanken::V,sway,svaie
767,schwingen::V,swing,svinge
768,fallen::V,fall,falle
769,brennen::V,burn,brenne
770,rauchen::V,smoke,ryke
771,regnen::V,rain,regne
772,gefrieren::V,freeze,fryse
773,tauen::V,thaw,tine
774,schmelzen::V,melt,smelte
775,trocknen::V,dry,tørre
776,sieden::V,boil,koke
777,faulen::V,rot,råtne
778,verfaulen::V,decay,råtne
779,reißen::V,snap,briste
780,versinken::V,sink,synke
781,versinken::V,sink,synke ned
782,vergehen::V,pass,forløpe
783,erscheinen::V,appear,synes
784,verschwinden::V,disappear,forsvinne
785,sinken::V,drop,synke
786,abnehmen::V,decrease,avta
787,abnehmen::V,decrease,minske
788,zunehmen::V,increase,tilta
789,steigen::V,rise,stige
790,wachsen::V,grow,gro
791,wachsen::V,grow,vokse
792,glänzen::V,shine,skinne
793,funkeln::V,sparkle,tindre
794,lärmen::V,be noisy,bråke
795,läuten::V,chime,ringe
796,klingeln::V,ring,ringe
797,klirren::V,tinkle,klirre
798,brausen::V,roar,bruse
799,rauschen::V,rustle,suse
800,klingen::V,sound,lyde
801,klingen::V,sound,klinge
802,bellen::V,bark,gjø
803,bellen::V,bark,bjeffe
804,heulen::V,howl,ule
805,blasen::V,blow,blåse
806,pfeifen::V,whistle,plystre
807,schreien::V,shout,skrike
808,stöhnen::V,groan,stønne
809,zittern::V,tremble,dirre
810,zittern::V,tremble,skjelve
811,leben::V,be alive,leve
812,geboren werden::V,be born,fødes
813,atmen::V,breathe,ånde
814,atmen::V,breathe,puste
815,trinken::V,drink,drikke
816,essen::V,eat,spise
817,schlucken::V,swallow,svelge
818,müde werden::V,get tired,bli trett
819,einschlafen::V,fall asleep,sovne
820,schlafen::V,sleep,sove
821,aufwachen::V,wake up,våkne
822,aufstehen::V,get up,stå opp
823,sich erholen::V,relax,bli bra
824,sich erholen::V,relax,komme seg
825,krank werden::V,fall ill,bli syk
826,krank sein::V,be ill,være syk
827,schmerzen::V,ache,gjøre vondt
828,husten::V,cough,hoste
829,genesen::V,recover,komme seg
830,sterben::V,die,dø
831,umkommen::V,perish,omkomme
832,sich bewegen::V,move,bevege seg
833,sich rühren::V,budge,røre på seg
834,sich erheben::V,stand up,reise seg
835,sich setzen::V,sit down,sette sig
836,hinfallen::V,tumble,falle over ende
837,laufen::V,walk,løpe
838,schreiten::V,pace,skride
839,spazierengehen::V,go for a walk,spasere
840,spazierengehen::V,go for a walk,gå en tur
841,eilen::V,rush,ile
842,sich beeilen::V,hurry,skynde seg
843,sausen::V,dash,suse
844,rennen::V,run,løpe
845,springen::V,jump,hoppe
846,springen::V,jump,springe
847,klettern::V,climb,klatre
848,schaukeln::V,seesaw,huske
849,kriechen::V,creep,krype
850,schwimmen::V,swim,svømme
851,tauchen::V,dive,dykke
852,rudern::V,row,ro
853,fahren::V,drive,kjøre
854,fliegen::V,fly,fly
855,gehen::V,go,gå
856,weggehen::V,go away,gå bort
857,abfahren::V,depart,reise
858,anhalten::V,stop,stanse
859,hineingehen::V,go in,gå inn
860,eintreten::V,enter,tre inn
861,kommen::V,come,komme
862,ankommen::V,arrive,ankomme
863,ankommen::V,arrive,komme til
864,zurückkommen::V,come back,komme tilbake
865,bleiben::V,stay,bli
866,bleiben::V,stay,forbli
867,warten::V,wait,vente
868,erwarten::V,wait for,vente
869,suchen::V,seek,søke
870,suchen::V,look for,søke
871,finden::V,find,finne
872,versuchen::V,try,prøve
873,versuchen::V,try,forsøke
874,vorbereiten::V,prepare,forberede
875,lieben::V,love,elske
876,mögen::V,like,like
877,lachen::V,laugh,le
878,rühren::V,move,røre
879,weinen::V,weep,gråte
880,schimpfen::V,grumble,skjelle
881,sich ärgern::V,be annoyed,ergre seg
882,sich fürchten::V,be afraid,være redd
883,fürchten::V,be afraid of,være redd for
884,fliehen::V,flee,rømme
885,fliehen::V,flee,flykte
886,flüchten::V,escape,flykte
887,sehen::V,see,se
888,anschauen::V,look at,se på
889,anschauen::V,look at,betrakte
890,ansehen::V,watch,anse
891,hören::V,hear,høre
892,zuhören::V,listen,tilhøre
893,probieren::V,taste,smake
894,probieren::V,taste,smake på
895,riechen::V,smell,lukte
896,fühlen::V,feel,føle
