,Concept_ID,da,zh
98,Berg::N,bjerg,山
99,Gipfel::N,top,峰
100,Höhle::N,hule,洞穴
101,Abhang::N,skrænt,斜坡
102,Abhang::N,skråning,斜坡
103,Quelle::N,kilde,泉
104,Bach::N,bæk,溪
105,Fluss::N,flod,河流
106,Ufer::N,bred,岸
107,Küste::N,kyst,海岸
108,Festland::N,fastland,大陆
109,Meer::N,hav,海
110,Bucht::N,bugt,海湾
111,Insel::N,ø,岛
112,Blume::N,blomst,花
113,Gras::N,græs,草
114,Wurzel::N,rod,根
115,Baum::N,træ,树
116,Stamm::N,stamme,树干
117,Rinde::N,bark,树皮
118,Ast::N,gren,树枝
119,Zweig::N,kvist,树枝
120,Blatt::N,blad,叶子
121,Birke::N,birk,桦木
122,Kiefer[Baum]::N,fyrretræ,松树
123,Weide[Baum]::N,piletræ,柳树
124,Tanne::N,gran,冷杉
125,Horn::N,horn,角
126,Feder::N,fjer,羽毛
127,Fell::N,skind,皮毛
128,Flügel::N,vinge,翅膀
129,Klaue::N,klov,爪子
130,Kralle::N,klo,爪子
131,Schwanz::N,hale,尾巴
132,Ei::N,æg,蛋
133,Nest::N,rede,巢
134,Bau::N,bo,穴
135,Tier::N,dyr,动物
136,Herde::N,flok,群
137,Kuh::N,ko,母牛
138,Bulle::N,tyr,公牛
139,Pferd::N,hest,马
140,Schaf::N,får,羊
141,Schwein::N,gris,猪
142,Hund::N,hund,狗
143,Katze::N,kat,猫
144,Bär::N,bjørn,熊
145,Eichhörnchen::N,egern,松鼠
146,Elch::N,elg,麋鹿
147,Fuchs::N,ræv,狐狸
148,Hase::N,hare,兔子
149,Maus::N,mus,老鼠
150,Wolf::N,ulv,狼
151,Vogel::N,fugl,鸟
152,Schwarm::N,sværm,群
153,Huhn::N,høne,鸡
154,Hahn::N,hane,公鸡
155,Gans::N,gås,鹅
156,Adler::N,ørn,鹰
157,Ente::N,and,鸭
158,Eule::N,ugle,猫头鹰
159,Kranich::N,trane,鹤
160,Krähe::N,krage,乌鸦
161,Kuckuck::N,gøg,布谷鸟
162,Schwan::N,svane,天鹅
163,Fisch::N,fisk,鱼
164,Barsch::N,aborre,鲈鱼
165,Hecht::N,gedde,狗鱼
166,Schlange[Tier]::N,slange,蛇
167,Wurm::N,orm,蠕虫
168,Spinne::N,edderkop,蜘蛛
169,Ameise::N,myre,蚂蚁
170,Laus::N,lus,虱子
171,Mücke::N,myg,蚊子
172,Fliege::N,flue,苍蝇
173,Schmetterling::N,sommerfugl,蝴蝶
174,Beere::N,bær,将果
175,Apfel::N,æble,苹果
176,Pilz::N,svamp,蘑菇
177,Zwiebel::N,løg,洋葱
178,Saat::N,sæd,种子
179,Korn::N,korn,谷粒
180,Heu::N,hø,干草
181,Schale::N,skræl,壳
182,Grube::N,grav,坑
183,Falle::N,fælde,圈套
184,Schlinge::N,snare,活扣
185,Spur::N,spor,踪迹
186,Asche::N,aske,灰烬
187,Dreck::N,snavs,污垢
188,Eisen::N,jern,铁
189,Gold::N,guld,金子
190,Silber::N,sølv,银
191,Kohle::N,kul,煤
192,Glas::N,glas,玻璃
193,Lehm::N,ler,粘土
194,Sand::N,sand,沙
195,Mensch::N,mennesge,人
196,Mann::N,mand,男子
197,Frau::N,kvinde,妇女
198,Kind::N,barn,小孩
199,Junge::N,dreng,男孩
200,Mädchen::N,pige,女孩
201,Familie::N,familie,家庭
202,Großvater::N,bedstefar,祖父
203,Großmutter::N,bedstemor,祖母
204,Eltern::N,forældre,父母
205,Vater::N,far,父亲
206,Mutter::N,mor,母亲
207,Sohn::N,søn,儿子
208,Tochter::N,datter,女儿
209,Bruder::N,bror,兄弟
210,Schwester::N,søster,姐妹
211,Onkel::N,onkel,伯父
212,Tante::N,tante,阿姨
213,Ehemann::N,ægtemand,丈夫
214,Ehefrau::N,hustru,妻子
215,Freude::N,glæde,愉快
216,Gelächter::N,latter,大笑
217,Glück::N,lykke,运气
218,Kummer::N,sorg,苦恼
219,Wunsch::N,ønske,愿望
220,Lust::N,lyst,乐趣
221,Geist::N,ånd,精神
222,Gedanke::N,tanke,思想
223,Gedächtnis::N,hukommelse,记性
224,Verstand::N,forstand,理智
225,Sinn::N,mening,感觉
226,Sinn::N,betydning,感觉
227,Grund::N,grund,理由
228,Wahrheit::N,sandhed,真理
229,Gespräch::N,samtale,谈话
230,Märchen::N,eventyr,童话
231,Erzählung::N,fortælling,故事
232,Nachricht::N,efterretning,消息
233,Neuigkeit::N,nyhed,新闻
234,Name::N,navn,名字
235,Rätsel::N,gåde,谜语
236,Rede::N,tale,讲话
237,Sprache::N,sprog,语言
238,Stimme::N,stemme,声音
239,Wort::N,ord,词
240,Zeichen::N,tegn,标记
241,Ruf::N,råb,呼喊
242,Lärm::N,larm,噪音
243,Laut::N,lyd,响声
244,Ton::N,tone,声音
245,Lied::N,sang,歌曲
246,Ruhe::N,ro,安静
247,Ruhe::N,hvile,安静
248,Leute::N,folk,人们
249,Leute::N,mennesker,人们
250,Volk::N,folk,人民
251,Arbeit::N,arbejde,劳动
252,Gast::N,gæst,客人
253,Geschenk::N,gave,礼物
254,Spiel::N,leg,游戏
255,Gesellschaft::N,selskab,陪同
256,Hilfe::N,hjælp,帮助
257,Freund::N,ven,朋友
258,Kamerad::N,kammerat,同志
259,Angelegenheit::N,sag,事情
260,Angelegenheit::N,anliggende,事情
261,Anzahl::N,antal,数目
262,Art::N,art,种类
263,Stück::N,stykke,块
264,Teil::N,del,部分
265,Hälfte::N,halvdel,一半
266,Kreis::N,cirkel,圆
267,Kreuz::N,kors,十字架
268,Kreuz::N,kryds,十字架
269,Linie::N,linie,线条
270,Strich::N,streg,划
271,Abstand::N,afstand,距离
272,Entfernung::N,afstand,距离
273,Gegend::N,egn,地区
274,Platz::N,plads,场所
275,Ort::N,sted,地点
276,Seite::N,side,面
277,Mitte::N,midte,中间
278,Gegenstand::N,genstand,物品
279,Sache::N,sag,物
280,Rand::N,rand,边
281,Kante::N,kant,棱
282,Ecke::N,hjørne,角
283,Spitze::N,spids,尖
284,Ende::N,ende,结尾
285,Loch::N,hul,洞
286,Winkel::N,vinkel,角度
287,Muster::N,mønster,模型
288,Größe::N,størrelse,大小
289,Länge::N,længde,长度
290,Höhe::N,højde,高度
291,Gewicht::N,vægt,重量
292,Menge::N,mængde,数量
293,Haufen::N,bunke,堆
294,Reihe::N,række,行
295,Boot::N,båd,小船
296,Ruder::N,åre,奖
297,Schlitten::N,kælk,雪橇
298,Schlitten::N,slæde,雪橇
299,Ski::N,ski,雪板
300,Lagerfeuer::N,lejrbål,营火
301,Last::N,last,负担
302,Last::N,byrde,负担
303,Gang::N,gang,行走
304,Schritt::N,skridt,步伐
305,Norden::N,nord,北
306,Süden::N,syd,南
307,Westen::N,vest,西
308,Osten::N,øst,东
309,Holz::N,træ,木材
310,Brett::N,bræt,木板
311,Platte::N,plade,平板
312,Stütze::N,støtte,支架
313,Stange::N,stang,杆
314,Stock::N,stok,棒
315,Stab::N,stav,棍
316,Rohr::N,rør,管子
317,Haus::N,hus,房屋
318,Heim::N,hjem,家
319,Ofen::N,ovn,炉子
320,Fußboden::N,gulv,地板
321,Tisch::N,bord,桌子
322,Stuhl::N,stol,椅子
323,Wiege::N,vugge,摇蓝
324,Bett::N,seng,床
325,Regal::N,reol,架子
326,Kiste::N,kasse,箱子
327,Fenster::N,vindue,窗户
328,Tür::N,dør,门
329,Tor::N,port,大门
330,Zaun::N,stakit,篱笆
331,Dach::N,tag,屋顶
332,Leiter::N,stige,梯子
333,Besen::N,kost,扫帚
334,Spaten::N,spade,铁锹
335,Schaufel::N,skovl,铁锹
336,Gabel::N,gaffel,叉
337,Löffel::N,ske,食匙
338,Messer::N,kniv,刀
339,Nagel::N,søm,钉子
340,Netz::N,net,网
341,Haken::N,krog,钩子
342,Griff::N,tag,把柄
343,Griff::N,håndtag,把柄
344,Schloss::N,lås,锁
345,Bild::N,billede,图画
346,Figur::N,figur,人像
347,Puppe::N,dukke,娃娃
348,Beutel::N,pose,袋子
349,Bündel::N,bylt,捆
350,Bündel::N,bundt,捆
351,Tasche::N,taske,手提包
352,Eimer::N,spand,桶
353,Deckel::N,låg,盖子
354,Geschirr::N,husgeråd,餐具
355,Sack::N,sæk,袋子
356,Tasse::N,kop,杯子
357,Topf::N,gryde,锅
358,Kessel::N,kedel,水壶
359,Essen::N,måltid,进餐
360,Nahrung::N,mad,食物
361,Nahrung::N,næring,食物
362,Speise::N,ret,菜肴
363,Fleisch::N,kød,肉
364,Getreide::N,korn,谷物
365,Brei::N,grød,粥
366,Brot::N,brød,面包
367,Scheibe::N,skive,片
368,Fett::N,fedt,脂肪
369,Butter::N,smør,黄油
370,Öl::N,olie,油
371,Salz::N,salt,盐
372,Suppe::N,suppe,汤
373,Honig::N,honning,蜂蜜
374,Milch::N,mælk,奶
375,Tee::N,te,茶
376,Leder::N,skind,皮革
377,Wolle::N,uld,毛线
378,Stoff::N,stof,织物
379,Nadel::N,nål,针
380,Faden::N,tråd,线
381,Knopf::N,knap,纽扣
382,Knoten::N,knude,结
383,Farbe::N,farve,颜色
384,Kleidung::N,påklædning,衣服
385,Hemd::N,skjorte,衬衫
386,Kragen::N,krave,领子
387,Ärmel::N,ærme,袖子
388,Hose::N,bukser,裤子
389,Gürtel::N,bælte,腰带
390,Mütze::N,hue,帽子
391,Schuh::N,sko,鞋
392,Stiefel::N,støvle,靴子
393,Ring::N,ring,戒指
394,Band::N,bånd,带子
395,Kamm::N,kam,梳子
396,Spiegel::N,spejl,镜子
397,Riemen::N,rem,皮带
398,Schnur::N,snor,绳子
399,Leine::N,snor,皮带
400,Decke::N,tæppe,被子
401,Kissen::N,pude,软垫
402,Tuch::N,sjaltørklæde,巾
403,Handtuch::N,håndklæde,手巾
404,Kraft::N,kraft,力
405,Stärke::N,styrke,力量
406,Gesundheit::N,sundhed,健康
407,Krankheit::N,sygdom,病
408,Schmerz::N,smerte,痛
409,Wunde::N,sår,伤口
410,Fieber::N,feber,发烧
411,Arznei::N,medicin,药
412,Arznei::N,lægemiddel,药
413,Brücke::N,bro,桥
414,Brunnen::N,brønd,井
415,Weide::N,græsgang,牧场
416,Pfad::N,sti,小路
417,Weg::N,vej,路
418,Straße::N,gade,街
419,Dorf::N,landsby,村庄
420,Stadt::N,by,城市
421,Brief::N,brev,信
422,Buch::N,bog,书
423,Buchstabe::N,bogstav,字母
424,Zeitung::N,avis,报纸
425,Leben::N,liv,生命
426,Tod::N,død,死亡
427,Grab::N,grav,坟墓
428,Kirche::N,kirke,教堂
429,Sünde::N,synd,罪
430,Gott::N,gud,上帝
431,Arbeiter::N,arbejder,工人
432,Chef::N,chef,上司
433,Meister::N,mester,师傅
434,Arzt::N,læge,医生
435,Lehrer::N,lærer,教师
436,Geld::N,penge,钱
437,Geschäft::N,forretning,交易
438,Laden::N,butik,商店
439,Laden::N,forretning,商店
440,Preis::N,pris,价格
441,Ware::N,vare,商品
442,Nutzen::N,nytte,好处
443,Reichtum::N,rigdom,财富
444,Welt::N,verden,世界
445,Land::N,land,国家
446,Staat::N,stat,国家
447,König::N,konge,国王
448,Macht::N,magt,权力
449,Grenze::N,grænse,边界
450,Krieg::N,krig,战争
451,Feind::N,fjende,敌人
452,Gewalt::N,vold,暴力
453,Kampf::N,kamp,战斗
454,Bogen[Waffe]::N,bue,弓
455,Pfeil::N,pil,箭
456,Gewehr::N,gevær,枪
457,Fehler::N,fejl,错误
458,Lüge::N,løgn,谎话
459,Schaden::N,skade,损失
460,Unglück::N,uheld,不幸
461,Unglück::N,ulykke,不幸
462,Schuld::N,skyld,过错
463,Alter::N,alder,年龄
464,Schluss::N,slut,结束
465,Schluss::N,slutning,结束
466,Zeit::N,tid,时间
467,Tag::N,dag,天
468,Morgen::N,morgen,早晨
469,Mittag::N,middag,中午
470,Abend::N,aften,晚上
471,Nacht::N,nat,夜
472,Woche::N,uge,星期
473,Monat::N,måned,月
474,Jahr::N,år,年
475,Frühling::N,forår,春天
476,Sommer::N,sommer,夏天
477,Herbst::N,efterår,秋天
478,Winter::N,vinter,冬天
479,Januar::N,januar,一月
480,Februar::N,februar,二月
481,März::N,marts,三月
482,April::N,april,四月
483,Mai::N,maj,五月
484,Juni::N,juni,六月
485,Juli::N,juli,七月
486,August::N,august,八月
487,September::N,september,九月
488,Oktober::N,oktober,十月
489,November::N,november,十一月
490,Dezember::N,december,十二月
491,Montag::N,mandag,星期一
492,Dienstag::N,tirsdag,星期二
493,Mittwoch::N,onsdag,星期三
494,Donnerstag::N,torsdag,星期四
495,Freitag::N,fredag,星期五
496,Samstag::N,lørdag,星期六
497,Sonntag::N,søndag,星期日
498,groß::A,stor,大
499,klein::A,lille,小
500,lang::A,lang,长
501,kurz::A,kort,短
502,breit::A,bred,宽
503,schmal::A,smal,细长的
504,dicht::A,tæt,密
505,dick[Gegenstand]::A,tyk,厚
506,dünn::A,tynd,薄
507,fein::A,fin,细小
508,fest::A,fast,固体
509,flach::A,flad,平坦
510,glatt::A,glat,光滑
511,hart::A,hård,硬
512,weich::A,blød,软
513,rund::A,rund,圆
514,spitz::A,spids,尖
515,scharf::A,skarp,锋利
516,stumpf::A,sløv,钝
517,stumpf::A,stump,钝
518,schwer::A,tung,重
519,schön::A,skøn,美丽
520,heiß::A,hed,烫
521,warm::A,varm,暖和
522,kalt::A,kold,冷
523,kühl::A,kølig,凉
524,frisch::A,frisk,新鲜
525,feucht::A,fugtig,潮湿
526,nass::A,våd,湿
527,trocken::A,tør,干
528,voll::A,fuld,满
529,leer::A,tom,空
530,offen::A,åben,敞开
531,geschlossen::A,lukket,关闭
532,sauber::A,ren,干净
533,schmutzig::A,snavset,肮脏
534,roh::A,rå,生
535,reif::A,moden,成熟
536,lecker::A,lækker,好吃
537,süß::A,sød,甜
538,bitter::A,bitter,苦
539,sauer::A,sur,酸
540,hell::A,lys,亮
541,dunkel::A,mørk,阴暗
542,schwarz::A,sort,黑
543,weiß::A,hvid,白
544,rot::A,rød,红
545,gelb::A,gul,黄
546,blau::A,blå,蓝
547,grün::A,grøn,绿
548,grau::A,grå,灰色
549,bunt::A,broget,五彩
550,billig::A,billig,便宜
551,teuer::A,dyr,贵
552,wertvoll::A,værdifuld,贵重
553,blind::A,blind,瞎
554,taub::A,døv,聋
555,kräftig::A,kraftig,强壮
556,stark::A,stærk,强壮
557,schwach::A,svag,弱
558,fett::A,fed,胖
559,schlank::A,slank,苗条
560,hübsch::A,køn,漂亮
561,böse::A,ond,邪恶
562,böse::A,slem,邪恶
563,dumm::A,dum,笨
564,faul::A,doven,懒惰
565,fleißig::A,flittig,勤奋
566,geizig::A,gerrig,吝啬
567,klug::A,klog,聪明
568,geschickt::A,dygtig,灵巧
569,geschickt::A,behændig,灵巧
570,lieb::A,rar,可爱
571,lustig::A,lystig,快乐
572,sanft::A,blid,柔和
573,hungrig::A,sulten,饥饿
574,krank::A,syg,患病
575,nackt::A,nøgen,裸体
576,traurig::A,bedrøvet,悲哀
577,lebendig::A,levende,活
578,gut::A,god,好
579,schlecht::A,dårlig,坏
580,richtig::A,rigtig,正确
581,schlimm::A,slem,糟糕
582,wahr::A,sand,真
583,alt::A,gammel,旧
584,neu::A,ny,新
585,ehemalig::A,forhenværende,以前
586,alt[Lebewesen]::A,gammel,老
587,jung::A,ung,年轻
588,arm::A,fattig,贫穷
589,reich::A,rig,富裕
590,bekannt::A,kendt,出名
591,berühmt::A,berømt,著名
592,fremd::A,fremmed,陌生
593,verschieden::A,forskellig,不同
594,nah::A,nær,近
595,fern::A,fjern,遥远
596,linker::A,venstre,左
597,rechter::A,højre,右
598,anderer::A,anden,别的
599,erster::A,første,第一
600,zweiter::A,anden,第二
601,dritter::A,tredje,第三
602,letzter::A,sidste,最后
603,allein::ADV,alene,单独
604,auf einmal::ADV,på én gang,同时
605,zusammen::ADV,sammen,一起
606,lange::ADV,længe,许久
607,plötzlich::ADV,pludselig,忽然
608,sofort::ADV,straks,立刻
609,später::ADV,senere,以后
610,jetzt::ADV,nu,现在
611,heute::ADV,i dag,今天
612,morgen::ADV,i morgen,明天
613,bald::ADV,snart,即将
614,dann::ADV,så,然后
615,gestern::ADV,i går,昨天
616,einst::ADV,engang,曾经
617,damals::ADV,dengang,当时
618,danach::ADV,derefter,随后
619,vorher::ADV,før,事先
620,vorher::ADV,forud,事先
621,zuerst::ADV,først,首先
622,einmal::ADV,en gang,一次
623,manchmal::ADV,sommetider,有时
624,oft::ADV,ofte,时常
625,immer::ADV,altid,总是
626,niemals::ADV,aldrig,从未
627,hier::ADV,her,这里
628,hierhin::ADV,hid,到这里
629,hierhin::ADV,herhen,到这里
630,von hier::ADV,herfra,由此
631,dort::ADV,der,那里
632,dorthin::ADV,derhen,到那里
633,geradeaus::ADV,lige ud,一直往前
634,vorwärts::ADV,fremad,向前
635,rückwärts::ADV,baglæns,向后
636,zurück::ADV,tilbage,退后
637,unten::ADV,nede,下面
638,unten::ADV,forneden,下面
639,hinab::ADV,ned,向下
640,hinab::ADV,nedad,向下
641,oben::ADV,oppe,上面
642,oben::ADV,ovenpå,上面
643,hinauf::ADV,op,向上
644,hinauf::ADV,opad,向上
645,überall::ADV,overalt,到处
646,nicht::ADV,ikke,不
647,ein wenig::ADV,lidt,一点儿
648,kaum::ADV,knap,几乎不
649,kaum::ADV,næppe,几乎不
650,sehr::ADV,meget,很
651,so::ADV,så,如此
652,noch::ADV,endnu,还
653,nur::ADV,kun,只
654,nur::ADV,bare,只
655,schon::ADV,alt,已经
656,schon::ADV,allerede,已经
657,wieder::ADV,igen,又
658,vergebens::ADV,forgæves,
659,vor::PRP,foran,在...面前
660,vor::PRP,uden for,在...面前
661,hinter::PRP,bag,在...背后
662,hinter::PRP,bagved,在...背后
663,unter::PRP,under,在...下面
664,durch::PRP,gennem,穿过
665,durch::PRP,igennem,穿过
666,neben::PRP,ved siden af,在...旁
667,zwischen::PRP,mellem,在...之间
668,wegen::PRP,på grund af,由于
669,dies::PRN,dette,这
670,das::PRN,det,那
671,alles::PRN,alt,一切
672,ich::PRN,jeg,我
673,du::PRN,du,你
674,er::PRN,han,他
675,wir::PRN,vi,我们
676,ihr::PRN,I,你们
677,sie::PRN,de,她
678,was::FPRN,hvad,什么
679,wer::FPRN,hvem,谁
680,wo::FADV,hvor,哪里
681,wohin::FADV,hvorhen,去哪里
682,wie::FADV,hvordan,怎么
683,warum::FADV,hvorfor,为什么
684,wieviel::FNUM,hvor meget,多少
685,eins::NUM,én,一
686,zwei::NUM,to,二
687,drei::NUM,tre,三
688,vier::NUM,fire,四
689,fünf::NUM,fem,五
690,sechs::NUM,seks,六
691,sieben::NUM,syv,七
692,acht::NUM,otte,八
693,neun::NUM,ni,九
694,zehn::NUM,ti,十
695,elf::NUM,elleve,十一
696,zwölf::NUM,tolv,十二
697,zwanzig::NUM,tyve,二十
698,dreißig::NUM,tredive,三十
699,vierzig::NUM,fyrre,四十
700,vierzig::NUM,fyrretyve,四十
701,fünfzig::NUM,halvtreds,五十
702,sechzig::NUM,tres,六十
703,siebzig::NUM,halvfjerds,七十
704,achtzig::NUM,firs,八十
705,neunzig::NUM,halvfems,九十
706,hundert::NUM,hundrede,百
707,tausend::NUM,tusind,千
708,und::CNJ,og,和
709,oder::CNJ,eller,或者
710,stehen::V,stå,站
711,sitzen::V,sidde,坐
712,liegen::V,ligge,躺着
713,hängen::V,hænge,挂着
714,werden::V,blive,成为
715,passieren::V,ske,发生
716,passieren::V,hænde,发生
717,beginnen::V,begynde,开始
718,enden::V,ende,终止
719,wechseln::V,veksle,变迁
720,aufgehen[Sonne]::V,gå op,升起
721,aufgehen[Sonne]::V,stå op,升起
722,untergehen[Sonne]::V,gå ned,下落
723,scheinen[Sonne]::V,skinne,照射
724,donnern::V,tordne,打雷
725,wehen::V,blæse,飘扬
726,strömen::V,strømme,流
727,fließen::V,flyde,流动
728,sich drehen::V,dreje sig,转动
729,schwanken::V,vakle,摇摆
730,schwingen::V,svinge,摇
731,fallen::V,falde,坠落
732,brennen::V,brænde,燃烧
733,rauchen::V,ryge,冒烟
734,regnen::V,regne,下雨
735,gefrieren::V,fryse,结冰
736,tauen::V,tø,融化
737,schmelzen::V,smelte,溶化
738,trocknen::V,tørre,变干
739,sieden::V,koge,煮
740,faulen::V,rådne,腐烂
741,verfaulen::V,rådne,腐烂
742,reißen::V,briste,撕
743,versinken::V,synke,下沉
744,versinken::V,synke ned,下沉
745,vergehen::V,forløbe,流逝
746,erscheinen::V,vise sig,出现
747,verschwinden::V,forsvinde,消失
748,sinken::V,synke,下降
749,abnehmen::V,aftage,减少
750,zunehmen::V,tiltage,增加
751,steigen::V,stige,上升
752,wachsen::V,gro,生长
753,wachsen::V,vokse,生长
754,glänzen::V,glinse,发光
755,funkeln::V,tindre,闪烁
756,lärmen::V,larme,吵闹
757,läuten::V,ringe,响
758,klingeln::V,ringe,按铃
759,klirren::V,klirre,
760,brausen::V,bruse,疾驶
761,rauschen::V,suse,
762,klingen::V,lyde,听起来
763,klingen::V,klinge,听起来
764,bellen::V,gø,吠
765,heulen::V,hyle,嗥
766,blasen::V,blæse,吹
767,pfeifen::V,fløjte,吹口哨
768,schreien::V,skrige,叫喊
769,stöhnen::V,stønne,呻吟
770,zittern::V,dirre,颤抖
771,zittern::V,skælve,颤抖
772,leben::V,leve,生存
773,geboren werden::V,fødes,出生
774,atmen::V,ånde,呼吸
775,trinken::V,drikke,喝
776,essen::V,spise,吃
777,schlucken::V,synke,咽
778,müde werden::V,blive træt,疲倦
779,einschlafen::V,falde i søvn,入睡
780,schlafen::V,sove,睡觉
781,aufwachen::V,vågne,睡醒
782,aufstehen::V,stå op,起床
783,sich erholen::V,komme sig,休养
784,krank werden::V,blive syg,生病
785,krank sein::V,være syg,生病
786,schmerzen::V,smerte,疼痛
787,husten::V,hoste,咳
788,genesen::V,komme sig,痊愈
789,sterben::V,dø,死
790,umkommen::V,omkomme,丧命
791,sich bewegen::V,bevæge sig,移动
792,sich rühren::V,røre på sig,动弹
793,sich erheben::V,rejse sig,站起
794,sich setzen::V,sætte sig,坐
795,laufen::V,løbe,步行
796,schreiten::V,skride,迈步
797,spazierengehen::V,gå en tur,散步
798,eilen::V,ile,急忙
799,sich beeilen::V,skynde sig,赶快
800,sausen::V,suse,疾驰
801,rennen::V,løbe,奔跑
802,rennen::V,rende,奔跑
803,springen::V,hoppe,跳
804,springen::V,springe,跳
805,klettern::V,klatre,攀缘
806,schaukeln::V,gynge,荡秋千
807,kriechen::V,krybe,爬行
808,schwimmen::V,svømme,游泳
809,tauchen::V,dykke,潜水
810,rudern::V,ro,划船
811,fahren::V,køre,行驶
812,fliegen::V,flyve,飞
813,gehen::V,gå,走
814,weggehen::V,gå bort,离去
815,abfahren::V,køre bort,出发
816,anhalten::V,standse,停住
817,hineingehen::V,gå ind,进去
818,eintreten::V,træde ind,进入
819,kommen::V,komme,来
820,ankommen::V,ankomme,到达
821,zurückkommen::V,komme tilbage,回来
822,bleiben::V,blive,停留
823,bleiben::V,forblive,停留
824,warten::V,vente,等
825,erwarten::V,vente,等候
826,erwarten::V,afvente,等候
827,suchen::V,søge,找
828,finden::V,finde,找到
829,versuchen::V,forsøge,尝试
830,vorbereiten::V,forberede,预备
831,lieben::V,elske,爱
832,mögen::V,holde af,喜欢
833,mögen::V,kunne lide,喜欢
834,lachen::V,le,笑
835,rühren::V,røre,
836,weinen::V,græde,哭
837,schimpfen::V,skænde,骂
838,sich ärgern::V,ærgre sig,生气
839,sich fürchten::V,være bange,害怕
840,fürchten::V,være bange for,害怕
841,fliehen::V,flygte,逃走
842,flüchten::V,flygte,逃跑
843,sehen::V,se,看
844,anschauen::V,se på,注视
845,anschauen::V,betragte,注视
846,ansehen::V,anse,注视
847,hören::V,høre,听
848,zuhören::V,høre til,倾听
849,probieren::V,smage,尝
850,probieren::V,smage på,尝
851,riechen::V,lugte,闻
852,fühlen::V,føle,感到
853,scheinen::V,synes,照耀
854,zu sehen sein::V,synes,可以看到
855,vernehmen::V,erfare,审讯
856,frieren::V,fryse,觉得冷
857,tun::V,gøre,作
858,können::V,kunne,能
859,wollen::V,ville,要
860,anfangen::V,begynde,开始
861,beenden::V,afslutte,结束
862,aufhören::V,ophøre,停止
863,aufhören::V,holde op,停止
864,gelingen::V,lykkes,成功
865,geraten::V,blive,陷于
866,öffnen::V,åbne,打开
867,schließen::V,lukke,关
868,stellen::V,stille,放
869,setzen::V,sætte,放
870,legen::V,lægge,摆
871,berühren::V,berøre,触
872,verbinden::V,forbinde,联结
873,bedecken::V,dække,覆盖
874,bedecken::V,bedække,覆盖
