,Concept_ID,et,ab
107,Wald::N,mets,абна
108,Hügel::N,küngas,ахəы
109,Anhöhe::N,küngas,аҳаракыра
110,Berg::N,mägi,ашьха
111,Gipfel::N,mäetipp,ацəқəа
112,Höhle::N,koobas,аҳаҧы
113,Abhang::N,nõlvak,анаара
114,Quelle::N,allikas,аҵҵырҭа
115,Bach::N,oja,акəараҷҷа
116,Fluss::N,jõgi,аӡиас
117,Ufer::N,kallas,ахықə
118,Küste::N,rannik,ахықə
119,Festland::N,mander,абарра
120,Festland::N,maismaa,абарра
121,Meer::N,meri,амшын
122,Bucht::N,laht,аӡбжьахала
123,Insel::N,saar,адгьылбжьаха
124,Blume::N,lill,ашəҭ
125,Gras::N,rohi,аҳасакьын
126,Wurzel::N,juur,адац
127,Baum::N,puu,аҵла
128,Stamm::N,tüvi,ашьапы
129,Rinde::N,koor,ацəа
130,Ast::N,oks,амахə
131,Ast::N,oks,амахəҭа
132,Zweig::N,oks,амахə
133,Zweig::N,oks,амахəҭа
134,Blatt::N,leht,абҕьы
135,Birke::N,kask,аҵааҵла
136,Kiefer[Baum]::N,mänd,амза
137,Weide[Baum]::N,paju,аҧслыш
138,Tanne::N,nulg,аҧсаӡ
139,Horn::N,sarv,атəыҩа
140,Feder::N,sulg,ахӡы
141,Fell::N,karvkate,ацəа
142,Fell::N,karusnahk,ацəа
143,Flügel::N,tiib,амҵəыжəа
144,Flügel::N,tiivik,амҵəыжəа
145,Klaue::N,küüs,ашьапхыц
146,Kralle::N,küünis,
147,Schwanz::N,saba,аҵыхəа
148,Ei::N,muna,акəтаӷь
149,Nest::N,pesa,аҭра
150,Nest::N,pesa,аҵысҭра
151,Bau::N,urg,аҭыҩра
152,Tier::N,loom,аҧстəы
153,Tier::N,loom,агыгшəыг
154,Herde::N,kari,агəарҭа
155,Kuh::N,lehm,ажə
156,Bulle::N,pull,ацə
157,Pferd::N,hobune,аҽы
158,Schaf::N,lammas,ауаса
159,Schwein::N,siga,аҳəа
160,Hund::N,koer,ала
161,Katze::N,kass,ацгəы
162,Bär::N,karu,амшə
163,Eichhörnchen::N,orav,аеш
164,Elch::N,põder,аҽаҩа
165,Fuchs::N,rebane,абгахəыҷы
166,Hase::N,jänes,ажьа
167,Maus::N,hiir,аҳəынаҧ
168,Wolf::N,hunt,абгаду
169,Vogel::N,lind,аҧсаатə
170,Schwarm::N,parv,
171,Huhn::N,kana,акəты
172,Hahn::N,kukk,арбаҕь
173,Gans::N,hani,аҟыз
174,Adler::N,kotkas,ауарба
175,Ente::N,part,акəата
176,Eule::N,kakk,аты
177,Eule::N,öökull,аты
178,Kranich::N,kurg,апҟа
179,Krähe::N,vares,аҟəараан
180,Kuckuck::N,kägu,акəыкəу
181,Schwan::N,luik,агьад
182,Fisch::N,kala,аҧсыӡ
183,Barsch::N,ahven,ацəыбла
184,Hecht::N,haug,ахиаала
185,Schlange[Tier]::N,uss,амаҭ
186,Wurm::N,uss,ахəа
187,Wurm::N,uss,ахəац
188,Wurm::N,vagel,ахəа
189,Wurm::N,vagel,ахəац
190,Spinne::N,ämblik,абызкаҭаҳа
191,Ameise::N,sipelgas,ашышкамс
192,Laus::N,täi,аҵа
193,Mücke::N,sääsk,акəыбры
194,Fliege::N,kärbes,амҵ
195,Schmetterling::N,liblikas,аҧарҧалыкь
196,Beere::N,mari,аргуц
197,Apfel::N,õun,аҵəа
198,Pilz::N,seen,акəкəбаа
199,Zwiebel::N,sibul,аџьымшьы
200,Zwiebel::N,sibul,аџьымшьхы
201,Saat::N,seeme,ажəла
202,Korn::N,iva,арыц
203,Korn::N,tera,арыц
204,Heu::N,hein,аҭəа
205,Schale::N,koor,ацəа
206,Grube::N,kaevand,ажра
207,Grube::N,kaevand,атыша
208,Falle::N,lõks,арыҧҟьа
209,Falle::N,püünis,арыҧҟьа
210,Schlinge::N,aas,аҟəараҟəантə
211,Spur::N,jälg,ашьҭа
212,Asche::N,tuhk,ахəа
213,Dreck::N,saast,аҳəынҵəа
214,Dreck::N,saast,аҟьамсар
215,Dreck::N,mustus,аҳəынҵəа
216,Dreck::N,mustus,аҟьамсар
217,Eisen::N,raud,аиха
218,Gold::N,kuld,ахьы
219,Silber::N,hõbe,аразны
220,Kohle::N,süsi,арацəа
221,Glas::N,klaas,асаркьа
222,Lehm::N,savi,анышəаҧшь
223,Sand::N,liiv,аҧслымӡ
224,Mensch::N,inimene,ауаҩы
225,Mann::N,mees,ахаҵа
226,Frau::N,naine,аҧҳəыс
227,Kind::N,laps,ахəыҷы
228,Junge::N,poiss,аҷкəын
229,Junge::N,poiss,ахаҵарҧыс
230,Mädchen::N,tüdruk,аӡӷаб
231,Familie::N,perekond,аҭаацəа
232,Großvater::N,vanaisa,абду
233,Großmutter::N,vanaema,анду
234,Eltern::N,vanemad,ани аби
235,Vater::N,isa,аб
236,Mutter::N,ema,ан
237,Sohn::N,poeg,аҧа
238,Tochter::N,tütar,аҧҳа
239,Bruder::N,vend,аиашьа
240,Schwester::N,õde,Аҳəшьа
241,Onkel::N,onu,абиашьа
242,Onkel::N,onu,аншьа
243,Tante::N,tädi,абиаҳəшьа
244,Ehemann::N,mees,ахаҵа
245,Ehemann::N,mees,аҧшəма
246,Ehemann::N,abikaasa,ахаҵа
247,Ehemann::N,abikaasa,аҧшəма
248,Ehefrau::N,naine,аҧҳəыс
249,Ehefrau::N,abikaasa,аҧҳəыс
250,Freude::N,rõõm,агəырӷьара
251,Gelächter::N,naer,ачча
252,Gelächter::N,naer,аччара
253,Glück::N,õnn,аразҟы
254,Kummer::N,mure,агəырҩа
255,Kummer::N,kurbus,агəырҩа
256,Wunsch::N,soov,агəхəтəы
257,Wunsch::N,soov,аҭахра
258,Lust::N,himu,агəазыҳəара
259,Geist::N,vaim,аҧсы
260,Gedanke::N,mõte,ахəыцырҭа
261,Gedächtnis::N,mälu,агəынкылара
262,Verstand::N,aru,ахшыҩ
263,Verstand::N,mõistus,ахшыҩ
264,Sinn::N,tähendus,аҵакы
265,Grund::N,põhjus,амзыз
266,Wahrheit::N,tõde,аиаша
267,Gespräch::N,kõne,аиҿцәажәара
268,Gespräch::N,vestlus,аиҿцәажәара
269,Märchen::N,muinasjutt,алакə
270,Erzählung::N,jutustus,ажәабжь
271,Nachricht::N,teade,адырраҭара
272,Neuigkeit::N,uudis,ажәабжь ҿыц
273,Name::N,nimi,ахьӡ
274,Rätsel::N,mõistatus,ацуфара
275,Rede::N,kõne,ажәа
276,Sprache::N,keel,абызшəа
277,Stimme::N,hääl,абжьы
278,Wort::N,sõna,ажәа
279,Zeichen::N,märk,адырга
280,Ruf::N,hüüe,аҿҭы
281,Lärm::N,müra,ашьҭыбжь
282,Laut::N,hääl,ашьҭыбжь
283,Ton::N,toon,атон
284,Lied::N,laul,ашəа
285,Ruhe::N,rahu,аҭынчра
286,Ruhe::N,vaikus,аҭынчра
287,Leute::N,inimesed,ауаа
288,Volk::N,rahvas,ажəлар
289,Arbeit::N,töö,аусура
290,Gast::N,külaline,асас
291,Geschenk::N,kingitus,аҳамҭа
292,Geschenk::N,kingitus,аҿанҵа
293,Spiel::N,mäng,ахəмарра
294,Gesellschaft::N,selts,агəыҧ
295,Hilfe::N,abi,ацхыраара
296,Freund::N,sõber,аҩыза
297,Kamerad::N,sõber,Аҧхнагьла
298,Angelegenheit::N,asi,аус
299,Anzahl::N,arv,ахыҧхьаӡара
300,Anzahl::N,hulk,ахыҧхьаӡара
301,Art::N,liik,ахкы
302,Stück::N,tükk,аҽыҭ
303,Teil::N,osa,ахəҭа
304,Hälfte::N,pool,абжа
305,Kreis::N,ring,агьагьа
306,Kreuz::N,rist,аџьар
307,Linie::N,joon,аицтәар
308,Strich::N,joon,ацəаҳəа
309,Abstand::N,vahe,абжьара
310,Entfernung::N,kaugus,абжьара
311,Entfernung::N,vahemaa,абжьара
312,Gegend::N,ümbrus,аҭыҧ
313,Platz::N,ruum,аҭыҧ
314,Ort::N,paik,аҭыҧ
315,Seite::N,pool,аган
316,Mitte::N,keskpaik,агəҭа
317,Gegenstand::N,ese,амаҭəар
318,Sache::N,ese,
319,Rand::N,äär,аҵкар
320,Rand::N,serv,аҵкар
321,Kante::N,kant,авардым
322,Ecke::N,nurk,акəакь
323,Spitze::N,teravik,аҧынҵа
324,Ende::N,ots,анаӡара
325,Ende::N,jupp,анаӡара
326,Loch::N,auk,акылҵəара
327,Winkel::N,nurk,агҿаҩра
328,Winkel::N,nurk,акəындхə
329,Winkel::N,nurk,акəакь
330,Muster::N,muster,аҟҟа
331,Größe::N,suurus,изаҟароу
332,Länge::N,pikkus,аура
333,Höhe::N,kõrgus,агылара
334,Gewicht::N,kaal,акапан
335,Gewicht::N,raskus,акапан
336,Menge::N,arv,
337,Menge::N,hulk,
338,Haufen::N,hunnik,ачаҟəа
339,Reihe::N,rivi,ацəаҳəа
340,Boot::N,paat,анышь
341,Ruder::N,aer,ажəҩа
342,Schlitten::N,saan,ашəаҩауардын
343,Ski::N,suusk,ашəаҩа
344,Ski::N,suusk,ашьахаха
345,Lagerfeuer::N,lõke,еиқуу амца
346,Last::N,koorem,ахьанҭара
347,Gang::N,käik,аныҟəара
348,Schritt::N,samm,ашьаҿа
349,Norden::N,põhi,аҩада
350,Süden::N,lõuna,алада
351,Westen::N,lääs,амраҭашəара
352,Osten::N,ida,амрагылара
353,Holz::N,puu,амҿымаҭəахə
354,Brett::N,saelaud,аӷəы
355,Platte::N,plaat,ахаҳәцәы
356,Stütze::N,tugi,аҵаргəа
357,Stütze::N,tugi,агəышьаҟа
358,Stange::N,latt,акьат
359,Stange::N,teivas,акьат
360,Stock::N,kepp,алаба
361,Stab::N,varras,акьат
362,Rohr::N,toru,абыкь
363,Haus::N,maja,аҩны
364,Heim::N,kodu,аҭаацəа
365,Ofen::N,ahi,аҳақə
366,Ofen::N,ahi,ауаџьаҟ
367,Ofen::N,ahi,афрына
368,Fußboden::N,põrand,адашьма
369,Tisch::N,laud,аишәа
370,Stuhl::N,tool,аҟəардə
371,Wiege::N,häll,агара
372,Wiege::N,kätki,агара
373,Bett::N,voodi,акаруаҭ
374,Regal::N,riiul,акыӷəра
375,Kiste::N,kast,аидчаҧала
376,Fenster::N,aken,аҧенџьыр
377,Tür::N,uks,ашə
378,Tor::N,värav,агəашə
379,Zaun::N,aed,аанда
380,Zaun::N,tara,аанда
381,Dach::N,katus,ахыб
382,Leiter::N,redel,амардуан
383,Besen::N,luud,аҧссага
384,Spaten::N,labidas,ажыга
385,Schaufel::N,kühvel,аҭəарӷəы
386,Gabel::N,kahvel,ачқьыҧ
387,Löffel::N,lusikas,амҳаҵə
388,Messer::N,nuga,аҳəызба
389,Nagel::N,nael,аҵəымӷ
390,Netz::N,võrk,акаҭа
391,Haken::N,haak,аҵəаҳə
392,Haken::N,konks,аҵəаҳə
393,Griff::N,sang,амаа
394,Griff::N,käepide,амаа
395,Schloss::N,lukk,асаҧаҭ
396,Bild::N,pilt,асахьа
397,Figur::N,kuju,афигура
398,Figur::N,kujund,афигура
399,Puppe::N,nukk,акьанџьа
400,Beutel::N,paun,асакь
401,Bündel::N,kimp,аҿаҳəара
402,Tasche::N,kott,арҭмаҟ
403,Eimer::N,pang,аведра
404,Eimer::N,ämber,аведра
405,Deckel::N,kaas,ахҩа
406,Geschirr::N,nõud,ачысмаҭəа
407,Sack::N,kott,асакь
408,Tasse::N,tass,аҵəца
409,Topf::N,pada,акаструлиа
410,Kessel::N,pada,ачуан
411,Essen::N,söök,
412,Nahrung::N,toit,афатə
413,Speise::N,roog,афатə
414,Fleisch::N,liha,акəац
415,Getreide::N,teravili,ачакуа
416,Brei::N,puder,ақашь
417,Brot::N,sai,ача
418,Brot::N,leib,ача
419,Scheibe::N,viil,аҽыҭ
420,Scheibe::N,viil,аҿаҵа
421,Scheibe::N,viilukas,аҽыҭ
422,Scheibe::N,viilukas,аҿаҵа
423,Fett::N,rasv,ашша
424,Butter::N,või,ахəша
425,Öl::N,õli,азеҭ
426,Salz::N,sool,аџьыка
427,Suppe::N,supp,асуҧ
428,Honig::N,mesi,ацха
429,Milch::N,piim,ахш
430,Tee::N,tee,ачаи
431,Leder::N,nahk,ацəа
432,Wolle::N,vill,аласа
433,Stoff::N,kangas,Аба
434,Nadel::N,nõel,агəыр
435,Faden::N,niit,арахəыц
436,Knopf::N,nööp,аҳəынҵəра
437,Knoten::N,sõlm,аиқəҳəала
438,Farbe::N,värv,ашəыга
439,Kleidung::N,riided,амаҭəа
440,Kleidung::N,riietus,амаҭəа
441,Hemd::N,särk,акьаҿ
442,Kragen::N,krae,ахəда
443,Ärmel::N,varrukas,амаӷра
444,Hose::N,püksid,аиқəа
445,Gürtel::N,vöö,амаҟа
446,Mütze::N,müts,ахылҧа
447,Schuh::N,king,аимаа
448,Stiefel::N,saabas,амагə
449,Ring::N,sõrmus,амацəаз
450,Band::N,lint,алента
451,Kamm::N,kamm,ахҳəа
452,Spiegel::N,peegel,асаркьа
453,Riemen::N,rihm,аа
454,Schnur::N,nöör,ашаха
455,Leine::N,jalutusrihm,аҕура
456,Decke::N,tekk,ахыза
457,Kissen::N,padi,ахчы
458,Tuch::N,kalev,акасы
459,Handtuch::N,käterätik,ампахьшьы
460,Kraft::N,jõud,амч
461,Stärke::N,tugevus,амч
462,Gesundheit::N,tervis,агəабзиара
463,Krankheit::N,haigus,ачымазара
464,Schmerz::N,valu,ахьаа
465,Wunde::N,haav,ахəра
466,Fieber::N,palavik,ашоура
467,Arznei::N,ravim,ахəшə
468,Brücke::N,sild,ацҳа
469,Brunnen::N,kaev,аҵыџь
470,Weide::N,karjamaa,аҳəырҭа
471,Pfad::N,rada,амхəасҭа
472,Weg::N,tee,амҩа
473,Straße::N,tee,амҩа
474,Dorf::N,küla,ақыҭа
475,Stadt::N,linn,ақалақь
476,Brief::N,kiri,ашəҟəы
477,Buch::N,raamat,ашəҟəы
478,Buchstabe::N,täht,анбан
479,Zeitung::N,ajaleht,агазеҭ
480,Leben::N,elu,аҧсҭазаара
481,Tod::N,surm,аҧсра
482,Grab::N,haud,анышəынҭра
483,Kirche::N,kirik,ауахəама
484,Sünde::N,patt,агəнаҳа
485,Gott::N,jumal,анцəа
486,Arbeiter::N,tööline,аусуҩ
487,Chef::N,ülemus,Аиҳабы
488,Chef::N,juhataja,Аиҳабы
489,Meister::N,meister,аҟаза
490,Arzt::N,arst,аҳақьым
491,Lehrer::N,õpetaja,арҵаҩы
492,Geld::N,raha,аҧара
493,Geschäft::N,äri,
494,Laden::N,pood,амагазин
495,Laden::N,kauplus,амагазин
496,Preis::N,hind,ахə
497,Ware::N,kaup,атауар
498,Nutzen::N,tulu,ақьар
499,Nutzen::N,kasulikkus,ақьар
500,Reichtum::N,rikkus,абеиара
501,Welt::N,maailm,адунеи
502,Land::N,maa,атəыла
503,Staat::N,riik,аҳəынҭқарра
504,König::N,kuningas,акрал
505,Macht::N,võim,амчра
506,Grenze::N,piir,аҳəаа
507,Krieg::N,sõda,аибашьра
508,Feind::N,vaenlane,Аҕа
509,Gewalt::N,väevõim,ақəымчра
510,Kampf::N,võitlus,ақəҧара
511,Bogen[Waffe]::N,vibu,ахыц
512,Pfeil::N,nool,ахəымпал
513,Gewehr::N,püss,ашəақь
514,Fehler::N,viga,агха
515,Lüge::N,vale,амц
516,Schaden::N,kahju,аҧырхага
517,Unglück::N,häda,арыцҳара
518,Unglück::N,õnnetus,арыцҳара
519,Schuld::N,süü,ахара
520,Alter::N,iga,ақəра
521,Schluss::N,lõpp,анҵəамҭа
522,Zeit::N,aeg,аамта
523,Tag::N,päev,амш
524,Morgen::N,hommik,ашара
525,Morgen::N,hommik,ашьыбжь
526,Mittag::N,lõuna,шьыбжьон
527,Mittag::N,keskpäev,шьыбжьон
528,Abend::N,õhtu,ахəылҧаз
529,Abend::N,õhtu,ахəлбыҽха
530,Nacht::N,öö,аҵх
531,Woche::N,nädal,амчыбжь
532,Monat::N,kuu,
533,Jahr::N,aasta,
534,Frühling::N,kevad,ааҕын
535,Sommer::N,suvi,аҧхын
536,Herbst::N,sügis,ҭагалан
537,Herbst::N,sügis,хкаарачан
538,Winter::N,talv,аӡын
539,Januar::N,jaanuar,ианвар
540,Februar::N,veebruar,февраль
541,März::N,märts,март
542,April::N,aprill,апрель
543,Mai::N,mai,маи
544,Juni::N,juuni,иуун
545,Juli::N,juuli,иууль
546,August::N,august,август
547,September::N,september,сентиабр
548,Oktober::N,oktoober,октиабр
549,November::N,november,ноиабр
550,Dezember::N,detsember,декабр
551,Montag::N,esmaspäev,ашəахьа
552,Dienstag::N,teisipäev,аҩаша
553,Mittwoch::N,kesknädal,ахаша
554,Donnerstag::N,neljapäev,аҧшьаша
555,Freitag::N,reede,ахəаша
556,Samstag::N,laupäev,асабша
557,Sonntag::N,pühapäev,амҽыша
558,groß::A,suur,аду
559,klein::A,väike,амаҷ
560,klein::A,pisike,амаҷ
561,lang::A,pikk,ахəхəа
562,kurz::A,lühike,акьаҿ
563,breit::A,lai,аиужь
564,breit::A,lai,аиҵых
565,schmal::A,kitsas,аҭшəа
566,dicht::A,tihe,аилач
567,dick[Gegenstand]::A,jäme,ажəпа
568,dünn::A,õhuke,
569,dünn::A,peenike,
570,fein::A,peen,апа
571,fein::A,peen,аҵаӷа
572,fein::A,peen,аӡа
573,fein::A,õhuke,апа
574,fein::A,õhuke,аҵаӷа
575,fein::A,õhuke,аӡа
576,fest::A,püsiv,аҟаца
577,fest::A,püsiv,аӷəӷəаҟаца
578,fest::A,kindel,аҟаца
579,fest::A,kindel,аӷəӷəаҟаца
580,flach::A,lame,ақəаҟьа
581,flach::A,lame,аҧаҟьа
582,flach::A,tasane,ақəаҟьа
583,flach::A,tasane,аҧаҟьа
584,glatt::A,sile,аимаҩзы
585,hart::A,kõva,акьакьа
586,weich::A,pehme,атата
587,rund::A,ümar,акəмпыл
588,spitz::A,torkav,аҵар
589,scharf::A,terav,аҵар
590,stumpf::A,nüri,ацагə
591,schwer::A,raske,ахьанҭа
592,schön::A,kena,аҧшӡа
593,heiß::A,kuum,ашы
594,heiß::A,palav,ашы
595,warm::A,soe,аҧха
596,kalt::A,külm,ахьшəашəа
597,kühl::A,jahe,ахьшəашəа
598,kühl::A,jahe,ицәыхьшәашәоу
599,frisch::A,värske,цқьа
600,feucht::A,niiske,ацəаак
601,nass::A,märg,абааӡа
602,trocken::A,kuiv,Аба
603,trocken::A,kuiv,аҩа
604,voll::A,täis,азна
605,leer::A,tühi,аҭацəы
606,offen::A,avatud,аарта
607,offen::A,lahtine,аарта
608,geschlossen::A,suletud,ихҩоу
609,geschlossen::A,suletud,иаркыу
610,sauber::A,puhas,ацқьа
611,schmutzig::A,räpane,аҟьашь
612,schmutzig::A,määrdunud,аҟьашь
613,roh::A,toores,
614,reif::A,küps,Арҭ
615,reif::A,küps,аҟала
616,reif::A,küps,иҟалахьоу
617,lecker::A,hõrk,ахаа
618,lecker::A,maitsev,ахаа
619,süß::A,magus,азла
620,bitter::A,mõru,аша
621,sauer::A,hapu,аҵəҵəы
622,hell::A,hele,алаша
623,dunkel::A,pime,алашьца
624,schwarz::A,must,аиқуаҵәа
625,weiß::A,valge,ашкəакəа
626,rot::A,punane,аҟаҧшь
627,gelb::A,kollane,аҩеижь
628,blau::A,sinine,аҽҵәа
629,grün::A,roheline,ашьацҧшҭəала
630,grün::A,roheline,аеҵəа
631,grau::A,hall,ацəыш
632,bunt::A,kirju,Аилыҕраа
633,bunt::A,kirju,аҕраҷкəын
634,bunt::A,värviline,Аилыҕраа
635,bunt::A,värviline,аҕраҷкəын
636,billig::A,odav,амариа
637,teuer::A,kallis,амҩан
638,wertvoll::A,väärtuslik,кыр иаҕсоу
639,wertvoll::A,väärtuslik,акыр иаҕсоу
640,blind::A,pime,алашə
641,taub::A,kurt,адагəа
642,kräftig::A,jõuline,аӷəӷəа
643,stark::A,tugev,абаҟа
644,schwach::A,nõrk,акəада
645,schwach::A,jõuetu,акəада
646,fett::A,rasvane,аҧсыла
647,schlank::A,sale,акала
648,schlank::A,sale,акьалантар
649,schlank::A,sale,аиҿартə
650,hübsch::A,kena,аҧшӡа
651,böse::A,tige,абааҧсы
652,dumm::A,juhm,агаӡа
653,dumm::A,rumal,агаӡа
654,faul::A,laisk,аашьа
655,fleißig::A,virk,иҟубҷоу
656,fleißig::A,hoolas,иҟубҷоу
657,geizig::A,ihne,акы
658,geizig::A,ihne,акаҷбеи
659,geizig::A,ihne,аҟəџьыр
660,klug::A,tark,аҟəыш
661,klug::A,tark,аҟəыӷа
662,klug::A,arukas,аҟəыш
663,klug::A,arukas,аҟəыӷа
664,klug::A,mõistlik,аҟəыш
665,klug::A,mõistlik,аҟəыӷа
666,geschickt::A,osav,напҟазала
667,lieb::A,armas,алашара
668,lustig::A,lõbus,алах-ҿых
669,lustig::A,lõbus,игурҕьаччо
670,lustig::A,lõbus,агурҕьа
671,lustig::A,lõbus,агурҿыхага
672,sanft::A,õrn,атата
673,sanft::A,õrn,аҟəымшəышə
674,sanft::A,õrn,ақьыҧш
675,hungrig::A,näljane,амлашь
676,krank::A,haige,ачымазаҩ
677,nackt::A,alasti,аҟьантаз
678,traurig::A,kurb,алахьеиқəҵага
679,lebendig::A,elus,абза
680,gut::A,hea,абзиа
681,schlecht::A,halb,-хəарҭам
682,richtig::A,õige,иашоу
683,schlimm::A,paha,абааҧсы
684,wahr::A,tõene,агəҭылса
685,wahr::A,tõene,абзиаҵəҟьа
686,alt::A,vana,Ажə
687,neu::A,uus,аҿыц
688,ehemalig::A,endine,анкьатәи
689,alt[Lebewesen]::A,vana,абырг
690,alt[Lebewesen]::A,vana,ақабада
691,alt[Lebewesen]::A,vana,Ажə
692,jung::A,noor,аҟата
693,arm::A,vaene,ананамга
694,reich::A,rikas,абеиа
695,bekannt::A,teada,адыр
696,bekannt::A,tuttav,адыр
697,berühmt::A,tuntud,адыр
698,fremd::A,võõras,атəым
699,verschieden::A,erinev,Еиуа-еиҧшым
700,nah::A,lähedane,ааигəа
701,fern::A,kauge,ахара
702,linker::A,vasak,арма
703,rechter::A,parem,арҕьа
704,anderer::A,muu,даҽа
705,anderer::A,muu,даҽакы
706,anderer::A,teine,даҽа
707,anderer::A,teine,даҽакы
708,erster::A,esimene,актәи
709,zweiter::A,teine,аҩбатəи
710,dritter::A,kolmas,ахҕатәи
711,letzter::A,viimane,аҵыхəтəантəи
712,allein::ADV,üksi,мацара
713,auf einmal::ADV,korraga,зныкала
714,auf einmal::ADV,korraga,зныкҟьара
715,auf einmal::ADV,ühekorraga,зныкала
716,auf einmal::ADV,ühekorraga,зныкҟьара
717,zusammen::ADV,koos,аиц...
718,zusammen::ADV,üheskoos,аиц...
719,lange::ADV,kaua,акыраамҭа
720,plötzlich::ADV,äkki,иаалырҟьаны
721,plötzlich::ADV,järsku,иаалырҟьаны
722,sofort::ADV,kohe,иаразнакҵәҟьа
723,später::ADV,hiljem,уажəшьҭаншəа
724,jetzt::ADV,nüüd,уажәы
725,heute::ADV,täna,иахьа
726,morgen::ADV,homme,уаҵәы
727,bald::ADV,pea,иласны
728,bald::ADV,varsti,иласны
729,dann::ADV,siis,нас
730,gestern::ADV,eile,иацы
731,einst::ADV,vanasti,зны
732,damals::ADV,tookord,усҟан
733,danach::ADV,seejärel,нас
734,vorher::ADV,enne,уаанӡа
735,zuerst::ADV,enne,азнаказы
736,zuerst::ADV,enne,аҧхьа
737,zuerst::ADV,esmalt,азнаказы
738,zuerst::ADV,esmalt,аҧхьа
739,einmal::ADV,kord,зны
740,einmal::ADV,üks kord,зны
741,manchmal::ADV,mõnikord,зны-зынла
742,oft::ADV,tihti,лассы-лассы
743,oft::ADV,sageli,лассы-лассы
