,Concept_ID,ru,bn
314,Stange::N,жердь,দণ্ড
315,Stock::N,палка,ছড়ি
316,Stab::N,шест,যষ্টি
317,Rohr::N,труба,নল
318,Haus::N,дом,ঘর
319,Heim::N,дом,বাসা
320,Ofen::N,печь,স্টোভ্
321,Fußboden::N,пол,গহতল
322,Tisch::N,стол,মেজ
323,Tisch::N,стол,টেবিল
324,Stuhl::N,стул,চেয়ার
325,Stuhl::N,стул,কেদারা
326,Wiege::N,колыбель,দোলনা
327,Bett::N,постель,শয্যা
328,Regal::N,полка,তাক
329,Kiste::N,ящик,বাক্স
330,Fenster::N,окно,জানালা
331,Tür::N,дверь,দ্বার
332,Tor::N,ворота,দ্বার
333,Zaun::N,забор,বেড়া
334,Dach::N,крыша,ছাদ
335,Leiter::N,лестница,মই
336,Besen::N,метла,গুল্মবিশেষ
337,Spaten::N,лопата,কোদাল
338,Schaufel::N,совок,বেলচা
339,Gabel::N,вилка,কাঁটা
340,Löffel::N,ложка,চামচ
341,Messer::N,нож,ছুরি
342,Nagel::N,гвоздь,পেরেক
343,Netz::N,сеть,জাল
344,Haken::N,крюк,কাচি
345,Griff::N,ручка,হাতল
346,Schloss::N,замок,তালা
347,Bild::N,картина,ছবি
348,Bild::N,картина,চিত্র
349,Figur::N,фигура,আকার
350,Puppe::N,кукла,পুতুল
351,Beutel::N,мешок,বটুয়া
352,Bündel::N,связка,আঁটি
353,Tasche::N,сумка,থলি
354,Eimer::N,ведро,বাল্তি
355,Deckel::N,крышка,আবরণ
356,Geschirr::N,посуда,থালা-বাসন
357,Sack::N,мешок,বস্তা
358,Tasse::N,чашка,কাপ
359,Topf::N,кастрюля,পাত্র
360,Kessel::N,котел,কেটলি
361,Essen::N,еда,আহার
362,Nahrung::N,пища,খাদ্য
363,Speise::N,блюдо,খাদ্য
364,Speise::N,кушанье,খাদ্য
365,Fleisch::N,мясо,মাংস
366,Getreide::N,хлеб,শস্য
367,Brei::N,каша,মণ্ড
368,Brot::N,хлеб,রুটি
369,Scheibe::N,ломоть,ফালি
370,Fett::N,жир,মেদ
371,Butter::N,масло,মাখন
372,Öl::N,масло,তৈল
373,Salz::N,соль,নুন
374,Suppe::N,суп,শুরুয়া
375,Honig::N,мед,মধু
376,Milch::N,молоко,দুধ
377,Tee::N,чай,চা
378,Leder::N,кожа,পাকা চামড়া
379,Wolle::N,шерсть,পশম
380,Stoff::N,ткань,বস্ত্র
381,Nadel::N,игла,সুচ
382,Faden::N,нитка,সূত্র
383,Knopf::N,пуговица,বোতাম
384,Knoten::N,узел,গিঁট
385,Farbe::N,краска,রং
386,Kleidung::N,одежда,কাপড়
387,Hemd::N,рубашка,শার্ট
388,Kragen::N,воротник,গলবন্ধ
389,Ärmel::N,рукав,আস্তিন্
390,Hose::N,брюки,ট্রাউজার
391,Gürtel::N,пояс,কটিবন্ধ
392,Mütze::N,шапка,টুপি
393,Schuh::N,ботинок,জুতো
394,Stiefel::N,сапог,বুট
395,Ring::N,кольцо,আংটি
396,Band::N,лента,ফিতা
397,Kamm::N,расческа,চিরুনি
398,Spiegel::N,зеркало,আয়না
399,Riemen::N,ремень,চাবুক
400,Schnur::N,веревка,দড়ি
401,Leine::N,поводок,শিকল
402,Decke::N,одеяло,কম্বল
403,Kissen::N,подушка,উপাধান
404,Tuch::N,платок,বস্ত্র
405,Handtuch::N,полотенце,তোয়ালে
406,Kraft::N,сила,জোর
407,Stärke::N,крепость,শক্তি
408,Gesundheit::N,здоровье,স্বাস্থ্য
409,Krankheit::N,болезнь,অসুখ
410,Krankheit::N,болезнь,ব্যামো
411,Schmerz::N,боль,যন্ত্রণা
412,Wunde::N,рана,ক্ষত
413,Fieber::N,лихорадка,জ্বর
414,Fieber::N,температура,জ্বর
415,Arznei::N,лекарство,ঔষধ
416,Brücke::N,мост,সেতু
417,Brunnen::N,колодец,কূপ
418,Weide::N,пастбище,পশুচারণভূমি
419,Pfad::N,тропа,পথ
420,Weg::N,путь,পথ
421,Weg::N,дорога,পথ
422,Straße::N,улица,রাস্তা
423,Straße::N,дорога,রাস্তা
424,Dorf::N,деревня,গ্রাম
425,Stadt::N,город,শহর
426,Brief::N,письмо,চিঠি
427,Buch::N,книга,বই
428,Buchstabe::N,буква,অক্ষর
429,Zeitung::N,газета,সংবাদপত্র
430,Leben::N,жизнь,জীবন
431,Tod::N,смерть,মৃত্যু
432,Grab::N,могила,কবর
433,Kirche::N,церковь,গির্জা
434,Sünde::N,грех,পাপ
435,Gott::N,бог,দেবতা
436,Arbeiter::N,рабочий,শ্রমিক
437,Chef::N,начальник,নেতা
438,Meister::N,мастер,ব্যক্তি
439,Arzt::N,врач,চিকিৎসক
440,Lehrer::N,учитель,অধ্যাপক
441,Geld::N,деньги,মুদ্রা
442,Geld::N,деньги,টাকাপয়সা
443,Geschäft::N,занятие,ব্যস্ততা
444,Laden::N,магазин,দোকান
445,Preis::N,цена,মূল্য
446,Ware::N,товар,পণ্যদ্রব্য
447,Nutzen::N,выгода,সুবিধা
448,Reichtum::N,богатство,ধনদৌলত
449,Welt::N,мир,জগৎ
450,Land::N,страна,খেত
451,Staat::N,государство,রাষ্ট্র
452,König::N,король,রাজা
453,Macht::N,власть,প্রভাব
454,Grenze::N,граница,সীমা
455,Krieg::N,война,যুদ্ধ
456,Feind::N,враг,শত্রু
457,Gewalt::N,насилие,জোর
458,Kampf::N,борьба,লড়াই
459,Bogen[Waffe]::N,лук,ধনুক
460,Pfeil::N,стрела,বাণ
461,Gewehr::N,ружье,বন্দুক
462,Fehler::N,ошибка,ভুল
463,Lüge::N,ложь,মিথ্যা
464,Schaden::N,вред,ক্ষতি
465,Unglück::N,беда,দুর্ভাগ্য
466,Schuld::N,вина,অপরাধ
467,Alter::N,возраст,আয়ু
468,Schluss::N,окончание,শেষ
469,Zeit::N,время,সময়
470,Tag::N,день,দিন
471,Morgen::N,утро,সকাল
472,Mittag::N,полдень,মধ্যাহু
473,Abend::N,вечер,সন্ধ্যা
474,Nacht::N,ночь,রাত্রি
475,Woche::N,неделя,সপ্তাহ
476,Monat::N,месяц,মাস
477,Jahr::N,год,সৌরবর্ষ
478,Frühling::N,весна,বসন্তকাল
479,Sommer::N,лето,গ্রীষ্মকাল
480,Herbst::N,осень,শরংঋতু
481,Winter::N,зима,শীতকাল
482,Januar::N,январь,জানুয়ারী
483,Februar::N,февраль,ফেব্রুয়ারী
484,März::N,март,মার্চ
485,April::N,апрель,এপ্রিল
486,Mai::N,май,মে
487,Juni::N,июнь,জুন
488,Juli::N,июль,জুলাই
489,August::N,август,অগাস্ট
490,September::N,сентябрь,সেপ্টেম্বর
491,Oktober::N,октябрь,অক্টোবর
492,November::N,ноябрь,নভেম্বর
493,Dezember::N,декабрь,ডিসেম্বর
494,Montag::N,понедельник,সোমবার
495,Dienstag::N,вторник,মঙ্গলবার
496,Mittwoch::N,среда,বুধবার
497,Donnerstag::N,четверг,বৃহম্পতিবার
498,Freitag::N,пятница,শুক্রবার
499,Samstag::N,суббота,শনিবার
500,Sonntag::N,воскресенье,রবিবার
501,groß::A,большой,বৃহৎ
502,klein::A,маленький,ছোট
503,lang::A,длинный,দীর্ঘ
504,kurz::A,короткий,খর্ব
505,kurz::A,короткий,হ্রস্ব
506,breit::A,широкий,চওড়া
507,schmal::A,узкий,সরু
508,dicht::A,густой,ঘন
509,dick[Gegenstand]::A,толстый,পুরু
510,dünn::A,тонкий,কৃশ
511,fein::A,тонкий,সূক্ষ্ম
512,fest::A,крепкий,দৃঢ়
513,flach::A,плоский,সমতল
514,glatt::A,гладкий,মসৃণ
515,hart::A,твердый,শক্ত
516,weich::A,мягкий,নরম
517,rund::A,круглый,গোলাকার
518,spitz::A,остроконечный,তীক্ষ্ন
519,scharf::A,острый,শাণিত
520,stumpf::A,тупой,ভোঁতা
521,schwer::A,тяжелый,ভারী
522,schön::A,красивый,সুন্দর
523,heiß::A,жаркий,গরম
524,warm::A,теплый,ঈষদুষ্ণ
525,kalt::A,холодный,ঠাণ্ডা
526,kühl::A,прохладный,শীতল
527,frisch::A,свежий,তাজা
528,feucht::A,влажный,ভিজা
529,nass::A,мокрый,ভিজা
530,trocken::A,сухой,শুষ্ক
531,voll::A,полный,পূর্ণ
532,voll::A,наполненный,পূর্ণ
533,leer::A,пустой,খালি
534,offen::A,открытый,খোলা
535,geschlossen::A,закрытый,বন্ধ
536,sauber::A,чистый,নির্মল
537,schmutzig::A,грязный,নোংরা
538,roh::A,сырой,কাঁচা
539,reif::A,зрелый,পাকা
540,lecker::A,вкусный,সুস্বাদ
541,süß::A,сладкий,মিষ্ট
542,bitter::A,горький,তিক্ত
543,sauer::A,кислый,টক
544,hell::A,светлый,উজ্জ্বল
545,dunkel::A,темный,অন্ধকারময়
546,schwarz::A,черный,কালো
547,weiß::A,белый,সাদা
548,rot::A,красный,লাল
549,gelb::A,желтый,হলদে
550,blau::A,синий,নীল
551,grün::A,зеленый,সবুজ
552,grau::A,серый,ছাই-রঙা
553,bunt::A,пестрый,রঙিন
554,billig::A,дешевый,সস্তা
555,teuer::A,дорогой,আক্রা
556,wertvoll::A,ценный,মহার্ঘ
557,blind::A,слепой,কানা
558,taub::A,глухой,বধির
559,kräftig::A,могучий,বিশাল
