,Concept_ID,te,no
490,Alter::N,వయస్సు,alder
491,Schluss::N,ముగింపు,slutt
492,Zeit::N,కాలము,tid
493,Tag::N,దినము,dag
494,Morgen::N,ఉదయము,morgen
495,Mittag::N,మధ్యాహ్నము,middag
496,Abend::N,సాయంకాలము,aften
497,Nacht::N,రత్రి,natt
498,Woche::N,వారము,uke
499,Monat::N,నెల,måned
500,Jahr::N,సంవత్సరము,år
501,Frühling::N,వసంతకాలము,vår
502,Sommer::N,వేసవికాము,sommer
503,Herbst::N,ఆకురాలుకాలము,høst
504,Winter::N,శీతకాలము,vinter
505,Januar::N,జనవరి,januar
506,Februar::N,ఫిబ్రవరి,februar
507,März::N,మార్చి,mars
508,April::N,ఏప్రిలు,april
509,Mai::N,మే,mai
510,Juni::N,జూన్,juni
511,Juli::N,జూలై,juli
512,August::N,ఆగస్టు,august
513,September::N,సెప్ఠెంబరు,september
514,Oktober::N,అక్టోబరు,oktober
515,November::N,నవంబరు,november
516,Dezember::N,డిసెంబర్,desember
517,Montag::N,సోమవారము,mandag
518,Dienstag::N,మంగళవారము,tirsdag
519,Mittwoch::N,బుధవారము,onsdag
520,Donnerstag::N,గురువారము,torsdag
521,Freitag::N,శుక్రవారము,fredag
522,Samstag::N,శనివారము,lørdag
523,Sonntag::N,ఆదివారము,søndag
524,groß::A,గొప్పైన,stor
525,klein::A,చిన్న,liten
526,lang::A,పొడుగాటి,lang
527,kurz::A,పొట్టి,kort
528,breit::A,వెడల్పైన,bred
529,schmal::A,ఇఱుకైన,smal
530,dicht::A,దట్టమైన,tett
531,dick[Gegenstand]::A,దట్టమైన,tykk
532,dünn::A,పలుచని,tynn
533,fein::A,నాజాకైన,fin
534,fest::A,దృడమైవ,fast
535,flach::A,చదువైన,flat
536,glatt::A,నున్నని,glatt
537,hart::A,కఠినమైన,hard
538,weich::A,మృదువైన,myk
539,weich::A,మృదువైన,bløt
540,rund::A,గుండ్రని,rund
541,spitz::A,మొనగల,spiss
542,scharf::A,పదనైన,kvass
543,stumpf::A,వాడిలేని,stubb
544,schwer::A,బరువ్తెన,tung
545,schön::A,సుందరమైన,pen
546,schön::A,సుందరమైన,vakker
547,heiß::A,వేడియైన,het
548,warm::A,వెచ్చని,varm
549,kalt::A,చల్లని,kald
550,kühl::A,చల్లని,kjølig
551,frisch::A,తాజాయైన,fersk
552,feucht::A,చెమ్మగానున్న,fuktig
553,nass::A,తడిగామన్న,våt
554,trocken::A,ఎండిన,tørr
555,voll::A,నిండు,full
556,leer::A,శూన్యమైన,tom
557,offen::A,తెఱచియున్న,åpen
558,geschlossen::A,మూసిన,lukket
559,sauber::A,పరిశుద్ధమైన,ren
560,schmutzig::A,ముఱికియైన,skitten
561,roh::A,పచ్చి,rå
562,reif::A,పండివ,moden
563,lecker::A,రుచి గల,lekker
564,süß::A,తియ్యని,søt
565,bitter::A,చేదైన,besk
566,bitter::A,చేదైన,bitter
567,sauer::A,పుల్లని,sur
568,hell::A,కాంతిగల,lys
569,dunkel::A,చీకటియైన,mørk
570,schwarz::A,నల్లని,svart
571,weiß::A,తెలుపు,hvit
572,rot::A,ఎఱ్ఱని,rød
573,gelb::A,పసుపు పచ్చ,gul
574,blau::A,నీలవర్ణము,blå
575,grün::A,ఆకుపచ్చని,grønn
576,grau::A,నెరిసిన,grå
577,bunt::A,రంగేలీ,broket
578,billig::A,చౌకయైన,billig
579,teuer::A,వెలపొడుగైన,dyr
580,wertvoll::A,విలుప్తెన,verdifull
581,blind::A,గ్రుడ్డి,blind
582,taub::A,చెవిటి,døv
583,kräftig::A,శక్తి గల,kraftig
584,stark::A,బలమైన,sterk
585,schwach::A,బలహీనమైన,svak
586,fett::A,క్రొవ్విన,fet
587,schlank::A,సన్నని,slank
588,hübsch::A,సాగప్తెన,pen
589,böse::A,చెడ్డ,slem
590,dumm::A,తెలివిలేని,dum
591,faul::A,సోమరియైన,lat
592,faul::A,సోమరియైన,doven
593,fleißig::A,శ్రద్దగల,flittig
594,geizig::A,పిసినారియైన,gjerrig
595,klug::A,తెలివిగల,klok
596,geschickt::A,నిపుణతగల,hendig
597,geschickt::A,నిపుణతగల,skikket
598,lieb::A,ప్రియమైన,kjær
599,lieb::A,ప్రియమైన,snill
600,lustig::A,ఉల్లాసము గల,morsom
601,sanft::A,సాధువైన,blid
602,hungrig::A,ఆకలిగొనిన,sulten
603,krank::A,వ్యాధిగల,syk
604,nackt::A,దిగంబరమైన,naken
605,traurig::A,విచారముగల,sørgmodig
606,lebendig::A,ప్రాణముతో నున్న,levende
607,gut::A,మంచి,god
608,schlecht::A,చెడ్డ,dårlig
609,richtig::A,సరియైన,riktig
610,schlimm::A,అసహ్యమైన,slem
611,wahr::A,నిజమైన,sann
612,alt::A,ముసలి,gammel
613,neu::A,క్రొత్త,ny
614,ehemalig::A,పూర్వపు,forhenværende
615,alt[Lebewesen]::A,ముసలి,gammel
616,jung::A,పసి,ung
617,arm::A,బీద,fattig
618,reich::A,ధనవంతుడైన,rik
619,bekannt::A,తెలిసిన,kjent
620,berühmt::A,ప్రపిద్దికెక్కివ,berømt
621,fremd::A,అన్యమైన,fremmed
622,verschieden::A,భేదమైన,forskjellig
623,nah::A,దగ్గఱనున్న,nær
624,fern::A,దూరమందున్న,fjern
625,linker::A,ఎడమప్రక్కగ,venstre
626,rechter::A,కుడి,høyre
627,anderer::A,వేఱ్తెన,annen
628,erster::A,మొదటి,første
629,zweiter::A,రెండన,annen
630,dritter::A,మూడో,tredje
631,letzter::A,కడపటి,sist
632,allein::ADV,ఒంటిగా,alene
633,auf einmal::ADV,హరాత్తుగ,med ett
634,zusammen::ADV,కలిసి,sammen
635,lange::ADV,బహుకాలము,lenge
636,plötzlich::ADV,హరాత్తుగ,plutselig
637,sofort::ADV,తక్షణము,straks
638,später::ADV,ఇటీవలి,senere
639,jetzt::ADV,ఇప్పుడు,nå
640,heute::ADV,నేడు,i dag
641,morgen::ADV,ఱేపు,i morgen
642,bald::ADV,శీఘ్రముగ,snart
643,dann::ADV,అప్పుడు,så
644,gestern::ADV,నిన్నటి దినము,i går
645,einst::ADV,పూర్వమొకప్పుడు,engang
646,damals::ADV,అప్పుడు,den gang
647,danach::ADV,అప్పుడు,deretter
648,vorher::ADV,ఎదుట,før
649,vorher::ADV,ఎదుట,i forveien
650,zuerst::ADV,మొదటిలో,først
651,einmal::ADV,ఒకసారి,en gang
652,manchmal::ADV,అప్పటప్పటికి,somme tider
653,oft::ADV,తఱచుగా,ofte
654,immer::ADV,ఎల్లప్పుడు,alltid
655,niemals::ADV,ఎప్పుడునులేదు,aldri
656,hier::ADV,ఇక్కడ,her
657,hierhin::ADV,ఇక్కడకు,hit
658,von hier::ADV,ఇక్కడనుండి,herfra
659,dort::ADV,అక్కడ,der
660,dorthin::ADV,అక్కడికి,dit
661,geradeaus::ADV,సూటిగా,rett fram
662,vorwärts::ADV,ముందుకు,fram
663,vorwärts::ADV,ముందుకు,framover
664,rückwärts::ADV,వెనుకకు,baklengs
665,zurück::ADV,వెనుకభాగము,tilbake
666,unten::ADV,క్రింద,nede
667,hinab::ADV,కిందికి,ned
668,hinab::ADV,కిందికి,nedover
669,oben::ADV,మీద,oppe
670,oben::ADV,మీద,ovenpå
671,hinauf::ADV,పైకి,opp
672,hinauf::ADV,పైకి,oppover
673,überall::ADV,అంతటా,overalt
674,nicht::ADV,కాదు,ikke
675,ein wenig::ADV,కొంచెము,litt
676,kaum::ADV,చాలిచాలక,neppe
677,sehr::ADV,చాల,svært
678,so::ADV,ఆలాగున,så
679,noch::ADV,ఇప్పటికిని,enda
680,nur::ADV,మాత్రము,bare
681,schon::ADV,ఇదివఱకే,alt
682,schon::ADV,ఇదివఱకే,allerede
683,wieder::ADV,తిరిగి,igjen
684,vergebens::ADV,నిష్ఫలముగా,forgjeves
685,vor::PRP,ముందు,foran
686,vor::PRP,ముందు,utenfor
687,hinter::PRP,వెనుక,bak
688,hinter::PRP,వెనుక,bakom
689,unter::PRP,క్రింద,under
690,durch::PRP,ద్వారా,gjennom
691,durch::PRP,ద్వారా,igjennom
692,neben::PRP,దగ్గెర,ved siden av
693,zwischen::PRP,మధ్య,mellom
694,wegen::PRP,కారణంగా,på grunn av
695,dies::PRN,ఇది,dette
696,das::PRN,అది,det
697,alles::PRN,సకలము,alt
698,ich::PRN,నేను,jeg
699,du::PRN,నీవు,du
700,er::PRN,అతడు,han
701,wir::PRN,మనము,vi
702,ihr::PRN,మీరు,dere
703,sie::PRN,వారు,de
704,was::FPRN,ఏమి,hva
705,wer::FPRN,ఎవడు,hvem
706,wo::FADV,ఎక్కడ,hvor
707,wohin::FADV,ఎందుకు,hvor ... hen
708,wie::FADV,ఎట్టు,hvordan
709,warum::FADV,ఏల,hvorfor
710,wieviel::FNUM,ఎంత,hvor mye
711,eins::NUM,ఒకటి,en
712,eins::NUM,ఒకటి,ett
