,Concept_ID,ml,kk
46,Knochen::N,അസ്ഥി,жілік
47,Gehirn::N,തലച്ചോറ്,ми
48,Herz::N,ഹൃദയം,жүрек
49,Magen::N,വയർ,асқазан
50,Leber::N,കരൾ,бауыр
51,Atem::N,ശ്വാസം,леп
52,Hunger::N,വിശപ്പ്,ашаршылық
53,Träne::N,കണ്ണീർ,жас
54,Geschmack::N,രുചി,дәм
55,Geschmack::N,രുചി,татым
56,Geschmack::N,രുചി,талғам
57,Geruch::N,ഗന്ധം,иіс
58,Schlaf::N,ഉറകും,ұйқы
59,Schlaf::N,ഉറകും,ұйықтау
60,Traum::N,സ്വപ്നം,түс
61,Himmel::N,ആകാശം,аспан
62,Himmel::N,ആകാശം,көқ
63,Himmel::N,ആകാശം,таңдай
64,Sonne::N,സൂര്യൻ,күн
65,Mond::N,ചന്ദ്രൻ,ай
66,Stern::N,നക്ഷത്രം,жұлдыз
67,Luft::N,കാറ്റ്,әуе
68,Wind::N,കാറ്റ്,жел
69,Welle::N,തിരമാല,толқын
70,Wasser::N,വെള്ളം,су
71,Stein::N,ശില,тас
72,Stein::N,കല്ല്,тас
73,Boden::N,തറ,қыртыс
74,Boden::N,നിലം,қыртыс
75,Erde::N,മണ്ണ്,топырақ
76,Staub::N,പൊടി,шаң
77,Rauch::N,പുക,түтін
78,Funke::N,തീപ്പൊരി,ұшқын
79,Feuer::N,തീ,алау
80,Licht::N,വിളക്ക്,шұғыла
81,Licht::N,സൂര്യപ്രകാശം,шұғыла
82,Schatten::N,തണൽ,көлеңке
83,Wetter::N,കാലാവസ്ഥ,ауа райы
84,Nebel::N,മൂടൽമഞ്ഞ്,тұман
85,Wolke::N,മേഘം,бұлт
86,Regen::N,മഴ,жаңбыр
87,Schnee::N,മഞ്ഞ്,қар
88,Eis::N,ഐസ്,мұз
89,Frost::N,മൂടൽമഞ്ഞ്,суық
90,Kälte::N,തണുപ്പ്,ызғар
91,Kälte::N,തണുപ്പ്,суықтық
92,Hitze::N,ചൂട്,аптап
93,Raureif::N,കോടമഞ്ഞ്,қырау
94,Regenbogen::N,മഴവില്ല്,кемпірқосақ
95,Donner::N,ഇടി,күн күркіреу
96,Strömung::N,പ്രവാഹം,ағын
97,Tropfen::N,തുള്ളി,тамшы
98,Schaum::N,നുര,көбік
99,Schmutz::N,അഴുക്ക്,кір
100,See::N,തടാകം,көл
101,Sumpf::N,ചതുപ്പുനിലം,саз
102,Moor::N,പാഴ്നിലം,саз
103,Wiese::N,പുൽത്തകിടി,шалғын
104,Wald::N,വനം,орман
105,Wald::N,കാട്,орман
106,Hügel::N,കുന്ന്,төбе
107,Hügel::N,കുന്ന്,белес
108,Hügel::N,കുന്ന്,белес-белес
109,Anhöhe::N,ഉയർന്ന ഭൂമി,дөң
110,Anhöhe::N,ഉയർന്ന ഭൂമി,адыр
111,Anhöhe::N,ഉയർന്ന ഭൂമി,қырат
112,Berg::N,പർവ്വതം,тау
113,Gipfel::N,ഉച്ചകോടി,төбе
114,Höhle::N,ഗുഹ,үңгір
115,Abhang::N,ചരിവ്,бауыр
116,Quelle::N,ഉറവിടം,қайнар
117,Bach::N,അരുവി,жылға
118,Fluss::N,നദി,өзен
119,Ufer::N,തീരം,жиек
120,Küste::N,കടൽത്തീരം,жиегі
121,Küste::N,കടൽത്തീരം,жағалау
122,Festland::N,കര,құрылық
123,Meer::N,കടൽ,теңіз
124,Bucht::N,ഉൾക്കടല്,шығанақ
125,Insel::N,ദ്വീപ്,арал
126,Blume::N,പൂവ്,гүл
127,Gras::N,പുല്ല്,от
128,Wurzel::N,വേര്,түбір
129,Baum::N,മരം,ағаш
130,Baum::N,മരം,дарақ
131,Stamm::N,തായ്ത്തടി,сояу
132,Stamm::N,തായ്ത്തടി,оқпан
133,Rinde::N,പട്ട,қабық
134,Ast::N,ശാഖ,бұтақ
135,Zweig::N,ശാഖ,шыбық
136,Blatt::N,ഇല,жапырақ
137,Birke::N,പൂവരശ്,қайың
138,Kiefer[Baum]::N,പൈൻമരം,қарағай
139,Weide[Baum]::N,വില്ലോ,тал
140,Tanne::N,ദേവദാരു,шырша
141,Horn::N,മൃഗത്തിൻറെ കൊമ്പ്,мүйіз
142,Feder::N,തൂവൽ,қаламұш
143,Fell::N,മൃദുരോമം,тері
144,Flügel::N,ചിറക്,қанат
145,Klaue::N,നഖം,тырнақ
146,Kralle::N,നഖം,аяқ
147,Schwanz::N,വാൽ,құйрық
148,Ei::N,മുട്ട,жұмыртқа
149,Nest::N,കൂട്,ұя
150,Bau::N,മാളം,жатақ
151,Tier::N,മൃഗം,айуан
152,Tier::N,മൃഗം,жануар
153,Herde::N,കൂട്ടം,пада
154,Kuh::N,പശു,сиыр
155,Bulle::N,കാള,өгіз
156,Pferd::N,കുതിര,жылқы
157,Schaf::N,ആട്,қой
158,Schwein::N,പന്നി,шошқа
159,Hund::N,നായ്,ит
160,Katze::N,പൂച്ച,мысық
161,Bär::N,കരടി,аю
162,Eichhörnchen::N,അണ്ണാൻ,тиін
163,Elch::N,കടമാന്,бұғы
164,Fuchs::N,കുറുക്കൻ,түлкі
165,Hase::N,മുയൽ,қоян
166,Maus::N,ചുണ്ടലി,қаптесер
167,Wolf::N,ചെന്നായ,бөрі
168,Wolf::N,ചെന്നായ,қасқыр
169,Vogel::N,പക്ഷി,құс
170,Schwarm::N,കൂട്ടം,топ
171,Schwarm::N,കൂട്ടം,үйір
172,Huhn::N,കോഴി,тауық
173,Huhn::N,കോഴി,мекиен
174,Hahn::N,പൂവൻകോഴി,әтеш
175,Hahn::N,പൂവൻകോഴി,қораз
176,Gans::N,അരയന്നം,қаз
177,Adler::N,കഴുകൻ,бүркіт
178,Ente::N,താറാവ്,үйрек
179,Eule::N,മൂങ്ങ,жапалақ
180,Kranich::N,കൊക്ക്,тырна
181,Krähe::N,കാക്ക,қарға
182,Kuckuck::N,കുയിൽ,көкек
183,Schwan::N,അരയന്നം,аққу
184,Fisch::N,മത്സ്യം,балық
185,Barsch::N,ഒരിനം മത്സ്യം,алабұға
186,Hecht::N,ഒരു മത്സ്യം,шортан
187,Schlange[Tier]::N,പാമ്പ്,жылан
188,Wurm::N,വിര,шұбалшаң
189,Spinne::N,ചിലന്തി,өрмекші
190,Ameise::N,ഉറുമ്പ്,қүмырска
191,Laus::N,പേന്,бит
192,Mücke::N,മശകം,маса
193,Fliege::N,ഈച്ച,шыбын
194,Schmetterling::N,ചിത്രശലഭം,көбелек
195,Beere::N,ബെറി,жидек
196,Apfel::N,ആപ്പിൾ,алма
197,Pilz::N,കൂൺ,қозықұйрық
198,Pilz::N,കൂൺ,саңыраукулақ
199,Zwiebel::N,സവാള,жуа
200,Saat::N,വിത്ത്,тұқым
201,Korn::N,ധാന്യം,дән
202,Heu::N,വയ്ക്കോൽ,шөп
203,Schale::N,തൊലി,қабық
204,Schale::N,തൊലി,қабығы
205,Grube::N,കുഴി,ор
206,Falle::N,കെണി,дұзақ
207,Falle::N,കെണി,қақпан
208,Schlinge::N,കുടുക്ക്,ілмек
209,Spur::N,ചുവട്,із
210,Asche::N,ചാരം,күл
211,Dreck::N,അഴുക്ക്,былғаныш
212,Eisen::N,ഇരുമ്പ്,темір
213,Gold::N,സ്വർണ്ണം,алтын
214,Silber::N,വെള്ളി,күміс
215,Kohle::N,കൽക്കരി,көмір
216,Glas::N,ഗ്ലാസ്,шыны
217,Lehm::N,കളിമണ്ണ്,балшық
218,Sand::N,മണൽ,құм
219,Mensch::N,മനുഷ്യർ,адам
220,Mann::N,പുരുഷൻ,еркек
221,Mann::N,പുരുഷൻ,ер адам
222,Frau::N,സ്ത്രീ,бике
223,Frau::N,സ്ത്രീ,қатын
224,Kind::N,കുഞ്ഞ്,бала
225,Kind::N,കുഞ്ഞ്,перзент
226,Junge::N,ആൺകുട്ടി,бала
227,Junge::N,ആൺകുട്ടി,ер бала
228,Mädchen::N,പെൺകുട്ടി,қыз
229,Familie::N,കുടുംബം,жанұя
230,Großvater::N,അപ്പൂപ്പൻ,ата
231,Großmutter::N,അമ്മുമ്മ,әже
232,Großmutter::N,അമ്മുമ്മ,әжей
233,Eltern::N,മാതാപിതാക്കള്,ата-аналар
234,Vater::N,അച്ഛൻ,әке
235,Mutter::N,അമ്മ,ана
236,Sohn::N,മകൻ,ұл
237,Tochter::N,മകൾ,қызым
238,Bruder::N,ചേട്ടൻ,бауырым
239,Bruder::N,അനിയൻ,бауырым
240,Schwester::N,ചേച്ചി,әпке
241,Schwester::N,അനിയത്തി,әпке
242,Onkel::N,അമ്മാവൻ,көке
243,Tante::N,മാമി,тәте
244,Ehemann::N,ഭർത്താവ്,ер
245,Ehefrau::N,ഭാര്യ,зайып
246,Freude::N,ആഹ്ലാദം,қуаныш
247,Freude::N,ആഹ്ലാദം,сүйініш
248,Freude::N,ആഹ്ലാദം,шат-думан
249,Freude::N,ആഹ്ലാദം,қуаныштылық
250,Gelächter::N,ചിരിയുടെ ശബ്ദം,күлу
251,Glück::N,സന്തോഷം,бақыт
252,Glück::N,സന്തോഷം,бақыттылық
253,Glück::N,സന്തുഷ്ടി,бақыт
254,Glück::N,സന്തുഷ്ടി,бақыттылық
255,Kummer::N,ശോകം,аза
256,Kummer::N,ശോകം,қайғы
257,Kummer::N,ശോകം,қасырет
258,Wunsch::N,ആഗ്രഹം,мүдде
259,Lust::N,ആഗ്രഹം,тәбет
260,Lust::N,ആഗ്രഹം,ынтызар
261,Lust::N,ആഗ്രഹം,құштарлық
262,Geist::N,ചുറുചുറുക്ക്,рух
263,Gedanke::N,ചിന്ത,ой
264,Gedächtnis::N,ഓർമ്മശക്തി,ес
265,Gedächtnis::N,ഓർമ്മശക്തി,жады
266,Gedächtnis::N,ഓർമ്മശക്തി,ақыл-ес
267,Verstand::N,മനസ്സ്,ақыл
268,Verstand::N,മനസ്സ്,парасат
269,Sinn::N,അർത്ഥം,мән
270,Sinn::N,അർത്ഥം,маныз
271,Sinn::N,അർത്ഥം,мағына
272,Sinn::N,അർത്ഥം,мән-мағына
273,Grund::N,കാരണം,себеп
274,Wahrheit::N,സത്യം,рас
275,Gespräch::N,സല്ലാപം,әңгіме
276,Märchen::N,യക്ഷിക്കഥ,ертеп
277,Märchen::N,യക്ഷിക്കഥ,ертек
278,Erzählung::N,കഥ,әңгіме
279,Nachricht::N,സന്ദേശം,хабар
280,Neuigkeit::N,വാർത്ത,жаңалық
281,Name::N,പേര്,ат
282,Name::N,പേര്,атау
283,Rätsel::N,പ്രഹേളിക,жұмбақ
284,Rede::N,സംസാരം,сөз
285,Sprache::N,ഭാഷ,тіл
286,Stimme::N,സ്വരം,үн
287,Stimme::N,സ്വരം,әуен
288,Stimme::N,സ്വരം,дауыс
289,Wort::N,വാക്ക്,сөз
290,Zeichen::N,സംജ്ഞ,ишара
291,Ruf::N,വിളി,айғай
292,Lärm::N,ആരവം,айғай-шу
293,Lärm::N,ആരവം,айғай-ұйғай
294,Laut::N,ശബ്ദം,дыбыс
295,Laut::N,ശബ്ദം,дауыс
296,Ton::N,സ്വരഭേദം,әуен
297,Lied::N,പാട്ട്,ән
298,Lied::N,പാട്ട്,жыр
299,Lied::N,പാട്ട്,ән-жыр
300,Ruhe::N,നിശ്ചലത,тыныштық
301,Leute::N,ജനങ്ങൾ,кісілер
302,Volk::N,രാഷ്ടം,халық
303,Arbeit::N,ജോലി,еңбек
304,Gast::N,അതിലി,қонақ
305,Gast::N,അതിലി,мейман
306,Geschenk::N,സമ്മാനം,қадия
307,Spiel::N,കളി,ойын
308,Gesellschaft::N,കൂട്ടായ്മ,қауым
309,Gesellschaft::N,കൂട്ടായ്മ,жұртшылық
310,Hilfe::N,സഹായം,жэрдем
311,Freund::N,സുഹൃത്ത്,дос
312,Kamerad::N,കൂട്ടാളി,дос-жар
313,Angelegenheit::N,കാര്യം,жұмыс
314,Anzahl::N,എണ്ണം,сан
315,Anzahl::N,എണ്ണം,саны
316,Art::N,തരം,түр
317,Stück::N,കഷണം,тілім
318,Teil::N,ഭാഗം,үлес
319,Teil::N,ഭാഗം,бөлшек
320,Hälfte::N,പകുതി,жарты
321,Kreis::N,വൃത്തം,шеңбер
322,Kreuz::N,കുരിശടയാളം,крест
323,Linie::N,വര,сызық
324,Linie::N,രേഖ,сызық
325,Strich::N,പക്ഷാഘാതം,сызық
326,Abstand::N,വിടവ്,ара
327,Abstand::N,വിടവ്,аралық
328,Entfernung::N,അകലം,аралық
329,Gegend::N,പ്രദേശം,өңір
330,Platz::N,ഇടം,орны
331,Ort::N,സ്ഥലം,орын
332,Seite::N,വശം,жақ
333,Seite::N,വശം,бүйір
334,Mitte::N,മധ്യസ്ഥാനം,ортасы
335,Gegenstand::N,സാധനം,зат
336,Gegenstand::N,സാധനം,нәрсе
337,Sache::N,വസ്തു,бұйым
338,Rand::N,തൊങ്ങൽ,шет
339,Rand::N,തൊങ്ങൽ,шеті
340,Kante::N,അറ്റം,қыр
341,Kante::N,അറ്റം,қыры
342,Ecke::N,മൂല,қыры
343,Ecke::N,മൂല,бұрыш
344,Spitze::N,അഗ്രം,ұшы
345,Ende::N,അവസാനം,аяқ
346,Ende::N,അവസാനം,соңы
347,Loch::N,ദ്വാരം,тесік
348,Winkel::N,കോൺ,мүйіс
349,Muster::N,ക്രമം,мәнер
350,Größe::N,വലുപ്പം,ауқым
351,Größe::N,വലുപ്പം,көлемдік
352,Länge::N,നീളം,бой
353,Länge::N,നീളം,ұзындық
354,Höhe::N,ഉയരം,жоғарылық
355,Höhe::N,ഉയരം,биіктік
356,Gewicht::N,കട്ടി,салмақ
357,Menge::N,അളവ്,мөлшер
358,Haufen::N,കൂമ്പാരം,үйме
359,Haufen::N,കൂമ്പാരം,үйінді
360,Reihe::N,വരി,сап
361,Boot::N,ബോട്ട്,қайық
362,Ruder::N,പങ്കായം,ескек
363,Schlitten::N,ഉരുളില്ലാവണ്ടി,шана
364,Ski::N,ഹിമപാദുകം,шаңғы
365,Lagerfeuer::N,തീ,алау
366,Last::N,ഭാരം,ауырлық
367,Last::N,ഭാരം,ауыр зат
368,Gang::N,നടത്തം,жүріс
369,Schritt::N,ചുവട്,адым
370,Norden::N,വടക്ക്,солтүстік
371,Norden::N,വടക്ക്,терістік
372,Süden::N,തെക്ക്,оңтүстік
373,Westen::N,പടിഞ്ഞാറ്,батыс
374,Osten::N,കിഴക്ക്,күншығыс
375,Holz::N,തടി,ағаш
376,Holz::N,തടി,сүрек
377,Brett::N,ബോർഡ്,тақта
378,Platte::N,തകിട്,тақта
379,Stütze::N,താങ്ങ്,тіреу
380,Stange::N,കമ്പ്,қада
381,Stock::N,വടി,сойыл
382,Stab::N,കുറുവടി,сырық
383,Rohr::N,കുഴൽ,құбыр
384,Haus::N,വീട്,үй
385,Heim::N,വീട്,үйлі
386,Heim::N,വീട്,шаңырақ
387,Ofen::N,സ്റ്റൌ,ошақ
388,Ofen::N,സ്റ്റൌ,пеш
389,Fußboden::N,തറ,еден
390,Tisch::N,മേശ,үстел
391,Stuhl::N,കസേര,орындық
392,Wiege::N,തൊട്ടിൽ,бесік
393,Bett::N,കിടക്ക,кереует
394,Regal::N,ഷെൽഫ്,сөре
395,Kiste::N,പെട്ടി,жәшік
396,Fenster::N,ജനൽ,терезе
397,Tür::N,വാതിൽ,есік
398,Tor::N,കവാടം,дарбаза
399,Zaun::N,വേലി,дуал
400,Dach::N,മേൽക്കുര,шатыр
401,Leiter::N,ഏണി,саты
402,Leiter::N,ഏണി,басқыш
403,Besen::N,ചൂല്,сыпырғыш
404,Spaten::N,തൂമ്പ,күрек
405,Schaufel::N,തൂമ്പ,қалақ
406,Gabel::N,മുൾക്കത്തി,аша
407,Gabel::N,മുൾക്കത്തി,шанышқы
408,Löffel::N,സ്പൂൺ,қасық
409,Messer::N,കത്തി,пышақ
410,Nagel::N,ആണി,мық
411,Nagel::N,ആണി,шеге
412,Netz::N,വല,керегекөз
413,Haken::N,കൊളുത്ത്,ілмек
414,Griff::N,കൈപ്പിടി,сап
415,Griff::N,കൈപ്പിടി,тұтқа
416,Schloss::N,പൂട്ട്,құлып
417,Schloss::N,പൂട്ട്,бекіткіш
418,Bild::N,ചിത്രം,сурет
419,Figur::N,കണക്ക്,тұлға
420,Puppe::N,പാവ,қуыршақ
421,Beutel::N,ബാഗ്,қапшық
422,Bündel::N,കെട്ട്,байлам
423,Tasche::N,ബാഗ്,дорба
424,Eimer::N,ബക്കറ്റ്,шелек
425,Deckel::N,ഉറ,жапқыш
426,Geschirr::N,പിഞ്ഞാണം,ыдыс
427,Sack::N,ചാക്ക്,қап
428,Tasse::N,കപ്പ്,шыныаяқ
429,Topf::N,പാത്രം,кәстрөл
430,Kessel::N,കെറ്റ്ല്,қазан
431,Essen::N,ആഹാരസമയം,ас
432,Nahrung::N,ഭക്ഷണം,ас
433,Nahrung::N,ഭക്ഷണം,тамақ
434,Speise::N,ഡിഷ്,тағам
435,Fleisch::N,മാംസം,ет
436,Getreide::N,ചോളം,дәнді
437,Brei::N,കഞ്ഞി,ботқа
438,Brot::N,റോട്ടി,күлше
439,Scheibe::N,തുണ്ട്,тілім
440,Fett::N,കൊഴുപ്പ്,май
441,Butter::N,വെണ്ണ,май
442,Öl::N,എണ്ണ,май
443,Salz::N,ഉപ്പ്,тұз
444,Suppe::N,സൂപ്പ്,көже
445,Honig::N,തേൻ,бал
446,Milch::N,പാൽ,сүт
447,Tee::N,ചായ,шай
448,Leder::N,തുകൽ,көн
449,Wolle::N,കമ്പിളി,жүн
450,Stoff::N,തുണി,мата
451,Stoff::N,തുണി,кездеме
452,Nadel::N,സൂചി,ине
453,Faden::N,നൂല്,жіп
454,Knopf::N,ബട്ടൺ,түйме
455,Knoten::N,കുരുക്ക്,түйін
456,Farbe::N,പെയിൻറ്,рең
457,Kleidung::N,വസ്ത്രങ്ങൾ,киім
458,Hemd::N,ഷർട്ട്,жейде
459,Kragen::N,കുപ്പായക്കഴുത്ത്,жаға
460,Ärmel::N,കുപ്പായക്കൈ,жең
461,Hose::N,ട്രൌസർ,шалбар
462,Gürtel::N,ബെൽറ്റ്,белбеу
463,Mütze::N,തൊപ്പി,қалпақ
464,Schuh::N,ഷൂ,кебіс
465,Stiefel::N,ബൂട്ട്,етік
466,Ring::N,മോതിരം,жүзік
467,Band::N,റിബൺ,таспа
468,Kamm::N,ചീപ്പ്,тарақ
469,Spiegel::N,കണ്ണാടി,айна
470,Riemen::N,സ്ട്രാപ്പ്,қайыс
471,Schnur::N,ചരട്,жіп
472,Leine::N,കെട്ടാനുള്ള തോൽവാർ,тізгін
473,Decke::N,പുതപ്പ്,көрпе
474,Kissen::N,തലയിണ,жастық
475,Tuch::N,സ്കാർഫ്,орамал
476,Handtuch::N,തോർത്ത്,сүлгі
477,Kraft::N,ശക്തി,қуат
478,Kraft::N,ശക്തി,қарқын
479,Kraft::N,ശക്തി,әл-шама
480,Kraft::N,ശക്തി,әл-дәрмен
481,Stärke::N,ശക്തി,әл
482,Stärke::N,ശക്തി,күш
483,Gesundheit::N,ആരോഗ്യം,денсаулык
484,Krankheit::N,അസുഖം,ауру
485,Schmerz::N,വേദന,ауру
486,Wunde::N,മുറിവ്,зақым
487,Wunde::N,മുറിവ്,жарақат
488,Fieber::N,പനി,безгек
489,Fieber::N,പനി,қалтырау
490,Fieber::N,പനി,қызу көтерілуі
491,Arznei::N,മരുന്ന്,дәрі
492,Arznei::N,മരുന്ന്,дәрі-дәрмек
493,Brücke::N,പാലം,көпір
494,Brunnen::N,കിണർ,құдық
495,Weide::N,മേച്ചൽ,өріс
496,Weide::N,മേച്ചൽ,жайылым
497,Pfad::N,വഴി,жол
498,Weg::N,വഴി,жол
499,Straße::N,റോഡ്,жол
500,Dorf::N,ഗ്രാമം,ауыл
501,Stadt::N,നഗരം,қала
502,Stadt::N,നഗരം,шаһар
503,Brief::N,കത്ത്,хат
504,Brief::N,കത്ത്,жазу
505,Buch::N,പുസ്തകം,кітап
506,Buchstabe::N,അക്ഷരം,әріп
507,Buchstabe::N,അക്ഷരം,қаріп
508,Zeitung::N,വർത്തമാനപത്രം,газет
509,Leben::N,ജീവൻ,өмір
510,Leben::N,ജീവൻ,тіршілік
511,Tod::N,മരണം,опат
512,Grab::N,ശവക്കുഴി,мола
513,Grab::N,ശവക്കുഴി,мазар
514,Kirche::N,പള്ളി,шіркеу
515,Sünde::N,പാപം,күнә
516,Gott::N,ദൈവം,алла
517,Gott::N,ദൈവം,құдай
518,Gott::N,ദൈവം,тәңірі
519,Gott::N,ദൈവം,пәруардігер
520,Gott::N,ദൈവം,жаратқан тәңірі
521,Arbeiter::N,ജോലിക്കാരൻ,жүмысшы
522,Chef::N,മേധാവി,басшы
523,Chef::N,മേധാവി,жұмыс басқарушысы
524,Meister::N,യജമാനൻ,шебер
525,Meister::N,യജമാനൻ,өнерпаз
526,Arzt::N,ഡോക്ടർ,дәрігер
527,Lehrer::N,അധ്യാപകൻ,мұғалім
528,Geld::N,പണം,пұл
529,Geschäft::N,ബിസിനസ്,бизнес
530,Laden::N,കട,дүкен
531,Preis::N,വില,ақы
532,Preis::N,വില,құны
533,Preis::N,വില,нарық
534,Ware::N,ചരക്ക്,тауар
535,Nutzen::N,ലാഭം,пайда
536,Reichtum::N,ധനം,бақ-дәулет
537,Welt::N,ലോകം,әлем
538,Welt::N,ലോകം,жиһан
539,Land::N,രാജ്യം,аймақ
540,Staat::N,രാജ്യം,мемлекет
541,König::N,രാജാവ്,патша
542,Macht::N,അധികാരം,өкімет
543,Macht::N,അധികാരം,қожалық
544,Grenze::N,അതിർത്തി,шек
545,Krieg::N,യുദ്ധം,соғыс
546,Feind::N,ശത്രു,жау
547,Feind::N,ശത്രു,дұшпан
548,Gewalt::N,അക്രമം,зорлык
549,Gewalt::N,അക്രമം,зорлық-зомбылык
550,Kampf::N,പോരാട്ടം,күрес
551,Kampf::N,പോരാട്ടം,алыспақ
552,Bogen[Waffe]::N,വില്ല്,саржа
553,Pfeil::N,അമ്പ്,жебе
554,Gewehr::N,തോക്ക്,қару
555,Fehler::N,പിശക്,әбес
556,Fehler::N,പിശക്,қаталық
557,Lüge::N,കള്ളം,өтірік
558,Schaden::N,കേടുപാട്,зиян
559,Schaden::N,കേടുപാട്,зарар
560,Unglück::N,ദൌർഭാഗ്യം,пәле
561,Unglück::N,ദൌർഭാഗ്യം,қасырет
562,Unglück::N,ദൌർഭാഗ്യം,ауыртпалық
563,Schuld::N,തെറ്റ്,айыптылық
564,Alter::N,വയസ്സ്,жас
565,Alter::N,വയസ്സ്,жас шамасы
566,Schluss::N,നിഗമനം,ада
567,Schluss::N,നിഗമനം,бітуі
568,Zeit::N,സമയം,уақыт
569,Tag::N,ദിവസം,күн
570,Morgen::N,പ്രഭാതം,таң
571,Morgen::N,പ്രഭാതം,таңертең
572,Mittag::N,ഉച്ച,талтүс
573,Abend::N,സായാഹ്നം,кеш
574,Nacht::N,രാത്രി,түн
575,Woche::N,ആഴ്ച,апта
576,Monat::N,മാസം,ай
577,Jahr::N,വർഷം,жыл
578,Frühling::N,വസന്തം,көктем
579,Sommer::N,വേനൽ,жаз
580,Herbst::N,ശരത്കാലം,күз
581,Winter::N,ശൈത്യം,қыс
582,Januar::N,ജനുവരി,каңтар
583,Februar::N,ഫെബ്രുവരി,ақпан
584,März::N,മാർച്ച്,наурыз
585,April::N,ഏപ്രിൾ മാസം,сәуір
586,Mai::N,മെയ് മാസം,мамыр
587,Juni::N,ജൂൺ,маусым
588,Juli::N,ജൂലൈ,шілде
589,August::N,ആഗസ്റ്റ്,сүмбіле
590,August::N,ആഗസ്റ്റ്,тамыз
591,September::N,സെപ്തംബർ,қыркүйек
592,Oktober::N,ഒക്ടോബർ,ақырап
593,November::N,നവംബർ,қараша
594,Dezember::N,ഡിസംബർ,желтоқсан
595,Montag::N,തിങ്കളാഴ്ച,дүйсенбі
596,Dienstag::N,ചൊവ്വ,сейсенбі
597,Mittwoch::N,ബുധനാഴ്ച,сәрсенбі
598,Donnerstag::N,വ്യാഴാഴ്ച,бейсенбі
599,Freitag::N,വെള്ളിയാഴ്ച,жұма
600,Samstag::N,ശനിയാഴ്ച,сенбі
601,Sonntag::N,ഞായറാഴ്ച,жексембі
602,groß::A,വലിയ,алпамсадай
603,klein::A,ചെറിയ,кішкене
604,klein::A,ചെറിയ,қарғадай
605,lang::A,നീണ്ട,сопақ
606,lang::A,നീണ്ട,сорайған
607,kurz::A,ഹ്രസ്വമായ,кеспелтек
608,breit::A,വിശാലമായ,айдынды
609,schmal::A,ഇടുങ്ങിയ,қысық
610,dicht::A,നിബിഡമായ,жиі
611,dick[Gegenstand]::A,തടിച്ച,шомбал
612,dünn::A,മെലിഞ്ഞ,жұқа
613,dünn::A,മെലിഞ്ഞ,жіңішке
614,fein::A,നേർത്ത,қаңылтақ
615,fest::A,ഉറപ്പുള്ള,берік
616,fest::A,ഉറപ്പുള്ള,мызғымас
617,flach::A,പരന്ന,жалпак
618,glatt::A,മിനുസമുള്ള,типыл
619,hart::A,കട്ടിയുള്ള,қатты
620,weich::A,മൃദുവായ,жұмсақ
621,rund::A,വട്ടത്തിലുള്ള,домалақ
622,spitz::A,മുനയുള്ള,үшкір
623,scharf::A,മൂർച്ചയുള്ള,сүйрік
624,stumpf::A,തുറന്നടിക്കുന്ന,доғал
625,stumpf::A,തുറന്നടിക്കുന്ന,өтпейтін
626,schwer::A,ഭാരമുള്ള,салмақты
627,schön::A,മനോഹരമായ,сұлу
628,heiß::A,ചൂടുള്ള,ыссы
629,warm::A,ചൂടുള്ള,жылы
630,kalt::A,തണുത്ത,аязды
631,kühl::A,തണുപ്പുള്ള,салқын
632,frisch::A,ശുദ്ധമായ,таза
633,frisch::A,ശുദ്ധമായ,жаңа
