,Concept_ID,ku,ab
916,umkommen::V,mirin,аҭахара
917,sich bewegen::V,leqîn,аиҭаҵра
918,sich rühren::V,leqîn,ақəацара
919,sich erheben::V,rabûn,аҩагылара
920,sich setzen::V,runiştin,атəара
921,hinfallen::V,kêtin,акаҳара
922,laufen::V,meşîn,аныҟəара
923,schreiten::V,meşkirin,ашьаҿа еихгара
924,spazierengehen::V,gerandin,анеи-ааира
925,eilen::V,lezandin,аццакра
926,sich beeilen::V,zûkirin,аццакра
927,sausen::V,fîzîn,аҧырра
928,sausen::V,fîzîn,иҭрысны
929,sausen::V,fîzîn,ишьҭҟьаны ацара
930,rennen::V,baz dan,аҩра
931,springen::V,hilpekîn,аҧара
932,klettern::V,hilperikîn,ақəлара
933,schaukeln::V,lorandin,аҟəараҟəанҽара
934,kriechen::V,xuşandin,аҳəазара
935,schwimmen::V,avjenîn,аӡсара
936,tauchen::V,qutxuyardin,ахəӡааҵəира
937,tauchen::V,noqîn,ахəӡааҵəира
938,rudern::V,qaîq ajotin,аҵшьра
939,fahren::V,ajotin,акала
940,fliegen::V,firîn,аҧырра
941,gehen::V,çûn,аиҭаҵра
942,weggehen::V,çûn,ацара
943,abfahren::V,çûyin,адəықəлара
944,abfahren::V,çûyin,ацара
945,anhalten::V,rawestîn,ааныргылара
946,hineingehen::V,ketin hundir,аҭалара
947,eintreten::V,têketin,аҩналара
948,kommen::V,hatin,аара
949,kommen::V,hatin,ааира
950,ankommen::V,gihan,ааира
951,ankommen::V,gihan,аара
952,ankommen::V,gihan,анеира
953,ankommen::V,gihîştin,ааира
954,ankommen::V,gihîştin,аара
955,ankommen::V,gihîştin,анеира
956,zurückkommen::V,vegerandin,азыхынҳəра
957,bleiben::V,sekinîn,аанхара
958,bleiben::V,sekinîn,анхара
959,bleiben::V,sekinîn,аангылара
960,warten::V,payîn,азҧшзаара
961,erwarten::V,payîn,азҧшра
962,suchen::V,lêgerîn,ашьҭазаара
963,finden::V,peyda kirin,аҧшаара
964,versuchen::V,çeribandin,аҽазкра
965,vorbereiten::V,amade kirin,армазеира
966,lieben::V,hez kirin,абзиабара
967,mögen::V,dil kirin,агəаҧхара
968,lachen::V,kenîn,аччара
969,rühren::V,hêjan,арҵəуара
970,weinen::V,girîn,аҵəуара
971,schimpfen::V,pevçûn,ацəҳара
972,sich ärgern::V,enirîn,агəаара
973,sich fürchten::V,tirsîn,аӡыӡара
974,fürchten::V,tirsin,ацəшəара
975,fliehen::V,bazdan,абналара
976,fliehen::V,bazdan,ацəцара
977,flüchten::V,revîn,абналара
978,flüchten::V,revîn,ацəцара
979,sehen::V,dîtin,абара
980,anschauen::V,sêr kirin,ахəаҧшра
981,ansehen::V,hesibandin,ахəаҧшра
982,hören::V,guhdar jirin,аҳара
983,zuhören::V,guhdarî kirin,азыӡырҩра
984,probieren::V,tehm kirin,аҧышəара
985,riechen::V,bihn kirin,афыҩра
986,fühlen::V,hîs kirin,анырра
987,fühlen::V,hîs kirin,ацәакырра
988,scheinen::V,xoyer kir,шәа
989,scheinen::V,xoyer kir,аацәырҵа
990,zu sehen sein::V,diyar bûn,
991,vernehmen::V,bihîstin,аҳара
992,frieren::V,qerişîn,ашəра
993,frieren::V,qerişîn,аҵаара
994,tun::V,kirin,аҟаҵара
995,können::V,karin,алшара
996,wollen::V,xwestîn,аҭахра
997,anfangen::V,dest pêkirin,алагара
998,beenden::V,xelas kirin,алгара
999,aufhören::V,xelas kirin,аҟəыҵра
1000,gelingen::V,çe bûn,аура
1001,gelingen::V,çe bûn,аманшəалахара
1002,gelingen::V,çe bûn,алҵра
1003,geraten::V,qewîmîn,нзаарын
1004,öffnen::V,vekirin,аартра
1005,schließen::V,girtin,аркра
1006,stellen::V,danîn,аргылара
1007,setzen::V,rûniştin,артəара
1008,legen::V,danîn,ақəҵара
1009,legen::V,razandin,ақəҵара
1010,berühren::V,lêketin,акьысра
1011,berühren::V,lêketin,алакьысра
1012,verbinden::V,anîn pê,аҿаҳəара
1013,bedecken::V,sergirtin,ақəршəра
1014,aufhängen::V,aliqandin,акнаҳара
1015,anzünden::V,pêxistin,аркра
1016,aufheben::V,hildan,ашьҭыхра
1017,zurücklassen::V,hiştin,аныжьра
1018,zurücklassen::V,vehiştin,аныжьра
1019,verlieren::V,wendakirin,ацəыӡра
1020,fallen lassen::V,xistin bixe,ацəкаҳара
1021,fallen lassen::V,xistin,ацəкаҳара
1022,machen::V,kirin,ачаҧара
1023,machen::V,çêkirin,ачаҧара
1024,herstellen::V,çê kirin,аиҵдара
1025,herstellen::V,peyda kirin,аиҵдара
1026,bauen::V,lêkirin,аргылара
1027,reparieren::V,veherînerîn,арҽеира
1028,verbessern::V,sererastkirin,аиҕьтəра
1029,ändern::V,degiş kirin,аҧсахра
1030,graben::V,kolandin,ажра
1031,beugen::V,tewîn,арҟəра
1032,beugen::V,tewîn,архəара
1033,beugen::V,xwar kirin,арҟəра
1034,beugen::V,xwar kirin,архəара
1035,biegen::V,tewandin,арҟəра
1036,biegen::V,tewandin,архəара
1037,biegen::V,xwarkirin,арҟəра
1038,biegen::V,xwarkirin,архəара
1039,drehen::V,fitilandin,аргьежьра
1040,wenden::V,zivîrin,
1041,umdrehen::V,vegerandin,аарҳәра
1042,heben::V,hildan,аҩахара
1043,heben::V,hildan,араҳара
1044,hochheben::V,hildan,ахагалара
1045,hochheben::V,hildan,ашьҭҳəара
1046,ergreifen::V,dest avêtin,
1047,halten::V,hîştin,акра
1048,halten::V,sekinîn,акра
1049,drücken::V,pêl kirin,ақəрӷəӷəара
1050,schieben::V,damdan,аҵгəара
1051,schieben::V,damdan,агəара
1052,kratzen::V,xurandin,ацəҟьара
1053,lecken::V,alastin,арбзара
1054,beißen::V,gez kirin,ацҳара
1055,abreißen::V,hilşandin,амжəара
1056,abschneiden::V,jêkirin,ахҵəара
1057,abschneiden::V,jêkirin,аҿахҵəара
1058,binden::V,girêdan,аҿаҳəара
1059,stecken::V,têxistin,алаҵара
1060,brechen::V,şikandin,аҧҵəара
1061,klopfen::V,kutandin,асра
1062,hauen::V,li dan,ақəкшара
1063,kleben::V,zeliqîn,аҷабра
1064,kleben::V,şirêz kirin,аҷабра
1065,reiben::V,firikandin,арҟəыҷра
1066,streichen::V,bax dan,ахьшьра
1067,schleifen::V,çarkirin,ахра
1068,schneiden::V,jêkirin,аҧҟара
1069,rütteln::V,hejandin,арҵысра
1070,schütteln::V,daweşîn,аршəшəара
1071,schwenken::V,têwdan,аҟьара
1072,schütten::V,rijandin,аҭаҭəара
1073,füllen::V,dagirtin,арҭəра
1074,einwickeln::V,pêçandin,алаҳəара
1075,tragen::V,kişandin,аҩагара
1076,tragen::V,rajtin,аҩагара
1077,schleppen::V,kişandin,арҳəазара
1078,ziehen::V,kişandin,ахара
1079,aufbewahren::V,hilandin,аҵəахра
1080,werfen::V,avêtin,аршəра
1081,fangen::V,sem kirin,акра
1082,fangen::V,girtin,акра
