,Concept_ID,cv,ml
74,Feuer::N,вут,തീ
75,Feuer::N,ҫулӑм,തീ
76,Licht::N,ҫутӑ,വിളക്ക്
77,Licht::N,ҫутӑ,സൂര്യപ്രകാശം
78,Schatten::N,сулхӑн,തണൽ
79,Wetter::N,ҫанталӑк,കാലാവസ്ഥ
80,Nebel::N,тӗтре,മൂടൽമഞ്ഞ്
81,Wolke::N,пӗлӗт,മേഘം
82,Regen::N,ҫумӑр,മഴ
83,Schnee::N,юр,മഞ്ഞ്
84,Eis::N,пӑр,ഐസ്
85,Frost::N,сивӗ,മൂടൽമഞ്ഞ്
86,Kälte::N,сивӗ,തണുപ്പ്
87,Hitze::N,вӗри,ചൂട്
88,Hitze::N,шӑрӑх,ചൂട്
89,Raureif::N,пас,കോടമഞ്ഞ്
90,Regenbogen::N,асамат кӗперӗ,മഴവില്ല്
91,Donner::N,аслати,ഇടി
92,Strömung::N,юхӑ,പ്രവാഹം
93,Tropfen::N,тумлам,തുള്ളി
94,Schaum::N,кӑпӑк,നുര
95,Schmutz::N,пылчӑк,അഴുക്ക്
96,See::N,кӳлӗ,തടാകം
97,Sumpf::N,шур,ചതുപ്പുനിലം
98,Sumpf::N,шурлӑх,ചതുപ്പുനിലം
99,Moor::N,торфлӑ шурлӑх,പാഴ്നിലം
100,Wiese::N,улӑх,പുൽത്തകിടി
101,Wiese::N,ҫаран,പുൽത്തകിടി
102,Wald::N,вӑрман,വനം
103,Wald::N,вӑрман,കാട്
104,Hügel::N,сӑрт,കുന്ന്
105,Hügel::N,тӗмеске,കുന്ന്
106,Anhöhe::N,сӑрт,ഉയർന്ന ഭൂമി
107,Berg::N,ту,പർവ്വതം
108,Gipfel::N,тӳпе,ഉച്ചകോടി
109,Höhle::N,ҫӗр хӑвӑлӗ,ഗുഹ
110,Abhang::N,тӑвайкки,ചരിവ്
111,Quelle::N,ҫӑл куҫ,ഉറവിടം
112,Bach::N,пӗчӗк шыв,അരുവി
113,Fluss::N,юхан шыв,നദി
114,Ufer::N,ҫыран,തീരം
115,Küste::N,тинӗс ҫыранӗ,കടൽത്തീരം
116,Festland::N,тип ҫӗр,കര
117,Meer::N,тинӗс,കടൽ
118,Bucht::N,тинӗс кукӑрӗ,ഉൾക്കടല്
119,Insel::N,утрав,ദ്വീപ്
120,Blume::N,чечек,പൂവ്
121,Gras::N,курӑк,പുല്ല്
122,Wurzel::N,тымар,വേര്
123,Baum::N,йывӑҫ,മരം
124,Stamm::N,вулӑ,തായ്ത്തടി
125,Rinde::N,хуйӑр,പട്ട
126,Ast::N,турат,ശാഖ
127,Zweig::N,турат,ശാഖ
128,Blatt::N,ҫулҫӑ,ഇല
129,Birke::N,хурӑн,പൂവരശ്
130,Kiefer[Baum]::N,хыр,പൈൻമരം
131,Weide[Baum]::N,хӑва,വില്ലോ
132,Tanne::N,чӑрӑш,ദേവദാരു
133,Horn::N,мӑйрака,മൃഗത്തിൻറെ കൊമ്പ്
134,Feder::N,тӗк,തൂവൽ
135,Fell::N,ҫӑм,മൃദുരോമം
136,Flügel::N,ҫунат,ചിറക്
137,Klaue::N,чӗрне,നഖം
138,Kralle::N,ура,നഖം
139,Schwanz::N,хӳре,വാൽ
140,Ei::N,ҫӑмарта,മുട്ട
141,Nest::N,йӑва,കൂട്
142,Bau::N,йӗнӗ,മാളം
143,Tier::N,выльӑх,മൃഗം
144,Herde::N,кӗтӳ,കൂട്ടം
145,Kuh::N,ӗне,പശു
146,Bulle::N,вӑкӑр,കാള
147,Pferd::N,лаша,കുതിര
148,Schaf::N,сурӑх,ആട്
149,Schwein::N,сысна,പന്നി
150,Hund::N,йытӑ,നായ്
151,Katze::N,кушак,പൂച്ച
152,Bär::N,упа,കരടി
153,Eichhörnchen::N,пакша,അണ്ണാൻ
154,Elch::N,пӑши,കടമാന്
155,Fuchs::N,тилӗ,കുറുക്കൻ
156,Hase::N,куян,മുയൽ
157,Hase::N,мулкач,മുയൽ
158,Maus::N,шӑши,ചുണ്ടലി
159,Wolf::N,кашкӑр,ചെന്നായ
160,Vogel::N,кайӑк,പക്ഷി
161,Vogel::N,вӗҫен кайӑк,പക്ഷി
162,Schwarm::N,ушкӑн,കൂട്ടം
163,Huhn::N,чӑх,കോഴി
164,Huhn::N,чӑхӑ,കോഴി
165,Hahn::N,автан,പൂവൻകോഴി
166,Gans::N,хур,അരയന്നം
167,Adler::N,ӑмӑрт кайӑк,കഴുകൻ
168,Ente::N,кӑвакал,താറാവ്
169,Eule::N,тӑмана,മൂങ്ങ
170,Kranich::N,тӑрна,കൊക്ക്
171,Krähe::N,ула курак,കാക്ക
172,Kuckuck::N,куккук,കുയിൽ
173,Schwan::N,акӑш,അരയന്നം
174,Fisch::N,пулӑ,മത്സ്യം
175,Barsch::N,уланкӑ,ഒരിനം മത്സ്യം
176,Hecht::N,ҫӑрттан,ഒരു മത്സ്യം
177,Schlange[Tier]::N,ҫӗлен,പാമ്പ്
178,Wurm::N,ӑман,വിര
179,Spinne::N,эрешмен,ചിലന്തി
180,Ameise::N,кӑткӑ,ഉറുമ്പ്
181,Laus::N,пыйтӑ,പേന്
182,Mücke::N,вӑрӑм туна,മശകം
183,Fliege::N,шӑна,ഈച്ച
184,Schmetterling::N,лӗпӗш,ചിത്രശലഭം
185,Beere::N,ҫырла,ബെറി
186,Apfel::N,улма,ആപ്പിൾ
187,Apfel::N,пан улми,ആപ്പിൾ
188,Pilz::N,кӑмпа,കൂൺ
189,Zwiebel::N,сухан,സവാള
190,Saat::N,вӑрӑ,വിത്ത്
191,Korn::N,тӗшӗ,ധാന്യം
192,Korn::N,пӗрчӗ,ധാന്യം
193,Heu::N,утӑ,വയ്ക്കോൽ
194,Schale::N,хупӑ,തൊലി
195,Grube::N,шӑтӑк,കുഴി
196,Falle::N,тапӑ,കെണി
197,Falle::N,капкӑн,കെണി
198,Schlinge::N,йӑлӑ,കുടുക്ക്
199,Spur::N,йӗр,ചുവട്
200,Asche::N,кӗл,ചാരം
201,Dreck::N,пылчӑк,അഴുക്ക്
202,Eisen::N,тимӗр,ഇരുമ്പ്
203,Gold::N,ылтӑн,സ്വർണ്ണം
204,Silber::N,кӗмӗл,വെള്ളി
205,Kohle::N,кӑмрӑк,കൽക്കരി
206,Glas::N,кӗленче,ഗ്ലാസ്
207,Lehm::N,тӑм,കളിമണ്ണ്
208,Sand::N,хӑйӑр,മണൽ
209,Mensch::N,ҫын,മനുഷ്യർ
210,Mensch::N,этем,മനുഷ്യർ
211,Mann::N,ар,പുരുഷൻ
212,Frau::N,хӗрарӑм,സ്ത്രീ
213,Kind::N,ача,കുഞ്ഞ്
214,Junge::N,ача,ആൺകുട്ടി
215,Junge::N,ар ҫын ача,ആൺകുട്ടി
216,Mädchen::N,хӗр ача,പെൺകുട്ടി
217,Familie::N,ҫемье,കുടുംബം
218,Familie::N,кил-йыш,കുടുംബം
219,Großvater::N,кукаҫи,അപ്പൂപ്പൻ
220,Großmutter::N,кукамай,അമ്മുമ്മ
221,Eltern::N,аҫа-ама,മാതാപിതാക്കള്
222,Vater::N,атте,അച്ഛൻ
223,Mutter::N,анне,അമ്മ
224,Sohn::N,ывӑл,മകൻ
225,Tochter::N,хӗр,മകൾ
226,Bruder::N,ар тӑван,ചേട്ടൻ
227,Bruder::N,ар тӑван,അനിയൻ
228,Schwester::N,аппа,ചേച്ചി
229,Schwester::N,аппа,അനിയത്തി
230,Schwester::N,йӑмӑк,ചേച്ചി
231,Schwester::N,йӑмӑк,അനിയത്തി
232,Onkel::N,мучи,അമ്മാവൻ
233,Onkel::N,пичче,അമ്മാവൻ
234,Tante::N,аппа,മാമി
235,Ehemann::N,упӑшка,ഭർത്താവ്
236,Ehefrau::N,арӑм,ഭാര്യ
237,Freude::N,савӑнӑҫ,ആഹ്ലാദം
238,Freude::N,хаваслӑх,ആഹ്ലാദം
239,Gelächter::N,кулӑ,ചിരിയുടെ ശബ്ദം
240,Glück::N,телей,സന്തോഷം
241,Glück::N,телей,സന്തുഷ്ടി
242,Glück::N,ӑраскал,സന്തോഷം
243,Glück::N,ӑраскал,സന്തുഷ്ടി
244,Kummer::N,хурлӑх,ശോകം
245,Wunsch::N,ӗмӗт,ആഗ്രഹം
246,Wunsch::N,кӑмӑл,ആഗ്രഹം
247,Lust::N,кӑмӑл,ആഗ്രഹം
248,Geist::N,чун-чӗм,ചുറുചുറുക്ക്
249,Geist::N,ыр-усал,ചുറുചുറുക്ക്
250,Geist::N,чун хавалӗ,ചുറുചുറുക്ക്
251,Gedanke::N,шухӑш,ചിന്ത
252,Gedächtnis::N,ас,ഓർമ്മശക്തി
253,Verstand::N,ӑс,മനസ്സ്
254,Verstand::N,ӑс-тӑн,മനസ്സ്
255,Verstand::N,ӑс-хакӑл,മനസ്സ്
256,Sinn::N,тупсӑм,അർത്ഥം
257,Sinn::N,пӗлтерӗш,അർത്ഥം
258,Grund::N,сӑлтав,കാരണം
259,Wahrheit::N,чӑнлӑх,സത്യം
260,Gespräch::N,калаҫу,സല്ലാപം
261,Märchen::N,юмах,യക്ഷിക്കഥ
262,Erzählung::N,акалав,കഥ
263,Erzählung::N,каласа пани,കഥ
264,Nachricht::N,хыпар,സന്ദേശം
265,Neuigkeit::N,ҫӗнӗ хыпар,വാർത്ത
266,Name::N,ят,പേര്
267,Rätsel::N,сутмалли юмах,പ്രഹേളിക
268,Rede::N,сӑмах,സംസാരം
269,Sprache::N,чӗлхе,ഭാഷ
270,Stimme::N,сасӑ,സ്വരം
271,Wort::N,сӑмах,വാക്ക്
272,Zeichen::N,паллӑ,സംജ്ഞ
273,Ruf::N,йыхрав,വിളി
274,Ruf::N,чӗнӳ,വിളി
275,Lärm::N,шав,ആരവം
276,Laut::N,сасӑ,ശബ്ദം
277,Ton::N,сасӑ,സ്വരഭേദം
278,Lied::N,юрӑ,പാട്ട്
279,Ruhe::N,канӑҫлӑх,നിശ്ചലത
280,Ruhe::N,лӑпкӑлӑх,നിശ്ചലത
281,Leute::N,ҫамрӑксем,ജനങ്ങൾ
282,Leute::N,ҫамрӑк ҫынсем,ജനങ്ങൾ
283,Volk::N,халӑх,രാഷ്ടം
284,Arbeit::N,ӗҫхӗл,ജോലി
285,Arbeit::N,ӗҫлев,ജോലി
286,Gast::N,хӑна,അതിലി
287,Geschenk::N,парне,സമ്മാനം
288,Geschenk::N,кучченеҫ,സമ്മാനം
289,Spiel::N,вӑйӑ,കളി
290,Gesellschaft::N,общество,കൂട്ടായ്മ
291,Hilfe::N,пулӑшу,സഹായം
292,Freund::N,тус,സുഹൃത്ത്
293,Kamerad::N,юлташ,കൂട്ടാളി
294,Kamerad::N,тус,കൂട്ടാളി
295,Angelegenheit::N,ӗҫ,കാര്യം
296,Anzahl::N,йыш,എണ്ണം
297,Anzahl::N,хисеп,എണ്ണം
298,Art::N,тӗс,തരം
299,Stück::N,татӑк,കഷണം
300,Teil::N,пай,ഭാഗം
301,Hälfte::N,ҫурӑ,പകുതി
302,Kreis::N,ункӑ,വൃത്തം
303,Kreis::N,ҫавракӑш,വൃത്തം
304,Kreuz::N,хӗрес,കുരിശടയാളം
305,Linie::N,йӗр,വര
306,Linie::N,йӗр,രേഖ
307,Strich::N,йӗр,പക്ഷാഘാതം
308,Abstand::N,хушӑ,വിടവ്
309,Entfernung::N,хушӑ,അകലം
310,Gegend::N,вырӑн,പ്രദേശം
311,Platz::N,хутлӑх,ഇടം
312,Ort::N,вырӑн,സ്ഥലം
313,Seite::N,ен,വശം
314,Seite::N,аяк,വശം
315,Seite::N,айӑк,വശം
316,Mitte::N,варӑ,മധ്യസ്ഥാനം
317,Gegenstand::N,япала,സാധനം
318,Sache::N,япала,വസ്തു
319,Rand::N,вӗҫ,തൊങ്ങൽ
320,Rand::N,хӗрӗ,തൊങ്ങൽ
321,Rand::N,хӗрри,തൊങ്ങൽ
322,Kante::N,хайкача,അറ്റം
323,Kante::N,хысак,അറ്റം
324,Ecke::N,кӗтес,മൂല
325,Spitze::N,вӗҫ,അഗ്രം
326,Ende::N,вӗҫ,അവസാനം
327,Loch::N,шӑтӑк,ദ്വാരം
328,Winkel::N,кӗтес,കോൺ
329,Muster::N,эреш,ക്രമം
330,Größe::N,пысӑкӑш,വലുപ്പം
331,Länge::N,вӑрӑмӑш,നീളം
332,Höhe::N,ҫӳллӗш,ഉയരം
333,Gewicht::N,виҫе,കട്ടി
334,Gewicht::N,йывӑрӑш,കട്ടി
335,Menge::N,йыш,അളവ്
336,Haufen::N,купа,കൂമ്പാരം
337,Reihe::N,рет,വരി
338,Boot::N,кимӗ,ബോട്ട്
339,Ruder::N,кӗсмен,പങ്കായം
340,Schlitten::N,ҫуна,ഉരുളില്ലാവണ്ടി
341,Ski::N,йӗлтӗр,ഹിമപാദുകം
342,Lagerfeuer::N,вут,തീ
343,Lagerfeuer::N,кӑвайт,തീ
344,Last::N,сулмаклӑх,ഭാരം
345,Last::N,йывӑр япала,ഭാരം
346,Gang::N,куҫӑм,നടത്തം
347,Schritt::N,утӑм,ചുവട്
348,Schritt::N,пусӑм,ചുവട്
349,Norden::N,ҫурҫӗр,വടക്ക്
350,Süden::N,кӑнтӑр,തെക്ക്
351,Westen::N,анӑҫ,പടിഞ്ഞാറ്
352,Westen::N,хӗвел анӑҫ,പടിഞ്ഞാറ്
353,Osten::N,хӗвел тухӑҫ,കിഴക്ക്
354,Holz::N,йывӑҫ,തടി
355,Brett::N,хӑма,ബോർഡ്
356,Platte::N,плита,തകിട്
357,Stütze::N,ура,താങ്ങ്
358,Stange::N,шерте,കമ്പ്
359,Stock::N,патак,വടി
360,Stab::N,шӑчӑ,കുറുവടി
361,Rohr::N,пӑрӑх,കുഴൽ
362,Haus::N,ҫурт,വീട്
363,Heim::N,кил,വീട്
364,Ofen::N,кӑмака,സ്റ്റൌ
365,Fußboden::N,урай,തറ
366,Tisch::N,сӗтел,മേശ
367,Stuhl::N,пукан,കസേര
368,Wiege::N,сӑпка,തൊട്ടിൽ
369,Bett::N,кравать,കിടക്ക
370,Regal::N,ҫӳлӗк,ഷെൽഫ്
371,Regal::N,сентре,ഷെൽഫ്
372,Kiste::N,ещӗк,പെട്ടി
373,Kiste::N,сунтӑх,പെട്ടി
374,Fenster::N,чӳрече,ജനൽ
375,Tür::N,алӑк,വാതിൽ
376,Tor::N,хапха,കവാടം
377,Zaun::N,хӳме,വേലി
378,Dach::N,тӑрӑ,മേൽക്കുര
379,Leiter::N,пусма,ഏണി
380,Besen::N,шӑпӑр,ചൂല്
381,Spaten::N,кӗреҫе,തൂമ്പ
382,Schaufel::N,кӗреҫе,തൂമ്പ
383,Gabel::N,вилка,മുൾക്കത്തി
384,Löffel::N,кашӑк,സ്പൂൺ
385,Messer::N,ҫӗҫӗ,കത്തി
386,Nagel::N,пӑта,ആണി
387,Netz::N,тетел,വല
388,Haken::N,йӑрхах,കൊളുത്ത്
389,Haken::N,ҫекӗл,കൊളുത്ത്
390,Griff::N,хӑлӑп,കൈപ്പിടി
391,Schloss::N,ҫӑра,പൂട്ട്
392,Bild::N,сӑн,ചിത്രം
393,Bild::N,сӑнлӑх,ചിത്രം
394,Bild::N,картина,ചിത്രം
395,Figur::N,кӗлетке,കണക്ക്
396,Puppe::N,пукане,പാവ
397,Beutel::N,михӗ,ബാഗ്
398,Bündel::N,ҫыхӑ,കെട്ട്
399,Bündel::N,тӗрке,കെട്ട്
400,Tasche::N,сумка,ബാഗ്
401,Eimer::N,витре,ബക്കറ്റ്
402,Deckel::N,хупӑ,ഉറ
403,Geschirr::N,савӑт-сапа,പിഞ്ഞാണം
404,Sack::N,михӗ,ചാക്ക്
405,Tasse::N,курка,കപ്പ്
406,Topf::N,кастрюль,പാത്രം
407,Kessel::N,хуран,കെറ്റ്ല്
408,Essen::N,апат,ആഹാരസമയം
409,Nahrung::N,апат-ҫимӗс,ഭക്ഷണം
410,Speise::N,апат,ഡിഷ്
411,Speise::N,ҫимӗҫ,ഡിഷ്
412,Fleisch::N,аш,മാംസം
413,Fleisch::N,какай,മാംസം
414,Getreide::N,тырӑ,ചോളം
415,Brei::N,пӑтӑ,കഞ്ഞി
416,Brot::N,ҫӑкӑр,റോട്ടി
417,Scheibe::N,чӗлӗ,തുണ്ട്
418,Scheibe::N,касӑк,തുണ്ട്
419,Fett::N,ҫу,കൊഴുപ്പ്
420,Butter::N,ҫу,വെണ്ണ
421,Öl::N,ҫу,എണ്ണ
422,Salz::N,тӑвар,ഉപ്പ്
423,Suppe::N,яшка,സൂപ്പ്
424,Honig::N,пыл,തേൻ
425,Milch::N,сӗт,പാൽ
426,Tee::N,чей,ചായ
427,Leder::N,сӑран,തുകൽ
428,Wolle::N,ҫӑм,കമ്പിളി
429,Stoff::N,тӗртӗм,തുണി
430,Nadel::N,йӗп,സൂചി
431,Faden::N,ҫип,നൂല്
432,Knopf::N,тӳме,ബട്ടൺ
433,Knoten::N,йӑлӑ,കുരുക്ക്
434,Farbe::N,сӑрӑ,പെയിൻറ്
435,Kleidung::N,тум,വസ്ത്രങ്ങൾ
436,Kleidung::N,ҫипуҫ,വസ്ത്രങ്ങൾ
437,Kleidung::N,тум-тир,വസ്ത്രങ്ങൾ
438,Hemd::N,кӗпе,ഷർട്ട്
439,Kragen::N,ҫуха,കുപ്പായക്കഴുത്ത്
440,Ärmel::N,ҫанӑ,കുപ്പായക്കൈ
441,Hose::N,шӑлавар,ട്രൌസർ
442,Gürtel::N,пиҫиххи,ബെൽറ്റ്
443,Mütze::N,ҫӗлӗк,തൊപ്പി
444,Schuh::N,пушмак,ഷൂ
445,Schuh::N,ботинок,ഷൂ
446,Stiefel::N,атӑ,ബൂട്ട്
447,Ring::N,ҫӗрӗ,മോതിരം
448,Band::N,хаю,റിബൺ
449,Band::N,йӗсме,റിബൺ
450,Kamm::N,тура,ചീപ്പ്
451,Spiegel::N,тӗкӗр,കണ്ണാടി
452,Spiegel::N,куҫ кӗски,കണ്ണാടി
453,Riemen::N,чӗн,സ്ട്രാപ്പ്
454,Schnur::N,кантра,ചരട്
455,Leine::N,касмӑк,കെട്ടാനുള്ള തോൽവാർ
456,Decke::N,утиял,പുതപ്പ്
457,Kissen::N,ҫытар,തലയിണ
458,Kissen::N,минтер,തലയിണ
459,Tuch::N,тутӑр,സ്കാർഫ്
460,Handtuch::N,ал шӑлли,തോർത്ത്
461,Kraft::N,вӑй,ശക്തി
462,Kraft::N,хӑват,ശക്തി
463,Stärke::N,хал,ശക്തി
464,Stärke::N,хӑват,ശക്തി
465,Gesundheit::N,хал,ആരോഗ്യം
466,Gesundheit::N,сывлӑх,ആരോഗ്യം
467,Krankheit::N,чир,അസുഖം
468,Schmerz::N,ырату,വേദന
469,Wunde::N,суран,മുറിവ്
470,Fieber::N,сив чир,പനി
471,Arznei::N,эмел,മരുന്ന്
472,Brücke::N,кӗпер,പാലം
473,Brunnen::N,ҫӑл,കിണർ
474,Brunnen::N,пусӑ,കിണർ
475,Weide::N,ҫаран,മേച്ചൽ
476,Pfad::N,йӗр,വഴി
477,Pfad::N,сукмак,വഴി
478,Weg::N,ҫул,വഴി
479,Weg::N,ҫул-йӗр,വഴി
480,Straße::N,ҫӳрев,റോഡ്
481,Straße::N,ҫул ҫӳрени,റോഡ്
482,Dorf::N,ял,ഗ്രാമം
483,Stadt::N,хула,നഗരം
484,Brief::N,ҫыру,കത്ത്
485,Buch::N,кӗнеке,പുസ്തകം
486,Buchstabe::N,сас палли,അക്ഷരം
487,Zeitung::N,хаҫат,വർത്തമാനപത്രം
488,Leben::N,пурнӑҫ,ജീവൻ
489,Tod::N,вилӗм,മരണം
490,Grab::N,масар шӑтӑкӗ,ശവക്കുഴി
491,Kirche::N,чиркӳ,പള്ളി
492,Sünde::N,ҫылӑх,പാപം
493,Gott::N,турӑ,ദൈവം
494,Arbeiter::N,рабочи,ജോലിക്കാരൻ
495,Chef::N,пуҫлӑх,മേധാവി
496,Meister::N,ӑста,യജമാനൻ
497,Meister::N,мастер,യജമാനൻ
498,Arzt::N,врач,ഡോക്ടർ
499,Arzt::N,тухтӑр,ഡോക്ടർ
500,Lehrer::N,учитель,അധ്യാപകൻ
501,Lehrer::N,вӗрентекен,അധ്യാപകൻ
502,Geld::N,укҫа,പണം
503,Geschäft::N,бизнес,ബിസിനസ്
504,Laden::N,магазин,കട
505,Preis::N,хак,വില
506,Ware::N,тавар,ചരക്ക്
507,Nutzen::N,пайта,ലാഭം
508,Reichtum::N,мул,ധനം
509,Welt::N,тӗнче,ലോകം
510,Land::N,ҫӗр-шыв,രാജ്യം
511,Staat::N,патшàлӑх,രാജ്യം
512,König::N,король,രാജാവ്
513,Macht::N,власть,അധികാരം
514,Grenze::N,чикӗ,അതിർത്തി
515,Krieg::N,вӑрҫӑ,യുദ്ധം
516,Feind::N,тӑшман,ശത്രു
517,Gewalt::N,ирӗксӗрлӳ,അക്രമം
518,Kampf::N,кӗрешӳ,പോരാട്ടം
519,Bogen[Waffe]::N,ухӑ,വില്ല്
520,Pfeil::N,ҫӗмрен,അമ്പ്
521,Pfeil::N,ухӑ йӗппи,അമ്പ്
522,Gewehr::N,пӑшал,തോക്ക്
523,Fehler::N,йӑнӑш,പിശക്
524,Lüge::N,суя,കള്ളം
525,Lüge::N,ултав,കള്ളം
526,Schaden::N,сиен,കേടുപാട്
527,Unglück::N,шар,ദൌർഭാഗ്യം
528,Unglück::N,инкек,ദൌർഭാഗ്യം
529,Schuld::N,айӑп,തെറ്റ്
530,Alter::N,ҫул шучӗ,വയസ്സ്
531,Schluss::N,пӗтни,നിഗമനം
532,Schluss::N,пӗтмӗш,നിഗമനം
533,Zeit::N,вӑхӑт,സമയം
534,Tag::N,кун,ദിവസം
535,Morgen::N,ир,പ്രഭാതം
536,Mittag::N,кӑнтӑрла,ഉച്ച
537,Abend::N,каҫ,സായാഹ്നം
538,Nacht::N,каҫ,രാത്രി
539,Woche::N,эрне,ആഴ്ച
540,Monat::N,уйӑх,മാസം
541,Jahr::N,ҫулталӑк,വർഷം
542,Frühling::N,ҫур,വസന്തം
543,Frühling::N,ҫуркунне,വസന്തം
544,Sommer::N,ҫу,വേനൽ
545,Sommer::N,ҫулла,വേനൽ
546,Herbst::N,кӗр,ശരത്കാലം
547,Herbst::N,кӗркунне,ശരത്കാലം
548,Winter::N,хӗл,ശൈത്യം
549,Winter::N,хӗлле,ശൈത്യം
550,Januar::N,январь,ജനുവരി
551,Februar::N,февраль,ഫെബ്രുവരി
552,Februar::N,кӗҫӗн кӑрлач,ഫെബ്രുവരി
553,März::N,март,മാർച്ച്
554,März::N,пуш уйӑхӗ,മാർച്ച്
555,April::N,апрель,ഏപ്രിൾ മാസം
556,Mai::N,май,മെയ് മാസം
557,Juni::N,июнь,ജൂൺ
558,Juli::N,июль,ജൂലൈ
559,August::N,август,ആഗസ്റ്റ്
560,September::N,сентябрь,സെപ്തംബർ
561,September::N,авӑн уйӑхӗ,സെപ്തംബർ
562,Oktober::N,октябрь,ഒക്ടോബർ
563,November::N,ноябрь,നവംബർ
564,Dezember::N,раштав,ഡിസംബർ
565,Dezember::N,декабрь,ഡിസംബർ
566,Montag::N,тунти кун,തിങ്കളാഴ്ച
567,Dienstag::N,ытлари кун,ചൊവ്വ
568,Mittwoch::N,юн кун,ബുധനാഴ്ച
569,Donnerstag::N,кӗҫнерни кун,വ്യാഴാഴ്ച
570,Freitag::N,эрне кун,വെള്ളിയാഴ്ച
571,Samstag::N,шӑмат кун,ശനിയാഴ്ച
572,Sonntag::N,вырсарни кун,ഞായറാഴ്ച
573,groß::A,пысӑк,വലിയ
574,klein::A,пӗчӗк,ചെറിയ
575,lang::A,вӑрӑм,നീണ്ട
576,kurz::A,кӗске,ഹ്രസ്വമായ
577,breit::A,сарлака,വിശാലമായ
578,schmal::A,ансӑр,ഇടുങ്ങിയ
579,dicht::A,йӑвӑ,നിബിഡമായ
580,dick[Gegenstand]::A,хулӑн,തടിച്ച
581,dünn::A,ҫинҫе,മെലിഞ്ഞ
582,dünn::A,ҫӳхе,മെലിഞ്ഞ
583,fein::A,тарай,നേർത്ത
584,fein::A,вӗлтӗрти,നേർത്ത
585,fest::A,тӗреклӗ,ഉറപ്പുള്ള
586,flach::A,лаптак,പരന്ന
587,glatt::A,такӑр,മിനുസമുള്ള
588,hart::A,хытӑ,കട്ടിയുള്ള
589,weich::A,ҫемҫе,മൃദുവായ
