,Concept_ID,nl,hi
712,Krankheit::N,ziekte,रोग
713,Krankheit::N,ziekte,बीमारी
714,Schmerz::N,pijn,दर्द
715,Schmerz::N,pijn,पीड़ा
716,Wunde::N,wond,घाव
717,Wunde::N,wond,ज़ख़्म
718,Fieber::N,koorts,ज्वर
719,Fieber::N,koorts,बुख़ार
720,Arznei::N,medicament,दवा
721,Arznei::N,medicament,औषाधि
722,Arznei::N,geneesmiddel,दवा
723,Arznei::N,geneesmiddel,औषाधि
724,Brücke::N,brug,पुल
725,Brücke::N,brug,सेतु
726,Brunnen::N,put,कुआँ
727,Brunnen::N,bron,कुआँ
728,Weide::N,wei,चरागाह
729,Weide::N,weide,चरागाह
730,Pfad::N,pad,पथ
731,Pfad::N,pad,पगडंडी
732,Weg::N,weg,मार्ग
733,Straße::N,baan,राह
734,Straße::N,baan,रास्ता
735,Straße::N,straat,राह
736,Straße::N,straat,रास्ता
737,Dorf::N,dorp,गाँव
738,Dorf::N,dorp,ग्राम
739,Stadt::N,stad,शहर
740,Brief::N,brief,ख़त
741,Brief::N,brief,पत्र
742,Brief::N,brief,चिट्ठी
743,Buch::N,boek,किताब
744,Buch::N,boek,पुस्तक
745,Buchstabe::N,letter,अक्षर
746,Zeitung::N,krant,अख़बार
747,Zeitung::N,krant,समाचार-पत्र
748,Zeitung::N,dagblad,अख़बार
749,Zeitung::N,dagblad,समाचार-पत्र
750,Leben::N,leven,जीवन
751,Leben::N,leven,ज़िंदगी
752,Tod::N,dood,मौत
753,Tod::N,dood,मृत्यु
754,Grab::N,graf,क़ब्र
755,Kirche::N,kerk,चर्च
756,Kirche::N,kerk,गिरजा
757,Sünde::N,zonde,पाप
758,Sünde::N,zonde,गुनाह
759,Gott::N,god,देव
760,Gott::N,god,ईश्वर
761,Arbeiter::N,arbeider,मज़दूर
762,Chef::N,chef,अध्यक्ष
763,Meister::N,meester,शिल्पज्ञ
764,Arzt::N,arts,वैद्य
765,Arzt::N,arts,डॉक्टर
766,Arzt::N,arts,चिकित्सक
767,Arzt::N,dokter,वैद्य
768,Arzt::N,dokter,डॉक्टर
769,Arzt::N,dokter,चिकित्सक
770,Lehrer::N,leraar,शिक्षक
771,Lehrer::N,leraar,अध्यापक
772,Lehrer::N,onderwijzer,शिक्षक
773,Lehrer::N,onderwijzer,अध्यापक
774,Geld::N,geld,धन
775,Geld::N,geld,पैसा
776,Geschäft::N,zaak,सौदा
777,Geschäft::N,zaak,व्यापार
778,Laden::N,winkel,दुकान
779,Preis::N,prijs,दाम
780,Preis::N,prijs,मूल्य
781,Ware::N,waar,माल
782,Ware::N,waar,पण्य
783,Nutzen::N,nut,लाभ
