,Concept_ID,ml,cs
104,Wald::N,കാട്,les
105,Hügel::N,കുന്ന്,kopec
106,Anhöhe::N,ഉയർന്ന ഭൂമി,pahorek
107,Berg::N,പർവ്വതം,hora
108,Gipfel::N,ഉച്ചകോടി,vrchol
109,Höhle::N,ഗുഹ,jeskyně
110,Abhang::N,ചരിവ്,svah
111,Abhang::N,ചരിവ്,stráň
112,Quelle::N,ഉറവിടം,pramen
113,Bach::N,അരുവി,potok
114,Fluss::N,നദി,řeka
115,Ufer::N,തീരം,břeh
116,Küste::N,കടൽത്തീരം,pobřeží
117,Festland::N,കര,souš
118,Festland::N,കര,pevnina
119,Meer::N,കടൽ,moře
120,Bucht::N,ഉൾക്കടല്,záliv
121,Bucht::N,ഉൾക്കടല്,zátoka
122,Insel::N,ദ്വീപ്,ostrov
123,Blume::N,പൂവ്,květina
124,Gras::N,പുല്ല്,tráva
125,Wurzel::N,വേര്,kořen
126,Baum::N,മരം,strom
127,Stamm::N,തായ്ത്തടി,kmen
128,Rinde::N,പട്ട,kůra
129,Ast::N,ശാഖ,větev
130,Zweig::N,ശാഖ,větev
131,Blatt::N,ഇല,lupen
132,Birke::N,പൂവരശ്,bříza
133,Kiefer[Baum]::N,പൈൻമരം,sosna
134,Kiefer[Baum]::N,പൈൻമരം,borovice
135,Weide[Baum]::N,വില്ലോ,vrba
136,Tanne::N,ദേവദാരു,jedle
137,Horn::N,മൃഗത്തിൻറെ കൊമ്പ്,roh
138,Feder::N,തൂവൽ,pero
139,Fell::N,മൃദുരോമം,srst
140,Flügel::N,ചിറക്,křídlo
141,Klaue::N,നഖം,dráp
142,Klaue::N,നഖം,pazneht
143,Kralle::N,നഖം,dráp
144,Schwanz::N,വാൽ,ocas
145,Ei::N,മുട്ട,vejce
146,Nest::N,കൂട്,hnízdo
147,Bau::N,മാളം,nora
148,Tier::N,മൃഗം,zvíře
149,Herde::N,കൂട്ടം,stádo
150,Kuh::N,പശു,kráva
151,Bulle::N,കാള,býk
152,Pferd::N,കുതിര,kůň
153,Schaf::N,ആട്,ovce
154,Schwein::N,പന്നി,vepř
155,Schwein::N,പന്നി,prase
156,Hund::N,നായ്,pes
157,Katze::N,പൂച്ച,kočka
158,Bär::N,കരടി,medvěd
159,Eichhörnchen::N,അണ്ണാൻ,veverka
160,Elch::N,കടമാന്,los
161,Fuchs::N,കുറുക്കൻ,liška
162,Hase::N,മുയൽ,zajíc
163,Maus::N,ചുണ്ടലി,myš
164,Wolf::N,ചെന്നായ,vlk
165,Vogel::N,പക്ഷി,pták
166,Schwarm::N,കൂട്ടം,roj
167,Schwarm::N,കൂട്ടം,hejno
168,Huhn::N,കോഴി,kuře
169,Huhn::N,കോഴി,slepice
170,Hahn::N,പൂവൻകോഴി,kohout
171,Gans::N,അരയന്നം,husa
172,Adler::N,കഴുകൻ,orel
173,Ente::N,താറാവ്,kachna
174,Eule::N,മൂങ്ങ,sova
175,Kranich::N,കൊക്ക്,jeřáb
176,Krähe::N,കാക്ക,vrána
177,Kuckuck::N,കുയിൽ,kukačka
178,Schwan::N,അരയന്നം,labuť
179,Fisch::N,മത്സ്യം,ryba
180,Barsch::N,ഒരിനം മത്സ്യം,okoun
181,Hecht::N,ഒരു മത്സ്യം,štika
182,Schlange[Tier]::N,പാമ്പ്,had
183,Wurm::N,വിര,červ
184,Spinne::N,ചിലന്തി,pavouk
185,Ameise::N,ഉറുമ്പ്,mravenec
186,Laus::N,പേന്,veš
187,Mücke::N,മശകം,komár
188,Fliege::N,ഈച്ച,moucha
189,Schmetterling::N,ചിത്രശലഭം,motýl
190,Beere::N,ബെറി,bobule
191,Apfel::N,ആപ്പിൾ,jablko
192,Pilz::N,കൂൺ,houba
193,Zwiebel::N,സവാള,cibule
194,Saat::N,വിത്ത്,osivo
195,Korn::N,ധാന്യം,zrno
196,Heu::N,വയ്ക്കോൽ,seno
197,Schale::N,തൊലി,slupka
198,Schale::N,തൊലി,skořápka
199,Grube::N,കുഴി,jáma
200,Falle::N,കെണി,past
201,Falle::N,കെണി,léčka
202,Schlinge::N,കുടുക്ക്,smyčka
203,Spur::N,ചുവട്,stopa
204,Asche::N,ചാരം,popel
205,Dreck::N,അഴുക്ക്,špína
206,Eisen::N,ഇരുമ്പ്,železo
207,Gold::N,സ്വർണ്ണം,zlato
208,Silber::N,വെള്ളി,stříbro
209,Kohle::N,കൽക്കരി,uhlí
210,Glas::N,ഗ്ലാസ്,sklo
211,Lehm::N,കളിമണ്ണ്,jíl
212,Lehm::N,കളിമണ്ണ്,hlína
213,Sand::N,മണൽ,písek
214,Mensch::N,മനുഷ്യർ,člověk
215,Mann::N,പുരുഷൻ,muž
216,Frau::N,സ്ത്രീ,žena
217,Kind::N,കുഞ്ഞ്,dítě
218,Junge::N,ആൺകുട്ടി,hoch
219,Junge::N,ആൺകുട്ടി,chlapec
220,Mädchen::N,പെൺകുട്ടി,děvče
221,Familie::N,കുടുംബം,rodina
222,Großvater::N,അപ്പൂപ്പൻ,děd
223,Großvater::N,അപ്പൂപ്പൻ,dědeček
224,Großmutter::N,അമ്മുമ്മ,babička
225,Eltern::N,മാതാപിതാക്കള്,rodiče
226,Vater::N,അച്ഛൻ,otec
227,Mutter::N,അമ്മ,matka
228,Sohn::N,മകൻ,syn
229,Tochter::N,മകൾ,dcera
230,Bruder::N,ചേട്ടൻ,bratr
231,Bruder::N,അനിയൻ,bratr
232,Schwester::N,ചേച്ചി,sestra
233,Schwester::N,അനിയത്തി,sestra
234,Onkel::N,അമ്മാവൻ,strýc
235,Tante::N,മാമി,teta
236,Ehemann::N,ഭർത്താവ്,choť
237,Ehemann::N,ഭർത്താവ്,manžel
238,Ehefrau::N,ഭാര്യ,choť
239,Ehefrau::N,ഭാര്യ,manželka
240,Freude::N,ആഹ്ലാദം,radost
241,Gelächter::N,ചിരിയുടെ ശബ്ദം,smích
242,Glück::N,സന്തോഷം,štěstí
243,Glück::N,സന്തുഷ്ടി,štěstí
244,Kummer::N,ശോകം,žal
245,Kummer::N,ശോകം,trápení
246,Wunsch::N,ആഗ്രഹം,přání
247,Lust::N,ആഗ്രഹം,chuť
248,Geist::N,ചുറുചുറുക്ക്,duch
249,Gedanke::N,ചിന്ത,myšlenka
250,Gedächtnis::N,ഓർമ്മശക്തി,paměť
251,Verstand::N,മനസ്സ്,rozum
252,Sinn::N,അർത്ഥം,smysl
253,Grund::N,കാരണം,důvod
254,Wahrheit::N,സത്യം,pravda
255,Gespräch::N,സല്ലാപം,rozhovor
256,Märchen::N,യക്ഷിക്കഥ,pohádka
257,Erzählung::N,കഥ,povídka
258,Nachricht::N,സന്ദേശം,zpráva
259,Neuigkeit::N,വാർത്ത,novina
260,Neuigkeit::N,വാർത്ത,novinka
261,Name::N,പേര്,jméno
262,Rätsel::N,പ്രഹേളിക,hádanka
263,Rede::N,സംസാരം,řeč
264,Rede::N,സംസാരം,proslov
265,Sprache::N,ഭാഷ,řeč
266,Sprache::N,ഭാഷ,jazyk
267,Stimme::N,സ്വരം,hlas
268,Wort::N,വാക്ക്,slovo
269,Zeichen::N,സംജ്ഞ,znamení
270,Ruf::N,വിളി,zavolání
271,Lärm::N,ആരവം,hluk
272,Laut::N,ശബ്ദം,zvuk
273,Ton::N,സ്വരഭേദം,tón
274,Lied::N,പാട്ട്,píseň
275,Ruhe::N,നിശ്ചലത,klid
276,Ruhe::N,നിശ്ചലത,pokoj
277,Leute::N,ജനങ്ങൾ,lidé
278,Volk::N,രാഷ്ടം,národ
279,Arbeit::N,ജോലി,práce
280,Gast::N,അതിലി,host
281,Geschenk::N,സമ്മാനം,dar
282,Spiel::N,കളി,hra
283,Gesellschaft::N,കൂട്ടായ്മ,společnost
284,Hilfe::N,സഹായം,pomoc
285,Freund::N,സുഹൃത്ത്,přítel
286,Kamerad::N,കൂട്ടാളി,kamarád
287,Angelegenheit::N,കാര്യം,záležitost
288,Anzahl::N,എണ്ണം,počet
289,Art::N,തരം,druh
290,Stück::N,കഷണം,kus
291,Stück::N,കഷണം,kousek
292,Teil::N,ഭാഗം,díl
293,Teil::N,ഭാഗം,část
294,Hälfte::N,പകുതി,půl
295,Kreis::N,വൃത്തം,kruh
296,Kreuz::N,കുരിശടയാളം,kříž
297,Linie::N,വര,linka
298,Linie::N,രേഖ,linka
299,Strich::N,പക്ഷാഘാതം,čára
300,Strich::N,പക്ഷാഘാതം,čárka
301,Abstand::N,വിടവ്,vzdálenost
302,Entfernung::N,അകലം,vzdálenost
303,Gegend::N,പ്രദേശം,krajina
304,Platz::N,ഇടം,prostor
305,Ort::N,സ്ഥലം,místo
306,Seite::N,വശം,strana
307,Mitte::N,മധ്യസ്ഥാനം,střed
308,Mitte::N,മധ്യസ്ഥാനം,prostředek
309,Gegenstand::N,സാധനം,předmět
310,Sache::N,വസ്തു,věc
311,Rand::N,തൊങ്ങൽ,kraj
312,Rand::N,തൊങ്ങൽ,okraj
313,Kante::N,അറ്റം,hrana
314,Ecke::N,മൂല,roh
315,Spitze::N,അഗ്രം,hrot
316,Spitze::N,അഗ്രം,špička
317,Ende::N,അവസാനം,konec
318,Loch::N,ദ്വാരം,díra
319,Winkel::N,കോൺ,kout
320,Muster::N,ക്രമം,vzor
321,Größe::N,വലുപ്പം,velikost
322,Länge::N,നീളം,délka
323,Höhe::N,ഉയരം,výška
324,Gewicht::N,കട്ടി,váha
325,Menge::N,അളവ്,množství
326,Haufen::N,കൂമ്പാരം,kupa
327,Haufen::N,കൂമ്പാരം,hromada
328,Reihe::N,വരി,řada
329,Reihe::N,വരി,řádek
330,Boot::N,ബോട്ട്,člun
331,Ruder::N,പങ്കായം,veslo
332,Schlitten::N,ഉരുളില്ലാവണ്ടി,sáně
333,Ski::N,ഹിമപാദുകം,lyže
334,Lagerfeuer::N,തീ,táborák
335,Last::N,ഭാരം,náklad
336,Last::N,ഭാരം,břemeno
337,Gang::N,നടത്തം,chůze
338,Gang::N,നടത്തം,chodba
339,Schritt::N,ചുവട്,krok
340,Norden::N,വടക്ക്,sever
341,Süden::N,തെക്ക്,jih
342,Westen::N,പടിഞ്ഞാറ്,západ
343,Osten::N,കിഴക്ക്,východ
344,Holz::N,തടി,dřevo
345,Brett::N,ബോർഡ്,prkno
346,Platte::N,തകിട്,deska
347,Stütze::N,താങ്ങ്,opěra
348,Stange::N,കമ്പ്,tyč
349,Stange::N,കമ്പ്,tyčka
350,Stock::N,വടി,hůlka
351,Stab::N,കുറുവടി,hůl
352,Rohr::N,കുഴൽ,trubka
353,Haus::N,വീട്,dům
354,Heim::N,വീട്,domov
355,Ofen::N,സ്റ്റൌ,kamna
356,Fußboden::N,തറ,podlaha
357,Tisch::N,മേശ,stůl
358,Stuhl::N,കസേര,židle
359,Wiege::N,തൊട്ടിൽ,kolébka
360,Bett::N,കിടക്ക,postel
361,Regal::N,ഷെൽഫ്,regál
362,Regal::N,ഷെൽഫ്,police
363,Kiste::N,പെട്ടി,bedna
364,Fenster::N,ജനൽ,okno
365,Tür::N,വാതിൽ,dveře
366,Tor::N,കവാടം,vrata
367,Zaun::N,വേലി,plot
368,Dach::N,മേൽക്കുര,střecha
369,Leiter::N,ഏണി,žebřík
370,Besen::N,ചൂല്,koště
371,Besen::N,ചൂല്,smeták
372,Spaten::N,തൂമ്പ,rýč
373,Schaufel::N,തൂമ്പ,lopata
374,Gabel::N,മുൾക്കത്തി,vidlička
375,Löffel::N,സ്പൂൺ,lžíce
376,Messer::N,കത്തി,nůž
377,Nagel::N,ആണി,hřebík
378,Netz::N,വല,síť
379,Haken::N,കൊളുത്ത്,hák
380,Griff::N,കൈപ്പിടി,držadlo
381,Schloss::N,പൂട്ട്,zámek
382,Bild::N,ചിത്രം,obraz
383,Figur::N,കണക്ക്,figura
384,Puppe::N,പാവ,panenka
385,Beutel::N,ബാഗ്,pytlík
386,Bündel::N,കെട്ട്,svazek
387,Tasche::N,ബാഗ്,taška
388,Tasche::N,ബാഗ്,brašna
389,Eimer::N,ബക്കറ്റ്,kýbl
390,Eimer::N,ബക്കറ്റ്,vědro
391,Deckel::N,ഉറ,víko
392,Deckel::N,ഉറ,příklop
393,Geschirr::N,പിഞ്ഞാണം,nádobí
394,Sack::N,ചാക്ക്,pytel
395,Tasse::N,കപ്പ്,šálek
396,Topf::N,പാത്രം,hrnec
397,Kessel::N,കെറ്റ്ല്,kotel
398,Essen::N,ആഹാരസമയം,jídlo
399,Nahrung::N,ഭക്ഷണം,strava
400,Nahrung::N,ഭക്ഷണം,potrava
401,Speise::N,ഡിഷ്,jídlo
402,Fleisch::N,മാംസം,maso
403,Getreide::N,ചോളം,obilí
404,Brei::N,കഞ്ഞി,kaše
405,Brot::N,റോട്ടി,chléb
406,Scheibe::N,തുണ്ട്,krajíc
407,Fett::N,കൊഴുപ്പ്,tuk
408,Fett::N,കൊഴുപ്പ്,omastek
409,Butter::N,വെണ്ണ,máslo
410,Öl::N,എണ്ണ,olej
411,Salz::N,ഉപ്പ്,sůl
412,Suppe::N,സൂപ്പ്,polévka
413,Honig::N,തേൻ,med
414,Milch::N,പാൽ,mléko
415,Tee::N,ചായ,čaj
416,Leder::N,തുകൽ,kůže
417,Wolle::N,കമ്പിളി,vlna
418,Stoff::N,തുണി,látka
419,Nadel::N,സൂചി,jehla
420,Faden::N,നൂല്,nit
421,Knopf::N,ബട്ടൺ,knoflík
422,Knoten::N,കുരുക്ക്,uzel
423,Farbe::N,പെയിൻറ്,barva
424,Kleidung::N,വസ്ത്രങ്ങൾ,šaty
425,Kleidung::N,വസ്ത്രങ്ങൾ,šatstvo
426,Hemd::N,ഷർട്ട്,košile
427,Kragen::N,കുപ്പായക്കഴുത്ത്,límec
428,Ärmel::N,കുപ്പായക്കൈ,rukáv
429,Hose::N,ട്രൌസർ,kalhoty
430,Gürtel::N,ബെൽറ്റ്,pás
431,Gürtel::N,ബെൽറ്റ്,opasek
432,Mütze::N,തൊപ്പി,čepice
433,Schuh::N,ഷൂ,bota
434,Stiefel::N,ബൂട്ട്,holínka
435,Ring::N,മോതിരം,prsten
436,Band::N,റിബൺ,pásek
437,Kamm::N,ചീപ്പ്,hřeben
438,Spiegel::N,കണ്ണാടി,zrcadlo
439,Riemen::N,സ്ട്രാപ്പ്,řemen
440,Schnur::N,ചരട്,šňůra
441,Leine::N,കെട്ടാനുള്ള തോൽവാർ,vodítko
442,Decke::N,പുതപ്പ്,pokrývka
443,Decke::N,പുതപ്പ്,přikrývka
444,Kissen::N,തലയിണ,polštář
445,Tuch::N,സ്കാർഫ്,šátek
446,Handtuch::N,തോർത്ത്,ručník
447,Kraft::N,ശക്തി,síla
448,Stärke::N,ശക്തി,síla
449,Gesundheit::N,ആരോഗ്യം,zdraví
450,Krankheit::N,അസുഖം,nemoc
451,Krankheit::N,അസുഖം,choroba
452,Schmerz::N,വേദന,bolest
453,Wunde::N,മുറിവ്,rána
454,Fieber::N,പനി,horečka
455,Arznei::N,മരുന്ന്,lék
456,Brücke::N,പാലം,most
457,Brunnen::N,കിണർ,studna
458,Weide::N,മേച്ചൽ,pastva
459,Weide::N,മേച്ചൽ,pastvina
460,Pfad::N,വഴി,pěšina
461,Weg::N,വഴി,cesta
462,Straße::N,റോഡ്,silnice
463,Dorf::N,ഗ്രാമം,vesnice
464,Stadt::N,നഗരം,město
465,Brief::N,കത്ത്,dopis
466,Buch::N,പുസ്തകം,kniha
467,Buchstabe::N,അക്ഷരം,písmeno
468,Zeitung::N,വർത്തമാനപത്രം,noviny
469,Leben::N,ജീവൻ,život
470,Tod::N,മരണം,smrt
471,Grab::N,ശവക്കുഴി,hrob
472,Kirche::N,പള്ളി,kostel
473,Sünde::N,പാപം,hřích
474,Gott::N,ദൈവം,bůh
475,Arbeiter::N,ജോലിക്കാരൻ,dělník
476,Arbeiter::N,ജോലിക്കാരൻ,pracovník
477,Chef::N,മേധാവി,šéf
478,Chef::N,മേധാവി,vedoucí
479,Meister::N,യജമാനൻ,mistr
480,Arzt::N,ഡോക്ടർ,lékař
481,Lehrer::N,അധ്യാപകൻ,učitel
482,Geld::N,പണം,peníze
483,Geschäft::N,ബിസിനസ്,obchod
484,Laden::N,കട,krám
485,Preis::N,വില,cena
486,Ware::N,ചരക്ക്,zboží
487,Nutzen::N,ലാഭം,užitek
488,Reichtum::N,ധനം,bohatství
489,Welt::N,ലോകം,svět
490,Land::N,രാജ്യം,země
491,Staat::N,രാജ്യം,stát
492,König::N,രാജാവ്,král
493,Macht::N,അധികാരം,moc
494,Macht::N,അധികാരം,mocnost
495,Grenze::N,അതിർത്തി,hranice
496,Krieg::N,യുദ്ധം,válka
497,Feind::N,ശത്രു,nepřítel
498,Gewalt::N,അക്രമം,násilí
499,Kampf::N,പോരാട്ടം,boj
500,Bogen[Waffe]::N,വില്ല്,luk
501,Pfeil::N,അമ്പ്,šíp
502,Gewehr::N,തോക്ക്,puška
503,Gewehr::N,തോക്ക്,ručnice
504,Fehler::N,പിശക്,chyba
505,Lüge::N,കള്ളം,lež
506,Schaden::N,കേടുപാട്,škoda
507,Unglück::N,ദൌർഭാഗ്യം,neštěstí
508,Schuld::N,തെറ്റ്,vina
509,Alter::N,വയസ്സ്,věk
510,Schluss::N,നിഗമനം,konec
511,Zeit::N,സമയം,čas
512,Tag::N,ദിവസം,den
513,Morgen::N,പ്രഭാതം,ráno
514,Morgen::N,പ്രഭാതം,jitro
515,Mittag::N,ഉച്ച,poledne
516,Abend::N,സായാഹ്നം,večer
517,Nacht::N,രാത്രി,noc
518,Woche::N,ആഴ്ച,týden
519,Monat::N,മാസം,měsíc
520,Jahr::N,വർഷം,rok
521,Frühling::N,വസന്തം,jaro
522,Sommer::N,വേനൽ,léto
523,Herbst::N,ശരത്കാലം,podzim
524,Winter::N,ശൈത്യം,zima
525,Januar::N,ജനുവരി,leden
526,Februar::N,ഫെബ്രുവരി,únor
527,März::N,മാർച്ച്,březen
528,April::N,ഏപ്രിൾ മാസം,duben
529,Mai::N,മെയ് മാസം,květen
530,Juni::N,ജൂൺ,červen
531,Juli::N,ജൂലൈ,červenec
532,August::N,ആഗസ്റ്റ്,srpen
533,September::N,സെപ്തംബർ,září
534,Oktober::N,ഒക്ടോബർ,říjen
535,November::N,നവംബർ,listopad
536,Dezember::N,ഡിസംബർ,prosinec
537,Montag::N,തിങ്കളാഴ്ച,pondělí
538,Montag::N,തിങ്കളാഴ്ച,pondělek
539,Dienstag::N,ചൊവ്വ,úterý
540,Mittwoch::N,ബുധനാഴ്ച,středa
541,Donnerstag::N,വ്യാഴാഴ്ച,čtvrtek
542,Freitag::N,വെള്ളിയാഴ്ച,pátek
543,Samstag::N,ശനിയാഴ്ച,sobota
544,Sonntag::N,ഞായറാഴ്ച,neděle
545,groß::A,വലിയ,velký
546,klein::A,ചെറിയ,malý
547,lang::A,നീണ്ട,dlouhý
548,kurz::A,ഹ്രസ്വമായ,krátký
549,breit::A,വിശാലമായ,široký
550,schmal::A,ഇടുങ്ങിയ,úzký
551,dicht::A,നിബിഡമായ,hustý
552,dick[Gegenstand]::A,തടിച്ച,tlustý
553,dünn::A,മെലിഞ്ഞ,tenký
554,fein::A,നേർത്ത,jemný
555,fest::A,ഉറപ്പുള്ള,pevný
556,flach::A,പരന്ന,plochý
557,flach::A,പരന്ന,placatý
558,glatt::A,മിനുസമുള്ള,hladký
559,hart::A,കട്ടിയുള്ള,tvrdý
560,weich::A,മൃദുവായ,měkký
561,rund::A,വട്ടത്തിലുള്ള,kulatý
562,rund::A,വട്ടത്തിലുള്ള,okrouhlý
563,spitz::A,മുനയുള്ള,špičatý
564,scharf::A,മൂർച്ചയുള്ള,ostrý
565,stumpf::A,തുറന്നടിക്കുന്ന,tupý
566,schwer::A,ഭാരമുള്ള,těžký
567,schön::A,മനോഹരമായ,pěkný
568,schön::A,മനോഹരമായ,krásný
569,heiß::A,ചൂടുള്ള,horký
570,warm::A,ചൂടുള്ള,teplý
571,kalt::A,തണുത്ത,studený
572,kühl::A,തണുപ്പുള്ള,chladný
573,frisch::A,ശുദ്ധമായ,svěží
574,feucht::A,ഈറനുള്ള,vlhký
575,nass::A,നനഞ്ഞ,mokrý
576,trocken::A,വരണ്ട,suchý
577,voll::A,നിറയെ,plný
578,leer::A,ഒഴിഞ്ഞ,prázdný
579,offen::A,തുറന്ന,otevřený
580,geschlossen::A,അടച്ച,zavřený
581,sauber::A,വൃത്തിയുള്ള,čistý
582,schmutzig::A,അഴുക്കുനിറഞ്ഞ,špinavý
583,roh::A,അസംസ്കൃതമായ,syrový
584,reif::A,പഴുത്ത,zralý
585,lecker::A,രുചികരമായ,chutný
586,süß::A,മധുരമുള്ള,sladký
587,bitter::A,കടുത്ത,hořký
588,sauer::A,പുളിപ്പുള്ള,kyselý
589,hell::A,ജ്വലിക്കുന്ന,světlý
590,dunkel::A,ഇരുണ്ട,temný
591,schwarz::A,കറുത്ത,černý
592,weiß::A,വെളുത്ത,bílý
593,rot::A,ചുവന്ന,rudý
594,rot::A,ചുവന്ന,červený
595,gelb::A,മഞ്ഞനിറമായ,žlutý
596,blau::A,നീലനിറമുള്ള,modrý
597,grün::A,പച്ചനിറമുള്ള,zelený
598,grau::A,ചാരനിറത്തിലുള്ള,šedý
599,grau::A,ചാരനിറത്തിലുള്ള,šedivý
600,bunt::A,വർണ്ണശബളമായ,pestrý
601,billig::A,വിലകുറഞ്ഞ,levný
602,billig::A,വിലകുറഞ്ഞ,laciný
603,teuer::A,ചെലവേറിയ,drahý
604,wertvoll::A,വിലപിടിപ്പുള്ള,cenný
605,blind::A,അന്ധനായ,slepý
606,taub::A,കേൾവിക്കുറവുള്ള,hluchý
607,kräftig::A,ശക്തിയുള്ള,silný
608,stark::A,ബലമുള്ള,silný
609,schwach::A,ക്ഷീണിച്ച,slabý
610,fett::A,കൊഴുപ്പുള്ള,tučný
611,fett::A,കൊഴുപ്പുള്ള,tlustý
612,schlank::A,മെലിഞ്ഞ,štíhlý
613,hübsch::A,മനോഹരമായ,hezký
614,böse::A,പാപിയായ,zlý
615,dumm::A,വിവരംകെട്ട,hloupý
616,faul::A,അലസനായ,líný
617,fleißig::A,അദ്ധ്വാനശീലമുള്ള,pilný
618,geizig::A,പിശുക്കനായ,lakomý
619,klug::A,ബുദ്ധിസാമർഥ്യമുള്ള,chytrý
620,geschickt::A,പ്രതിഭാശാലി,šikovný
621,lieb::A,പ്രിയപ്പെട്ട,milý
622,lustig::A,ആനന്ദകരമായ,veselý
623,sanft::A,സൌമ്യമായ,mírný
624,hungrig::A,വിശപ്പുള്ള,hladový
625,krank::A,അസുഖമുള്ള,nemocný
626,nackt::A,നഡമായ,nahý
627,traurig::A,വിഷമമുള്ള,smutný
628,traurig::A,വിഷമമുള്ള,truchlivý
629,lebendig::A,ഉപജീവനം,živý
630,gut::A,നല്ല,dobrý
631,schlecht::A,മോശമായ,špatný
632,richtig::A,ശരിയായ,pravý
633,richtig::A,ശരിയായ,správný
634,schlimm::A,വൃത്തികെട്ട,zlý
635,wahr::A,ശരിയായ,pravdivý
636,alt::A,പഴയ,starý
637,neu::A,പുതിയ,nový
638,ehemalig::A,മുൻ,bývalý
639,alt[Lebewesen]::A,വയസ്സുള്ള,starý
640,jung::A,കൌമാരമായ,mladý
641,arm::A,പാവപ്പെട്ട,chudý
642,reich::A,സമ്പന്നമായ,bohatý
643,bekannt::A,പരിചിതമായ,známý
644,berühmt::A,പ്രശസ്തനായ,slavný
