,Concept_ID,ml,la
82,Wetter::N,കാലാവസ്ഥ,tempestas
83,Nebel::N,മൂടൽമഞ്ഞ്,nebula
84,Wolke::N,മേഘം,nubes
85,Regen::N,മഴ,imber
86,Regen::N,മഴ,pluvia
87,Schnee::N,മഞ്ഞ്,nix
88,Eis::N,ഐസ്,glacies
89,Frost::N,മൂടൽമഞ്ഞ്,gelu
90,Kälte::N,തണുപ്പ്,frigus
91,Hitze::N,ചൂട്,calor
92,Hitze::N,ചൂട്,aestus
93,Raureif::N,കോടമഞ്ഞ്,pruina
94,Regenbogen::N,മഴവില്ല്,arcus
95,Donner::N,ഇടി,tonitrus
96,Strömung::N,പ്രവാഹം,fluctus
97,Tropfen::N,തുള്ളി,gutta
98,Schaum::N,നുര,spuma
99,Schmutz::N,അഴുക്ക്,sordes
100,Schmutz::N,അഴുക്ക്,squalor
101,See::N,തടാകം,lacus
102,Sumpf::N,ചതുപ്പുനിലം,palus
103,Moor::N,പാഴ്നിലം,palus
104,Wiese::N,പുൽത്തകിടി,pratum
105,Wald::N,വനം,silva
106,Wald::N,കാട്,silva
107,Hügel::N,കുന്ന്,collis
108,Anhöhe::N,ഉയർന്ന ഭൂമി,specula
109,Berg::N,പർവ്വതം,mons
110,Gipfel::N,ഉച്ചകോടി,vertex
111,Höhle::N,ഗുഹ,caverna
112,Höhle::N,ഗുഹ,spelunca
113,Abhang::N,ചരിവ്,declivum
114,Quelle::N,ഉറവിടം,fons
115,Bach::N,അരുവി,rivus
116,Fluss::N,നദി,flumen
117,Ufer::N,തീരം,ripa
118,Küste::N,കടൽത്തീരം,litus
119,Festland::N,കര,continens
120,Meer::N,കടൽ,mare
121,Bucht::N,ഉൾക്കടല്,sinus
122,Insel::N,ദ്വീപ്,insula
123,Blume::N,പൂവ്,flos
124,Gras::N,പുല്ല്,herba
125,Gras::N,പുല്ല്,gramen
126,Wurzel::N,വേര്,radix
127,Baum::N,മരം,arbor
128,Stamm::N,തായ്ത്തടി,truncus
129,Rinde::N,പട്ട,cortex
130,Ast::N,ശാഖ,ramus
131,Zweig::N,ശാഖ,ramus
132,Blatt::N,ഇല,folium
133,Birke::N,പൂവരശ്,betulla
134,Kiefer[Baum]::N,പൈൻമരം,pinus
135,Weide[Baum]::N,വില്ലോ,salix
136,Tanne::N,ദേവദാരു,abies
137,Horn::N,മൃഗത്തിൻറെ കൊമ്പ്,cornu
138,Feder::N,തൂവൽ,penna
139,Fell::N,മൃദുരോമം,pellis
140,Flügel::N,ചിറക്,ala
141,Klaue::N,നഖം,unguis
142,Kralle::N,നഖം,unguis
143,Schwanz::N,വാൽ,cauda
144,Ei::N,മുട്ട,ovum
145,Nest::N,കൂട്,nidus
146,Bau::N,മാളം,cavum
147,Bau::N,മാളം,latibulum
148,Tier::N,മൃഗം,bestia
149,Herde::N,കൂട്ടം,grex
150,Kuh::N,പശു,vacca
151,Bulle::N,കാള,taurus
152,Pferd::N,കുതിര,equus
153,Schaf::N,ആട്,ovis
154,Schwein::N,പന്നി,sus
155,Schwein::N,പന്നി,porcus
156,Hund::N,നായ്,canis
157,Katze::N,പൂച്ച,felis
158,Bär::N,കരടി,ursus
159,Eichhörnchen::N,അണ്ണാൻ,sciurus
160,Elch::N,കടമാന്,alces
161,Fuchs::N,കുറുക്കൻ,vulpes
162,Hase::N,മുയൽ,lepus
163,Maus::N,ചുണ്ടലി,mus
164,Wolf::N,ചെന്നായ,lupus
165,Vogel::N,പക്ഷി,avis
166,Schwarm::N,കൂട്ടം,examen
167,Huhn::N,കോഴി,gallina
168,Hahn::N,പൂവൻകോഴി,gallus
169,Gans::N,അരയന്നം,anser
170,Adler::N,കഴുകൻ,aquila
171,Ente::N,താറാവ്,anas
172,Eule::N,മൂങ്ങ,ulula
173,Eule::N,മൂങ്ങ,noctua
174,Kranich::N,കൊക്ക്,grus
175,Krähe::N,കാക്ക,cornix
176,Kuckuck::N,കുയിൽ,cuculus
177,Schwan::N,അരയന്നം,olor
178,Schwan::N,അരയന്നം,cycnus
179,Fisch::N,മത്സ്യം,piscis
180,Barsch::N,ഒരിനം മത്സ്യം,perca
181,Hecht::N,ഒരു മത്സ്യം,esox
182,Schlange[Tier]::N,പാമ്പ്,serpens
183,Wurm::N,വിര,vermis
184,Spinne::N,ചിലന്തി,aranea
185,Ameise::N,ഉറുമ്പ്,formica
186,Laus::N,പേന്,pediculus
187,Mücke::N,മശകം,culex
188,Fliege::N,ഈച്ച,musca
189,Schmetterling::N,ചിത്രശലഭം,papilio
190,Beere::N,ബെറി,baca
191,Apfel::N,ആപ്പിൾ,malum
192,Pilz::N,കൂൺ,fungus
193,Zwiebel::N,സവാള,cepa
194,Saat::N,വിത്ത്,seges
195,Korn::N,ധാന്യം,granum
196,Heu::N,വയ്ക്കോൽ,faenum
197,Schale::N,തൊലി,putamen
198,Grube::N,കുഴി,fovea
199,Falle::N,കെണി,pedica
200,Schlinge::N,കുടുക്ക്,laqueus
201,Spur::N,ചുവട്,vestigium
202,Asche::N,ചാരം,cinis
203,Dreck::N,അഴുക്ക്,lutum
204,Eisen::N,ഇരുമ്പ്,ferrum
205,Gold::N,സ്വർണ്ണം,aurum
206,Silber::N,വെള്ളി,argentum
207,Kohle::N,കൽക്കരി,carbo
208,Glas::N,ഗ്ലാസ്,vitrum
209,Lehm::N,കളിമണ്ണ്,lutum
210,Sand::N,മണൽ,arena
211,Mensch::N,മനുഷ്യർ,homo
212,Mann::N,പുരുഷൻ,vir
213,Frau::N,സ്ത്രീ,mulier
214,Kind::N,കുഞ്ഞ്,puer
215,Kind::N,കുഞ്ഞ്,infans
216,Junge::N,ആൺകുട്ടി,puer
217,Mädchen::N,പെൺകുട്ടി,puella
218,Familie::N,കുടുംബം,familia
219,Großvater::N,അപ്പൂപ്പൻ,avus
220,Großmutter::N,അമ്മുമ്മ,avia
221,Eltern::N,മാതാപിതാക്കള്,parentes
222,Vater::N,അച്ഛൻ,pater
223,Mutter::N,അമ്മ,mater
224,Sohn::N,മകൻ,filius
225,Tochter::N,മകൾ,filia
226,Bruder::N,ചേട്ടൻ,frater
227,Bruder::N,അനിയൻ,frater
228,Schwester::N,ചേച്ചി,soror
229,Schwester::N,അനിയത്തി,soror
230,Onkel::N,അമ്മാവൻ,patruus
231,Onkel::N,അമ്മാവൻ,avunculus
232,Tante::N,മാമി,amita
233,Ehemann::N,ഭർത്താവ്,maritus
234,Ehefrau::N,ഭാര്യ,uxor
235,Freude::N,ആഹ്ലാദം,gaudium
236,Freude::N,ആഹ്ലാദം,laetitia
237,Gelächter::N,ചിരിയുടെ ശബ്ദം,risus
238,Glück::N,സന്തോഷം,felicitas
239,Glück::N,സന്തുഷ്ടി,felicitas
240,Kummer::N,ശോകം,aegritudo
241,Wunsch::N,ആഗ്രഹം,voluntas
242,Wunsch::N,ആഗ്രഹം,desiderium
243,Lust::N,ആഗ്രഹം,libido
244,Lust::N,ആഗ്രഹം,voluptas
245,Geist::N,ചുറുചുറുക്ക്,mens
246,Geist::N,ചുറുചുറുക്ക്,animus
247,Gedanke::N,ചിന്ത,sententia
248,Gedächtnis::N,ഓർമ്മശക്തി,memoria
249,Verstand::N,മനസ്സ്,ratio
250,Verstand::N,മനസ്സ്,ingenium
251,Sinn::N,അർത്ഥം,sensus
252,Grund::N,കാരണം,causa
253,Wahrheit::N,സത്യം,veritas
254,Gespräch::N,സല്ലാപം,sermo
255,Märchen::N,യക്ഷിക്കഥ,fabula
256,Erzählung::N,കഥ,fabula
257,Erzählung::N,കഥ,narratio
258,Nachricht::N,സന്ദേശം,nuntius
259,Neuigkeit::N,വാർത്ത,novitas
260,Name::N,പേര്,nomen
261,Rätsel::N,പ്രഹേളിക,aenigma
262,Rede::N,സംസാരം,oratio
263,Sprache::N,ഭാഷ,lingua
264,Stimme::N,സ്വരം,vox
265,Wort::N,വാക്ക്,verbum
266,Wort::N,വാക്ക്,vocabulum
267,Zeichen::N,സംജ്ഞ,signum
268,Ruf::N,വിളി,clamor
269,Lärm::N,ആരവം,strepitus
270,Laut::N,ശബ്ദം,sonus
271,Ton::N,സ്വരഭേദം,sonus
272,Lied::N,പാട്ട്,carmen
273,Ruhe::N,നിശ്ചലത,quies
274,Leute::N,ജനങ്ങൾ,homines
275,Volk::N,രാഷ്ടം,populus
276,Arbeit::N,ജോലി,labor
277,Gast::N,അതിലി,hospes
278,Gast::N,അതിലി,conviva
279,Geschenk::N,സമ്മാനം,munus
280,Spiel::N,കളി,ludus
281,Gesellschaft::N,കൂട്ടായ്മ,societas
282,Hilfe::N,സഹായം,auxilium
283,Hilfe::N,സഹായം,subsidium
284,Freund::N,സുഹൃത്ത്,amicus
285,Kamerad::N,കൂട്ടാളി,socius
286,Angelegenheit::N,കാര്യം,res
287,Anzahl::N,എണ്ണം,numerus
288,Art::N,തരം,genus
289,Stück::N,കഷണം,frustum
290,Stück::N,കഷണം,fragmentum
291,Teil::N,ഭാഗം,pars
292,Hälfte::N,പകുതി,dimidium
293,Kreis::N,വൃത്തം,orbis
294,Kreis::N,വൃത്തം,circus
295,Kreuz::N,കുരിശടയാളം,crux
296,Linie::N,വര,linea
297,Linie::N,രേഖ,linea
298,Strich::N,പക്ഷാഘാതം,lineamentum
299,Abstand::N,വിടവ്,intervallum
300,Entfernung::N,അകലം,spatium
301,Gegend::N,പ്രദേശം,loca
302,Gegend::N,പ്രദേശം,regio
303,Platz::N,ഇടം,locus
304,Ort::N,സ്ഥലം,locus
305,Seite::N,വശം,latus
306,Mitte::N,മധ്യസ്ഥാനം,medium
307,Gegenstand::N,സാധനം,res
308,Sache::N,വസ്തു,res
309,Rand::N,തൊങ്ങൽ,margo
310,Kante::N,അറ്റം,angulus
311,Ecke::N,മൂല,angulus
312,Spitze::N,അഗ്രം,cacumen
313,Ende::N,അവസാനം,caput
314,Loch::N,ദ്വാരം,foramen
315,Winkel::N,കോൺ,angulus
316,Muster::N,ക്രമം,exemplum
317,Größe::N,വലുപ്പം,magnitudo
318,Länge::N,നീളം,longitudo
319,Höhe::N,ഉയരം,altitudo
320,Gewicht::N,കട്ടി,pondus
321,Menge::N,അളവ്,copia
322,Haufen::N,കൂമ്പാരം,acervus
323,Reihe::N,വരി,ordo
324,Boot::N,ബോട്ട്,navicula
325,Ruder::N,പങ്കായം,remus
326,Schlitten::N,ഉരുളില്ലാവണ്ടി,sclodia
327,Ski::N,ഹിമപാദുകം,narta
328,Lagerfeuer::N,തീ,ignis
329,Last::N,ഭാരം,onus
330,Gang::N,നടത്തം,cursus
331,Schritt::N,ചുവട്,gradus
332,Norden::N,വടക്ക്,septentriones
333,Süden::N,തെക്ക്,meridies
334,Westen::N,പടിഞ്ഞാറ്,occidens
335,Osten::N,കിഴക്ക്,oriens
336,Holz::N,തടി,lignum
337,Brett::N,ബോർഡ്,tabula
338,Platte::N,തകിട്,lamina
339,Stütze::N,താങ്ങ്,adminiculum
340,Stange::N,കമ്പ്,pertica
341,Stock::N,വടി,baculum
342,Stab::N,കുറുവടി,scipio
343,Rohr::N,കുഴൽ,tubus
344,Haus::N,വീട്,aedes
345,Heim::N,വീട്,domicilium
346,Ofen::N,സ്റ്റൌ,fornax
347,Fußboden::N,തറ,solum
348,Tisch::N,മേശ,mensa
349,Stuhl::N,കസേര,sella
350,Wiege::N,തൊട്ടിൽ,cunae
351,Bett::N,കിടക്ക,lectus
352,Regal::N,ഷെൽഫ്,foruli
353,Kiste::N,പെട്ടി,cista
354,Fenster::N,ജനൽ,fenestra
355,Tür::N,വാതിൽ,ianua
356,Tor::N,കവാടം,porta
357,Zaun::N,വേലി,saepes
358,Dach::N,മേൽക്കുര,tectum
359,Leiter::N,ഏണി,scalae
360,Besen::N,ചൂല്,scopae
361,Spaten::N,തൂമ്പ,pala
362,Schaufel::N,തൂമ്പ,pala
363,Gabel::N,മുൾക്കത്തി,fuscinula
364,Löffel::N,സ്പൂൺ,coclear
365,Messer::N,കത്തി,culter
366,Nagel::N,ആണി,clavus
367,Netz::N,വല,rete
368,Haken::N,കൊളുത്ത്,hamus
369,Griff::N,കൈപ്പിടി,manubrium
370,Schloss::N,പൂട്ട്,claustra
371,Bild::N,ചിത്രം,tabula
372,Bild::N,ചിത്രം,pictura
373,Figur::N,കണക്ക്,statunculum
374,Puppe::N,പാവ,pupa
375,Beutel::N,ബാഗ്,sacculus
376,Bündel::N,കെട്ട്,fascis
377,Tasche::N,ബാഗ്,sacculus
378,Eimer::N,ബക്കറ്റ്,situla
379,Deckel::N,ഉറ,operculum
380,Geschirr::N,പിഞ്ഞാണം,vasa
381,Sack::N,ചാക്ക്,saccus
382,Tasse::N,കപ്പ്,pocillum
383,Topf::N,പാത്രം,olla
384,Kessel::N,കെറ്റ്ല്,aenum
385,Essen::N,ആഹാരസമയം,cena
386,Nahrung::N,ഭക്ഷണം,cibus
387,Nahrung::N,ഭക്ഷണം,alimenta
388,Speise::N,ഡിഷ്,cibus
389,Fleisch::N,മാംസം,caro
390,Getreide::N,ചോളം,frumentum
391,Brei::N,കഞ്ഞി,puls
392,Brot::N,റോട്ടി,panis
393,Scheibe::N,തുണ്ട്,frustum
394,Fett::N,കൊഴുപ്പ്,pingue
395,Butter::N,വെണ്ണ,butȳrum
396,Öl::N,എണ്ണ,oleum
397,Salz::N,ഉപ്പ്,sal
398,Suppe::N,സൂപ്പ്,ius
399,Honig::N,തേൻ,mel
400,Milch::N,പാൽ,lac
401,Tee::N,ചായ,thea
402,Leder::N,തുകൽ,corium
403,Wolle::N,കമ്പിളി,lana
404,Stoff::N,തുണി,textum
405,Nadel::N,സൂചി,acus
406,Faden::N,നൂല്,filum
407,Knopf::N,ബട്ടൺ,bulla
408,Knoten::N,കുരുക്ക്,nodus
409,Farbe::N,പെയിൻറ്,pigmentum
410,Kleidung::N,വസ്ത്രങ്ങൾ,vestimenta
411,Hemd::N,ഷർട്ട്,tunica
412,Kragen::N,കുപ്പായക്കഴുത്ത്,collare
413,Ärmel::N,കുപ്പായക്കൈ,manica
414,Hose::N,ട്രൌസർ,bracae
415,Gürtel::N,ബെൽറ്റ്,cingulum
416,Mütze::N,തൊപ്പി,pilleus
417,Schuh::N,ഷൂ,calceus
418,Stiefel::N,ബൂട്ട്,pero
419,Stiefel::N,ബൂട്ട്,caliga
420,Ring::N,മോതിരം,anulus
421,Band::N,റിബൺ,redimiculum
422,Kamm::N,ചീപ്പ്,pecten
423,Spiegel::N,കണ്ണാടി,speculum
424,Riemen::N,സ്ട്രാപ്പ്,lorum
425,Schnur::N,ചരട്,linum
426,Leine::N,കെട്ടാനുള്ള തോൽവാർ,retinaculum
427,Decke::N,പുതപ്പ്,lodix
428,Kissen::N,തലയിണ,pulvinus
429,Tuch::N,സ്കാർഫ്,velum
430,Handtuch::N,തോർത്ത്,mantele
431,Kraft::N,ശക്തി,vis
432,Stärke::N,ശക്തി,robur
433,Gesundheit::N,ആരോഗ്യം,valetudo
434,Krankheit::N,അസുഖം,morbus
435,Schmerz::N,വേദന,dolor
436,Wunde::N,മുറിവ്,vulnus
437,Fieber::N,പനി,febris
438,Arznei::N,മരുന്ന്,remedium
439,Brücke::N,പാലം,pons
440,Brunnen::N,കിണർ,puteus
441,Weide::N,മേച്ചൽ,pascua
442,Pfad::N,വഴി,semita
443,Weg::N,വഴി,iter
444,Straße::N,റോഡ്,via
445,Dorf::N,ഗ്രാമം,vicus
446,Stadt::N,നഗരം,urbs
447,Stadt::N,നഗരം,oppidum
448,Brief::N,കത്ത്,epistula
449,Buch::N,പുസ്തകം,liber
450,Buchstabe::N,അക്ഷരം,littera
451,Zeitung::N,വർത്തമാനപത്രം,diurnum
452,Leben::N,ജീവൻ,vita
453,Tod::N,മരണം,mors
454,Grab::N,ശവക്കുഴി,sepulcrum
455,Kirche::N,പള്ളി,ecclesia
456,Sünde::N,പാപം,peccatum
457,Gott::N,ദൈവം,deus
458,Arbeiter::N,ജോലിക്കാരൻ,operarius
459,Chef::N,മേധാവി,praefectus
460,Meister::N,യജമാനൻ,magister
461,Arzt::N,ഡോക്ടർ,medicus
462,Lehrer::N,അധ്യാപകൻ,magister
463,Geld::N,പണം,aes
464,Geld::N,പണം,pecunia
465,Geschäft::N,ബിസിനസ്,negotium
466,Laden::N,കട,taberna
467,Preis::N,വില,pretium
468,Ware::N,ചരക്ക്,merx
469,Nutzen::N,ലാഭം,utilitas
470,Reichtum::N,ധനം,opes
471,Reichtum::N,ധനം,divitiae
472,Welt::N,ലോകം,mundus
473,Land::N,രാജ്യം,terra
474,Staat::N,രാജ്യം,res publica
475,König::N,രാജാവ്,rex
476,Macht::N,അധികാരം,potestas
477,Grenze::N,അതിർത്തി,limes
478,Krieg::N,യുദ്ധം,bellum
479,Feind::N,ശത്രു,inimicus
480,Gewalt::N,അക്രമം,vis
481,Kampf::N,പോരാട്ടം,pugna
482,Bogen[Waffe]::N,വില്ല്,arcus
483,Pfeil::N,അമ്പ്,sagitta
484,Gewehr::N,തോക്ക്,sclopetum
485,Fehler::N,പിശക്,error
486,Lüge::N,കള്ളം,mendacium
487,Schaden::N,കേടുപാട്,damnum
488,Schaden::N,കേടുപാട്,detrimentum
489,Unglück::N,ദൌർഭാഗ്യം,miseria
490,Unglück::N,ദൌർഭാഗ്യം,calamitas
491,Schuld::N,തെറ്റ്,culpa
492,Alter::N,വയസ്സ്,aetas
493,Schluss::N,നിഗമനം,finis
494,Zeit::N,സമയം,tempus
495,Tag::N,ദിവസം,dies
496,Morgen::N,പ്രഭാതം,mane
497,Mittag::N,ഉച്ച,meridies
498,Abend::N,സായാഹ്നം,vesper
499,Nacht::N,രാത്രി,nox
500,Woche::N,ആഴ്ച,septimana
501,Monat::N,മാസം,mensis
502,Jahr::N,വർഷം,annus
503,Frühling::N,വസന്തം,ver
504,Sommer::N,വേനൽ,aestas
505,Herbst::N,ശരത്കാലം,autumnus
506,Winter::N,ശൈത്യം,hiems
507,Januar::N,ജനുവരി,Ianuarius
508,Februar::N,ഫെബ്രുവരി,Februarius
509,März::N,മാർച്ച്,Martius
510,April::N,ഏപ്രിൾ മാസം,Aprilis
511,Mai::N,മെയ് മാസം,Maius
512,Juni::N,ജൂൺ,Iunius
513,Juli::N,ജൂലൈ,Iulius
514,August::N,ആഗസ്റ്റ്,Augustus
515,September::N,സെപ്തംബർ,September
516,Oktober::N,ഒക്ടോബർ,Octobris
517,November::N,നവംബർ,Novembris
518,Dezember::N,ഡിസംബർ,December
519,Montag::N,തിങ്കളാഴ്ച,dies lunae
520,Dienstag::N,ചൊവ്വ,dies Martis 
521,Mittwoch::N,ബുധനാഴ്ച,dies Mercurii
522,Donnerstag::N,വ്യാഴാഴ്ച,dies Iovis
523,Freitag::N,വെള്ളിയാഴ്ച,dies Veneris
524,Samstag::N,ശനിയാഴ്ച,dies Saturni
525,Sonntag::N,ഞായറാഴ്ച,dominicus
526,Sonntag::N,ഞായറാഴ്ച,dies solis
527,groß::A,വലിയ,magnus
528,klein::A,ചെറിയ,parvus
529,lang::A,നീണ്ട,longus
530,kurz::A,ഹ്രസ്വമായ,brevis
531,breit::A,വിശാലമായ,latus
532,schmal::A,ഇടുങ്ങിയ,angustus
533,dicht::A,നിബിഡമായ,densus
534,dick[Gegenstand]::A,തടിച്ച,crassus
535,dünn::A,മെലിഞ്ഞ,tenuis
536,fein::A,നേർത്ത,subtilis
537,fest::A,ഉറപ്പുള്ള,solidus
538,fest::A,ഉറപ്പുള്ള,stabilis
539,flach::A,പരന്ന,planus
540,glatt::A,മിനുസമുള്ള,levis
541,hart::A,കട്ടിയുള്ള,durus
542,weich::A,മൃദുവായ,mollis
543,rund::A,വട്ടത്തിലുള്ള,rotundus
544,spitz::A,മുനയുള്ള,acutus
545,scharf::A,മൂർച്ചയുള്ള,acer
546,stumpf::A,തുറന്നടിക്കുന്ന,hebes
547,schwer::A,ഭാരമുള്ള,gravis
548,schön::A,മനോഹരമായ,pulcher
549,schön::A,മനോഹരമായ,formosus
550,heiß::A,ചൂടുള്ള,fervidus
551,warm::A,ചൂടുള്ള,calidus
552,kalt::A,തണുത്ത,frigidus
553,kühl::A,തണുപ്പുള്ള,frigidus
554,frisch::A,ശുദ്ധമായ,recens
555,feucht::A,ഈറനുള്ള,umidus
556,nass::A,നനഞ്ഞ,madidus
557,trocken::A,വരണ്ട,aridus
558,voll::A,നിറയെ,plenus
559,leer::A,ഒഴിഞ്ഞ,vacuus
560,offen::A,തുറന്ന,apertus
561,geschlossen::A,അടച്ച,clausus
562,sauber::A,വൃത്തിയുള്ള,lautus
563,schmutzig::A,അഴുക്കുനിറഞ്ഞ,sordidus
564,roh::A,അസംസ്കൃതമായ,crudus
565,reif::A,പഴുത്ത,maturus
566,lecker::A,രുചികരമായ,delicatus
567,süß::A,മധുരമുള്ള,dulcis
568,bitter::A,കടുത്ത,amarus
569,bitter::A,കടുത്ത,acerbus
570,sauer::A,പുളിപ്പുള്ള,acidus
571,hell::A,ജ്വലിക്കുന്ന,clarus
572,dunkel::A,ഇരുണ്ട,obscurus
573,schwarz::A,കറുത്ത,niger
574,weiß::A,വെളുത്ത,albus
575,rot::A,ചുവന്ന,ruber
576,gelb::A,മഞ്ഞനിറമായ,flavus
577,blau::A,നീലനിറമുള്ള,caeruleus
578,grün::A,പച്ചനിറമുള്ള,viridis
579,grau::A,ചാരനിറത്തിലുള്ള,canus
580,bunt::A,വർണ്ണശബളമായ,varius
581,billig::A,വിലകുറഞ്ഞ,vilis
582,teuer::A,ചെലവേറിയ,carus
583,wertvoll::A,വിലപിടിപ്പുള്ള,pretiosus
584,blind::A,അന്ധനായ,caecus
585,taub::A,കേൾവിക്കുറവുള്ള,surdus
586,kräftig::A,ശക്തിയുള്ള,robustus
587,stark::A,ബലമുള്ള,firmus
588,stark::A,ബലമുള്ള,validus
589,schwach::A,ക്ഷീണിച്ച,debilis
590,schwach::A,ക്ഷീണിച്ച,infirmus
591,fett::A,കൊഴുപ്പുള്ള,crassus
592,schlank::A,മെലിഞ്ഞ,procerus
593,hübsch::A,മനോഹരമായ,pulcher
594,böse::A,പാപിയായ,improbus
595,dumm::A,വിവരംകെട്ട,stultus
596,dumm::A,വിവരംകെട്ട,stupidus
597,faul::A,അലസനായ,piger
598,fleißig::A,അദ്ധ്വാനശീലമുള്ള,sedulus
599,geizig::A,പിശുക്കനായ,avarus
600,klug::A,ബുദ്ധിസാമർഥ്യമുള്ള,prudens
601,geschickt::A,പ്രതിഭാശാലി,sollers
602,lieb::A,പ്രിയപ്പെട്ട,carus
603,lustig::A,ആനന്ദകരമായ,iocosus
604,sanft::A,സൌമ്യമായ,clemens
605,hungrig::A,വിശപ്പുള്ള,impastus
606,krank::A,അസുഖമുള്ള,aeger
607,nackt::A,നഡമായ,nudus
608,traurig::A,വിഷമമുള്ള,maestus
609,lebendig::A,ഉപജീവനം,vivus
610,gut::A,നല്ല,bonus
611,schlecht::A,മോശമായ,malus
612,richtig::A,ശരിയായ,rectus
613,schlimm::A,വൃത്തികെട്ട,malus
614,wahr::A,ശരിയായ,verus
615,alt::A,പഴയ,antiquus
616,neu::A,പുതിയ,novus
617,ehemalig::A,മുൻ,pristinus
618,alt[Lebewesen]::A,വയസ്സുള്ള,vetus
619,jung::A,കൌമാരമായ,iuvenis
620,arm::A,പാവപ്പെട്ട,pauper
621,reich::A,സമ്പന്നമായ,dives
622,bekannt::A,പരിചിതമായ,notus
623,berühmt::A,പ്രശസ്തനായ,celeber
624,berühmt::A,പ്രശസ്തനായ,illustris
625,fremd::A,വൈദേശികമായ,peregrinus
626,verschieden::A,വ്യത്യസ്തമായ,varius
627,nah::A,അരികത്തുള്ള,propinquus
628,fern::A,അകലെയുള്ള,longinquus
629,linker::A,അവശേഷിച്ച,sinister
630,rechter::A,വലത്തേ,dexter
631,anderer::A,മറ്റുള്ള,alius
632,erster::A,ആദ്യത്തെ,primus
633,zweiter::A,രണ്ടാം,secundus
634,dritter::A,മൂന്നാമത്,tertius
635,letzter::A,അവസാനത്തെ,ultimus
636,allein::ADV,തനിച്ചുള്ള,solum
637,auf einmal::ADV,ഉടന്,simul
638,zusammen::ADV,ഒരുമിച്ച,una
639,lange::ADV,നീണ്ട_കാലത്തേയ്ക്ക്,diu
640,plötzlich::ADV,പെട്ടെന്ന്,subito
641,plötzlich::ADV,പെട്ടെന്ന്,repente
642,sofort::ADV,തത്ക്ഷണം,statim
