,Concept_ID,no,uz
191,Saat::N,sæd,äkin
192,Korn::N,korn,zarra
193,Heu::N,høy,xashak
194,Schale::N,skall,po'choq
195,Grube::N,grop,co'ra
196,Falle::N,felle,qopqon
197,Schlinge::N,snare,sirtmoq
198,Spur::N,spor,iz
199,Asche::N,aske,kul
200,Dreck::N,møkk,kir
201,Dreck::N,skitt,kir
202,Eisen::N,jern,temir
203,Gold::N,gull,tilla
204,Silber::N,sølv,kumush
205,Kohle::N,kol,ko'mir
206,Kohle::N,kull,ko'mir
207,Glas::N,glass,oyna
208,Lehm::N,leire,loy
209,Sand::N,sand,qum
210,Mensch::N,menneske,odam
211,Mann::N,mann,ärkak
212,Frau::N,kvinne,ayol
213,Kind::N,barn,bola
214,Kind::N,barn,kichkintoy
215,Junge::N,gutt,bola
216,Mädchen::N,pike,qiz
217,Mädchen::N,jente,qiz
218,Familie::N,familie,oila
219,Großvater::N,bestefar,buva
220,Großvater::N,bestefar,katta ota
221,Großmutter::N,bestemor,buvi
222,Großmutter::N,bestemor,katta oyi
223,Eltern::N,foreldre,ota-ona
224,Vater::N,far,ota
225,Mutter::N,mor,ona
226,Sohn::N,sønn,o'g'il
227,Tochter::N,datter,qiz
228,Bruder::N,bror,og'a
229,Bruder::N,bror,uka
230,Schwester::N,søster,opa
231,Schwester::N,søster,singil
232,Onkel::N,onkel,amaki
233,Tante::N,tante,amma
234,Tante::N,tante,xola
235,Ehemann::N,ektemann,är
236,Ehefrau::N,hustru,rafiqa
237,Freude::N,glede,ayish
238,Gelächter::N,latter,kulgi
239,Glück::N,lykke,saodat
240,Kummer::N,sorg,g'am
241,Wunsch::N,ønske,orzu
242,Lust::N,lyst,rag'bat
243,Geist::N,ånd,ruh
244,Gedanke::N,tanke,fikr
245,Gedächtnis::N,minne,äs
246,Gedächtnis::N,hukommelse,äs
247,Verstand::N,forstand,aql
248,Sinn::N,mening,ma'ni
249,Sinn::N,betydning,ma'ni
250,Grund::N,grunn,sabab
251,Wahrheit::N,sannhet,haq
252,Gespräch::N,samtale,gap
253,Märchen::N,eventyr,ärtak
254,Erzählung::N,fortelling,rivoyat
255,Nachricht::N,melding,xabar
256,Neuigkeit::N,nyhet,yangilik
257,Name::N,navn,ot
258,Rätsel::N,gåte,topishmoq
259,Rede::N,tale,nutq
260,Sprache::N,språk,til
261,Stimme::N,stemme,ovoz
262,Wort::N,ord,so'z
263,Zeichen::N,tegn,alomat
264,Ruf::N,rop,chaqiriq
265,Lärm::N,bråk,taraq
266,Laut::N,lyd,tovush
267,Ton::N,tone,un
268,Lied::N,vise,ashula
269,Ruhe::N,ro,tinchlik
270,Leute::N,folk,xaloyiq
271,Volk::N,folk,xalq
272,Arbeit::N,arbeid,ish
273,Gast::N,gjest,mehmon
274,Geschenk::N,gave,hadya
275,Spiel::N,lek,o'yin
276,Spiel::N,spill,o'yin
277,Gesellschaft::N,selskap,jamiyat
278,Hilfe::N,hjelp,yordam
279,Freund::N,venn,do'st
280,Kamerad::N,kamerat,yo'ldosh
281,Angelegenheit::N,sak,daxl
282,Angelegenheit::N,anliggende,daxl
283,Anzahl::N,antall,son
284,Art::N,art,tur
285,Art::N,slag,tur
286,Stück::N,stykke,parcha
287,Teil::N,del,bo'lak
288,Hälfte::N,halvdel,yarim
289,Kreis::N,ring,aylana
290,Kreis::N,sirkel,aylana
291,Kreuz::N,kors,xoch
292,Kreuz::N,kryss,xoch
293,Linie::N,linje,liniya
294,Strich::N,strek,chiziq
295,Abstand::N,avstand,oralik
296,Entfernung::N,avstand,uzoqlik
297,Gegend::N,strøk,yer
298,Platz::N,plass,oralig
299,Ort::N,sted,joy
300,Seite::N,side,yon
301,Mitte::N,midte,o'rta
302,Gegenstand::N,gjenstand,ashyo
303,Sache::N,sak,buyum
304,Rand::N,rand,chek
305,Kante::N,kant,tig'
306,Ecke::N,hjørne,burchak
307,Spitze::N,spiss,uch
308,Ende::N,ende,oxir
309,Loch::N,hull,teshik
310,Winkel::N,vinkel,go'sha
311,Muster::N,mønster,nusha
312,Größe::N,størrelse,kattalik
313,Länge::N,lengde,uzunlik
314,Höhe::N,høyde,yuksaklik
315,Gewicht::N,vekt,solmoq
316,Menge::N,mengde,miqdor
317,Haufen::N,haug,uyum
318,Haufen::N,bunke,uyum
319,Reihe::N,rekke,saf
320,Boot::N,båt,qayiq
321,Ruder::N,åre,äshkak
322,Schlitten::N,slede,chana
323,Schlitten::N,kjelke,chana
324,Ski::N,ski,chang'i
325,Lagerfeuer::N,leirbål,gulxan
326,Last::N,bør,yuk
327,Last::N,last,yuk
328,Gang::N,gang,yurish
329,Schritt::N,steg,qadam
330,Schritt::N,skritt,qadam
331,Norden::N,nord,shimol
332,Süden::N,sør,janub
333,Westen::N,vest,g'arb
334,Osten::N,øst,sharq
335,Holz::N,tre,yog'och
336,Brett::N,fjøl,taxta
337,Brett::N,brett,taxta
338,Platte::N,plate,tabaqa
339,Stütze::N,støtte,tayanchi
340,Stange::N,stang,qo'noq
341,Stock::N,pinne,tayoq
342,Stab::N,stav,gavron
343,Stab::N,kjepp,gavron
344,Rohr::N,rør,tarnov
345,Haus::N,hus,uy
346,Heim::N,hjem,makon
347,Ofen::N,ovn,pechka
348,Fußboden::N,gulv,pol
349,Tisch::N,bord,mosa
350,Stuhl::N,stol,o'rindiq
351,Wiege::N,vogge,beshik
352,Bett::N,seng,yotoq
353,Regal::N,reol,tokcha
354,Regal::N,hylle,tokcha
355,Kiste::N,kasse,sandiq
356,Fenster::N,vindu,deraza
357,Tür::N,dør,äshik
358,Tor::N,port,darvoza
359,Zaun::N,gjerde,panjara
360,Dach::N,tak,tom
361,Leiter::N,stige,narvon
362,Besen::N,kost,supurgi
363,Spaten::N,spade,bel
364,Schaufel::N,skuffe,kurak
365,Gabel::N,gaffel,bilka
366,Löffel::N,skje,qoshiq
367,Messer::N,kniv,pichoq
368,Nagel::N,spiker,mix
369,Netz::N,nett,to'r
370,Haken::N,krok,ilgak
371,Griff::N,tak,sop
372,Griff::N,tak,tutqich
373,Griff::N,håndtak,sop
374,Griff::N,håndtak,tutqich
375,Schloss::N,lås,qulf
376,Bild::N,bilde,rasm
377,Figur::N,figur,shakl
378,Puppe::N,dukke,ko'g'irchoq
379,Beutel::N,pose,to'rva
380,Bündel::N,bylt,bog'lam
381,Tasche::N,veske,kissa
382,Eimer::N,bøtte,chelak
383,Deckel::N,lokk,qopqoq
384,Geschirr::N,kjøkkentøy,idish
385,Sack::N,sekk,qop
386,Tasse::N,kopp,piyola
387,Topf::N,gryte,tuvak
388,Kessel::N,kjele,qozon
389,Essen::N,mål,tomoq
390,Nahrung::N,mat,emak
391,Nahrung::N,næring,emak
392,Speise::N,matrett,taom
393,Fleisch::N,kjøtt,go'sht
394,Getreide::N,korn,g'alla
395,Brei::N,grøt,bo'tqa
396,Brot::N,brød,non
397,Scheibe::N,skive,disk
398,Fett::N,fett,moy
399,Butter::N,smør,yog'
400,Öl::N,olje,moy
401,Salz::N,salt,tuz
402,Suppe::N,suppe,sho'rva
403,Honig::N,honning,asal
404,Milch::N,melk,sut
405,Tee::N,te,choy
406,Leder::N,lær,charm
407,Leder::N,skinn,charm
408,Wolle::N,ull,jun
409,Stoff::N,tøy,mato
410,Stoff::N,stoff,mato
411,Nadel::N,nål,igna
412,Faden::N,tråd,ip
413,Knopf::N,knapp,tugma
414,Knoten::N,knute,tugun
415,Farbe::N,farge,bo'yok
416,Kleidung::N,påkledning,kiyim
417,Hemd::N,skjorte,ko'ylak
418,Kragen::N,krage,yoqa
419,Ärmel::N,erme,yeng
420,Hose::N,bukse,shim
421,Gürtel::N,belte,tasma
422,Mütze::N,lue,shapka
423,Schuh::N,sko,but
424,Stiefel::N,støvel,botinka
425,Ring::N,ring,yuzuk
426,Band::N,band,rishta
427,Kamm::N,kam,taroq
428,Spiegel::N,speil,ko'zgu
429,Riemen::N,rem,qayish
430,Schnur::N,snor,bog'ich
431,Leine::N,line,etak
432,Decke::N,teppe,odyol
433,Kissen::N,pute,yostiq
434,Tuch::N,tøy,gazlama
435,Handtuch::N,håndkle,sochiq
436,Kraft::N,kraft,kuch
437,Stärke::N,styrke,quvvat
438,Gesundheit::N,helse,sog'lik
439,Gesundheit::N,sunnhet,sog'lik
440,Krankheit::N,syke,kasallik
441,Krankheit::N,sykdom,kasallik
442,Schmerz::N,smerte,og'riq
443,Wunde::N,sår,yara
444,Fieber::N,feber,bezgak
445,Arznei::N,medisin,dori
446,Arznei::N,legemiddel,dori
447,Brücke::N,bro,ko'prik
448,Brunnen::N,brønn,buloq
449,Weide::N,beite,yaylov
450,Pfad::N,sti,dorojka
451,Weg::N,vei,yo'l
452,Straße::N,gate,ko'cha
453,Dorf::N,landsby,ovul
454,Stadt::N,by,shahar
455,Brief::N,brev,maktub
456,Buch::N,bok,kitob
457,Buchstabe::N,bokstav,harf
458,Zeitung::N,avis,gazet
459,Leben::N,liv,hayot
460,Tod::N,død,o'lim
461,Grab::N,grav,go'r
462,Kirche::N,kirke,cherkov
463,Sünde::N,synd,gunoh
464,Gott::N,gud,olloh
465,Arbeiter::N,arbeider,ishchi
466,Chef::N,sjef,rais
467,Meister::N,mester,usta
468,Arzt::N,lege,hakim
469,Lehrer::N,lærer,muallim
470,Geld::N,penger,pul
471,Geschäft::N,forretning,savdo
472,Laden::N,butikk,do'kon
473,Preis::N,pris,baho
474,Ware::N,vare,mol
475,Nutzen::N,nytte,foyda
476,Reichtum::N,rikdom,boylik
477,Welt::N,verden,olam
478,Land::N,land,o'lka
479,Staat::N,stat,davlat
480,König::N,konge,qirol
481,Macht::N,makt,iqtidor
482,Grenze::N,grense,chegara
483,Krieg::N,krig,harb
484,Feind::N,fiende,dushman
485,Gewalt::N,vold,zo'rlik
486,Kampf::N,kamp,kurash
487,Bogen[Waffe]::N,bue,yoy
488,Pfeil::N,pil,o'q
489,Gewehr::N,gevær,vintovka
490,Fehler::N,feil,xato
491,Lüge::N,løgn,yolg'on
492,Schaden::N,skade,ziyon
493,Unglück::N,uhell,balo
494,Schuld::N,skyld,ayb
495,Alter::N,alder,yosh
496,Schluss::N,slutt,tamom
497,Zeit::N,tid,vaqt
498,Tag::N,dag,kun
499,Morgen::N,morgen,saboh
500,Mittag::N,middag,kun tushlik
501,Abend::N,aften,oqshom
502,Nacht::N,natt,tun
503,Woche::N,uke,hafta
504,Monat::N,måned,oy
505,Jahr::N,år,yil
506,Frühling::N,vår,bahor
507,Sommer::N,sommer,yoz
508,Herbst::N,høst,kuz
509,Herbst::N,høst,xazon
510,Winter::N,vinter,qish
511,Januar::N,januar,yanvar'
512,Februar::N,februar,fevral'
513,März::N,mars,mart
514,April::N,april,aprel'
515,Mai::N,mai,may
516,Juni::N,juni,iyun'
517,Juli::N,juli,iyul'
518,August::N,august,avgust
519,September::N,september,sentyabr'
520,Oktober::N,oktober,oktyabr'
521,November::N,november,noyabr'
522,Dezember::N,desember,dekabr'
523,Montag::N,mandag,dushanba
524,Dienstag::N,tirsdag,seshanba
525,Mittwoch::N,onsdag,chorshanba
526,Donnerstag::N,torsdag,payshanba
527,Freitag::N,fredag,juma
528,Samstag::N,lørdag,shanba
529,Sonntag::N,søndag,yakshanba
530,groß::A,stor,buyuk
531,klein::A,liten,kichik
532,lang::A,lang,uzun
533,kurz::A,kort,qisqa
534,breit::A,bred,keng
535,schmal::A,smal,änsiz
536,dicht::A,tett,quyuq
537,dick[Gegenstand]::A,tykk,qalin
538,dünn::A,tynn,ingichka
539,fein::A,fin,mayin
540,fest::A,fast,qattiq
541,flach::A,flat,yalpoq
542,glatt::A,glatt,tekis
543,hart::A,hard,qattiq
544,weich::A,myk,yumshoq
545,weich::A,bløt,yumshoq
546,rund::A,rund,yumaloq
547,spitz::A,spiss,uchli
548,scharf::A,kvass,keskir
549,stumpf::A,stubb,to'mtoq
550,schwer::A,tung,salmoqli
551,schön::A,pen,go'zal
552,schön::A,vakker,go'zal
553,heiß::A,het,qiziq
554,warm::A,varm,issiq
555,kalt::A,kald,sovuq
556,kühl::A,kjølig,salqin
557,frisch::A,fersk,toza
558,feucht::A,fuktig,namli
559,nass::A,våt,nam
560,trocken::A,tørr,quruq
561,voll::A,full,to'la
562,leer::A,tom,puch
563,offen::A,åpen,ochiq
564,geschlossen::A,lukket,berk
565,sauber::A,ren,ozoda
566,schmutzig::A,skitten,kir
567,roh::A,rå,xom
568,reif::A,moden,pishiq
569,lecker::A,lekker,shirin
570,süß::A,søt,shirin
571,bitter::A,besk,achchiq
572,bitter::A,bitter,achchiq
573,sauer::A,sur,achchiq
574,hell::A,lys,yorug'
575,dunkel::A,mørk,qorong'i
576,schwarz::A,svart,qora
577,weiß::A,hvit,oq
578,rot::A,rød,qizil
579,gelb::A,gul,sariq
580,blau::A,blå,zangori
581,grün::A,grønn,yashil
582,grau::A,grå,bo'z
583,bunt::A,broket,ola
584,billig::A,billig,arzon
585,teuer::A,dyr,qimmat
586,wertvoll::A,verdifull,qimmat
587,blind::A,blind,ko'r
588,taub::A,døv,garang
589,kräftig::A,kraftig,kuchli
590,stark::A,sterk,quvvatli
591,schwach::A,svak,kuchsiz
592,fett::A,fet,semiz
593,schlank::A,slank,ingichka
594,hübsch::A,pen,ko'rkam
595,böse::A,slem,yovuz
596,dumm::A,dum,aqlsiz
597,faul::A,lat,ärinchak
598,faul::A,doven,ärinchak
599,fleißig::A,flittig,ishchan
600,geizig::A,gjerrig,qurumsoq
601,klug::A,klok,oqil
602,geschickt::A,hendig,äpchil
603,geschickt::A,skikket,äpchil
604,lieb::A,kjær,aziz
605,lieb::A,snill,aziz
606,lustig::A,morsom,chaqchaq
607,sanft::A,blid,asta
608,hungrig::A,sulten,och
609,krank::A,syk,kasal
610,nackt::A,naken,yalang
611,traurig::A,sørgmodig,xafa
612,lebendig::A,levende,hayotiy
613,gut::A,god,soz
614,schlecht::A,dårlig,yomon
615,richtig::A,riktig,rost
616,schlimm::A,slem,yovuz
617,wahr::A,sann,haqiqiy
618,alt::A,gammel,äski
619,neu::A,ny,yangi
620,ehemalig::A,forhenværende,sobiq
621,alt[Lebewesen]::A,gammel,qari
622,jung::A,ung,navqiron
623,arm::A,fattig,abgor
624,reich::A,rik,boy
625,bekannt::A,kjent,ma'lum
626,berühmt::A,berømt,mashhur
627,fremd::A,fremmed,yot
628,verschieden::A,forskjellig,turli
629,nah::A,nær,yaqindagi
630,fern::A,fjern,uzoq
631,linker::A,venstre,so'l
632,rechter::A,høyre,o'ng
633,anderer::A,annen,boshqa
634,erster::A,første,birinchi
635,zweiter::A,annen,ikkinchi
636,dritter::A,tredje,uchinchi
637,letzter::A,sist,oxirgi
638,allein::ADV,alene,o'zicha
639,auf einmal::ADV,med ett,varakay
640,zusammen::ADV,sammen,barobar
641,lange::ADV,lenge,uzoq
642,plötzlich::ADV,plutselig,qo'qqisdan
643,sofort::ADV,straks,darrov
644,später::ADV,senere,so'ngra
645,jetzt::ADV,nå,hozirgina
646,heute::ADV,i dag,bugun
647,morgen::ADV,i morgen,ärta
648,bald::ADV,snart,toz
649,dann::ADV,så,keyin
650,gestern::ADV,i går,kecha
651,einst::ADV,engang,avvallari
652,damals::ADV,den gang,ugal
653,danach::ADV,deretter,so'ngra
654,vorher::ADV,før,avval
655,vorher::ADV,i forveien,avval
656,zuerst::ADV,først,avval
657,einmal::ADV,en gang,bir marta
658,manchmal::ADV,somme tider,onda-sonda
659,oft::ADV,ofte,tez-tez
660,immer::ADV,alltid,har vaqt
661,niemals::ADV,aldri,hargiz
662,hier::ADV,her,shu erda
663,hierhin::ADV,hit,beri
664,von hier::ADV,herfra,shu erdan
665,dort::ADV,der,ana
666,dorthin::ADV,dit,u yerga
667,geradeaus::ADV,rett fram,to'g'ri
668,vorwärts::ADV,fram,ilgari
669,vorwärts::ADV,framover,ilgari
670,rückwärts::ADV,baklengs,qoloq
671,zurück::ADV,tilbake,orqada
672,unten::ADV,nede,pastda
673,hinab::ADV,ned,tubanga
674,hinab::ADV,nedover,tubanga
675,oben::ADV,oppe,ustida
676,oben::ADV,ovenpå,ustida
677,hinauf::ADV,opp,yuqorida
678,hinauf::ADV,oppover,yuqorida
679,überall::ADV,overalt,har erda
680,nicht::ADV,ikke,ämas
681,ein wenig::ADV,litt,biroz
682,kaum::ADV,neppe,arang
683,sehr::ADV,svært,ancha
684,so::ADV,så,shunday
685,noch::ADV,enda,hali
686,nur::ADV,bare,yolg'iz
687,schon::ADV,alt,endi
688,schon::ADV,allerede,endi
689,wieder::ADV,igjen,yana
690,vergebens::ADV,forgjeves,bekorga
691,vor::PRP,foran,burun
692,vor::PRP,utenfor,burun
693,hinter::PRP,bak,ketida
694,hinter::PRP,bakom,ketida
695,unter::PRP,under,ostida
696,durch::PRP,gjennom,bo'ylab
697,durch::PRP,igjennom,bo'ylab
698,neben::PRP,ved siden av,yonida
699,zwischen::PRP,mellom,orada
700,wegen::PRP,på grunn av,sababli
701,dies::PRN,dette,o'sha
702,das::PRN,det,narigi
703,alles::PRN,alt,har nima
704,ich::PRN,jeg,men
705,du::PRN,du,sen
706,er::PRN,han,u
707,wir::PRN,vi,biz
708,ihr::PRN,dere,siz
709,sie::PRN,de,ular
710,was::FPRN,hva,nima
711,wer::FPRN,hvem,kim
712,wo::FADV,hvor,qaerda
713,wohin::FADV,hvor ... hen,qayerga
714,wie::FADV,hvordan,qanday
715,warum::FADV,hvorfor,nega
716,wieviel::FNUM,hvor mye,qancha
717,eins::NUM,en,bir
718,eins::NUM,ett,bir
719,zwei::NUM,to,ikki
720,drei::NUM,tre,uch
721,vier::NUM,fire,to'rt
722,fünf::NUM,fem,besh
723,sechs::NUM,seks,olti
724,sieben::NUM,sju,etti
725,acht::NUM,åtte,sakkiz
726,neun::NUM,ni,to'qqiz
727,zehn::NUM,ti,o'n
728,elf::NUM,elleve,o'n bir
729,zwölf::NUM,tolv,o'n ikki
730,zwanzig::NUM,tjue,yigirma
731,dreißig::NUM,tretti,o'ttiz
732,vierzig::NUM,førti,qirq
733,fünfzig::NUM,femti,ällik
734,sechzig::NUM,seksti,oltmish
735,siebzig::NUM,sytti,etmish
736,achtzig::NUM,åtti,sakson
737,neunzig::NUM,nitti,to'qson
738,hundert::NUM,hundre,yuz
739,tausend::NUM,tusen,ming
740,und::CNJ,og,va
741,oder::CNJ,eller,yo
742,stehen::V,stå,turmoq
743,sitzen::V,sitte,o'tirmoq
744,liegen::V,ligge,yotmoq
745,hängen::V,henge,osilmoq
746,werden::V,bli,bo'lmoq
747,passieren::V,skje,bo'lib o'tmoq
748,passieren::V,hende,bo'lib o'tmoq
749,beginnen::V,begynne,boshlanmoq
750,enden::V,ende,bitmoq
751,enden::V,slutte,bitmoq
752,wechseln::V,veksle,o'zgarmoq
753,aufgehen[Sonne]::V,stå opp,chiqmoq
754,untergehen[Sonne]::V,gå ned,botmoq
755,scheinen[Sonne]::V,skinne,yaraqlamoq
756,donnern::V,tordne,gulduramoq
757,wehen::V,blåse,elpimoq
758,strömen::V,strømme,oqmoq
759,fließen::V,flyte,oqmoq
760,sich drehen::V,dreie seg,aylanmoq
761,schwanken::V,svaie,qoqilmoq
762,schwingen::V,svinge,lopillamoq
763,fallen::V,falle,tushmoq
764,brennen::V,brenne,yonmoq
765,rauchen::V,ryke,tutamoq
766,regnen::V,regne,yomg'ir yog'moq
767,gefrieren::V,fryse,muzlamoq
768,tauen::V,tine,ärimoq
769,schmelzen::V,smelte,ärimoq
770,trocknen::V,tørre,qurimoq
771,sieden::V,koke,qaynamoq
772,faulen::V,råtne,chirimoq
773,verfaulen::V,råtne,chirimoq
774,reißen::V,briste,qayt qilmoq
775,versinken::V,synke,g'arq bo'lmoq
776,versinken::V,synke ned,g'arq bo'lmoq
777,vergehen::V,forløpe,o'tmoq
778,erscheinen::V,synes,zuhur ätmoq
779,verschwinden::V,forsvinne,yo'qolmoq
780,sinken::V,synke,pasaymoq
781,abnehmen::V,avta,kamaymoq
782,abnehmen::V,minske,kamaymoq
783,zunehmen::V,tilta,urchimoq
784,steigen::V,stige,oshmoq
785,wachsen::V,gro,o'smoq
786,wachsen::V,vokse,o'smoq
787,glänzen::V,skinne,porlamoq
788,funkeln::V,tindre,yalt ätmoq
789,lärmen::V,bråke,taraq ätmoq
790,läuten::V,ringe,jiringlamoq
791,klingeln::V,ringe,jiringlamoq
792,klirren::V,klirre,sharaqlamoq
793,brausen::V,bruse,vag'illamoq
794,rauschen::V,suse,shitirlamoq
795,klingen::V,lyde,yangramoq
796,klingen::V,klinge,yangramoq
797,bellen::V,gjø,hurmoq
798,bellen::V,bjeffe,hurmoq
799,heulen::V,ule,uvlamoq
800,blasen::V,blåse,puflamoq
801,pfeifen::V,plystre,xushtak chalmoq 
802,schreien::V,skrike,qiyqirmoq
803,stöhnen::V,stønne,nola qilmoq
804,zittern::V,dirre,titramoq
805,zittern::V,skjelve,titramoq
806,leben::V,leve,yashamoq
807,geboren werden::V,fødes,tug'ilmoq
808,atmen::V,ånde,nafas chiqarmoq
809,atmen::V,puste,nafas chiqarmoq
810,trinken::V,drikke,ichmoq
811,essen::V,spise,emoq
812,schlucken::V,svelge,yutmoq
813,müde werden::V,bli trett,horimoq
814,einschlafen::V,sovne,uxlab qolmoq
815,schlafen::V,sove,uxlamoq
