,Concept_ID,nl,no
341,Spitze::N,punt,spiss
342,Spitze::N,spits,spiss
343,Ende::N,einde,ende
344,Ende::N,uiteinde,ende
345,Loch::N,gat,hull
346,Winkel::N,hoek,vinkel
347,Muster::N,dessin,mønster
348,Muster::N,patroon,mønster
349,Größe::N,grootte,størrelse
350,Länge::N,lengte,lengde
351,Höhe::N,hoogte,høyde
352,Gewicht::N,gewicht,vekt
353,Menge::N,hoeveelheid,mengde
354,Haufen::N,hoop,haug
355,Haufen::N,hoop,bunke
356,Reihe::N,rij,rekke
357,Reihe::N,reeks,rekke
358,Boot::N,boot,båt
359,Ruder::N,roeiriem,åre
360,Schlitten::N,slee,slede
361,Schlitten::N,slee,kjelke
362,Schlitten::N,slede,slede
363,Schlitten::N,slede,kjelke
364,Ski::N,ski,ski
365,Lagerfeuer::N,kampvuur,leirbål
366,Last::N,last,bør
367,Last::N,last,last
368,Last::N,vracht,bør
369,Last::N,vracht,last
370,Gang::N,wandeling,gang
371,Schritt::N,stap,steg
372,Schritt::N,stap,skritt
373,Schritt::N,schrede,steg
374,Schritt::N,schrede,skritt
375,Norden::N,noorden,nord
376,Süden::N,zuiden,sør
377,Westen::N,westen,vest
378,Osten::N,oosten,øst
379,Holz::N,hout,tre
380,Brett::N,plank,fjøl
381,Brett::N,plank,brett
382,Platte::N,plaat,plate
383,Stütze::N,stut,støtte
384,Stütze::N,steun,støtte
385,Stange::N,stang,stang
386,Stock::N,stok,pinne
387,Stab::N,staf,stav
388,Stab::N,staf,kjepp
389,Rohr::N,pijp,rør
390,Haus::N,huis,hus
391,Heim::N,tehuis,hjem
392,Ofen::N,kachel,ovn
393,Fußboden::N,vloer,gulv
394,Tisch::N,tafel,bord
395,Stuhl::N,stoel,stol
396,Wiege::N,wieg,vogge
397,Bett::N,bed,seng
398,Regal::N,rek,reol
399,Regal::N,rek,hylle
400,Kiste::N,kist,kasse
401,Fenster::N,raam,vindu
402,Fenster::N,venster,vindu
403,Tür::N,deur,dør
404,Tor::N,poort,port
405,Zaun::N,omheining,gjerde
406,Dach::N,dak,tak
407,Leiter::N,ladder,stige
408,Besen::N,bezem,kost
409,Spaten::N,schop,spade
410,Schaufel::N,schep,skuffe
411,Gabel::N,vork,gaffel
412,Löffel::N,lepel,skje
413,Messer::N,mes,kniv
414,Nagel::N,spijker,spiker
415,Netz::N,net,nett
416,Haken::N,haak,krok
417,Griff::N,handvat,tak
418,Griff::N,handvat,håndtak
419,Schloss::N,slot,lås
420,Bild::N,beeld,bilde
421,Figur::N,figuur,figur
422,Puppe::N,pop,dukke
423,Beutel::N,zak,pose
424,Beutel::N,buidel,pose
425,Bündel::N,pak,bylt
426,Bündel::N,bundel,bylt
427,Tasche::N,tas,veske
428,Eimer::N,emmer,bøtte
429,Deckel::N,deksel,lokk
430,Geschirr::N,vaatwerk,kjøkkentøy
431,Sack::N,zak,sekk
432,Tasse::N,kop,kopp
433,Topf::N,pan,gryte
434,Kessel::N,ketel,kjele
435,Essen::N,eten,mål
436,Nahrung::N,voedsel,mat
437,Nahrung::N,voedsel,næring
438,Speise::N,spijs,matrett
439,Fleisch::N,vlees,kjøtt
440,Getreide::N,graan,korn
441,Brei::N,pap,grøt
442,Brei::N,brij,grøt
443,Brot::N,brood,brød
444,Scheibe::N,plak,skive
445,Scheibe::N,snede,skive
446,Fett::N,vet,fett
447,Butter::N,boter,smør
448,Öl::N,olie,olje
449,Salz::N,zout,salt
450,Suppe::N,soep,suppe
451,Honig::N,honing,honning
452,Milch::N,melk,melk
453,Tee::N,thee,te
454,Leder::N,leer,lær
455,Leder::N,leer,skinn
456,Leder::N,leder,lær
457,Leder::N,leder,skinn
458,Wolle::N,wol,ull
459,Stoff::N,stof,tøy
460,Stoff::N,stof,stoff
461,Nadel::N,naald,nål
462,Faden::N,draad,tråd
463,Knopf::N,knoop,knapp
464,Knoten::N,knoop,knute
465,Farbe::N,verf,farge
466,Kleidung::N,kledij,påkledning
467,Kleidung::N,kleding,påkledning
468,Hemd::N,hemd,skjorte
469,Kragen::N,kraag,krage
470,Ärmel::N,mouw,erme
471,Hose::N,broek,bukse
472,Hose::N,pantalon,bukse
473,Gürtel::N,riem,belte
474,Gürtel::N,gordel,belte
475,Mütze::N,muts,lue
476,Schuh::N,schoen,sko
477,Stiefel::N,laars,støvel
478,Ring::N,ring,ring
479,Band::N,lint,band
480,Kamm::N,kam,kam
481,Spiegel::N,spiegel,speil
482,Riemen::N,riem,rem
483,Schnur::N,koord,snor
484,Leine::N,lijn,line
485,Decke::N,deken,teppe
486,Kissen::N,kussen,pute
487,Tuch::N,doek,tøy
488,Handtuch::N,handdoek,håndkle
489,Kraft::N,kracht,kraft
490,Stärke::N,sterkte,styrke
491,Gesundheit::N,gezondheid,helse
492,Gesundheit::N,gezondheid,sunnhet
493,Krankheit::N,ziekte,syke
494,Krankheit::N,ziekte,sykdom
495,Schmerz::N,pijn,smerte
496,Wunde::N,wond,sår
497,Fieber::N,koorts,feber
498,Arznei::N,medicament,medisin
499,Arznei::N,medicament,legemiddel
500,Arznei::N,geneesmiddel,medisin
501,Arznei::N,geneesmiddel,legemiddel
502,Brücke::N,brug,bro
503,Brunnen::N,put,brønn
504,Brunnen::N,bron,brønn
505,Weide::N,wei,beite
506,Weide::N,weide,beite
507,Pfad::N,pad,sti
508,Weg::N,weg,vei
509,Straße::N,baan,gate
510,Straße::N,straat,gate
511,Dorf::N,dorp,landsby
512,Stadt::N,stad,by
513,Brief::N,brief,brev
514,Buch::N,boek,bok
515,Buchstabe::N,letter,bokstav
516,Zeitung::N,krant,avis
517,Zeitung::N,dagblad,avis
518,Leben::N,leven,liv
519,Tod::N,dood,død
520,Grab::N,graf,grav
521,Kirche::N,kerk,kirke
522,Sünde::N,zonde,synd
523,Gott::N,god,gud
524,Arbeiter::N,arbeider,arbeider
525,Chef::N,chef,sjef
526,Meister::N,meester,mester
527,Arzt::N,arts,lege
528,Arzt::N,dokter,lege
529,Lehrer::N,leraar,lærer
530,Lehrer::N,onderwijzer,lærer
531,Geld::N,geld,penger
532,Geschäft::N,zaak,forretning
533,Laden::N,winkel,butikk
534,Preis::N,prijs,pris
535,Ware::N,waar,vare
536,Nutzen::N,nut,nytte
537,Nutzen::N,voordeel,nytte
538,Reichtum::N,rijkdom,rikdom
539,Welt::N,wereld,verden
540,Land::N,land,land
541,Staat::N,staat,stat
542,König::N,koning,konge
543,Macht::N,macht,makt
544,Grenze::N,grens,grense
545,Krieg::N,oorlog,krig
546,Feind::N,vijand,fiende
547,Gewalt::N,geweld,vold
548,Kampf::N,strijd,kamp
549,Kampf::N,gevecht,kamp
550,Bogen[Waffe]::N,boog,bue
551,Pfeil::N,pijl,pil
552,Gewehr::N,geweer,gevær
553,Fehler::N,fout,feil
554,Lüge::N,leugen,løgn
555,Schaden::N,schade,skade
556,Unglück::N,tegenspoed,uhell
557,Schuld::N,schuld,skyld
558,Alter::N,leeftijd,alder
559,Schluss::N,slot,slutt
560,Zeit::N,tijd,tid
561,Tag::N,dag,dag
562,Morgen::N,morgen,morgen
563,Morgen::N,ochtend,morgen
564,Mittag::N,middag,middag
565,Abend::N,avond,aften
566,Nacht::N,nacht,natt
567,Woche::N,week,uke
568,Monat::N,maand,måned
569,Jahr::N,jaar,år
570,Frühling::N,lente,vår
571,Frühling::N,voorjaar,vår
572,Sommer::N,zomer,sommer
573,Herbst::N,herfst,høst
574,Winter::N,winter,vinter
575,Januar::N,januari,januar
576,Februar::N,februari,februar
577,März::N,maart,mars
578,April::N,april,april
579,Mai::N,mei,mai
580,Juni::N,juni,juni
581,Juli::N,juli,juli
582,August::N,augustus,august
583,September::N,september,september
584,Oktober::N,oktober,oktober
585,November::N,november,november
586,Dezember::N,december,desember
587,Montag::N,maandag,mandag
588,Dienstag::N,dinsdag,tirsdag
589,Mittwoch::N,woensdag,onsdag
590,Donnerstag::N,donderdag,torsdag
591,Freitag::N,vrijdag,fredag
592,Samstag::N,zaterdag,lørdag
593,Sonntag::N,zondag,søndag
594,groß::A,groot,stor
595,klein::A,klein,liten
596,lang::A,lang,lang
597,kurz::A,kort,kort
598,breit::A,breed,bred
599,schmal::A,smal,smal
600,dicht::A,dicht,tett
601,dick[Gegenstand]::A,dik,tykk
602,dünn::A,dun,tynn
603,fein::A,fijn,fin
604,fest::A,vast,fast
605,flach::A,plat,flat
606,glatt::A,glad,glatt
607,hart::A,hard,hard
608,weich::A,week,myk
609,weich::A,week,bløt
610,rund::A,rond,rund
611,spitz::A,spits,spiss
612,spitz::A,puntig,spiss
613,scharf::A,scherp,kvass
614,stumpf::A,stomp,stubb
615,schwer::A,zwaar,tung
616,schön::A,mooi,pen
617,schön::A,mooi,vakker
618,schön::A,fraai,pen
619,schön::A,fraai,vakker
620,heiß::A,heet,het
621,warm::A,warm,varm
622,kalt::A,koud,kald
623,kühl::A,koel,kjølig
624,frisch::A,fris,fersk
625,feucht::A,vochtig,fuktig
626,nass::A,nat,våt
627,trocken::A,droog,tørr
628,voll::A,vol,full
629,leer::A,leeg,tom
630,offen::A,open,åpen
631,geschlossen::A,gesloten,lukket
632,sauber::A,net,ren
633,sauber::A,schoon,ren
634,schmutzig::A,vuil,skitten
635,roh::A,rauw,rå
636,reif::A,rijp,moden
637,lecker::A,lekker,lekker
638,süß::A,zoet,søt
639,bitter::A,bitter,besk
640,bitter::A,bitter,bitter
641,sauer::A,zuur,sur
642,hell::A,licht,lys
643,hell::A,helder,lys
644,dunkel::A,donker,mørk
645,schwarz::A,zwart,svart
646,weiß::A,wit,hvit
647,rot::A,rood,rød
648,gelb::A,geel,gul
649,blau::A,blauw,blå
650,grün::A,groen,grønn
651,grau::A,grijs,grå
652,bunt::A,bont,broket
653,billig::A,goedkoop,billig
654,teuer::A,duur,dyr
655,wertvoll::A,kostbaar,verdifull
656,wertvoll::A,waardevol,verdifull
657,blind::A,blind,blind
658,taub::A,doof,døv
659,kräftig::A,krachtig,kraftig
660,stark::A,sterk,sterk
661,schwach::A,zwak,svak
662,fett::A,vet,fet
663,schlank::A,slank,slank
664,hübsch::A,leuk,pen
665,böse::A,kwaad,slem
666,dumm::A,dom,dum
667,faul::A,lui,lat
668,faul::A,lui,doven
669,fleißig::A,vlijtig,flittig
670,geizig::A,gierig,gjerrig
671,klug::A,slim,klok
672,klug::A,schrander,klok
673,klug::A,verstandig,klok
674,geschickt::A,handig,hendig
675,geschickt::A,handig,skikket
676,geschickt::A,vaardig,hendig
677,geschickt::A,vaardig,skikket
678,lieb::A,lief,kjær
679,lieb::A,lief,snill
680,lustig::A,vrolijk,morsom
681,sanft::A,zacht,blid
682,hungrig::A,hongerig,sulten
683,krank::A,ziek,syk
684,nackt::A,naakt,naken
685,traurig::A,treurig,sørgmodig
686,traurig::A,bedroefd,sørgmodig
687,lebendig::A,levend,levende
688,gut::A,goed,god
689,schlecht::A,slecht,dårlig
690,richtig::A,juist,riktig
691,schlimm::A,erg,slem
692,schlimm::A,kwaad,slem
693,wahr::A,waar,sann
694,alt::A,oud,gammel
695,neu::A,nieuw,ny
696,ehemalig::A,voormalig,forhenværende
697,alt[Lebewesen]::A,oud,gammel
698,jung::A,jong,ung
699,arm::A,arm,fattig
700,reich::A,rijk,rik
701,bekannt::A,bekend,kjent
702,berühmt::A,beroemd,berømt
703,fremd::A,vreemd,fremmed
704,verschieden::A,verscheiden,forskjellig
705,verschieden::A,verschillend,forskjellig
706,nah::A,nabij,nær
707,nah::A,nabijgelegen,nær
708,fern::A,ver,fjern
709,linker::A,linker,venstre
710,rechter::A,rechter,høyre
711,anderer::A,andere,annen
712,erster::A,eerste,første
713,zweiter::A,tweede,annen
714,dritter::A,derde,tredje
715,letzter::A,laatste,sist
716,allein::ADV,alleen,alene
717,auf einmal::ADV,ineens,med ett
718,auf einmal::ADV,tegelijk,med ett
719,zusammen::ADV,samen,sammen
720,zusammen::ADV,bijeen,sammen
721,lange::ADV,lang,lenge
722,plötzlich::ADV,eensklaps,plutselig
723,plötzlich::ADV,plotsklaps,plutselig
724,sofort::ADV,terstond,straks
725,sofort::ADV,aanstonds,straks
726,sofort::ADV,onmiddelijk,straks
727,später::ADV,later,senere
728,jetzt::ADV,nu,nå
729,jetzt::ADV,nou,nå
730,jetzt::ADV,thans,nå
731,heute::ADV,heden,i dag
732,heute::ADV,vandaag,i dag
733,morgen::ADV,morgen,i morgen
734,bald::ADV,gauw,snart
735,bald::ADV,weldra,snart
736,dann::ADV,dan,så
737,dann::ADV,toen,så
738,gestern::ADV,gisteren,i går
739,einst::ADV,eens,engang
740,damals::ADV,toen,den gang
741,damals::ADV,destijds,den gang
742,danach::ADV,daarna,deretter
743,vorher::ADV,vooraf,før
744,vorher::ADV,vooraf,i forveien
745,vorher::ADV,van tevoren,før
746,vorher::ADV,van tevoren,i forveien
747,zuerst::ADV,eerst,først
748,zuerst::ADV,het eerst,først
749,einmal::ADV,eens,en gang
750,einmal::ADV,eenmaal,en gang
751,manchmal::ADV,soms,somme tider
752,oft::ADV,vaak,ofte
753,oft::ADV,dikwijls,ofte
754,immer::ADV,altijd,alltid
755,niemals::ADV,nooit,aldri
756,hier::ADV,hier,her
757,hierhin::ADV,hierheen,hit
758,von hier::ADV,van hier,herfra
759,von hier::ADV,hiervandaan,herfra
760,dort::ADV,daar,der
761,dort::ADV,ginds,der
762,dorthin::ADV,daarheen,dit
763,geradeaus::ADV,rechtuit,rett fram
764,geradeaus::ADV,rechtdoor,rett fram
765,vorwärts::ADV,vooruit,fram
766,vorwärts::ADV,vooruit,framover
767,vorwärts::ADV,voorwaarts,fram
768,vorwärts::ADV,voorwaarts,framover
769,rückwärts::ADV,achteruit,baklengs
770,rückwärts::ADV,achterwaarts,baklengs
771,zurück::ADV,terug,tilbake
772,unten::ADV,beneden,nede
773,unten::ADV,onderaan,nede
774,hinab::ADV,omlaag,ned
775,hinab::ADV,omlaag,nedover
776,hinab::ADV,naar beneden,ned
777,hinab::ADV,naar beneden,nedover
778,oben::ADV,boven,oppe
779,oben::ADV,boven,ovenpå
780,hinauf::ADV,omhoog,opp
781,hinauf::ADV,omhoog,oppover
782,hinauf::ADV,naar boven,opp
783,hinauf::ADV,naar boven,oppover
784,überall::ADV,alom,overalt
785,überall::ADV,overal,overalt
786,nicht::ADV,niet,ikke
787,ein wenig::ADV,wat,litt
788,kaum::ADV,amper,neppe
789,kaum::ADV,nauwelijks,neppe
790,sehr::ADV,erg,svært
791,sehr::ADV,zeer,svært
792,so::ADV,zo,så
793,noch::ADV,nog,enda
794,nur::ADV,maar,bare
795,nur::ADV,alleen,bare
796,schon::ADV,al,alt
797,schon::ADV,al,allerede
798,schon::ADV,reeds,alt
799,schon::ADV,reeds,allerede
800,wieder::ADV,weer,igjen
801,wieder::ADV,terug,igjen
802,vergebens::ADV,vergeefs,forgjeves
803,vergebens::ADV,tevergeefs,forgjeves
804,vor::PRP,voor,foran
805,vor::PRP,voor,utenfor
806,hinter::PRP,achter,bak
807,hinter::PRP,achter,bakom
808,unter::PRP,onder,under
809,unter::PRP,beneden,under
810,durch::PRP,door,gjennom
811,durch::PRP,door,igjennom
812,neben::PRP,naast,ved siden av
813,zwischen::PRP,tussen,mellom
814,wegen::PRP,wegens,på grunn av
815,wegen::PRP,vanwege,på grunn av
816,dies::PRN,dit,dette
817,das::PRN,dat,det
818,alles::PRN,alles,alt
819,ich::PRN,ik,jeg
820,du::PRN,je,du
821,du::PRN,jij,du
822,er::PRN,hij,han
823,wir::PRN,we,vi
824,wir::PRN,wij,vi
825,ihr::PRN,jullie,dere
826,sie::PRN,ze,de
827,sie::PRN,zij,de
828,was::FPRN,wat,hva
829,wer::FPRN,wie,hvem
830,wo::FADV,waar,hvor
831,wohin::FADV,waarheen,hvor ... hen
832,wie::FADV,hoe,hvordan
833,warum::FADV,waarom,hvorfor
834,wieviel::FNUM,hoeveel,hvor mye
835,eins::NUM,één,en
836,eins::NUM,één,ett
837,zwei::NUM,twee,to
838,drei::NUM,drie,tre
839,vier::NUM,vier,fire
840,fünf::NUM,vijf,fem
841,sechs::NUM,zes,seks
842,sieben::NUM,zeven,sju
843,acht::NUM,acht,åtte
844,neun::NUM,negen,ni
845,zehn::NUM,tien,ti
846,elf::NUM,elf,elleve
847,zwölf::NUM,twaalf,tolv
848,zwanzig::NUM,twintig,tjue
849,dreißig::NUM,dertig,tretti
850,vierzig::NUM,veertig,førti
851,fünfzig::NUM,vijftig,femti
852,sechzig::NUM,zestig,seksti
853,siebzig::NUM,zeventig,sytti
854,achtzig::NUM,tachtig,åtti
855,neunzig::NUM,negentig,nitti
856,hundert::NUM,honderd,hundre
857,tausend::NUM,duizend,tusen
858,und::CNJ,en,og
859,oder::CNJ,of,eller
860,stehen::V,staan,stå
