,Concept_ID,ka,bn
523,Schuld::N,ბრალი,অপরাধ
524,Alter::N,ასაკი,আয়ু
525,Schluss::N,ბოლო,শেষ
526,Schluss::N,დასასრული,শেষ
527,Zeit::N,დრო,সময়
528,Tag::N,დღე,দিন
529,Morgen::N,დილა,সকাল
530,Mittag::N,შუადღე,মধ্যাহু
531,Abend::N,საღამო,সন্ধ্যা
532,Nacht::N,ღამე,রাত্রি
533,Woche::N,კვირა,সপ্তাহ
534,Monat::N,თვე,মাস
535,Jahr::N,წელი,সৌরবর্ষ
536,Frühling::N,გაზაფხული,বসন্তকাল
537,Sommer::N,ზაფხული,গ্রীষ্মকাল
538,Herbst::N,შემოდგომა,শরংঋতু
539,Winter::N,ზამთარი,শীতকাল
540,Januar::N,იანვარი,জানুয়ারী
541,Februar::N,თებერვალი,ফেব্রুয়ারী
542,März::N,მარტი,মার্চ
543,April::N,აპრილი,এপ্রিল
544,Mai::N,მაისი,মে
545,Juni::N,ივნისი,জুন
546,Juli::N,ივლისი,জুলাই
547,August::N,აგვისტო,অগাস্ট
548,September::N,სექტემბერი,সেপ্টেম্বর
549,Oktober::N,ოქტომბერი,অক্টোবর
550,November::N,ნოემბერი,নভেম্বর
551,Dezember::N,დეკემბერი,ডিসেম্বর
552,Montag::N,ორშაბათი,সোমবার
553,Dienstag::N,სამშაბათი,মঙ্গলবার
554,Mittwoch::N,ოთხშაბათი,বুধবার
555,Donnerstag::N,ხუთშაბათი,বৃহম্পতিবার
556,Freitag::N,პარასკევი,শুক্রবার
557,Samstag::N,შაბათი,শনিবার
558,Sonntag::N,კვირა,রবিবার
559,groß::A,დიდი,বৃহৎ
560,klein::A,მცირე,ছোট
561,klein::A,პატარა,ছোট
562,lang::A,გრძელი,দীর্ঘ
563,kurz::A,მოკლე,খর্ব
564,kurz::A,მოკლე,হ্রস্ব
565,breit::A,ფართო,চওড়া
566,breit::A,განიერი,চওড়া
567,schmal::A,ვიწრო,সরু
568,schmal::A,წვრილი,সরু
569,dicht::A,მჭიდრო,ঘন
570,dick[Gegenstand]::A,სქელი,পুরু
571,dünn::A,წვრილი,কৃশ
572,fein::A,თხელი,সূক্ষ্ম
573,fest::A,მყარი,দৃঢ়
574,flach::A,ბრტყელი,সমতল
575,glatt::A,გლუ,মসৃণ
576,hart::A,მაგარი,শক্ত
577,weich::A,რბილი,নরম
578,rund::A,მრგვალი,গোলাকার
579,spitz::A,წვეტიანი,তীক্ষ্ন
580,scharf::A,მჭრელი,শাণিত
581,stumpf::A,ბლაგვი,ভোঁতা
582,schwer::A,მძიმე,ভারী
583,schön::A,ლამაზი,সুন্দর
584,heiß::A,ცხელი,গরম
585,warm::A,თბილი,ঈষদুষ্ণ
586,kalt::A,ცივი,ঠাণ্ডা
587,kühl::A,გრილი,শীতল
588,frisch::A,სუფთა,তাজা
589,feucht::A,ნოტიო,ভিজা
590,nass::A,სველი,ভিজা
591,trocken::A,მშრალი,শুষ্ক
592,voll::A,სავსე,পূর্ণ
593,leer::A,ცარიელი,খালি
594,offen::A,ღია,খোলা
595,offen::A,გაშლილი,খোলা
596,geschlossen::A,დახურული,বন্ধ
597,sauber::A,სუფთა,নির্মল
598,sauber::A,წმინდა,নির্মল
599,schmutzig::A,ტალახიანი,নোংরা
600,roh::A,უმი,কাঁচা
601,reif::A,მწიფე,পাকা
602,lecker::A,გემრიელი,সুস্বাদ
603,süß::A,ტკბილი,মিষ্ট
604,bitter::A,მწარე,তিক্ত
605,sauer::A,მჟავე,টক
606,hell::A,ნათელი,উজ্জ্বল
607,dunkel::A,ბნელი,অন্ধকারময়
608,schwarz::A,შავი,কালো
609,weiß::A,თეთრი,সাদা
610,rot::A,წითელი,লাল
611,gelb::A,ყვითელი,হলদে
612,blau::A,ლურჯი,নীল
613,blau::A,ცისფერი,নীল
614,grün::A,მწვანე,সবুজ
615,grau::A,რუხი,ছাই-রঙা
616,grau::A,ნაცრისფერი,ছাই-রঙা
617,bunt::A,ჭრელი,রঙিন
618,bunt::A,ფერადი,রঙিন
619,billig::A,იაფი,সস্তা
620,teuer::A,ძვირი,আক্রা
621,wertvoll::A,ღირსიანი,মহার্ঘ
622,blind::A,ბრმა,কানা
623,taub::A,ყრუ,বধির
624,kräftig::A,ძალავანი,বিশাল
625,stark::A,ძლიერი,শক্তিশালী
626,stark::A,ღონიერი,শক্তিশালী
627,schwach::A,სუსტი,দুর্বল
628,fett::A,სქელი,মোটা
629,schlank::A,გამხდარი,কৃশ
