,Concept_ID,az,hr
722,voll::A,dolu,pun
723,leer::A,boş,prazan
724,offen::A,açıq,otvoren
725,geschlossen::A,qapalı,zatvoren
726,sauber::A,təmiz,čist
727,schmutzig::A,kirli,nečist
728,schmutzig::A,kirli,blatan
729,roh::A,çiy,sirov
730,reif::A,yetişmiş,zreo
731,lecker::A,dadlı,tečan
732,lecker::A,dadlı,ukusan
733,lecker::A,ləzzətli,tečan
734,lecker::A,ləzzətli,ukusan
735,süß::A,şirin,sladak
736,bitter::A,acı,gorak
737,sauer::A,turş,kiseo
738,hell::A,aydın,vedar
739,hell::A,aydın,svijetao
740,dunkel::A,qaranlıq,taman
741,schwarz::A,qara,crn
742,weiß::A,ağ,bio
743,weiß::A,ağ,bijel
744,rot::A,qırmızı,crven
745,gelb::A,sarı,žut
746,blau::A,göy,plav
747,blau::A,göy,modar
748,blau::A,mavi,plav
749,blau::A,mavi,modar
750,grün::A,yaşıl,zelen
751,grau::A,boz,siv
752,bunt::A,əlvan,šaren
753,bunt::A,rəngli,šaren
754,billig::A,ucuz,jeftin
755,teuer::A,bahalı,skup
756,wertvoll::A,qiymətli,vrijedan
757,wertvoll::A,qiymətli,dragocjen
758,blind::A,kor,slijep
759,taub::A,kar,gluh
760,kräftig::A,güclü,snažan
761,stark::A,qüvvətli,jak
762,stark::A,qüvvətli,snažan
763,schwach::A,zəif,slab
764,schwach::A,gücsüz,slab
765,fett::A,şişman,pretio
766,schlank::A,zərif,vitak
767,hübsch::A,göyçək,zgodan
768,böse::A,fəna,zao
769,böse::A,fəna,opak
770,dumm::A,axmaq,glup
771,faul::A,tənbəl,lijen
772,fleißig::A,çalışqan,radin
773,fleißig::A,çalışqan,marljiv
774,geizig::A,xəsis,škrt
775,klug::A,ağıllı,razborit
776,geschickt::A,bacarıqlı,vješt
777,lieb::A,əziz,drag
778,lieb::A,sevimli,drag
779,lustig::A,məzəli,veseo
780,lustig::A,gülməli,veseo
781,sanft::A,mülayim,blag
782,hungrig::A,ac,gladan
783,krank::A,xəstə,bolestan
784,nackt::A,çılpaq,nag
785,traurig::A,qəmgin,tužan
786,traurig::A,qəmgin,žalostan
787,traurig::A,kədərli,tužan
788,traurig::A,kədərli,žalostan
789,lebendig::A,canlı,živ
790,gut::A,yaxşı,dobar
791,schlecht::A,pis,loš
792,schlecht::A,pis,rđav
793,richtig::A,doğru,tačan
794,richtig::A,doğru,ispravan
795,schlimm::A,fəna,zao
796,schlimm::A,fəna,zločest
797,wahr::A,gərçək,istinit
798,alt::A,əski,star
799,alt::A,köhnə,star
800,neu::A,yeni,nov
801,ehemalig::A,əvvəlki,bivši
802,alt[Lebewesen]::A,qoca,star
803,jung::A,gənc,mlad
804,arm::A,kasıb,ubog
805,arm::A,kasıb,siromašan
806,arm::A,yoxsul,ubog
807,arm::A,yoxsul,siromašan
808,reich::A,zəngin,bogat
809,bekannt::A,tanış,poznat
810,berühmt::A,məşhur,čuven
811,berühmt::A,məşhur,slavan
812,fremd::A,yad,tuđ
813,fremd::A,yad,stran
814,verschieden::A,dürlü,razan
815,verschieden::A,dürlü,različan
816,nah::A,yaxın,blizak
817,fern::A,uzaq,dalek
818,fern::A,uzaq,daljnji
819,linker::A,sol,lijevi
820,rechter::A,sağ,desni
821,anderer::A,başqa,drugi
822,anderer::A,başqa,drugačiji
823,erster::A,birinci,prvi
824,zweiter::A,ikinci,drugi
825,dritter::A,üçüncü,treći
826,letzter::A,sonuncu,zadnji
827,letzter::A,axırıncı,zadnji
828,allein::ADV,tək,sam
829,allein::ADV,yalqız,sam
830,auf einmal::ADV,birdən,istodobno
831,zusammen::ADV,birlikdə,skupa
832,zusammen::ADV,birlikdə,zajedno
833,lange::ADV,uzun,dugo
834,plötzlich::ADV,qəfildən,naglo
835,plötzlich::ADV,qəfildən,iznenada
836,sofort::ADV,həmən,odmah
837,sofort::ADV,dərhal,odmah
838,später::ADV,sonra,kasnije
839,jetzt::ADV,indi,sad
840,jetzt::ADV,indi,sada
841,heute::ADV,bugün,danas
842,morgen::ADV,sabah,sutra
843,bald::ADV,yaxında,skoro
844,bald::ADV,yaxında,doskora
845,bald::ADV,tezliklə,skoro
846,bald::ADV,tezliklə,doskora
847,dann::ADV,onda,zatim
848,gestern::ADV,dünən,juče
849,gestern::ADV,dünən,jučer
850,einst::ADV,əvvəllər,negda
851,einst::ADV,əvvəllər,nekada
852,damals::ADV,o vaxt,tada
853,damals::ADV,o vaxt,onda
854,danach::ADV,sonra,poslije
855,danach::ADV,sonra,nakon toga
856,vorher::ADV,qabaqcadan,prije
857,vorher::ADV,qabaqcadan,prije toga
858,zuerst::ADV,əvvəl,prvo
859,zuerst::ADV,əvvəl,najprije
860,einmal::ADV,bir dəfə,jednom
861,einmal::ADV,bir dəfə,jedanput
862,manchmal::ADV,hərdənbir,katkad
863,manchmal::ADV,hərdənbir,katkada
864,oft::ADV,tez-tez,često
865,oft::ADV,çox vaxt,često
866,immer::ADV,daimi,vazda
867,immer::ADV,daimi,uvijek
868,immer::ADV,həmişə,vazda
869,immer::ADV,həmişə,uvijek
870,niemals::ADV,əsla,nikad
871,niemals::ADV,əsla,nikada
872,niemals::ADV,heç bir zaman,nikad
873,niemals::ADV,heç bir zaman,nikada
874,hier::ADV,bura,tu
875,hier::ADV,bura,ovdje
876,hier::ADV,burada,tu
877,hier::ADV,burada,ovdje
878,hierhin::ADV,buraya,amo
879,hierhin::ADV,buraya,ovamo
880,von hier::ADV,buradan,odavde
881,dort::ADV,ora,ondje
882,dort::ADV,orada,ondje
883,dorthin::ADV,oraya,onamo
884,geradeaus::ADV,düz,ravno
885,vorwärts::ADV,irəli,naprijed
886,rückwärts::ADV,geri,natrag
887,zurück::ADV,geriyə,nazad
888,zurück::ADV,geriyə,natrag
889,unten::ADV,aşağıda,dolje
890,hinab::ADV,aşağı,nizbrdo
891,oben::ADV,yuxarıda,gore
892,hinauf::ADV,yuxarı,uzbrdo
893,überall::ADV,hər yerdə,svuda
894,überall::ADV,hər yerdə,svagdje
895,nicht::ADV,-ma-,ne
896,ein wenig::ADV,bir az,malo
897,kaum::ADV,güclə,tek
898,kaum::ADV,güclə,jedva
899,sehr::ADV,çox,jako
900,sehr::ADV,çox,veoma
901,so::ADV,belə,tako
902,so::ADV,belə,ovako
903,noch::ADV,hələ,još
904,nur::ADV,yalnız,samo
905,schon::ADV,artıq,već
906,wieder::ADV,yenə,opet
907,wieder::ADV,yenə,ponovo
908,vergebens::ADV,boş yerə,uzalud
909,vergebens::ADV,boş yerə,zabadava
910,vor::PRP,önündə,pred
911,vor::PRP,önündə,ispred
912,hinter::PRP,arxasında,za
913,hinter::PRP,arxasında,iza
914,unter::PRP,altında,pod
915,unter::PRP,altında,ispod
916,durch::PRP,içindən,po
917,durch::PRP,içindən,kroz
918,neben::PRP,yanında,kraj
919,neben::PRP,yanında,pored
920,neben::PRP,yanında,pokraj
921,zwischen::PRP,arasında,među
922,zwischen::PRP,arasında,između
923,wegen::PRP,üçün,radi
924,wegen::PRP,üçün,zbog
925,wegen::PRP,ötəri,radi
926,wegen::PRP,ötəri,zbog
927,dies::PRN,bu,ovo
928,das::PRN,o,to
929,das::PRN,o,ono
930,alles::PRN,hər şey,sve
931,ich::PRN,mən,ja
932,du::PRN,sən,ti
933,er::PRN,o,on
934,wir::PRN,biz,mi
935,ihr::PRN,siz,vi
936,sie::PRN,onlar,oni
937,was::FPRN,nə,što
938,wer::FPRN,kim,tko
939,wo::FADV,harada,gdje
940,wohin::FADV,haraya,kuda
941,wohin::FADV,haraya,kamo
942,wie::FADV,necə,kako
943,warum::FADV,niyə,zašto
944,warum::FADV,nə üçün,zašto
945,wieviel::FNUM,neçə,koliko
946,wieviel::FNUM,nə qədər,koliko
947,eins::NUM,bir,jedan
948,zwei::NUM,iki,dva
949,drei::NUM,üç,tri
950,vier::NUM,dörd,četiri
951,fünf::NUM,beş,pet
952,sechs::NUM,altı,šest
953,sieben::NUM,yeddi,sedam
954,acht::NUM,səkkiz,osam
955,neun::NUM,doqquz,devet
956,zehn::NUM,on,deset
957,elf::NUM,on bir,jedanaest
958,zwölf::NUM,on iki,dvanaest
959,zwanzig::NUM,iyirmi,dvadeset
960,dreißig::NUM,otuz,trideset
961,vierzig::NUM,qırx,četrdeset
962,fünfzig::NUM,əlli,pedeset
963,sechzig::NUM,altmış,šezdeset
964,siebzig::NUM,yetmiş,sedamdeset
965,achtzig::NUM,səksən,osamdeset
966,neunzig::NUM,doxsan,devetdeset
967,hundert::NUM,yüz,sto
968,tausend::NUM,min,tisuća
969,und::CNJ,və,i
970,und::CNJ,və,te
971,oder::CNJ,ya,ili
972,stehen::V,durmaq,stajati
973,sitzen::V,oturmaq,sjediti
974,liegen::V,uzanmaq,ležati
975,hängen::V,asılmaq,visiti
976,werden::V,olmaq,postati
977,werden::V,olmaq,činiti se
978,passieren::V,olmaq,desiti se
979,passieren::V,olmaq,dogoditi se
980,passieren::V,baş vermək,desiti se
981,passieren::V,baş vermək,dogoditi se
982,beginnen::V,başlamaq,početi
983,enden::V,bitmək,prestati
984,enden::V,bitmək,svršiti se
985,wechseln::V,dəyişmək,mijenjati se
986,aufgehen[Sonne]::V,doğmaq,izići
987,untergehen[Sonne]::V,batmaq,zaći
988,scheinen[Sonne]::V,parlamaq,sijati
989,donnern::V,guruldamaq,grmjeti
990,wehen::V,əsmək,duhati
991,strömen::V,axmaq,strujati
992,fließen::V,axmaq,teći
993,sich drehen::V,dönmək,obrtati se
994,sich drehen::V,dönmək,vrtjeti se
995,schwanken::V,yellənmək,teturati
996,schwanken::V,yellənmək,kolebati se
997,schwingen::V,yellənmək,njihati
998,schwingen::V,yellənmək,titrati
999,fallen::V,düşmek,padati
1000,brennen::V,yanmaq,gorjeti
1001,rauchen::V,tüstüləmək,dimiti se
