,Concept_ID,is,uk
385,Besen::N,sópur,мітла
386,Spaten::N,spaði,заступ
387,Schaufel::N,skófla,совок
388,Schaufel::N,skófla,лопата
389,Gabel::N,gaffall,виделка
390,Löffel::N,skeið,ложка
391,Messer::N,hnífur,ніж
392,Nagel::N,nögl,цвях
393,Netz::N,net,сіть
394,Haken::N,krókur,крюк
395,Griff::N,tak,ручка
396,Griff::N,tak,держак
397,Schloss::N,lás,замок
398,Bild::N,mynd,картина
399,Figur::N,stytta,фігура
400,Puppe::N,brúða,лялька
401,Beutel::N,poki,мішечок
402,Beutel::N,poki,торбинка
403,Beutel::N,baggi,мішечок
404,Beutel::N,baggi,торбинка
405,Bündel::N,böggull,в’язка
406,Tasche::N,veski,сумка
407,Eimer::N,fata,відро
408,Deckel::N,lok,кришка
409,Geschirr::N,leirtau,посуд
410,Sack::N,sekkur,мішок
411,Tasse::N,bolli,чашка
412,Topf::N,pottur,горщик
413,Kessel::N,ketill,котел
414,Essen::N,matur,їжа
415,Nahrung::N,fæða,харч
416,Speise::N,réttur,страва
417,Speise::N,matarréttur,страва
418,Fleisch::N,kjöt,м’ясо
419,Getreide::N,korn,хліб
420,Getreide::N,korn,збіжжя
421,Brei::N,grautur,каша
422,Brot::N,brauð,хліб
423,Scheibe::N,sneið,скибочка
424,Fett::N,fita,жир
425,Butter::N,smjör,масло
426,Öl::N,olía,олія
427,Salz::N,salt,сіль
428,Suppe::N,súpa,суп
429,Honig::N,hunang,мед
430,Milch::N,mjólk,молоко
431,Tee::N,te,чай
432,Leder::N,skinn,шкіра
433,Wolle::N,ull,шерсть
434,Stoff::N,dúkur,тканина
435,Nadel::N,nál,голка
436,Faden::N,þráður,нитка
437,Knopf::N,tala,ґудзик
438,Knopf::N,hnappur,ґудзик
439,Knoten::N,hnútur,вузол
440,Farbe::N,málning,фарба
441,Kleidung::N,búningur,одяг
442,Kleidung::N,búningur,убрання
443,Kleidung::N,klæðnaður,одяг
444,Kleidung::N,klæðnaður,убрання
445,Hemd::N,skyrta,сорочка
446,Kragen::N,kragi,комір
447,Kragen::N,flibbi,комір
448,Ärmel::N,ermi,рукав
449,Hose::N,buxur,брюки
450,Gürtel::N,belti,пояс
451,Mütze::N,húfa,шапка
