,Concept_ID,lt,la
1145,beißen::V,kandžioti,mordere
1146,abreißen::V,nuplėšti,avellere
1147,abschneiden::V,atpjauti,desecare
1148,abschneiden::V,atkirpti,desecare
1149,binden::V,rišti,ligare
1150,binden::V,surišti,ligare
1151,stecken::V,kišti,inserere
1152,stecken::V,įkišti,inserere
1153,brechen::V,lūžti,rumpere
1154,brechen::V,laužyti,rumpere
1155,klopfen::V,belsti,pultare
1156,klopfen::V,barbenti,pultare
1157,hauen::V,mušti,ferire
1158,kleben::V,lipdyti,agglutinare
1159,kleben::V,klijuoti,agglutinare
1160,reiben::V,trinti,terere
1161,reiben::V,tarkuoti,terere
1162,streichen::V,tepti,oblinere
1163,streichen::V,užtepti,oblinere
1164,schleifen::V,galą́sti,acuere
1165,schneiden::V,pjauti,secare
1166,schneiden::V,kirpti,secare
1167,rütteln::V,purtyti,quassare
1168,schütteln::V,purtyti,quatere
1169,schwenken::V,mojuoti,ventilare
1170,schütten::V,pilti,fundere
1171,schütten::V,berti,fundere
1172,füllen::V,pildyti,complere
1173,füllen::V,pripildyti,complere
1174,einwickeln::V,įvynioti,involvere
1175,einwickeln::V,suvynioti,involvere
1176,tragen::V,nešti,ferre
1177,tragen::V,nešti,portare
1178,tragen::V,nešioti,ferre
1179,tragen::V,nešioti,portare
1180,schleppen::V,vilkti,pertrahere
1181,ziehen::V,tempti,trahere
1182,aufbewahren::V,laikyti,asservare
1183,werfen::V,mesti,iacere
1184,werfen::V,sviesti,iacere
1185,fangen::V,sugauti,capere
1186,packen::V,čiupti,capessere
1187,packen::V,griebti,capessere
1188,verstecken::V,slėpti,abdere
1189,verstecken::V,slapstyti,abdere
1190,teilen::V,dalyti,partiri
1191,teilen::V,dalyti,dividere
1192,teilen::V,padalyti,partiri
1193,teilen::V,padalyti,dividere
1194,schicken::V,sių̃sti,mittere
1195,schicken::V,pasių̃sti,mittere
1196,bringen::V,atnešti,apportare
1197,hinzufügen::V,pridėti,addere
1198,bekommen::V,gauti,adipisci
1199,erhalten::V,gauti,accipere
1200,nehmen::V,paimti,sumere
1201,wählen::V,rinkti,eligere
1202,wählen::V,išsirinkti,eligere
1203,auswählen::V,išrinkti,deligere
1204,bewahren::V,išsaugoti,conservare
1205,behindern::V,trukdyti,impedire
1206,verderben::V,sugadinti,corrumpere
1207,beschädigen::V,žaloti,laedere
1208,beschädigen::V,gadinti,laedere
