,Concept_ID,sq,sv
112,Sumpf::N,batak,träsk
113,Moor::N,kënetë,myr
114,Moor::N,kënetë,mosse
115,Wiese::N,livadh,äng
116,Wald::N,pyll,skog
117,Hügel::N,kodër,höjd
118,Hügel::N,kodër,kulle
119,Anhöhe::N,bregore,höjd
120,Anhöhe::N,bregore,backe
121,Berg::N,mal,berg
122,Berg::N,mal,fjäll
123,Gipfel::N,kulm,topp
124,Höhle::N,shpellë,håla
125,Höhle::N,shpellë,grotta
126,Höhle::N,zgafelle,håla
127,Höhle::N,zgafelle,grotta
128,Abhang::N,shpat,slänt
129,Abhang::N,shpat,sluttning
130,Abhang::N,tatëpjetë,slänt
131,Abhang::N,tatëpjetë,sluttning
132,Quelle::N,krua,källa
133,Quelle::N,burim,källa
134,Bach::N,virua,bäck
135,Fluss::N,lumë,älv
136,Fluss::N,lumë,flod
137,Ufer::N,breg,strand
138,Küste::N,anëdet,kust
139,Küste::N,bregdet,kust
140,Festland::N,kontinent,fastland
141,Meer::N,det,hav
142,Bucht::N,gji deti,vik
143,Bucht::N,gji deti,bukt
144,Insel::N,ishull,ö
145,Insel::N,ujdhesë,ö
146,Blume::N,lule,blomma
147,Blume::N,lule,blomster
148,Gras::N,bar,gräs
149,Wurzel::N,rrënjë,rot
150,Baum::N,pemë,träd
151,Stamm::N,trung,stam
152,Rinde::N,lëvore,bark
153,Ast::N,degë,gren
154,Zweig::N,bisk,kvist
155,Blatt::N,fletë,löv
156,Blatt::N,fletë,blad
157,Blatt::N,gjethe,löv
158,Blatt::N,gjethe,blad
159,Birke::N,mështekën,björk
160,Kiefer[Baum]::N,pishë,tall
161,Weide[Baum]::N,shelg,pil
162,Weide[Baum]::N,shelg,vide
163,Tanne::N,bredh,gran
164,Horn::N,bri,horn
165,Feder::N,pupël,fjäder
166,Fell::N,lëkurë,fäll
167,Fell::N,lëkurë,skinn
168,Flügel::N,krah,vinge
169,Flügel::N,fletë,vinge
170,Klaue::N,kthetër,klöv
171,Kralle::N,thua,klo
172,Kralle::N,kthetër,klo
173,Schwanz::N,bisht,svans
174,Schwanz::N,bisht,stjärt
175,Ei::N,vezë,ägg
176,Nest::N,fole,rede
177,Nest::N,fole,näste
178,Bau::N,strofkë,bo
179,Tier::N,kafshë,djur
180,Herde::N,kope,flock
181,Herde::N,grigjë,flock
182,Kuh::N,lopë,ko
183,Bulle::N,dem,tjur
184,Pferd::N,kalë,häst
185,Schaf::N,dele,får
186,Schwein::N,derr,svin
187,Hund::N,qen,hund
188,Katze::N,mace,katt
189,Bär::N,ari,björn
190,Eichhörnchen::N,ketër,ekorre
191,Elch::N,dre brilopatë,älg
192,Fuchs::N,dhelpër,räv
193,Hase::N,lepur,hare
194,Maus::N,mi,mus
195,Wolf::N,ujk,varg
196,Vogel::N,zog,fågel
197,Vogel::N,shpend,fågel
198,Schwarm::N,luzmë,svärm
199,Huhn::N,pulë,höns
200,Hahn::N,gjel,tupp
201,Hahn::N,këndes,tupp
202,Gans::N,patë,gås
203,Adler::N,shqiponjë,örn
204,Ente::N,rosë,anka
205,Eule::N,buf,uggla
206,Kranich::N,lejlek,trana
207,Kranich::N,kurrillë,trana
208,Krähe::N,sorrë,kråka
209,Kuckuck::N,qyqe,gök
210,Schwan::N,mjellmë,svan
211,Fisch::N,peshk,fisk
212,Barsch::N,purtekë,abborre
213,Hecht::N,mlysh,gädda
214,Schlange[Tier]::N,gjarpër,orm
215,Wurm::N,krimb,mask
216,Spinne::N,marimangë,spindel
217,Ameise::N,thnegël,myra
218,Ameise::N,milingonë,myra
219,Laus::N,morr,lus
220,Mücke::N,kunup,mygga
221,Mücke::N,mushkonjë,mygga
222,Fliege::N,mizë,fluga
223,Schmetterling::N,flutur,fjäril
224,Beere::N,frutë,bär
225,Beere::N,manaferrë,bär
226,Apfel::N,mollë,äpple
227,Pilz::N,kërpudhë,svamp
228,Zwiebel::N,qepë,lök
229,Saat::N,farë,sådd
230,Korn::N,grurë,korn
231,Korn::N,kokërr,korn
232,Heu::N,sanë,hö
233,Schale::N,lëkurë,skal
234,Grube::N,gropë,grop
235,Falle::N,kurth,fälla
236,Falle::N,grackë,fälla
237,Schlinge::N,nyjë,snara
238,Spur::N,gjurmë,spår
239,Asche::N,hi,aska
240,Dreck::N,baltë,lort
241,Eisen::N,hekur,järn
242,Gold::N,ar,guld
243,Gold::N,flori,guld
244,Silber::N,argjend,silver
245,Kohle::N,qymyr,kol
246,Glas::N,qelq,glas
247,Lehm::N,argjilë,lera
248,Sand::N,rërë,sand
249,Mensch::N,njeri,människa
250,Mann::N,burrë,man
251,Mann::N,mashkull,man
252,Frau::N,grua,kvinna
253,Frau::N,femër,kvinna
254,Kind::N,kalama,barn
255,Junge::N,djalë,pojke
256,Mädchen::N,gocë,flicka
257,Mädchen::N,vajzë,flicka
258,Familie::N,familje,familj
259,Großvater::N,gjysh,morfar
260,Großmutter::N,gjyshe,farmor
261,Eltern::N,prindër,föräldrar
262,Vater::N,atë,far
263,Mutter::N,nënë,mor
264,Sohn::N,bir,son
265,Tochter::N,bijë,dotter
266,Bruder::N,vëlla,bror
267,Schwester::N,motër,syster
268,Onkel::N,dajë,morbror
269,Onkel::N,xhaxha,morbror
270,Tante::N,teze,tant
271,Tante::N,hallë,tant
272,Ehemann::N,burrë,äkta man
273,Ehemann::N,bashkëshort,äkta man
274,Ehefrau::N,grua,hustru
275,Ehefrau::N,bashkëshorte,hustru
276,Freude::N,gaz,fröjd
277,Freude::N,gaz,glädje
278,Freude::N,gëzim,fröjd
279,Freude::N,gëzim,glädje
280,Gelächter::N,qeshje,åtlöje
281,Glück::N,lumturi,lycka
282,Kummer::N,brengë,sorg
283,Kummer::N,pikëllim,sorg
284,Wunsch::N,dëshirë,önskan
285,Lust::N,epsh,lust
286,Lust::N,dashuri,lust
287,Geist::N,frymë,ande
288,Geist::N,shpirt,ande
289,Gedanke::N,ide,tanke
290,Gedanke::N,mendim,tanke
291,Gedächtnis::N,kujtesë,minne
292,Verstand::N,mend,förstånd
293,Sinn::N,kuptim,mening
294,Sinn::N,kuptim,betydelse
295,Grund::N,arsye,skäl
296,Grund::N,arsye,grund
297,Wahrheit::N,vërtetë,sanning
298,Gespräch::N,bisedim,samtal
299,Märchen::N,përrallë,saga
300,Erzählung::N,tregim,berättelse
301,Nachricht::N,lajm,meddelande
302,Neuigkeit::N,risi,nyhet
303,Name::N,emër,namn
304,Rätsel::N,gjëzë,gåta
305,Rätsel::N,gjëegjëzë,gåta
306,Rede::N,fjalim,tal
307,Sprache::N,gjuhë,språk
308,Stimme::N,zë,stämma
309,Wort::N,fjalë,ord
310,Zeichen::N,shenjë,tecken
311,Ruf::N,thirrmë,rop
312,Lärm::N,zhurmë,bråk
313,Lärm::N,zhurmë,oväsen
314,Laut::N,tingull,ljud
315,Ton::N,ton,ton
316,Lied::N,këngë,sång
317,Ruhe::N,qetësi,ro
318,Ruhe::N,qetësi,lugn
319,Leute::N,botë,folk
320,Leute::N,njerëz,folk
321,Volk::N,popull,folk
322,Arbeit::N,punë,arbete
323,Gast::N,mik,gäst
324,Gast::N,mysafir,gäst
325,Geschenk::N,dhuratë,gåva
326,Geschenk::N,dhuratë,present
327,Geschenk::N,peshqesh,gåva
328,Geschenk::N,peshqesh,present
329,Spiel::N,lojë,lek
330,Spiel::N,lojë,spel
331,Gesellschaft::N,shoqëri,sällskap
332,Hilfe::N,ndihmë,hjälp
333,Freund::N,mik,vän
334,Kamerad::N,shok,kamrat
335,Angelegenheit::N,punë,ärende
336,Angelegenheit::N,punë,angelägenhet
337,Anzahl::N,sasi,antal
338,Art::N,lloj,art
339,Art::N,lloj,slag
340,Stück::N,copë,stycke
341,Teil::N,pjesë,del
342,Hälfte::N,gjysmë,halva
343,Kreis::N,qark,krets
344,Kreis::N,qark,cirkel
345,Kreis::N,rreth,krets
346,Kreis::N,rreth,cirkel
347,Kreuz::N,kryq,kors
348,Kreuz::N,kryq,kryss
349,Linie::N,vijë,linje
350,Strich::N,vizë,streck
351,Abstand::N,distancë,avstånd
352,Entfernung::N,largim,avstånd
353,Gegend::N,vise,trakt
354,Gegend::N,krahinë,trakt
355,Platz::N,shesh,plats
356,Ort::N,vend,plats
357,Ort::N,vend,ställe
358,Seite::N,anë,sida
359,Mitte::N,mes,mitt
360,Gegenstand::N,send,föremål
361,Sache::N,gjë,sak
362,Sache::N,send,sak
363,Rand::N,qoshe,rand
364,Kante::N,teh,kant
365,Ecke::N,qoshe,vrå
366,Ecke::N,qoshe,hörn
367,Spitze::N,majë,spets
368,Ende::N,skaj,ända
369,Ende::N,bisht,ända
370,Loch::N,vrimë,hål
371,Winkel::N,kënd,vinkel
372,Muster::N,mostër,mönster
373,Größe::N,madhësi,storlek
374,Länge::N,gjatësi,längd
375,Höhe::N,lartësi,höjd
376,Gewicht::N,peshë,tyngd
377,Menge::N,sasi,mängd
378,Haufen::N,grumbull,hög
379,Reihe::N,radhë,rad
380,Reihe::N,rresht,rad
381,Boot::N,barkë,båt
382,Boot::N,lundër,båt
383,Ruder::N,rrem,åra
384,Schlitten::N,sajë,släde
385,Ski::N,ski,skida
386,Lagerfeuer::N,flakadan,lägereld
387,Lagerfeuer::N,zjarr i madh,lägereld
388,Last::N,barrë,last
389,Last::N,barrë,börda
390,Gang::N,ecje,gång
391,Schritt::N,hap,steg
392,Norden::N,veri,norr
393,Süden::N,jug,söder
394,Westen::N,perëndim,väster
395,Osten::N,lindje,öster
396,Holz::N,dru,trä
397,Brett::N,dërrasë,bräda
398,Platte::N,pllakë,platta
399,Stütze::N,shtyllë,stöd
400,Stütze::N,shtyllë,stötta
401,Stütze::N,mbështetesë,stöd
402,Stütze::N,mbështetesë,stötta
403,Stange::N,shufër,stång
404,Stock::N,dajak,käpp
405,Stock::N,dajak,pinne
406,Stab::N,shkop,stav
407,Rohr::N,tub,rör
408,Haus::N,shtëpi,hus
409,Heim::N,konak,hem
410,Heim::N,shtëpi,hem
411,Ofen::N,sobë,ugn
412,Ofen::N,stufë,ugn
413,Fußboden::N,dysheme,golv
414,Tisch::N,tryezë,bord
415,Stuhl::N,karrige,stol
416,Wiege::N,djep,vagga
417,Bett::N,shtrat,säng
418,Regal::N,raft,hylla
419,Kiste::N,kuti,låda
420,Fenster::N,dritare,fönster
421,Tür::N,derë,dörr
422,Tor::N,portë,port
423,Zaun::N,gardh,staket
424,Zaun::N,gardh,stängsel
425,Dach::N,çati,tak
426,Leiter::N,shkallë,stege
427,Besen::N,fshesë,kvast
428,Spaten::N,lopatë,spade
429,Schaufel::N,qyrek,skovel
430,Schaufel::N,qyrek,skyffel
431,Gabel::N,pirun,gaffel
432,Löffel::N,lugë,sked
433,Messer::N,thikë,kniv
434,Nagel::N,gozhdë,spik
435,Netz::N,rrjetë,nät
436,Haken::N,grep,krok
437,Haken::N,grremç,krok
438,Griff::N,dorak,tag
439,Griff::N,dorak,handtag
440,Griff::N,dorezë,tag
441,Griff::N,dorezë,handtag
442,Schloss::N,bravë,las
443,Bild::N,tablo,bild
444,Bild::N,pikturë,bild
445,Figur::N,figurë,figur
446,Puppe::N,kukull,docka
447,Beutel::N,qese,påse
448,Beutel::N,trastë,påse
449,Bündel::N,deng,bunt
450,Bündel::N,deng,knippa
451,Tasche::N,çantë,väska
452,Eimer::N,kovë,hink
453,Eimer::N,kovë,ämbar
454,Deckel::N,kapak,lock
455,Deckel::N,mbulesë,lock
456,Geschirr::N,enë,servis
457,Geschirr::N,enë,porslin
458,Sack::N,thes,säck
459,Sack::N,torbë,säck
460,Tasse::N,filxhan,kopp
461,Topf::N,kusi,gryta
462,Topf::N,kusi,kastrull
463,Topf::N,tenxhere,gryta
464,Topf::N,tenxhere,kastrull
465,Kessel::N,kazan,kittel
466,Essen::N,ngrënie,mål
467,Nahrung::N,ushqim,näring
468,Speise::N,gatesë,maträtt
469,Fleisch::N,mish,kött
470,Getreide::N,drithë,säd
471,Getreide::N,drithë,spannmål
472,Brei::N,qull,gröt
473,Brot::N,bukë,bröd
474,Scheibe::N,fetë,skiva
475,Fett::N,lyrë,fett
476,Fett::N,yndyrë,fett
477,Butter::N,gjalpë,smör
478,Öl::N,vaj,olja
479,Salz::N,kripë,salt
480,Suppe::N,supë,soppa
481,Suppe::N,çorbë,soppa
482,Honig::N,mjaltë,honung
483,Milch::N,qumësht,mjölk
484,Tee::N,çaj,te
485,Leder::N,lëkurë,läder
486,Wolle::N,lesh,ull
487,Wolle::N,lesh,ylle
488,Stoff::N,pëlhurë,tyg
489,Stoff::N,pëlhurë,stoff
490,Nadel::N,gjilpërë,nål
491,Faden::N,pe,tråd
492,Faden::N,fije,tråd
493,Knopf::N,kopsë,knapp
494,Knoten::N,komb,knut
495,Farbe::N,bojë,färg
496,Kleidung::N,veshje,klädsel
497,Hemd::N,këmishë,skjorta
498,Kragen::N,jakë,krage
499,Ärmel::N,mëngë,ärm
500,Hose::N,brekë,byxor
501,Gürtel::N,rrip,bälte
502,Mütze::N,kësulë,mössa
503,Schuh::N,këpucë,sko
504,Stiefel::N,çizme,stövel
505,Ring::N,unazë,ring
506,Band::N,shirit,band
507,Kamm::N,krehër,kam
508,Spiegel::N,pasqyrë,spegel
509,Riemen::N,rrip,rem
510,Schnur::N,litar,snöre
511,Schnur::N,cikomë,snöre
512,Leine::N,rrip,lina
513,Decke::N,batanije,täcke
514,Kissen::N,jastëk,dyna
515,Kissen::N,jastëk,kudde
516,Tuch::N,shami,sjal
517,Handtuch::N,peshqir,handduk
518,Kraft::N,forcë,kraft
519,Stärke::N,koll,styrka
520,Gesundheit::N,shëndet,hälsa
521,Krankheit::N,sëmundje,sjukdom
522,Schmerz::N,dhimbje,smärta
523,Wunde::N,plagë,sår
524,Fieber::N,ethe,feber
525,Arznei::N,ilaç,medicin
526,Arznei::N,ilaç,läkemedel
527,Brücke::N,urë,bro
528,Brunnen::N,pus,brunn
529,Weide::N,kullotë,bete
530,Pfad::N,ravë,stig
531,Pfad::N,shteg,stig
532,Weg::N,udhë,väg
533,Weg::N,shteg,väg
534,Straße::N,rrugë,gata
535,Dorf::N,fshat,by
536,Dorf::N,katund,by
537,Stadt::N,qytet,stad
538,Brief::N,letër,brev
539,Buch::N,libër,bok
540,Buchstabe::N,shkronjë,bokstav
541,Zeitung::N,gazetë,tidning
542,Leben::N,jetë,liv
543,Tod::N,mortje,död
544,Grab::N,varr,grav
545,Kirche::N,kishë,kyrka
546,Sünde::N,mëkat,synd
547,Sünde::N,gjynah,synd
548,Gott::N,hy,gud
549,Gott::N,zot,gud
550,Arbeiter::N,punëtor,arbetare
551,Chef::N,shef,chef
552,Chef::N,drejtues,chef
553,Meister::N,mjeshtër,mästare
554,Arzt::N,mjek,läkare
555,Arzt::N,doktor,läkare
556,Lehrer::N,mësues,lärare
557,Lehrer::N,arsimtar,lärare
558,Geld::N,para,pengar
559,Geld::N,holla,pengar
560,Geschäft::N,ujdi,rörelse
561,Geschäft::N,biznes,rörelse
562,Laden::N,dyqan,affär
563,Preis::N,çmim,pris
564,Ware::N,mall,vara
565,Nutzen::N,dobi,gagn
566,Nutzen::N,dobi,nytta
567,Nutzen::N,leverdi,gagn
568,Nutzen::N,leverdi,nytta
569,Reichtum::N,kamje,rikedom
570,Reichtum::N,pasuri,rikedom
571,Welt::N,botë,värld
572,Land::N,vend,land
573,Staat::N,shtet,stat
574,König::N,mbret,kung
575,König::N,mbret,konung
576,Macht::N,fuqi,makt
577,Macht::N,pushtet,makt
578,Grenze::N,kufi,gräns
579,Krieg::N,luftë,krig
580,Feind::N,armik,fiende
581,Gewalt::N,dhunë,våld
582,Kampf::N,luftim,kamp
583,Kampf::N,luftim,strid
584,Bogen[Waffe]::N,hark,båge
585,Pfeil::N,shigjetë,pil
586,Gewehr::N,pushkë,gevär
587,Fehler::N,gafë,fel
588,Fehler::N,gabim,fel
589,Lüge::N,gënjeshtër,lögn
590,Schaden::N,dëm,skada
591,Schaden::N,zarar,skada
592,Unglück::N,fatkeqësi,otur
593,Unglück::N,fatkeqësi,olycka
594,Schuld::N,faj,skuld
595,Alter::N,moshë,ålder
596,Schluss::N,fund,slut
597,Zeit::N,kohë,tid
598,Tag::N,ditë,dag
599,Morgen::N,mëngjes,morgon
600,Mittag::N,mesditë,middag
601,Abend::N,mbrëmje,kväll
602,Nacht::N,natë,natt
603,Woche::N,javë,vecka
604,Monat::N,muaj,månad
605,Jahr::N,vit,år
606,Frühling::N,pranverë,vår
607,Sommer::N,verë,sommar
608,Herbst::N,vjeshtë,höst
609,Winter::N,dimër,vinter
610,Januar::N,janar,januari
611,Februar::N,shkurt,februari
612,März::N,mars,mars
613,April::N,prill,april
614,Mai::N,maj,maj
615,Juni::N,qershor,juni
616,Juli::N,korrik,juli
617,August::N,gusht,augusti
618,September::N,shtator,september
619,Oktober::N,tetor,oktober
620,November::N,nëntor,november
621,Dezember::N,dhjetor,december
622,Montag::N,hënë,måndag
623,Dienstag::N,martë,tisdag
624,Mittwoch::N,mërkurë,onsdag
625,Donnerstag::N,enjte,torsdag
626,Freitag::N,premte,fredag
627,Samstag::N,shtunë,lördag
628,Sonntag::N,diel,söndag
629,groß::A,madh,stor
630,klein::A,vogël,liten
631,lang::A,gjatë,lång
632,kurz::A,shkurtër,kort
633,breit::A,gjerë,bred
634,schmal::A,ngushtë,smal
635,dicht::A,dendur,tät
636,dick[Gegenstand]::A,trashë,tjock
637,dünn::A,hollë,tunn
638,fein::A,imët,fin
639,fest::A,fortë,fast
640,flach::A,sheshtë,platt
641,glatt::A,rrafshët,glatt
642,hart::A,fortë,hård
643,weich::A,butë,mjuk
644,rund::A,rrumbullakët,rund
645,spitz::A,majëmprehtë,toppig
646,spitz::A,majëmprehtë,spetsig
647,scharf::A,mprehtë,vass
648,scharf::A,mprehtë,skarp
649,stumpf::A,topitur,slö
650,schwer::A,rëndë,tung
651,schön::A,bukur,skön
652,schön::A,bukur,vacker
653,heiß::A,nxehtë,het
654,warm::A,ngrohtë,varm
655,kalt::A,ftohtë,kall
656,kühl::A,freskët,sval
657,kühl::A,freskët,kylig
658,frisch::A,pastër,färsk
659,feucht::A,lagësht,fuktig
660,nass::A,lagur,våt
661,trocken::A,thatë,torr
662,voll::A,plotë,full
663,leer::A,bosh,tom
664,leer::A,zbrazët,tom
665,offen::A,hapur,öppen
666,geschlossen::A,mbyllur,stängd
667,sauber::A,dëlirë,ren
668,schmutzig::A,ndyrë,snuskig
669,roh::A,gjallë,rå
670,reif::A,arrirë,mogen
671,lecker::A,shijshëm,läcker
672,süß::A,ëmbël,söt
673,bitter::A,hidhur,besk
674,bitter::A,hidhur,bitter
675,sauer::A,thartë,sur
676,hell::A,me dritë,ljus
677,dunkel::A,errët,mörk
678,schwarz::A,i zi,svart
679,weiß::A,bardhë,vit
680,rot::A,kuq,röd
681,gelb::A,verdhë,gul
682,blau::A,blu,blå
683,blau::A,kaltër,blå
684,grün::A,blertë,grön
685,grün::A,gjelbër,grön
686,grau::A,hirtë,grå
687,grau::A,bojë hiri,grå
688,bunt::A,shumëngjyrëshëm,brokig
689,billig::A,lirë,billig
690,teuer::A,shtrenjtë,dyr
691,wertvoll::A,çmuar,värdefull
692,wertvoll::A,vlershëm,värdefull
693,blind::A,qorr,blind
694,blind::A,verbër,blind
695,taub::A,shurdhër,döv
696,kräftig::A,fuqishëm,kraftig
697,stark::A,fortë,stark
698,schwach::A,dobët,svag
699,fett::A,dhjamur,fet
700,schlank::A,hollë,slank
701,hübsch::A,bukur,snygg
702,hübsch::A,bukur,vacker
703,hübsch::A,hijshëm,snygg
704,hübsch::A,hijshëm,vacker
705,böse::A,keq,ond
706,böse::A,keq,elak
707,dumm::A,teveqel,dum
708,faul::A,dembel,lat
709,fleißig::A,zellshëm,flitig
710,geizig::A,kurnac,snål
711,geizig::A,kurnac,girig
712,geizig::A,dorështrënguar,snål
713,geizig::A,dorështrënguar,girig
714,klug::A,mençur,klok
715,geschickt::A,aftë,händig
716,geschickt::A,aftë,skicklig
717,lieb::A,dashur,kär
718,lieb::A,dashur,snäll
719,lustig::A,gëzuar,rolig
720,lustig::A,gëzuar,lustig
721,sanft::A,butë,mild
722,hungrig::A,uritur,hungrig
723,krank::A,sëmurë,sjuk
724,nackt::A,lakuriq,naken
725,nackt::A,zhveshur,naken
726,traurig::A,trishtuar,ledsen
727,traurig::A,trishtuar,sorgsen
728,lebendig::A,gjallë,levande
729,gut::A,mirë,bra
730,schlecht::A,keq,dålig
731,richtig::A,drejtë,riktig
732,schlimm::A,keq,illa
733,wahr::A,vërtetë,sann
734,alt::A,vjetër,gammal
735,neu::A,i ri,ny
736,ehemalig::A,dikurshëm,forn
737,ehemalig::A,dikurshëm,tidigare
738,alt[Lebewesen]::A,plak,gammal
739,jung::A,i ri,ung
740,arm::A,varfër,fattig
741,arm::A,vobektë,fattig
742,reich::A,pasur,rik
743,bekannt::A,njohur,känd
744,berühmt::A,famshëm,berömd
745,fremd::A,huaj,främmande
746,verschieden::A,ndryshëm,åtskillig
747,nah::A,afërt,nära
748,fern::A,largët,fjärran
749,linker::A,majtë,vänster
750,rechter::A,djathtë,höger
751,anderer::A,tjetër,annan
752,erster::A,parë,första
753,zweiter::A,dytë,andra
754,dritter::A,i tretë,tredje
755,letzter::A,fundit,sist
756,allein::ADV,vetëm,allena
757,auf einmal::ADV,njëkohësisht,på en gång
758,zusammen::ADV,bashkë,tillsammans
759,zusammen::ADV,së bashku,tillsammans
760,lange::ADV,për një kohë të gjatë,länge
761,plötzlich::ADV,befas,plötsligt
762,sofort::ADV,menjëherë,strax
763,sofort::ADV,menjëherë,genast
764,sofort::ADV,aty për aty,strax
765,sofort::ADV,aty për aty,genast
766,später::ADV,më vonë,senare
767,jetzt::ADV,tash,nu
768,heute::ADV,sot,i dag
769,morgen::ADV,nesër,i morgon
770,bald::ADV,shpejt,snart
771,bald::ADV,së shpejti,snart
772,dann::ADV,pastaj,då
773,gestern::ADV,dje,i går
774,einst::ADV,dikur,en gång
775,damals::ADV,atëherë,då
776,damals::ADV,atëherë,den gången
777,danach::ADV,mandej,därefter
778,vorher::ADV,më parë,före
779,vorher::ADV,më parë,förut
780,zuerst::ADV,së pari,först
781,einmal::ADV,njëherë,en gång
782,manchmal::ADV,nganjëherë,ibland
783,oft::ADV,shpesh,ofta
784,immer::ADV,përherë,alltid
785,immer::ADV,gjithnjë,alltid
786,niemals::ADV,kurrë,aldrig
787,niemals::ADV,asnjëherë,aldrig
788,hier::ADV,këtu,här
789,hierhin::ADV,knej,hit
790,von hier::ADV,që këtej,härifrån
791,von hier::ADV,prej këtej,härifrån
792,dort::ADV,aty,där
793,dort::ADV,atje,där
794,dorthin::ADV,anej,dit
795,geradeaus::ADV,drejt,rätt fram
796,vorwärts::ADV,mbroth,fram
797,vorwärts::ADV,mbroth,framåt
798,vorwärts::ADV,përpara,fram
799,vorwärts::ADV,përpara,framåt
800,rückwärts::ADV,mbrapsht,baklänges
801,zurück::ADV,prapa,tillbaka
802,zurück::ADV,mbrapsht,tillbaka
803,unten::ADV,poshtë,nere
804,unten::ADV,poshtë,nedanför
805,hinab::ADV,përposh,ned
806,hinab::ADV,përposh,nedåt
807,oben::ADV,lart,ovan
808,oben::ADV,lart,ovanpå
809,oben::ADV,sipër,ovan
810,oben::ADV,sipër,ovanpå
811,hinauf::ADV,lart,upp
812,hinauf::ADV,lart,uppåt
813,hinauf::ADV,përpjetë,upp
814,hinauf::ADV,përpjetë,uppåt
815,überall::ADV,kudo,överallt
816,nicht::ADV,s',ej
817,nicht::ADV,s',inte
818,nicht::ADV,nuk,ej
819,nicht::ADV,nuk,inte
820,ein wenig::ADV,një tis,litet
821,kaum::ADV,mezi,knappt
822,kaum::ADV,mezi,knappast
823,sehr::ADV,fort,mycket
824,sehr::ADV,shumë,mycket
825,so::ADV,ashtu,så
826,so::ADV,kështu,så
827,noch::ADV,ende,än
828,noch::ADV,ende,ännu
829,noch::ADV,akoma,än
830,noch::ADV,akoma,ännu
831,nur::ADV,vetëm,bara
