,Concept_ID,no,is
86,Wetter::N,vær,veður
87,Nebel::N,tåke,þoka
88,Wolke::N,sky,ský
89,Regen::N,regn,regn
90,Schnee::N,snø,snjór
91,Eis::N,is,ís
92,Frost::N,frost,frost
93,Kälte::N,kulde,kuldi
94,Hitze::N,hete,hiti
95,Raureif::N,rimfrost,hrím
96,Regenbogen::N,regnbue,regnbogi
97,Donner::N,torden,þruma
98,Strömung::N,strømning,straumur
99,Tropfen::N,dråpe,dropi
100,Schaum::N,skum,froða
101,Schmutz::N,søl,óhreinindi
102,Schmutz::N,skitt,óhreinindi
103,See::N,sjø,stöðuvatn
104,Sumpf::N,sump,fen
105,Sumpf::N,myrlende,fen
106,Moor::N,myr,mýri
107,Moor::N,myrhei,mýri
108,Wiese::N,eng,engi
109,Wald::N,skog,skógur
110,Hügel::N,haug,hæð
111,Hügel::N,haug,hóll
112,Hügel::N,bakke,hæð
113,Hügel::N,bakke,hóll
114,Anhöhe::N,haug,hæð
115,Anhöhe::N,haug,hóll
116,Anhöhe::N,bakke,hæð
117,Anhöhe::N,bakke,hóll
118,Berg::N,berg,fell
119,Berg::N,berg,fjall
120,Berg::N,fjell,fell
121,Berg::N,fjell,fjall
122,Gipfel::N,topp,tindur
123,Höhle::N,hule,hellir
124,Abhang::N,li,hlíð
125,Abhang::N,li,brekka
126,Abhang::N,skråning,hlíð
127,Abhang::N,skråning,brekka
128,Quelle::N,kilde,lind
129,Quelle::N,kilde,uppspretta
130,Bach::N,bekk,lækur
131,Fluss::N,elv,á
132,Fluss::N,elv,fljót
133,Ufer::N,bredd,árbakki
134,Ufer::N,bredd,sjávarbakki
135,Küste::N,kyst,strönd
136,Festland::N,fastland,meginland
137,Meer::N,hav,haf
138,Meer::N,hav,sjór
139,Bucht::N,bukt,vík
140,Insel::N,øy,eyja
141,Blume::N,blomst,blóm
142,Gras::N,gress,gras
143,Wurzel::N,rot,rót
144,Baum::N,tre,tré
145,Stamm::N,stamme,stofn
146,Rinde::N,bark,börkur
147,Ast::N,gren,grein
148,Zweig::N,kvist,angi
149,Zweig::N,kvist,kvistur
150,Blatt::N,blad,blað
151,Birke::N,bjørk,birki
152,Kiefer[Baum]::N,furu,fura
153,Weide[Baum]::N,selje,víðir
154,Weide[Baum]::N,piletre,víðir
155,Tanne::N,gran,greni
156,Horn::N,horn,horn
157,Feder::N,fjær,fjöður
158,Fell::N,skinn,skinn
159,Flügel::N,vinge,vængur
160,Klaue::N,klauv,kló
161,Kralle::N,klo,kló
162,Schwanz::N,hale,rófa
163,Schwanz::N,hale,skott
164,Ei::N,egg,egg
165,Nest::N,rede,hreiður
166,Bau::N,hi,greni
167,Bau::N,hi,bæli
168,Tier::N,dyr,dýr
169,Herde::N,flokk,hjörð
170,Kuh::N,ku,kýr
171,Bulle::N,tyr,boli
172,Pferd::N,hest,hestur
173,Schaf::N,får,kind
174,Schwein::N,gris,svín
175,Hund::N,hund,hundur
176,Katze::N,katt,köttur
177,Bär::N,bjørn,björn
178,Eichhörnchen::N,ekorn,íkorni
179,Elch::N,elg,elgur
180,Fuchs::N,rev,refur
181,Hase::N,hare,héri
182,Maus::N,mus,mús
183,Wolf::N,ulv,úlfur
184,Wolf::N,varg,úlfur
185,Vogel::N,fugl,fugl
186,Schwarm::N,sverm,sægur
187,Huhn::N,høne,hæna
188,Hahn::N,hane,hani
189,Gans::N,gås,gæs
190,Adler::N,ørn,örn
191,Ente::N,and,önd
192,Eule::N,ugle,uggla
193,Kranich::N,trane,trana
194,Krähe::N,kråke,kráka
195,Kuckuck::N,gjøk,gaukur
196,Schwan::N,svane,svanur
197,Fisch::N,fisk,fiskur
198,Barsch::N,abbor,aborri
199,Hecht::N,gjedde,gedda
200,Schlange[Tier]::N,orm,naðra
201,Schlange[Tier]::N,slange,naðra
202,Wurm::N,orm,ormur
203,Wurm::N,mark,ormur
204,Spinne::N,edderkopp,kónguló
205,Ameise::N,maur,maur
206,Laus::N,lus,lús
207,Mücke::N,mygg,mý
208,Mücke::N,mygg,mýfluga
209,Fliege::N,flue,fluga
210,Schmetterling::N,sommerfugl,fiðrildi
211,Beere::N,bær,ber
212,Apfel::N,eple,epli
213,Pilz::N,sopp,sveppur
214,Zwiebel::N,løk,laukur
215,Saat::N,sæd,fræ
216,Saat::N,sæd,útsæði
217,Korn::N,korn,korn
218,Heu::N,høy,hey
219,Schale::N,skall,hýði
220,Grube::N,grop,gryfja
221,Falle::N,felle,gildra
222,Schlinge::N,snare,snara
223,Spur::N,spor,spor
224,Asche::N,aske,aska
225,Dreck::N,møkk,óþverri
226,Dreck::N,skitt,óþverri
227,Eisen::N,jern,járn
228,Gold::N,gull,gull
229,Silber::N,sølv,silfur
230,Kohle::N,kol,kol
231,Kohle::N,kull,kol
232,Glas::N,glass,gler
233,Lehm::N,leire,leir
234,Sand::N,sand,sandur
235,Mensch::N,menneske,maður
236,Mensch::N,menneske,manneskja
237,Mann::N,mann,maður
238,Mann::N,mann,karlmaður
239,Frau::N,kvinne,kona
240,Kind::N,barn,barn
241,Kind::N,barn,krakki
242,Junge::N,gutt,drengur
243,Mädchen::N,pike,stelpa
244,Mädchen::N,jente,stelpa
245,Familie::N,familie,fjölskylda
246,Großvater::N,bestefar,afi
247,Großmutter::N,bestemor,amma
248,Eltern::N,foreldre,foreldrar
249,Vater::N,far,faðir
250,Mutter::N,mor,móðir
251,Sohn::N,sønn,sonur
252,Tochter::N,datter,dóttir
253,Bruder::N,bror,bróðir
254,Schwester::N,søster,systir
255,Onkel::N,onkel,föðurbróðir
256,Tante::N,tante,frænka
257,Tante::N,tante,móðursystir
258,Ehemann::N,ektemann,eiginmaður
259,Ehefrau::N,hustru,eiginkona
260,Freude::N,glede,gleði
261,Gelächter::N,latter,hlátur
262,Glück::N,lykke,gæfa
263,Kummer::N,sorg,sorg
264,Wunsch::N,ønske,ósk
265,Lust::N,lyst,fýsn
266,Lust::N,lyst,löngun
267,Geist::N,ånd,andi
268,Gedanke::N,tanke,hugsun
269,Gedächtnis::N,minne,minni
270,Gedächtnis::N,hukommelse,minni
271,Verstand::N,forstand,vit
272,Sinn::N,mening,merking
273,Sinn::N,betydning,merking
274,Grund::N,grunn,ástæða
275,Wahrheit::N,sannhet,sannleikur
276,Gespräch::N,samtale,samtal
277,Märchen::N,eventyr,ævintýri
278,Erzählung::N,fortelling,saga
279,Nachricht::N,melding,frétt
280,Neuigkeit::N,nyhet,frétt
281,Name::N,navn,nafn
282,Rätsel::N,gåte,gáta
283,Rede::N,tale,ræða
284,Sprache::N,språk,mál
285,Sprache::N,språk,tungumál
286,Stimme::N,stemme,rödd
287,Wort::N,ord,orð
288,Zeichen::N,tegn,tákn
289,Zeichen::N,tegn,merki
290,Ruf::N,rop,kall
291,Lärm::N,bråk,hávaði
292,Laut::N,lyd,hljóð
293,Ton::N,tone,tónn
294,Lied::N,vise,ljóð
295,Lied::N,vise,söngur
296,Ruhe::N,ro,ró
297,Ruhe::N,ro,kyrrð
298,Leute::N,folk,fólk
299,Volk::N,folk,þjóð
300,Arbeit::N,arbeid,vinna
301,Gast::N,gjest,gestur
302,Geschenk::N,gave,gjöf
303,Spiel::N,lek,leikur
304,Spiel::N,spill,leikur
305,Gesellschaft::N,selskap,selskapur
306,Hilfe::N,hjelp,hjálp
307,Freund::N,venn,vinur
308,Kamerad::N,kamerat,félagi
309,Angelegenheit::N,sak,mál
310,Angelegenheit::N,sak,málefni
311,Angelegenheit::N,anliggende,mál
312,Angelegenheit::N,anliggende,málefni
313,Anzahl::N,antall,tala
314,Anzahl::N,antall,fjöldi
315,Art::N,art,tegund
316,Art::N,slag,tegund
317,Stück::N,stykke,biti
318,Stück::N,stykke,stykki
319,Teil::N,del,hluti
320,Teil::N,del,partur
321,Hälfte::N,halvdel,helmingur
322,Kreis::N,ring,hringur
323,Kreis::N,sirkel,hringur
324,Kreuz::N,kors,kross
325,Kreuz::N,kors,krossmark
326,Kreuz::N,kryss,kross
327,Kreuz::N,kryss,krossmark
328,Linie::N,linje,lína
329,Strich::N,strek,strik
330,Abstand::N,avstand,millibil
331,Entfernung::N,avstand,fjarlægð
332,Gegend::N,strøk,hérað
333,Platz::N,plass,pláss
334,Ort::N,sted,staður
335,Seite::N,side,hlið
336,Mitte::N,midte,miðja
337,Gegenstand::N,gjenstand,hlutur
338,Sache::N,sak,mál
339,Rand::N,rand,brún
340,Kante::N,kant,rönd
341,Ecke::N,hjørne,horn
342,Spitze::N,spiss,oddur
343,Ende::N,ende,endi
344,Loch::N,hull,gat
345,Loch::N,hull,hola
346,Winkel::N,vinkel,skot
347,Winkel::N,vinkel,krókur
348,Muster::N,mønster,munstur
349,Größe::N,størrelse,stærð
350,Länge::N,lengde,lengd
351,Höhe::N,høyde,hæð
352,Gewicht::N,vekt,vigt
353,Gewicht::N,vekt,þyngd
354,Menge::N,mengde,magn
355,Haufen::N,haug,hrúga
356,Haufen::N,haug,haugur
357,Haufen::N,bunke,hrúga
358,Haufen::N,bunke,haugur
359,Reihe::N,rekke,röð
360,Boot::N,båt,bátur
361,Ruder::N,åre,ár
362,Schlitten::N,slede,sleði
363,Schlitten::N,kjelke,sleði
364,Ski::N,ski,skíði
365,Lagerfeuer::N,leirbål,varðeldur
366,Last::N,bør,byrði
367,Last::N,bør,farmur
368,Last::N,last,byrði
369,Last::N,last,farmur
370,Gang::N,gang,ganga
371,Schritt::N,steg,skref
372,Schritt::N,skritt,skref
373,Norden::N,nord,norður
374,Süden::N,sør,suður
375,Westen::N,vest,vestur
376,Osten::N,øst,austur
377,Holz::N,tre,viður
378,Brett::N,fjøl,fjöl
379,Brett::N,brett,fjöl
380,Platte::N,plate,flötur
381,Stütze::N,støtte,stoð
382,Stange::N,stang,stöng
383,Stock::N,pinne,prik
384,Stock::N,pinne,stafur
385,Stab::N,stav,prik
386,Stab::N,stav,stafur
387,Stab::N,kjepp,prik
388,Stab::N,kjepp,stafur
389,Rohr::N,rør,rör
390,Rohr::N,rør,pípa
391,Haus::N,hus,hús
392,Heim::N,hjem,heimili
393,Ofen::N,ovn,ofn
394,Fußboden::N,gulv,gólf
395,Tisch::N,bord,borð
396,Stuhl::N,stol,stóll
397,Wiege::N,vogge,vagga
398,Bett::N,seng,rúm
399,Bett::N,seng,hvíla
400,Regal::N,reol,hilla
401,Regal::N,hylle,hilla
402,Kiste::N,kasse,kassi
403,Fenster::N,vindu,gluggi
404,Tür::N,dør,dyr
405,Tür::N,dør,hurð
406,Tor::N,port,hlið
407,Zaun::N,gjerde,girðing
408,Zaun::N,gjerde,limgarður
409,Dach::N,tak,þak
410,Leiter::N,stige,stigi
411,Besen::N,kost,sópur
412,Spaten::N,spade,spaði
413,Schaufel::N,skuffe,skófla
414,Gabel::N,gaffel,gaffall
415,Löffel::N,skje,skeið
416,Messer::N,kniv,hnífur
417,Nagel::N,spiker,nögl
418,Netz::N,nett,net
419,Haken::N,krok,krókur
420,Griff::N,tak,tak
421,Griff::N,håndtak,tak
422,Schloss::N,lås,lás
423,Bild::N,bilde,mynd
424,Figur::N,figur,stytta
425,Puppe::N,dukke,brúða
426,Beutel::N,pose,poki
427,Beutel::N,pose,baggi
428,Bündel::N,bylt,böggull
429,Tasche::N,veske,veski
430,Eimer::N,bøtte,fata
431,Deckel::N,lokk,lok
432,Geschirr::N,kjøkkentøy,leirtau
433,Sack::N,sekk,sekkur
434,Tasse::N,kopp,bolli
435,Topf::N,gryte,pottur
436,Kessel::N,kjele,ketill
437,Essen::N,mål,matur
438,Nahrung::N,mat,fæða
439,Nahrung::N,næring,fæða
440,Speise::N,matrett,réttur
441,Speise::N,matrett,matarréttur
442,Fleisch::N,kjøtt,kjöt
443,Getreide::N,korn,korn
444,Brei::N,grøt,grautur
445,Brot::N,brød,brauð
446,Scheibe::N,skive,sneið
447,Fett::N,fett,fita
448,Butter::N,smør,smjör
449,Öl::N,olje,olía
450,Salz::N,salt,salt
451,Suppe::N,suppe,súpa
452,Honig::N,honning,hunang
453,Milch::N,melk,mjólk
454,Tee::N,te,te
455,Leder::N,lær,skinn
456,Leder::N,skinn,skinn
457,Wolle::N,ull,ull
458,Stoff::N,tøy,dúkur
459,Stoff::N,stoff,dúkur
460,Nadel::N,nål,nál
461,Faden::N,tråd,þráður
462,Knopf::N,knapp,tala
463,Knopf::N,knapp,hnappur
464,Knoten::N,knute,hnútur
465,Farbe::N,farge,málning
466,Kleidung::N,påkledning,búningur
467,Kleidung::N,påkledning,klæðnaður
468,Hemd::N,skjorte,skyrta
469,Kragen::N,krage,kragi
470,Kragen::N,krage,flibbi
471,Ärmel::N,erme,ermi
472,Hose::N,bukse,buxur
473,Gürtel::N,belte,belti
474,Mütze::N,lue,húfa
475,Schuh::N,sko,skór
476,Stiefel::N,støvel,stígvél
477,Ring::N,ring,hringur
478,Band::N,band,band
479,Kamm::N,kam,greiða
480,Spiegel::N,speil,spegill
481,Riemen::N,rem,ól
482,Riemen::N,rem,reim
483,Schnur::N,snor,snúra
484,Leine::N,line,band
485,Decke::N,teppe,teppi
486,Kissen::N,pute,koddi
487,Tuch::N,tøy,klútur
488,Handtuch::N,håndkle,þurrka
489,Handtuch::N,håndkle,handklæði
490,Kraft::N,kraft,afl
491,Kraft::N,kraft,kraftur
492,Stärke::N,styrke,styrkur
493,Gesundheit::N,helse,heilsa
494,Gesundheit::N,helse,heilbrigði
495,Gesundheit::N,sunnhet,heilsa
496,Gesundheit::N,sunnhet,heilbrigði
497,Krankheit::N,syke,sjúkdómur
498,Krankheit::N,sykdom,sjúkdómur
499,Schmerz::N,smerte,sársauki
500,Wunde::N,sår,sár
501,Fieber::N,feber,hitasótt
502,Arznei::N,medisin,lyf
503,Arznei::N,legemiddel,lyf
504,Brücke::N,bro,brú
505,Brunnen::N,brønn,brunnur
506,Weide::N,beite,hagi
507,Pfad::N,sti,stígur
508,Weg::N,vei,vegur
509,Straße::N,gate,gata
510,Straße::N,gate,stræti
511,Dorf::N,landsby,þorp
512,Stadt::N,by,borg
513,Brief::N,brev,bréf
514,Buch::N,bok,bók
515,Buchstabe::N,bokstav,bókstafur
516,Zeitung::N,avis,dagblað
517,Leben::N,liv,líf
518,Tod::N,død,dauði
519,Grab::N,grav,gröf
520,Kirche::N,kirke,kirkja
521,Sünde::N,synd,synd
522,Gott::N,gud,guð
523,Arbeiter::N,arbeider,verkamaður
524,Chef::N,sjef,yfirmaður
525,Meister::N,mester,meistari
526,Arzt::N,lege,læknir
527,Lehrer::N,lærer,kennari
528,Geld::N,penger,peningar
529,Geschäft::N,forretning,viðskipti
530,Laden::N,butikk,búð
531,Laden::N,butikk,verslun
532,Preis::N,pris,verð
533,Ware::N,vare,vara
534,Nutzen::N,nytte,gagn
535,Reichtum::N,rikdom,auður
536,Welt::N,verden,veröld
537,Land::N,land,land
538,Staat::N,stat,ríki
539,König::N,konge,konungur
540,Macht::N,makt,vald
541,Grenze::N,grense,landamæri
542,Krieg::N,krig,stríð
543,Feind::N,fiende,fjandmaður
544,Gewalt::N,vold,ofbeldi
545,Kampf::N,kamp,bardagi
546,Bogen[Waffe]::N,bue,bogi
547,Pfeil::N,pil,ör
548,Gewehr::N,gevær,byssa
549,Fehler::N,feil,villa
550,Lüge::N,løgn,lygi
551,Schaden::N,skade,skemmd
552,Unglück::N,uhell,óhamingja
553,Schuld::N,skyld,sök
554,Alter::N,alder,aldur
555,Schluss::N,slutt,lok
556,Schluss::N,slutt,endir
557,Zeit::N,tid,tími
558,Tag::N,dag,dagur
559,Morgen::N,morgen,morgunn
560,Mittag::N,middag,hádegi
561,Abend::N,aften,kvöld
562,Nacht::N,natt,nótt
563,Woche::N,uke,vika
564,Monat::N,måned,mánuður
565,Jahr::N,år,ár
566,Frühling::N,vår,vor
567,Sommer::N,sommer,sumar
568,Herbst::N,høst,haust
569,Winter::N,vinter,vetur
570,Januar::N,januar,janúar
571,Februar::N,februar,február
572,März::N,mars,mars
573,April::N,april,apríl
574,Mai::N,mai,maí
575,Juni::N,juni,júní
576,Juli::N,juli,júlí
577,August::N,august,ágúst
578,September::N,september,september
579,Oktober::N,oktober,október
580,November::N,november,nóvember
581,Dezember::N,desember,desember
582,Montag::N,mandag,mánudagur
583,Dienstag::N,tirsdag,þriðjudagur
584,Mittwoch::N,onsdag,miðvikudagur
585,Donnerstag::N,torsdag,fimmtudagur
586,Freitag::N,fredag,föstudagur
587,Samstag::N,lørdag,laugardagur
588,Sonntag::N,søndag,sunnudagur
589,groß::A,stor,stór
590,klein::A,liten,lítill
591,lang::A,lang,langur
592,kurz::A,kort,stuttur
593,breit::A,bred,breiður
594,schmal::A,smal,mjór
595,dicht::A,tett,þéttur
596,dick[Gegenstand]::A,tykk,þykkur
597,dünn::A,tynn,þunnur
598,fein::A,fin,fíngerður
599,fest::A,fast,fastur
600,flach::A,flat,flatur
601,glatt::A,glatt,háll
602,glatt::A,glatt,sléttur
603,hart::A,hard,harður
604,weich::A,myk,mjúkur
605,weich::A,bløt,mjúkur
606,rund::A,rund,kringlóttur
607,spitz::A,spiss,oddhvass
608,scharf::A,kvass,beittur
609,stumpf::A,stubb,bitlaus
610,schwer::A,tung,þungur
611,schön::A,pen,fagur
612,schön::A,pen,fallegur
613,schön::A,vakker,fagur
614,schön::A,vakker,fallegur
615,heiß::A,het,heitur
616,warm::A,varm,hlýr
617,warm::A,varm,heitur
618,kalt::A,kald,kaldur
619,kühl::A,kjølig,svalur
620,frisch::A,fersk,frískur
621,feucht::A,fuktig,rakur
622,feucht::A,fuktig,þvalur
623,nass::A,våt,votur
624,nass::A,våt,blautur
625,trocken::A,tørr,þurr
626,voll::A,full,fullur
627,leer::A,tom,tómur
628,offen::A,åpen,opinn
629,geschlossen::A,lukket,lokaður
630,sauber::A,ren,þrifinn
631,schmutzig::A,skitten,óhreinn
632,schmutzig::A,skitten,sóðalegur
633,roh::A,rå,hrár
634,reif::A,moden,þroskaður
635,lecker::A,lekker,ljúffengur
636,süß::A,søt,sætur
637,bitter::A,besk,beiskur
638,bitter::A,bitter,beiskur
639,sauer::A,sur,súr
640,hell::A,lys,bjartur
641,dunkel::A,mørk,dimmur
642,schwarz::A,svart,svartur
643,weiß::A,hvit,hvítur
644,rot::A,rød,rauður
645,gelb::A,gul,gulur
646,blau::A,blå,blár
647,grün::A,grønn,grænn
648,grau::A,grå,grár
649,bunt::A,broket,marglitur
650,billig::A,billig,ódýr
651,teuer::A,dyr,dýr
652,wertvoll::A,verdifull,verðmætur
653,blind::A,blind,blindur
654,taub::A,døv,heyrnarlaus
655,kräftig::A,kraftig,öflugur
656,stark::A,sterk,sterkur
657,schwach::A,svak,veill
658,fett::A,fet,feitur
659,schlank::A,slank,grannur
660,schlank::A,slank,spengilegur
661,hübsch::A,pen,snotur
662,hübsch::A,pen,laglegur
663,böse::A,slem,illur
664,böse::A,slem,vondur
665,dumm::A,dum,heimskur
666,faul::A,lat,latur
667,faul::A,doven,latur
668,fleißig::A,flittig,iðinn
669,geizig::A,gjerrig,nískur
670,klug::A,klok,hygginn
671,geschickt::A,hendig,fimur
672,geschickt::A,hendig,laginn
673,geschickt::A,skikket,fimur
674,geschickt::A,skikket,laginn
675,lieb::A,kjær,kær
676,lieb::A,kjær,ljúfur
677,lieb::A,snill,kær
678,lieb::A,snill,ljúfur
679,lustig::A,morsom,kátur
680,sanft::A,blid,blíður
681,hungrig::A,sulten,soltinn
682,hungrig::A,sulten,hungraður
683,krank::A,syk,sjúkur
684,nackt::A,naken,nakinn
685,traurig::A,sørgmodig,dapur
686,traurig::A,sørgmodig,hryggur
687,lebendig::A,levende,lifandi
688,gut::A,god,góður
689,schlecht::A,dårlig,slæmur
690,schlecht::A,dårlig,lélegur
691,richtig::A,riktig,réttur
692,schlimm::A,slem,slæmur
693,wahr::A,sann,sannur
694,alt::A,gammel,gamall
695,neu::A,ny,nýr
696,ehemalig::A,forhenværende,fyrrverandi
697,alt[Lebewesen]::A,gammel,gamall
698,jung::A,ung,ungur
699,arm::A,fattig,vesall
700,arm::A,fattig,fátækur
701,reich::A,rik,ríkur
702,reich::A,rik,auðugur
703,bekannt::A,kjent,kunnugur
704,berühmt::A,berømt,frægur
705,fremd::A,fremmed,framandi
706,fremd::A,fremmed,ókunnugur
707,verschieden::A,forskjellig,ýmis
708,nah::A,nær,nálægur
709,fern::A,fjern,fjarri
710,fern::A,fjern,fjarlægur
711,linker::A,venstre,vinstri
712,rechter::A,høyre,hægri
713,anderer::A,annen,annar
714,erster::A,første,fyrsti
715,zweiter::A,annen,annar
716,dritter::A,tredje,þriðji
717,letzter::A,sist,síðasti
718,allein::ADV,alene,einn
719,allein::ADV,alene,aleinn
720,auf einmal::ADV,med ett,allt í einu
721,zusammen::ADV,sammen,saman
722,lange::ADV,lenge,lengi
723,plötzlich::ADV,plutselig,skyndilega
724,sofort::ADV,straks,strax
725,sofort::ADV,straks,þegar í stað
726,später::ADV,senere,seinna
727,jetzt::ADV,nå,nú
728,jetzt::ADV,nå,núna
729,heute::ADV,i dag,í dag
730,morgen::ADV,i morgen,á morgun
731,bald::ADV,snart,brátt
732,bald::ADV,snart,bráðum
733,dann::ADV,så,svo
734,dann::ADV,så,síðan
735,gestern::ADV,i går,í gær
736,einst::ADV,engang,forðum
737,damals::ADV,den gang,þá
738,damals::ADV,den gang,á þeim tímum
739,danach::ADV,deretter,á eftir því
740,vorher::ADV,før,áður
741,vorher::ADV,i forveien,áður
742,zuerst::ADV,først,fyrst
743,einmal::ADV,en gang,einu sinni
744,manchmal::ADV,somme tider,stundum
745,oft::ADV,ofte,oft
746,immer::ADV,alltid,alltaf
747,immer::ADV,alltid,sífellt
748,niemals::ADV,aldri,aldrei
749,hier::ADV,her,hér
750,hierhin::ADV,hit,hingað
751,von hier::ADV,herfra,héðan
752,dort::ADV,der,þar
753,dort::ADV,der,þarna
754,dorthin::ADV,dit,þangað
755,geradeaus::ADV,rett fram,beint áfram
756,vorwärts::ADV,fram,áfram
757,vorwärts::ADV,framover,áfram
758,rückwärts::ADV,baklengs,aftur á bak
759,zurück::ADV,tilbake,aftur
760,zurück::ADV,tilbake,til baka
761,unten::ADV,nede,niðri
762,unten::ADV,nede,fyrir neðan
763,hinab::ADV,ned,niður
764,hinab::ADV,ned,niður eftir
765,hinab::ADV,nedover,niður
766,hinab::ADV,nedover,niður eftir
767,oben::ADV,oppe,uppi
768,oben::ADV,ovenpå,uppi
769,hinauf::ADV,opp,upp
770,hinauf::ADV,opp,upp eftir
771,hinauf::ADV,oppover,upp
772,hinauf::ADV,oppover,upp eftir
773,überall::ADV,overalt,alls staðar
774,nicht::ADV,ikke,ekki
775,ein wenig::ADV,litt,dálítið
776,kaum::ADV,neppe,varla
777,kaum::ADV,neppe,tæplega
778,sehr::ADV,svært,mjög
779,so::ADV,så,svo
780,so::ADV,så,þannig
781,noch::ADV,enda,enn
782,noch::ADV,enda,ennþá
783,nur::ADV,bare,bara
784,nur::ADV,bare,aðeins
785,schon::ADV,alt,nú þegar
786,schon::ADV,allerede,nú þegar
787,wieder::ADV,igjen,aftur
788,wieder::ADV,igjen,að nýju
789,vergebens::ADV,forgjeves,árangurslaust
790,vor::PRP,foran,fyrir
791,vor::PRP,utenfor,fyrir
792,hinter::PRP,bak,bak við
793,hinter::PRP,bak,aftur fyrir
794,hinter::PRP,bakom,bak við
795,hinter::PRP,bakom,aftur fyrir
796,unter::PRP,under,undir
797,durch::PRP,gjennom,gegnum
798,durch::PRP,igjennom,gegnum
799,neben::PRP,ved siden av,hjá
800,neben::PRP,ved siden av,við hliðina á
801,zwischen::PRP,mellom,milli
802,zwischen::PRP,mellom,á milli
803,wegen::PRP,på grunn av,vegna
804,dies::PRN,dette,þetta
805,das::PRN,det,það
806,alles::PRN,alt,allt
807,ich::PRN,jeg,ég
808,du::PRN,du,þú
809,er::PRN,han,hann
810,wir::PRN,vi,við
811,ihr::PRN,dere,þið
812,sie::PRN,de,þær
813,sie::PRN,de,þeir
814,was::FPRN,hva,hvað
815,wer::FPRN,hvem,hver
816,wo::FADV,hvor,hvar
817,wohin::FADV,hvor ... hen,hvert
818,wie::FADV,hvordan,hvernig
819,warum::FADV,hvorfor,hvers vegna
820,wieviel::FNUM,hvor mye,hve mikill
821,eins::NUM,en,einn
822,eins::NUM,ett,einn
823,zwei::NUM,to,tveir
824,drei::NUM,tre,þrír
825,vier::NUM,fire,fjórir
826,fünf::NUM,fem,fimm
827,sechs::NUM,seks,sex
828,sieben::NUM,sju,sjö
829,acht::NUM,åtte,átta
830,neun::NUM,ni,níu
831,zehn::NUM,ti,tíu
832,elf::NUM,elleve,ellefu
833,zwölf::NUM,tolv,tólf
834,zwanzig::NUM,tjue,tuttugu
835,dreißig::NUM,tretti,þrjátíu
836,vierzig::NUM,førti,fjörutíu
837,fünfzig::NUM,femti,fimmtíu
838,sechzig::NUM,seksti,sextíu
839,siebzig::NUM,sytti,sjötíu
840,achtzig::NUM,åtti,áttatíu
