,Concept_ID,sah,ku
103,Wald::N,ойуур,çiya
104,Wald::N,ойуур,daristan
105,Hügel::N,булгунньах,gir
106,Anhöhe::N,үрдэл,sere gir
107,Berg::N,хайа,kaş
108,Gipfel::N,чыпчаал,sere gir
109,Höhle::N,хайа_хаспаҕа,şikeft
110,Höhle::N,көҥүс,şikeft
111,Abhang::N,эниэ,kaş
112,Quelle::N,дьүүктэ,kanî
113,Bach::N,үрүйэ,çem
114,Fluss::N,өрүс,çem
115,Fluss::N,өрүс,rûbar
116,Ufer::N,биэрэк,kevî
117,Küste::N,кытыл,berav
118,Festland::N,кураанах сир,bejahî
119,Meer::N,муора,behr
120,Bucht::N,хомо,derav
121,Bucht::N,бухта,derav
122,Insel::N,арыы,girav
123,Blume::N,сибэкки,kulînk
124,Gras::N,от,giha
125,Wurzel::N,силис,reh
126,Baum::N,мас,dar
127,Stamm::N,умнас,bavik
128,Rinde::N,хатырык,qaqil
129,Ast::N,мутук,gulî
130,Zweig::N,лабаа,şax
131,Blatt::N,сэбирдэх,pel
132,Birke::N,хатыҥ,dara sipî
133,Kiefer[Baum]::N,бэс,dara bî
134,Weide[Baum]::N,үөт,dara belalûk
135,Weide[Baum]::N,талах,dara belalûk
136,Tanne::N,харыйа,merx
137,Horn::N,муос,strô
138,Feder::N,куорсун,pîrtîk
139,Fell::N,тирии,heyar
140,Flügel::N,кынат,per
141,Klaue::N,тыҥырах,napîk
142,Kralle::N,баппаҕай,dinik
143,Kralle::N,баппаҕай,dirnax
144,Schwanz::N,кутурук,dûv
145,Ei::N,сымыыт,hêk
146,Nest::N,уйа,hêlîn
147,Bau::N,хороон,avahî
148,Tier::N,кыыл,heywan
149,Tier::N,харамай,heywan
150,Herde::N,үөр,hoz
151,Kuh::N,ынах,çêlek
152,Bulle::N,оҕус,ga
153,Pferd::N,сылгы,hesp
154,Schaf::N,овца,mîh
155,Schwein::N,сибиинньэ,beraz
156,Hund::N,ыт,seh
157,Katze::N,куоска,pişîk
158,Bär::N,эһэ,hirç
159,Eichhörnchen::N,тииҥ,pilûr
160,Elch::N,тайах,pazkovî
161,Fuchs::N,саһыл,rovî
162,Hase::N,куобах,kîroşk
163,Maus::N,кутуйах,mişk
164,Wolf::N,бөрө,gur
165,Vogel::N,көтөр,çûk
166,Schwarm::N,бөлөх,lufik
167,Huhn::N,куурусса,mirîşk
168,Hahn::N,бөтүүк,dîk
169,Gans::N,хаас,qaz
170,Adler::N,хотой,eylo
171,Ente::N,кус,werdek
172,Eule::N,мэкчиргэ,bûm
173,Eule::N,мэкчиргэ,kund
174,Kranich::N,туруйа,quling
175,Krähe::N,тураах,qijik
176,Kuckuck::N,кэҕэ,pepûk
177,Schwan::N,куба,qû
178,Fisch::N,балык,masî
179,Barsch::N,алыһар,okûn
180,Hecht::N,сордон,mesîyê lûf
181,Schlange[Tier]::N,моҕой,mar
182,Schlange[Tier]::N,эриэн үөн,mar
183,Wurm::N,үөн,kurm
184,Spinne::N,ооҕуй,pîrê
185,Ameise::N,кымырдаҕас,mîro
186,Ameise::N,кымырдаҕас,gêrîk
187,Laus::N,быт,spi
188,Mücke::N,кумаар,mêş
189,Fliege::N,сахсырҕа,mêş
190,Schmetterling::N,лыах,perperîk
191,Schmetterling::N,үрүмэччи,perperîk
192,Beere::N,отон,hirç
193,Apfel::N,яблоко,sêv
194,Pilz::N,тэллэй,bîrov
195,Zwiebel::N,луук,pîvaz
196,Saat::N,сиэмэ,tov
197,Korn::N,сиэмэ,dexl
198,Heu::N,от,sap
199,Schale::N,хах,qaşik
200,Grube::N,дьаама,çahl
201,Falle::N,сохсо,dafik
202,Schlinge::N,уктаа,dahf
203,Spur::N,суол,rêç
204,Asche::N,күл,xweli
205,Dreck::N,бадараан,gemarî
206,Eisen::N,тимир,hesing
207,Gold::N,көмүс,zêr
208,Gold::N,кыһыл көмүс,zêr
209,Silber::N,көмүс,zîv
210,Silber::N,үрүҥ көмүс,zîv
211,Kohle::N,чох,komir
212,Glas::N,өстүөкүлэ,qedeh
213,Lehm::N,туой,kelpîç
214,Sand::N,кумах,qûm
215,Mensch::N,киһи,mirov
216,Mann::N,эр,mêr
217,Frau::N,дьахтар,jin
218,Kind::N,оҕо,zarok
219,Junge::N,уол,kur
220,Mädchen::N,кыыс оҕо,keç
221,Mädchen::N,кыыс оҕо,keçik
222,Familie::N,кэргэн,malbat
223,Großvater::N,эһэ,bapîr
224,Großmutter::N,эбэ,pîrik
225,Eltern::N,аҕа-ийэ,bavudê
226,Vater::N,аҕа,bav
227,Mutter::N,ийэ,dê
228,Mutter::N,ийэ,dayik
229,Sohn::N,уол,kur
230,Tochter::N,кыыс,keç
231,Bruder::N,убай,bira
232,Bruder::N,быраат,bira
233,Schwester::N,аҕас,xweh
234,Schwester::N,балыс,xweh
235,Onkel::N,таай,am
236,Onkel::N,таай,xal
237,Onkel::N,абаҕа,am
238,Onkel::N,абаҕа,xal
239,Tante::N,эдьиий,metik
240,Tante::N,эдьиий,xaltîk
241,Ehemann::N,эр,mêr
242,Ehefrau::N,ойох,kulfet
243,Freude::N,үөрүү,kêfxweşî
244,Gelächter::N,күлүү,pîrqînî
245,Glück::N,дьол,bext
246,Glück::N,соргу,bext
247,Kummer::N,кутурҕан,derd
248,Wunsch::N,баҕарыы,daxwaz
249,Wunsch::N,баҕарыы,xwestek
250,Lust::N,баҕа,şewq
251,Geist::N,тыын,aqil
252,Gedanke::N,санаа,fikir
253,Gedächtnis::N,өй,aqil
254,Verstand::N,өй,fêm
255,Sinn::N,суолта,aqil
256,Grund::N,төрүөт,asas
257,Wahrheit::N,кырдьык,rastî
258,Gespräch::N,бэсиэдэ,guftûgo
259,Gespräch::N,кэпсэтии,guftûgo
260,Märchen::N,остуоруйа,çirok
261,Erzählung::N,кэпсээн,çirok
262,Erzählung::N,кэпсээн,vegotin
263,Nachricht::N,биллэриллии,nûçe
264,Neuigkeit::N,сонун,hewal
265,Name::N,аат,nav
266,Name::N,аат,paşnav
267,Rätsel::N,таабырын,tiştonek
268,Rede::N,этии,gotar
269,Rede::N,этии,axavtin
270,Sprache::N,тыл,ziman
271,Stimme::N,куолас,pejn
272,Wort::N,тыл,gotin
273,Zeichen::N,бэлиэ,şanek
274,Ruf::N,ыҥырыы,hawar
275,Lärm::N,айдаан,xarbalix
276,Laut::N,тыас,deng
277,Laut::N,тыас,hês
278,Ton::N,дорҕоон,awaz
279,Lied::N,ырыа,sitran
280,Ruhe::N,уу чуумпу,rihetî
281,Leute::N,дьон,xelk
282,Volk::N,дьон,xelk
283,Volk::N,норуот,xelk
284,Arbeit::N,үлэ,xebat
285,Gast::N,ыалдьыт,mêvan
286,Geschenk::N,бэлэх,diyarî
287,Spiel::N,оонньуу,lîstik
288,Gesellschaft::N,общество,komal
289,Hilfe::N,көмө,alîkarî
290,Freund::N,доҕор,heval
291,Kamerad::N,атас,heval
292,Angelegenheit::N,дьыала,pirsgirêk
293,Anzahl::N,ахсаан,çend
294,Art::N,биис,çeh
295,Stück::N,кырбас,lib
296,Stück::N,кырбас,parçe
297,Teil::N,ирээт,parçe
298,Hälfte::N,аҥар,nîvî
299,Kreis::N,төгүрүк,çemil
300,Kreis::N,төгүрүмтэ,çemil
301,Kreuz::N,кириэс,xaç
302,Linie::N,сурааһын,xezik
303,Strich::N,сурааһын,xezik
304,Abstand::N,арыт,dûrahî
305,Entfernung::N,ыраах,dûrahî
306,Gegend::N,сир,dever
307,Platz::N,арыт,çih
308,Ort::N,сир,dever
309,Seite::N,өрүт,rûpel
310,Seite::N,сирэй,rûpel
311,Mitte::N,орто,nav
312,Mitte::N,орто,nabênê
313,Gegenstand::N,предмет,tişt
314,Sache::N,мал,tişt
315,Rand::N,кытыы,kevî
316,Rand::N,ойоҕос,kevî
317,Kante::N,кырыы,kevî
318,Ecke::N,муннук,qunç
319,Spitze::N,чыпчаал,derzî
320,Ende::N,төбө,talî
321,Loch::N,тэһэҕэс,qul
322,Loch::N,дьөлөҕөс,qul
323,Winkel::N,муннук,kurnîşk
324,Muster::N,оһуор,desen
325,Größe::N,кээмэй,mezinî
326,Länge::N,уста,dirêjahî
327,Höhe::N,үрдүк,bilindayî
328,Gewicht::N,ыйааһын,giranî
329,Menge::N,ахсаан,qas
330,Haufen::N,чөмчөх,lod
331,Reihe::N,кэккэ,rêz
332,Boot::N,оҥочо,kelek
333,Ruder::N,эрдии,bêrik
334,Schlitten::N,сыарҕа,xîjik
335,Ski::N,хайыһар,lakan
336,Lagerfeuer::N,кутаа,agir
337,Last::N,ыарахан,bar
338,Gang::N,хаамыы,fîtêz
339,Schritt::N,хардыы,gav
340,Norden::N,хоту,bakur
341,Süden::N,соҕуруу,başur
342,Westen::N,арҕаа,rojava
343,Osten::N,илин,rojhilat
344,Holz::N,мас,dep
345,Brett::N,дуоска,dep
346,Brett::N,хаптаһын,dep
347,Platte::N,билиитэ,dep
348,Stütze::N,тулааһын,destek
349,Stange::N,ураҕас,sing
350,Stock::N,мас,çam
351,Stock::N,баалкы,çam
352,Stab::N,ураҕас,qat
353,Rohr::N,турба,borî
354,Haus::N,дьиэ,mal
355,Haus::N,дьиэ,xanî
356,Heim::N,дьиэ,mal
357,Ofen::N,оһох,sobe
358,Fußboden::N,муоста,binpê
359,Tisch::N,остуол,mase
360,Stuhl::N,устуул,kursî
361,Wiege::N,биһик,derguş
362,Bett::N,кырабаат,qerewêle
363,Regal::N,долбуур,rêbaz
364,Kiste::N,дьааһык,sindoq
365,Fenster::N,түннүк,çam
366,Fenster::N,түннүк,şibeke
367,Tür::N,аан,derî
368,Tor::N,аан,derge
369,Zaun::N,соппулуот,hejik
370,Dach::N,кырыыса,sere xanî
371,Leiter::N,кирилиэс,pêling
372,Besen::N,миинньик,melkes
373,Spaten::N,күрдьэх,mer
374,Schaufel::N,күрдьэх,bêr
375,Gabel::N,биилкэ,çetel
376,Löffel::N,луоска,kevçî
377,Messer::N,быһах,kêr
378,Nagel::N,тоһоҕо,bizmar
379,Netz::N,илим,tor
380,Haken::N,көхө,çenqel
381,Griff::N,ук,destî
382,Griff::N,тутаах,destî
383,Schloss::N,күлүүс,qonax
384,Bild::N,хартыына,dimen
385,Figur::N,фигура,figûr
386,Puppe::N,куукула,bûk
387,Beutel::N,мөһөөччук,kîsik
388,Bündel::N,баайыы,pêçek
389,Tasche::N,суумка,bêrîk
390,Eimer::N,биэдэрэ,dewl
391,Deckel::N,хаппах,devik
392,Geschirr::N,иһит,ferax
393,Sack::N,куул,tûr
394,Tasse::N,сэлиэнэй,kada
395,Topf::N,көстүрүүҥкэ,beroş
396,Kessel::N,хочуол,şîril
397,Essen::N,аһылык,xwarin
398,Nahrung::N,ас,xwarin
399,Speise::N,аһылык,xwarin
400,Fleisch::N,эт,goşt
401,Getreide::N,злактар,zad
402,Brei::N,хааһы,hewdêl
403,Brot::N,килиэп,
404,Scheibe::N,куһуок,parçe
405,Fett::N,сыа,rûn
406,Butter::N,арыы,rûn
407,Öl::N,арыы,rûn
408,Salz::N,туус,xwe
409,Suppe::N,мин,şorbe
410,Honig::N,мүөт,hingiv
411,Milch::N,үүт,şîr
412,Tee::N,чэй,çay
413,Leder::N,тирии,çerm
414,Wolle::N,түү,herî
415,Stoff::N,таҥас,paç
416,Nadel::N,иннэ,derzî
417,Faden::N,сап,ta
418,Knopf::N,тимэх,bişkok
419,Knoten::N,түмүк,girêk
420,Farbe::N,кырааска,boyax
421,Kleidung::N,таҥас,çil
422,Hemd::N,ырбаахы,qutik
423,Hemd::N,ырбаахы,miltan
424,Kragen::N,саҕа,stûvang
425,Ärmel::N,сиэх,hûçik
426,Hose::N,ыстаан,şewel
427,Hose::N,бүрүүкэ,şewel
428,Gürtel::N,кур,qayiş
429,Mütze::N,бэргэһэ,fîno
430,Schuh::N,бачыыҥка,şêkal
431,Stiefel::N,саппыкы,gizme
432,Stiefel::N,саппыкы,çizme
433,Ring::N,биһилэх,xelek
434,Band::N,лиэнтэ,band
435,Kamm::N,тараах,şeh
436,Spiegel::N,сиэркилэ,eynik
437,Riemen::N,кур,qayiş
438,Schnur::N,быа,doxin
439,Leine::N,тэһиин,şirît
440,Decke::N,суорҕан,bataniye
441,Kissen::N,сыттык,balgî
442,Tuch::N,былаат,şar
443,Handtuch::N,соттор,dezmal
444,Kraft::N,сыра,hêz
445,Kraft::N,сыра,qewet
446,Stärke::N,күүс,xurtî
447,Gesundheit::N,доруобуйа,nojdarî
448,Krankheit::N,ыарыы,nexweşî
449,Schmerz::N,ыарыы,êş
450,Wunde::N,баас,kul
451,Fieber::N,түрүлгэн,ta
452,Fieber::N,лихорадка,ta
453,Fieber::N,температура,ta
454,Arznei::N,эмп,derman
455,Brücke::N,күргэ,kopî
456,Brunnen::N,холуодьас,çal
457,Brunnen::N,холуодьас,kani
458,Weide::N,мэччирэҥ,beyar
459,Pfad::N,ыллык,xaçirek
460,Weg::N,суол,rê
461,Straße::N,суол,rê
462,Dorf::N,дэриэбинэ,gund
463,Stadt::N,куорат,baçar
464,Brief::N,сурук,name
465,Buch::N,кинигэ,kitêb
466,Buch::N,кинигэ,pirtûk
467,Buchstabe::N,буква,herf
468,Zeitung::N,хаһыат,rojname
469,Leben::N,тыын,jiyan
470,Tod::N,өлүү,mirin
471,Grab::N,иин,mezel
472,Kirche::N,таҥара дьиэтэ,gilyas
473,Sünde::N,айыы,guneh
474,Gott::N,тангара,xwedê
475,Arbeiter::N,үлэһит,hîşçî
476,Chef::N,баһылык,bêg
477,Chef::N,начальник,bêg
478,Meister::N,уус,hoste
479,Meister::N,маастар,hoste
480,Arzt::N,врач,doktor
481,Lehrer::N,учуутал,mamoste
482,Geld::N,харчы,pere
483,Geschäft::N,идэ,firoşgeh
484,Laden::N,маҕаһыын,dikan
485,Preis::N,сыана,buha
486,Ware::N,табаар,tişt
487,Nutzen::N,туһа,fêde
488,Reichtum::N,баай,serwet
489,Welt::N,аан дойду,dinya
490,Land::N,дойду,welat
491,Staat::N,государство,dewlet
492,König::N,король,şah
493,König::N,король,qral
494,Macht::N,былаас,qewet
495,Macht::N,былаас,destihilat
496,Grenze::N,кыраныысса,kevî
497,Krieg::N,сэрии,çeng
498,Krieg::N,сэрии,sêwaş
499,Feind::N,өстөөх,dijmin
500,Gewalt::N,күүһүлээһин,zor
501,Kampf::N,охсуһуу,şer
502,Bogen[Waffe]::N,ох,kêvan
503,Pfeil::N,ох,çîrik
504,Gewehr::N,саа,tifing
505,Fehler::N,сыыһа,şaşî
506,Lüge::N,сымыйа,derew
507,Schaden::N,хоромньу,xisar
508,Unglück::N,алдьархай,bêbextî
509,Schuld::N,буруй,suç
510,Alter::N,саас,temen
511,Schluss::N,тиһэх,girtin
512,Zeit::N,бириэмэ,çax
513,Tag::N,күн,roj
514,Morgen::N,сарсыарда,sibeh
515,Mittag::N,күн ортото,nîro
516,Abend::N,киэһэ,êvar
517,Nacht::N,түүн,şev
518,Woche::N,нэдиэлэ,heftî
519,Monat::N,ый,meh
520,Jahr::N,сыл,sal
521,Jahr::N,дьыл,sal
522,Frühling::N,саас,bihar
523,Sommer::N,сайын,havîn
524,Herbst::N,күһүн,payîz
525,Winter::N,кыһын,zistan
526,Januar::N,тохсунньу,çile
527,Februar::N,олунньу,sibat
528,März::N,кулун тутар,adar
529,April::N,муус устар ый,nîsan
530,Mai::N,ыам ыйа,gûlan
531,Juni::N,бэс ыйа,hezîran
532,Juli::N,от ыйа,tîmeh
533,August::N,атырдьах ыйа,tebax
534,September::N,балаҕан ыйа,îlon
535,Oktober::N,алтынньы,çotmeh
536,November::N,сэтинньи,mijdar
537,Dezember::N,ахсынньы,kanûn
538,Montag::N,бэнидиэнньик,duşemb
539,Dienstag::N,оптуорунньук,sêşem
540,Mittwoch::N,сэрэдэ,çarşemb
541,Donnerstag::N,чэппиэр,pêşemb
542,Freitag::N,бээтинсэ,în
543,Samstag::N,субуота,şemî
544,Sonntag::N,баскыһыанньа,yekşemb
545,groß::A,бөдөҥ,mezin
546,groß::A,улахан,mezin
547,klein::A,кыр,çûçik
548,lang::A,уһун,dirêj
549,kurz::A,кылгас,kin
550,breit::A,кэтит,fireh
551,schmal::A,кыараҕас,tenik
552,dicht::A,хойуу,gir
553,dick[Gegenstand]::A,суон,şîşman
554,dick[Gegenstand]::A,хойуу,şîşman
555,dünn::A,чараас,zirav
556,fein::A,бытархай,tenik
557,fein::A,синньигес,tenik
558,fest::A,бөҕө,saxlem
559,fest::A,кытаанах,saxlem
560,flach::A,хаптаҕай,pahn
561,glatt::A,кылааккай,dûz
562,glatt::A,кылааккай,şayîk
563,hart::A,хатан,hişk
564,hart::A,кытаанах,hişk
565,weich::A,сымнаҕас,nerm
566,rund::A,төгүрүк,gilover
567,spitz::A,сытыы,pîj
568,spitz::A,уһуктаах,pîj
569,scharf::A,сытыы,tûj
570,stumpf::A,сыппах,ne tûj
571,schwer::A,ыарахан,giran
572,schön::A,кыраһыабай,xweş
573,schön::A,кыраһыабай,xweşik
574,heiß::A,итии,kelandî
575,warm::A,ичигэс,germ
576,kalt::A,тымныы,sar
577,kühl::A,сөрүүн,jemîrî
578,frisch::A,ыраас,ter
579,frisch::A,сөрүүн,ter
580,frisch::A,тымныы,ter
581,feucht::A,сииктээх,şil
582,nass::A,инчэҕэй,şilek
583,trocken::A,кураан,zuwa
584,voll::A,толору,tijî
585,leer::A,иччитэх,vala
586,offen::A,аһаҕас,vekirî
587,geschlossen::A,бүтэй,asê
588,sauber::A,сэбэр,pakij
589,schmutzig::A,кирдээх,lewitî
590,roh::A,сиикэй,xav
591,reif::A,буспут,gihaştî
592,reif::A,сиппит-хоппут,gihaştî
593,lecker::A,минньигэс,xweş
594,süß::A,минньигэс,şîrîn
595,bitter::A,аһыы,tahl
596,sauer::A,аһыы,tirş
597,hell::A,сырдык,ronî
598,dunkel::A,хараҥа,tarî
599,schwarz::A,хара,reş
600,weiß::A,үрүҥ,sipî
601,weiß::A,маҥан,sipî
602,rot::A,кыһыл,sor
603,gelb::A,саһархай,zer
604,blau::A,күөх,şîn
605,grün::A,күөх,şîn
606,grün::A,от күөҕэ,şîn
607,grau::A,сиэрэй,gewr
608,bunt::A,эриэн,rengîn
609,billig::A,чэпчэки,erzan
610,teuer::A,сыаналаах,biha
611,wertvoll::A,сыаналаах,hêja
612,wertvoll::A,сыаналаах,giranbiha
613,blind::A,хараҕа суох,kor
614,taub::A,дьүлэй,kerr
615,kräftig::A,модун,gir
616,kräftig::A,модун,xurt
617,stark::A,күүстээх,xurt
618,schwach::A,мөлтөх,kesad
619,fett::A,эмис,qelew
620,schlank::A,дьылҕан,zirav
621,schlank::A,дьыпсаҕай,zirav
622,hübsch::A,олус кэрэ,xweşik
623,hübsch::A,көрүөхтэн үчүгэй,xweşik
624,böse::A,өһүөннээх,xerab
625,böse::A,өһүөннээх,aciz
626,dumm::A,акаары,gêj
627,faul::A,нэс,têmbêl
628,fleißig::A,кыһамньылаах,jêhatî
629,geizig::A,иҥсэлээх,destgirtî
630,klug::A,өйдөөх,baqil
631,geschickt::A,наһаа дьоҕурдаах,zîrek
632,geschickt::A,наһаа дьоҕурдаах,ziring
633,lieb::A,тапталлаах,delal
634,lustig::A,көрдөөх,kêfxweş
635,sanft::A,намчы,nazenîn
636,sanft::A,сымнаҕас,nazenîn
637,hungrig::A,аччык,birçî
638,krank::A,ыалдьар,nexweş
639,nackt::A,сыгынньах,rût
640,nackt::A,сыгынньах,tazî
641,traurig::A,санаарҕабыллаах,xemgîn
642,lebendig::A,тыыннаах,bisaxî
643,gut::A,үтүө,baş
644,gut::A,үчүгэй,baş
645,schlecht::A,куһаҕан,xerab
646,richtig::A,сөп,rast
647,richtig::A,сөп,saxlem
648,schlimm::A,сидьиҥ,nebaş
649,schlimm::A,быдьар,nebaş
650,wahr::A,кырдьык,rast
651,alt::A,былыргы,pîr
652,alt::A,былыргы,kevn
653,neu::A,саҥа,nû
654,ehemalig::A,урукку,kevnar
655,ehemalig::A,урукку,peşidar
656,alt[Lebewesen]::A,кырдьаҕас,pîr
657,jung::A,эдэр,xort
658,arm::A,дьадаҥы,feqîr
659,arm::A,дьадаҥы,desteng
660,reich::A,баай,dewlemend
661,bekannt::A,билэр,naskirî
662,berühmt::A,аатырбыт,navdar
663,fremd::A,атын,xerîb
664,verschieden::A,араас,çîhê
665,nah::A,чугас,nêzîk
666,fern::A,ыраах,dûr
667,linker::A,хаҥас,çepê
668,rechter::A,уҥа,rastê
669,anderer::A,атын,yê din
670,erster::A,маҥнайгы,yekemîn
671,zweiter::A,иккис,duda
672,dritter::A,үһүс,sisêya
673,letzter::A,тиһэх,paşîn
674,allein::ADV,соҕотох,tenê
675,auf einmal::ADV,биирдэ,jar kê
676,zusammen::ADV,холбуу,tev
677,zusammen::ADV,холбуу,bi hev re
678,lange::ADV,уһуннук,dirêj
679,plötzlich::ADV,эмискэ,ji nişkave
680,sofort::ADV,тута,yekser
681,später::ADV,хойут,paşiyê
682,jetzt::ADV,билигин,nuha
683,heute::ADV,бүгүн,îro
684,morgen::ADV,сарсын,sibeh
685,bald::ADV,өтөр,nêzîk
686,dann::ADV,кэнна,paşê
687,gestern::ADV,бэҕэһээ,do
688,einst::ADV,биир төгүл,jar ke
689,einst::ADV,арай биирдэ,jar ke
690,damals::ADV,оччоҕо,hîngî
691,danach::ADV,аары,piştra
692,danach::ADV,ол кэнниттэн,piştra
693,vorher::ADV,урут,pîşî
694,zuerst::ADV,маҥнай,bere
695,einmal::ADV,биирдэ,çarik
696,manchmal::ADV,арыт,çarna
697,oft::ADV,чаастатык,gelek çaran
698,immer::ADV,мэлдьи,daîm
699,niemals::ADV,хаһан да,tu çar
700,hier::ADV,маныаха,li vir
701,hierhin::ADV,бэттэх,vir
702,von hier::ADV,мантан,ji vir
703,dort::ADV,онно,li wê derê
704,dorthin::ADV,онно,wêda
705,geradeaus::ADV,быһа,rastê rast
706,geradeaus::ADV,быһаччы,rastê rast
707,vorwärts::ADV,инники,ber bi pêş
708,rückwärts::ADV,төттөру,paşpê
709,zurück::ADV,төттөрү,paşdo
710,zurück::ADV,төттөрү,paşvê
711,unten::ADV,аллара,jêrî
712,hinab::ADV,аллара,berjêr
713,oben::ADV,үөһэ,banî
714,hinauf::ADV,өрө,banî
715,hinauf::ADV,үөһэ,banî
716,überall::ADV,бэйдиэ,li her derê
717,nicht::ADV,буолбатах,ne
718,nicht::ADV,буолбатах,nîn
719,nicht::ADV,буолбатах,tine
720,ein wenig::ADV,кыратык,hebkî
721,kaum::ADV,нэһиилэ,tema
722,kaum::ADV,нэһиилэ,himangi
723,sehr::ADV,бэрт,gelek
724,sehr::ADV,наһаа,gelek
725,so::ADV,оччо,weha
726,so::ADV,оннук,weha
727,noch::ADV,өссө,hêj
728,noch::ADV,өссө,dîsa
729,nur::ADV,эрэ,tenê
730,nur::ADV,эрэ,bes
731,nur::ADV,сыччах,tenê
732,nur::ADV,сыччах,bes
733,schon::ADV,бэлиэр,hew
734,wieder::ADV,эмиэ,jar din
735,wieder::ADV,эмиэ,dîsa
736,vergebens::ADV,таак,deya çun
737,vergebens::ADV,таак,îfleh bûn
738,vor::PRP,иннигэр,li ber
739,hinter::PRP,кэлин,li pişt
740,unter::PRP,-ҕа,li bin
741,unter::PRP,оһох түгэҕэ,li bin
742,durch::PRP,курдары,kura
743,neben::PRP,аттыгар,li ba
744,zwischen::PRP,ыккардынан,nabeyne
745,zwischen::PRP,ыккардынан,di nav...da
746,wegen::PRP,уҥуортан,ji bo
747,wegen::PRP,уҥуортан,ji ber
748,dies::PRN,ити,ev
749,dies::PRN,бу,ev
750,das::PRN,били,ev
751,alles::PRN,барыта,hemû
752,ich::PRN,мин,ez
753,du::PRN,эн,tu
754,er::PRN,кнни,wî
755,wir::PRN,биһиги,êm
756,ihr::PRN,эһиги,hûn
757,sie::PRN,кинилэр,we
758,was::FPRN,туох,çi
759,wer::FPRN,ким,ki
760,wo::FADV,ханна,li ku dere
761,wohin::FADV,ханна,li ku dere
762,wie::FADV,хайдах,çawa
763,warum::FADV,тоҕо,çima
764,wieviel::FNUM,төһө,çend
765,eins::NUM,биир,yek
