,Concept_ID,cv,sah
126,Blume::N,чечек,сибэкки
127,Gras::N,курӑк,от
128,Wurzel::N,тымар,силис
129,Baum::N,йывӑҫ,мас
130,Stamm::N,вулӑ,умнас
131,Rinde::N,хуйӑр,хатырык
132,Ast::N,турат,мутук
133,Zweig::N,турат,лабаа
134,Blatt::N,ҫулҫӑ,сэбирдэх
135,Birke::N,хурӑн,хатыҥ
136,Kiefer[Baum]::N,хыр,бэс
137,Weide[Baum]::N,хӑва,үөт
138,Weide[Baum]::N,хӑва,талах
139,Tanne::N,чӑрӑш,харыйа
140,Horn::N,мӑйрака,муос
141,Feder::N,тӗк,куорсун
142,Fell::N,ҫӑм,тирии
143,Flügel::N,ҫунат,кынат
144,Klaue::N,чӗрне,тыҥырах
145,Kralle::N,ура,баппаҕай
146,Schwanz::N,хӳре,кутурук
147,Ei::N,ҫӑмарта,сымыыт
148,Nest::N,йӑва,уйа
149,Bau::N,йӗнӗ,хороон
150,Tier::N,выльӑх,кыыл
151,Tier::N,выльӑх,харамай
152,Herde::N,кӗтӳ,үөр
153,Kuh::N,ӗне,ынах
154,Bulle::N,вӑкӑр,оҕус
155,Pferd::N,лаша,сылгы
156,Schaf::N,сурӑх,овца
157,Schwein::N,сысна,сибиинньэ
158,Hund::N,йытӑ,ыт
159,Katze::N,кушак,куоска
160,Bär::N,упа,эһэ
161,Eichhörnchen::N,пакша,тииҥ
162,Elch::N,пӑши,тайах
163,Fuchs::N,тилӗ,саһыл
164,Hase::N,куян,куобах
165,Hase::N,мулкач,куобах
166,Maus::N,шӑши,кутуйах
167,Wolf::N,кашкӑр,бөрө
168,Vogel::N,кайӑк,көтөр
169,Vogel::N,вӗҫен кайӑк,көтөр
170,Schwarm::N,ушкӑн,бөлөх
171,Huhn::N,чӑх,куурусса
172,Huhn::N,чӑхӑ,куурусса
173,Hahn::N,автан,бөтүүк
174,Gans::N,хур,хаас
175,Adler::N,ӑмӑрт кайӑк,хотой
176,Ente::N,кӑвакал,кус
177,Eule::N,тӑмана,мэкчиргэ
178,Kranich::N,тӑрна,туруйа
179,Krähe::N,ула курак,тураах
180,Kuckuck::N,куккук,кэҕэ
181,Schwan::N,акӑш,куба
182,Fisch::N,пулӑ,балык
183,Barsch::N,уланкӑ,алыһар
184,Hecht::N,ҫӑрттан,сордон
185,Schlange[Tier]::N,ҫӗлен,моҕой
186,Schlange[Tier]::N,ҫӗлен,эриэн үөн
187,Wurm::N,ӑман,үөн
188,Spinne::N,эрешмен,ооҕуй
189,Ameise::N,кӑткӑ,кымырдаҕас
190,Laus::N,пыйтӑ,быт
191,Mücke::N,вӑрӑм туна,кумаар
192,Fliege::N,шӑна,сахсырҕа
193,Schmetterling::N,лӗпӗш,лыах
194,Schmetterling::N,лӗпӗш,үрүмэччи
195,Beere::N,ҫырла,отон
196,Apfel::N,улма,яблоко
197,Apfel::N,пан улми,яблоко
198,Pilz::N,кӑмпа,тэллэй
199,Zwiebel::N,сухан,луук
200,Saat::N,вӑрӑ,сиэмэ
201,Korn::N,тӗшӗ,сиэмэ
202,Korn::N,пӗрчӗ,сиэмэ
203,Heu::N,утӑ,от
204,Schale::N,хупӑ,хах
205,Grube::N,шӑтӑк,дьаама
206,Falle::N,тапӑ,сохсо
207,Falle::N,капкӑн,сохсо
208,Schlinge::N,йӑлӑ,уктаа
209,Spur::N,йӗр,суол
210,Asche::N,кӗл,күл
211,Dreck::N,пылчӑк,бадараан
212,Eisen::N,тимӗр,тимир
213,Gold::N,ылтӑн,көмүс
214,Gold::N,ылтӑн,кыһыл көмүс
215,Silber::N,кӗмӗл,көмүс
216,Silber::N,кӗмӗл,үрүҥ көмүс
217,Kohle::N,кӑмрӑк,чох
218,Glas::N,кӗленче,өстүөкүлэ
219,Lehm::N,тӑм,туой
220,Sand::N,хӑйӑр,кумах
221,Mensch::N,ҫын,киһи
222,Mensch::N,этем,киһи
223,Mann::N,ар,эр
224,Frau::N,хӗрарӑм,дьахтар
225,Kind::N,ача,оҕо
226,Junge::N,ача,уол
227,Junge::N,ар ҫын ача,уол
228,Mädchen::N,хӗр ача,кыыс оҕо
229,Familie::N,ҫемье,кэргэн
230,Familie::N,кил-йыш,кэргэн
231,Großvater::N,кукаҫи,эһэ
232,Großmutter::N,кукамай,эбэ
233,Eltern::N,аҫа-ама,аҕа-ийэ
234,Vater::N,атте,аҕа
235,Mutter::N,анне,ийэ
236,Sohn::N,ывӑл,уол
237,Tochter::N,хӗр,кыыс
238,Bruder::N,ар тӑван,убай
239,Bruder::N,ар тӑван,быраат
240,Schwester::N,аппа,аҕас
241,Schwester::N,аппа,балыс
242,Schwester::N,йӑмӑк,аҕас
243,Schwester::N,йӑмӑк,балыс
244,Onkel::N,мучи,таай
245,Onkel::N,мучи,абаҕа
246,Onkel::N,пичче,таай
247,Onkel::N,пичче,абаҕа
248,Tante::N,аппа,эдьиий
249,Ehemann::N,упӑшка,эр
250,Ehefrau::N,арӑм,ойох
251,Freude::N,савӑнӑҫ,үөрүү
252,Freude::N,хаваслӑх,үөрүү
253,Gelächter::N,кулӑ,күлүү
254,Glück::N,телей,дьол
255,Glück::N,телей,соргу
256,Glück::N,ӑраскал,дьол
257,Glück::N,ӑраскал,соргу
258,Kummer::N,хурлӑх,кутурҕан
259,Wunsch::N,ӗмӗт,баҕарыы
260,Wunsch::N,кӑмӑл,баҕарыы
261,Lust::N,кӑмӑл,баҕа
262,Geist::N,чун-чӗм,тыын
263,Geist::N,ыр-усал,тыын
264,Geist::N,чун хавалӗ,тыын
265,Gedanke::N,шухӑш,санаа
266,Gedächtnis::N,ас,өй
267,Verstand::N,ӑс,өй
268,Verstand::N,ӑс-тӑн,өй
269,Verstand::N,ӑс-хакӑл,өй
270,Sinn::N,тупсӑм,суолта
271,Sinn::N,пӗлтерӗш,суолта
272,Grund::N,сӑлтав,төрүөт
273,Wahrheit::N,чӑнлӑх,кырдьык
274,Gespräch::N,калаҫу,бэсиэдэ
275,Gespräch::N,калаҫу,кэпсэтии
276,Märchen::N,юмах,остуоруйа
277,Erzählung::N,акалав,кэпсээн
278,Erzählung::N,каласа пани,кэпсээн
279,Nachricht::N,хыпар,биллэриллии
280,Neuigkeit::N,ҫӗнӗ хыпар,сонун
281,Name::N,ят,аат
282,Rätsel::N,сутмалли юмах,таабырын
283,Rede::N,сӑмах,этии
284,Sprache::N,чӗлхе,тыл
285,Stimme::N,сасӑ,куолас
286,Wort::N,сӑмах,тыл
287,Zeichen::N,паллӑ,бэлиэ
288,Ruf::N,йыхрав,ыҥырыы
289,Ruf::N,чӗнӳ,ыҥырыы
290,Lärm::N,шав,айдаан
291,Laut::N,сасӑ,тыас
292,Ton::N,сасӑ,дорҕоон
293,Lied::N,юрӑ,ырыа
294,Ruhe::N,канӑҫлӑх,уу чуумпу
295,Ruhe::N,лӑпкӑлӑх,уу чуумпу
296,Leute::N,ҫамрӑксем,дьон
297,Leute::N,ҫамрӑк ҫынсем,дьон
298,Volk::N,халӑх,дьон
299,Volk::N,халӑх,норуот
300,Arbeit::N,ӗҫхӗл,үлэ
301,Arbeit::N,ӗҫлев,үлэ
302,Gast::N,хӑна,ыалдьыт
303,Geschenk::N,парне,бэлэх
304,Geschenk::N,кучченеҫ,бэлэх
305,Spiel::N,вӑйӑ,оонньуу
306,Gesellschaft::N,общество,общество
307,Hilfe::N,пулӑшу,көмө
308,Freund::N,тус,доҕор
309,Kamerad::N,юлташ,атас
310,Kamerad::N,тус,атас
311,Angelegenheit::N,ӗҫ,дьыала
312,Anzahl::N,йыш,ахсаан
313,Anzahl::N,хисеп,ахсаан
314,Art::N,тӗс,биис
315,Stück::N,татӑк,кырбас
316,Teil::N,пай,ирээт
317,Hälfte::N,ҫурӑ,аҥар
318,Kreis::N,ункӑ,төгүрүк
319,Kreis::N,ункӑ,төгүрүмтэ
320,Kreis::N,ҫавракӑш,төгүрүк
321,Kreis::N,ҫавракӑш,төгүрүмтэ
322,Kreuz::N,хӗрес,кириэс
323,Linie::N,йӗр,сурааһын
324,Strich::N,йӗр,сурааһын
325,Abstand::N,хушӑ,арыт
326,Entfernung::N,хушӑ,ыраах
327,Gegend::N,вырӑн,сир
328,Platz::N,хутлӑх,арыт
329,Ort::N,вырӑн,сир
330,Seite::N,ен,өрүт
331,Seite::N,ен,сирэй
332,Seite::N,аяк,өрүт
333,Seite::N,аяк,сирэй
334,Seite::N,айӑк,өрүт
335,Seite::N,айӑк,сирэй
336,Mitte::N,варӑ,орто
337,Gegenstand::N,япала,предмет
338,Sache::N,япала,мал
339,Rand::N,вӗҫ,кытыы
340,Rand::N,вӗҫ,ойоҕос
341,Rand::N,хӗрӗ,кытыы
342,Rand::N,хӗрӗ,ойоҕос
343,Rand::N,хӗрри,кытыы
344,Rand::N,хӗрри,ойоҕос
345,Kante::N,хайкача,кырыы
346,Kante::N,хысак,кырыы
347,Ecke::N,кӗтес,муннук
348,Spitze::N,вӗҫ,чыпчаал
349,Ende::N,вӗҫ,төбө
350,Loch::N,шӑтӑк,тэһэҕэс
351,Loch::N,шӑтӑк,дьөлөҕөс
352,Winkel::N,кӗтес,муннук
353,Muster::N,эреш,оһуор
354,Größe::N,пысӑкӑш,кээмэй
355,Länge::N,вӑрӑмӑш,уста
356,Höhe::N,ҫӳллӗш,үрдүк
357,Gewicht::N,виҫе,ыйааһын
358,Gewicht::N,йывӑрӑш,ыйааһын
359,Menge::N,йыш,ахсаан
360,Haufen::N,купа,чөмчөх
361,Reihe::N,рет,кэккэ
362,Boot::N,кимӗ,оҥочо
363,Ruder::N,кӗсмен,эрдии
364,Schlitten::N,ҫуна,сыарҕа
365,Ski::N,йӗлтӗр,хайыһар
366,Lagerfeuer::N,вут,кутаа
367,Lagerfeuer::N,кӑвайт,кутаа
368,Last::N,сулмаклӑх,ыарахан
369,Last::N,йывӑр япала,ыарахан
370,Gang::N,куҫӑм,хаамыы
371,Schritt::N,утӑм,хардыы
372,Schritt::N,пусӑм,хардыы
373,Norden::N,ҫурҫӗр,хоту
374,Süden::N,кӑнтӑр,соҕуруу
375,Westen::N,анӑҫ,арҕаа
376,Westen::N,хӗвел анӑҫ,арҕаа
377,Osten::N,хӗвел тухӑҫ,илин
378,Holz::N,йывӑҫ,мас
379,Brett::N,хӑма,дуоска
380,Brett::N,хӑма,хаптаһын
381,Platte::N,плита,билиитэ
382,Stütze::N,ура,тулааһын
383,Stange::N,шерте,ураҕас
384,Stock::N,патак,мас
385,Stock::N,патак,баалкы
386,Stab::N,шӑчӑ,ураҕас
387,Rohr::N,пӑрӑх,турба
388,Haus::N,ҫурт,дьиэ
389,Heim::N,кил,дьиэ
390,Ofen::N,кӑмака,оһох
391,Fußboden::N,урай,муоста
392,Tisch::N,сӗтел,остуол
393,Stuhl::N,пукан,устуул
394,Wiege::N,сӑпка,биһик
395,Bett::N,кравать,кырабаат
396,Regal::N,ҫӳлӗк,долбуур
397,Regal::N,сентре,долбуур
398,Kiste::N,ещӗк,дьааһык
399,Kiste::N,сунтӑх,дьааһык
400,Fenster::N,чӳрече,түннүк
401,Tür::N,алӑк,аан
402,Tor::N,хапха,аан
403,Zaun::N,хӳме,соппулуот
404,Dach::N,тӑрӑ,кырыыса
405,Leiter::N,пусма,кирилиэс
406,Besen::N,шӑпӑр,миинньик
407,Spaten::N,кӗреҫе,күрдьэх
408,Schaufel::N,кӗреҫе,күрдьэх
409,Gabel::N,вилка,биилкэ
410,Löffel::N,кашӑк,луоска
411,Messer::N,ҫӗҫӗ,быһах
412,Nagel::N,пӑта,тоһоҕо
413,Netz::N,тетел,илим
414,Haken::N,йӑрхах,көхө
415,Haken::N,ҫекӗл,көхө
416,Griff::N,хӑлӑп,ук
417,Griff::N,хӑлӑп,тутаах
418,Schloss::N,ҫӑра,күлүүс
419,Bild::N,сӑн,хартыына
420,Bild::N,сӑнлӑх,хартыына
421,Bild::N,картина,хартыына
422,Figur::N,кӗлетке,фигура
423,Puppe::N,пукане,куукула
424,Beutel::N,михӗ,мөһөөччук
425,Bündel::N,ҫыхӑ,баайыы
426,Bündel::N,тӗрке,баайыы
427,Tasche::N,сумка,суумка
428,Eimer::N,витре,биэдэрэ
429,Deckel::N,хупӑ,хаппах
430,Geschirr::N,савӑт-сапа,иһит
431,Sack::N,михӗ,куул
432,Tasse::N,курка,сэлиэнэй
433,Topf::N,кастрюль,көстүрүүҥкэ
434,Kessel::N,хуран,хочуол
435,Essen::N,апат,аһылык
436,Nahrung::N,апат-ҫимӗс,ас
437,Speise::N,апат,аһылык
438,Speise::N,ҫимӗҫ,аһылык
439,Fleisch::N,аш,эт
440,Fleisch::N,какай,эт
441,Getreide::N,тырӑ,злактар
442,Brei::N,пӑтӑ,хааһы
443,Brot::N,ҫӑкӑр,килиэп
444,Scheibe::N,чӗлӗ,куһуок
445,Scheibe::N,касӑк,куһуок
446,Fett::N,ҫу,сыа
447,Butter::N,ҫу,арыы
448,Öl::N,ҫу,арыы
449,Salz::N,тӑвар,туус
450,Suppe::N,яшка,мин
451,Honig::N,пыл,мүөт
452,Milch::N,сӗт,үүт
453,Tee::N,чей,чэй
454,Leder::N,сӑран,тирии
455,Wolle::N,ҫӑм,түү
456,Stoff::N,тӗртӗм,таҥас
457,Nadel::N,йӗп,иннэ
458,Faden::N,ҫип,сап
459,Knopf::N,тӳме,тимэх
460,Knoten::N,йӑлӑ,түмүк
461,Farbe::N,сӑрӑ,кырааска
462,Kleidung::N,тум,таҥас
463,Kleidung::N,ҫипуҫ,таҥас
464,Kleidung::N,тум-тир,таҥас
465,Hemd::N,кӗпе,ырбаахы
466,Kragen::N,ҫуха,саҕа
467,Ärmel::N,ҫанӑ,сиэх
468,Hose::N,шӑлавар,ыстаан
469,Hose::N,шӑлавар,бүрүүкэ
470,Gürtel::N,пиҫиххи,кур
471,Mütze::N,ҫӗлӗк,бэргэһэ
472,Schuh::N,пушмак,бачыыҥка
473,Schuh::N,ботинок,бачыыҥка
474,Stiefel::N,атӑ,саппыкы
475,Ring::N,ҫӗрӗ,биһилэх
476,Band::N,хаю,лиэнтэ
477,Band::N,йӗсме,лиэнтэ
478,Kamm::N,тура,тараах
479,Spiegel::N,тӗкӗр,сиэркилэ
480,Spiegel::N,куҫ кӗски,сиэркилэ
481,Riemen::N,чӗн,кур
482,Schnur::N,кантра,быа
483,Leine::N,касмӑк,тэһиин
484,Decke::N,утиял,суорҕан
485,Kissen::N,ҫытар,сыттык
486,Kissen::N,минтер,сыттык
487,Tuch::N,тутӑр,былаат
488,Handtuch::N,ал шӑлли,соттор
489,Kraft::N,вӑй,сыра
490,Kraft::N,хӑват,сыра
491,Stärke::N,хал,күүс
492,Stärke::N,хӑват,күүс
493,Gesundheit::N,хал,доруобуйа
494,Gesundheit::N,сывлӑх,доруобуйа
495,Krankheit::N,чир,ыарыы
496,Schmerz::N,ырату,ыарыы
497,Wunde::N,суран,баас
498,Fieber::N,сив чир,түрүлгэн
499,Fieber::N,сив чир,лихорадка
500,Fieber::N,сив чир,температура
501,Arznei::N,эмел,эмп
502,Brücke::N,кӗпер,күргэ
503,Brunnen::N,ҫӑл,холуодьас
504,Brunnen::N,пусӑ,холуодьас
505,Weide::N,ҫаран,мэччирэҥ
506,Pfad::N,йӗр,ыллык
507,Pfad::N,сукмак,ыллык
508,Weg::N,ҫул,суол
509,Weg::N,ҫул-йӗр,суол
510,Straße::N,ҫӳрев,суол
511,Straße::N,ҫул ҫӳрени,суол
512,Dorf::N,ял,дэриэбинэ
513,Stadt::N,хула,куорат
514,Brief::N,ҫыру,сурук
515,Buch::N,кӗнеке,кинигэ
516,Buchstabe::N,сас палли,буква
517,Zeitung::N,хаҫат,хаһыат
518,Leben::N,пурнӑҫ,тыын
519,Tod::N,вилӗм,өлүү
520,Grab::N,масар шӑтӑкӗ,иин
521,Kirche::N,чиркӳ,таҥара дьиэтэ
522,Sünde::N,ҫылӑх,айыы
523,Gott::N,турӑ,тангара
524,Arbeiter::N,рабочи,үлэһит
525,Chef::N,пуҫлӑх,баһылык
526,Chef::N,пуҫлӑх,начальник
527,Meister::N,ӑста,уус
528,Meister::N,ӑста,маастар
529,Meister::N,мастер,уус
530,Meister::N,мастер,маастар
531,Arzt::N,врач,врач
532,Arzt::N,тухтӑр,врач
533,Lehrer::N,учитель,учуутал
534,Lehrer::N,вӗрентекен,учуутал
535,Geld::N,укҫа,харчы
536,Geschäft::N,бизнес,идэ
537,Laden::N,магазин,маҕаһыын
538,Preis::N,хак,сыана
539,Ware::N,тавар,табаар
540,Nutzen::N,пайта,туһа
541,Reichtum::N,мул,баай
542,Welt::N,тӗнче,аан дойду
543,Land::N,ҫӗр-шыв,дойду
544,Staat::N,патшàлӑх,государство
545,König::N,король,король
546,Macht::N,власть,былаас
547,Grenze::N,чикӗ,кыраныысса
548,Krieg::N,вӑрҫӑ,сэрии
549,Feind::N,тӑшман,өстөөх
550,Gewalt::N,ирӗксӗрлӳ,күүһүлээһин
551,Kampf::N,кӗрешӳ,охсуһуу
552,Bogen[Waffe]::N,ухӑ,ох
553,Pfeil::N,ҫӗмрен,ох
554,Pfeil::N,ухӑ йӗппи,ох
555,Gewehr::N,пӑшал,саа
556,Fehler::N,йӑнӑш,сыыһа
557,Lüge::N,суя,сымыйа
558,Lüge::N,ултав,сымыйа
559,Schaden::N,сиен,хоромньу
560,Unglück::N,шар,алдьархай
561,Unglück::N,инкек,алдьархай
562,Schuld::N,айӑп,буруй
563,Alter::N,ҫул шучӗ,саас
564,Schluss::N,пӗтни,тиһэх
565,Schluss::N,пӗтмӗш,тиһэх
566,Zeit::N,вӑхӑт,бириэмэ
567,Tag::N,кун,күн
568,Morgen::N,ир,сарсыарда
569,Mittag::N,кӑнтӑрла,күн ортото
570,Abend::N,каҫ,киэһэ
571,Nacht::N,каҫ,түүн
572,Woche::N,эрне,нэдиэлэ
573,Monat::N,уйӑх,ый
574,Jahr::N,ҫулталӑк,сыл
575,Jahr::N,ҫулталӑк,дьыл
576,Frühling::N,ҫур,саас
577,Frühling::N,ҫуркунне,саас
578,Sommer::N,ҫу,сайын
579,Sommer::N,ҫулла,сайын
580,Herbst::N,кӗр,күһүн
581,Herbst::N,кӗркунне,күһүн
582,Winter::N,хӗл,кыһын
583,Winter::N,хӗлле,кыһын
584,Januar::N,январь,тохсунньу
585,Februar::N,февраль,олунньу
586,Februar::N,кӗҫӗн кӑрлач,олунньу
587,März::N,март,кулун тутар
588,März::N,пуш уйӑхӗ,кулун тутар
589,April::N,апрель,муус устар ый
590,Mai::N,май,ыам ыйа
591,Juni::N,июнь,бэс ыйа
592,Juli::N,июль,от ыйа
593,August::N,август,атырдьах ыйа
594,September::N,сентябрь,балаҕан ыйа
595,September::N,авӑн уйӑхӗ,балаҕан ыйа
596,Oktober::N,октябрь,алтынньы
597,November::N,ноябрь,сэтинньи
598,Dezember::N,раштав,ахсынньы
599,Dezember::N,декабрь,ахсынньы
600,Montag::N,тунти кун,бэнидиэнньик
601,Dienstag::N,ытлари кун,оптуорунньук
602,Mittwoch::N,юн кун,сэрэдэ
603,Donnerstag::N,кӗҫнерни кун,чэппиэр
604,Freitag::N,эрне кун,бээтинсэ
605,Samstag::N,шӑмат кун,субуота
606,Sonntag::N,вырсарни кун,баскыһыанньа
607,groß::A,пысӑк,бөдөҥ
608,groß::A,пысӑк,улахан
609,klein::A,пӗчӗк,кыр
610,lang::A,вӑрӑм,уһун
611,kurz::A,кӗске,кылгас
612,breit::A,сарлака,кэтит
613,schmal::A,ансӑр,кыараҕас
614,dicht::A,йӑвӑ,хойуу
615,dick[Gegenstand]::A,хулӑн,суон
616,dick[Gegenstand]::A,хулӑн,хойуу
617,dünn::A,ҫинҫе,чараас
618,dünn::A,ҫӳхе,чараас
619,fein::A,тарай,бытархай
620,fein::A,тарай,синньигес
621,fein::A,вӗлтӗрти,бытархай
622,fein::A,вӗлтӗрти,синньигес
623,fest::A,тӗреклӗ,бөҕө
624,fest::A,тӗреклӗ,кытаанах
625,flach::A,лаптак,хаптаҕай
626,glatt::A,такӑр,кылааккай
627,hart::A,хытӑ,хатан
628,hart::A,хытӑ,кытаанах
629,weich::A,ҫемҫе,сымнаҕас
630,rund::A,ҫавра,төгүрүк
631,spitz::A,шӗвӗр,сытыы
632,spitz::A,шӗвӗр,уһуктаах
633,scharf::A,ҫивӗч,сытыы
634,stumpf::A,мӑка,сыппах
635,stumpf::A,пуклак,сыппах
636,stumpf::A,тӗрӗнчӗк,сыппах
637,stumpf::A,ӑнкарусӑр,сыппах
638,schwer::A,йывӑр,ыарахан
639,schön::A,илемлӗ,кыраһыабай
640,heiß::A,вӗри,итии
641,warm::A,ӑшӑ,ичигэс
642,kalt::A,сивӗ,тымныы
643,kühl::A,уҫӑ,сөрүүн
644,frisch::A,уҫӑ,ыраас
645,frisch::A,уҫӑ,сөрүүн
646,frisch::A,уҫӑ,тымныы
647,feucht::A,йӗпе,сииктээх
648,nass::A,нӳрӗ,инчэҕэй
649,trocken::A,типӗ,кураан
650,voll::A,тулли,толору
651,leer::A,пушӑ,иччитэх
652,offen::A,уҫӑ,аһаҕас
653,geschlossen::A,хупӑ,бүтэй
654,sauber::A,таса,сэбэр
655,schmutzig::A,пылчӑклӑ,кирдээх
656,schmutzig::A,вараланчӑк,кирдээх
657,roh::A,чӗрӗ,сиикэй
658,reif::A,пулнӑ,буспут
659,reif::A,пулнӑ,сиппит-хоппут
660,reif::A,пиҫӗхнӗ,буспут
661,reif::A,пиҫӗхнӗ,сиппит-хоппут
662,reif::A,аталаннӑ,буспут
663,reif::A,аталаннӑ,сиппит-хоппут
664,reif::A,пиҫсе ҫитнӗ,буспут
665,reif::A,пиҫсе ҫитнӗ,сиппит-хоппут
666,lecker::A,тутлӑ,минньигэс
667,lecker::A,техӗмлӗ,минньигэс
668,süß::A,пылак,минньигэс
669,bitter::A,йӳҫӗ,аһыы
670,sauer::A,йӳҫӗ,аһыы
671,sauer::A,йӳҫек,аһыы
672,sauer::A,кӑвасак,аһыы
673,hell::A,ҫутӑ,сырдык
674,dunkel::A,тӗттӗм,хараҥа
675,schwarz::A,хура,хара
676,weiß::A,шурӑ,үрүҥ
677,weiß::A,шурӑ,маҥан
678,rot::A,хӗрлӗ,кыһыл
679,gelb::A,сарӑ,саһархай
680,blau::A,кӑвак,күөх
681,grün::A,симӗс,күөх
682,grün::A,симӗс,от күөҕэ
683,grün::A,пиҫмен,күөх
684,grün::A,пиҫмен,от күөҕэ
685,grün::A,ӑс пухман,күөх
686,grün::A,ӑс пухман,от күөҕэ
687,grau::A,кӑвак,сиэрэй
