,Concept_ID,ml,te
85,Regenbogen::N,മഴവില്ല്,ఇంద్రధనుస్సు
86,Donner::N,ഇടി,ఉరుము
87,Strömung::N,പ്രവാഹം,ప్రవాహము
88,Tropfen::N,തുള്ളി,చుక్క
89,Schaum::N,നുര,నురుగు
90,Schmutz::N,അഴുക്ക്,మైల
91,See::N,തടാകം,సరస్సు
92,Sumpf::N,ചതുപ്പുനിലം,చిత్తడినేల
93,Moor::N,പാഴ്നിലം,చిత్తడినేల
94,Wiese::N,പുൽത്തകിടി,పచ్చిక బయలు
95,Wald::N,വനം,అడవి
96,Wald::N,കാട്,అడవి
97,Hügel::N,കുന്ന്,చివ్నకొండ
98,Anhöhe::N,ഉയർന്ന ഭൂമി,కొండ
99,Berg::N,പർവ്വതം,పర్వతము
100,Gipfel::N,ഉച്ചകോടി,శిఖరము
101,Höhle::N,ഗുഹ,గుహ
102,Abhang::N,ചരിവ്,ఏటవాలు
103,Quelle::N,ഉറവിടം,మూలము
104,Bach::N,അരുവി,కాలువ
105,Fluss::N,നദി,నది
106,Ufer::N,തീരം,తీరము
107,Küste::N,കടൽത്തീരം,తీరము
108,Festland::N,കര,భూమి
109,Meer::N,കടൽ,సముద్రము
110,Bucht::N,ഉൾക്കടല്,మరుగు
111,Insel::N,ദ്വീപ്,దీవి
112,Blume::N,പൂവ്,పుష్పము
113,Gras::N,പുല്ല്,పచ్చగడ్డి
114,Wurzel::N,വേര്,వేరు
115,Baum::N,മരം,చెట్టు
116,Stamm::N,തായ്ത്തടി,చెట్టుబోదె
117,Rinde::N,പട്ട,చెట్టుపట్ట
118,Ast::N,ശാഖ,కొమ్మ
119,Zweig::N,ശാഖ,చివుకు
120,Blatt::N,ഇല,ఆకు
121,Birke::N,പൂവരശ്,తరహా చెట్టు
122,Kiefer[Baum]::N,പൈൻമരം,దేవదారు చెట్టు
123,Weide[Baum]::N,വില്ലോ,జాతిచెట్టు
124,Tanne::N,ദേവദാരു,దేవదారుచెట్టు
125,Horn::N,മൃഗത്തിൻറെ കൊമ്പ്,కొమ్ము
126,Feder::N,തൂവൽ,ఈక
127,Fell::N,മൃദുരോമം,తోలు
128,Flügel::N,ചിറക്,ఱెక్క
129,Klaue::N,നഖം,వంకరగోరు
130,Kralle::N,നഖം,వంకరగోరు
131,Schwanz::N,വാൽ,తోక
132,Ei::N,മുട്ട,గ్రుడ్డు
133,Nest::N,കൂട്,పక్షిగూడు
134,Bau::N,മാളം,గుహ
135,Tier::N,മൃഗം,జంతువు
136,Herde::N,കൂട്ടം,మంద
137,Kuh::N,പശു,ఆవు
138,Bulle::N,കാള,గిత్త
139,Pferd::N,കുതിര,గుఱ్ఱము
140,Schaf::N,ആട്,గొఱ్ఱె
141,Schwein::N,പന്നി,పంది
142,Hund::N,നായ്,కుక్క
143,Katze::N,പൂച്ച,పిల్లి
144,Bär::N,കരടി,ఎలుగుబంటి
145,Eichhörnchen::N,അണ്ണാൻ,ఉడుత
146,Elch::N,കടമാന്,కణంజు
147,Fuchs::N,കുറുക്കൻ,గుంటనక్క
148,Hase::N,മുയൽ,కుందేలు
149,Maus::N,ചുണ്ടലി,చిట్టెలుక
150,Wolf::N,ചെന്നായ,తోడేలు
151,Vogel::N,പക്ഷി,పక్షి
152,Schwarm::N,കൂട്ടം,గుంపు
153,Huhn::N,കോഴി,కోడిపిల్ల
154,Hahn::N,പൂവൻകോഴി,కోడివుంజు
155,Gans::N,അരയന്നം,ఆడుబాతు
156,Adler::N,കഴുകൻ,గ్రద్ద
157,Ente::N,താറാവ്,పాట్టిబాతు
158,Eule::N,മൂങ്ങ,గ్రుడ్లగూబ
159,Kranich::N,കൊക്ക്,కొంగ
160,Krähe::N,കാക്ക,కాకి
161,Kuckuck::N,കുയിൽ,కోయల
162,Schwan::N,അരയന്നം,హంస
163,Fisch::N,മത്സ്യം,చేప
164,Barsch::N,ഒരിനം മത്സ്യം,ఒకచేఁప
165,Hecht::N,ഒരു മത്സ്യം,గండుమీను
166,Schlange[Tier]::N,പാമ്പ്,పాము
167,Wurm::N,വിര,పురుగు
168,Spinne::N,ചിലന്തി,సాలె పురుగు
169,Ameise::N,ഉറുമ്പ്,చీమ
170,Laus::N,പേന്,పేను
171,Mücke::N,മശകം,చీకటీగ
172,Fliege::N,ഈച്ച,ఈగ
173,Schmetterling::N,ചിത്രശലഭം,సీతాకోకచిలుక
174,Beere::N,ബെറി,కాయ
175,Apfel::N,ആപ്പിൾ,ఆపిల్ పండు
176,Pilz::N,കൂൺ,కుక్కగొడుగు
177,Zwiebel::N,സവാള,నీరుల్లి
178,Saat::N,വിത്ത്,విత్తనము
179,Korn::N,ധാന്യം,గింజ
180,Heu::N,വയ്ക്കോൽ,ఎండుగడ్డి
181,Schale::N,തൊലി,పొట్టు
182,Grube::N,കുഴി,గొయ్యి
183,Falle::N,കെണി,బోను
184,Schlinge::N,കുടുക്ക്,ఉరి
185,Spur::N,ചുവട്,జాడ
186,Asche::N,ചാരം,బూడిద
187,Dreck::N,അഴുക്ക്,ముఱికి
188,Eisen::N,ഇരുമ്പ്,ఇనుము
189,Gold::N,സ്വർണ്ണം,బంగారము
190,Silber::N,വെള്ളി,వెండి
191,Kohle::N,കൽക്കരി,నేలబొగ్గు
192,Glas::N,ഗ്ലാസ്,గాజు
193,Lehm::N,കളിമണ്ണ്,బంకమన్ను
194,Sand::N,മണൽ,ఇసుక
195,Mensch::N,മനുഷ്യർ,నరుడు
196,Mann::N,പുരുഷൻ,పురుమడు
197,Frau::N,സ്ത്രീ,ఆడుది
198,Kind::N,കുഞ്ഞ്,బిడ్డ
199,Junge::N,ആൺകുട്ടി,బాలుడు
200,Mädchen::N,പെൺകുട്ടി,బాలిక
201,Familie::N,കുടുംബം,కుటుంబము
202,Großvater::N,അപ്പൂപ്പൻ,తాత
203,Großmutter::N,അമ്മുമ്മ,అయ్యమ్మ
204,Eltern::N,മാതാപിതാക്കള്,తల్లితండ్రులు
205,Vater::N,അച്ഛൻ,తండ్రి
206,Mutter::N,അമ്മ,తల్లి
207,Sohn::N,മകൻ,కొడుకు
208,Tochter::N,മകൾ,కూతురు
209,Bruder::N,ചേട്ടൻ,పోదరుడు
210,Bruder::N,അനിയൻ,పోదరుడు
211,Schwester::N,ചേച്ചി,సోదరి
212,Schwester::N,അനിയത്തി,సోదరి
213,Onkel::N,അമ്മാവൻ,మేనమామ
214,Tante::N,മാമി,మేనత్త
215,Tante::N,മാമി,పినతల్లి
216,Ehemann::N,ഭർത്താവ്,భర్త
217,Ehefrau::N,ഭാര്യ,భార్య
218,Freude::N,ആഹ്ലാദം,సంతోషము
219,Gelächter::N,ചിരിയുടെ ശബ്ദം,నవ్వు
220,Glück::N,സന്തോഷം,సంతోషము
221,Glück::N,സന്തുഷ്ടി,సంతోషము
222,Kummer::N,ശോകം,దుఃఖము
223,Wunsch::N,ആഗ്രഹം,కోరిక
224,Lust::N,ആഗ്രഹം,కోరిక
225,Geist::N,ചുറുചുറുക്ക്,ఆత్మ
226,Gedanke::N,ചിന്ത,ఆలోచన
227,Gedächtnis::N,ഓർമ്മശക്തി,జ్ఞాపకము
228,Verstand::N,മനസ്സ്,మనస్సు
229,Sinn::N,അർത്ഥം,అర్థము
230,Grund::N,കാരണം,కారణము
231,Wahrheit::N,സത്യം,సత్యము
232,Gespräch::N,സല്ലാപം,పంభాషణ
233,Märchen::N,യക്ഷിക്കഥ,అద్భుతకథ
234,Erzählung::N,കഥ,కథ
235,Nachricht::N,സന്ദേശം,వార్త
236,Neuigkeit::N,വാർത്ത,వార్త
237,Name::N,പേര്,పేరు
238,Rätsel::N,പ്രഹേളിക,చిక్కు
239,Rede::N,സംസാരം,ఉపన్యాసము
240,Sprache::N,ഭാഷ,భాష
241,Stimme::N,സ്വരം,కంరథ్సని
242,Wort::N,വാക്ക്,మాట
243,Zeichen::N,സംജ്ഞ,గుర్తు
244,Ruf::N,വിളി,పిలువు
245,Lärm::N,ആരവം,సందడి
246,Laut::N,ശബ്ദം,ధ్వని
247,Ton::N,സ്വരഭേദം,స్వరము
248,Lied::N,പാട്ട്,పాట
249,Ruhe::N,നിശ്ചലത,గాలిలేమి
250,Leute::N,ജനങ്ങൾ,జనులు
251,Volk::N,രാഷ്ടം,జాతి
252,Arbeit::N,ജോലി,పని
253,Gast::N,അതിലി,అతిధి
254,Geschenk::N,സമ്മാനം,దానము
255,Spiel::N,കളി,ఆట
256,Gesellschaft::N,കൂട്ടായ്മ,జట్టు
257,Hilfe::N,സഹായം,సాహాయ్యము
258,Freund::N,സുഹൃത്ത്,స్నేహితుడు
259,Kamerad::N,കൂട്ടാളി,చెలికాడు
260,Angelegenheit::N,കാര്യം,విషయము
261,Anzahl::N,എണ്ണം,లెక్క
262,Art::N,തരം,జాతి
263,Stück::N,കഷണം,తునుక
264,Teil::N,ഭാഗം,భాగము
265,Hälfte::N,പകുതി,సగము
266,Kreis::N,വൃത്തം,వృత్తము
267,Kreuz::N,കുരിശടയാളം,సిలువ
268,Linie::N,വര,గీత
269,Linie::N,രേഖ,గీత
270,Strich::N,പക്ഷാഘാതം,గీత
271,Abstand::N,വിടവ്,సందు
272,Entfernung::N,അകലം,దూరము
273,Gegend::N,പ്രദേശം,విస్తీర్ణము
274,Platz::N,ഇടം,ఎడము
275,Ort::N,സ്ഥലം,స్థలము
276,Seite::N,വശം,ప్రక్క
277,Mitte::N,മധ്യസ്ഥാനം,నడిమి
278,Gegenstand::N,സാധനം,పద్దు
279,Sache::N,വസ്തു,వస్తువు
280,Rand::N,തൊങ്ങൽ,అంచు
281,Kante::N,അറ്റം,అంచు
282,Ecke::N,മൂല,మూల
283,Spitze::N,അഗ്രം,మొన
284,Ende::N,അവസാനം,కొన
285,Loch::N,ദ്വാരം,రంధ్రము
286,Winkel::N,കോൺ,కోణము
287,Muster::N,ക്രമം,మాదిరి
288,Größe::N,വലുപ്പം,పరిమాణము
289,Länge::N,നീളം,పొడుగు
290,Höhe::N,ഉയരം,పొడుగు
291,Gewicht::N,കട്ടി,భారము
292,Menge::N,അളവ്,మొత్తము
293,Haufen::N,കൂമ്പാരം,రాశి
294,Reihe::N,വരി,వరుస
295,Boot::N,ബോട്ട്,పడవ
296,Ruder::N,പങ്കായം,అడక
297,Schlitten::N,ഉരുളില്ലാവണ്ടി,సరవండ్లు
298,Ski::N,ഹിമപാദുകം,స్కీ
299,Lagerfeuer::N,തീ,నెగడు
300,Last::N,ഭാരം,బరువు
301,Gang::N,നടത്തം,నడక
302,Schritt::N,ചുവട്,అడుగు
303,Norden::N,വടക്ക്,ఉత్తరదిక్కు
304,Süden::N,തെക്ക്,దక్షిణము
305,Westen::N,പടിഞ്ഞാറ്,పడమర
306,Osten::N,കിഴക്ക്,తూర్పు
307,Holz::N,തടി,కొయ్య
308,Brett::N,ബോർഡ്,పలక
309,Platte::N,തകിട്,పలక
310,Stütze::N,താങ്ങ്,వాల్సేడ్లు
311,Stange::N,കമ്പ്,స్తంభము
312,Stock::N,വടി,కఱ్ఱ
313,Stab::N,കുറുവടി,కఱ్ఱ
314,Rohr::N,കുഴൽ,గొట్టము
315,Haus::N,വീട്,ఇల్లు
316,Heim::N,വീട്,స్వగృహము
317,Ofen::N,സ്റ്റൌ,పొయ్యి
318,Fußboden::N,തറ,నేల
319,Tisch::N,മേശ,మేజా
320,Stuhl::N,കസേര,కుర్చీ
321,Wiege::N,തൊട്ടിൽ,ఉయ్యాల
322,Bett::N,കിടക്ക,పడక
323,Bett::N,കിടക്ക,మంచం
324,Regal::N,ഷെൽഫ്,అటక
325,Kiste::N,പെട്ടി,వెట్టె
326,Fenster::N,ജനൽ,కిటికి
327,Tür::N,വാതിൽ,ద్వారము
328,Tor::N,കവാടം,ద్వారము
329,Zaun::N,വേലി,కంచె
330,Dach::N,മേൽക്കുര,ఇంటివైకప్పు
331,Leiter::N,ഏണി,నిచ్చెన
332,Besen::N,ചൂല്,చీపురుకట్ట
333,Spaten::N,തൂമ്പ,పాఱ
334,Schaufel::N,തൂമ്പ,పాఱ
335,Gabel::N,മുൾക്കത്തി,ముండ్లగరిటె
336,Löffel::N,സ്പൂൺ,గరిటె
337,Messer::N,കത്തി,కత్తి
338,Nagel::N,ആണി,మేకు
339,Netz::N,വല,వల
340,Haken::N,കൊളുത്ത്,కొక్కెము
341,Griff::N,കൈപ്പിടി,పిడి
342,Schloss::N,പൂട്ട്,తాళము
343,Bild::N,ചിത്രം,చిత్రము
344,Figur::N,കണക്ക്,రూపము
345,Puppe::N,പാവ,బొమ్మ
346,Beutel::N,ബാഗ്,సంచి
347,Bündel::N,കെട്ട്,మూట
348,Tasche::N,ബാഗ്,సంచి
349,Eimer::N,ബക്കറ്റ്,చేద
350,Deckel::N,ഉറ,మూత
351,Geschirr::N,പിഞ്ഞാണം,వంటకాలు
352,Sack::N,ചാക്ക്,గోనెసంచి
353,Tasse::N,കപ്പ്,గిన్నె
354,Topf::N,പാത്രം,కుండ
355,Kessel::N,കെറ്റ്ല്,నీరుకాచుపాత్ర
356,Essen::N,ആഹാരസമയം,ఆహారము
357,Nahrung::N,ഭക്ഷണം,ఆహారము
358,Speise::N,ഡിഷ്,ఆహారము
359,Fleisch::N,മാംസം,మాంసము
360,Getreide::N,ചോളം,ధాన్యము
361,Brei::N,കഞ്ഞി,గుజ్జు
362,Brot::N,റോട്ടി,రొట్టె
363,Scheibe::N,തുണ്ട്,బద్ద
364,Fett::N,കൊഴുപ്പ്,క్రొవ్వు
365,Butter::N,വെണ്ണ,వెన్న
366,Öl::N,എണ്ണ,నూనె
367,Salz::N,ഉപ്പ്,ఉప్పు
368,Suppe::N,സൂപ്പ്,చారు
369,Honig::N,തേൻ,తెనె
370,Milch::N,പാൽ,పాలు
371,Tee::N,ചായ,తేనీరు
372,Leder::N,തുകൽ,బాగుచేసివతోలు
373,Wolle::N,കമ്പിളി,ఉన్ని
374,Stoff::N,തുണി,బట్ట
375,Nadel::N,സൂചി,సూది
376,Faden::N,നൂല്,దారము
377,Knopf::N,ബട്ടൺ,బొత్తాము
378,Knoten::N,കുരുക്ക്,ముడి
379,Farbe::N,പെയിൻറ്,రంగు
380,Kleidung::N,വസ്ത്രങ്ങൾ,బట్టలు
381,Hemd::N,ഷർട്ട്,చొక్కాయ
382,Kragen::N,കുപ്പായക്കഴുത്ത്,మాల
383,Ärmel::N,കുപ്പായക്കൈ,చొక్కాయచెయ్యి
384,Hose::N,ട്രൌസർ,ఇజారు
385,Gürtel::N,ബെൽറ്റ്,పటకా
386,Mütze::N,തൊപ്പി,టోపి
387,Schuh::N,ഷൂ,పాదరక్ష
388,Stiefel::N,ബൂട്ട്,బూటు
389,Ring::N,മോതിരം,ఉంగరము
390,Band::N,റിബൺ,నాడా
391,Kamm::N,ചീപ്പ്,దువ్వెన
392,Spiegel::N,കണ്ണാടി,అద్దము
393,Riemen::N,സ്ട്രാപ്പ്,వాడా
394,Schnur::N,ചരട്,దారము
395,Leine::N,കെട്ടാനുള്ള തോൽവാർ,వారు
396,Decke::N,പുതപ്പ്,కంబళి
397,Kissen::N,തലയിണ,తలగడ
398,Tuch::N,സ്കാർഫ്,బట్ట
399,Handtuch::N,തോർത്ത്,తువాలు
400,Kraft::N,ശക്തി,బలము
401,Stärke::N,ശക്തി,శక్తి
402,Gesundheit::N,ആരോഗ്യം,ఆరోగ్యము
403,Krankheit::N,അസുഖം,రోగము
404,Schmerz::N,വേദന,నొప్పి
405,Wunde::N,മുറിവ്,గాయము
406,Fieber::N,പനി,జ్వరము
407,Arznei::N,മരുന്ന്,మందు
408,Brücke::N,പാലം,వంతెన
409,Brunnen::N,കിണർ,బావి
410,Brunnen::N,കിണർ,కూపము
411,Brunnen::N,കിണർ,నుయ్యి
412,Weide::N,മേച്ചൽ,పచ్చికబయలు
413,Pfad::N,വഴി,కాలిత్రోవ
414,Weg::N,വഴി,మార్గము
415,Straße::N,റോഡ്,బాట
416,Dorf::N,ഗ്രാമം,గ్రామము
417,Stadt::N,നഗരം,పట్టణము
418,Brief::N,കത്ത്,జాబు
419,Buch::N,പുസ്തകം,పుస్తకము
420,Buchstabe::N,അക്ഷരം,అక్షరము
421,Zeitung::N,വർത്തമാനപത്രം,వార్తాపత్రిక
422,Leben::N,ജീവൻ,ప్రాణము
423,Tod::N,മരണം,మరణము
424,Grab::N,ശവക്കുഴി,సమాధి
425,Kirche::N,പള്ളി,క్రెస్తవులగుడి
426,Sünde::N,പാപം,పాపము
427,Gott::N,ദൈവം,దేవుడు
428,Arbeiter::N,ജോലിക്കാരൻ,పనిపాటుచేశేవాడు
429,Chef::N,മേധാവി,యజమానుడు
430,Meister::N,യജമാനൻ,కళాకారుడు
431,Arzt::N,ഡോക്ടർ,వైద్యుడు
432,Lehrer::N,അധ്യാപകൻ,ఉపాధ్యాయుడు
433,Geld::N,പണം,ద్రవ్యము
434,Geschäft::N,ബിസിനസ്,వ్యాపారము
435,Laden::N,കട,అంగడి
436,Preis::N,വില,వెల
437,Ware::N,ചരക്ക്,సరకులు
438,Nutzen::N,ലാഭം,ప్రయోజనము
439,Reichtum::N,ധനം,ధనము
440,Welt::N,ലോകം,ప్రపంచము
441,Land::N,രാജ്യം,దేశము
442,Staat::N,രാജ്യം,రాజ్యము
443,König::N,രാജാവ്,రాజు
444,Macht::N,അധികാരം,అధికారము
445,Grenze::N,അതിർത്തി,సరిహద్దు
446,Krieg::N,യുദ്ധം,యుద్ధము
447,Feind::N,ശത്രു,శత్రువు
448,Gewalt::N,അക്രമം,దౌర్జన్యము
449,Kampf::N,പോരാട്ടം,పోట్లాట
450,Bogen[Waffe]::N,വില്ല്,విల్లు
451,Pfeil::N,അമ്പ്,బాణము
452,Gewehr::N,തോക്ക്,తుపాకి
453,Fehler::N,പിശക്,తప్ప
454,Lüge::N,കള്ളം,అసత్యము
455,Schaden::N,കേടുപാട്,నష్టము
456,Unglück::N,ദൌർഭാഗ്യം,దురదృష్టము
457,Schuld::N,തെറ്റ്,తప్పు
458,Alter::N,വയസ്സ്,వయస్సు
459,Schluss::N,നിഗമനം,ముగింపు
460,Zeit::N,സമയം,కాలము
461,Tag::N,ദിവസം,దినము
462,Morgen::N,പ്രഭാതം,ఉదయము
463,Mittag::N,ഉച്ച,మధ్యాహ్నము
464,Abend::N,സായാഹ്നം,సాయంకాలము
465,Nacht::N,രാത്രി,రత్రి
466,Woche::N,ആഴ്ച,వారము
467,Monat::N,മാസം,నెల
468,Jahr::N,വർഷം,సంవత్సరము
469,Frühling::N,വസന്തം,వసంతకాలము
470,Sommer::N,വേനൽ,వేసవికాము
471,Herbst::N,ശരത്കാലം,ఆకురాలుకాలము
472,Winter::N,ശൈത്യം,శీతకాలము
473,Januar::N,ജനുവരി,జనవరి
474,Februar::N,ഫെബ്രുവരി,ఫిబ్రవరి
475,März::N,മാർച്ച്,మార్చి
476,April::N,ഏപ്രിൾ മാസം,ఏప్రిలు
477,Mai::N,മെയ് മാസം,మే
478,Juni::N,ജൂൺ,జూన్
479,Juli::N,ജൂലൈ,జూలై
480,August::N,ആഗസ്റ്റ്,ఆగస్టు
481,September::N,സെപ്തംബർ,సెప్ఠెంబరు
482,Oktober::N,ഒക്ടോബർ,అక్టోబరు
483,November::N,നവംബർ,నవంబరు
484,Dezember::N,ഡിസംബർ,డిసెంబర్
485,Montag::N,തിങ്കളാഴ്ച,సోమవారము
486,Dienstag::N,ചൊവ്വ,మంగళవారము
487,Mittwoch::N,ബുധനാഴ്ച,బుధవారము
488,Donnerstag::N,വ്യാഴാഴ്ച,గురువారము
489,Freitag::N,വെള്ളിയാഴ്ച,శుక్రవారము
490,Samstag::N,ശനിയാഴ്ച,శనివారము
491,Sonntag::N,ഞായറാഴ്ച,ఆదివారము
492,groß::A,വലിയ,గొప్పైన
493,klein::A,ചെറിയ,చిన్న
494,lang::A,നീണ്ട,పొడుగాటి
495,kurz::A,ഹ്രസ്വമായ,పొట్టి
496,breit::A,വിശാലമായ,వెడల్పైన
497,schmal::A,ഇടുങ്ങിയ,ఇఱుకైన
498,dicht::A,നിബിഡമായ,దట్టమైన
499,dick[Gegenstand]::A,തടിച്ച,దట్టమైన
500,dünn::A,മെലിഞ്ഞ,పలుచని
501,fein::A,നേർത്ത,నాజాకైన
502,fest::A,ഉറപ്പുള്ള,దృడమైవ
503,flach::A,പരന്ന,చదువైన
504,glatt::A,മിനുസമുള്ള,నున్నని
505,hart::A,കട്ടിയുള്ള,కఠినమైన
506,weich::A,മൃദുവായ,మృదువైన
507,rund::A,വട്ടത്തിലുള്ള,గుండ్రని
508,spitz::A,മുനയുള്ള,మొనగల
509,scharf::A,മൂർച്ചയുള്ള,పదనైన
510,stumpf::A,തുറന്നടിക്കുന്ന,వాడిలేని
511,schwer::A,ഭാരമുള്ള,బరువ్తెన
512,schön::A,മനോഹരമായ,సుందరమైన
513,heiß::A,ചൂടുള്ള,వేడియైన
514,warm::A,ചൂടുള്ള,వెచ్చని
515,kalt::A,തണുത്ത,చల్లని
516,kühl::A,തണുപ്പുള്ള,చల్లని
517,frisch::A,ശുദ്ധമായ,తాజాయైన
518,feucht::A,ഈറനുള്ള,చెమ్మగానున్న
519,nass::A,നനഞ്ഞ,తడిగామన్న
520,trocken::A,വരണ്ട,ఎండిన
521,voll::A,നിറയെ,నిండు
522,leer::A,ഒഴിഞ്ഞ,శూన్యమైన
523,offen::A,തുറന്ന,తెఱచియున్న
524,geschlossen::A,അടച്ച,మూసిన
525,sauber::A,വൃത്തിയുള്ള,పరిశుద్ధమైన
526,schmutzig::A,അഴുക്കുനിറഞ്ഞ,ముఱికియైన
527,roh::A,അസംസ്കൃതമായ,పచ్చి
528,reif::A,പഴുത്ത,పండివ
529,lecker::A,രുചികരമായ,రుచి గల
530,süß::A,മധുരമുള്ള,తియ్యని
531,bitter::A,കടുത്ത,చేదైన
532,sauer::A,പുളിപ്പുള്ള,పుల్లని
533,hell::A,ജ്വലിക്കുന്ന,కాంతిగల
534,dunkel::A,ഇരുണ്ട,చీకటియైన
535,schwarz::A,കറുത്ത,నల్లని
536,weiß::A,വെളുത്ത,తెలుపు
537,rot::A,ചുവന്ന,ఎఱ్ఱని
538,gelb::A,മഞ്ഞനിറമായ,పసుపు పచ్చ
539,blau::A,നീലനിറമുള്ള,నీలవర్ణము
540,grün::A,പച്ചനിറമുള്ള,ఆకుపచ్చని
541,grau::A,ചാരനിറത്തിലുള്ള,నెరిసిన
542,bunt::A,വർണ്ണശബളമായ,రంగేలీ
543,billig::A,വിലകുറഞ്ഞ,చౌకయైన
544,teuer::A,ചെലവേറിയ,వెలపొడుగైన
545,wertvoll::A,വിലപിടിപ്പുള്ള,విలుప్తెన
546,blind::A,അന്ധനായ,గ్రుడ్డి
547,taub::A,കേൾവിക്കുറവുള്ള,చెవిటి
548,kräftig::A,ശക്തിയുള്ള,శక్తి గల
549,stark::A,ബലമുള്ള,బలమైన
550,schwach::A,ക്ഷീണിച്ച,బలహీనమైన
551,fett::A,കൊഴുപ്പുള്ള,క్రొవ్విన
552,schlank::A,മെലിഞ്ഞ,సన్నని
553,hübsch::A,മനോഹരമായ,సాగప్తెన
554,böse::A,പാപിയായ,చెడ్డ
555,dumm::A,വിവരംകെട്ട,తెలివిలేని
556,faul::A,അലസനായ,సోమరియైన
557,fleißig::A,അദ്ധ്വാനശീലമുള്ള,శ్రద్దగల
558,geizig::A,പിശുക്കനായ,పిసినారియైన
559,klug::A,ബുദ്ധിസാമർഥ്യമുള്ള,తెలివిగల
560,geschickt::A,പ്രതിഭാശാലി,నిపుణతగల
561,lieb::A,പ്രിയപ്പെട്ട,ప్రియమైన
562,lustig::A,ആനന്ദകരമായ,ఉల్లాసము గల
563,sanft::A,സൌമ്യമായ,సాధువైన
