,Concept_ID,he,tt
485,Leben::N,חיים,тормыш
486,Leben::N,חיים,тереклек
487,Tod::N,מות,үлем
488,Grab::N,קבר,гүр
489,Grab::N,קבר,кабер
490,Kirche::N,כנסיה,чиркәү
491,Sünde::N,חטא,язык
492,Sünde::N,חטא,гөнаһ
493,Gott::N,אל,алла
494,Gott::N,אל,ходай
495,Arbeiter::N,פועל,эшче
496,Chef::N,ראש,башлык
497,Chef::N,מנהל,башлык
498,Meister::N,ממחה,оста
499,Arzt::N,רופא,врач
500,Arzt::N,רופא,табиб
501,Lehrer::N,מורה,укытучы
502,Lehrer::N,מורה,мөгаллим
503,Geld::N,כסף,акча
504,Geschäft::N,עסקה,эш
505,Laden::N,חנות,кибет
506,Laden::N,חנות,магазин
507,Preis::N,מחיר,бәя
508,Preis::N,מחיר,бәһа
509,Ware::N,סחורה,товар
510,Nutzen::N,תועלת,файда
511,Reichtum::N,עשר,байлык
512,Welt::N,עולם,дөнья
513,Land::N,ארץ,ил
514,Staat::N,מדינה,дәүләт
515,König::N,מלך,патша
516,Macht::N,כוח,хакимият
517,Grenze::N,גבול,чик
518,Krieg::N,מלחמה,сугыш
519,Feind::N,אויב,дошман
520,Gewalt::N,אלימות,көчләү
521,Kampf::N,קרב,көрәш
522,Kampf::N,לחימה,көрәш
523,Bogen[Waffe]::N,קשת,җәя
524,Pfeil::N,חץ,ук
525,Gewehr::N,רובה,мылтык
526,Fehler::N,טעות,хата
527,Lüge::N,שקר,ялган
528,Schaden::N,נזק,зыян
529,Schaden::N,נזק,зарар
530,Unglück::N,מזל רע,бәла
531,Schuld::N,אשמה,гаеп
532,Alter::N,גיל,яшь
533,Schluss::N,סיום,ахыр
534,Zeit::N,זמן,заман
535,Tag::N,יום,көн
536,Morgen::N,בקר,иртә
537,Mittag::N,צהרים,өйлә
538,Abend::N,ערב,кич
539,Nacht::N,לילה,төн
540,Woche::N,שבוע,атна
541,Monat::N,חדש,ай
542,Jahr::N,שנה,ел
543,Frühling::N,אביב,яз
544,Sommer::N,קיץ,җәй
545,Herbst::N,סתו,көз
546,Winter::N,חרף,кыш
547,Januar::N,ינואר,гыйнвар
548,Februar::N,פברואר,февраль
549,März::N,מרץ,март
550,April::N,אפריל,апрель
551,Mai::N,מאי,май
552,Juni::N,יוני,июнь
553,Juli::N,יולי,июль
554,August::N,אוגוסט,август
555,September::N,ספטמבר,сентябрь
556,Oktober::N,אוקטובר,октябрь
557,November::N,נובמבר,ноябрь
558,Dezember::N,דצמבר,декабрь
559,Montag::N,יום שני,дүшәмбе
560,Dienstag::N,יום שלישי,сишәмбе
561,Mittwoch::N,יום רביעי,чәршәмбе
562,Donnerstag::N,יום חמישי,атнакич
563,Donnerstag::N,יום חמישי,пәнҗешәмбе
564,Freitag::N,יום ששי,җомга
565,Samstag::N,יום שבת,шимбә
566,Sonntag::N,יום ראשון,якшәмбе
567,groß::A,גדול,зур
568,klein::A,קטן,кечкенә
569,lang::A,ארך,озын
570,kurz::A,קצר,кыска
571,breit::A,רחב,киң
572,schmal::A,צר,кысык
573,dicht::A,צפוף,куе
574,dick[Gegenstand]::A,עבה,калын
575,dünn::A,דק,нечкә
576,fein::A,מעדן,нәзакәтле
577,fest::A,מוצק,нык
578,flach::A,שטוח,яссы
579,flach::A,שטוח,ялпак
580,glatt::A,חלק,шома
581,hart::A,קשיח,каты
582,weich::A,רך,йомшак
583,rund::A,עגל,түгәрәк
584,spitz::A,חד,очлы
585,scharf::A,חד,үткен
586,stumpf::A,קהה,үтмәс
587,schwer::A,כבד,салмак
588,schön::A,יפה,гүзәл
589,heiß::A,חם,эссе
590,warm::A,חם,җылы
591,kalt::A,קר,суык
592,kalt::A,קר,салкын
593,kühl::A,צונן,салкынча
594,frisch::A,טרי,салкынча
595,feucht::A,לח,юеш
596,nass::A,רטוב,дымлы
597,trocken::A,יבש,коры
598,voll::A,מלא,тулы
599,leer::A,ריק,буш
600,offen::A,פתוח,ачык
601,geschlossen::A,סגור,йомык
602,sauber::A,נקי,пакь
603,sauber::A,נקי,чиста
604,schmutzig::A,מלכלך,керле
605,schmutzig::A,מלכלך,пычрак
606,roh::A,חי,чи
607,reif::A,בשל,өлгергән
608,lecker::A,טעים,тәмле
609,süß::A,מתוק,татлы
610,bitter::A,מר,ачы
611,sauer::A,חמוץ,әче
612,hell::A,בהיר,якты
613,dunkel::A,עמום,кара
614,schwarz::A,שחר,кара
615,weiß::A,לבן,ак
616,rot::A,אדם,кызыл
617,gelb::A,צהב,сары
618,blau::A,כחל,күк
619,grün::A,ירק,яшел
620,grau::A,אפר,соры
621,bunt::A,צבעוני,чуар
622,billig::A,זול,арзан
623,teuer::A,יקר,хаклы
624,wertvoll::A,יקר ערך,кыйммәтле
625,blind::A,עור,сукыр
626,blind::A,עור,күзсез
627,taub::A,חרש,чукрак
628,taub::A,חרש,саңгырау
629,kräftig::A,חסן,егәрле
630,stark::A,חזק,нык
631,stark::A,חזק,базык
632,schwach::A,חלש,зәгыйфь
633,fett::A,שמן,симез
634,schlank::A,רזה,нәзек
635,hübsch::A,יפה תאר,чибәр
636,böse::A,רשע,усал
637,dumm::A,טפש,акылсыз
638,faul::A,עצלן,ялкау
639,faul::A,עצלן,иренчәк
640,fleißig::A,חרוץ,тырыш
