,Concept_ID,kn,kk
84,Schnee::N,ಹಿಮ,қар
85,Eis::N,ಮಂಜುಗಡ್ಡೆ,мұз
86,Frost::N,ಮಂಜು,суық
87,Kälte::N,ಹಿಮ,ызғар
88,Kälte::N,ಹಿಮ,суықтық
89,Hitze::N,ಉಷ್ಣ,аптап
90,Raureif::N,ಇಬ್ಬನಿ,қырау
91,Regenbogen::N,ಇಂದ್ರಚಾಪ,кемпірқосақ
92,Donner::N,ಗುಡುಗು,күн күркіреу
93,Strömung::N,ಪ್ರವಾಹ,ағын
94,Tropfen::N,ತೊಟ್ಟು,тамшы
95,Schaum::N,ನೊರೆ,көбік
96,Schmutz::N,ಕಸ,кір
97,See::N,ಸರೋವರ,көл
98,Sumpf::N,ಜೌಗುಸ್ಥಳ,саз
99,Moor::N,ಬಂಜರು ಭೂಮಿ,саз
100,Wiese::N,ಹುಲ್ಲುಗಾವಲು,шалғын
101,Wald::N,ಕಾಡು,орман
102,Hügel::N,ಗುಡ್ಡೆ,төбе
103,Hügel::N,ಗುಡ್ಡೆ,белес
104,Hügel::N,ಗುಡ್ಡೆ,белес-белес
105,Anhöhe::N,ದಿಬ್ಬ,дөң
106,Anhöhe::N,ದಿಬ್ಬ,адыр
107,Anhöhe::N,ದಿಬ್ಬ,қырат
108,Berg::N,ಮಲೆ,тау
109,Berg::N,ಪರ್ವತ,тау
110,Gipfel::N,ಶೃಂಗ,төбе
111,Höhle::N,ಗುಹೆ,үңгір
112,Abhang::N,ಇಳಿಜಾರು,бауыр
113,Quelle::N,ಮೂಲ,қайнар
114,Bach::N,ತೊರೆ,жылға
115,Fluss::N,ನದಿ,өзен
116,Ufer::N,ತೀರ,жиек
117,Küste::N,ದಂಡೆ,жиегі
118,Küste::N,ದಂಡೆ,жағалау
119,Festland::N,ಭೂಮಿ,құрылық
120,Meer::N,ಕಡಲು,теңіз
121,Bucht::N,ಖಾರಿ,шығанақ
122,Insel::N,ದ್ವೀಪ,арал
123,Blume::N,ಸುಮ,гүл
124,Gras::N,ಹುಲ್ಲು,от
125,Wurzel::N,ಬೇರು,түбір
126,Baum::N,ಮರ,ағаш
127,Baum::N,ಮರ,дарақ
128,Stamm::N,ಕಾಂಡ,сояу
129,Stamm::N,ಕಾಂಡ,оқпан
130,Rinde::N,ತೂಗಟಿ,қабық
131,Ast::N,ಶಾಖೆ,бұтақ
132,Zweig::N,ರೆಂಬೆ,шыбық
133,Blatt::N,ಎಲೆ,жапырақ
134,Birke::N,ಬರ್ಚ್ ಮರ,қайың
135,Kiefer[Baum]::N,ದೇವದಾರು ಮರ,қарағай
136,Weide[Baum]::N,ವಿಲೋಮರ,тал
137,Tanne::N,ಭದ್ರದಾರು,шырша
138,Horn::N,ಕೊಂಬು,мүйіз
139,Feder::N,ಪುಕ್ಕ,қаламұш
140,Fell::N,ರೋಮ,тері
141,Flügel::N,ರೆಕ್ಕೆ,қанат
142,Klaue::N,ಪಂಜ,тырнақ
143,Kralle::N,ಉಗುರು,аяқ
144,Schwanz::N,ಬಾಲ,құйрық
145,Ei::N,ಮೊಟ್ಟೆ,жұмыртқа
146,Nest::N,ಗೂಡು,ұя
147,Bau::N,ಅಡಗುದಾಣ,жатақ
148,Tier::N,ಪ್ರಾಣಿ,айуан
149,Tier::N,ಪ್ರಾಣಿ,жануар
150,Herde::N,ಗುಂಪು,пада
151,Kuh::N,ಹಸು,сиыр
152,Bulle::N,ಗೂಳಿ,өгіз
153,Pferd::N,ಕುದುರೆ,жылқы
154,Schaf::N,ಕುರಿ,қой
155,Schwein::N,ಹಂದಿ,шошқа
156,Hund::N,ನಾಯಿ,ит
157,Katze::N,ಬೆಕ್ಕು,мысық
158,Bär::N,ಕರಡಿ,аю
159,Eichhörnchen::N,ಉಡುತೆ,тиін
160,Elch::N,ಕಡವೆ,бұғы
161,Fuchs::N,ನರಿ,түлкі
162,Hase::N,ಮೊಲ,қоян
163,Maus::N,ಇಲಿ,қаптесер
164,Wolf::N,ತೋಳ,бөрі
165,Wolf::N,ತೋಳ,қасқыр
166,Vogel::N,ಪಕ್ಷಿ,құс
167,Schwarm::N,ಗುಂಪು,топ
168,Schwarm::N,ಗುಂಪು,үйір
169,Huhn::N,ಚಿಕ್,тауық
170,Huhn::N,ಚಿಕ್,мекиен
171,Hahn::N,ಹುಂಜ,әтеш
172,Hahn::N,ಹುಂಜ,қораз
173,Gans::N,ವರಟೆ,қаз
174,Adler::N,ಗರುಡ,бүркіт
175,Ente::N,ಬಾತು,үйрек
176,Eule::N,ಗೂಬೆ,жапалақ
177,Kranich::N,ಕೊಕ್ಕರ,тырна
178,Krähe::N,ಕಾಗೆ,қарға
179,Kuckuck::N,ಕೋಗಿಲೆ,көкек
180,Schwan::N,ಹಂಸಪಕ್ಷಿ,аққу
181,Fisch::N,ಮೀನು,балық
182,Barsch::N,ಪರ್ಚ್ ಮೀನು,алабұға
183,Hecht::N,ಪೈಕ್ ಮೀನು,шортан
184,Schlange[Tier]::N,ಹಾವು,жылан
185,Wurm::N,ಹುಳು,шұбалшаң
186,Spinne::N,ಊರ್ಣನಾಭ,өрмекші
187,Ameise::N,ಇರುವೆ,қүмырска
188,Laus::N,ಹೇನು,бит
189,Mücke::N,ಸೊಳ್ಳೆ,маса
190,Fliege::N,ನೊಣ,шыбын
191,Schmetterling::N,ಪತಂಗ,көбелек
192,Beere::N,ನಯವಣ್ಣು,жидек
193,Apfel::N,ಸೇಬು,алма
194,Pilz::N,ಅಣಬೆ,қозықұйрық
195,Pilz::N,ಅಣಬೆ,саңыраукулақ
196,Zwiebel::N,ನೀರುಳ್ಳಿ,жуа
197,Saat::N,ಬಿತ್ತ,тұқым
198,Korn::N,ಬೀಜ,дән
199,Heu::N,ಕರಡ,шөп
200,Schale::N,ಹೊಟ್ಟು,қабық
201,Schale::N,ಹೊಟ್ಟು,қабығы
202,Grube::N,ಗುಂಡಿ,ор
203,Falle::N,ಬೋನು,дұзақ
204,Falle::N,ಬೋನು,қақпан
205,Schlinge::N,ಉರುಲು,ілмек
206,Spur::N,ಜಾಡು,із
207,Asche::N,ಬೂದಿ,күл
208,Dreck::N,ಹೊಲಸು,былғаныш
209,Eisen::N,ಕಬ್ಬಿಣ,темір
210,Gold::N,ಚಿನ್ನ,алтын
211,Silber::N,ಬೆಳ್ಳಿ,күміс
212,Kohle::N,ಕಲ್ಲಿದ್ದಲು,көмір
213,Glas::N,ಗಾಜು,шыны
214,Lehm::N,ಜೇಡಿಮಣ್ಣು,балшық
215,Sand::N,ಮರಳು,құм
216,Mensch::N,ಪುರುಷ,адам
217,Mann::N,ಆಳು,еркек
218,Mann::N,ಆಳು,ер адам
219,Frau::N,ಹೆಣ್ಣು,бике
220,Frau::N,ಹೆಣ್ಣು,қатын
221,Kind::N,ಮಗು,бала
222,Kind::N,ಮಗು,перзент
223,Junge::N,ಹುಡುಗ,бала
224,Junge::N,ಹುಡುಗ,ер бала
225,Mädchen::N,ಹುಡುಗಿ,қыз
226,Familie::N,ಕುಟುಂಬ,жанұя
227,Großvater::N,ಅಜ್ಜ,ата
228,Großmutter::N,ಅಮ್ಮ,әже
229,Großmutter::N,ಅಮ್ಮ,әжей
230,Eltern::N,ಹೆತ್ತವರು,ата-аналар
231,Vater::N,ತಂದೆ,әке
232,Mutter::N,ಅಮ್ಮ,ана
233,Sohn::N,ಮಗ ,ұл
234,Tochter::N,ಮಗಳು,қызым
235,Bruder::N,ತಮ್ಮ,бауырым
236,Schwester::N,ತಂಗಿ,әпке
237,Onkel::N,ಸೋದರಮಾವ,көке
238,Onkel::N,ದೊಡ್ಡಪ್ಪ,көке
239,Tante::N,ಚಿಕ್ಕಮ್ಮ,тәте
240,Ehemann::N,ಗಂಡ,ер
241,Ehefrau::N,ಹೆಂಡತಿ,зайып
242,Freude::N,ನಲಿವು,қуаныш
243,Freude::N,ನಲಿವು,сүйініш
244,Freude::N,ನಲಿವು,шат-думан
245,Freude::N,ನಲಿವು,қуаныштылық
246,Gelächter::N,ನಗೆ,күлу
247,Glück::N,ಆನಂದ,бақыт
248,Glück::N,ಆನಂದ,бақыттылық
249,Kummer::N,ದುಃಖ,аза
250,Kummer::N,ದುಃಖ,қайғы
251,Kummer::N,ದುಃಖ,қасырет
252,Wunsch::N,ಬಯಕೆ,мүдде
253,Lust::N,ಇಷ್ಟ,тәбет
254,Lust::N,ಇಷ್ಟ,ынтызар
255,Lust::N,ಇಷ್ಟ,құштарлық
256,Geist::N,ಆತ್ಮ,рух
257,Gedanke::N,ಯೋಚನೆ,ой
258,Gedächtnis::N,ಸ್ಮರಣೆ,ес
259,Gedächtnis::N,ಸ್ಮರಣೆ,жады
260,Gedächtnis::N,ಸ್ಮರಣೆ,ақыл-ес
261,Verstand::N,ಮನಸ್ಸು,ақыл
262,Verstand::N,ಮನಸ್ಸು,парасат
263,Sinn::N,ಅರ್ಥ,мән
264,Sinn::N,ಅರ್ಥ,маныз
265,Sinn::N,ಅರ್ಥ,мағына
266,Sinn::N,ಅರ್ಥ,мән-мағына
267,Grund::N,ಕಾರಣ,себеп
268,Wahrheit::N,ಸತ್ಯ,рас
269,Gespräch::N,ಸಂಭಾಷಣೆ,әңгіме
270,Märchen::N,ಸುಳ್ಳು ಕಥೆ,ертеп
271,Märchen::N,ಸುಳ್ಳು ಕಥೆ,ертек
272,Erzählung::N,ಕಥೆ,әңгіме
273,Nachricht::N,ಸಂದೇಶ,хабар
274,Neuigkeit::N,ಸುದ್ದಿ,жаңалық
275,Name::N,ಹೆಸರು,ат
276,Name::N,ಹೆಸರು,атау
277,Rätsel::N,ಒಗಟು,жұмбақ
278,Rede::N,ಮಾತು,сөз
279,Sprache::N,ಭಾಷೆ,тіл
280,Stimme::N,ಧ್ವನಿ,үн
281,Stimme::N,ಧ್ವನಿ,әуен
282,Stimme::N,ಧ್ವನಿ,дауыс
283,Wort::N,ಮಾತು,сөз
284,Zeichen::N,ಗುರುತು,ишара
285,Ruf::N,ಕೂಗು,айғай
286,Lärm::N,ಸದ್ದು,айғай-шу
287,Lärm::N,ಸದ್ದು,айғай-ұйғай
288,Laut::N,ಶಬ್ದ,дыбыс
289,Laut::N,ಶಬ್ದ,дауыс
290,Ton::N,ನಾದ,әуен
291,Lied::N,ಗಾನ,ән
292,Lied::N,ಗಾನ,жыр
293,Lied::N,ಗಾನ,ән-жыр
294,Ruhe::N,ಶಾಂತಿ,тыныштық
295,Leute::N,ಮಂದಿ,кісілер
296,Volk::N,ಜನಾಂಗ,халық
297,Arbeit::N,ಕೆಲಸ,еңбек
298,Gast::N,ಅತಿಥಿ,қонақ
299,Gast::N,ಅತಿಥಿ,мейман
300,Geschenk::N,ಕಾಣಿಕೆ,қадия
301,Spiel::N,ಆಟ,ойын
302,Gesellschaft::N,ಸಂಗ,қауым
303,Gesellschaft::N,ಸಂಗ,жұртшылық
304,Hilfe::N,ಸಹಾಯ,жэрдем
305,Freund::N,ಸ್ನೇಹಿತ,дос
306,Kamerad::N,ಜೊತೆಗಾರ,дос-жар
307,Angelegenheit::N,ವಿಚಾರ,жұмыс
308,Anzahl::N,ಎಣಿಕೆ,сан
309,Anzahl::N,ಎಣಿಕೆ,саны
310,Art::N,ತರ,түр
311,Stück::N,ತುಂಡು,тілім
312,Teil::N,ಭಾಗ,үлес
313,Teil::N,ಭಾಗ,бөлшек
314,Hälfte::N,ಅರ್ಧ,жарты
315,Kreis::N,ವೃತ್ತ,шеңбер
316,Kreuz::N,ಶಿಲುಬೆ,крест
317,Linie::N,ರೀಖೆ,сызық
318,Strich::N,ಗೀಟು,сызық
319,Abstand::N,ಅಂತರ,ара
320,Abstand::N,ಅಂತರ,аралық
321,Entfernung::N,ದೂರ,аралық
322,Gegend::N,ವಿಸ್ತೀರ್ಣ,өңір
323,Platz::N,ಅಂತರ,орны
324,Ort::N,ಸ್ಥಳ,орын
325,Seite::N,ಪಕ್ಷ,жақ
326,Seite::N,ಪಕ್ಷ,бүйір
327,Mitte::N,ನಡು,ортасы
328,Gegenstand::N,ವಸ್ತು,зат
329,Gegenstand::N,ವಸ್ತು,нәрсе
330,Sache::N,ವಸ್ತು,бұйым
331,Rand::N,ಅಂಚು,шет
332,Rand::N,ಅಂಚು,шеті
333,Kante::N,ಅಂಚು,қыр
334,Kante::N,ಅಂಚು,қыры
335,Ecke::N,ಮೂಲೆ,қыры
336,Ecke::N,ಮೂಲೆ,бұрыш
337,Spitze::N,ತುದಿ,ұшы
338,Ende::N,ಕೊನೆ,аяқ
339,Ende::N,ಕೊನೆ,соңы
340,Loch::N,ತೂತು,тесік
341,Winkel::N,ಕೋನ,мүйіс
342,Muster::N,ನಮೂನೆ,мәнер
343,Größe::N,ಪ್ರಮಾಣ,ауқым
344,Größe::N,ಪ್ರಮಾಣ,көлемдік
345,Länge::N,ಉದ್ದ,бой
346,Länge::N,ಉದ್ದ,ұзындық
347,Höhe::N,ಎತ್ತರ,жоғарылық
348,Höhe::N,ಎತ್ತರ,биіктік
349,Gewicht::N,ತೂಕ,салмақ
350,Menge::N,ಮೊತ್ತ,мөлшер
351,Haufen::N,ರಾಶಿ,үйме
352,Haufen::N,ರಾಶಿ,үйінді
353,Reihe::N,ಸಾಲು,сап
354,Boot::N,ದೋಣಿ,қайық
355,Ruder::N,ಹುಟ್ಟು,ескек
356,Schlitten::N,ಚಕ್ರವಿಲ್ಲದ ಜಾರುಬಮ್ಡಿ,шана
357,Ski::N,ಜಾರುಪಟ್ಟಿ,шаңғы
358,Lagerfeuer::N,ಶಿಬಿರಾಗ್ನಿ,алау
359,Last::N,ಹೊರೆ,ауырлық
360,Last::N,ಹೊರೆ,ауыр зат
361,Gang::N,ತಿರುಗಾಟ,жүріс
362,Schritt::N,ಹೆಜ್ಜೆ,адым
363,Norden::N,ಉತ್ತರ,солтүстік
364,Norden::N,ಉತ್ತರ,терістік
365,Süden::N,ದಕ್ಷಿಣ,оңтүстік
366,Westen::N,ಪಶ್ಚಿಮ,батыс
367,Osten::N,ಮೂಡಲು,күншығыс
368,Holz::N,ಚೌಬೀನೆ,ағаш
369,Holz::N,ಚೌಬೀನೆ,сүрек
370,Brett::N,ಹಲಗೆ,тақта
371,Platte::N,ಹಲಗೆ,тақта
372,Stütze::N,ಆಸರೆ,тіреу
373,Stange::N,ಕಂಬ,қада
374,Stock::N,ಕೋಲು,сойыл
375,Stab::N,ದೊಣ್ಣೆ,сырық
376,Rohr::N,ನಳಿಕೆ,құбыр
377,Haus::N,ಮನೆ,үй
378,Heim::N,ಗೃಹ,үйлі
379,Heim::N,ಗೃಹ,шаңырақ
380,Ofen::N,ಒಲೆ,ошақ
381,Ofen::N,ಒಲೆ,пеш
382,Fußboden::N,ನೆಲ,еден
383,Tisch::N,ಮೇಜು,үстел
384,Stuhl::N,ಕುರ್ಚಿ,орындық
385,Wiege::N,ತೊಟ್ಟಿಲು,бесік
386,Bett::N,ಹಾಸಿಗೆ,кереует
387,Regal::N,ಬೀರು,сөре
388,Kiste::N,ಪಟ್ಟಿಗೆ,жәшік
389,Fenster::N,ಕಿಟಕಿ,терезе
390,Tür::N,ಬಾಗಿಲು,есік
391,Tor::N,ಹೆಬ್ಬಾಗಿಲು,дарбаза
392,Zaun::N,ಬೇಲಿ,дуал
393,Dach::N,ಮಾಳಿಗೆ,шатыр
394,Leiter::N,ಏಣಿ,саты
395,Leiter::N,ಏಣಿ,басқыш
396,Besen::N,ಪೊರಕೆ,сыпырғыш
397,Spaten::N,ಗುದ್ದಲಿ,күрек
398,Schaufel::N,ಸನಿಕೆ,қалақ
399,Gabel::N,ಕವಲು,аша
400,Gabel::N,ಕವಲು,шанышқы
401,Löffel::N,ಚಮಚ,қасық
402,Messer::N,ಚಾಕು,пышақ
403,Nagel::N,ಆಣಿ,мық
404,Nagel::N,ಆಣಿ,шеге
405,Netz::N,ಬಲೆ,керегекөз
406,Haken::N,ಕೊಂಡಿ,ілмек
407,Griff::N,ಹಿಡಿ,сап
408,Griff::N,ಹಿಡಿ,тұтқа
409,Schloss::N,ವೀಗ,құлып
410,Schloss::N,ವೀಗ,бекіткіш
411,Bild::N,ಚಿತ್ರ,сурет
412,Figur::N,ಆಕಾರ,тұлға
413,Puppe::N,ಗೊಂಬೆ,қуыршақ
414,Beutel::N,ಸಂಚಿ,қапшық
415,Bündel::N,ಕಟ್ಟು,байлам
416,Tasche::N,ಚೀಲ,дорба
417,Eimer::N,ಬಾನೆ,шелек
418,Deckel::N,ಮುಚ್ಚಳ,жапқыш
419,Geschirr::N,ಭಕ್ಷ್ಯಗಳು,ыдыс
420,Sack::N,ಮೂಟೆ,қап
421,Tasse::N,ಬಟ್ಟಲು,шыныаяқ
422,Topf::N,ಮಡಕೆ,кәстрөл
423,Kessel::N,ಕೆಟಲ್,қазан
424,Essen::N,ಊಟ,ас
425,Nahrung::N,ಆಹಾರ,ас
426,Nahrung::N,ಆಹಾರ,тамақ
427,Speise::N,ಊಟ,тағам
428,Fleisch::N,ಮಾಂಸ,ет
429,Getreide::N,ಧಾನ್ಯ,дәнді
430,Brei::N,ಗಂಜಿ,ботқа
431,Brot::N,ರೊಟ್ಟಿ,күлше
432,Scheibe::N,ಹೋಳು,тілім
433,Fett::N,ಕೊಬ್ಬು,май
434,Butter::N,ಬೆಣ್ಣೆ,май
435,Öl::N,ಎಣ್ಣೆ,май
436,Salz::N,ಉಪ್ಪು,тұз
437,Suppe::N,ಎಸರು,көже
438,Honig::N,ಮಧು,бал
439,Milch::N,ಹಾಲು,сүт
440,Tee::N,ಚಹ,шай
441,Leder::N,ಚಕ್ಕಳ,көн
442,Wolle::N,ಉಣ್ಣೆ,жүн
443,Stoff::N,ಬಟ್ಟೆ,мата
444,Stoff::N,ಬಟ್ಟೆ,кездеме
445,Nadel::N,ಸೂಜಿ,ине
446,Faden::N,ದಾರ,жіп
447,Knopf::N,ಗುಂಡು,түйме
448,Knoten::N,ಗಂಟು,түйін
449,Farbe::N,ಬಣ್ಣ,рең
450,Kleidung::N,ಅರಿವೆ,киім
451,Hemd::N,ಅಂಗಿ,жейде
452,Kragen::N,ಕುತ್ತಿಗೆಪಟ್ಟಿ,жаға
453,Ärmel::N,ತೋಳು,жең
454,Hose::N,ಇಜಾರ,шалбар
455,Gürtel::N,ಬೆಲ್ಟು,белбеу
456,Mütze::N,ಟೋಪಿ,қалпақ
457,Schuh::N,ಪಾದರಕ್ಷೆ,кебіс
458,Stiefel::N,ಬೂಟು,етік
459,Ring::N,ಉಂಗುರ,жүзік
460,Band::N,ರಿಬ್ಬನ್,таспа
461,Kamm::N,ಹಣಿಗೆ,тарақ
462,Spiegel::N,ಕನ್ನಡಿ,айна
463,Riemen::N,ಬಾರು,қайыс
464,Schnur::N,ಹುರಿ,жіп
465,Leine::N,ಹಗ್ಗ,тізгін
466,Decke::N,ಕಂಬಳಿ,көрпе
467,Kissen::N,ದಿಂಬು,жастық
468,Tuch::N,ಕೊರಳ ಬಟ್ಟೆ,орамал
469,Handtuch::N,ಚೌಕ,сүлгі
470,Kraft::N,ಬಲ,қуат
471,Kraft::N,ಬಲ,қарқын
472,Kraft::N,ಬಲ,әл-шама
473,Kraft::N,ಬಲ,әл-дәрмен
474,Stärke::N,ಶಕ್ತಿ,әл
475,Stärke::N,ಶಕ್ತಿ,күш
476,Gesundheit::N,ಆರೋಗ್ಯ,денсаулык
477,Krankheit::N,ರೋಗ,ауру
478,Schmerz::N,ನೋವು,ауру
479,Wunde::N,ಗಾಯ,зақым
480,Wunde::N,ಗಾಯ,жарақат
481,Fieber::N,ಜ್ವರ,безгек
482,Fieber::N,ಜ್ವರ,қалтырау
483,Fieber::N,ಜ್ವರ,қызу көтерілуі
484,Arznei::N,ಔಷಧ,дәрі
485,Arznei::N,ಔಷಧ,дәрі-дәрмек
486,Brücke::N,ಸೇತುವೆ,көпір
487,Brunnen::N,ಬಾವಿ,құдық
488,Weide::N,ಗೋಮಾಳ,өріс
489,Weide::N,ಗೋಮಾಳ,жайылым
490,Pfad::N,ದಾರಿ,жол
491,Weg::N,ಹಾದಿ,жол
492,Straße::N,ರಸ್ತೆ,жол
493,Dorf::N,ಹಳ್ಳಿ,ауыл
494,Stadt::N,ಪಟ್ಟಣ,қала
495,Stadt::N,ಪಟ್ಟಣ,шаһар
496,Brief::N,ಕಾಗದ,хат
497,Brief::N,ಕಾಗದ,жазу
498,Buch::N,ಪುಸ್ತಕ,кітап
499,Buchstabe::N,ಅಕ್ಷರ,әріп
500,Buchstabe::N,ಅಕ್ಷರ,қаріп
501,Zeitung::N,ವಾರ್ತಾಪತ್ರಿಕೆ,газет
502,Leben::N,ಜೀವನ,өмір
503,Leben::N,ಜೀವನ,тіршілік
504,Tod::N,ಮರಣ,опат
505,Grab::N,ಗೋರಿ,мола
506,Grab::N,ಗೋರಿ,мазар
507,Kirche::N,ಚರ್ಚು,шіркеу
508,Sünde::N,ಪಾಪ,күнә
509,Gott::N,ದೇವರು,алла
510,Gott::N,ದೇವರು,құдай
511,Gott::N,ದೇವರು,тәңірі
512,Gott::N,ದೇವರು,пәруардігер
513,Gott::N,ದೇವರು,жаратқан тәңірі
514,Arbeiter::N,ಕೆಲಸಗಾರ,жүмысшы
515,Chef::N,ದಣಿ,басшы
516,Chef::N,ದಣಿ,жұмыс басқарушысы
517,Meister::N,ಶಿಕ್ಷಕ,шебер
518,Meister::N,ಶಿಕ್ಷಕ,өнерпаз
519,Arzt::N,ವೈದ್ಯ,дәрігер
520,Lehrer::N,ಉಪಾಧ್ಯಾಯ,мұғалім
521,Geld::N,ಹಣ,пұл
522,Geschäft::N,ವಾಣಿಜ್ಯ,бизнес
523,Laden::N,ಅಂಗಡಿ,дүкен
524,Preis::N,ಬೆಲೆ,ақы
525,Preis::N,ಬೆಲೆ,құны
526,Preis::N,ಬೆಲೆ,нарық
527,Ware::N,ಸರಕು,тауар
528,Nutzen::N,ಲಾಭ,пайда
529,Reichtum::N,ಸಂಪತ್ತು,бақ-дәулет
530,Welt::N,ಭೂಲೋಕ,әлем
531,Welt::N,ಭೂಲೋಕ,жиһан
532,Land::N,ದೇಶ,аймақ
533,Staat::N,ರಾಜ್ಯ,мемлекет
534,König::N,ರಾಜ,патша
535,Macht::N,ಅಧಿಕಾರ,өкімет
536,Macht::N,ಅಧಿಕಾರ,қожалық
537,Grenze::N,ಗಡಿ,шек
538,Krieg::N,ಯುದ್ಧ,соғыс
539,Feind::N,ಶತ್ರು,жау
540,Feind::N,ಶತ್ರು,дұшпан
541,Gewalt::N,ಹಿಂಸೆ,зорлык
542,Gewalt::N,ಹಿಂಸೆ,зорлық-зомбылык
543,Kampf::N,ಹೋರಾಟ,күрес
544,Kampf::N,ಹೋರಾಟ,алыспақ
545,Bogen[Waffe]::N,ಬಿಲ್ಲು,саржа
546,Pfeil::N,ಅಂಬು,жебе
547,Gewehr::N,ಬಂದೂಕು,қару
548,Fehler::N,ತಪ್ಪು,әбес
549,Fehler::N,ತಪ್ಪು,қаталық
550,Lüge::N,ಸುಳ್ಳು,өтірік
551,Schaden::N,ಹಾನಿ,зиян
552,Schaden::N,ಹಾನಿ,зарар
553,Unglück::N,ಅಪಾಯ,пәле
554,Unglück::N,ಅಪಾಯ,қасырет
555,Unglück::N,ಅಪಾಯ,ауыртпалық
556,Schuld::N,ದೋಷ,айыптылық
557,Alter::N,ಮುಪ್ಪು,жас
558,Alter::N,ಮುಪ್ಪು,жас шамасы
559,Schluss::N,ಮುಕ್ತಾಯ,ада
560,Schluss::N,ಮುಕ್ತಾಯ,бітуі
561,Zeit::N,ಕಾಲ,уақыт
562,Tag::N,ದಿನ,күн
563,Morgen::N,ಮುಂಜಾನೆ,таң
564,Morgen::N,ಮುಂಜಾನೆ,таңертең
