,Concept_ID,ml,tr
48,Herz::N,ഹൃദയം,kalp
49,Herz::N,ഹൃദയം,yürek
50,Magen::N,വയർ,mide
51,Leber::N,കരൾ,karaciğer
52,Atem::N,ശ്വാസം,nefes
53,Hunger::N,വിശപ്പ്,açlık
54,Träne::N,കണ്ണീർ,gözyaşı
55,Geschmack::N,രുചി,tat
56,Geschmack::N,രുചി,lezzet
57,Geruch::N,ഗന്ധം,koku
58,Schlaf::N,ഉറകും,uyku
59,Traum::N,സ്വപ്നം,düş
60,Traum::N,സ്വപ്നം,rüya
61,Himmel::N,ആകാശം,gök
62,Sonne::N,സൂര്യൻ,güneş
63,Mond::N,ചന്ദ്രൻ,ay
64,Stern::N,നക്ഷത്രം,yıldız
65,Luft::N,കാറ്റ്,hava
66,Wind::N,കാറ്റ്,yel
67,Wind::N,കാറ്റ്,rüzgâr
68,Welle::N,തിരമാല,dalga
69,Wasser::N,വെള്ളം,su
70,Stein::N,ശില,taş
71,Stein::N,കല്ല്,taş
72,Boden::N,തറ,yer
73,Boden::N,തറ,zemin
74,Boden::N,നിലം,yer
75,Boden::N,നിലം,zemin
76,Erde::N,മണ്ണ്,toprak
77,Staub::N,പൊടി,toz
78,Rauch::N,പുക,duman
79,Funke::N,തീപ്പൊരി,kıvılcım
80,Feuer::N,തീ,ateş
81,Licht::N,വിളക്ക്,ışık
82,Licht::N,സൂര്യപ്രകാശം,ışık
83,Schatten::N,തണൽ,gölge
84,Wetter::N,കാലാവസ്ഥ,hava
85,Nebel::N,മൂടൽമഞ്ഞ്,pus
86,Wolke::N,മേഘം,bulut
87,Regen::N,മഴ,yağmur
88,Schnee::N,മഞ്ഞ്,kar
89,Eis::N,ഐസ്,buz
90,Frost::N,മൂടൽമഞ്ഞ്,don
91,Kälte::N,തണുപ്പ്,soğukluk
92,Hitze::N,ചൂട്,sıcaklık
93,Raureif::N,കോടമഞ്ഞ്,kırç
94,Regenbogen::N,മഴവില്ല്,gökkuşağı
95,Donner::N,ഇടി,gök gürlemesi
96,Strömung::N,പ്രവാഹം,akıntı
97,Strömung::N,പ്രവാഹം,cereyan
98,Tropfen::N,തുള്ളി,damla
99,Schaum::N,നുര,köpük
100,Schmutz::N,അഴുക്ക്,çamur
101,Schmutz::N,അഴുക്ക്,pislik
102,See::N,തടാകം,göl
103,Sumpf::N,ചതുപ്പുനിലം,batak
104,Moor::N,പാഴ്നിലം,cılgıt
105,Wiese::N,പുൽത്തകിടി,çimen
106,Wald::N,വനം,koru
107,Wald::N,വനം,orman
108,Wald::N,കാട്,koru
109,Wald::N,കാട്,orman
110,Hügel::N,കുന്ന്,tepe
111,Anhöhe::N,ഉയർന്ന ഭൂമി,tümsek
112,Anhöhe::N,ഉയർന്ന ഭൂമി,yükseklik
113,Berg::N,പർവ്വതം,dağ
114,Gipfel::N,ഉച്ചകോടി,zirve
115,Höhle::N,ഗുഹ,in
116,Höhle::N,ഗുഹ,mağara
117,Abhang::N,ചരിവ്,bayır
118,Quelle::N,ഉറവിടം,pınar
119,Quelle::N,ഉറവിടം,kaynak
120,Bach::N,അരുവി,çay
121,Bach::N,അരുവി,dere
122,Fluss::N,നദി,nehir
123,Ufer::N,തീരം,kıyı
124,Ufer::N,തീരം,sahil
125,Küste::N,കടൽത്തീരം,kıyı
126,Küste::N,കടൽത്തീരം,sahil
127,Festland::N,കര,kara
128,Meer::N,കടൽ,deniz
129,Bucht::N,ഉൾക്കടല്,koy
130,Bucht::N,ഉൾക്കടല്,körfez
131,Insel::N,ദ്വീപ്,ada
132,Blume::N,പൂവ്,çiçek
133,Gras::N,പുല്ല്,ot
134,Gras::N,പുല്ല്,çim
135,Wurzel::N,വേര്,kök
136,Baum::N,മരം,ağaç
137,Stamm::N,തായ്ത്തടി,gövde
138,Rinde::N,പട്ട,kabuk
139,Ast::N,ശാഖ,dal
140,Ast::N,ശാഖ,budak
141,Zweig::N,ശാഖ,dal
142,Blatt::N,ഇല,yaprak
143,Birke::N,പൂവരശ്,huş
144,Kiefer[Baum]::N,പൈൻമരം,çam
145,Weide[Baum]::N,വില്ലോ,söğüt
146,Tanne::N,ദേവദാരു,çam
147,Tanne::N,ദേവദാരു,köknar
148,Horn::N,മൃഗത്തിൻറെ കൊമ്പ്,boynuz
149,Feder::N,തൂവൽ,tüy
150,Fell::N,മൃദുരോമം,post
151,Flügel::N,ചിറക്,kanat
152,Klaue::N,നഖം,pençe
153,Kralle::N,നഖം,tırnak
154,Schwanz::N,വാൽ,kuyruk
155,Ei::N,മുട്ട,yumurta
156,Nest::N,കൂട്,yuva
157,Bau::N,മാളം,in
158,Tier::N,മൃഗം,hayvan
159,Herde::N,കൂട്ടം,sürü
160,Kuh::N,പശു,inek
161,Bulle::N,കാള,boğa
162,Pferd::N,കുതിര,at
163,Pferd::N,കുതിര,beygir
164,Schaf::N,ആട്,koyun
165,Schwein::N,പന്നി,domuz
166,Hund::N,നായ്,it
167,Hund::N,നായ്,köpek
168,Katze::N,പൂച്ച,kedi
169,Bär::N,കരടി,ayı
170,Eichhörnchen::N,അണ്ണാൻ,sincap
171,Elch::N,കടമാന്,büyük kuzey geyiği
172,Fuchs::N,കുറുക്കൻ,tilki
173,Hase::N,മുയൽ,tavşan
174,Maus::N,ചുണ്ടലി,fare
175,Maus::N,ചുണ്ടലി,sıçan
176,Wolf::N,ചെന്നായ,kurt
177,Vogel::N,പക്ഷി,kuş
178,Schwarm::N,കൂട്ടം,sürü
179,Huhn::N,കോഴി,tavuk
180,Hahn::N,പൂവൻകോഴി,horoz
181,Gans::N,അരയന്നം,kaz
182,Adler::N,കഴുകൻ,kartal
183,Adler::N,കഴുകൻ,karakuş
184,Ente::N,താറാവ്,ördek
185,Eule::N,മൂങ്ങ,baykuş
186,Kranich::N,കൊക്ക്,turna
187,Krähe::N,കാക്ക,karga
188,Kuckuck::N,കുയിൽ,guguk
189,Schwan::N,അരയന്നം,kuğu
190,Fisch::N,മത്സ്യം,balık
191,Barsch::N,ഒരിനം മത്സ്യം,hani
192,Barsch::N,ഒരിനം മത്സ്യം,levrek
193,Hecht::N,ഒരു മത്സ്യം,turnabalığı
194,Schlange[Tier]::N,പാമ്പ്,yılan
195,Wurm::N,വിര,kurt
196,Wurm::N,വിര,solucan
197,Spinne::N,ചിലന്തി,örümcek
198,Ameise::N,ഉറുമ്പ്,karınca
199,Laus::N,പേന്,bit
200,Mücke::N,മശകം,sivrisinek
201,Fliege::N,ഈച്ച,sinek
202,Schmetterling::N,ചിത്രശലഭം,kelebek
203,Beere::N,ബെറി,tane
204,Apfel::N,ആപ്പിൾ,elma
205,Pilz::N,കൂൺ,mantar
206,Zwiebel::N,സവാള,soğan
207,Saat::N,വിത്ത്,ekin
208,Korn::N,ധാന്യം,tane
209,Heu::N,വയ്ക്കോൽ,kuru ot
210,Schale::N,തൊലി,kabuk
211,Grube::N,കുഴി,çukur
212,Falle::N,കെണി,tuzak
213,Schlinge::N,കുടുക്ക്,ilmik
214,Spur::N,ചുവട്,iz
215,Asche::N,ചാരം,kül
216,Dreck::N,അഴുക്ക്,pislik
217,Eisen::N,ഇരുമ്പ്,demir
218,Gold::N,സ്വർണ്ണം,altın
219,Silber::N,വെള്ളി,gümüş
220,Kohle::N,കൽക്കരി,kömür
221,Glas::N,ഗ്ലാസ്,cam
222,Lehm::N,കളിമണ്ണ്,balçık
223,Sand::N,മണൽ,kum
224,Mensch::N,മനുഷ്യർ,insan
225,Mann::N,പുരുഷൻ,adam
226,Mann::N,പുരുഷൻ,erkek
227,Frau::N,സ്ത്രീ,bayan
228,Kind::N,കുഞ്ഞ്,çocuk
229,Junge::N,ആൺകുട്ടി,erkek çocuk
230,Mädchen::N,പെൺകുട്ടി,kız
231,Familie::N,കുടുംബം,aile
232,Großvater::N,അപ്പൂപ്പൻ,dede
233,Großvater::N,അപ്പൂപ്പൻ,büyükbaba
234,Großmutter::N,അമ്മുമ്മ,nine
235,Großmutter::N,അമ്മുമ്മ,büyükanne
236,Eltern::N,മാതാപിതാക്കള്,ebeveyn
237,Eltern::N,മാതാപിതാക്കള്,ana baba
238,Vater::N,അച്ഛൻ,ata
239,Vater::N,അച്ഛൻ,baba
240,Mutter::N,അമ്മ,ana
241,Mutter::N,അമ്മ,anne
242,Sohn::N,മകൻ,oğul
243,Tochter::N,മകൾ,kız
244,Tochter::N,മകൾ,kız evlât
245,Bruder::N,ചേട്ടൻ,abi
246,Bruder::N,ചേട്ടൻ,erkek kardeş
247,Bruder::N,അനിയൻ,abi
248,Bruder::N,അനിയൻ,erkek kardeş
249,Schwester::N,ചേച്ചി,abla
250,Schwester::N,ചേച്ചി,kız kardeş
251,Schwester::N,അനിയത്തി,abla
252,Schwester::N,അനിയത്തി,kız kardeş
253,Onkel::N,അമ്മാവൻ,dayı
254,Tante::N,മാമി,hala
255,Tante::N,മാമി,teyze
256,Ehemann::N,ഭർത്താവ്,koca
257,Ehefrau::N,ഭാര്യ,karı
258,Freude::N,ആഹ്ലാദം,neşe
259,Freude::N,ആഹ്ലാദം,sevinç
260,Gelächter::N,ചിരിയുടെ ശബ്ദം,gülme
261,Gelächter::N,ചിരിയുടെ ശബ്ദം,kahkaha
262,Glück::N,സന്തോഷം,mutluluk
263,Glück::N,സന്തുഷ്ടി,mutluluk
264,Kummer::N,ശോകം,dert
265,Kummer::N,ശോകം,keder
266,Wunsch::N,ആഗ്രഹം,arzu
267,Wunsch::N,ആഗ്രഹം,istek
268,Lust::N,ആഗ്രഹം,arzu
269,Lust::N,ആഗ്രഹം,heves
270,Geist::N,ചുറുചുറുക്ക്,tin
271,Gedanke::N,ചിന്ത,fikir
272,Gedanke::N,ചിന്ത,düşünce
273,Gedächtnis::N,ഓർമ്മശക്തി,bellek
274,Verstand::N,മനസ്സ്,zekâ
275,Sinn::N,അർത്ഥം,anlam
276,Grund::N,കാരണം,sebep
277,Wahrheit::N,സത്യം,doğruluk
278,Wahrheit::N,സത്യം,gerçeklik
279,Gespräch::N,സല്ലാപം,görüşme
280,Märchen::N,യക്ഷിക്കഥ,masal
281,Erzählung::N,കഥ,öykü
282,Erzählung::N,കഥ,hikâye
283,Nachricht::N,സന്ദേശം,haber
284,Neuigkeit::N,വാർത്ത,haber
285,Name::N,പേര്,ad
286,Name::N,പേര്,isim
287,Rätsel::N,പ്രഹേളിക,bilmece
288,Rede::N,സംസാരം,söylev
289,Rede::N,സംസാരം,konuşma
290,Sprache::N,ഭാഷ,dil
291,Sprache::N,ഭാഷ,lisan
292,Stimme::N,സ്വരം,ses
293,Wort::N,വാക്ക്,kelime
294,Zeichen::N,സംജ്ഞ,işaret
295,Ruf::N,വിളി,çağırma
296,Lärm::N,ആരവം,şamata
297,Lärm::N,ആരവം,gürültü
298,Laut::N,ശബ്ദം,ses
299,Ton::N,സ്വരഭേദം,ses
300,Lied::N,പാട്ട്,türkü
301,Ruhe::N,നിശ്ചലത,sakinlik
302,Leute::N,ജനങ്ങൾ,halk
303,Leute::N,ജനങ്ങൾ,insanlar
304,Volk::N,രാഷ്ടം,ulus
305,Volk::N,രാഷ്ടം,millet
306,Arbeit::N,ജോലി,iş
307,Arbeit::N,ജോലി,çalışma
308,Gast::N,അതിലി,konuk
309,Gast::N,അതിലി,misafir
310,Geschenk::N,സമ്മാനം,hediye
311,Geschenk::N,സമ്മാനം,armağan
312,Spiel::N,കളി,oyun
313,Gesellschaft::N,കൂട്ടായ്മ,çevre
314,Gesellschaft::N,കൂട്ടായ്മ,arkadaşlık
315,Hilfe::N,സഹായം,yardım
316,Freund::N,സുഹൃത്ത്,dost
317,Freund::N,സുഹൃത്ത്,arkadaş
318,Kamerad::N,കൂട്ടാളി,arkadaş
319,Angelegenheit::N,കാര്യം,iş
320,Angelegenheit::N,കാര്യം,husus
321,Anzahl::N,എണ്ണം,sayı
322,Art::N,തരം,çeşit
323,Stück::N,കഷണം,tane
324,Stück::N,കഷണം,parça
325,Teil::N,ഭാഗം,kısım
326,Hälfte::N,പകുതി,yarı
327,Kreis::N,വൃത്തം,daire
328,Kreuz::N,കുരിശടയാളം,haç
329,Linie::N,വര,hat
330,Linie::N,വര,çizgi
331,Linie::N,രേഖ,hat
332,Linie::N,രേഖ,çizgi
333,Strich::N,പക്ഷാഘാതം,çizgi
334,Abstand::N,വിടവ്,aralık
335,Entfernung::N,അകലം,mesafe
336,Entfernung::N,അകലം,uzaklık
337,Gegend::N,പ്രദേശം,yöre
338,Platz::N,ഇടം,yer
339,Ort::N,സ്ഥലം,yer
340,Seite::N,വശം,yan
341,Seite::N,വശം,taraf
342,Mitte::N,മധ്യസ്ഥാനം,orta
343,Mitte::N,മധ്യസ്ഥാനം,merkez
344,Gegenstand::N,സാധനം,şey
345,Sache::N,വസ്തു,iş
346,Sache::N,വസ്തു,şey
347,Rand::N,തൊങ്ങൽ,kenar
348,Kante::N,അറ്റം,kenar
349,Ecke::N,മൂല,köşe
350,Spitze::N,അഗ്രം,uç
351,Spitze::N,അഗ്രം,baş
352,Ende::N,അവസാനം,uç
353,Loch::N,ദ്വാരം,oyuk
354,Loch::N,ദ്വാരം,delik
355,Winkel::N,കോൺ,köşe
356,Muster::N,ക്രമം,örnek
357,Größe::N,വലുപ്പം,büyüklük
358,Länge::N,നീളം,uzunluk
359,Höhe::N,ഉയരം,yükseklik
360,Gewicht::N,കട്ടി,ağırlık
361,Menge::N,അളവ്,miktar
362,Haufen::N,കൂമ്പാരം,küme
363,Haufen::N,കൂമ്പാരം,yığın
364,Reihe::N,വരി,sıra
365,Boot::N,ബോട്ട്,kayık
366,Boot::N,ബോട്ട്,sandal
367,Ruder::N,പങ്കായം,kürek
368,Schlitten::N,ഉരുളില്ലാവണ്ടി,kızak
369,Ski::N,ഹിമപാദുകം,kayak
370,Lagerfeuer::N,തീ,kamp ateşi
371,Last::N,ഭാരം,yük
372,Gang::N,നടത്തം,gidiş
373,Gang::N,നടത്തം,yürüyüş
374,Schritt::N,ചുവട്,adım
375,Norden::N,വടക്ക്,kuzey
376,Süden::N,തെക്ക്,güney
377,Westen::N,പടിഞ്ഞാറ്,batı
378,Osten::N,കിഴക്ക്,doğu
379,Holz::N,തടി,ağaç
380,Holz::N,തടി,tahta
381,Brett::N,ബോർഡ്,tahta
382,Platte::N,തകിട്,levha
383,Stütze::N,താങ്ങ്,dayak
384,Stütze::N,താങ്ങ്,destek
385,Stange::N,കമ്പ്,çubuk
386,Stock::N,വടി,sopa
387,Stock::N,വടി,değnek
388,Stab::N,കുറുവടി,sırık
389,Stab::N,കുറുവടി,baston
390,Rohr::N,കുഴൽ,boru
391,Haus::N,വീട്,ev
392,Heim::N,വീട്,ev
393,Heim::N,വീട്,yurt
394,Ofen::N,സ്റ്റൌ,soba
395,Fußboden::N,തറ,taban
396,Fußboden::N,തറ,döşeme
397,Tisch::N,മേശ,masa
398,Stuhl::N,കസേര,iskemle
399,Stuhl::N,കസേര,sandalye
400,Wiege::N,തൊട്ടിൽ,beşik
401,Bett::N,കിടക്ക,yatak
402,Regal::N,ഷെൽഫ്,raf
403,Kiste::N,പെട്ടി,sandık
404,Fenster::N,ജനൽ,pencere
405,Tür::N,വാതിൽ,kapı
406,Tor::N,കവാടം,kapı
407,Zaun::N,വേലി,çit
408,Dach::N,മേൽക്കുര,dam
409,Dach::N,മേൽക്കുര,çatı
410,Leiter::N,ഏണി,merdiven
411,Besen::N,ചൂല്,süpürge
412,Spaten::N,തൂമ്പ,bel
413,Schaufel::N,തൂമ്പ,kürek
414,Gabel::N,മുൾക്കത്തി,çatal
415,Löffel::N,സ്പൂൺ,kaşık
416,Messer::N,കത്തി,bıçak
417,Nagel::N,ആണി,çivi
418,Netz::N,വല,ağ
419,Haken::N,കൊളുത്ത്,çengel
420,Griff::N,കൈപ്പിടി,kulp
421,Griff::N,കൈപ്പിടി,tutamak
422,Schloss::N,പൂട്ട്,kilit
423,Bild::N,ചിത്രം,imaj
424,Bild::N,ചിത്രം,resim
425,Figur::N,കണക്ക്,şekil
426,Figur::N,കണക്ക്,heykel
427,Puppe::N,പാവ,kukla
428,Beutel::N,ബാഗ്,kese
429,Beutel::N,ബാഗ്,torba
430,Bündel::N,കെട്ട്,deste
431,Tasche::N,ബാഗ്,çanta
432,Eimer::N,ബക്കറ്റ്,kova
433,Deckel::N,ഉറ,kapak
434,Geschirr::N,പിഞ്ഞാണം,kap kacak
435,Sack::N,ചാക്ക്,torba
436,Tasse::N,കപ്പ്,fincan
437,Topf::N,പാത്രം,tencere
438,Kessel::N,കെറ്റ്ല്,kazan
439,Essen::N,ആഹാരസമയം,yemek
440,Nahrung::N,ഭക്ഷണം,gıda
441,Nahrung::N,ഭക്ഷണം,besin
442,Speise::N,ഡിഷ്,yemek
443,Fleisch::N,മാംസം,et
444,Getreide::N,ചോളം,tahıl
445,Getreide::N,ചോളം,hububat
446,Brei::N,കഞ്ഞി,ezme
447,Brot::N,റോട്ടി,ekmek
448,Scheibe::N,തുണ്ട്,dilim
449,Fett::N,കൊഴുപ്പ്,yağ
450,Butter::N,വെണ്ണ,tereyağı
451,Öl::N,എണ്ണ,yağ
452,Öl::N,എണ്ണ,akar yağ
453,Salz::N,ഉപ്പ്,tuz
454,Suppe::N,സൂപ്പ്,çorba
455,Honig::N,തേൻ,bal
456,Milch::N,പാൽ,süt
457,Tee::N,ചായ,çay
458,Leder::N,തുകൽ,deri
459,Leder::N,തുകൽ,meşin
460,Wolle::N,കമ്പിളി,yün
461,Stoff::N,തുണി,kumaş
462,Nadel::N,സൂചി,iğne
463,Faden::N,നൂല്,tire
464,Faden::N,നൂല്,iplik
465,Knopf::N,ബട്ടൺ,düğme
466,Knoten::N,കുരുക്ക്,düğüm
467,Farbe::N,പെയിൻറ്,boya
468,Kleidung::N,വസ്ത്രങ്ങൾ,giyim
469,Hemd::N,ഷർട്ട്,gömlek
470,Kragen::N,കുപ്പായക്കഴുത്ത്,yaka
471,Ärmel::N,കുപ്പായക്കൈ,yen
472,Ärmel::N,കുപ്പായക്കൈ,elbise kolu
473,Hose::N,ട്രൌസർ,pantolon
474,Gürtel::N,ബെൽറ്റ്,kuşak
475,Mütze::N,തൊപ്പി,bere
476,Mütze::N,തൊപ്പി,kasket
477,Schuh::N,ഷൂ,kundura
478,Schuh::N,ഷൂ,ayakkabı
479,Stiefel::N,ബൂട്ട്,çizme
480,Ring::N,മോതിരം,yüzük
481,Band::N,റിബൺ,bağ
482,Band::N,റിബൺ,şerit
483,Kamm::N,ചീപ്പ്,tarak
484,Spiegel::N,കണ്ണാടി,ayna
485,Riemen::N,സ്ട്രാപ്പ്,kayış
486,Schnur::N,ചരട്,ip
487,Schnur::N,ചരട്,sicim
488,Leine::N,കെട്ടാനുള്ള തോൽവാർ,kayış
489,Decke::N,പുതപ്പ്,örtü
490,Decke::N,പുതപ്പ്,yorgan
491,Kissen::N,തലയിണ,yastık
492,Tuch::N,സ്കാർഫ്,bez
493,Handtuch::N,തോർത്ത്,havlu
494,Kraft::N,ശക്തി,güç
495,Kraft::N,ശക്തി,kuvvet
496,Stärke::N,ശക്തി,kuvvet
497,Gesundheit::N,ആരോഗ്യം,sağlık
498,Krankheit::N,അസുഖം,hastalık
499,Schmerz::N,വേദന,ağrı
500,Schmerz::N,വേദന,sancı
501,Wunde::N,മുറിവ്,yara
502,Fieber::N,പനി,ateş
503,Arznei::N,മരുന്ന്,ilâç
504,Brücke::N,പാലം,köprü
505,Brunnen::N,കിണർ,kuyu
506,Brunnen::N,കിണർ,çeşme
507,Weide::N,മേച്ചൽ,otlak
508,Pfad::N,വഴി,patika
509,Pfad::N,വഴി,keçiyolu
510,Weg::N,വഴി,yol
511,Straße::N,റോഡ്,yol
512,Straße::N,റോഡ്,cadde
513,Dorf::N,ഗ്രാമം,köy
514,Stadt::N,നഗരം,kent
515,Stadt::N,നഗരം,şehir
516,Brief::N,കത്ത്,mektup
517,Buch::N,പുസ്തകം,kitap
518,Buchstabe::N,അക്ഷരം,harf
519,Zeitung::N,വർത്തമാനപത്രം,gazete
520,Leben::N,ജീവൻ,hayat
521,Tod::N,മരണം,ölüm
522,Grab::N,ശവക്കുഴി,kabir
523,Kirche::N,പള്ളി,kilise
524,Sünde::N,പാപം,günah
525,Gott::N,ദൈവം,tanrı
526,Arbeiter::N,ജോലിക്കാരൻ,işçi
527,Chef::N,മേധാവി,şef
528,Chef::N,മേധാവി,müdür
529,Meister::N,യജമാനൻ,usta
530,Arzt::N,ഡോക്ടർ,hekim
531,Arzt::N,ഡോക്ടർ,doktor
532,Lehrer::N,അധ്യാപകൻ,hoca
533,Lehrer::N,അധ്യാപകൻ,öğretmen
534,Geld::N,പണം,para
535,Geschäft::N,ബിസിനസ്,ticaret
536,Laden::N,കട,dükkân
537,Preis::N,വില,fiyat
538,Ware::N,ചരക്ക്,mal
539,Nutzen::N,ലാഭം,fayda
540,Reichtum::N,ധനം,servet
541,Reichtum::N,ധനം,zenginlik
542,Welt::N,ലോകം,dünya
543,Land::N,രാജ്യം,ülke
544,Staat::N,രാജ്യം,devlet
545,König::N,രാജാവ്,kral
546,Macht::N,അധികാരം,kudret
547,Macht::N,അധികാരം,iktidar
548,Grenze::N,അതിർത്തി,had
549,Grenze::N,അതിർത്തി,sınır
550,Krieg::N,യുദ്ധം,savaş
551,Feind::N,ശത്രു,düşman
552,Gewalt::N,അക്രമം,zor
553,Gewalt::N,അക്രമം,cebir
554,Kampf::N,പോരാട്ടം,savaş
555,Bogen[Waffe]::N,വില്ല്,yay
556,Pfeil::N,അമ്പ്,ok
557,Gewehr::N,തോക്ക്,tüfek
558,Fehler::N,പിശക്,hata
559,Fehler::N,പിശക്,yanlış
560,Lüge::N,കള്ളം,yalan
561,Schaden::N,കേടുപാട്,zarar
562,Unglück::N,ദൌർഭാഗ്യം,felâket
563,Unglück::N,ദൌർഭാഗ്യം,talihsizlik
564,Schuld::N,തെറ്റ്,suç
565,Schuld::N,തെറ്റ്,kabahat
566,Alter::N,വയസ്സ്,yaş
567,Schluss::N,നിഗമനം,son
568,Zeit::N,സമയം,zaman
569,Tag::N,ദിവസം,gün
570,Morgen::N,പ്രഭാതം,sabah
571,Mittag::N,ഉച്ച,öğle
572,Abend::N,സായാഹ്നം,akşam
573,Nacht::N,രാത്രി,gece
574,Woche::N,ആഴ്ച,hafta
575,Monat::N,മാസം,ay
576,Jahr::N,വർഷം,yıl
577,Jahr::N,വർഷം,sene
578,Frühling::N,വസന്തം,ilkbahar
579,Sommer::N,വേനൽ,yaz
580,Herbst::N,ശരത്കാലം,güz
581,Herbst::N,ശരത്കാലം,sonbahar
582,Winter::N,ശൈത്യം,kış
583,Januar::N,ജനുവരി,ocak
584,Februar::N,ഫെബ്രുവരി,şubat
585,März::N,മാർച്ച്,mart
586,April::N,ഏപ്രിൾ മാസം,nisan
587,Mai::N,മെയ് മാസം,mayıs
588,Juni::N,ജൂൺ,haziran
589,Juli::N,ജൂലൈ,temmuz
590,August::N,ആഗസ്റ്റ്,ağustos
591,September::N,സെപ്തംബർ,eylül
592,Oktober::N,ഒക്ടോബർ,ekim
593,November::N,നവംബർ,kasım
594,Dezember::N,ഡിസംബർ,aralık
595,Montag::N,തിങ്കളാഴ്ച,pazartesi
596,Dienstag::N,ചൊവ്വ,salı
597,Mittwoch::N,ബുധനാഴ്ച,çarşamba
598,Donnerstag::N,വ്യാഴാഴ്ച,perşembe
599,Freitag::N,വെള്ളിയാഴ്ച,cuma
600,Samstag::N,ശനിയാഴ്ച,cumartesi
601,Sonntag::N,ഞായറാഴ്ച,pazar
602,groß::A,വലിയ,büyük
603,klein::A,ചെറിയ,ufak
604,klein::A,ചെറിയ,küçük
605,lang::A,നീണ്ട,uzun
606,kurz::A,ഹ്രസ്വമായ,kısa
607,breit::A,വിശാലമായ,enli
608,breit::A,വിശാലമായ,geniş
609,schmal::A,ഇടുങ്ങിയ,dar
610,dicht::A,നിബിഡമായ,sık
611,dicht::A,നിബിഡമായ,yoğun
612,dick[Gegenstand]::A,തടിച്ച,kalın
613,dick[Gegenstand]::A,തടിച്ച,iri
614,dünn::A,മെലിഞ്ഞ,ince
615,fein::A,നേർത്ത,ince
616,fein::A,നേർത്ത,narin
617,fest::A,ഉറപ്പുള്ള,sabit
618,fest::A,ഉറപ്പുള്ള,sağlam
619,flach::A,പരന്ന,düz
620,flach::A,പരന്ന,yassı
621,glatt::A,മിനുസമുള്ള,düz
622,hart::A,കട്ടിയുള്ള,katı
623,weich::A,മൃദുവായ,yumuşak
624,rund::A,വട്ടത്തിലുള്ള,yuvarlak
625,spitz::A,മുനയുള്ള,sivri
626,scharf::A,മൂർച്ചയുള്ള,keskin
627,stumpf::A,തുറന്നടിക്കുന്ന,kör
628,schwer::A,ഭാരമുള്ള,ağır
629,schön::A,മനോഹരമായ,güzel
630,heiß::A,ചൂടുള്ള,kızgın
631,warm::A,ചൂടുള്ള,sıcak
632,kalt::A,തണുത്ത,soğuk
633,kühl::A,തണുപ്പുള്ള,serin
634,frisch::A,ശുദ്ധമായ,taze
635,feucht::A,ഈറനുള്ള,nemli
636,feucht::A,ഈറനുള്ള,rutubetli
637,nass::A,നനഞ്ഞ,yaş
638,nass::A,നനഞ്ഞ,ıslak
639,trocken::A,വരണ്ട,kuru
640,voll::A,നിറയെ,dolu
641,voll::A,നിറയെ,dolmuş
642,leer::A,ഒഴിഞ്ഞ,boş
643,offen::A,തുറന്ന,açık
644,geschlossen::A,അടച്ച,kapalı
645,sauber::A,വൃത്തിയുള്ള,pak
646,sauber::A,വൃത്തിയുള്ള,temiz
647,schmutzig::A,അഴുക്കുനിറഞ്ഞ,pis
648,schmutzig::A,അഴുക്കുനിറഞ്ഞ,kirli
649,roh::A,അസംസ്കൃതമായ,çiğ
