,Concept_ID,ja,ta
85,Regenbogen::N,虹,வானவில்
86,Donner::N,雷,இடி
87,Strömung::N,流れ,நீரோட்டம்
88,Tropfen::N,滴,துளி
89,Schaum::N,泡,நுரை
90,Schmutz::N,汚れ,அழுக்கு
91,See::N,湖,ஏரி
92,Sumpf::N,沼,சதுப்பு நிலம்
93,Moor::N,湿原,முட்புதற்காடு
94,Wiese::N,草原,பசும் புல்தரை
95,Wald::N,森,காடு
96,Hügel::N,丘,குன்று
97,Anhöhe::N,高み,பதுக்கை
98,Berg::N,山,மலை
99,Gipfel::N,頂上,உச்சி மாநாடு
100,Höhle::N,洞窟,குகை
101,Abhang::N,斜面,சரிவு
102,Quelle::N,泉,மூலம்
103,Bach::N,小川,ஓடை
104,Fluss::N,川,ஆறு
105,Ufer::N,岸,நீர்க்கரை
106,Küste::N,海岸,கடற்கரை
107,Festland::N,陸,நிலம்
108,Meer::N,海,கடல்
109,Bucht::N,湾,சிறுகுடா
110,Insel::N,島,தீவு
111,Blume::N,花,பூ
112,Gras::N,草,புல்தரை
113,Wurzel::N,根,வேர்
114,Baum::N,木,மரம்
115,Stamm::N,幹,அடிமரம்
116,Rinde::N,皮層,பட்டை
117,Rinde::N,皮層,மரப்பட்டை
118,Ast::N,枝,கினை
119,Zweig::N,小枝,குச்சி
120,Blatt::N,葉,இலை
121,Birke::N,樺,பிர்ச் மரம்
122,Kiefer[Baum]::N,松,தேவதாரு மரம்
123,Weide[Baum]::N,柳,மர வகைகளுள் ஒன்று
124,Tanne::N,樅,சாதிக்கய்
125,Horn::N,角,கொம்பு
126,Feder::N,羽根,இறகு
127,Fell::N,毛皮,மென்முடி
128,Flügel::N,羽,இறக்கை
129,Klaue::N,鉤爪,நகம்
130,Kralle::N,爪,நகம்
131,Schwanz::N,尻尾,வால்
132,Ei::N,卵,முட்டை
133,Nest::N,巣,கூடு
134,Bau::N,穴,குகை
135,Tier::N,動物,விலங்கு
136,Herde::N,群れ,கூட்டம்
137,Kuh::N,牛,பசு
138,Bulle::N,雄牛,காளை
139,Pferd::N,馬,குதிரை
140,Schaf::N,羊,செம்மறிஆடு
141,Schwein::N,豚,பன்றி
142,Hund::N,犬,நாய்
143,Katze::N,猫,பூனை
144,Bär::N,熊,கரடி
145,Eichhörnchen::N,栗鼠,அணில்
146,Elch::N,ヘラジカ,கடம்பை
147,Fuchs::N,狐,நரி
148,Hase::N,兎,முயல்
149,Maus::N,鼠,எலி
150,Wolf::N,狼,ஓநாய்
151,Vogel::N,鳥,பறவை
152,Schwarm::N,群れ,தொகுதி
153,Huhn::N,鶏,கோழிக்குஞசு
154,Hahn::N,雄鶏,சேவல்
155,Gans::N,ガチョウ,பெண் வாத்து
156,Adler::N,鷲,பருநது
157,Ente::N,鴨,வாத்து
158,Eule::N,フクロウ,ஆந்தை
159,Kranich::N,鶴,நாரை
160,Krähe::N,烏,காகம்
161,Kuckuck::N,郭公,குயில்
162,Schwan::N,白鳥,அன்னம்
163,Fisch::N,魚,மீன்
164,Barsch::N,鱸,பேர்ச்
165,Hecht::N,川魳,கோலாச்சி மீன்
166,Schlange[Tier]::N,蛇,பாம்பு
167,Wurm::N,虫,புழு
168,Spinne::N,蜘蛛,சிலந்தி
169,Ameise::N,蟻,எறும்பு
170,Laus::N,虱,பேன்
171,Mücke::N,蚊,கொசுவினப்பூச்சி
172,Fliege::N,蝿,ஈ
173,Schmetterling::N,蝶,வண்ணத்துப்பூச்சி
174,Beere::N,漿果,சதைப்பழம்
175,Apfel::N,林檎,ஆப்பிள பழம்
176,Pilz::N,茸,காளான்
177,Zwiebel::N,玉葱,வெங்காயம்
178,Saat::N,種,விதை
179,Korn::N,粒,தானியம்
180,Heu::N,干し草,வைக்கோல்
181,Schale::N,皮,தோல்
182,Grube::N,穴,குழி
183,Falle::N,わな,பொறி
184,Schlinge::N,輪,கண்ணி
185,Spur::N,跡,சுவடு
186,Asche::N,灰,சாம்பல்
187,Dreck::N,泥,அழுக்கு
188,Eisen::N,鉄,இரும்பு
189,Gold::N,金,தங்கம்
190,Silber::N,銀,வெள்ளி
191,Kohle::N,炭,நிலக்கரி
192,Glas::N,ガラス,கண்ணாடி
193,Lehm::N,ローム,களிமண்
194,Sand::N,砂,மணல்
195,Mensch::N,人,மனிதர்கள்
196,Mann::N,男,மனிதன்
197,Mann::N,男性,மனிதன்
198,Frau::N,女,பெண்
199,Frau::N,女性,பெண்
200,Kind::N,子,குழந்தை
201,Kind::N,子供,குழந்தை
202,Junge::N,男の子,பையன்
203,Mädchen::N,女の子,சிறுமி
204,Familie::N,家族,குடும்பம்
205,Großvater::N,祖父,தாத்தா
206,Großvater::N,おじいさん,தாத்தா
207,Großmutter::N,祖母,பாட்டி
208,Großmutter::N,おばあさん,பாட்டி
209,Eltern::N,親,பெற்றோர்
210,Eltern::N,両親,பெற்றோர்
211,Vater::N,父,தந்தை
212,Vater::N,お父さん,தந்தை
213,Mutter::N,母,தாய்
214,Mutter::N,お母さん,தாய்
215,Sohn::N,息子,மகன்
216,Sohn::N,息子さん,மகன்
217,Tochter::N,娘,மகள்
218,Tochter::N,お嬢さん,மகள்
219,Bruder::N,弟,சகோதரன்
220,Schwester::N,妹,அக்கா
221,Onkel::N,伯父,தாய் மாமன்
222,Onkel::N,伯父さん,தாய் மாமன்
223,Tante::N,叔母,அத்தை
224,Tante::N,叔母さん,அத்தை
225,Ehemann::N,夫,கணவன்
226,Ehemann::N,主人,கணவன்
227,Ehefrau::N,妻,மனைவி
228,Ehefrau::N,奥さん,மனைவி
229,Freude::N,喜び,கொண்டாட்டம்
230,Gelächter::N,笑い,சிரிப்பு
231,Glück::N,幸せ,மகிழ்ச்சி
232,Kummer::N,悩み,துயரம்
233,Wunsch::N,希望,விருப்பம்
234,Lust::N,気,விருப்பம்
235,Geist::N,精神,ஆன்மா
236,Gedanke::N,考え,எண்ணம்
237,Gedächtnis::N,記憶,ஞாபகம்
238,Verstand::N,理解力,மனம்
239,Sinn::N,意味,அர்த்தம்
240,Grund::N,理由,காரணம்
241,Wahrheit::N,真実,உண்நை
242,Gespräch::N,会話,பெசு
243,Märchen::N,童話,நம்பத்தகாத கதை
244,Erzählung::N,物語,கதை
245,Nachricht::N,報告,செய்தி
246,Neuigkeit::N,ニュース,செய்தி
247,Name::N,名前,பெயர்
248,Rätsel::N,謎,புதிர்
249,Rede::N,演説,பேச்சு
250,Sprache::N,言語,மொழி
251,Stimme::N,声,குரல்
252,Wort::N,言葉,வார்த்தை
253,Zeichen::N,記号,குறி
254,Ruf::N,呼び声,அழைப்பு
255,Lärm::N,騒音,சத்தம்
256,Laut::N,音,ஒலி
257,Ton::N,音,குரல்
258,Lied::N,歌,பாட்டு
259,Ruhe::N,静けさ,அமைதி
260,Leute::N,人々,மக்கள்
261,Volk::N,民族,மக்கள்
262,Arbeit::N,仕事,வேலை
263,Gast::N,客,விருந்தாளி
264,Geschenk::N,贈り物,பரிசுப் பொருள்
265,Spiel::N,遊び,விளையாட்டு
266,Gesellschaft::N,社会,சமுதாயம்
267,Hilfe::N,援助,உதவி
268,Freund::N,友達,நண்பன்
269,Kamerad::N,同志,உடனிருப்பவன்
270,Angelegenheit::N,件,செய்தி
271,Anzahl::N,数,எண்ணிக்கை
272,Art::N,種類,வகை
273,Stück::N,部分,துண்டம்
274,Teil::N,部分,பகுதி
275,Hälfte::N,半分,பாதி
276,Kreis::N,円,வட்டம்
277,Kreuz::N,十字,சிலுவை
278,Linie::N,線,கோடு
279,Strich::N,線,வாத நோய்
280,Abstand::N,距離,இடைவெளி
281,Entfernung::N,距離,தூரம்
282,Gegend::N,辺,வட்டாரம்
283,Gegend::N,地域,வட்டாரம்
284,Platz::N,ゆとり,வெற்றிடம்
285,Ort::N,所,இடம்
286,Ort::N,場所,இடம்
287,Seite::N,横,பக்கம்
288,Mitte::N,真ん中,இடைப்பகுதி
289,Gegenstand::N,物件,உருப்படி
290,Sache::N,物,பொருள்
291,Rand::N,端,தொங்கு
292,Kante::N,縁,விளிம்பு
293,Ecke::N,角,மூலை
294,Spitze::N,先頭,முனை
295,Ende::N,端,முடிவு
296,Loch::N,穴,துளை
297,Winkel::N,片隅,கோணம்
298,Muster::N,模様,பாங்கு
299,Größe::N,大きさ,அளவு
300,Länge::N,長さ,நீளம்
301,Höhe::N,高さ,உயரம்
302,Gewicht::N,重さ,எடை
303,Menge::N,量,தொகை
304,Haufen::N,堆積,குவியல்
305,Reihe::N,並び,வரிசை
306,Boot::N,ボート,படகு
307,Ruder::N,オール,துடுப்பு
308,Schlitten::N,そり,சகடையிலா வண்டி
309,Ski::N,スキー,பனிச் சறுக்கல்
310,Lagerfeuer::N,篝火,மூட்டம்
311,Last::N,荷物,பாரம்
312,Gang::N,歩み,நடை
313,Schritt::N,歩,காலடி
314,Norden::N,北,வடக்கு
315,Süden::N,南,தெற்கு
316,Westen::N,西,மேற்கு திசை
317,Osten::N,東,கிழக்கு
318,Holz::N,木,மரக்கட்டை
319,Holz::N,木材,மரக்கட்டை
320,Brett::N,板,பலகை
321,Platte::N,盤,பலகம்
322,Stütze::N,支柱,அடைப்புகன்
323,Stange::N,棒,கம்பம்
324,Stock::N,杖,குச்சி
325,Stab::N,棒,கம்பு
326,Rohr::N,管,குழாய்
327,Haus::N,家,வீடு
328,Heim::N,家,வீடு
329,Ofen::N,ストーブ,அடுப்பு
330,Fußboden::N,床,தரை
331,Tisch::N,机,மேசை
332,Stuhl::N,椅子,நாற்காலி
333,Wiege::N,揺籃,தொட்டில்
334,Bett::N,ベッド,படுக்கை
335,Regal::N,棚,அலமாரி
336,Kiste::N,箱,பெட்டி
337,Fenster::N,窓,சாளரம்
338,Tür::N,戸,கதவு
339,Tür::N,ドア,கதவு
340,Tor::N,門,வாசற்கதவு
341,Zaun::N,垣根,வேலி
342,Dach::N,屋根,கூரை
343,Leiter::N,梯子,ஏணி
344,Besen::N,ほうき,விளக்குமாறு
345,Spaten::N,スコップ,மண்வெட்டி
346,Schaufel::N,シャベル,அடிதண்டா
347,Gabel::N,フォーク,முட்கரண்டி
348,Löffel::N,スプーン,கரண்டி
349,Messer::N,ナイフ,கத்தி
350,Nagel::N,釘,ஆணி
351,Netz::N,網,வலை
352,Haken::N,鉤,கொக்கி
353,Haken::N,フック,கொக்கி
354,Griff::N,取っ手,கைப்பிடி
355,Schloss::N,錠,பூட்டு
356,Bild::N,絵,படம்
357,Figur::N,像,எண்ணிக்கை
358,Puppe::N,人形,பொம்மை
359,Beutel::N,袋,பை
360,Bündel::N,束,பொதி
361,Bündel::N,包み,பொதி
362,Tasche::N,かばん,பை
363,Eimer::N,バケツ,வாளி
364,Deckel::N,蓋,உறை
365,Geschirr::N,食器,பாத்திரம்
366,Sack::N,袋,பை
367,Tasse::N,カップ,கிண்ணம்
368,Topf::N,鍋,பானை
369,Kessel::N,釜,கெண்டி
370,Essen::N,食事,உணவருந்துதல்
371,Nahrung::N,食物,உணவு
372,Speise::N,料理,உணவு வகை
373,Fleisch::N,肉,இறைச்சி
374,Getreide::N,麦,மக்காச்சோளம்
375,Getreide::N,穀物,மக்காச்சோளம்
376,Brei::N,粥,கஞ்சி
377,Brot::N,パン,ரொட்டி
378,Scheibe::N,枚,துண்டு
379,Scheibe::N,切れ,துண்டு
380,Fett::N,脂肪,கொழுப்பு
381,Butter::N,バター,வெண்ணெய்
382,Öl::N,油,எண்ணெய்
383,Salz::N,塩,உப்பு
384,Suppe::N,スープ,ரசம்
385,Honig::N,蜂蜜,தேன்
386,Milch::N,牛乳,பால்
387,Tee::N,茶,தெனீர்
388,Tee::N,お茶,தெனீர்
389,Leder::N,革,பதம் செய்யப்பட்ட தோல்
390,Wolle::N,毛糸,கம்பளி
391,Stoff::N,布,துணி
392,Nadel::N,針,ஊசி
393,Faden::N,糸,நூல்
394,Knopf::N,ボタン,பொத்தான்
395,Knoten::N,結び目,முடிச்சு
396,Farbe::N,ペンキ,வண்ணக் குழம்பு
397,Kleidung::N,衣服,ஆடைகள்
398,Hemd::N,シャツ,சட்டை
399,Kragen::N,襟,கழுத்துப் பட்டை
400,Ärmel::N,袖,சட்டைக்கை
401,Hose::N,ズボン,கால்சட்டை
402,Gürtel::N,帯,பெல்ட்
403,Gürtel::N,ベルト,பெல்ட்
404,Mütze::N,帽子,தொப்பி
405,Schuh::N,靴,காலணி
406,Stiefel::N,ブーツ,காலணி
407,Ring::N,輪,மோதிரம்
408,Band::N,リボン,நாடா
409,Kamm::N,櫛,கீப்பு
410,Spiegel::N,鏡,ஆடி
411,Spiegel::N,鏡,கண்ணாடி
412,Riemen::N,緒,வார்
413,Schnur::N,紐,கயிறு
414,Leine::N,綱,தோல்வார்
415,Decke::N,掛け布団,போர்வை
416,Kissen::N,枕,தலையணை
417,Tuch::N,スカーフ,துணி
418,Handtuch::N,タオル,தண்டு
419,Kraft::N,力,நிர்பந்தம்
420,Stärke::N,強さ,பலம்
421,Gesundheit::N,健康,ஆரோக்கியம்
422,Krankheit::N,病気,நோய்
423,Schmerz::N,痛み,வலி
424,Wunde::N,傷,காயம்
425,Fieber::N,熱,காய்ச்சல்
426,Arznei::N,薬,மருந்து
427,Brücke::N,橋,பாலம்
428,Brunnen::N,井戸,கேணி
429,Weide::N,牧場,மேய்ச்சல் நிலம்
430,Pfad::N,小路,நடை வழி
431,Weg::N,道,வழி
432,Straße::N,街道,சாலை
433,Dorf::N,村,கிராமம்
434,Stadt::N,町,நகரம்
435,Stadt::N,都市,நகரம்
436,Brief::N,手紙,கடிதம்
437,Buch::N,本,புத்தகம்
438,Buchstabe::N,文字,எழத்து
439,Zeitung::N,新聞,செய்தித்தாள்
440,Leben::N,生活,வாழ்க்கை
441,Tod::N,死,மரணம்
442,Grab::N,墓,சமாதி
443,Kirche::N,教会,தேவாலயம்
444,Sünde::N,罪,பாவம்
445,Gott::N,神,கடவுள்
446,Arbeiter::N,労働者,தொழிலாளி
447,Chef::N,上司,மேலாளர்
448,Meister::N,達人,தலைவன்
449,Meister::N,マイスター,தலைவன்
450,Arzt::N,医者,மருத்துவர்
451,Lehrer::N,先生,ஆசிரியர்
452,Geld::N,金,பணம்
453,Geschäft::N,取り引き,வாணிபம்
454,Laden::N,店,கடை
455,Preis::N,値段,விலை
456,Ware::N,商品,சாமன்கள்
457,Nutzen::N,利益,இலாபம்
458,Reichtum::N,豊かさ,சொத்து
459,Welt::N,世界,உலகம்
460,Land::N,国,நாடு
461,Staat::N,国家,நாடு
462,König::N,国王,அரசன்
463,Macht::N,権力,அதிகாரம்
464,Grenze::N,国境,எல்லை
465,Krieg::N,戦争,போர்
466,Feind::N,敵,எதிரி
467,Gewalt::N,暴力,வன்முறை
468,Kampf::N,戦い,போராட்டம்
469,Bogen[Waffe]::N,弓,வில்
470,Pfeil::N,矢,அம்பு
471,Gewehr::N,銃,துப்பாக்கி
472,Fehler::N,間違い,தவறு
473,Lüge::N,嘘,பொய்
474,Schaden::N,損害,சேதாரம்
475,Unglück::N,不幸,இடையூறு
476,Schuld::N,罪,குற்றம்
477,Alter::N,年,வயது
478,Alter::N,年齢,வயது
479,Schluss::N,終わり,முடிவு
480,Zeit::N,時,காலம்
481,Zeit::N,時間,காலம்
482,Tag::N,日,நாள்
483,Morgen::N,朝,காலை நேரம்
484,Mittag::N,昼,மதியம்
485,Abend::N,晩,மாலைப் பொழுது
486,Abend::N,夕方,மாலைப் பொழுது
487,Nacht::N,夜,இரவு
488,Woche::N,週,வாரம்
489,Monat::N,月,மாதம்
490,Jahr::N,年,வருடம்
491,Frühling::N,春,வசந்தம்
492,Sommer::N,夏,கோடை
493,Herbst::N,秋,இலையுதிர் காலம்
494,Winter::N,冬,குளிர்காலம்
495,Januar::N,一月,ஜனவரி
496,Februar::N,二月,பிபரவரி மாதம்
497,März::N,三月,மார்ச் மாதம்
498,April::N,四月,ஏப்ரல் மாதம்
499,Mai::N,五月,மே மாதம்
500,Juni::N,六月,ஜூன் மாதம்
501,Juli::N,七月,ஜூலை மாதம்
502,August::N,八月,ஆகஸ்ட் மாதம்
503,September::N,九月,செப்டம்பர் மாதம்
504,Oktober::N,十月,அக்டோபர் மாதம்
505,November::N,十一月,நவம்பர் மாதம்
506,Dezember::N,十二月,டிசம்பர்
507,Montag::N,月曜日,திங்கட் கிழமை
508,Dienstag::N,火曜日,செவ்வாய்க்கிழமை
509,Mittwoch::N,水曜日,புதன் கிழமை
510,Donnerstag::N,木曜日,வியாழக் கிழமை
511,Freitag::N,金曜日,வெள்ளிக்கிழமை
512,Samstag::N,土曜日,சனிக்கிழமை
513,Sonntag::N,日曜日,ஞாயிறுக் கிழமை
514,groß::A,大きい,பெரிய
515,klein::A,小さい,சிறிய
516,lang::A,長い,நீண்ட
517,kurz::A,短い,குட்டையான
518,breit::A,広い,அகலமான
519,schmal::A,狭い,குறுகலான
520,dicht::A,密な,அடர்த்தியான
521,dick[Gegenstand]::A,厚い,தடித்த
522,dünn::A,薄い,சன்னமான
523,fein::A,細い,மெல்லிய
524,fest::A,硬い,உறுதியாள
525,flach::A,平らな,தட்டையான
526,glatt::A,滑らかな,வழுவழுப்பான
527,hart::A,堅い,கடினமான
528,weich::A,柔らかい,மென்மையான
529,rund::A,丸い,உருண்டையான
530,spitz::A,尖った,திகந்தமாக
531,scharf::A,鋭い,கூரான
532,stumpf::A,鈍い,உளம் திறந்த
533,schwer::A,重い,கனமான
534,schön::A,綺麗な,அழகான
535,heiß::A,熱い,சூடான
536,warm::A,温かい,இதமான
537,kalt::A,寒い,குளிர்ச்சியான
538,kalt::A,冷たい,குளிர்ச்சியான
539,kühl::A,涼しい,குளிர்ச்சியான
540,frisch::A,ひんやりした,சுத்தமான
541,feucht::A,湿った,ஈரமான
542,nass::A,濡れた,ஈரமான
543,trocken::A,乾いた,உலர்ந்த
544,voll::A,いっぱいの,நிரம்பிய
545,leer::A,空の,காலியான
546,offen::A,開いた,திறந்த
547,geschlossen::A,閉まった,மூடப்பட்ட
548,sauber::A,清潔な,சுத்தமான
549,schmutzig::A,汚い,அழக்கான
550,roh::A,生の,கச்சா
551,reif::A,熟した,பழுத்த
552,lecker::A,美味しい,சுவைமிக்க
553,süß::A,甘い,இனிப்பான
554,bitter::A,苦い,கசப்பான
555,sauer::A,酸っぱい,புளிப்பாக
556,hell::A,明るい,பளபளப்பான
557,dunkel::A,暗い,கருமையான
558,schwarz::A,黒い,கருப்பு வண்ண
559,weiß::A,白い,வெண்மையன
560,rot::A,赤い,சிவப்பு
561,gelb::A,黄色い,மஞ்சள் வண்ணம்
562,blau::A,青い,நீல வண்ண
563,grün::A,緑の,பச்சை வண்ண
564,grau::A,灰色の,சாம்பல் நிற
565,bunt::A,色取り取りの,வண்ண மயமான
566,billig::A,安い,மலிவான
567,teuer::A,高い,விலை அதிகமான
568,wertvoll::A,貴重な,மதிப்புள்ள
569,blind::A,盲目の,பார்வையற்ற
570,taub::A,耳が聞こえない,செவிடான
571,kräftig::A,強力な,வலிமையான
572,stark::A,強い,பலமான
573,schwach::A,弱い,பலவீனமான
574,fett::A,太った,பருமனாக
575,schlank::A,ほっそりした,ஒல்லியான
576,hübsch::A,素敵な,அழகிய
577,böse::A,悪い,கேடு விளைவிக்கும்
578,dumm::A,馬鹿な,முட்டாள்தனமான
579,faul::A,怠惰な,சோம்பலான
580,fleißig::A,勤勉な,ஊக்கந்தளராத
581,geizig::A,けちな,கஞேசத்தனமான
582,klug::A,賢い,சாதுரியமான
583,klug::A,頭のいい,சாதுரியமான
584,geschickt::A,器用な,திறமையள்ள
585,lieb::A,愛らしい,அன்புக்குரிய
586,lustig::A,楽しい,களிப்புமிக்க
587,sanft::A,温和な,சாதுவான
588,hungrig::A,空腹の,பசியுடன்
589,krank::A,病気の,நோயுற்று
590,nackt::A,裸の,ஆடையற்ற
591,traurig::A,悲しい,சோகமான
592,lebendig::A,生きた,பிழைப்பு
593,gut::A,良い,நல்ல
594,schlecht::A,悪い,கெட்ட
595,schlecht::A,駄目な,கெட்ட
596,richtig::A,正しい,சரியான
597,schlimm::A,ひどい,அருவருப்பான
598,wahr::A,本当の,உண்மையான
599,alt::A,古い,பழைய
600,neu::A,新しい,புதிய
601,ehemalig::A,以前の,முன்நாள்
602,alt[Lebewesen]::A,年を取った,வயதான
603,jung::A,若い,இளமையான
604,arm::A,貧乏な,ஏழ்மையான
605,reich::A,裕福な,செல்வம் படைத்த
606,bekannt::A,有名な,பழக்கப்பட்ட
607,berühmt::A,有名な,புகழ்பெற்ற
608,fremd::A,見知らぬ,அயல் நாட்டு
609,verschieden::A,色々な,வித்தியாசமான
610,nah::A,近い,பக்கத்தில் உள்ள
611,fern::A,遠い,தொலை தூரத்தில்
612,linker::A,左の,மீந்திருக்கும்
613,rechter::A,右の,வலதுபக்கம்
614,anderer::A,別の,மற்ற
615,erster::A,一番目,முதனமையான
616,zweiter::A,二番目,இரண்டாவது
617,dritter::A,三番目,மூன்றாவது
618,letzter::A,最後の,கடைசி
619,allein::ADV,一人で,தனியாக
620,auf einmal::ADV,同時に,தடீரென்று
621,zusammen::ADV,一緒に,சேர்ந்து
622,lange::ADV,長い間,அதிக நோம்
623,plötzlich::ADV,急に,தடீரென்று
624,sofort::ADV,すぐに,உடனடியாக
625,später::ADV,後で,பிறகு
626,jetzt::ADV,今,இப்பொழது
627,heute::ADV,今日,இன்று
628,morgen::ADV,明日,நாளைக்கு
629,bald::ADV,間もなく,சீக்கிரம்
630,dann::ADV,それから,அப்பொழுது
631,gestern::ADV,昨日,நேற்று
632,einst::ADV,過去に,ஒரே முறை
633,damals::ADV,あの時,அப்பொழுது
634,danach::ADV,その後で,பிற்பாடு
635,vorher::ADV,以前に,முன்பாக
636,zuerst::ADV,まず,முதலில்
637,zuerst::ADV,最初に,முதலில்
638,einmal::ADV,一回,ஒரே முறை
639,manchmal::ADV,時々,சில நேரங்களில்
640,oft::ADV,よく,அடிக்கடி
641,immer::ADV,いつも,எப்பொழுதும்
642,niemals::ADV,一度も...ない,ஒருபோதும் இல்லை
643,hier::ADV,こちら,இங்கே
644,hierhin::ADV,ここへ,இவ்விடத்திற்கு
645,hierhin::ADV,こちらへ,இவ்விடத்திற்கு
646,von hier::ADV,ここから,இனி
647,dort::ADV,そちら,அங்கே
648,dorthin::ADV,そこへ,அவ்விடத்திற்கு
649,dorthin::ADV,そちらへ,அவ்விடத்திற்கு
650,geradeaus::ADV,真っ直ぐに,முன்னாலிருக்கும்
651,vorwärts::ADV,前へ,முன்புறமாக
652,rückwärts::ADV,後ろへ,பின்னோக்கி
653,zurück::ADV,後ろへ,பின்பக்கம்
654,unten::ADV,下に,கீழாக
655,hinab::ADV,下へ,கீழ் நோக்கி
656,oben::ADV,上に,மேலே
657,hinauf::ADV,上へ,மேலே
658,überall::ADV,どこでも,எல்லா இடத்திலும்
659,nicht::ADV,ない,இல்லை
660,ein wenig::ADV,少し,கொஞ்சம்
661,ein wenig::ADV,ちょっと,கொஞ்சம்
662,kaum::ADV,ほとんど～ない,அரிதாக
663,sehr::ADV,とても,மிக்க
664,so::ADV,こう,மிகவும்
665,noch::ADV,まだ,இப்பொழுதும்
666,nur::ADV,～だけ,மட்டும்
667,schon::ADV,もう,ஏற்கனவே
668,wieder::ADV,再び,மறுபடியும்
669,vergebens::ADV,無駄に,வீண்
670,vor::PRP,前に,முன்
671,hinter::PRP,後ろに,பின்பக்கம்
672,unter::PRP,下に,கீழே
673,durch::PRP,通して,ஊடே
674,neben::PRP,横に,அடுத்து
675,zwischen::PRP,間に,இடையில்
676,wegen::PRP,為に,ஏனெனில்
677,wegen::PRP,せいで,ஏனெனில்
678,dies::PRN,これ,இது
679,das::PRN,それ,அது
680,alles::PRN,全部,ஒவ்வொன்றும்
681,ich::PRN,私,நான்
682,du::PRN,あなた,நீ
683,er::PRN,彼,அவன்
684,wir::PRN,私達,நாம்
685,wir::PRN,私達,நாங்கள்
686,ihr::PRN,あなた達,நீங்கள்
687,sie::PRN,彼ら,அவர்கள்
688,was::FPRN,何,என்ன
689,wer::FPRN,誰,யார்
690,wer::FPRN,どなた,யார்
691,wo::FADV,どこ,எங்கே
692,wo::FADV,どこに,எங்கே
693,wohin::FADV,どこへ,எதற்கு
694,wie::FADV,どう,எப்படி
695,warum::FADV,何故,ஏன்
696,warum::FADV,どうして,ஏன்
697,wieviel::FNUM,どのくらい,எவ்வளவு
698,eins::NUM,一,ஒன்று
699,zwei::NUM,二,இரண்டு
700,zwei::NUM,二つ,இரண்டு
701,drei::NUM,三,மூன்று
702,drei::NUM,三つ,மூன்று
703,vier::NUM,四,நான்கு
704,vier::NUM,四つ,நான்கு
