,Concept_ID,fi,ja
410,Schaufel::N,lapio,シャベル
411,Gabel::N,haarukka,フォーク
412,Löffel::N,lusikka,スプーン
413,Messer::N,veitsi,ナイフ
414,Nagel::N,naula,釘
415,Netz::N,verkko,網
416,Haken::N,haka,鉤
417,Haken::N,haka,フック
418,Haken::N,koukku,鉤
419,Haken::N,koukku,フック
420,Griff::N,ripa,取っ手
421,Griff::N,kahva,取っ手
422,Schloss::N,lukko,錠
423,Bild::N,kuva,絵
424,Figur::N,kuvio,像
425,Puppe::N,nukke,人形
426,Beutel::N,pussi,袋
427,Bündel::N,nippu,束
428,Bündel::N,nippu,包み
429,Bündel::N,kimppu,束
430,Bündel::N,kimppu,包み
431,Tasche::N,laukku,かばん
432,Eimer::N,sanko,バケツ
433,Eimer::N,ämpäri,バケツ
434,Deckel::N,kansi,蓋
435,Geschirr::N,astia,食器
436,Sack::N,säkki,袋
437,Tasse::N,kuppi,カップ
438,Topf::N,pata,鍋
439,Kessel::N,kattila,釜
440,Essen::N,syönti,食事
441,Nahrung::N,ruoka,食物
442,Nahrung::N,ravinto,食物
443,Speise::N,ruoka,料理
444,Fleisch::N,liha,肉
445,Getreide::N,vilja,麦
446,Getreide::N,vilja,穀物
447,Brei::N,puuro,粥
448,Brot::N,leipä,パン
449,Scheibe::N,viipale,枚
450,Scheibe::N,viipale,切れ
451,Fett::N,rasva,脂肪
452,Butter::N,voi,バター
453,Öl::N,öljy,油
454,Salz::N,suola,塩
455,Suppe::N,keitto,スープ
456,Honig::N,hunaja,蜂蜜
457,Milch::N,maito,牛乳
458,Tee::N,tee,茶
459,Tee::N,tee,お茶
460,Leder::N,nahka,革
461,Wolle::N,villa,毛糸
462,Stoff::N,kangas,布
463,Nadel::N,neula,針
464,Faden::N,lanka,糸
465,Knopf::N,nappi,ボタン
466,Knoten::N,solmu,結び目
467,Farbe::N,maali,ペンキ
468,Kleidung::N,vaatteet,衣服
469,Hemd::N,paita,シャツ
470,Kragen::N,kaulus,襟
471,Ärmel::N,hiha,袖
472,Hose::N,housut,ズボン
473,Gürtel::N,vyö,帯
474,Gürtel::N,vyö,ベルト
475,Mütze::N,lakki,帽子
476,Schuh::N,kenkä,靴
477,Stiefel::N,saapas,ブーツ
478,Ring::N,sormus,輪
479,Band::N,nauha,リボン
480,Kamm::N,kampa,櫛
481,Spiegel::N,peili,鏡
482,Riemen::N,hihna,緒
483,Schnur::N,naru,紐
484,Schnur::N,nuora,紐
485,Leine::N,talutushihna,綱
486,Decke::N,peite,掛け布団
487,Kissen::N,tyyny,枕
488,Kissen::N,pielus,枕
489,Tuch::N,huivi,スカーフ
490,Handtuch::N,pyyheliina,タオル
491,Kraft::N,väki,力
492,Kraft::N,voima,力
493,Stärke::N,vahvuus,強さ
494,Gesundheit::N,terveys,健康
495,Krankheit::N,tauti,病気
496,Krankheit::N,sairaus,病気
497,Schmerz::N,kipu,痛み
498,Schmerz::N,särky,痛み
499,Wunde::N,haava,傷
500,Fieber::N,kuume,熱
501,Arznei::N,lääke,薬
502,Brücke::N,silta,橋
503,Brunnen::N,kaivo,井戸
504,Weide::N,laidun,牧場
505,Pfad::N,polku,小路
506,Weg::N,tie,道
507,Straße::N,katu,街道
508,Dorf::N,kylä,村
509,Stadt::N,kaupunki,町
510,Stadt::N,kaupunki,都市
511,Brief::N,kirje,手紙
512,Buch::N,kirja,本
513,Buchstabe::N,kirjain,文字
514,Zeitung::N,lehti,新聞
515,Zeitung::N,sanomalehti,新聞
516,Leben::N,elo,生活
517,Leben::N,elämä,生活
518,Tod::N,kuolema,死
519,Grab::N,hauta,墓
520,Kirche::N,kirkko,教会
521,Sünde::N,synti,罪
522,Gott::N,jumala,神
523,Arbeiter::N,työläinen,労働者
524,Chef::N,päällikkö,上司
525,Meister::N,mestari,達人
526,Meister::N,mestari,マイスター
527,Arzt::N,lääkäri,医者
528,Lehrer::N,opettaja,先生
529,Geld::N,raha,金
530,Geschäft::N,liike,取り引き
531,Laden::N,puoti,店
532,Laden::N,kauppa,店
533,Preis::N,hinta,値段
534,Ware::N,tavara,商品
535,Nutzen::N,hyöty,利益
536,Reichtum::N,rikkaus,豊かさ
537,Welt::N,maailma,世界
538,Land::N,maa,国
539,Staat::N,valtio,国家
540,König::N,kuningas,国王
541,Macht::N,mahti,権力
542,Grenze::N,raja,国境
543,Krieg::N,sota,戦争
544,Feind::N,vihollinen,敵
545,Gewalt::N,väkivalta,暴力
546,Kampf::N,taistelu,戦い
547,Bogen[Waffe]::N,jousi,弓
548,Pfeil::N,nuoli,矢
549,Gewehr::N,kivääri,銃
550,Fehler::N,vika,間違い
551,Fehler::N,virhe,間違い
552,Lüge::N,valhe,嘘
553,Schaden::N,vaurio,損害
554,Schaden::N,vahinko,損害
555,Unglück::N,vahinko,不幸
556,Unglück::N,onnettomuus,不幸
557,Schuld::N,syy,罪
558,Alter::N,ikä,年
559,Alter::N,ikä,年齢
560,Schluss::N,loppu,終わり
561,Zeit::N,aika,時
562,Zeit::N,aika,時間
563,Tag::N,päivä,日
564,Morgen::N,aamu,朝
565,Morgen::N,huomen,朝
566,Mittag::N,keskipäivä,昼
567,Abend::N,ilta,晩
568,Abend::N,ilta,夕方
569,Nacht::N,yö,夜
570,Woche::N,viikko,週
571,Monat::N,kuukausi,月
572,Jahr::N,vuosi,年
573,Frühling::N,kevät,春
574,Sommer::N,kesä,夏
575,Herbst::N,syksy,秋
576,Winter::N,talvi,冬
577,Januar::N,tammikuu,一月
578,Februar::N,helmikuu,二月
579,März::N,maaliskuu,三月
580,April::N,huhtikuu,四月
581,Mai::N,toukokuu,五月
582,Juni::N,kesäkuu,六月
583,Juli::N,heinäkuu,七月
584,August::N,elokuu,八月
585,September::N,syyskuu,九月
586,Oktober::N,lokakuu,十月
587,November::N,marraskuu,十一月
588,Dezember::N,joulukuu,十二月
589,Montag::N,maanantai,月曜日
590,Dienstag::N,tiistai,火曜日
591,Mittwoch::N,keskiviikko,水曜日
592,Donnerstag::N,torstai,木曜日
593,Freitag::N,perjantai,金曜日
594,Samstag::N,lauantai,土曜日
595,Sonntag::N,sunnuntai,日曜日
596,groß::A,iso,大きい
597,groß::A,suuri,大きい
598,klein::A,pieni,小さい
599,lang::A,pitkä,長い
600,kurz::A,lyhyt,短い
601,breit::A,leveä,広い
602,schmal::A,kapea,狭い
603,dicht::A,taaja,密な
604,dick[Gegenstand]::A,paksu,厚い
605,dünn::A,ohut,薄い
606,fein::A,hieno,細い
607,fest::A,luja,硬い
