,Concept_ID,ko,cv
63,Stern::N,별,ҫӑлтӑр
64,Luft::N,동준,сывлӑш
65,Luft::N,가스채,сывлӑш
66,Wind::N,바람,ҫил
67,Welle::N,물결,хум
68,Wasser::N,물,шыв
69,Wasser::N,물,шыв-шур
70,Stein::N,돌,чул
71,Boden::N,바닥,тӑпра
72,Erde::N,흙,ҫӗр
73,Staub::N,먼지,тусан
74,Rauch::N,연기,тӗтӗм
75,Funke::N,불티,хӗм
76,Feuer::N,불,вут
77,Feuer::N,불,ҫулӑм
78,Licht::N,불,ҫутӑ
79,Schatten::N,어스레함,сулхӑн
80,Wetter::N,기상,ҫанталӑк
81,Nebel::N,안개,тӗтре
82,Wolke::N,구름,пӗлӗт
83,Regen::N,비,ҫумӑр
84,Schnee::N,눈,юр
85,Eis::N,얼음,пӑр
86,Frost::N,혹한,сивӗ
87,Kälte::N,추위,сивӗ
88,Kälte::N,차가움,сивӗ
89,Hitze::N,고온,вӗри
90,Hitze::N,고온,шӑрӑх
91,Hitze::N,더위,вӗри
92,Hitze::N,더위,шӑрӑх
93,Regenbogen::N,무지개,асамат кӗперӗ
94,Donner::N,뇌명,аслати
95,Strömung::N,유동,юхӑ
96,Tropfen::N,물방울,тумлам
97,Schaum::N,포말,кӑпӑк
98,Schmutz::N,때,пылчӑк
99,See::N,호수,кӳлӗ
100,Sumpf::N,습지,шур
101,Sumpf::N,습지,шурлӑх
102,Moor::N,저습지,торфлӑ шурлӑх
103,Wiese::N,목초지,улӑх
104,Wiese::N,목초지,ҫаран
105,Wald::N,숲,вӑрман
106,Hügel::N,언덕,сӑрт
107,Hügel::N,언덕,тӗмеске
108,Anhöhe::N,언덕,сӑрт
109,Berg::N,산,ту
110,Gipfel::N,졀졍,тӳпе
111,Höhle::N,공동,ҫӗр хӑвӑлӗ
112,Abhang::N,몰매,тӑвайкки
113,Quelle::N,근원,ҫӑл куҫ
114,Bach::N,내,пӗчӗк шыв
115,Fluss::N,강,юхан шыв
116,Ufer::N,강변,ҫыран
117,Ufer::N,바닷가,ҫыран
118,Küste::N,해변,тинӗс ҫыранӗ
119,Küste::N,해변가,тинӗс ҫыранӗ
120,Festland::N,본토,тип ҫӗр
121,Meer::N,바다,тинӗс
122,Bucht::N,협만,тинӗс кукӑрӗ
123,Insel::N,섬,утрав
124,Blume::N,꽃,чечек
125,Gras::N,풀,курӑк
126,Wurzel::N,뿌리,тымар
127,Baum::N,나무,йывӑҫ
128,Stamm::N,대,вулӑ
129,Rinde::N,나무껍질,хуйӑр
130,Ast::N,가지,турат
131,Zweig::N,가지,турат
132,Blatt::N,잎,ҫулҫӑ
133,Birke::N,자작나무,хурӑн
134,Kiefer[Baum]::N,소나무,хыр
135,Weide[Baum]::N,쉬양버들,хӑва
136,Tanne::N,전나무,чӑрӑш
137,Horn::N,뿔,мӑйрака
138,Feder::N,깃털,тӗк
139,Fell::N,피혁모피,ҫӑм
140,Flügel::N,날개,ҫунат
141,Klaue::N,갈고리 발톺,чӗрне
142,Kralle::N,발툭,ура
143,Schwanz::N,꼬리,хӳре
144,Ei::N,알,ҫӑмарта
145,Nest::N,보금자리,йӑва
146,Bau::N,굴,йӗнӗ
147,Tier::N,짐승,выльӑх
148,Herde::N,가축의떼,кӗтӳ
149,Kuh::N,암소,ӗне
150,Bulle::N,황소,вӑкӑр
151,Pferd::N,말,лаша
152,Schaf::N,양,сурӑх
153,Schwein::N,돼지,сысна
154,Hund::N,개,йытӑ
155,Katze::N,고양이,кушак
156,Bär::N,콤,упа
157,Eichhörnchen::N,다람쥐,пакша
158,Elch::N,고라니,пӑши
159,Fuchs::N,여우,тилӗ
160,Hase::N,토끼,куян
161,Hase::N,토끼,мулкач
162,Maus::N,쥐,шӑши
163,Wolf::N,늑대,кашкӑр
164,Vogel::N,새,кайӑк
165,Vogel::N,새,вӗҫен кайӑк
166,Schwarm::N,뗴,ушкӑн
167,Huhn::N,암탉,чӑх
168,Huhn::N,암탉,чӑхӑ
169,Hahn::N,수탉,автан
170,Gans::N,거위,хур
171,Adler::N,수리,ӑмӑрт кайӑк
172,Ente::N,오리,кӑвакал
173,Eule::N,부엉이,тӑмана
174,Kranich::N,두루미,тӑрна
175,Krähe::N,까마귀,ула курак
176,Kuckuck::N,뻐꾸기,куккук
177,Schwan::N,배조,акӑш
178,Fisch::N,물고기,пулӑ
179,Barsch::N,농어,уланкӑ
180,Hecht::N,에속스,ҫӑрттан
181,Schlange[Tier]::N,뱀,ҫӗлен
182,Wurm::N,벌레,ӑман
183,Spinne::N,거미,эрешмен
184,Ameise::N,개미,кӑткӑ
185,Laus::N,이,пыйтӑ
186,Mücke::N,모기,вӑрӑм туна
187,Fliege::N,날기,шӑна
188,Schmetterling::N,나비,лӗпӗш
189,Beere::N,장과,ҫырла
190,Apfel::N,사과,улма
191,Apfel::N,사과,пан улми
192,Pilz::N,고방이,кӑмпа
193,Zwiebel::N,양파,сухан
194,Saat::N,씨,вӑрӑ
195,Korn::N,알맹이,тӗшӗ
196,Korn::N,알맹이,пӗрчӗ
197,Heu::N,건초,утӑ
198,Schale::N,피상,хупӑ
199,Falle::N,함정,тапӑ
200,Falle::N,함정,капкӑн
201,Schlinge::N,올가미,йӑлӑ
202,Schlinge::N,멜빵붕대,йӑлӑ
203,Spur::N,발지국,йӗр
204,Asche::N,재,кӗл
205,Dreck::N,똥,пылчӑк
206,Dreck::N,오물,пылчӑк
207,Eisen::N,쇠,тимӗр
208,Eisen::N,철,тимӗр
209,Gold::N,항금,ылтӑн
210,Silber::N,은,кӗмӗл
211,Kohle::N,슻,кӑмрӑк
212,Glas::N,유리,кӗленче
213,Lehm::N,찰흙,тӑм
214,Sand::N,모래,хӑйӑр
215,Mensch::N,사람,ҫын
216,Mensch::N,사람,этем
217,Mann::N,남자,ар
218,Frau::N,여자,хӗрарӑм
219,Kind::N,아이,ача
220,Junge::N,소녁,ача
221,Junge::N,소녁,ар ҫын ача
222,Mädchen::N,소녀,хӗр ача
223,Familie::N,가족,ҫемье
224,Familie::N,가족,кил-йыш
225,Großvater::N,할아버지,кукаҫи
226,Großmutter::N,할머니,кукамай
227,Eltern::N,어버오,аҫа-ама
228,Vater::N,아버지,атте
229,Mutter::N,어머니,анне
230,Sohn::N,아들,ывӑл
231,Tochter::N,딸기,хӗр
232,Bruder::N,형제,ар тӑван
233,Schwester::N,누이,аппа
234,Schwester::N,누이,йӑмӑк
235,Onkel::N,백부,мучи
236,Onkel::N,백부,пичче
237,Tante::N,아주머니,аппа
238,Ehemann::N,남편,упӑшка
239,Ehefrau::N,아내,арӑм
240,Freude::N,기쁨,савӑнӑҫ
241,Freude::N,기쁨,хаваслӑх
242,Gelächter::N,웃음,кулӑ
243,Glück::N,즐거움,телей
244,Glück::N,즐거움,ӑраскал
245,Kummer::N,슬픔,хурлӑх
246,Wunsch::N,소망,ӗмӗт
247,Wunsch::N,소망,кӑмӑл
248,Geist::N,할기,чун-чӗм
249,Geist::N,할기,ыр-усал
250,Geist::N,할기,чун хавалӗ
251,Gedanke::N,상념,шухӑш
252,Gedächtnis::N,기억,ас
253,Verstand::N,분별,ӑс
254,Verstand::N,분별,ӑс-тӑн
255,Verstand::N,분별,ӑс-хакӑл
256,Verstand::N,지능,ӑс
257,Verstand::N,지능,ӑс-тӑн
258,Verstand::N,지능,ӑс-хакӑл
259,Sinn::N,센스,тупсӑм
260,Sinn::N,센스,пӗлтерӗш
261,Grund::N,까닭,сӑлтав
262,Wahrheit::N,참,чӑнлӑх
263,Wahrheit::N,진실,чӑнлӑх
264,Gespräch::N,대화,калаҫу
265,Märchen::N,동화,юмах
266,Erzählung::N,이야기,акалав
267,Erzählung::N,이야기,каласа пани
268,Neuigkeit::N,뉴스,ҫӗнӗ хыпар
269,Name::N,이름,ят
270,Rätsel::N,수수께끼,сутмалли юмах
271,Rede::N,연설,сӑмах
272,Sprache::N,말,чӗлхе
273,Stimme::N,목소리,сасӑ
274,Wort::N,낱말,сӑмах
275,Zeichen::N,신호,паллӑ
276,Ruf::N,부름,йыхрав
277,Ruf::N,부름,чӗнӳ
278,Lärm::N,소동,шав
279,Laut::N,음성,сасӑ
280,Ton::N,목소리,сасӑ
281,Lied::N,노래,юрӑ
282,Ruhe::N,쉼,канӑҫлӑх
283,Ruhe::N,쉼,лӑпкӑлӑх
284,Leute::N,사람들,ҫамрӑксем
285,Leute::N,사람들,ҫамрӑк ҫынсем
286,Volk::N,국중,халӑх
287,Arbeit::N,근로,ӗҫхӗл
288,Arbeit::N,근로,ӗҫлев
289,Arbeit::N,너무,ӗҫхӗл
290,Arbeit::N,너무,ӗҫлев
291,Gast::N,손님,хӑна
292,Geschenk::N,행하,парне
293,Geschenk::N,행하,кучченеҫ
294,Spiel::N,무리,вӑйӑ
295,Gesellschaft::N,교제,общество
296,Hilfe::N,거들음,пулӑшу
297,Hilfe::N,보좌,пулӑшу
298,Freund::N,친구,тус
299,Kamerad::N,동실자,юлташ
300,Kamerad::N,동실자,тус
301,Angelegenheit::N,용무,ӗҫ
302,Anzahl::N,어떤,йыш
303,Anzahl::N,어떤,хисеп
304,Anzahl::N,수,йыш
305,Anzahl::N,수,хисеп
306,Art::N,정류,тӗс
307,Stück::N,일부분,татӑк
308,Teil::N,몱,пай
309,Teil::N,구훠,пай
310,Hälfte::N,2분의,ҫурӑ
311,Kreis::N,고리,ункӑ
312,Kreis::N,고리,ҫавракӑш
313,Kreuz::N,열십자,хӗрес
314,Linie::N,선,йӗр
315,Strich::N,스침,йӗр
316,Abstand::N,거리,хушӑ
317,Entfernung::N,거리,хушӑ
318,Gegend::N,곳,вырӑн
319,Gegend::N,부금,вырӑн
320,Platz::N,장소,хутлӑх
321,Ort::N,장소,вырӑн
322,Seite::N,옆면,ен
323,Seite::N,옆면,аяк
324,Seite::N,옆면,айӑк
325,Mitte::N,궁간,варӑ
326,Gegenstand::N,항목,япала
327,Sache::N,뭉에,япала
328,Rand::N,가,вӗҫ
329,Rand::N,가,хӗрӗ
330,Rand::N,가,хӗрри
331,Kante::N,귀퉁,хайкача
332,Kante::N,귀퉁,хысак
333,Ecke::N,구석,кӗтес
334,Spitze::N,끝,вӗҫ
335,Spitze::N,참단,вӗҫ
336,Ende::N,말당,вӗҫ
337,Loch::N,빙옷,шӑтӑк
338,Winkel::N,각도,кӗтес
339,Muster::N,본,эреш
340,Muster::N,견복,эреш
341,Größe::N,신장,пысӑкӑш
342,Länge::N,길이긺,вӑрӑмӑш
343,Höhe::N,높이,ҫӳллӗш
344,Gewicht::N,추,виҫе
345,Gewicht::N,추,йывӑрӑш
346,Menge::N,수양,йыш
347,Haufen::N,퇴적,купа
348,Reihe::N,열,рет
349,Boot::N,보트,кимӗ
350,Ruder::N,노,кӗсмен
351,Schlitten::N,썰매,ҫуна
352,Ski::N,스키,йӗлтӗр
353,Lagerfeuer::N,캠프의 모닥불,вут
354,Lagerfeuer::N,캠프의 모닥불,кӑвайт
355,Last::N,무거운짐,сулмаклӑх
356,Last::N,무거운짐,йывӑр япала
357,Gang::N,걸음,куҫӑм
358,Schritt::N,보조,утӑм
359,Schritt::N,보조,пусӑм
360,Norden::N,북쪽 ,ҫурҫӗр
361,Süden::N,남쪽,кӑнтӑр
362,Westen::N,서쪽,анӑҫ
363,Westen::N,서쪽,хӗвел анӑҫ
364,Osten::N,동쪽,хӗвел тухӑҫ
365,Holz::N,목재,йывӑҫ
366,Brett::N,마루널,хӑма
367,Platte::N,탤,плита
368,Platte::N,금속판,плита
369,Stütze::N,버팀목,ура
370,Stange::N,장대,шерте
371,Stock::N,막대기,патак
372,Stab::N,작대기,шӑчӑ
373,Rohr::N,갈대,пӑрӑх
374,Haus::N,집,ҫурт
375,Heim::N,집,кил
376,Ofen::N,아궁이,кӑмака
377,Fußboden::N,마루,урай
378,Tisch::N,탁자,сӗтел
379,Stuhl::N,의자,пукан
380,Wiege::N,발상지,сӑпка
381,Bett::N,침대,кравать
382,Regal::N,서가,ҫӳлӗк
383,Regal::N,서가,сентре
384,Kiste::N,짐궤,ещӗк
385,Kiste::N,짐궤,сунтӑх
386,Fenster::N,눔,чӳрече
387,Tür::N,문,алӑк
388,Tor::N,대문,хапха
389,Zaun::N,담장,хӳме
390,Dach::N,지붕,тӑрӑ
391,Leiter::N,사닥다리,пусма
392,Besen::N,비,шӑпӑр
393,Spaten::N,가래,кӗреҫе
394,Schaufel::N,삽,кӗреҫе
395,Gabel::N,갈래,вилка
396,Löffel::N,숟가락,кашӑк
397,Messer::N,나이프,ҫӗҫӗ
398,Nagel::N,발툽,пӑта
399,Netz::N,그물,тетел
400,Haken::N,갈고리,йӑрхах
401,Haken::N,갈고리,ҫекӗл
402,Griff::N,움켜쥠,хӑлӑп
403,Schloss::N,자물쇠,ҫӑра
404,Bild::N,그림,сӑн
405,Bild::N,그림,сӑнлӑх
406,Bild::N,그림,картина
407,Figur::N,몸메,кӗлетке
408,Puppe::N,인형,пукане
409,Beutel::N,클,михӗ
410,Bündel::N,자근다발,ҫыхӑ
411,Bündel::N,자근다발,тӗрке
412,Tasche::N,가방,сумка
413,Eimer::N,동이,витре
414,Deckel::N,뚜껑,хупӑ
415,Geschirr::N,식시,савӑт-сапа
416,Sack::N,조갑,михӗ
417,Tasse::N,차잔,курка
418,Topf::N,단지,кастрюль
419,Kessel::N,주전자,хуран
420,Essen::N,먹기,апат
421,Nahrung::N,식료,апат-ҫимӗс
422,Speise::N,음식물,апат
423,Speise::N,음식물,ҫимӗҫ
424,Fleisch::N,고기,аш
425,Fleisch::N,고기,какай
426,Getreide::N,곡물,тырӑ
427,Brei::N,젤리,пӑтӑ
428,Brot::N,빵,ҫӑкӑр
429,Scheibe::N,원반,чӗлӗ
430,Scheibe::N,원반,касӑк
431,Fett::N,기름,ҫу
432,Butter::N,버터,ҫу
433,Öl::N,올리브유,ҫу
434,Salz::N,소금,тӑвар
435,Suppe::N,국,яшка
436,Suppe::N,수프,яшка
437,Honig::N,감미,пыл
438,Milch::N,유즙,сӗт
439,Tee::N,차,чей
440,Leder::N,가죽,сӑран
441,Wolle::N,양털,ҫӑм
442,Stoff::N,패료,тӗртӗм
443,Nadel::N,바늘,йӗп
444,Faden::N,콘실,ҫип
445,Knopf::N,단추,тӳме
446,Knoten::N,곁절,йӑлӑ
447,Farbe::N,색,сӑрӑ
448,Kleidung::N,옷입기,тум
449,Kleidung::N,옷입기,ҫипуҫ
450,Kleidung::N,옷입기,тум-тир
451,Hemd::N,속옷,кӗпе
452,Kragen::N,깃,ҫуха
453,Ärmel::N,소매,ҫанӑ
454,Hose::N,바지,шӑлавар
455,Gürtel::N,밴드,пиҫиххи
456,Mütze::N,모자,ҫӗлӗк
457,Schuh::N,구두,пушмак
458,Schuh::N,구두,ботинок
459,Stiefel::N,장화,атӑ
460,Ring::N,고리,ҫӗрӗ
461,Band::N,리본,хаю
462,Band::N,리본,йӗсме
463,Kamm::N,빗,тура
464,Spiegel::N,거울,тӗкӗр
465,Spiegel::N,거울,куҫ кӗски
466,Riemen::N,가죽끈,чӗн
467,Schnur::N,밧줄,кантра
468,Leine::N,고삐줄,касмӑк
469,Decke::N,이부자리,утиял
470,Kissen::N,깔개,ҫытар
471,Kissen::N,깔개,минтер
472,Tuch::N,천,тутӑр
473,Handtuch::N,수건,ал шӑлли
474,Kraft::N,세력,вӑй
475,Kraft::N,세력,хӑват
476,Stärke::N,힘,хал
477,Stärke::N,힘,хӑват
478,Gesundheit::N,위생,хал
479,Gesundheit::N,위생,сывлӑх
480,Krankheit::N,병,чир
481,Schmerz::N,아픔고통,ырату
482,Wunde::N,상처,суран
483,Fieber::N,열별,сив чир
484,Arznei::N,약,эмел
485,Brücke::N,교량,кӗпер
486,Brunnen::N,원천,ҫӑл
487,Brunnen::N,원천,пусӑ
488,Weide::N,목장,ҫаран
489,Pfad::N,좁은길,йӗр
490,Pfad::N,좁은길,сукмак
491,Weg::N,길,ҫул
492,Weg::N,길,ҫул-йӗр
493,Straße::N,길,ҫӳрев
494,Straße::N,길,ҫул ҫӳрени
495,Dorf::N,촌,ял
496,Dorf::N,촌락,ял
497,Stadt::N,도시,хула
498,Brief::N,서한,ҫыру
499,Buch::N,책,кӗнеке
500,Buchstabe::N,문자,сас палли
501,Zeitung::N,신문,хаҫат
502,Leben::N,삶,пурнӑҫ
503,Tod::N,죽음,вилӗм
504,Grab::N,무덤,масар шӑтӑкӗ
505,Kirche::N,교회,чиркӳ
506,Sünde::N,부정,ҫылӑх
507,Gott::N,하느님,турӑ
508,Arbeiter::N,일하는사람,рабочи
509,Chef::N,사장,пуҫлӑх
510,Meister::N,명인,ӑста
511,Meister::N,명인,мастер
512,Meister::N,대가,ӑста
513,Meister::N,대가,мастер
514,Arzt::N,의사,врач
515,Arzt::N,의사,тухтӑр
516,Lehrer::N,교사,учитель
517,Lehrer::N,교사,вӗрентекен
518,Geld::N,돈,укҫа
519,Geschäft::N,일,бизнес
520,Laden::N,가게,магазин
521,Preis::N,가격,хак
522,Ware::N,상품,тавар
523,Nutzen::N,이익,пайта
524,Reichtum::N,많음,мул
525,Welt::N,세상,тӗнче
526,Land::N,지방,ҫӗр-шыв
527,Staat::N,국가,патшàлӑх
528,König::N,국왕,король
529,Macht::N,힘,власть
530,Grenze::N,국경,чикӗ
531,Krieg::N,전쟁,вӑрҫӑ
532,Feind::N,적,тӑшман
533,Gewalt::N,권력,ирӗксӗрлӳ
534,Kampf::N,전투,кӗрешӳ
535,Bogen[Waffe]::N,활,ухӑ
536,Pfeil::N,화살,ҫӗмрен
537,Pfeil::N,화살,ухӑ йӗппи
538,Gewehr::N,무기,пӑшал
539,Fehler::N,오류,йӑнӑш
540,Lüge::N,거짓말,суя
541,Lüge::N,거짓말,ултав
542,Schaden::N,손상,сиен
543,Unglück::N,불행,шар
544,Unglück::N,불행,инкек
545,Schuld::N,부채,айӑп
546,Alter::N,연령,ҫул шучӗ
547,Schluss::N,마감,пӗтни
548,Schluss::N,마감,пӗтмӗш
549,Zeit::N,때,вӑхӑт
550,Zeit::N,시간,вӑхӑт
551,Tag::N,하루,кун
552,Morgen::N,이침,ир
553,Mittag::N,대낮,кӑнтӑрла
554,Abend::N,저녁,каҫ
555,Nacht::N,밤,каҫ
556,Woche::N,근무일,эрне
557,Monat::N,달,уйӑх
558,Jahr::N,해,ҫулталӑк
559,Frühling::N,봄,ҫур
560,Frühling::N,봄,ҫуркунне
561,Sommer::N,여름,ҫу
562,Sommer::N,여름,ҫулла
563,Herbst::N,가을,кӗр
564,Herbst::N,가을,кӗркунне
565,Winter::N,겨울,хӗл
566,Winter::N,겨울,хӗлле
567,Januar::N,일월,январь
568,Februar::N,이월,февраль
569,Februar::N,이월,кӗҫӗн кӑрлач
570,März::N,삼월,март
571,März::N,삼월,пуш уйӑхӗ
572,April::N,사월,апрель
573,Mai::N,오월,май
574,Juni::N,유월,июнь
575,Juli::N,칠월,июль
576,August::N,팔월,август
577,September::N,구월,сентябрь
578,September::N,구월,авӑн уйӑхӗ
579,Oktober::N,시월,октябрь
580,November::N,십일월,ноябрь
581,Dezember::N,십이월,раштав
582,Dezember::N,십이월,декабрь
583,Montag::N,월요일,тунти кун
584,Dienstag::N,화요일,ытлари кун
585,Mittwoch::N,수요일,юн кун
586,Donnerstag::N,모교일,кӗҫнерни кун
587,Freitag::N,그묘일,эрне кун
588,Samstag::N,토요일,шӑмат кун
589,Sonntag::N,일요일,вырсарни кун
590,groß::A,큰,пысӑк
591,klein::A,자근,пӗчӗк
592,lang::A,긴,вӑрӑм
593,kurz::A,짧은,кӗске
594,breit::A,넓은,сарлака
595,schmal::A,좁은,ансӑр
596,dicht::A,농밀한,йӑвӑ
597,dick[Gegenstand]::A,두꺼운,хулӑн
598,dünn::A,얇은,ҫинҫе
599,dünn::A,얇은,ҫӳхе
600,fein::A,미세한,тарай
601,fein::A,미세한,вӗлтӗрти
602,fest::A,굳은,тӗреклӗ
603,flach::A,얕은,лаптак
604,glatt::A,반들반들한,такӑр
605,hart::A,굳은,хытӑ
606,weich::A,연한,ҫемҫе
607,rund::A,둥근,ҫавра
608,spitz::A,뾰족한,шӗвӗр
609,scharf::A,날카로운,ҫивӗч
610,stumpf::A,무딘,мӑка
611,stumpf::A,무딘,пуклак
612,stumpf::A,무딘,тӗрӗнчӗк
613,stumpf::A,무딘,ӑнкарусӑр
614,schwer::A,무거운,йывӑр
615,schön::A,멋진,илемлӗ
616,heiß::A,뜨거운,вӗри
617,warm::A,따뜻한,ӑшӑ
618,kalt::A,찬,сивӗ
619,kühl::A,서늘한,уҫӑ
620,frisch::A,신선한,уҫӑ
621,feucht::A,축축한,йӗпе
622,nass::A,젖은,нӳрӗ
623,trocken::A,마른,типӗ
624,voll::A,완전한,тулли
625,leer::A,빈,пушӑ
626,offen::A,열린,уҫӑ
627,geschlossen::A,닫힌,хупӑ
628,sauber::A,깨끗한,таса
629,schmutzig::A,더러운,пылчӑклӑ
630,schmutzig::A,더러운,вараланчӑк
631,roh::A,날게잇의,чӗрӗ
632,reif::A,이근,пулнӑ
633,reif::A,이근,пиҫӗхнӗ
634,reif::A,이근,аталаннӑ
635,reif::A,이근,пиҫсе ҫитнӗ
636,lecker::A,맛있는,тутлӑ
637,lecker::A,맛있는,техӗмлӗ
638,süß::A,단,пылак
639,bitter::A,찌르는듯한,йӳҫӗ
640,sauer::A,산성의,йӳҫӗ
641,sauer::A,산성의,йӳҫек
642,sauer::A,산성의,кӑвасак
643,hell::A,밝은,ҫутӑ
644,dunkel::A,어두운,тӗттӗм
645,schwarz::A,검은,хура
646,weiß::A,하얀,шурӑ
647,rot::A,붉은,хӗрлӗ
648,gelb::A,황색,сарӑ
649,blau::A,푸른,кӑвак
650,grün::A,녹색의,симӗс
651,grün::A,녹색의,пиҫмен
652,grün::A,녹색의,ӑс пухман
653,grau::A,회색의,кӑвак
654,bunt::A,알록달록한,чӑпар
655,billig::A,싼,йӳнӗ
656,teuer::A,값비산,хаклӑ
657,wertvoll::A,가치가많은,паха
658,blind::A,눈먼,суккӑр
659,taub::A,무감간한,хӑлхасӑр
660,kräftig::A,강장한,хӑватлӑ
661,stark::A,강한,вирлӗ
662,schwach::A,약한,халсӑр
663,fett::A,실찐,самӑр
664,fett::A,실찐,мӑнтӑр
665,schlank::A,호리호리한,йӑрӑс
666,schlank::A,호리호리한,яштака
667,hübsch::A,예쁜,хитре
668,böse::A,나쁜,усал
669,dumm::A,어리석은,ухмах
670,faul::A,너덜너덜한,наян
671,faul::A,너덜너덜한,юлхав
672,faul::A,너덜너덜한,ӳркенчӗк
673,fleißig::A,근면한,хастар
674,geizig::A,인색한,хытӑ
675,geschickt::A,교묘한,ӑста
676,lieb::A,친애하는,савнӑ
677,lustig::A,유쾌한,хаваслӑ
678,sanft::A,온화한,ачаш
679,hungrig::A,배고픈,выҫӑ
680,krank::A,병든,чирлӗ
681,nackt::A,벌거벗은,ҫара
682,traurig::A,슬픈,салхуллӑ
683,lebendig::A,살아있는,чӗрӗ
684,gut::A,좋은,аван
685,gut::A,좋은,лайӑх
686,schlecht::A,나쁜,япӑх
687,schlecht::A,나쁜,начар
688,richtig::A,바른,тӗрӗс
689,schlimm::A,못된,йӗрӗнчӗк
690,wahr::A,참된,чӑн
691,alt::A,늙은,кивӗ
692,neu::A,새,ҫӗнӗ
693,ehemalig::A,전의,пулнӑ
694,alt[Lebewesen]::A,낡은,ватӑ
695,jung::A,젊은,яш
696,jung::A,젊은,ҫамрӑк
697,arm::A,가난한,чухӑн
698,reich::A,풍부한,пуян
699,bekannt::A,저명한,пӗлӗш
700,berühmt::A,유명한,чаплӑ
701,fremd::A,타처이,ют
702,verschieden::A,따른,расна
703,nah::A,가까운,ҫывӑх
704,nah::A,가까운,ҫывӑхри
705,fern::A,먼,инҫе
706,fern::A,먼,аякри
707,linker::A,왼쭉의,сулахай
708,rechter::A,오른쪽의,сылтӑм
709,anderer::A,다른,урӑх
710,erster::A,첫째,пӗрремӗш
711,zweiter::A,둘째,иккӗмӗш
712,dritter::A,셋째,виҫҫӗмӗш
713,letzter::A,의후자의,юлашки
714,allein::ADV,훌로,пӗччен
715,auf einmal::ADV,갑자기,кӗмӗрккен
716,zusammen::ADV,모아서,пӗрле
717,lange::ADV,오래,вӑрах
718,plötzlich::ADV,둘연한,сасартӑк
719,sofort::ADV,즉시,тӳрех
720,später::ADV,보다늦은,кайран
721,jetzt::ADV,목하,халь
722,jetzt::ADV,목하,халӗ
723,heute::ADV,오늘,паян
724,morgen::ADV,내일,ыран
725,bald::ADV,곱,халех
726,bald::ADV,곱,кӗҫех
727,dann::ADV,그경우에,унтан
728,gestern::ADV,어제,ӗнер
729,einst::ADV,옛날에,пӗррехинче
730,damals::ADV,그때에,ун чухне
731,damals::ADV,그때에,апла пулсан
732,danach::ADV,그 뒤에,унтан
733,vorher::ADV,미리,малтан
734,zuerst::ADV,최초로,пирвай
735,einmal::ADV,한번,пӗррехинче
736,manchmal::ADV,땓대로,хӑш чухне
737,oft::ADV,땓대로,тӑтӑш
738,immer::ADV,늘,ялан
739,niemals::ADV,결코...(하지)않다,нихӑҫан та
740,hier::ADV,여기,кунта
741,hierhin::ADV,여기로,кунта
742,dort::ADV,거기,унта
743,dort::ADV,거기,ҫавӑнта
744,dorthin::ADV,저기예,унта
745,dorthin::ADV,저기예,ҫавӑнта
746,geradeaus::ADV,곧장,тикӗс
