,Concept_ID,lez,eu
154,Horn::N,карч,adar
155,Feder::N,цӏакул,luma
156,Feder::N,цӏакул,hegaki
157,Fell::N,хам,ile
158,Fell::N,хам,larru
159,Flügel::N,лув,hego
160,Klaue::N,къармах,atzapar
161,Kralle::N,пац,erpe
162,Kralle::N,пац,atzapar
163,Kralle::N,тапас,erpe
164,Kralle::N,тапас,atzapar
165,Schwanz::N,ттум,isats
166,Schwanz::N,ттум,buztan
167,Ei::N,кака,arrautza
168,Nest::N,муг,habia
169,Bau::N,тӏеквен,ohantze
170,Tier::N,гьайван,abere
171,Tier::N,гьайван,piztia
172,Herde::N,суьруь,saldo
173,Herde::N,суьруь,abere talde
174,Kuh::N,ккал,behi
175,Bulle::N,яц,zezen
176,Bulle::N,бугъа,zezen
177,Pferd::N,балкӏан,zaldi
178,Schaf::N,хеб,ardi
179,Schwein::N,вак,urde
180,Schwein::N,вак,txerri
181,Hund::N,кицӏ,txakur
182,Katze::N,кац,katu
183,Bär::N,сев,hartz
184,Eichhörnchen::N,белка,urtxintxa
185,Elch::N,лось,altze
186,Fuchs::N,сикӏ,azeri
187,Hase::N,къуьр,erbi
188,Maus::N,кьиф,sagu
189,Wolf::N,жанавур,otso
190,Vogel::N,луван ничхир,txori
191,Vogel::N,луван ничхир,hegazti
192,Schwarm::N,луж,aldra
193,Huhn::N,верч,oilo
194,Hahn::N,кӏек,oilar
195,Gans::N,къаз,antzara
196,Adler::N,лекь,arrano
197,Ente::N,пӏатӏ,ahate
198,Eule::N,тӏиб,hontza
199,Kranich::N,дурна,kurrilo
200,Krähe::N,къаргъа,bele
201,Kuckuck::N,кукупӏ,kuku
202,Schwan::N,къугь,beltxarga
203,Fisch::N,гъед,arrain
204,Barsch::N,окунь,perka
205,Hecht::N,щука,lutxo
206,Schlange[Tier]::N,илан,suge
207,Schlange[Tier]::N,гъуьлягъ,suge
208,Wurm::N,квак,har
209,Spinne::N,хуьшрекан,armiarma
210,Ameise::N,цегв,inurri
211,Laus::N,нет,zorri
212,Mücke::N,ветӏ,eltxo
213,Fliege::N,тӏветӏ,euli
214,Schmetterling::N,чепелукь,pinpirin
215,Schmetterling::N,чепелукь,tximeleta
216,Beere::N,куьлуь емиш,baia
217,Apfel::N,ич,sagar
218,Pilz::N,къарникъуз,onddo
219,Pilz::N,къарникъуз,perretxiko
220,Zwiebel::N,чичӏек,tipula
221,Saat::N,тумар,haziak
222,Korn::N,твар,ale
223,Korn::N,твар,pikor
224,Heu::N,векь,belar ondu
225,Heu::N,векьер,belar ondu
226,Schale::N,пириш,azal
227,Schale::N,хъуьруьш,azal
228,Grube::N,фур,hobi
229,Falle::N,ракьар,harrapagailu
230,Schlinge::N,гьалкъа,bilur
231,Schlinge::N,гьалкъа,xedera
232,Spur::N,гел,lorratz
233,Asche::N,руьхъ,errauts
234,Dreck::N,чирк,satsukeria
235,Dreck::N,кьуруш,satsukeria
236,Eisen::N,ракь,burdina
237,Gold::N,алтун,urre
238,Gold::N,алтун,urregorri
239,Silber::N,гимиш,zilar
240,Silber::N,гимиш,urrezuri
241,Kohle::N,цӏивин,ikatz
242,Glas::N,шуьше,beira
243,Lehm::N,ччеб,buztin
244,Sand::N,къум,harea
245,Sand::N,къум,hondar
246,Mensch::N,инсан,gizaki
247,Mann::N,итим,gizon
248,Frau::N,паб,andere
249,Frau::N,паб,emakume
250,Frau::N,дишегьли,andere
251,Frau::N,дишегьли,emakume
252,Kind::N,аял,haur
253,Junge::N,гада,mutil
254,Mädchen::N,руш,neska
255,Familie::N,хзан,sendi
256,Familie::N,хзан,familia
257,Familie::N,килфет,sendi
258,Familie::N,килфет,familia
259,Großvater::N,чӏехи буба,aitona
260,Großvater::N,чӏехи буба,aitatxi
261,Großmutter::N,чӏехи диде,amona
262,Großmutter::N,чӏехи диде,amatxi
263,Eltern::N,диде-буба,gurasoak
264,Vater::N,буба,aita
265,Mutter::N,диде,ama
266,Sohn::N,хва,seme
267,Tochter::N,руш,alaba
268,Bruder::N,стха,neba
269,Bruder::N,стха,anaia
270,Schwester::N,вах,ahizpa
271,Onkel::N,ими,osaba
272,Onkel::N,халу,osaba
273,Tante::N,эме,izeba
274,Tante::N,хала,izeba
275,Ehemann::N,гъуьл,senar
276,Ehefrau::N,паб,emazte
277,Freude::N,шадвал,poz
278,Freude::N,шадвал,pozkari
279,Gelächter::N,хъвер,barre
280,Gelächter::N,хъвер,karkara
281,Glück::N,бахт,zori
282,Kummer::N,дерт,xangrin
283,Kummer::N,дерт,atsekabe
284,Kummer::N,хажалат,xangrin
285,Kummer::N,хажалат,atsekabe
286,Wunsch::N,мурад,nahi
287,Wunsch::N,мурад,nahikunde
288,Lust::N,гьевес,gogo
289,Geist::N,руьгь,gogo
290,Gedanke::N,фикир,gogoeta
291,Verstand::N,акьул,adimen
292,Verstand::N,акьул,ulermen
293,Sinn::N,мана,zentzu
294,Grund::N,себеб,zergati
295,Wahrheit::N,керчек,egia
296,Wahrheit::N,гьакъикъат,egia
297,Gespräch::N,ихтилат,hizketa
298,Gespräch::N,ихтилат,elkarrizketa
299,Märchen::N,мах,ipuin
300,Erzählung::N,кьиса,edesti
301,Erzählung::N,кьиса,kontakizun
302,Nachricht::N,хабар,albiste
303,Neuigkeit::N,цӏийи хабар,berri
304,Name::N,тӏвар,izen
305,Rätsel::N,мискӏал,asmakizun
306,Rede::N,рахун,hitzaldi
307,Rede::N,рахун,mintzaldi
308,Sprache::N,чӏал,hizkuntza
309,Stimme::N,ван,ahots
310,Wort::N,гаф,hitz
311,Zeichen::N,ишара,agerbide
312,Zeichen::N,ишара,agergarri
313,Ruf::N,эвер,dei
314,Lärm::N,ван-сес,zarata
315,Lärm::N,ван-сес,harrabots
316,Laut::N,ван,hots
317,Laut::N,сес,hots
318,Ton::N,ван-сес,tonu
319,Ton::N,ван-сес,soinu
320,Lied::N,мани,abesti
321,Ruhe::N,ласвал,nasaitasun
322,Ruhe::N,фаракъат,nasaitasun
323,Ruhe::N,асайиш,nasaitasun
324,Leute::N,инсанар,jende
325,Volk::N,халкь,herri
326,Volk::N,халкь,populu
327,Arbeit::N,кӏвалах,lan
328,Gast::N,мугьман,arrotz
329,Gast::N,мугьман,apopilo
330,Geschenk::N,савкьат,opari
331,Spiel::N,къугъун,jolas
332,Gesellschaft::N,жемят,gizarte
333,Gesellschaft::N,общество,gizarte
334,Hilfe::N,куьмек,helpide
335,Hilfe::N,куьмек,laguntza
336,Freund::N,дуст,lagun
337,Kamerad::N,яр-дуст,adiskide
338,Kamerad::N,яр-дуст,lagunkide
339,Angelegenheit::N,кар,afera
340,Anzahl::N,сан,kopuru
341,Anzahl::N,кьадар,kopuru
342,Art::N,жуьре,mota
343,Stück::N,кӏус,puska
344,Teil::N,пай,atal
345,Hälfte::N,зур,erdi
346,Hälfte::N,зур пай,erdi
347,Kreis::N,круг,biribilki
348,Kreis::N,чкаяр,biribilki
349,Kreis::N,элкъвей цӏар,biribilki
350,Kreuz::N,хаш,gurutze
351,Linie::N,цӏар,linea
352,Strich::N,цӏар,marra
353,Abstand::N,ара,tarte
354,Entfernung::N,мензил,urrunera
355,Gegend::N,чка,alderdi
356,Gegend::N,чка,eskualde
357,Platz::N,ара,leku
358,Ort::N,чка,toki
359,Seite::N,пад,albo
360,Mitte::N,юкь,erdi
361,Gegenstand::N,затӏ,gauzaki
362,Sache::N,шей,gauza
363,Sache::N,затӏ,gauza
364,Rand::N,къерех,ertz
365,Kante::N,син,ertz
366,Ecke::N,пӏипӏ,kantoi
367,Spitze::N,кӏвенкӏв,punta
368,Ende::N,кьил,buru
369,Ende::N,кьил,mutur
370,Loch::N,тӏеквен,zulo
371,Winkel::N,пӏипӏ,zoko
372,Winkel::N,пӏипӏ,bazter
373,Muster::N,гишир,eredu
374,Muster::N,гишир,marrazki
375,Größe::N,кьадар,kaizu
376,Größe::N,кьадар,tamaina
377,Länge::N,яргъивал,luzera
378,Höhe::N,кьакьанвал,goiera
379,Höhe::N,кьакьанвал,garaiera
380,Gewicht::N,заланвал,hazta
381,Menge::N,кьадар,kopuru
382,Haufen::N,хара,pila
383,Haufen::N,хара,mendoi
384,Reihe::N,жерге,ilara
385,Reihe::N,жерге,errenkada
386,Boot::N,луьткве,potin
387,Boot::N,луьткве,txalupa
388,Ruder::N,кьусу,arraun
389,Schlitten::N,гъелерар,lera
390,Schlitten::N,гъелерар,narra
391,Lagerfeuer::N,цӏай,su
392,Last::N,заланвал,zama
393,Last::N,заланвал,karga
394,Gang::N,ериш,ibilera
395,Schritt::N,къадам,pauso
396,Schritt::N,къадам,urrats
397,Norden::N,кефер,ipar
398,Norden::N,кефер,iparralde
399,Norden::N,кефер пад,ipar
400,Norden::N,кефер пад,iparralde
401,Süden::N,кьибле,hego
402,Süden::N,кьибле,hegoalde
403,Westen::N,рагъакӏидай пад,sartalde
404,Westen::N,рагъакӏидай пад,mendebalde
405,Osten::N,рагъэкъечӏдай пад,ekialde
406,Osten::N,рагъэкъечӏдай пад,sortalde
407,Holz::N,кӏарас,zur
408,Brett::N,кьул,ohol
409,Brett::N,тахта,ohol
410,Stütze::N,даях,irozgarri
411,Stütze::N,даях,bermagailu
412,Stange::N,юрк,haga
413,Stock::N,лаш,makila
414,Stab::N,юрк,makila
415,Rohr::N,турба,hodi
416,Haus::N,ужагъ,etxe
417,Heim::N,кӏвал,etxe
418,Heim::N,кӏвал,etxaleku
419,Ofen::N,пич,berogailu
420,Fußboden::N,кӏвалин ччил,zoru
421,Tisch::N,стол,mahai
422,Stuhl::N,стул,aulki
423,Wiege::N,кьеб,kuma
424,Wiege::N,кьеб,sehaska
425,Bett::N,тахт,ohe
426,Bett::N,тахт,ohatze
427,Regal::N,кьацӏ,apalategi
428,Kiste::N,ящик,kutxa
429,Fenster::N,дакӏар,leiho
430,Tür::N,рак,ate
431,Tor::N,варар,atari
432,Zaun::N,пару,hesi
433,Dach::N,къав,teilatu
434,Leiter::N,гурар,zurubi
435,Besen::N,таран кул,erratz
436,Spaten::N,ппер,burdinpala
437,Schaufel::N,хекендаз,pala
438,Gabel::N,шиш,sardexka
439,Löffel::N,тӏур,koilara
440,Messer::N,чукӏул,aizto
441,Nagel::N,мих,iltze
442,Netz::N,чил,sare
443,Haken::N,къармах,mako
444,Griff::N,ттум,eskutoki
445,Schloss::N,куьлег,sarraila
446,Bild::N,шикил,irudi
447,Bild::N,суьрет,irudi
448,Figur::N,фигура,figura
449,Puppe::N,нини,panpina
450,Puppe::N,нини,andrakila
451,Beutel::N,тагъар,zorro
452,Bündel::N,галгам,azao
453,Bündel::N,галгам,espal
454,Tasche::N,чанта,poltsa
455,Eimer::N,ведре,treska
456,Deckel::N,кьил,tapa
457,Deckel::N,кьил,estalki
458,Deckel::N,къалпагъ,tapa
459,Deckel::N,къалпагъ,estalki
460,Geschirr::N,къаб-къажах,baxera
461,Geschirr::N,къаб-къажах,ontziteria
462,Sack::N,чувал,zaku
463,Tasse::N,сукӏра,kikara
464,Topf::N,къажгъан,ontzi
465,Topf::N,къажгъан,lapiko
466,Kessel::N,къажгъан,pazia
467,Essen::N,тӏуьн,janaldi
468,Nahrung::N,тӏуьн,jan
469,Speise::N,хуьрек,jaki
470,Fleisch::N,як,okela
471,Fleisch::N,як,haragi
472,Getreide::N,техил,labore
473,Brei::N,хапӏа,ahi
474,Brei::N,хапӏа,pure
475,Brei::N,хешил,ahi
476,Brei::N,хешил,pure
477,Brot::N,фу,ogi
478,Scheibe::N,чӏук,xerra
479,Scheibe::N,чӏук,pirripita
480,Fett::N,ягълу,urin
481,Fett::N,ягълу,koipe
482,Butter::N,гъери,gurin
483,Öl::N,ягълу,olio
484,Salz::N,кьел,gatz
485,Suppe::N,суп,zopa
486,Suppe::N,суп,salda
487,Suppe::N,шурпа,zopa
488,Suppe::N,шурпа,salda
489,Honig::N,вирт,ezti
490,Milch::N,нек,esne
491,Tee::N,чай,te
492,Leder::N,тумаж,larru
493,Wolle::N,йис,artile
494,Stoff::N,парча,ehun
495,Nadel::N,раб,orratz
496,Nadel::N,раб,jostorratz
497,Faden::N,гъал,hari
498,Knopf::N,дуьгме,botoi
499,Knoten::N,тӏвал,korapilo
500,Farbe::N,ранг,pintura
501,Kleidung::N,партал,arropa
502,Kleidung::N,партал,jantziak
503,Hemd::N,перем,atorra
504,Hemd::N,перем,alkandora
505,Kragen::N,хев,idun
506,Ärmel::N,хел,mahuka
507,Hose::N,шалвар,prakak
508,Hose::N,шалвар,galtzak
509,Gürtel::N,чӏул,gerriko
510,Mütze::N,бармак,txano
511,Mütze::N,бармак,txapel
512,Mütze::N,бапӏах,txano
513,Mütze::N,бапӏах,txapel
514,Schuh::N,ботинка,oski
515,Schuh::N,ботинка,oinetako
516,Stiefel::N,чекме,bota
517,Ring::N,тупӏал,uztai
518,Band::N,тасма,zinta
519,Band::N,тасма,xingola
520,Kamm::N,регъ,orrazi
521,Spiegel::N,гуьзгуь,mirail
522,Riemen::N,къайиш,uhal
523,Schnur::N,еб,lokailu
524,Decke::N,яргъан,burusi
525,Kissen::N,хъуьцуьган,kuxin
526,Tuch::N,шал,zapi
527,Tuch::N,шал,oihal
528,Handtuch::N,дасмал,eskuzapi
529,Handtuch::N,дасмал,eskuoihal
530,Kraft::N,гуж,indar
531,Stärke::N,къуват,indar
532,Gesundheit::N,сагъвал,osasun
533,Krankheit::N,тӏал,eritasun
534,Krankheit::N,тӏал,gaixotasun
535,Schmerz::N,тӏал,min
536,Schmerz::N,тӏарвал,min
537,Wunde::N,хер,zauri
538,Fieber::N,ифин,sukar
539,Arznei::N,дарман,osagai
540,Arznei::N,дарман,sendagai
541,Brücke::N,муьгъ,zubi
542,Brunnen::N,къуй,putzu
543,Weide::N,уьруьш,alha
544,Weide::N,уьруьш,bazkaleku
545,Pfad::N,рехъ,zidor
546,Pfad::N,рехъ,bidexka
547,Weg::N,рехъ,bide
548,Straße::N,рехъ,errepide
549,Dorf::N,хуьр,herri
550,Stadt::N,шегьер,hiri
551,Brief::N,кагъаз,gutun
552,Brief::N,кагъаз,eskutitz
553,Buch::N,улуб,liburu
554,Buchstabe::N,гьарф,hizki
555,Zeitung::N,газета,egunkari
556,Leben::N,уьмуьр,bizi
557,Leben::N,уьмуьр,bizitza
558,Tod::N,кьиникь,herio
559,Tod::N,кьиникь,heriotza
560,Grab::N,сур,hobi
561,Grab::N,сур,hilobi
562,Kirche::N,килиса,eliza
563,Sünde::N,гунагь,hoben
564,Sünde::N,гунагь,bekatu
565,Gott::N,аллагь,jainko
566,Arbeiter::N,фяле,langile
567,Arbeiter::N,фяле,behargin
568,Chef::N,гьаким,nagusi
569,Meister::N,устӏар,maisu
570,Arzt::N,доктор,osagile
571,Arzt::N,доктор,sendagile
572,Lehrer::N,муаллим,irakasle
573,Geld::N,пул,diru
574,Laden::N,магазин,denda
575,Laden::N,магазин,saltegi
576,Preis::N,къимет,prezio
577,Preis::N,къимет,salneurri
578,Ware::N,мал,salgai
579,Ware::N,товар,salgai
580,Nutzen::N,хийир,onura
581,Nutzen::N,хийир,probetxu
582,Nutzen::N,менфят,onura
583,Nutzen::N,менфят,probetxu
584,Reichtum::N,девлет,aberastasun
585,Welt::N,дуьнья,ludi
586,Welt::N,дуьнья,mundu
587,Land::N,уьлкве,herrialde
588,Staat::N,пачагьлугъ,estatu
589,Staat::N,государство,estatu
590,König::N,пачагь,errege
591,Macht::N,власть,botere
592,Grenze::N,сергьят,muga
593,Krieg::N,дяве,guda
594,Feind::N,душман,etsai
595,Feind::N,душман,arerio
596,Gewalt::N,гуж,bortxa
597,Gewalt::N,гуж,bortizkeria
598,Kampf::N,женг,gudu
599,Kampf::N,женг,auska
600,Bogen[Waffe]::N,чӏемерук,arku
601,Pfeil::N,хьел,gezi
602,Gewehr::N,тфенг,fusil
603,Fehler::N,гъалатӏ,huts
604,Fehler::N,гъалатӏ,hutsegin
605,Lüge::N,ттаб,gezur
606,Schaden::N,зиян,kalte
607,Schaden::N,зарар,kalte
608,Unglück::N,бала,zoritxar
609,Unglück::N,бала,zorigaitz
610,Unglück::N,бедбахтвал,zoritxar
611,Unglück::N,бедбахтвал,zorigaitz
612,Schuld::N,тахсир,erru
613,Alter::N,яш,adin
614,Schluss::N,эхир,bukaera
615,Zeit::N,вяде,aldi
616,Zeit::N,вяде,denbora
617,Tag::N,югъ,egun
618,Morgen::N,пакама,goiz
619,Mittag::N,нисин,eguerdi
620,Abend::N,няни,arrats
621,Nacht::N,йиф,gau
622,Woche::N,гьафте,aste
623,Monat::N,варз,hil
624,Jahr::N,йис,urte
625,Frühling::N,гатфар,udalehen
626,Sommer::N,гад,uda
627,Herbst::N,зул,udazken
628,Herbst::N,зул,neguantz
629,Winter::N,кьуьд,negu
630,Januar::N,январь,urtarril
631,Februar::N,февраль,otsail
632,März::N,март,martxo
633,April::N,апрель,apiril
634,Mai::N,май,maiatz
635,Juni::N,июнь,ekain
636,Juli::N,июль,uztail
637,August::N,август,abuztu
638,September::N,сентябрь,irail
639,Oktober::N,октябрь,urri
640,November::N,ноябрь,azaro
641,Dezember::N,декабрь,abendu
642,Montag::N,ислен,astelehen
643,Dienstag::N,саласа,astearte
644,Mittwoch::N,арбе,asteazken
645,Donnerstag::N,хемис югъ,ostegun
646,Freitag::N,жуьмя,ostiral
647,Freitag::N,жуьмя югъ,ostiral
648,Samstag::N,киш,larunbat
649,Sonntag::N,гьяд,igande
650,groß::A,еке,handi
651,groß::A,чӏехи,handi
652,klein::A,гъвечӏи,txiki
653,lang::A,яргъи,luze
654,kurz::A,куьруь,labur
655,breit::A,гьяркьуь,zabal
656,schmal::A,гуьтӏуь,mehar
657,dicht::A,къалин,sarri
658,dicht::A,къалин,trinko
659,dünn::A,кьелечӏ,mehe
660,fein::A,шуькӏуь,fin
661,fest::A,кӏеви,tinko
662,flach::A,кьулу,lau
663,flach::A,кьулу,ordoki
664,glatt::A,цӏалцӏам,leun
665,hart::A,кӏеви,gogor
666,weich::A,хъуьтуьл,bigun
667,weich::A,хъуьтуьл,beratz
668,rund::A,элкъвей,biribil
669,spitz::A,хци,puntadun
670,scharf::A,хци,zorrotz
671,stumpf::A,къуьруь,kamuts
672,schwer::A,залан,astun
673,schwer::A,залан,pisutsu
674,schön::A,иер,eder
675,heiß::A,кудай,bero
676,heiß::A,кудай,oso bero
677,warm::A,чими,bero
678,kalt::A,мекьи,hotz
679,kühl::A,къайи,hotzil
680,frisch::A,таза,fresko
681,frisch::A,таза,hozkirri
682,frisch::A,михьи,fresko
683,frisch::A,михьи,hozkirri
684,feucht::A,ламу,heze
685,nass::A,кьежей,busti
686,trocken::A,кьуру,siku
687,trocken::A,кьуру,lehor
688,voll::A,ацӏай,bete
689,leer::A,буш,huts
690,leer::A,ичӏи,huts
691,offen::A,ахъа,ireki
692,geschlossen::A,кӏеви,itxita
693,sauber::A,михьи,xahu
694,sauber::A,михьи,garbi
695,schmutzig::A,чиркин,lohi
696,schmutzig::A,чиркин,zikin
697,schmutzig::A,кьацӏай,lohi
698,schmutzig::A,кьацӏай,zikin
699,roh::A,чиг,gordin
700,roh::A,ицӏи,gordin
701,reif::A,дигмиш хьайи,umo
702,reif::A,дигмиш хьайи,heldu
703,lecker::A,дадлу,goxo
704,süß::A,ширин,goxo
705,bitter::A,туькьуьл,karmin
706,bitter::A,туькьуьл,garratz
707,sauer::A,цуру,mingots
708,hell::A,экуь,argi
709,dunkel::A,мичӏи,ilun
710,schwarz::A,чӏулав,beltz
711,weiß::A,лацу,zuri
712,rot::A,яру,gorri
713,gelb::A,хъипи,hori
714,blau::A,вили,urdin
715,grün::A,къацу,berde
716,grün::A,къацу,musker
717,grau::A,рехи,urdin
718,grau::A,рехи,urdinabar
719,bunt::A,цӏару,koloretsu
720,bunt::A,яру-цӏару,koloretsu
721,billig::A,ужуз,merke
722,teuer::A,багьа,garesti
723,wertvoll::A,масан,baliotsu
724,blind::A,буьркьуь,itsu
725,taub::A,биши,gor
726,kräftig::A,гужлу,kementsu
727,stark::A,къуватлу,bizkor
728,stark::A,къуватлу,indartsu
729,schwach::A,такьатсуз,ahul
730,schwach::A,такьатсуз,indargabe
731,fett::A,куьк,gizen
732,schlank::A,шумал,lerden
733,hübsch::A,гуьрчег,polit
734,böse::A,пис,tzar
735,böse::A,пис,gaizto
736,dumm::A,ахмакь,lelo
737,dumm::A,ахмакь,pello
738,faul::A,тенпел,nagi
739,faul::A,тенпел,alfer
740,fleißig::A,сяй ийидай,maratz
741,fleißig::A,сяй ийидай,lanzale
742,fleißig::A,сяйи ийидай,maratz
743,fleißig::A,сяйи ийидай,lanzale
744,geizig::A,мискьи,zeken
745,geizig::A,мискьи,zikoitz
746,klug::A,акьуллу,zuhur
747,geschickt::A,магьир,trebe
748,geschickt::A,магьир,antzetsu
749,lieb::A,играми,maite
750,lieb::A,играми,laztan
751,lustig::A,шад,alaitsu
752,sanft::A,назик,eme
753,sanft::A,назик,ezti
754,sanft::A,милайим,eme
755,sanft::A,милайим,ezti
756,hungrig::A,гишин,gose
757,krank::A,кефсуз,eri
758,krank::A,кефсуз,gaixo
759,nackt::A,кьецӏил,biluzi
760,traurig::A,пашман,itun
761,traurig::A,пашман,betilun
762,lebendig::A,ччан алай,bizirik
763,gut::A,хъсан,on
764,gut::A,вижевай,on
765,schlecht::A,пис,txar
766,richtig::A,дуьз,zuzen
767,schlimm::A,нифретлу,larri
768,wahr::A,гьакъикъи,egiazko
769,alt::A,эски,zahar
770,alt::A,куьгьне,zahar
771,neu::A,цӏийи,berri
772,ehemalig::A,виликан,lehengo
773,alt[Lebewesen]::A,кьуьзуь,adindun
774,jung::A,жегьил,gazte
775,arm::A,кесиб,txiro
776,arm::A,кесиб,behartsu
777,reich::A,девлетлу,dirudun
778,bekannt::A,чидай,ezagun
779,berühmt::A,машгьур,entzun
780,berühmt::A,машгьур,ospetsu
781,fremd::A,ччара,arrotz
782,verschieden::A,жуьреба-жуьре,ezberdin
783,verschieden::A,жуьреба-жуьре,desberdin
784,nah::A,мукьвал,hurre
785,nah::A,мукьвал,hurbil
786,fern::A,яргъал,urrun
787,linker::A,чапла,ezker
788,rechter::A,эрчӏи,eskuin
789,anderer::A,маса,beste
790,anderer::A,муькуь,beste
791,erster::A,сад лагьай,lehen
792,erster::A,сад лагьай,aurren
793,zweiter::A,кьвед лагьай,bigarren
794,dritter::A,пуд лагьай,hirugarren
