,Concept_ID,tr,hu
683,breit::A,geniş,széles
684,schmal::A,dar,keskeny
685,dicht::A,sık,sűrű
686,dicht::A,yoğun,sűrű
687,dick[Gegenstand]::A,kalın,vastag
688,dick[Gegenstand]::A,iri,vastag
689,dünn::A,ince,vékony
690,fein::A,ince,vékony
691,fein::A,narin,vékony
692,fest::A,sabit,szilárd
693,fest::A,sağlam,szilárd
694,flach::A,düz,sík
695,flach::A,düz,lapos
696,flach::A,yassı,sík
697,flach::A,yassı,lapos
698,glatt::A,düz,sima
699,hart::A,katı,kemény
700,weich::A,yumuşak,puha
701,rund::A,yuvarlak,kerek
702,spitz::A,sivri,hegyes
703,scharf::A,keskin,éles
704,stumpf::A,kör,tompa
705,stumpf::A,kör,életlen
706,schwer::A,ağır,nehéz
707,schwer::A,ağır,súlyos
708,schön::A,güzel,szép
709,heiß::A,kızgın,forró
710,warm::A,sıcak,meleg
711,kalt::A,soğuk,hideg
712,kühl::A,serin,hűs
713,kühl::A,serin,hűvös
714,frisch::A,taze,üde
715,frisch::A,taze,friss
716,feucht::A,nemli,nedves
717,feucht::A,rutubetli,nedves
718,nass::A,yaş,vizes
719,nass::A,ıslak,vizes
720,trocken::A,kuru,száraz
721,voll::A,dolu,telt
722,voll::A,dolmuş,telt
723,leer::A,boş,üres
724,offen::A,açık,nyílt
725,offen::A,açık,nyitott
726,geschlossen::A,kapalı,zárt
727,geschlossen::A,kapalı,csukott
728,sauber::A,pak,tiszta
729,sauber::A,temiz,tiszta
730,schmutzig::A,pis,piszkos
731,schmutzig::A,pis,szennyes
732,schmutzig::A,kirli,piszkos
733,schmutzig::A,kirli,szennyes
734,roh::A,çiğ,nyers
735,reif::A,olgun,érett
736,lecker::A,lezzetli,finom
737,süß::A,tatlı,édes
738,süß::A,şekerli,édes
739,bitter::A,acı,keserű
740,sauer::A,ekşi,savanyú
741,hell::A,aydınlık,világos
742,dunkel::A,karanlık,sötét
743,schwarz::A,kara,fekete
744,schwarz::A,siyah,fekete
745,weiß::A,ak,fehér
746,weiß::A,beyaz,fehér
747,rot::A,kırmızı,vörös
748,gelb::A,sarı,sárga
749,blau::A,mavi,kék
750,grün::A,yeşil,zöld
751,grau::A,boz,ősz
752,grau::A,boz,szürke
753,bunt::A,renkli,tarka
754,bunt::A,renkli,színes
755,billig::A,ucuz,olcsó
756,teuer::A,pahalı,drága
757,wertvoll::A,değerli,értékes
758,blind::A,kör,vak
759,taub::A,sağır,süket
760,kräftig::A,dinç,erős
761,kräftig::A,kuvvetli,erős
762,stark::A,güçlü,erős
763,stark::A,kuvvetli,erős
764,schwach::A,zayıf,gyenge
765,schwach::A,zayıf,erőtlen
766,schwach::A,güçsüz,gyenge
767,schwach::A,güçsüz,erőtlen
768,fett::A,şişman,hájas
769,schlank::A,narin,karcsú
770,hübsch::A,güzel,csinos
771,hübsch::A,sevimli,csinos
772,böse::A,kötü,rossz
773,böse::A,kötü,gonosz
774,dumm::A,aptal,buta
775,dumm::A,aptal,ostoba
776,faul::A,tembel,lusta
777,fleißig::A,çalışkan,szorgalmas
778,geizig::A,cimri,fukar
779,geizig::A,cimri,fösvény
780,klug::A,zekî,okos
781,klug::A,zekî,eszes
782,klug::A,akıllı,okos
783,klug::A,akıllı,eszes
784,geschickt::A,becerikli,ügyes
785,lieb::A,sevimli,drága
786,lieb::A,sevimli,kedves
787,lustig::A,neşeli,víg
788,lustig::A,neşeli,vidám
789,sanft::A,nazik,enyhe
790,hungrig::A,aç,éhes
791,krank::A,hasta,beteg
792,krank::A,rahatsız,beteg
793,nackt::A,çıplak,csupasz
794,nackt::A,çıplak,meztelen
795,traurig::A,kederli,bús
796,traurig::A,kederli,szomorú
797,traurig::A,üzüntülü,bús
798,traurig::A,üzüntülü,szomorú
799,lebendig::A,canlı,élő
800,gut::A,iyi,jó
801,schlecht::A,kötü,rossz
802,richtig::A,doğru,helyes
803,schlimm::A,kötü,rossz
804,wahr::A,doğru,igaz
805,wahr::A,gerçek,igaz
806,alt::A,eski,ó
807,alt::A,eski,régi
808,neu::A,yeni,új
809,ehemalig::A,önceki,volt
810,ehemalig::A,önceki,egykori
811,alt[Lebewesen]::A,yaşlı,öreg
812,jung::A,genç,fiatal
813,arm::A,fakir,szegény
814,reich::A,zengin,gazdag
815,bekannt::A,bilinen,ismert
816,bekannt::A,bilinen,ismeretes
817,berühmt::A,ünlü,híres
818,berühmt::A,meşhur,híres
819,fremd::A,yabancı,idegen
820,verschieden::A,ayrı,különböző
821,verschieden::A,farklı,különböző
822,nah::A,yakın,közeli
823,nah::A,bitişik,közeli
824,fern::A,uzak,távoli
825,linker::A,sol,bal
826,rechter::A,sağ,jobb
827,anderer::A,diğer,más
828,anderer::A,diğer,másik
829,erster::A,ilk,első
830,erster::A,birinci,első
831,zweiter::A,ikinci,második
832,dritter::A,üçüncü,harmadik
833,letzter::A,son,utolsó
834,letzter::A,sonuncu,utolsó
835,allein::ADV,yalnız,egyedül
836,allein::ADV,tek başına,egyedül
837,auf einmal::ADV,birden,egyszerre
838,zusammen::ADV,beraber,együtt
839,zusammen::ADV,beraber,összesen
840,zusammen::ADV,birlikte,együtt
841,zusammen::ADV,birlikte,összesen
842,lange::ADV,çok,sokáig
843,lange::ADV,çok,hosszan
844,lange::ADV,uzun,sokáig
845,lange::ADV,uzun,hosszan
846,plötzlich::ADV,ansızın,hirtelen
847,plötzlich::ADV,ansızın,egyszerre
848,plötzlich::ADV,birdenbire,hirtelen
849,plötzlich::ADV,birdenbire,egyszerre
850,sofort::ADV,hemen,rögtön
851,sofort::ADV,hemen,tüstént
852,sofort::ADV,derhal,rögtön
853,sofort::ADV,derhal,tüstént
854,später::ADV,daha sonra,későn
855,jetzt::ADV,şimdi,most
856,heute::ADV,bugün,ma
857,morgen::ADV,yarın,holnap
858,bald::ADV,yakında,majd
859,bald::ADV,yakında,nemsokára
860,dann::ADV,sonra,akkor
861,gestern::ADV,dün,tegnap
862,einst::ADV,eskiden,hajdan
863,damals::ADV,o zamanlar,akkor
864,damals::ADV,o zamanlar,akkoriban
865,danach::ADV,sonradan,azután
866,danach::ADV,ondan sonra,azután
867,vorher::ADV,önce,előbb
868,vorher::ADV,önceden,előbb
869,zuerst::ADV,ilk önce,először
870,einmal::ADV,bir defa,egyszer
871,manchmal::ADV,bazan,néha
872,manchmal::ADV,bazan,olykor
873,oft::ADV,sık sık,sokszor
874,oft::ADV,çok defa,sokszor
875,immer::ADV,daima,mindig
876,immer::ADV,her zaman,mindig
877,niemals::ADV,asla değil,sohasem
878,niemals::ADV,hiçbir zaman,sohasem
879,hier::ADV,burada,itt
880,hierhin::ADV,buraya,erre
881,von hier::ADV,buradan,innen
882,dort::ADV,orada,ott
883,dort::ADV,şurada,ott
884,dorthin::ADV,oraya,oda
885,dorthin::ADV,şuraya,oda
886,geradeaus::ADV,doğru,egyenesen
887,vorwärts::ADV,ileri,előre
888,rückwärts::ADV,geri,hátrafelé
889,zurück::ADV,geriye,hátra
890,zurück::ADV,geriye,vissza
891,unten::ADV,aşağıda,alul
892,hinab::ADV,aşağıya,le
893,hinab::ADV,aşağıya,lefelé
894,oben::ADV,yukarıda,fenn
895,oben::ADV,yukarıda,felül
896,hinauf::ADV,yukarı,fel
897,hinauf::ADV,yukarı,felfelé
898,hinauf::ADV,yukarıya,fel
899,hinauf::ADV,yukarıya,felfelé
900,überall::ADV,her yerde,mindenütt
