,Concept_ID,lt,ba
102,Sumpf::N,klampynė,һаҙлык
103,Sumpf::N,liūnas,һаҙлык
104,Moor::N,pelkė,һаҙ
105,Wiese::N,pieva,болон
106,Wald::N,miškas,урман
107,Hügel::N,kalva,түбә
108,Anhöhe::N,kauburys,түбә
109,Anhöhe::N,kauburys,ҡалҡыулыҡ
110,Berg::N,kalnas,тау
111,Gipfel::N,viršūnė,түбә
112,Höhle::N,ola,мәмерйә
113,Abhang::N,šlaitas,ипкен
114,Abhang::N,nuokalnė,ипкен
115,Quelle::N,versmė,шишмә
116,Quelle::N,šaltinis,шишмә
117,Bach::N,upelis,шишмә
118,Fluss::N,upė,йылға
119,Ufer::N,krantas,яр
120,Küste::N,pajūris,яр буйы
121,Festland::N,sausuma,ҡоро ер
122,Meer::N,jūra,диңгез
123,Bucht::N,įlanka,бухта
124,Bucht::N,užutekis,бухта
125,Insel::N,sala,үтрау
126,Blume::N,gėlė,сәскә
127,Gras::N,žolė,үлән
128,Wurzel::N,šaknis,тамыр
129,Baum::N,medis,ағас
130,Stamm::N,kamienas,олон
131,Stamm::N,kamienas,көбәк
132,Rinde::N,žievė,ҡабыҡ
133,Ast::N,šaka,ботаҡ
134,Zweig::N,šakelė,ботаҡ
135,Zweig::N,šakelė,тармаҡ
136,Blatt::N,lapas,япраҡ
137,Birke::N,beržas,ҡайын
138,Kiefer[Baum]::N,pušis,ҡарғай
139,Weide[Baum]::N,karklas,тал
140,Tanne::N,eglė,шыршы
141,Tanne::N,kėnis,шыршы
142,Horn::N,ragas,мөғөҙ
143,Feder::N,plunksna,ҡауырһын
144,Fell::N,kailis,тире
145,Flügel::N,sparnas,ҡанат
146,Klaue::N,kanopa,тырнаҡ
147,Kralle::N,nagas,аяҡ
148,Schwanz::N,uodega,ҡойроҡ
149,Ei::N,kiaušinis,йомортҡа
150,Nest::N,gūžta,оя
151,Nest::N,lizdas,оя
152,Bau::N,ola,оң
153,Tier::N,gyvūnas,жайуан
154,Tier::N,gyvūnas,йыртҡыс
155,Herde::N,banda,көтөү
156,Herde::N,kaimenė,көтөү
157,Kuh::N,karvė,һыйыр
158,Bulle::N,bulius,үгеҙ
159,Pferd::N,arklys,ат
160,Schaf::N,avis,һарыҡ
161,Schwein::N,kiaulė,сусҡа
162,Hund::N,šuo,эт
163,Katze::N,katė,бесәй
164,Bär::N,lokys,айыу
165,Eichhörnchen::N,voveraitė,тейен
166,Elch::N,briedis,мышы
167,Fuchs::N,lapė,төлкө
168,Hase::N,kiškas,ҡуян
169,Maus::N,pelė,сысҡан
170,Wolf::N,vilkas,бүре
171,Vogel::N,paukštis,ҡош
172,Schwarm::N,spiečius,көтөү
173,Huhn::N,višta,тауыҡ
174,Hahn::N,gaidys,әтәс
175,Gans::N,žąsis,ҡаҙ
176,Adler::N,erelis,бөркөт
177,Ente::N,antis,өйрәк
178,Eule::N,pelėda,өкө
179,Eule::N,pelėda,ябалаҡ
180,Kranich::N,gervė,торна
181,Krähe::N,varna,ҡарға
182,Kuckuck::N,gegužė,кәкүк
183,Schwan::N,gulbė,аҡҡош
184,Fisch::N,žuvis,балыҡ
185,Barsch::N,ešerys,алабуға
186,Hecht::N,lydeka,суртан
187,Schlange[Tier]::N,gyvatė,йылан
188,Wurm::N,kirmėlė,селяүсен
189,Spinne::N,voras,үрмәксе
190,Ameise::N,skruzdė,ҡырмыҫҡа
191,Laus::N,utėlė,бет
192,Mücke::N,uodas,серәкәй
193,Fliege::N,musė,себен
194,Schmetterling::N,drugys,күбәләк
195,Schmetterling::N,peteliškė,күбәләк
196,Beere::N,uoga,еләк
197,Apfel::N,obuolys,алма
198,Pilz::N,grybas,бәшмәк
199,Zwiebel::N,svogūnas,һуган
200,Saat::N,sėkla,орлоҡ
201,Korn::N,grūdai,иген
202,Heu::N,šienas,бесән
203,Schale::N,žievelė,ҡабыҡ
204,Grube::N,duobė,соҡор
205,Falle::N,pinklės,тоҙак
206,Falle::N,pinklės,ҡапҡан
207,Falle::N,žabangai,тоҙак
208,Falle::N,žabangai,ҡапҡан
209,Schlinge::N,kilpa,тоҙак
210,Spur::N,vėžė,әҫер
211,Spur::N,pėdos,әҫер
212,Spur::N,pėdsakas,әҫер
213,Asche::N,pelenai,көл
214,Dreck::N,purvas,батҡаҡ
215,Eisen::N,geležis,тимер
216,Gold::N,auksas,алтын
217,Silber::N,sidabras,көмөш
218,Kohle::N,anglis,күмер
219,Glas::N,stiklas,быяла
220,Lehm::N,molis,балсыҡ
221,Sand::N,smėlis,ҡом
222,Mensch::N,žmogus,кеше
223,Mann::N,vyras,ир
224,Mann::N,vyriškis,ир
225,Frau::N,moteris,ҡатын
226,Kind::N,vaikas,бала
227,Junge::N,vaikinas,малай
228,Junge::N,berniukas,малай
229,Mädchen::N,mergytė,ҡыҙ
230,Mädchen::N,mergytė,ҡыҙыҡай
231,Mädchen::N,mergaitė,ҡыҙ
232,Mädchen::N,mergaitė,ҡыҙыҡай
233,Familie::N,šeima,ғаилә
234,Großvater::N,senelis,олатай
235,Großmutter::N,senelė,әбәй
236,Eltern::N,tėvai,ата-әсә
237,Vater::N,tėvas,атай
238,Mutter::N,motina,әсә
239,Sohn::N,sūnus,ул
240,Tochter::N,duktė,ҡыҙ
241,Bruder::N,brolis,агай
242,Schwester::N,sesuo,алай
243,Schwester::N,sesuo,һеңле
244,Onkel::N,dėdė,ағай
245,Tante::N,teta,апай
246,Ehemann::N,vyras,ир
247,Ehefrau::N,žmona,ҡатын
248,Freude::N,džiaugsmas,шатлыҡ
249,Freude::N,džiaugsmas,ҡыуаныс
250,Gelächter::N,juokas,көлөү
251,Glück::N,laimė,бәхет
252,Kummer::N,vargas,ҡайғы
253,Kummer::N,rūpestis,ҡайғы
254,Wunsch::N,troškimas,теләк
255,Wunsch::N,pageidavimas,теләк
256,Lust::N,noras,әүәҫлек
257,Lust::N,geidulys,әүәҫлек
258,Geist::N,dvasia,аң
259,Geist::N,dvasia,рух
260,Gedanke::N,mintis,уй
261,Gedanke::N,mintis,фекер
262,Gedächtnis::N,atmintis,хәтер
263,Verstand::N,protas,аҡыл
264,Sinn::N,prasmė,мәғәня
265,Grund::N,priežastis,сәбәп
266,Wahrheit::N,tiesa,дөрөҫлөк
267,Wahrheit::N,teisybė,дөрөҫлөк
268,Gespräch::N,pokalbis,әңгәмә
269,Märchen::N,pasaka,әкиәт
270,Erzählung::N,apsakymas,хикәйә
271,Erzählung::N,pasakojimas,хикәйә
272,Nachricht::N,žinia,хәбәр
273,Neuigkeit::N,naujiena,яңылыҡ
274,Name::N,vardas,исем
275,Rätsel::N,mįslė,йомаҡ
276,Rede::N,kalba,телмәр
277,Sprache::N,kalba,тел
278,Sprache::N,kalba,телмәр
279,Stimme::N,balsas,тауыш
280,Wort::N,žodis,һүҙ
281,Zeichen::N,žymė,билдә
282,Zeichen::N,ženklas,билдә
283,Ruf::N,šauksmas,саҡырыу
284,Lärm::N,triukšmas,шаулау
285,Laut::N,garsas,тауыш
286,Ton::N,tonas,яңғырау
287,Ton::N,garsas,яңғырау
288,Lied::N,daina,йыр
289,Lied::N,giesmė,йыр
290,Ruhe::N,ramybė,ял
291,Ruhe::N,ramybė,тыныслыҡ
292,Ruhe::N,ramumas,ял
293,Ruhe::N,ramumas,тыныслыҡ
294,Leute::N,žmonės,кешеләр
295,Volk::N,tauta,халҡ
296,Arbeit::N,darbas,эш
297,Arbeit::N,triūsas,эш
298,Gast::N,svečias,ҡунаҡ
299,Geschenk::N,dovana,бүләк
300,Spiel::N,žaismas,уйын
301,Spiel::N,žaidimas,уйын
302,Gesellschaft::N,draugija,йәмғиәт
303,Gesellschaft::N,kompanija,йәмғиәт
304,Hilfe::N,pagalba,ярҙам
305,Freund::N,draugas,дуҫ
306,Freund::N,bičiulis,дуҫ
307,Kamerad::N,draugas,иптәш
308,Angelegenheit::N,dalykas,әш
309,Angelegenheit::N,reikalas,әш
310,Anzahl::N,kiekis,һан
311,Anzahl::N,skaičius,һан
312,Art::N,rūšis,төр
313,Stück::N,gabalas,киҫәк
314,Teil::N,dalis,өлөш
315,Hälfte::N,pusė,ярты
316,Kreis::N,ratas,түңәрәк
317,Kreis::N,apskritis,түңәрәк
318,Kreis::N,apskritimas,түңәрәк
319,Kreuz::N,kryžius,тәре
320,Linie::N,linija,һыҙыҡ
321,Strich::N,brėžis,һыҙат
322,Strich::N,brūkšnys,һыҙат
323,Abstand::N,atstumas,ара
324,Entfernung::N,atstumas,алыҫлыҡ
325,Gegend::N,vietovė,урын
326,Platz::N,vieta,арауыҡ
327,Ort::N,vieta,ерҙәр
328,Ort::N,vieta,урындар
329,Ort::N,vieta,эш урыны
330,Ort::N,vietovė,ерҙәр
331,Ort::N,vietovė,урындар
332,Ort::N,vietovė,эш урыны
333,Seite::N,pusė,яҡ
334,Seite::N,šonas,яҡ
335,Mitte::N,vidurys,урталыҡ
336,Gegenstand::N,dalykas,нәмә
337,Sache::N,daiktas,нәмә
338,Sache::N,daiktas,әйбер
339,Rand::N,kraštas,сит
340,Rand::N,pakraštys,сит
341,Kante::N,kraštas,ҡабырға
342,Kante::N,kraštas,ян
343,Ecke::N,kertė,мөйөш
344,Ecke::N,kampas,мөйөш
345,Spitze::N,priekis,ос
346,Spitze::N,priešakys,ос
347,Ende::N,galas,аҙаҡ
348,Loch::N,skylė,тишек
349,Winkel::N,kampas,мөйөш
350,Winkel::N,kampelis,мөйөш
351,Muster::N,raštas,биҙәк
352,Größe::N,dydis,ҙурлыҡ
353,Größe::N,didumas,ҙурлыҡ
354,Länge::N,ilgis,оҙонлоҡ
355,Länge::N,ilgumas,оҙонлоҡ
356,Höhe::N,aukštis,бейеклек
357,Höhe::N,aukštuma,бейеклек
358,Gewicht::N,svoris,үлсәү
359,Gewicht::N,svarstis,үлсәү
360,Menge::N,kiekis,һан
361,Menge::N,daugybė,һан
362,Haufen::N,krūva,өйөм
363,Haufen::N,šūsnis,өйөм
364,Reihe::N,greta,рәт
365,Boot::N,valtis,кәмә
366,Boot::N,laivelis,кәмә
367,Ruder::N,irklas,ишкәк
368,Schlitten::N,rogės,сана
369,Schlitten::N,rogutės,сана
370,Ski::N,slidė,саңгы
371,Lagerfeuer::N,laužas,костер
372,Last::N,našta,ауырлыҡ
373,Last::N,nešulys,ауырлыҡ
374,Gang::N,eisena,барыу
375,Schritt::N,žingsnis,аҙым
376,Norden::N,šiaurė,төньяҡ
377,Norden::N,žiemiai,төньяҡ
378,Süden::N,pietūs,көньяҡ
379,Westen::N,vakarai,көнбайыш
380,Osten::N,rytai,көнсығыш
381,Holz::N,mediena,үағас
382,Brett::N,lenta,таҡта
383,Platte::N,plokštė,плита
384,Stütze::N,atrama,терәк
385,Stütze::N,atspara,терәк
386,Stange::N,lazda,кәртә
387,Stange::N,kartis,кәртә
388,Stock::N,lazda,таяҡ
389,Stab::N,kartis,ҡолға
390,Rohr::N,vamzdis,торба
391,Haus::N,namas,өй
392,Haus::N,namas,йорт
393,Heim::N,namai,өй
394,Ofen::N,krosnis,мейес
395,Fußboden::N,grindys,енес
396,Tisch::N,stalas,өҫтәл
397,Stuhl::N,kėdė,ултырғыс
398,Wiege::N,lopšys,бишек
399,Bett::N,lova,карауат
400,Bett::N,patalai,карауат
401,Regal::N,lentyna,кәштә
402,Kiste::N,dėžė,йәшинк
403,Fenster::N,langas,тәҙрә
404,Tür::N,durys,ишек
405,Tor::N,vartai,ҡапҡа
406,Zaun::N,tvora,ҡойма
407,Dach::N,stogas,түбә
408,Dach::N,stogas,ҡыйыҡ
409,Leiter::N,kopėčios,баҫҡыс
410,Besen::N,šluota,һепертке
411,Spaten::N,lopeta,көрәк
412,Spaten::N,kastuvas,көрәк
413,Schaufel::N,semtuvas,көрәк
414,Gabel::N,šakutė,сәнске
415,Löffel::N,šaukštas,ҡалаҡ
416,Messer::N,peilis,бысаҡ
417,Nagel::N,vinis,сөй
418,Netz::N,tinklas,ау
419,Haken::N,vagis,ыргаҡ
420,Haken::N,kablys,ыргаҡ
421,Griff::N,kotas,тотҡа
422,Griff::N,rankena,тотҡа
423,Schloss::N,spyna,йоҙаҡ
424,Schloss::N,užraktas,йоҙаҡ
425,Bild::N,paveikslas,картина
426,Figur::N,figūra,һын
427,Puppe::N,lėlė,ҡурсаҡ
428,Beutel::N,krepšys,тоҡ
429,Beutel::N,maišelis,тоҡ
430,Bündel::N,ryšulys,төргәк
431,Tasche::N,krepšelis,сумка
432,Eimer::N,kibiras,биҙрә
433,Deckel::N,dangtis,ҡапҡас
434,Geschirr::N,indai,һауыт-һаба
435,Sack::N,maišas,тоҡ
436,Tasse::N,puodukas,сынаяҡ
437,Topf::N,puodas,кәстрүл
438,Kessel::N,katilas,ҡаҙан
439,Essen::N,valgis,ашау
440,Nahrung::N,penas,аҙыҡ
441,Nahrung::N,maistas,аҙыҡ
442,Speise::N,patiekalas,аш
443,Fleisch::N,mėsa,ит
444,Getreide::N,javai,иген
445,Getreide::N,javai,ашлыҡ
446,Brei::N,košė,бутҡа
447,Brot::N,duona,икмәк
448,Scheibe::N,riekė,телем
449,Fett::N,taukai,май
450,Fett::N,riebalai,май
451,Butter::N,sviestas,май
452,Öl::N,aliejus,май буяуы
453,Salz::N,druska,тоҙ
454,Suppe::N,sriuba,һурпа
455,Honig::N,medus,бал
456,Milch::N,pienas,һөт
457,Tee::N,arbata,сәй
458,Leder::N,oda,күн
459,Wolle::N,vilna,йөн
460,Stoff::N,audeklas,туҡыма
461,Nadel::N,adata,энә
462,Faden::N,gija,еп
463,Faden::N,siūlas,еп
464,Knopf::N,saga,төймә
465,Knoten::N,mazgas,төйөн
466,Farbe::N,dažai,буяу
467,Kleidung::N,rūbai,кейем
468,Kleidung::N,drabužiai,кейем
469,Hemd::N,marškiniai,күлдәк
470,Kragen::N,apykaklė,яға
471,Ärmel::N,rankovė,ең
472,Hose::N,kelnės,салбар
473,Gürtel::N,juosta,ҡайыш
474,Gürtel::N,diržas,ҡайыш
475,Mütze::N,kepurė,бүрк
476,Schuh::N,batas,туфли
477,Stiefel::N,auliniai batai,итек
478,Ring::N,žiedas,йөҙөк
479,Ring::N,žiedas,балдаҡ
480,Band::N,kaspinas,таҫма
481,Kamm::N,šukos,тараҡ
482,Spiegel::N,veidrodis,көзгө
483,Riemen::N,diržas,ҡайыш
484,Schnur::N,virvė,бау
485,Leine::N,pavadėlis,бау
486,Decke::N,antklodė,одеяд
487,Kissen::N,pagalvė,мендәр
488,Kissen::N,priegalvis,мендәр
489,Tuch::N,skarelė,яулыҡ
490,Handtuch::N,rankšluostis,таҫтамал
491,Kraft::N,jėga,көс
492,Stärke::N,stiprumas,көс
493,Gesundheit::N,sveikata,һаулыҡ
494,Krankheit::N,liga,сир
495,Krankheit::N,liga,ауырыу
496,Schmerz::N,skausmas,һыҙлау
497,Schmerz::N,skausmas,әрнеү
498,Wunde::N,žaizda,йәрәхәт
499,Fieber::N,karštis,тапма
500,Fieber::N,karštis,биҙгәк
501,Arznei::N,vaistas,дарыу
502,Brücke::N,tiltas,күпер
503,Brunnen::N,šulinys,ҡоҙоҡ
504,Weide::N,ganykla,көтөүлек
505,Weide::N,gluosnis,көтөүлек
506,Pfad::N,takas,һуҡмаҡ
507,Weg::N,kelias,юл
508,Straße::N,gatvė,урам
509,Dorf::N,kaimas,ауыл
510,Dorf::N,sodžius,ауыл
511,Stadt::N,miestas,ҡала
512,Brief::N,laiškas,хат
513,Buch::N,knyga,китап
514,Buch::N,knyga,кенәгә
515,Buchstabe::N,raidė,хәреф
516,Zeitung::N,laikraštis,гәзит
517,Leben::N,gyvybė,йәшәү
518,Leben::N,gyvenimas,йәшәү
519,Tod::N,mirtis,үлем
520,Grab::N,kapas,ҡәбер
521,Kirche::N,bažnyčia,сиркәү
522,Sünde::N,nuodėmė,гөнаһ
523,Sünde::N,nusidėjimas,гөнаһ
524,Gott::N,dievas,алла
525,Gott::N,dievas,хоҙай
526,Arbeiter::N,darbininkas,эшсе
527,Chef::N,šefas,башлыҡ
528,Chef::N,vadovas,башлыҡ
529,Chef::N,viršininkas,башлыҡ
530,Meister::N,meistras,оҫта
531,Arzt::N,gydytojas,врач
532,Lehrer::N,mokytojas,уҡытыусы
533,Geld::N,pinigai,аҡса
534,Geschäft::N,biznis,эш
535,Laden::N,krautuvė,магазин
536,Laden::N,parduotuvė,магазин
537,Preis::N,kaina,хаҡ
538,Ware::N,prekė,тауар
539,Nutzen::N,nauda,файҙа
540,Nutzen::N,pelnas,файҙа
541,Reichtum::N,turtas,байлыҡ
542,Welt::N,pasaulis,донъя
543,Land::N,žemė,ил
544,Land::N,šalis,ил
545,Staat::N,valstija,дәүләт
546,König::N,karalius,король
547,Macht::N,galia,власть
548,Macht::N,valdžia,власть
549,Grenze::N,riba,сик
550,Grenze::N,siena,сик
551,Krieg::N,karas,һуғыш
552,Feind::N,priešas,йылан
553,Gewalt::N,jėga,көслөк
554,Gewalt::N,smurtas,көслөк
555,Gewalt::N,prievarta,көслөк
556,Kampf::N,kova,көрәш
557,Bogen[Waffe]::N,lankas,йәйә
558,Pfeil::N,strėlė,уҡ
559,Gewehr::N,šautuvas,мылтыҡ
560,Fehler::N,klaida,хата
561,Lüge::N,melas,ялған
562,Schaden::N,nuostolis,зыян
563,Schaden::N,nuostolis,зарар
564,Schaden::N,apgadinimas,зыян
565,Schaden::N,apgadinimas,зарар
566,Unglück::N,nelaimė,ҡаза
567,Schuld::N,kaltė,ғәйеп
568,Alter::N,amžius,йәш
569,Schluss::N,pabaiga,һуң
570,Schluss::N,pabaiga,аҙаҡ
571,Zeit::N,laikas,мәл
572,Zeit::N,laikas,заман
573,Tag::N,diena,көн
574,Morgen::N,rytas,иртә
575,Morgen::N,rytas,иртәнсәк
576,Mittag::N,vidurdienis,төш
577,Abend::N,vakaras,кис
578,Nacht::N,naktis,төн
579,Woche::N,savaitė,аҙна
580,Monat::N,mėnuo,ай
581,Jahr::N,metai,йыл
582,Frühling::N,pavasaris,яҙ
583,Sommer::N,vasara,йәй
584,Herbst::N,ruduo,көз
585,Winter::N,žiema,ҡыш
586,Januar::N,sausis,ғинуар
587,Februar::N,vasaris,февраль
588,März::N,kovas,март
589,April::N,balandis,апрель
590,Mai::N,gegužė,май
591,Juni::N,birželis,июнь
592,Juli::N,liepa,июль
593,August::N,rugpjūtis,август
594,September::N,rugsėjis,сентябрь
595,Oktober::N,spalis,октябрь
596,November::N,lapkritis,ноябрь
597,Dezember::N,gruodis,декабрь
598,Montag::N,pirmadienis,дүшәмбе
599,Dienstag::N,antradienis,шишәмбе
600,Mittwoch::N,trečiadienis,шаршамбы
601,Donnerstag::N,ketvirtadienis,кесаҙна
602,Freitag::N,penktadienis,йома
603,Samstag::N,šeštadienis,шәмбе
604,Sonntag::N,sekmadienis,йәкшәмбе
605,groß::A,didis,ҙур
606,groß::A,didelis,ҙур
607,klein::A,mažas,бәләкәс
608,lang::A,ilgas,оҙон
609,kurz::A,trumpas,ҡыҫҡа
610,breit::A,platus,киң
611,schmal::A,smulkus,тар
612,dicht::A,tankus,йыш
613,dicht::A,tankus,ҡуйы
614,dick[Gegenstand]::A,storas,ҡалын
615,dünn::A,plonas,йоҡа
616,dünn::A,plonas,нәҙек
617,fein::A,smulkus,нескә
618,fest::A,kietas,ныҡ
619,fest::A,tvirtas,ныҡ
620,flach::A,lėkštas,яҫы
621,flach::A,lėkštas,ялпаҡ
622,flach::A,plokščias,яҫы
623,flach::A,plokščias,ялпаҡ
624,glatt::A,slidus,шыма
625,hart::A,kietas,ҡаты
626,weich::A,minkštas,йомшаҡ
627,rund::A,apvalus,түңәрәк
628,rund::A,apskritas,түңәрәк
629,spitz::A,aštrus,осло түбәле
630,spitz::A,smailus,осло түбәле
631,scharf::A,aštrus,үткер
632,stumpf::A,bukas,утмәҫ
633,stumpf::A,atšipęs,утмәҫ
634,schwer::A,sunkus,ауыр
635,schön::A,gražus,матур
636,heiß::A,karštas,эҫе
637,warm::A,šiltas,йылы
638,kalt::A,šaltas,һыуыҡ
639,kühl::A,vėsus,һалҡынса
640,kühl::A,bejausmis,һалҡынса
641,frisch::A,šviežias,һалҡынса
642,feucht::A,drėgnas,еүеш
643,feucht::A,drėgnas,дымлы
644,nass::A,šlapias,еүеш
645,trocken::A,sausas,кипкән
646,voll::A,pilnas,тулы
647,leer::A,tuščias,буш
648,offen::A,atviras,асыҡ
649,geschlossen::A,uždaras,ябыҡ
650,geschlossen::A,uždarytas,ябыҡ
651,sauber::A,švarus,таҙа
652,schmutzig::A,nešvarus,бысраҡ
653,schmutzig::A,purvinas,бысраҡ
654,roh::A,žalias,сей
655,reif::A,prinokęs,өлгөрғән
656,reif::A,pribrendęs,өлгөрғән
657,lecker::A,gardus,тәмле
658,süß::A,saldus,тямле
659,süß::A,saldus,тәм-том
660,bitter::A,kartus,әсе
661,sauer::A,gižus,әсе
662,sauer::A,rūgštus,әсе
663,hell::A,šviesus,яҡты
664,hell::A,skaistus,яҡты
665,dunkel::A,tamsus,ҡараңғы
666,schwarz::A,juodas,ҡара
667,weiß::A,baltas,аҡ
668,rot::A,raudonas,матур
669,rot::A,raudonas,һылыу
670,rot::A,raudonas,сибәр
671,gelb::A,geltonas,һары
672,blau::A,mėlynas,күк
673,grün::A,žalias,йәшел
674,grau::A,pilkas,буҙ
675,bunt::A,margas,сыбар
676,bunt::A,margas,ала-ҡола
677,bunt::A,spalvotas,сыбар
678,bunt::A,spalvotas,ала-ҡола
679,billig::A,pigus,арзан
680,teuer::A,brangus,ҡыйбатлы
681,wertvoll::A,vertingas,ҡиммәтле
682,blind::A,aklas,һуҡыр
683,taub::A,kurčias,һаңғырау
684,kräftig::A,stiprus,көслө
685,kräftig::A,stiprus,ҡеүәтле
686,stark::A,stiprus,көслө
687,stark::A,stiprus,ҡеүәтле
688,schwach::A,silpnas,көсһөҙ
689,fett::A,riebus,һимеҙ
690,schlank::A,laibas,зифа
691,schlank::A,lieknas,зифа
692,hübsch::A,gražus,матур
693,böse::A,blogas,асыулы
694,dumm::A,paikas,иҫәр
695,dumm::A,kvailas,иҫәр
696,faul::A,tingus,иренсәк
697,fleißig::A,stropus,тырыш
698,fleißig::A,kruopštus,тырыш
699,geizig::A,šykštus,һаран
700,klug::A,sumanus,аҡыллы
701,klug::A,protingas,аҡыллы
702,geschickt::A,apsukrus,оҫта
703,lieb::A,mielas,яғымлы
704,lustig::A,smagus,күңелле
705,lustig::A,linksmas,күңелле
706,sanft::A,švelnus,йыуаш
707,sanft::A,minkštas,йыуаш
708,hungrig::A,alkanas,ас
709,krank::A,ligotas,сирле
710,krank::A,ligotas,ауырыу
711,krank::A,sergantis,сирле
712,krank::A,sergantis,ауырыу
713,nackt::A,nuogas,яланғас
714,traurig::A,liūdnas,яманһыу
715,lebendig::A,gyvas,тере
716,lebendig::A,gyvas,йәнле
717,gut::A,geras,яҡшы
718,schlecht::A,blogas,хөрт
719,schlecht::A,blogas,алама
720,schlecht::A,prastas,хөрт
721,schlecht::A,prastas,алама
722,richtig::A,tikras,дөрөҫ
723,richtig::A,teisingas,дөрөҫ
724,schlimm::A,blogas,хөрт
725,schlimm::A,blogas,алама
726,schlimm::A,prastas,хөрт
727,schlimm::A,prastas,алама
728,wahr::A,tikras,дөрөҫ
729,alt::A,senas,иҫке
730,alt::A,senas,боронғо
731,neu::A,naujas,яңы
732,ehemalig::A,buvęs,элекке
733,alt[Lebewesen]::A,pagyvenęs,ҡарт
734,jung::A,jaunas,йәш
735,arm::A,neturtingas,фәҡир
736,reich::A,turtingas,бай
737,bekannt::A,žinomas,таныш
738,bekannt::A,pažįstamas,таныш
739,berühmt::A,žymus,атаҡлы
740,berühmt::A,žymus,данлыҡлы
741,berühmt::A,garsus,атаҡлы
742,berühmt::A,garsus,данлыҡлы
743,fremd::A,svetimas,ят
744,fremd::A,svetimas,сит
