,Concept_ID,et,xal
214,Silber::N,hõbe,цаһан мөңгн
215,Kohle::N,süsi,нүүрсн
216,Glas::N,klaas,шил
217,Lehm::N,savi,шавр
218,Sand::N,liiv,элсн
219,Mensch::N,inimene,күн
220,Mensch::N,inimene,күмн
221,Mann::N,mees,эр
222,Frau::N,naine,күүкд күн
223,Kind::N,laps,үрн
224,Junge::N,poiss,көвүн
225,Mädchen::N,tüdruk,бичкн күүкн
226,Familie::N,perekond,бүл
227,Großvater::N,vanaisa,өвк эцк
228,Großvater::N,vanaisa,наһц эцк
229,Großmutter::N,vanaema,эмг эк
230,Großmutter::N,vanaema,наһц эк
231,Eltern::N,vanemad,эк эцк хойр
232,Vater::N,isa,эцк
233,Mutter::N,ema,эк
234,Sohn::N,poeg,көвүн
235,Tochter::N,tütar,күүкн
236,Bruder::N,vend,дү көвүн
237,Schwester::N,õde,эгч
238,Schwester::N,õde,дү күүкн
239,Onkel::N,onu,авһ
240,Onkel::N,onu,наһцх
241,Tante::N,tädi,наһц эгч
242,Ehemann::N,mees,залу
243,Ehemann::N,abikaasa,залу
244,Ehefrau::N,naine,гергн
245,Ehefrau::N,abikaasa,гергн
246,Freude::N,rõõm,байр
247,Gelächter::N,naer,инәдн
248,Glück::N,õnn,җирһл
249,Glück::N,õnn,сәәхн җирһл
250,Kummer::N,mure,зовлң
251,Kummer::N,kurbus,зовлң
252,Wunsch::N,soov,дурн
253,Lust::N,himu,җилвтлһн
254,Geist::N,vaim,зөрг
255,Gedanke::N,mõte,ухан
256,Gedächtnis::N,mälu,чееҗин тодлвр
257,Verstand::N,aru,ухан
258,Verstand::N,mõistus,ухан
259,Sinn::N,tähendus,учр-утх
260,Grund::N,põhjus,учр
261,Grund::N,põhjus,шалтан
262,Wahrheit::N,tõde,үнн
263,Gespräch::N,kõne,күүндвүр
264,Gespräch::N,vestlus,күүндвүр
265,Märchen::N,muinasjutt,тууль
266,Erzählung::N,jutustus,келвр
267,Nachricht::N,teade,медүллһн
268,Neuigkeit::N,uudis,зәңг
269,Name::N,nimi,нерн
270,Rätsel::N,mõistatus,тәәлвртә тууль
271,Rede::N,kõne,келлһн
272,Sprache::N,keel,келн
273,Stimme::N,hääl,дун
274,Wort::N,sõna,үг
275,Zeichen::N,märk,темдг
276,Ruf::N,hüüe,дуудлһн
277,Lärm::N,müra,шууган
278,Laut::N,hääl,ә
279,Ton::N,toon,дун
280,Lied::N,laul,дун
281,Ruhe::N,rahu,амулң
282,Ruhe::N,vaikus,амулң
283,Leute::N,inimesed,әмтн
284,Volk::N,rahvas,улс
285,Arbeit::N,töö,көдлмш
286,Gast::N,külaline,гиич
287,Geschenk::N,kingitus,белг
288,Spiel::N,mäng,наадн
289,Gesellschaft::N,selts,олн
290,Hilfe::N,abi,нөкд
291,Freund::N,sõber,иньг
292,Kamerad::N,sõber,үр
293,Angelegenheit::N,asi,керг
294,Anzahl::N,arv,то
295,Anzahl::N,hulk,то
296,Art::N,liik,зүүл
297,Stück::N,tükk,хусг
298,Teil::N,osa,хүв
299,Hälfte::N,pool,өрәл
300,Kreis::N,ring,төгрг
301,Kreuz::N,rist,кирс
302,Linie::N,joon,зурасн
303,Strich::N,joon,татасн
304,Abstand::N,vahe,зә
305,Entfernung::N,kaugus,һазр
306,Entfernung::N,vahemaa,һазр
307,Gegend::N,ümbrus,һазр
308,Platz::N,ruum,зә
309,Ort::N,paik,бәәрн
310,Seite::N,pool,тал
311,Seite::N,pool,хаҗу
312,Seite::N,pool,хәврһ
313,Mitte::N,keskpaik,дунд
314,Gegenstand::N,ese,юмн
315,Sache::N,ese,юмн
316,Rand::N,äär,зах
317,Rand::N,serv,зах
318,Kante::N,kant,ирмәг
319,Ecke::N,nurk,өнцг
320,Spitze::N,teravik,үзүр
321,Ende::N,ots,үзүр
322,Ende::N,jupp,үзүр
323,Loch::N,auk,хаһрха
324,Winkel::N,nurk,булң
325,Muster::N,muster,намч
326,Größe::N,suurus,кемҗән
327,Länge::N,pikkus,ут
328,Höhe::N,kõrgus,өндр
329,Gewicht::N,kaal,күнд
330,Gewicht::N,kaal,чиңнүр
331,Gewicht::N,raskus,күнд
332,Gewicht::N,raskus,чиңнүр
333,Menge::N,arv,ик
334,Menge::N,hulk,ик
335,Haufen::N,hunnik,ова
336,Reihe::N,rivi,зерг
337,Reihe::N,rivi,зерглән
338,Boot::N,paat,оңһц
339,Ruder::N,aer,хәәв
340,Schlitten::N,saan,цан
341,Ski::N,suusk,лыҗ
342,Lagerfeuer::N,lõke,костёр
343,Last::N,koorem,күнд
344,Gang::N,käik,йовлһн
345,Schritt::N,samm,ишкм
346,Norden::N,põhi,ар үзг
347,Süden::N,lõuna,өмн
348,Süden::N,lõuna,өмн үзг
349,Westen::N,lääs,барун
350,Westen::N,lääs,барун үзг
351,Osten::N,ida,зүн
352,Osten::N,ida,зүн үзг
353,Holz::N,puu,модн
354,Brett::N,saelaud,харһа
355,Platte::N,plaat,хавтха чолун
356,Stütze::N,tugi,тулг
357,Stange::N,latt,уньн
358,Stange::N,teivas,уньн
359,Stock::N,kepp,модн
360,Stab::N,varras,шуург
361,Rohr::N,toru,турва
362,Haus::N,maja,гер
363,Heim::N,kodu,гер-бул
364,Ofen::N,ahi,беш
365,Fußboden::N,põrand,девскр
366,Tisch::N,laud,ширә
367,Stuhl::N,tool,стул
368,Wiege::N,häll,өлгә
369,Wiege::N,häll,дүүҗң
370,Wiege::N,kätki,өлгә
371,Wiege::N,kätki,дүүҗң
372,Bett::N,voodi,орн
373,Bett::N,voodi,орндг
374,Regal::N,riiul,таг
375,Regal::N,riiul,тәвц
376,Kiste::N,kast,яршг
377,Fenster::N,aken,терз
378,Tür::N,uks,үүдн
379,Tor::N,värav,үүдн
380,Tor::N,värav,өргн үүдн
381,Tor::N,värav,хашан үүдн
382,Zaun::N,aed,хаша
383,Zaun::N,tara,хаша
384,Dach::N,katus,деевр
385,Leiter::N,redel,шат
386,Leiter::N,redel,давшур
387,Besen::N,luud,сәвүр
388,Spaten::N,labidas,күрз
389,Schaufel::N,kühvel,совг
390,Gabel::N,kahvel,серә
391,Löffel::N,lusikas,ухр
392,Messer::N,nuga,утх
393,Nagel::N,nael,хадасн
394,Netz::N,võrk,гөлм
395,Haken::N,haak,дегә
396,Haken::N,konks,дегә
397,Griff::N,sang,иш
398,Griff::N,sang,бәрүл
399,Griff::N,käepide,иш
400,Griff::N,käepide,бәрүл
401,Schloss::N,lukk,оньс
402,Bild::N,pilt,зург
403,Figur::N,kuju,фигур
404,Figur::N,kujund,фигур
405,Puppe::N,nukk,наадһа
406,Beutel::N,paun,мишг
407,Bündel::N,kimp,багла
408,Bündel::N,kimp,боодһа
409,Tasche::N,kott,сумк
410,Eimer::N,pang,суулһ
411,Eimer::N,ämber,суулһ
412,Deckel::N,kaas,бүркәсн
413,Geschirr::N,nõud,сав
414,Geschirr::N,nõud,сав-сарх
415,Sack::N,kott,мишг
416,Tasse::N,tass,ааһ
417,Topf::N,pada,кастрюль
418,Kessel::N,pada,хәәсн
419,Essen::N,söök,зоогллһн
420,Nahrung::N,toit,теҗәл
421,Speise::N,roog,хот
422,Fleisch::N,liha,махн
423,Getreide::N,teravili,хот болҗ эдлгддг цецгүдтә урһмл
424,Brei::N,puder,хаш
425,Brot::N,sai,өдмг
426,Brot::N,leib,өдмг
427,Scheibe::N,viil,зүсм
428,Scheibe::N,viilukas,зүсм
429,Fett::N,rasv,өөкн
430,Butter::N,või,тосн
431,Öl::N,õli,тосн
432,Salz::N,sool,давсн
433,Suppe::N,supp,шөлн
434,Honig::N,mesi,бал
435,Milch::N,piim,үсн
436,Tee::N,tee,цә
437,Leder::N,nahk,арсн
438,Wolle::N,vill,утцн
439,Wolle::N,vill,эд
440,Stoff::N,kangas,эд
441,Nadel::N,nõel,зүн
442,Faden::N,niit,утцн
443,Knopf::N,nööp,товч
444,Knoten::N,sõlm,зәңгдә
445,Farbe::N,värv,будг
446,Kleidung::N,riided,хувцн
447,Kleidung::N,riided,хувц-хунр
448,Kleidung::N,riietus,хувцн
449,Kleidung::N,riietus,хувц-хунр
450,Hemd::N,särk,киилг
451,Kragen::N,krae,зах
452,Ärmel::N,varrukas,ханцн
453,Hose::N,püksid,шалвур
454,Gürtel::N,vöö,бүс
455,Mütze::N,müts,махла
456,Schuh::N,king,башмгуд
457,Stiefel::N,saabas,һосн
458,Ring::N,sõrmus,билцг
459,Band::N,lint,лент
460,Kamm::N,kamm,сам
461,Spiegel::N,peegel,толь
462,Riemen::N,rihm,бүс
463,Schnur::N,nöör,деесн
464,Leine::N,jalutusrihm,бурнтг
465,Leine::N,jalutusrihm,нохан көтлвр
466,Decke::N,tekk,көнҗл
467,Kissen::N,padi,дер
468,Tuch::N,kalev,альчур
469,Handtuch::N,käterätik,полотенц
470,Handtuch::N,käterätik,һар-нүүрин альчур
471,Kraft::N,jõud,күчн
472,Stärke::N,tugevus,чидл
473,Gesundheit::N,tervis,эрүл-менд
474,Krankheit::N,haigus,өвчн
475,Schmerz::N,valu,өвдлһн
476,Wunde::N,haav,шав
477,Fieber::N,palavik,безг
478,Arznei::N,ravim,эм
479,Brücke::N,sild,тагт
480,Brunnen::N,kaev,худг
481,Weide::N,karjamaa,малын идг
482,Pfad::N,rada,цувг
483,Weg::N,tee,хаалһ
484,Straße::N,tee,зам
485,Dorf::N,küla,хотн
486,Stadt::N,linn,балһсн
487,Brief::N,kiri,бичг
488,Buch::N,raamat,дегтр
489,Buchstabe::N,täht,үзг
490,Zeitung::N,ajaleht,газет
491,Leben::N,elu,җирһл
492,Tod::N,surm,үкл
493,Tod::N,surm,өңгрлһн
494,Grab::N,haud,оршалһна нүкн
495,Kirche::N,kirik,чонҗ
496,Sünde::N,patt,нүл
497,Sünde::N,patt,килнц
498,Gott::N,jumal,бурхн
499,Arbeiter::N,tööline,көдлмшч
500,Chef::N,ülemus,толһач
501,Chef::N,juhataja,толһач
502,Meister::N,meister,урн
503,Arzt::N,arst,эмч
504,Lehrer::N,õpetaja,багш
505,Geld::N,raha,мөңгн
506,Geschäft::N,äri,көдлмш
507,Laden::N,pood,лавк
508,Laden::N,kauplus,лавк
509,Preis::N,hind,үн
510,Ware::N,kaup,эд-тавр
511,Nutzen::N,tulu,олз
512,Nutzen::N,kasulikkus,олз
513,Reichtum::N,rikkus,зөөр
514,Welt::N,maailm,орчлң
515,Welt::N,maailm,делкә
516,Land::N,maa,орн-нутг
517,Staat::N,riik,государств
518,König::N,kuningas,хан
519,Macht::N,võim,йосн
520,Grenze::N,piir,меҗә
521,Krieg::N,sõda,дән
522,Feind::N,vaenlane,дәәсн
523,Gewalt::N,väevõim,күч һарһлһн
524,Kampf::N,võitlus,ноолдан
525,Kampf::N,võitlus,бәрлдлһн
526,Bogen[Waffe]::N,vibu,саадг
527,Pfeil::N,nool,сумн
528,Gewehr::N,püss,бу
529,Fehler::N,viga,алдг
530,Lüge::N,vale,худл
531,Schaden::N,kahju,хорлт
532,Unglück::N,häda,гүрм
533,Unglück::N,õnnetus,гүрм
534,Schuld::N,süü,гем
535,Schuld::N,süü,буру
536,Alter::N,iga,насн
537,Schluss::N,lõpp,чилгч
538,Zeit::N,aeg,цаг
539,Tag::N,päev,өдр
540,Morgen::N,hommik,өрүн
541,Mittag::N,lõuna,үд
542,Mittag::N,keskpäev,үд
543,Abend::N,õhtu,асхн
544,Nacht::N,öö,сө
545,Woche::N,nädal,долан хонг
546,Monat::N,kuu,сар
547,Jahr::N,aasta,җил
548,Frühling::N,kevad,хавр
549,Sommer::N,suvi,зун
550,Herbst::N,sügis,намр
551,Winter::N,talv,үвл
552,Januar::N,jaanuar,январь
553,Februar::N,veebruar,февраль
554,März::N,märts,март
555,März::N,märts,моһа сар
556,April::N,aprill,апрель
557,Mai::N,mai,май
558,Juni::N,juuni,июнь
559,Juni::N,juuni,мөчн сар
560,Juli::N,juuli,июль
561,August::N,august,август
562,September::N,september,һаха сар
563,Oktober::N,oktoober,октябрь
564,November::N,november,ноябрь
565,November::N,november,үкр сар
566,Dezember::N,detsember,бар сар
567,Montag::N,esmaspäev,понедельник
568,Dienstag::N,teisipäev,вторник
569,Mittwoch::N,kesknädal,среда
570,Mittwoch::N,kesknädal,үлмҗ өдр
571,Donnerstag::N,neljapäev,четверг
572,Donnerstag::N,neljapäev,пүрвә өдр
573,Freitag::N,reede,пятниц
574,Samstag::N,laupäev,суббот
575,Sonntag::N,pühapäev,нарн өдр
576,Sonntag::N,pühapäev,воскресень
577,groß::A,suur,ик
578,klein::A,väike,бичкн
579,klein::A,pisike,бичкн
580,lang::A,pikk,ут
581,kurz::A,lühike,оһтр
582,breit::A,lai,өргн
583,schmal::A,kitsas,уутьхн
584,dicht::A,tihe,нигт
585,dick[Gegenstand]::A,jäme,зузан
586,dünn::A,õhuke,нимгн
587,dünn::A,peenike,нимгн
588,fein::A,peen,нәрхн
589,fein::A,õhuke,нәрхн
590,fest::A,püsiv,бат
591,fest::A,kindel,бат
592,flach::A,lame,хавтха
593,flach::A,tasane,хавтха
594,glatt::A,sile,тегш
595,glatt::A,sile,тиньгр
596,hart::A,kõva,хату
597,weich::A,pehme,җөөлн
598,weich::A,pehme,җөөлкн
599,rund::A,ümar,төгрг
600,spitz::A,torkav,шовһр
601,scharf::A,terav,хурц
602,stumpf::A,nüri,мука
603,schwer::A,raske,күнд
604,schön::A,kena,сәәхн
605,heiß::A,kuum,халун
606,heiß::A,palav,халун
607,warm::A,soe,дулан
608,kalt::A,külm,киитн
609,kühl::A,jahe,серүн
610,frisch::A,värske,серүн
611,feucht::A,niiske,чиигтә
612,nass::A,märg,чиигтә
613,trocken::A,kuiv,хагсу
614,voll::A,täis,дүүрң
615,leer::A,tühi,сул
616,leer::A,tühi,хоосн
617,offen::A,avatud,секәтә
618,offen::A,lahtine,секәтә
619,geschlossen::A,suletud,хаалһата
620,sauber::A,puhas,цевр
621,schmutzig::A,räpane,киртә
622,schmutzig::A,määrdunud,киртә
623,roh::A,toores,түүкә
624,reif::A,küps,болсн
625,lecker::A,hõrk,әмтәхн
626,lecker::A,maitsev,әмтәхн
627,süß::A,magus,әмтәхн
628,bitter::A,mõru,һашун
629,bitter::A,mõru,һашута
630,sauer::A,hapu,ишклң
631,hell::A,hele,герлтә
632,dunkel::A,pime,харңһу
633,schwarz::A,must,хар
634,weiß::A,valge,цаһан
635,rot::A,punane,улан
636,gelb::A,kollane,шар
637,blau::A,sinine,көк
638,grün::A,roheline,көк
639,grau::A,hall,бор
640,bunt::A,kirju,алг
641,bunt::A,kirju,эрәтә
642,bunt::A,värviline,алг
643,bunt::A,värviline,эрәтә
644,billig::A,odav,кимд
645,teuer::A,kallis,үнтә
646,wertvoll::A,väärtuslik,үнтә
647,wertvoll::A,väärtuslik,эрднь
648,blind::A,pime,сохр
649,taub::A,kurt,дүлә
650,kräftig::A,jõuline,күчтә
651,stark::A,tugev,чаңһ
652,schwach::A,nõrk,күчн тату
653,schwach::A,jõuetu,күчн тату
654,fett::A,rasvane,тарһн
655,schlank::A,sale,эццн
656,hübsch::A,kena,көркхн
657,böse::A,tige,уурта
658,dumm::A,juhm,тенг
659,dumm::A,rumal,тенг
660,faul::A,laisk,залху
661,fleißig::A,virk,кинән
662,fleißig::A,virk,кинмһә
663,fleißig::A,hoolas,кинән
664,fleißig::A,hoolas,кинмһә
665,geizig::A,ihne,ховдг
666,klug::A,tark,ухата
667,klug::A,arukas,ухата
668,klug::A,mõistlik,ухата
669,geschickt::A,osav,чадмг
670,lieb::A,armas,эңкр
671,lustig::A,lõbus,сергмҗтә
672,lustig::A,lõbus,җирһлтә
673,sanft::A,õrn,номһн
674,hungrig::A,näljane,өлн
675,hungrig::A,näljane,харһнсн
676,krank::A,haige,өвчтә
677,krank::A,haige,шалтгта
678,nackt::A,alasti,нүцкн
679,traurig::A,kurb,һундлта
680,lebendig::A,elus,әмд
681,gut::A,hea,сән
682,schlecht::A,halb,му
683,richtig::A,õige,зөвтә
684,schlimm::A,paha,җигшүртә
685,wahr::A,tõene,үнн
686,wahr::A,tõene,мөн
687,alt::A,vana,хуучн
688,neu::A,uus,шин
689,ehemalig::A,endine,хуучн
690,alt[Lebewesen]::A,vana,көгшн
691,jung::A,noor,баһ
692,arm::A,vaene,угатя
693,reich::A,rikas,байн
694,bekannt::A,teada,таньл
695,bekannt::A,teada,таньдг
696,bekannt::A,tuttav,таньл
697,bekannt::A,tuttav,таньдг
698,berühmt::A,tuntud,туурсн
699,fremd::A,võõras,күүнә
700,verschieden::A,erinev,әдл биш
701,verschieden::A,erinev,йилһәтә
702,nah::A,lähedane,өөрхн
703,fern::A,kauge,хол
704,linker::A,vasak,зүн
705,rechter::A,parem,барун
706,anderer::A,muu,талдан
707,anderer::A,teine,талдан
708,erster::A,esimene,негдгч
709,zweiter::A,teine,хойрдгч
710,dritter::A,kolmas,һурвдгч
711,letzter::A,viimane,отхн
712,allein::ADV,üksi,һанцарн
713,auf einmal::ADV,korraga,нег дәкҗ
714,auf einmal::ADV,ühekorraga,нег дәкҗ
715,zusammen::ADV,koos,хамдан
716,zusammen::ADV,üheskoos,хамдан
717,lange::ADV,kaua,удан
718,plötzlich::ADV,äkki,генткн
719,plötzlich::ADV,järsku,генткн
720,sofort::ADV,kohe,дарунь
721,später::ADV,hiljem,сүүлд
722,jetzt::ADV,nüüd,ода
723,heute::ADV,täna,эндр
724,morgen::ADV,homme,маңһдур
725,bald::ADV,pea,дарунь
726,bald::ADV,varsti,дарунь
727,dann::ADV,siis,дәкәд
728,gestern::ADV,eile,өцклдүр
729,einst::ADV,vanasti,нег саамд
730,damals::ADV,tookord,тиигхд
731,danach::ADV,seejärel,тегәд
732,vorher::ADV,enne,урд
733,zuerst::ADV,enne,түрүләд
734,zuerst::ADV,esmalt,түрүләд
735,einmal::ADV,kord,нег дәкҗ
736,einmal::ADV,üks kord,нег дәкҗ
737,manchmal::ADV,mõnikord,зәрмдән
738,oft::ADV,tihti,хара биш
739,oft::ADV,tihti,хатяр биш
740,oft::ADV,tihti,дару-дарунь
741,oft::ADV,sageli,хара биш
742,oft::ADV,sageli,хатяр биш
743,oft::ADV,sageli,дару-дарунь
744,immer::ADV,ikka,оньдинд
745,immer::ADV,alati,оньдинд
746,niemals::ADV,mitte kunagi,кезә чмгн биш
747,hier::ADV,siin,энд
748,hier::ADV,siin,энүнд
749,hierhin::ADV,siia,нааран
750,von hier::ADV,siit,эндәс
751,dort::ADV,seal,тенд
752,dorthin::ADV,sinna,тиигән
753,geradeaus::ADV,otse edasi,шуд
754,vorwärts::ADV,edasi,уралан
755,rückwärts::ADV,tagurpidi,гедргән
756,zurück::ADV,tagasi,хәрү
757,unten::ADV,all,дор
758,unten::ADV,allpool,дор
759,hinab::ADV,alla,дор
760,hinab::ADV,alla,доракшан
761,oben::ADV,ülal,деер
762,hinauf::ADV,üles,өөдән
763,hinauf::ADV,üles,деер
764,überall::ADV,kõikjal,альд болв чигн
765,nicht::ADV,ei,эс
766,nicht::ADV,ei,биш
767,nicht::ADV,ei,бичә
768,nicht::ADV,mitte,эс
769,nicht::ADV,mitte,биш
770,nicht::ADV,mitte,бичә
771,ein wenig::ADV,veidi,баахн
772,ein wenig::ADV,veidi,баахнар
773,ein wenig::ADV,natuke,баахн
774,ein wenig::ADV,natuke,баахнар
775,kaum::ADV,vaevalt,әрә
776,sehr::ADV,väga,йир
777,so::ADV,nii,иигҗ
778,noch::ADV,veel,ода чигн
779,nur::ADV,ainult,һанцхн
780,schon::ADV,juba,одх
781,wieder::ADV,jälle,бас
782,vergebens::ADV,asjata,киидән
783,vor::PRP,ees,урд
784,hinter::PRP,taha,ца
785,unter::PRP,all,дор
786,durch::PRP,läbi,ивт
787,durch::PRP,läbi,дундаһур
788,durch::PRP,kaudu,ивт
789,durch::PRP,kaudu,дундаһур
790,neben::PRP,kõrval,хаҗуд
791,zwischen::PRP,vahel,хоорнд
792,wegen::PRP,tõttu,көлтә
793,wegen::PRP,tõttu,деерәс
794,wegen::PRP,pärast,көлтә
795,wegen::PRP,pärast,деерәс
796,dies::PRN,see,эн
797,das::PRN,see,тер
798,alles::PRN,kõik,цуһар
799,ich::PRN,mina,би
800,du::PRN,sina,чи
801,er::PRN,tema,тер
802,wir::PRN,me,мадн
803,ihr::PRN,te,та
804,sie::PRN,nad,тедн
805,was::FPRN,mis,юн
